"Hs_symbol","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"ABCA9","Abca9",1.374692,1.128702,1.013082,182,236,45,1.17215866666667,44.49278,44.49278,0.047747327524646
"ABCB1","Abcb1a",51.550946,45.585615,82.118006,956,1215,296,59.7515223333333,11.91703,11.91703,4.70321136773185
"ABCB10","Abcb10",7.860339,9.169756,7.734576,712,1245,220,8.25489033333333,14.34598,14.34598,0.603082392478899
"ABCB11","Abcb11",0.107312,0.072965,0,3,3,0,0.0600923333333333,0.06325,0.06325,0.997030174778588
"ABCB4","Abcb4",1.400501,1.459437,1.017312,106,145,28,1.29241666666667,7.66637,7.66637,0.264518670062168
"ABCB5","Abcb5",0,0,0,0,0,0,0,0,0,1
"ABCB6","Abcb6",11.256848,9.906954,10.797514,311,438,107,10.653772,17.10385,17.10385,0.643717883212687
"ABCB7","Abcb7",7.537502,7.121689,6.273685,852,1270,219,6.97762533333333,55.72667,55.72667,0.14063271003451
"ABCB8","Abcb8",32.393634,22.982948,29.272752,764,1061,243,28.2164446666667,6.61636,6.61636,3.83601151556211
"ABCB9","Abcb9",13.338002,13.437693,14.346582,897,1194,345,13.7074256666667,0.8223,0.8223,8.07080374618157
"ABCC1","Abcc1",6.382838,7.348494,2.504568,439,657,118,5.41196666666667,6.17358,6.17358,0.893830788346497
"ABCC10","Abcc10",4.048571,3.606159,3.043047,272,388,93,3.56592566666667,5.79406,5.79406,0.672046709429512
"ABCC12","Abcc12",0.455108,0.934647,0.773761,35,106,17,0.721172,0.24036,0.24036,1.38763907252733
"ABCC2","Abcc2",0.077074,0.105317,0.017706,5,9,1,0.066699,0.22771,0.22771,0.868852579192155
"ABCC3","Abcc3",0.811729,0.712912,0.426075,31,43,6,0.650238666666667,1.12592,1.12592,0.776246832743785
"ABCC5","Abcc5",183.364476,141.300881,150.092514,4295,5403,1092,158.252623666667,58.93997,58.93997,2.65686859147021
"ABCC6","Abcc6",1.008744,1.57666,0.876534,63,89,18,1.15397933333333,0.55663,0.55663,1.38374522740364
"ABCC9","Abcc9",2.029741,1.735282,2.238094,334,424,115,2.001039,61.837,61.837,0.0477591068956188
"ABCD1","Abcd1",3.751694,3.290507,2.928051,253,362,74,3.32341733333333,0.64519,0.64519,2.62791369588518
"ABCD2","Abcd2",26.320987,26.081769,26.769714,1181,1617,306,26.3908233333333,4.75669,4.75669,4.75808552020924
"ABCD3","Abcd3",23.379323,22.163501,20.687641,1616,2217,462,22.0768216666667,69.59193,69.59193,0.32690452954986
"ABCD4","Abcd4",9.282074,6.916407,9.782007,391,509,129,8.66016266666667,31.47513,31.47513,0.297463402507293
"ABCE1","Abce1",20.233439,17.96782,16.699634,1557,2065,408,18.3002976666667,44.60664,44.60664,0.423190519333734
"ABCF1","Abcf1",39.898575,34.456644,30.824655,1253,1481,371,35.059958,71.80581,71.80581,0.495289565489348
"ABCF2","Abcf2",28.959469,23.183203,30.132421,1585,1906,522,27.425031,34.68843,34.68843,0.796477485840649
"ABCF3","Abcf3",251.730555,202.838829,291.535145,1377,1754,455,248.701509666667,31.91791,31.91791,7.58558212434103
"ABCG1","Abcg1",18.19387,16.716273,15.025299,1036,1496,310,16.6451473333333,14.34598,14.34598,1.1498221249691
"ABCG2","Abcg2",29.071391,25.795465,21.358509,625,771,199,25.408455,2.97293,2.97293,6.64709798561767
"ABCG5","Abcg5",0.145426,0.040795,0.09925,3,3,1,0.095157,0.06325,0.06325,1.0300089348695
"ABCG8","Abcg8",0.024937,0.008273,0,2,1,0,0.01107,0,0,1.01107
"ABHD1","Abhd1",1.196823,0.71728,1.031029,31,27,8,0.981710666666667,11.14533,11.14533,0.163166473588339
"ABHD10","Abhd10",10.83551,11.441995,11.652591,366,588,127,11.310032,71.17327,71.17327,0.170562203984938
"ABHD11","Abhd11",14.205171,12.188733,16.893946,276,355,101,14.4292833333333,9.04531,9.04531,1.53596885843576
"ABHD12","Abhd12",220.058829,194.911665,204.331185,3618,4930,1247,206.433893,28.31244,28.31244,7.07665049378353
"ABHD13","Abhd13",5.454363,4.367787,4.270211,591,721,144,4.69745366666667,8.53927,8.53927,0.597263067998564
"ABHD14A","Abhd14a",13.142815,14.339487,11.925889,244,407,75,13.1360636666667,3.30185,3.30185,3.28604290402191
"ABHD14B","Abhd14b",12.490752,10.736031,18.244562,299,361,106,13.8237816666667,13.7514,13.7514,1.00490676591148
"ABHD15","Abhd15",0.515703,0.794554,0.51023,29,56,9,0.606829,4.35187,4.35187,0.300236926532221
"ABHD16A","Abhd16a",51.520744,49.225194,58.978636,1022,1419,372,53.2415246666667,17.74904,17.74904,2.89302943866281
"ABHD16B","Abhd16b",0,0.018444,0,0,1,0,0.006148,0.0506,0.0506,0.957688939653531
"ABHD2","Abhd2",10.865608,9.806749,11.171332,1666,2251,544,10.614563,18.11591,18.11591,0.607586193908634
"ABHD3","Abhd3",46.049488,40.965363,48.916433,1107,1482,417,45.310428,11.79052,11.79052,3.62068375640709
"ABHD4","Abhd4",41.709837,46.489543,44.554436,1708,2683,643,44.251272,10.93027,10.93027,3.79297970624303
"ABHD5","Abhd5",23.061725,28.261032,19.459388,517,895,157,23.5940483333333,29.64077,29.64077,0.802657646440782
"ABHD6","Abhd6",17.219782,14.994396,17.500717,721,938,243,16.5716316666667,6.11033,6.11033,2.47128215802455
"ABHD8","Abhd8",50.936956,38.078002,64.276007,2090,2352,803,51.0969883333333,0.37952,0.37952,37.7645763260651
"ABI1","Abi1",61.0719,45.96582,56.390212,1232,1550,346,54.4759773333333,24.88408,24.88408,2.14324702030489
"ABI2","Abi2",30.069824,20.950699,16.188413,1747,2281,476,22.4029786666667,57.51043,57.51043,0.399979604775878
"ABI3","Abi3",2.297924,3.572839,4.360517,45,62,12,3.41042666666667,1.26508,1.26508,1.94713946821599
"ABL1","Abl1",17.252337,18.901642,11.215876,1307,2217,446,15.7899516666667,13.83995,13.83995,1.13140217228944
"ABL2","Abl2",6.505006,5.893185,4.067408,1208,1501,243,5.488533,3.52957,3.52957,1.4324832158461
"ABLIM1","Ablim1",19.932181,14.238708,13.501742,2058,2420,544,15.890877,752.16463,752.16463,0.0224265403966195
"ABLIM2","Ablim2",77.501144,78.624032,83.529767,2000,2948,656,79.884981,7.41336,7.41336,9.61387376743655
"ABLIM3","Ablim3",3.978462,2.558477,2.756626,379,366,82,3.097855,133.68077,133.68077,0.0304264298459238
"ABO","Abo",0,0.018597,0.087707,0,1,1,0.0354346666666667,0.17711,0.17711,0.87964138157578
"ABR","Abr",74.646676,57.404363,59.13765,5473,6170,1543,63.729563,99.67548,99.67548,0.64295261368508
"ABRA","Abra",0.018005,0.01128,0,1,1,0,0.00976166666666667,26.17446,26.17446,0.0371584814074196
"ABRACL","Abracl",36.891442,26.41917,26.414674,73,83,21,29.9084286666667,12.22065,12.22065,2.33789024493249
"ABT1","Abt1",1.876958,1.547864,2.244052,184,227,69,1.88962466666667,6.18623,6.18623,0.402105786576086
"ABTB1","Abtb1",20.185235,16.277574,21.128845,464,615,144,19.197218,4.75669,4.75669,3.50847761474042
"ABTB2","Abtb2",4.27992,4.990935,4.435689,419,704,139,4.568848,9.24772,9.24772,0.543423122411619
"ACAA1","Acaa1b",0.773102,0.218939,0.620438,15,11,7,0.537493,53.95557,53.95557,0.0279770185260566
"ACAA2","Acaa2",20.963765,13.131852,15.757114,326,408,95,16.617577,464.92872,464.92872,0.0378117429636018
"ACACA","Acaca",22.195442,21.317759,10.804532,2827,4307,669,18.105911,12.71403,12.71403,1.39316532047837
"ACACB","Acacb",2.966425,2.245241,1.899891,253,405,100,2.370519,82.2427,82.2427,0.0404902652124451
"ACAD10","Acad10",1.395235,2.376533,2.320622,85,127,26,2.03079666666667,36.26978,36.26978,0.0813204871793358
"ACAD11","Acad11",11.338964,9.925988,11.505482,562,777,163,10.923478,82.07824,82.07824,0.143521071221538
"ACAD8","Acad8",14.2754,12.586996,10.959902,352,475,104,12.6074326666667,42.62047,42.62047,0.311950620125521
"ACAD9","Acad9",41.203767,34.89229,35.359212,975,1301,247,37.1517563333333,27.40158,27.40158,1.34329696915923
"ACADL","Acadl",25.651733,24.871783,24.52402,840,1274,288,25.0158453333333,2.37835,2.37835,7.70075490500787
"ACADM","Acadm",58.745312,36.227401,29.691039,514,691,140,41.554584,605.13729,605.13729,0.0702061805172884
"ACADS","Acads",6.529714,5.634912,4.78439,176,254,53,5.649672,4.26331,4.26331,1.26340116770625
"ACADSB","Acadsb",140.109473,139.144093,71.864677,1218,1759,269,117.039414333333,53.39893,53.39893,2.16988485496559
"ACADVL","Acadvl",29.417193,26.697487,39.322243,974,1271,339,31.8123076666667,1863.68724,1863.68724,0.0175966816111568
"ACAN","Acan",4.519357,3.856825,3.878308,545,722,134,4.08483,0.48073,0.48073,3.43400214758937
"ACAP1","Acap1",0.160375,0.198819,0.333643,9,13,3,0.230945666666667,2.32774,2.32774,0.369904399582499
"ACAP2","Acap2",24.012689,28.211964,19.001302,1829,3174,501,23.741985,9.82965,9.82965,2.28465232025042
"ACAT1","Acat1",41.162205,35.798947,46.975877,1423,1790,443,41.312343,1020.66473,1020.66473,0.0414150961245378
"ACAT2","Acat2",40.665782,41.068989,46.124782,1183,1881,412,42.619851,7.69167,7.69167,5.01858112422584
"ACBD3","Acbd3",10.456161,8.817061,9.958128,748,956,223,9.74378333333333,32.47455,32.47455,0.320953779313936
"ACBD5","Acbd5",39.799716,34.501608,29.768931,1629,2629,472,34.690085,76.06913,76.06913,0.463091837159703
"ACBD6","Acbd6",35.28567,29.491404,43.187113,614,762,206,35.9880623333333,51.90614,51.90614,0.699126081270214
"ACBD7","Acbd7",0.916559,0.914463,0.98258,6,9,2,0.937867333333333,0.13916,0.13916,1.70113709516954
"ACCS","Accs",3.86236,2.573998,5.720381,126,178,54,4.05224633333333,14.88997,14.88997,0.317951911383932
"ACCSL","Accsl",0.100077,0.118829,0.067827,4,3,1,0.0955776666666667,0,0,1.09557766666667
"ACD","Acd",11.708988,8.977386,15.558951,321,353,126,12.081775,0.54398,0.54398,8.47276195287504
"ACE","Ace",6.85104,5.450423,6.464917,583,638,164,6.25546,3.12474,3.12474,1.75901026488942
"ACE2","Ace2",0.703129,0.439627,0.086061,42,48,2,0.409605666666667,58.85142,58.85142,0.0235517497607687
"ACE3P","Ace3",0.021593,0.0144,0,1,1,0,0.0119976666666667,0,0,1.01199766666667
"ACER1","Acer1",0.021691,0.013217,0,1,1,0,0.011636,0,0,1.011636
"ACER2","Acer2",3.578901,3.612412,3.507171,293,419,95,3.56616133333333,1.63195,1.63195,1.73489668623391
"ACER3","Acer3",5.33321,5.297838,3.312498,588,759,160,4.64784866666667,7.31215,7.31215,0.679469050325929
"ACHE","Ache",133.05904,101.056948,116.214608,3230,4242,1133,116.776865333333,0.20241,0.20241,97.9506701818293
"ACIN1","Acin1",66.142631,56.196921,48.187616,1860,2205,484,56.8423893333333,105.63399,105.63399,0.542438572666495
"ACLY","Acly",104.42968,115.808562,122.784102,7508,12430,2500,114.340781333333,22.50573,22.50573,4.90692190088686
"ACMSD","Acmsd",0.250152,0.082175,0.159311,10,6,2,0.163879333333333,0.18976,0.18976,0.978247153487538
"ACO1","Aco1",9.548868,11.643803,10.725997,688,969,232,10.639556,76.4613,76.4613,0.150262853837981
"ACO2","Aco2",275.677282,225.355992,267.756615,9127,11839,3130,256.263296333333,389.11261,389.11261,0.65945906320058
"ACOT1","Acot3",0.234426,0.160951,0.355095,14,12,8,0.250157333333333,5.59164,5.59164,0.189658011258705
"ACOT11","Acot11",31.291213,30.108627,23.60258,1932,2643,500,28.33414,13.32127,13.32127,2.04829180652275
"ACOT12","Acot12",0.079966,0.252288,0,4,14,0,0.110751333333333,0,0,1.11075133333333
"ACOT13","Acot13",157.51678,116.485561,68.278891,489,681,163,114.093744,205.92936,205.92936,0.55619823112583
"ACOT2","Acot2",1.850343,1.867143,1.207003,80,121,16,1.64149633333333,29.46366,29.46366,0.0867097496930222
"ACOT4","Acot4",3.018317,2.376966,0.237518,67,77,10,1.87760033333333,1.16387,1.16387,1.32983974699651
"ACOT6","Acot6",2.021448,1.857693,1.602341,145,199,36,1.82716066666667,0,0,2.82716066666667
"ACOT7","Acot7",204.185837,177.859959,182.811225,3634,5205,1369,188.285673666667,1.83436,1.83436,66.7825095141996
"ACOT8","Acot8",6.812502,7.054797,4.571108,121,202,29,6.14613566666667,13.29597,13.29597,0.499870639534545
"ACOT9","Acot9",10.646338,8.355602,7.608419,333,370,83,8.87011966666667,106.24123,106.24123,0.0920366137787367
"ACOX1","Acox1",38.281042,36.979115,36.155443,2815,4071,907,37.1385333333333,34.67578,34.67578,1.06903152035732
"ACOX2","Acox2",0.478907,0.537406,1.920292,7,13,7,0.978868333333333,92.35068,92.35068,0.0211982208735205
"ACOX3","Acox3",31.578703,26.301488,22.859586,995,1397,328,26.913259,7.42601,7.42601,3.31274933212754
"ACOXL","Acoxl",0.032761,0.021899,0,2,2,0,0.01822,0,0,1.01822
"ACP1","Acp1",43.469525,42.708891,37.818103,1062,1304,300,41.332173,107.3545,107.3545,0.390682186711212
"ACP2","Acp2",14.948313,13.40809,13.834404,1522,1780,427,14.0636023333333,15.85142,15.85142,0.893907002100318
"ACP5","Acp5",0.426923,0.534385,0.367158,5,8,3,0.442822,3.2639,3.2639,0.338380825066254
"ACP6","Acp6",12.775913,9.182779,11.204909,262,304,72,11.0545336666667,12.65078,12.65078,0.883065558646954
"ACR","Acr",0.454999,0.859649,0.600143,13,15,5,0.638263666666667,0.46808,0.46808,1.11592261093855
"ACRBP","Acrbp",5.73949,4.783652,6.789045,91,120,35,5.770729,1.01206,1.01206,3.36507310915181
"ACRV1","Acrv1",0.129637,0.107061,0.275087,9,11,6,0.170595,0.13916,0.13916,1.02759489448365
"ACSBG1","Acsbg1",108.813398,94.405486,84.872829,4262,5796,1577,96.030571,136.09706,136.09706,0.707750924782778
"ACSBG2","Acsbg2",0.019263,0,0,1,0,0,0.006421,0.16446,0.16446,0.864281297768923
"ACSF2","Acsf2",24.630047,17.495217,16.328537,485,643,130,19.4846003333333,23.65695,23.65695,0.830784031817939
"ACSF3","Acsf3",7.137229,5.689405,5.478674,331,399,80,6.10176933333333,9.56399,9.56399,0.672262027258009
"ACSL1","Acsl1",23.107288,34.423455,39.671238,803,1349,245,32.4006603333333,696.3241,696.3241,0.0478983306805735
"ACSL3","Acsl3",141.226341,139.771625,112.269409,4160,6087,1311,131.089125,49.31273,49.31273,2.62536191138903
"ACSL4","Acsl4",21.479562,22.663303,21.725103,816,1113,182,21.9559893333333,42.81023,42.81023,0.523986962253641
"ACSL5","Acsl5",45.183423,27.652313,57.118124,754,770,207,43.3179533333333,14.33333,14.33333,2.89030193267433
"ACSL6","Acsl6",131.3267,112.459272,98.930735,6556,8580,1883,114.238902333333,3.50427,3.50427,25.5843682402106
"ACSM1","Acsm1",0,0,0,0,0,0,0,0.70844,0.70844,0.585329306267706
"ACSM2B","Acsm2",0.04072,0.018053,0.021651,6,4,1,0.026808,0.51868,0.51868,0.676118734690652
"ACSM3","Acsm3",3.148108,2.227132,1.721317,12,17,3,2.365519,75.80346,75.80346,0.0438198878019298
"ACSM4","Acsm4",0,0.044942,0,0,3,0,0.0149806666666667,0,0,1.01498066666667
"ACSM5","Acsm5",1.284788,0.826242,0.714794,53,61,13,0.941941333333333,1.12592,1.12592,0.913459270966609
"ACSS1","Acss1",9.81163,7.128186,8.411244,436,528,120,8.45035333333333,86.78433,86.78433,0.107654217254188
"ACSS2","Acss2",41.583731,44.676566,29.155586,1610,2683,462,38.471961,127.14031,127.14031,0.308037033779612
"ACSS3","Acss3",2.178701,1.623659,1.218299,157,191,32,1.673553,33.436,33.436,0.077638314554536
"ACTA1","Acta1",6.487384,4.455121,0.373325,181,188,1,3.77194333333333,2743.75123,2743.75123,0.00173857043260468
"ACTA2","Acta2",15.069679,2.496488,19.462987,408,100,178,12.3430513333333,189.23033,189.23033,0.0701415559408078
"ACTB","Actb",907.491548,1110.026367,1271.568006,8257,14043,3318,1096.36197366667,881.43027,881.43027,1.2435679180256
"ACTBL2","Actbl2",0.053245,0.023264,0,3,2,0,0.025503,0,0,1.025503
"ACTC1","Actc1",0.988564,0.518019,0,7,6,0,0.502194333333333,12463.16647,12463.16647,0.00012052104221722
"ACTG1","Actg1",576.738602,537.265372,794.751001,13658,19486,5374,636.251658333333,170.15296,170.15296,3.72328739352994
"ACTG2","Actg2",0.289823,0.066606,0,7,2,0,0.118809666666667,4.54163,4.54163,0.20189180199087
"ACTL10","Actl10",1.004756,0.51982,0.429127,30,24,4,0.651234333333333,0.08856,0.08856,1.51689785894515
"ACTL6A","Actl6a",9.661133,9.129784,11.273125,195,233,70,10.0213473333333,42.96204,42.96204,0.250701453648041
"ACTL6B","Actl6b",20.704586,15.42755,22.289875,464,520,151,19.4740036666667,0,0,20.4740036666667
"ACTL7A","Actl7a",0,0,0,0,0,0,0,0,0,1
"ACTL7B","Actl7b",0,0,0,0,0,0,0,0,0,1
"ACTL9","Actl9",0.11365,0.15072,0.357541,3,6,3,0.207303666666667,0,0,1.20730366666667
"ACTN1","Actn1",12.095666,7.159796,10.301106,549,556,136,9.85218933333333,35.48543,35.48543,0.297438986832095
"ACTN2","Actn2",3.391132,1.608143,1.393511,64,65,10,2.13092866666667,1533.36279,1533.36279,0.00204054001248731
"ACTN4","Actn4",38.469791,32.262134,36.204158,1463,2013,530,35.645361,49.46454,49.46454,0.726160607032185
"ACTR10","Actr10",125.586157,102.534199,134.49901,2166,2556,634,120.873122,210.81256,210.81256,0.575381941467494
"ACTR1A","Actr1a",62.352935,67.448044,69.459203,3183,4813,1166,66.4200606666667,83.50778,83.50778,0.797797086453658
"ACTR1B","Actr1b",123.178924,130.20487,102.624512,3860,4762,1235,118.669435333333,20.64607,20.64607,5.52846014696124
"ACTR2","Actr2",48.256756,42.50762,43.211249,3472,4667,970,44.6585416666667,93.84347,93.84347,0.481409438801287
"ACTR3","Actr3",86.343814,65.597556,71.256507,2301,3077,725,74.3992923333333,104.47012,104.47012,0.714887707848757
"ACTR3B","Actr3b",18.979007,15.299471,19.530796,733,908,245,17.9364246666667,13.92851,13.92851,1.26847385751603
"ACTR5","Actr5",2.728636,2.676546,6.582844,119,122,40,3.99600866666667,3.65607,3.65607,1.07300978436034
"ACTR6","Actr6",11.039334,8.957461,7.94164,229,323,70,9.31281166666667,30.9944,30.9944,0.322331772643546
"ACTR8","Actr8",31.072604,22.185834,25.666657,807,980,234,26.308365,19.38099,19.38099,1.33989394038268
"ACTRT1","Actrt1",0,0,0,0,0,0,0,0,0,1
"ACTRT2","Actrt2",0,0,0,0,0,0,0,0,0,1
"ACTRT3","Actrt3",0.623369,0.419144,0.94944,25,25,12,0.663984333333333,1.25243,1.25243,0.738750741791458
"ACVR1","Acvr1",6.144111,5.309225,6.386865,369,461,119,5.94673366666667,23.97322,23.97322,0.278167319499314
"ACVR1B","Acvr1b",13.4585,8.663865,10.887607,1310,1277,335,11.003324,10.04472,10.04472,1.08679296532642
"ACVR1C","Acvr1c",1.201653,0.810025,0.726638,142,214,43,0.912772,0.0759,0.0759,1.77783437122409
"ACVR2A","Acvr2a",4.606203,3.970851,3.565358,391,502,88,4.04747066666667,7.17299,7.17299,0.617579449707716
"ACVR2B","Acvr2b",3.789204,2.330717,0.9235,109,127,16,2.347807,0.0506,0.0506,3.18656672377689
"ACVRL1","Acvrl1",17.458956,13.633657,17.679918,292,340,108,16.2575103333333,13.16946,13.16946,1.21793705147079
"ACY1","Acy1",12.779082,21.125795,22.631306,211,432,94,18.8453943333333,5.02236,5.02236,3.295285292366
"ACY3","Acy3",6.158622,10.285627,9.358693,103,275,46,8.60098066666667,0,0,9.60098066666667
"ACYP1","Acyp1",23.071435,21.010466,20.41723,195,275,55,21.4997103333333,40.39393,40.39393,0.543550958638944
"ACYP2","Acyp2",29.073172,29.490531,33.99376,341,557,125,30.8524876666667,157.43893,157.43893,0.20103952776421
"ADA","Ada",1.274145,1.440488,1.214389,43,65,13,1.309674,5.95852,5.95852,0.331920293395722
"ADAD1","Adad1",0,0,0,0,0,0,0,0.0506,0.0506,0.951837045497811
"ADAD2","Adad2",0,0,0,0,0,0,0,0,0,1
"ADAL","Adal",9.517798,7.488731,9.410691,396,421,98,8.80574,43.1518,43.1518,0.222091511557853
"ADAM10","Adam10",17.942483,15.258774,16.195392,1596,2130,457,16.4655496666667,30.8426,30.8426,0.54849634347279
"ADAM11","Adam11",39.428928,35.361299,38.397555,1761,2537,569,37.7292606666667,0.64519,0.64519,23.5409044953268
"ADAM12","Adam12",0.713418,0.778313,0.354136,68,135,17,0.615289,0.08856,0.08856,1.48387686484897
"ADAM15","Adam15",80.742162,70.489617,80.004418,1840,2395,628,77.0787323333333,10.82907,10.82907,6.60058080080119
"ADAM17","Adam17",12.670071,11.518596,14.986136,520,720,171,13.0582676666667,16.67372,16.67372,0.795433426956332
"ADAM18","Adam18",1.628233,0.537566,0.140858,16,21,2,0.768885666666667,0,0,1.76888566666667
"ADAM19","Adam19",5.595707,6.355486,6.393251,762,1260,237,6.11481466666667,8.9188,8.9188,0.717305991316154
"ADAM1A","Adam1a",4.699845,4.382973,3.640317,399,571,95,4.241045,2.55546,2.55546,1.47408352224466
"ADAM1B","Adam1b",0.064066,0.013782,0,5,1,0,0.0259493333333333,5.26272,5.26272,0.163818489942602
"ADAM2","Adam2",0.054981,0.025221,0.229336,2,2,2,0.103179333333333,0,0,1.10317933333333
"ADAM20","Adam25",0.081831,0.048812,0,5,4,0,0.0435476666666667,0.21506,0.21506,0.858844556373074
"ADAM21","Adam21",0.370266,0.359962,0.307278,23,33,6,0.345835333333333,0.44278,0.44278,0.932807034567525
"ADAM22","Adam22",41.63082,37.523169,26.093372,4496,5385,1022,35.0824536666667,2.3657,2.3657,10.7206386982401
"ADAM23","Adam23",91.311682,74.987058,56.776911,6057,8635,1731,74.3585503333333,83.65959,83.65959,0.890136018061667
"ADAM24P","Adam24",0,0,0,0,0,0,0,0,0,1
"ADAM28","Adam28",0.07544,0.143584,0,4,14,0,0.073008,3.2892,3.2892,0.250165065746526
"ADAM29","Adam29",0,0,0,0,0,0,0,0,0,1
"ADAM32","Adam32",0.563134,0.545484,1.12187,6,15,3,0.743496,0.54398,0.54398,1.12922188111245
"ADAM33","Adam33",2.53041,1.930884,2.055027,76,79,13,2.172107,8.48867,8.48867,0.334304702345007
"ADAM3A","Adam3",0,0.146861,0,0,2,0,0.0489536666666667,0,0,1.04895366666667
"ADAM5","Adam5",0.046023,0.022873,0,2,2,0,0.0229653333333333,0,0,1.02296533333333
"ADAM7","Adam7",0.040358,0.097821,0,3,5,0,0.0460596666666667,0,0,1.04605966666667
"ADAM8","Adam8",2.478647,2.541947,0.991776,78,76,21,2.00412333333333,0.0253,0.0253,2.92999447316233
"ADAM9","Adam9",16.378543,17.480677,13.157699,1229,1796,337,15.6723063333333,112.00998,112.00998,0.147529504326373
"ADAMDEC1","Adamdec1",0,0,0,0,0,0,0,0.08856,0.08856,0.918644815168663
"ADAMTS1","Adamts1",2.691414,2.970973,2.561618,264,405,76,2.741335,36.80111,36.80111,0.0989742100165842
"ADAMTS10","Adamts10",11.833806,11.353123,11.734057,533,786,166,11.6403286666667,0.27832,0.27832,9.88823507937501
"ADAMTS12","Adamts12",0.164584,0.08406,0.049046,32,17,3,0.09923,1.32833,1.32833,0.472110912112974
"ADAMTS13","Adamts13",0,0,0.043853,0,0,1,0.0146176666666667,2.06208,2.06208,0.331349170063051
"ADAMTS15","Adamts15",0.823185,0.830961,0.413378,55,46,17,0.689174666666667,5.11091,5.11091,0.276419496714346
