"Hs_symbol","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"ABL2","Abl2",6.505006,5.893185,4.067408,1208,1501,243,5.488533,4.06608,4.06608,1.28077981397846
"ABLIM1","Ablim1",19.932181,14.238708,13.501742,2058,2420,544,15.890877,28.96045,28.96045,0.563772473377403
"ABLIM2","Ablim2",77.501144,78.624032,83.529767,2000,2948,656,79.884981,57.71345,57.71345,1.37762269122322
"ABLIM3","Ablim3",3.978462,2.558477,2.756626,379,366,82,3.097855,20.45487,20.45487,0.19099882683978
"ABO","Abo",0,0.018597,0.087707,0,1,1,0.0354346666666667,1.24472,1.24472,0.461275645366311
"ABR","Abr",74.646676,57.404363,59.13765,5473,6170,1543,63.729563,149.67739,149.67739,0.429590418310272
"ABRA","Abra",0.018005,0.01128,0,1,1,0,0.00976166666666667,0.26969,0.26969,0.795282050474263
"ABRACL","Abracl",36.891442,26.41917,26.414674,73,83,21,29.9084286666667,10.60085,10.60085,2.66432448197043
"ABT1","Abt1",1.876958,1.547864,2.244052,184,227,69,1.88962466666667,5.91241,5.91241,0.418034327631993
"ABTB1","Abtb1",20.185235,16.277574,21.128845,464,615,144,19.197218,51.5106,51.5106,0.384631255403671
"ABTB2","Abtb2",4.27992,4.990935,4.435689,419,704,139,4.568848,17.65426,17.65426,0.298529558395777
"ACAA1","Acaa1b",0.773102,0.218939,0.620438,15,11,7,0.537493,79.76571,79.76571,0.0190364574272919
"ACAA2","Acaa2",20.963765,13.131852,15.757114,326,408,95,16.617577,30.05995,30.05995,0.567212020624631
"ACACA","Acaca",22.195442,21.317759,10.804532,2827,4307,669,18.105911,42.25819,42.25819,0.441671530870802
"ACACB","Acacb",2.966425,2.245241,1.899891,253,405,100,2.370519,19.58357,19.58357,0.163748028160324
"ACAD10","Acad10",1.395235,2.376533,2.320622,85,127,26,2.03079666666667,21.69959,21.69959,0.133517683212193
"ACAD11","Acad11",11.338964,9.925988,11.505482,562,777,163,10.923478,21.80332,21.80332,0.522883422238516
"ACAD8","Acad8",14.2754,12.586996,10.959902,352,475,104,12.6074326666667,25.95238,25.95238,0.504869427733902
"ACAD9","Acad9",41.203767,34.89229,35.359212,975,1301,247,37.1517563333333,22.19748,22.19748,1.644650898862
"ACADL","Acadl",25.651733,24.871783,24.52402,840,1274,288,25.0158453333333,1.59739,1.59739,10.0161490316561
"ACADM","Acadm",58.745312,36.227401,29.691039,514,691,140,41.554584,29.87324,29.87324,1.37836469382546
"ACADS","Acads",6.529714,5.634912,4.78439,176,254,53,5.649672,12.34346,12.34346,0.498346905525254
"ACADSB","Acadsb",140.109473,139.144093,71.864677,1218,1759,269,117.039414333333,7.24011,7.24011,14.3249804108602
"ACADVL","Acadvl",29.417193,26.697487,39.322243,974,1271,339,31.8123076666667,537.46943,537.46943,0.0609362497452579
"ACAN","Acan",4.519357,3.856825,3.878308,545,722,134,4.08483,1.57664,1.57664,1.97343439518132
"ACAP1","Acap1",0.160375,0.198819,0.333643,9,13,3,0.230945666666667,64.37269,64.37269,0.0188296621519883
"ACAP2","Acap2",24.012689,28.211964,19.001302,1829,3174,501,23.741985,4.87515,4.87515,4.21129417972307
"ACAT1","Acat1",41.162205,35.798947,46.975877,1423,1790,443,41.312343,101.6935,101.6935,0.412025522550113
"ACAT2","Acat2",40.665782,41.068989,46.124782,1183,1881,412,42.619851,21.38841,21.38841,1.94832285990832
"ACBD3","Acbd3",10.456161,8.817061,9.958128,748,956,223,9.74378333333333,9.95775,9.95775,0.980473485280585
"ACBD5","Acbd5",39.799716,34.501608,29.768931,1629,2629,472,34.690085,28.48331,28.48331,1.21051825592174
"ACBD6","Acbd6",35.28567,29.491404,43.187113,614,762,206,35.9880623333333,200.71085,200.71085,0.183371704265454
"ACBD7","Acbd7",0.916559,0.914463,0.98258,6,9,2,0.937867333333333,18.40109,18.40109,0.0998844566636892
"ACCS","Accs",3.86236,2.573998,5.720381,126,178,54,4.05224633333333,17.9032,17.9032,0.267269368854656
"ACCSL","Accsl",0.100077,0.118829,0.067827,4,3,1,0.0955776666666667,0,0,1.09557766666667
"ACD","Acd",11.708988,8.977386,15.558951,321,353,126,12.081775,14.29352,14.29352,0.855380252551407
"ACE","Ace",6.85104,5.450423,6.464917,583,638,164,6.25546,3.2985,3.2985,1.68790508316855
"ACE2","Ace2",0.703129,0.439627,0.086061,42,48,2,0.409605666666667,0.97503,0.97503,0.713713546967219
"ACE3P","Ace3",0.021593,0.0144,0,1,1,0,0.0119976666666667,0,0,1.01199766666667
"ACER1","Acer1",0.021691,0.013217,0,1,1,0,0.011636,0.53938,0.53938,0.657171068871883
"ACER2","Acer2",3.578901,3.612412,3.507171,293,419,95,3.56616133333333,0.56012,0.56012,2.92680135716056
"ACER3","Acer3",5.33321,5.297838,3.312498,588,759,160,4.64784866666667,38.85596,38.85596,0.141706501779575
"ACHE","Ache",133.05904,101.056948,116.214608,3230,4242,1133,116.776865333333,73.60435,73.60435,1.57868630091051
"ACIN1","Acin1",66.142631,56.196921,48.187616,1860,2205,484,56.8423893333333,97.73114,97.73114,0.585857606154789
"ACLY","Acly",104.42968,115.808562,122.784102,7508,12430,2500,114.340781333333,35.35,35.35,3.17306138468592
"ACMSD","Acmsd",0.250152,0.082175,0.159311,10,6,2,0.163879333333333,0.12447,0.12447,1.03504702956356
"ACO1","Aco1",9.548868,11.643803,10.725997,688,969,232,10.639556,8.81676,8.81676,1.18568203765805
"ACO2","Aco2",275.677282,225.355992,267.756615,9127,11839,3130,256.263296333333,127.9778,127.9778,1.99463238117981
"ACOT1","Acot3",0.234426,0.160951,0.355095,14,12,8,0.250157333333333,1.84633,1.84633,0.43921728447978
"ACOT11","Acot11",31.291213,30.108627,23.60258,1932,2643,500,28.33414,2.94583,2.94583,7.43421282721253
"ACOT12","Acot12",0.079966,0.252288,0,4,14,0,0.110751333333333,0,0,1.11075133333333
"ACOT13","Acot13",157.51678,116.485561,68.278891,489,681,163,114.093744,33.44144,33.44144,3.3417227618822
"ACOT2","Acot2",1.850343,1.867143,1.207003,80,121,16,1.64149633333333,8.81676,8.81676,0.269080260017901
"ACOT4","Acot4",3.018317,2.376966,0.237518,67,77,10,1.87760033333333,0.53938,0.53938,1.8693242301013
"ACOT6","Acot6",2.021448,1.857693,1.602341,145,199,36,1.82716066666667,0,0,2.82716066666667
"ACOT7","Acot7",204.185837,177.859959,182.811225,3634,5205,1369,188.285673666667,128.33047,128.33047,1.46358142568156
"ACOT8","Acot8",6.812502,7.054797,4.571108,121,202,29,6.14613566666667,41.69807,41.69807,0.167364371894717
"ACOT9","Acot9",10.646338,8.355602,7.608419,333,370,83,8.87011966666667,7.92471,7.92471,1.10593169600656
"ACOX1","Acox1",38.281042,36.979115,36.155443,2815,4071,907,37.1385333333333,45.41148,45.41148,0.821747837675794
"ACOX2","Acox2",0.478907,0.537406,1.920292,7,13,7,0.978868333333333,6.45179,6.45179,0.26555610575893
"ACOX3","Acox3",31.578703,26.301488,22.859586,995,1397,328,26.913259,11.70035,11.70035,2.1978338392249
"ACOXL","Acoxl",0.032761,0.021899,0,2,2,0,0.01822,0.20745,0.20745,0.84328129529173
"ACP1","Acp1",43.469525,42.708891,37.818103,1062,1304,300,41.332173,49.4983,49.4983,0.838289071117245
"ACP2","Acp2",14.948313,13.40809,13.834404,1522,1780,427,14.0636023333333,24.0853,24.0853,0.600495203698315
"ACP5","Acp5",0.426923,0.534385,0.367158,5,8,3,0.442822,12.15675,12.15675,0.109664012769111
"ACP6","Acp6",12.775913,9.182779,11.204909,262,304,72,11.0545336666667,6.14061,6.14061,1.68816581029725
"ACR","Acr",0.454999,0.859649,0.600143,13,15,5,0.638263666666667,1.05801,1.05801,0.796042617220843
"ACRBP","Acrbp",5.73949,4.783652,6.789045,91,120,35,5.770729,2.86285,2.86285,1.75278071889926
"ACRV1","Acrv1",0.129637,0.107061,0.275087,9,11,6,0.170595,0.82981,0.82981,0.639735819565966
"ACSBG1","Acsbg1",108.813398,94.405486,84.872829,4262,5796,1577,96.030571,36.98888,36.98888,2.5541835137019
"ACSBG2","Acsbg2",0.019263,0,0,1,0,0,0.006421,0.47714,0.47714,0.68133081495322
"ACSF2","Acsf2",24.630047,17.495217,16.328537,485,643,130,19.4846003333333,20.97351,20.97351,0.932240699521075
"ACSF3","Acsf3",7.137229,5.689405,5.478674,331,399,80,6.10176933333333,41.9885,41.9885,0.165201608182033
"ACSL1","Acsl1",23.107288,34.423455,39.671238,803,1349,245,32.4006603333333,43.06726,43.06726,0.757947290876114
"ACSL3","Acsl3",141.226341,139.771625,112.269409,4160,6087,1311,131.089125,28.00617,28.00617,4.55382854751248
"ACSL4","Acsl4",21.479562,22.663303,21.725103,816,1113,182,21.9559893333333,10.72532,10.72532,1.95781346123887
"ACSL5","Acsl5",45.183423,27.652313,57.118124,754,770,207,43.3179533333333,6.67999,6.67999,5.77057435404647
"ACSL6","Acsl6",131.3267,112.459272,98.930735,6556,8580,1883,114.238902333333,16.26432,16.26432,6.67497488075599
"ACSM1","Acsm1",0,0,0,0,0,0,0,1.51441,1.51441,0.397707613316842
"ACSM2B","Acsm2",0.04072,0.018053,0.021651,6,4,1,0.026808,0,0,1.026808
"ACSM3","Acsm3",3.148108,2.227132,1.721317,12,17,3,2.365519,0.62236,0.62236,2.07445881308711
"ACSM4","Acsm4",0,0.044942,0,0,3,0,0.0149806666666667,0,0,1.01498066666667
"ACSM5","Acsm5",1.284788,0.826242,0.714794,53,61,13,0.941941333333333,5.539,5.539,0.2969783351175
"ACSS1","Acss1",9.81163,7.128186,8.411244,436,528,120,8.45035333333333,29.04343,29.04343,0.314556404955537
"ACSS2","Acss2",41.583731,44.676566,29.155586,1610,2683,462,38.471961,60.70077,60.70077,0.639732064932091
"ACSS3","Acss3",2.178701,1.623659,1.218299,157,191,32,1.673553,5.26931,5.26931,0.426450917246077
"ACTA1","Acta1",6.487384,4.455121,0.373325,181,188,1,3.77194333333333,82.19291,82.19291,0.0573599761486085
"ACTA2","Acta2",15.069679,2.496488,19.462987,408,100,178,12.3430513333333,69.72498,69.72498,0.188661083160905
"ACTB","Actb",907.491548,1110.026367,1271.568006,8257,14043,3318,1096.36197366667,3491.18631,3491.18631,0.314233513408014
"ACTBL2","Actbl2",0.053245,0.023264,0,3,2,0,0.025503,0,0,1.025503
"ACTC1","Actc1",0.988564,0.518019,0,7,6,0,0.502194333333333,18.52556,18.52556,0.0769347631173361
"ACTG1","Actg1",576.738602,537.265372,794.751001,13658,19486,5374,636.251658333333,1159.14406,1159.14406,0.5492866621524
"ACTG2","Actg2",0.289823,0.066606,0,7,2,0,0.118809666666667,26.26356,26.26356,0.0410368149525105
"ACTL10","Actl10",1.004756,0.51982,0.429127,30,24,4,0.651234333333333,0.74683,0.74683,0.945274773923812
"ACTL6A","Actl6a",9.661133,9.129784,11.273125,195,233,70,10.0213473333333,67.56747,67.56747,0.160737261172584
"ACTL6B","Actl6b",20.704586,15.42755,22.289875,464,520,151,19.4740036666667,40.0177,40.0177,0.499150456185175
"ACTL7A","Actl7a",0,0,0,0,0,0,0,0,0,1
"ACTL7B","Actl7b",0,0,0,0,0,0,0,0.10373,0.10373,0.906018682105225
"ACTL9","Actl9",0.11365,0.15072,0.357541,3,6,3,0.207303666666667,0,0,1.20730366666667
"ACTN1","Actn1",12.095666,7.159796,10.301106,549,556,136,9.85218933333333,25.99387,25.99387,0.402024212657664
"ACTN2","Actn2",3.391132,1.608143,1.393511,64,65,10,2.13092866666667,64.70461,64.70461,0.0476515828442885
"ACTN4","Actn4",38.469791,32.262134,36.204158,1463,2013,530,35.645361,796.8895,796.8895,0.0459278646980566
"ACTR10","Actr10",125.586157,102.534199,134.49901,2166,2556,634,120.873122,63.0035,63.0035,1.90416339731421
"ACTR1A","Actr1a",62.352935,67.448044,69.459203,3183,4813,1166,66.4200606666667,75.76186,75.76186,0.878301550622492
"ACTR1B","Actr1b",123.178924,130.20487,102.624512,3860,4762,1235,118.669435333333,70.53405,70.53405,1.67290172069572
"ACTR2","Actr2",48.256756,42.50762,43.211249,3472,4667,970,44.6585416666667,55.16177,55.16177,0.812982597711338
"ACTR3","Actr3",86.343814,65.597556,71.256507,2301,3077,725,74.3992923333333,37.94317,37.94317,1.93613648640656
"ACTR3B","Actr3b",18.979007,15.299471,19.530796,733,908,245,17.9364246666667,43.35769,43.35769,0.426902858707626
"ACTR5","Actr5",2.728636,2.676546,6.582844,119,122,40,3.99600866666667,9.43911,9.43911,0.47858569041486
"ACTR6","Actr6",11.039334,8.957461,7.94164,229,323,70,9.31281166666667,18.31811,18.31811,0.533841647379928
"ACTR8","Actr8",31.072604,22.185834,25.666657,807,980,234,26.308365,13.44296,13.44296,1.89077342871544
"ACTRT1","Actrt1",0,0,0,0,0,0,0,0,0,1
"ACTRT2","Actrt2",0,0,0,0,0,0,0,0,0,1
"ACTRT3","Actrt3",0.623369,0.419144,0.94944,25,25,12,0.663984333333333,0.26969,0.26969,1.31054378102792
"ACVR1","Acvr1",6.144111,5.309225,6.386865,369,461,119,5.94673366666667,9.12794,9.12794,0.685897987810618
"ACVR1B","Acvr1b",13.4585,8.663865,10.887607,1310,1277,335,11.003324,11.99079,11.99079,0.923987224795413
"ACVR1C","Acvr1c",1.201653,0.810025,0.726638,142,214,43,0.912772,0.58087,0.58087,1.20994895215925
"ACVR2A","Acvr2a",4.606203,3.970851,3.565358,391,502,88,4.04747066666667,8.40185,8.40185,0.536859306058559
"ACVR2B","Acvr2b",3.789204,2.330717,0.9235,109,127,16,2.347807,0.85056,0.85056,1.80907779266817
"ACVRL1","Acvrl1",17.458956,13.633657,17.679918,292,340,108,16.2575103333333,11.2647,11.2647,1.40708784832351
"ACY1","Acy1",12.779082,21.125795,22.631306,211,432,94,18.8453943333333,14.97811,14.97811,1.24203640689251
"ACY3","Acy3",6.158622,10.285627,9.358693,103,275,46,8.60098066666667,14.35575,14.35575,0.625236843961817
"ACYP1","Acyp1",23.071435,21.010466,20.41723,195,275,55,21.4997103333333,32.25895,32.25895,0.676500921807012
"ACYP2","Acyp2",29.073172,29.490531,33.99376,341,557,125,30.8524876666667,455.27652,455.27652,0.0698096138426467
"ADA","Ada",1.274145,1.440488,1.214389,43,65,13,1.309674,13.42221,13.42221,0.160147023237077
"ADAD1","Adad1",0,0,0,0,0,0,0,0,0,1
"ADAD2","Adad2",0,0,0,0,0,0,0,2.09528,2.09528,0.323072549171642
"ADAL","Adal",9.517798,7.488731,9.410691,396,421,98,8.80574,6.32732,6.32732,1.33824372348963
"ADAM10","Adam10",17.942483,15.258774,16.195392,1596,2130,457,16.4655496666667,25.70344,25.70344,0.65405616904289
"ADAM11","Adam11",39.428928,35.361299,38.397555,1761,2537,569,37.7292606666667,19.9155,19.9155,1.85170140167181
"ADAM12","Adam12",0.713418,0.778313,0.354136,68,135,17,0.615289,1.95006,1.95006,0.547544456722914
"ADAM15","Adam15",80.742162,70.489617,80.004418,1840,2395,628,77.0787323333333,157.24943,157.24943,0.493390291095098
"ADAM17","Adam17",12.670071,11.518596,14.986136,520,720,171,13.0582676666667,11.9493,11.9493,1.08563919800041
"ADAM18","Adam18",1.628233,0.537566,0.140858,16,21,2,0.768885666666667,0,0,1.76888566666667
"ADAM19","Adam19",5.595707,6.355486,6.393251,762,1260,237,6.11481466666667,4.56397,4.56397,1.27872987573022
"ADAM1A","Adam1a",4.699845,4.382973,3.640317,399,571,95,4.241045,1.5559,1.5559,2.05056731484017
"ADAM1B","Adam1b",0.064066,0.013782,0,5,1,0,0.0259493333333333,0.37342,0.37342,0.747003344449137
"ADAM2","Adam2",0.054981,0.025221,0.229336,2,2,2,0.103179333333333,1.34844,1.34844,0.469749848126132
"ADAM20","Adam25",0.081831,0.048812,0,5,4,0,0.0435476666666667,0,0,1.04354766666667
"ADAM21","Adam21",0.370266,0.359962,0.307278,23,33,6,0.345835333333333,0.41491,0.41491,0.951180876051009
"ADAM22","Adam22",41.63082,37.523169,26.093372,4496,5385,1022,35.0824536666667,21.4299,21.4299,1.60867652850288
"ADAM23","Adam23",91.311682,74.987058,56.776911,6057,8635,1731,74.3585503333333,13.42221,13.42221,5.22517355754308
"ADAM24P","Adam24",0,0,0,0,0,0,0,0,0,1
"ADAM28","Adam28",0.07544,0.143584,0,4,14,0,0.073008,18.21438,18.21438,0.0558440084978022
"ADAM29","Adam29",0,0,0,0,0,0,0,0.08298,0.08298,0.923378086391254
"ADAM32","Adam32",0.563134,0.545484,1.12187,6,15,3,0.743496,8.92048,8.92048,0.175747141267358
"ADAM33","Adam33",2.53041,1.930884,2.055027,76,79,13,2.172107,7.98694,7.98694,0.352968529888928
"ADAM3A","Adam3",0,0.146861,0,0,2,0,0.0489536666666667,0.74683,0.74683,0.600489839690563
"ADAM5","Adam5",0.046023,0.022873,0,2,2,0,0.0229653333333333,0,0,1.02296533333333
"ADAM7","Adam7",0.040358,0.097821,0,3,5,0,0.0460596666666667,0,0,1.04605966666667
"ADAM8","Adam8",2.478647,2.541947,0.991776,78,76,21,2.00412333333333,7.5098,7.5098,0.353019264064177
"ADAM9","Adam9",16.378543,17.480677,13.157699,1229,1796,337,15.6723063333333,17.84096,17.84096,0.884896859466467
"ADAMDEC1","Adamdec1",0,0,0,0,0,0,0,0.12447,0.12447,0.889307851699023
"ADAMTS1","Adamts1",2.691414,2.970973,2.561618,264,405,76,2.741335,17.15637,17.15637,0.206061839453591
"ADAMTS10","Adamts10",11.833806,11.353123,11.734057,533,786,166,11.6403286666667,7.03266,7.03266,1.57361679277682
"ADAMTS12","Adamts12",0.164584,0.08406,0.049046,32,17,3,0.09923,2.6554,2.6554,0.300714012146413
"ADAMTS13","Adamts13",0,0,0.043853,0,0,1,0.0146176666666667,7.07415,7.07415,0.125662474274898
