"Hs_symbol","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","Spinal_cord","dHs_Avg_TPM","FoldChange"
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.18621,0.18621,0.843021050235624
"ABCB6","Abcb6",11.256848,9.906954,10.797514,311,438,107,10.653772,28.7688,28.7688,0.391476042030582
"ABCB7","Abcb7",7.537502,7.121689,6.273685,852,1270,219,6.97762533333333,9.12409,9.12409,0.787984434485799
"ABCB8","Abcb8",32.393634,22.982948,29.272752,764,1061,243,28.2164446666667,16.97577,16.97577,1.62532368108107
"ABCB9","Abcb9",13.338002,13.437693,14.346582,897,1194,345,13.7074256666667,19.58265,19.58265,0.714554523672446
"ABCC1","Abcc1",6.382838,7.348494,2.504568,439,657,118,5.41196666666667,4.2517,4.2517,1.2209316348357
"ABCC10","Abcc10",4.048571,3.606159,3.043047,272,388,93,3.56592566666667,35.25497,35.25497,0.125939303402173
"ABCC12","Abcc12",0.455108,0.934647,0.773761,35,106,17,0.721172,0.83793,0.83793,0.936473097452025
"ABCC2","Abcc2",0.077074,0.105317,0.017706,5,9,1,0.066699,0.83793,0.83793,0.580380645617624
"ABCC3","Abcc3",0.811729,0.712912,0.426075,31,43,6,0.650238666666667,9.86891,9.86891,0.151831109712627
"ABCC5","Abcc5",183.364476,141.300881,150.092514,4295,5403,1092,158.252623666667,21.22747,21.22747,7.16467612673267
"ABCC6","Abcc6",1.008744,1.57666,0.876534,63,89,18,1.15397933333333,1.48965,1.48965,0.865173551837942
"ABCC9","Abcc9",2.029741,1.735282,2.238094,334,424,115,2.001039,2.14137,2.14137,0.955328089336818
"ABCD1","Abcd1",3.751694,3.290507,2.928051,253,362,74,3.32341733333333,6.26893,6.26893,0.594780433066948
"ABCD2","Abcd2",26.320987,26.081769,26.769714,1181,1617,306,26.3908233333333,0.62069,0.62069,16.9007171842446
"ABCD3","Abcd3",23.379323,22.163501,20.687641,1616,2217,462,22.0768216666667,22.4378,22.4378,0.984598454917555
"ABCD4","Abcd4",9.282074,6.916407,9.782007,391,509,129,8.66016266666667,114.29935,114.29935,0.0837833228605943
"ABCE1","Abce1",20.233439,17.96782,16.699634,1557,2065,408,18.3002976666667,12.13441,12.13441,1.4694453475007
"ABCF1","Abcf1",39.898575,34.456644,30.824655,1253,1481,371,35.059958,29.32742,29.32742,1.18902161806049
"ABCF2","Abcf2",28.959469,23.183203,30.132421,1585,1906,522,27.425031,13.28268,13.28268,1.99017488314518
"ABCF3","Abcf3",251.730555,202.838829,291.535145,1377,1754,455,248.701509666667,52.78936,52.78936,4.64221008888499
"ABCG1","Abcg1",18.19387,16.716273,15.025299,1036,1496,310,16.6451473333333,10.27236,10.27236,1.56534632795025
"ABCG2","Abcg2",29.071391,25.795465,21.358509,625,771,199,25.408455,26.44123,26.44123,0.962364114145029
"ABCG5","Abcg5",0.145426,0.040795,0.09925,3,3,1,0.095157,0.06207,0.06207,1.03115331381171
"ABCG8","Abcg8",0.024937,0.008273,0,2,1,0,0.01107,0,0,1.01107
"ABHD1","Abhd1",1.196823,0.71728,1.031029,31,27,8,0.981710666666667,8.37926,8.37926,0.211286462542532
"ABHD10","Abhd10",10.83551,11.441995,11.652591,366,588,127,11.310032,12.59993,12.59993,0.905154070645952
"ABHD11","Abhd11",14.205171,12.188733,16.893946,276,355,101,14.4292833333333,12.19648,12.19648,1.16919688684659
"ABHD12","Abhd12",220.058829,194.911665,204.331185,3618,4930,1247,206.433893,242.09863,242.09863,0.853291081895443
"ABHD13","Abhd13",5.454363,4.367787,4.270211,591,721,144,4.69745366666667,2.0793,2.0793,1.85024312884963
"ABHD14A","Abhd14a",13.142815,14.339487,11.925889,244,407,75,13.1360636666667,68.67892,68.67892,0.202874322200555
"ABHD14B","Abhd14b",12.490752,10.736031,18.244562,299,361,106,13.8237816666667,19.67575,19.67575,0.716964640541052
"ABHD15","Abhd15",0.515703,0.794554,0.51023,29,56,9,0.606829,2.48274,2.48274,0.461369209300723
"ABHD16A","Abhd16a",51.520744,49.225194,58.978636,1022,1419,372,53.2415246666667,94.22016,94.22016,0.569643284223285
"ABHD16B","Abhd16b",0,0.018444,0,0,1,0,0.006148,4.31377,4.31377,0.18934729956321
"ABHD2","Abhd2",10.865608,9.806749,11.171332,1666,2251,544,10.614563,5.2448,5.2448,1.8598774980784
"ABHD3","Abhd3",46.049488,40.965363,48.916433,1107,1482,417,45.310428,7.97582,7.97582,5.15946487340432
"ABHD4","Abhd4",41.709837,46.489543,44.554436,1708,2683,643,44.251272,24.02055,24.02055,1.80856424019456
"ABHD5","Abhd5",23.061725,28.261032,19.459388,517,895,157,23.5940483333333,29.73087,29.73087,0.800304330249464
"ABHD6","Abhd6",17.219782,14.994396,17.500717,721,938,243,16.5716316666667,34.57222,34.57222,0.493970622768741
"ABHD8","Abhd8",50.936956,38.078002,64.276007,2090,2352,803,51.0969883333333,21.91022,21.91022,2.27396281368461
"ABI1","Abi1",61.0719,45.96582,56.390212,1232,1550,346,54.4759773333333,28.64467,28.64467,1.87136430708567
"ABI2","Abi2",30.069824,20.950699,16.188413,1747,2281,476,22.4029786666667,34.38601,34.38601,0.661362461228793
"ABI3","Abi3",2.297924,3.572839,4.360517,45,62,12,3.41042666666667,12.78613,12.78613,0.319917675712232
"ABL1","Abl1",17.252337,18.901642,11.215876,1307,2217,446,15.7899516666667,29.04811,29.04811,0.558768976373777
"ABL2","Abl2",6.505006,5.893185,4.067408,1208,1501,243,5.488533,3.69308,3.69308,1.38257455658118
"ABLIM1","Ablim1",19.932181,14.238708,13.501742,2058,2420,544,15.890877,41.71011,41.71011,0.395477253512108
"ABLIM2","Ablim2",77.501144,78.624032,83.529767,2000,2948,656,79.884981,26.78261,26.78261,2.91135285705699
"ABLIM3","Ablim3",3.978462,2.558477,2.756626,379,366,82,3.097855,56.73071,56.73071,0.0709822380497312
"ABO","Abo",0,0.018597,0.087707,0,1,1,0.0354346666666667,1.36551,1.36551,0.43772153432734
"ABR","Abr",74.646676,57.404363,59.13765,5473,6170,1543,63.729563,123.85792,123.85792,0.518425767464331
"ABRA","Abra",0.018005,0.01128,0,1,1,0,0.00976166666666667,0.06207,0.06207,0.950748695158197
"ABRACL","Abracl",36.891442,26.41917,26.414674,73,83,21,29.9084286666667,5.05859,5.05859,5.10158777317275
"ABT1","Abt1",1.876958,1.547864,2.244052,184,227,69,1.88962466666667,4.43791,4.43791,0.531385158391122
"ABTB1","Abtb1",20.185235,16.277574,21.128845,464,615,144,19.197218,48.9411,48.9411,0.404420767664309
"ABTB2","Abtb2",4.27992,4.990935,4.435689,419,704,139,4.568848,42.02045,42.02045,0.129446530661581
"ACAA1","Acaa1b",0.773102,0.218939,0.620438,15,11,7,0.537493,75.50647,75.50647,0.0200962480689542
"ACAA2","Acaa2",20.963765,13.131852,15.757114,326,408,95,16.617577,75.22716,75.22716,0.231119419902303
"ACACA","Acaca",22.195442,21.317759,10.804532,2827,4307,669,18.105911,32.49292,32.49292,0.570446261478545
"ACACB","Acacb",2.966425,2.245241,1.899891,253,405,100,2.370519,5.52411,5.52411,0.516625102887597
"ACAD10","Acad10",1.395235,2.376533,2.320622,85,127,26,2.03079666666667,18.43438,18.43438,0.155950262713123
"ACAD11","Acad11",11.338964,9.925988,11.505482,562,777,163,10.923478,18.15507,18.15507,0.622471126443286
"ACAD8","Acad8",14.2754,12.586996,10.959902,352,475,104,12.6074326666667,12.44476,12.44476,1.0120993358503
"ACAD9","Acad9",41.203767,34.89229,35.359212,975,1301,247,37.1517563333333,16.85163,16.85163,2.13715813812707
"ACADL","Acadl",25.651733,24.871783,24.52402,840,1274,288,25.0158453333333,1.24137,1.24137,11.6071176705914
"ACADM","Acadm",58.745312,36.227401,29.691039,514,691,140,41.554584,40.59287,40.59287,1.02312208799249
"ACADS","Acads",6.529714,5.634912,4.78439,176,254,53,5.649672,15.76543,15.76543,0.396629970123045
"ACADSB","Acadsb",140.109473,139.144093,71.864677,1218,1759,269,117.039414333333,5.80342,5.80342,17.3500113668322
"ACADVL","Acadvl",29.417193,26.697487,39.322243,974,1271,339,31.8123076666667,558.18304,558.18304,0.0586790108417213
"ACAN","Acan",4.519357,3.856825,3.878308,545,722,134,4.08483,2.23447,2.23447,1.57207517769526
"ACAP1","Acap1",0.160375,0.198819,0.333643,9,13,3,0.230945666666667,87.42364,87.42364,0.013921001970363
"ACAP2","Acap2",24.012689,28.211964,19.001302,1829,3174,501,23.741985,12.22752,12.22752,1.87049310830753
"ACAT1","Acat1",41.162205,35.798947,46.975877,1423,1790,443,41.312343,92.14086,92.14086,0.454283361781285
"ACAT2","Acat2",40.665782,41.068989,46.124782,1183,1881,412,42.619851,32.58602,32.58602,1.29875022405155
"ACBD3","Acbd3",10.456161,8.817061,9.958128,748,956,223,9.74378333333333,12.25855,12.25855,0.8103286809895
"ACBD5","Acbd5",39.799716,34.501608,29.768931,1629,2629,472,34.690085,44.13078,44.13078,0.790814716696676
"ACBD6","Acbd6",35.28567,29.491404,43.187113,614,762,206,35.9880623333333,167.8025,167.8025,0.219120346756318
"ACBD7","Acbd7",0.916559,0.914463,0.98258,6,9,2,0.937867333333333,9.15512,9.15512,0.190826630638863
"ACCS","Accs",3.86236,2.573998,5.720381,126,178,54,4.05224633333333,16.07577,16.07577,0.295872240802806
"ACCSL","Accsl",0.100077,0.118829,0.067827,4,3,1,0.0955776666666667,0,0,1.09557766666667
"ACD","Acd",11.708988,8.977386,15.558951,321,353,126,12.081775,14.86543,14.86543,0.82454588372329
"ACE","Ace",6.85104,5.450423,6.464917,583,638,164,6.25546,5.30687,5.30687,1.15040582729627
"ACE2","Ace2",0.703129,0.439627,0.086061,42,48,2,0.409605666666667,0.0931,0.0931,1.2895486841704
"ACE3P","Ace3",0.021593,0.0144,0,1,1,0,0.0119976666666667,0,0,1.01199766666667
"ACER1","Acer1",0.021691,0.013217,0,1,1,0,0.011636,0,0,1.011636
"ACER2","Acer2",3.578901,3.612412,3.507171,293,419,95,3.56616133333333,2.94826,2.94826,1.15649965638872
"ACER3","Acer3",5.33321,5.297838,3.312498,588,759,160,4.64784866666667,43.29286,43.29286,0.12751149207043
"ACHE","Ache",133.05904,101.056948,116.214608,3230,4242,1133,116.776865333333,34.35498,34.35498,3.33126663721301
"ACIN1","Acin1",66.142631,56.196921,48.187616,1860,2205,484,56.8423893333333,77.08922,77.08922,0.74072182220969
"ACLY","Acly",104.42968,115.808562,122.784102,7508,12430,2500,114.340781333333,28.27225,28.27225,3.94027727056626
"ACMSD","Acmsd",0.250152,0.082175,0.159311,10,6,2,0.163879333333333,0.34138,0.34138,0.867673092884442
"ACO1","Aco1",9.548868,11.643803,10.725997,688,969,232,10.639556,7.69651,7.69651,1.3384169051723
"ACO2","Aco2",275.677282,225.355992,267.756615,9127,11839,3130,256.263296333333,73.39614,73.39614,3.45801941247669
"ACOT1","Acot3",0.234426,0.160951,0.355095,14,12,8,0.250157333333333,1.36551,1.36551,0.528493784990693
"ACOT11","Acot11",31.291213,30.108627,23.60258,1932,2643,500,28.33414,1.61378,1.61378,11.2228802730146
"ACOT12","Acot12",0.079966,0.252288,0,4,14,0,0.110751333333333,0,0,1.11075133333333
"ACOT13","Acot13",157.51678,116.485561,68.278891,489,681,163,114.093744,37.45841,37.45841,2.99268076865372
"ACOT2","Acot2",1.850343,1.867143,1.207003,80,121,16,1.64149633333333,7.4172,7.4172,0.313821262811069
"ACOT4","Acot4",3.018317,2.376966,0.237518,67,77,10,1.87760033333333,0.65172,0.65172,1.74218410707222
"ACOT6","Acot6",2.021448,1.857693,1.602341,145,199,36,1.82716066666667,0.37241,0.37241,2.05999713399543
"ACOT7","Acot7",204.185837,177.859959,182.811225,3634,5205,1369,188.285673666667,54.80659,54.80659,3.391815799293
"ACOT8","Acot8",6.812502,7.054797,4.571108,121,202,29,6.14613566666667,44.47216,44.47216,0.157154084315913
"ACOT9","Acot9",10.646338,8.355602,7.608419,333,370,83,8.87011966666667,12.19648,12.19648,0.747935787927286
"ACOX1","Acox1",38.281042,36.979115,36.155443,2815,4071,907,37.1385333333333,43.5101,43.5101,0.856851216540366
"ACOX2","Acox2",0.478907,0.537406,1.920292,7,13,7,0.978868333333333,11.35856,11.35856,0.160121270870824
"ACOX3","Acox3",31.578703,26.301488,22.859586,995,1397,328,26.913259,11.85511,11.85511,2.17137457400209
"ACOXL","Acoxl",0.032761,0.021899,0,2,2,0,0.01822,0,0,1.01822
"ACP1","Acp1",43.469525,42.708891,37.818103,1062,1304,300,41.332173,54.83762,54.83762,0.75812996685747
"ACP2","Acp2",14.948313,13.40809,13.834404,1522,1780,427,14.0636023333333,24.85848,24.85848,0.582540131258037
"ACP5","Acp5",0.426923,0.534385,0.367158,5,8,3,0.442822,37.21013,37.21013,0.0377601960527221
"ACP6","Acp6",12.775913,9.182779,11.204909,262,304,72,11.0545336666667,6.70341,6.70341,1.56483085629178
"ACR","Acr",0.454999,0.859649,0.600143,13,15,5,0.638263666666667,1.05517,1.05517,0.797142653243608
"ACRBP","Acrbp",5.73949,4.783652,6.789045,91,120,35,5.770729,2.88619,2.88619,1.74225372408451
"ACRV1","Acrv1",0.129637,0.107061,0.275087,9,11,6,0.170595,1.86206,1.86206,0.409004353507613
"ACSBG1","Acsbg1",108.813398,94.405486,84.872829,4262,5796,1577,96.030571,144.6509,144.6509,0.666185866342055
"ACSBG2","Acsbg2",0.019263,0,0,1,0,0,0.006421,1.45861,1.45861,0.409345524503683
"ACSF2","Acsf2",24.630047,17.495217,16.328537,485,643,130,19.4846003333333,25.57227,25.57227,0.770901407118524
"ACSF3","Acsf3",7.137229,5.689405,5.478674,331,399,80,6.10176933333333,30.53776,30.53776,0.22518306098256
"ACSL1","Acsl1",23.107288,34.423455,39.671238,803,1349,245,32.4006603333333,69.45478,69.45478,0.474072310400137
"ACSL3","Acsl3",141.226341,139.771625,112.269409,4160,6087,1311,131.089125,27.62053,27.62053,4.61518794375925
"ACSL4","Acsl4",21.479562,22.663303,21.725103,816,1113,182,21.9559893333333,11.26545,11.26545,1.87159780793475
"ACSL5","Acsl5",45.183423,27.652313,57.118124,754,770,207,43.3179533333333,6.39307,6.39307,5.99452640558433
"ACSL6","Acsl6",131.3267,112.459272,98.930735,6556,8580,1883,114.238902333333,6.70341,6.70341,14.9594663056144
"ACSM1","Acsm1",0,0,0,0,0,0,0,0,0,1
"ACSM2B","Acsm2",0.04072,0.018053,0.021651,6,4,1,0.026808,0.31034,0.31034,0.783619518598226
"ACSM3","Acsm3",3.148108,2.227132,1.721317,12,17,3,2.365519,2.94826,2.94826,0.852405616651386
"ACSM4","Acsm4",0,0.044942,0,0,3,0,0.0149806666666667,0,0,1.01498066666667
"ACSM5","Acsm5",1.284788,0.826242,0.714794,53,61,13,0.941941333333333,13.62406,13.62406,0.132790848323471
"ACSS1","Acss1",9.81163,7.128186,8.411244,436,528,120,8.45035333333333,11.762,11.762,0.740507235020634
"ACSS2","Acss2",41.583731,44.676566,29.155586,1610,2683,462,38.471961,32.46188,32.46188,1.17960978283348
"ACSS3","Acss3",2.178701,1.623659,1.218299,157,191,32,1.673553,10.33442,10.33442,0.235879118649212
"ACTA1","Acta1",6.487384,4.455121,0.373325,181,188,1,3.77194333333333,95.18222,95.18222,0.0496135702974347
"ACTA2","Acta2",15.069679,2.496488,19.462987,408,100,178,12.3430513333333,176.80245,176.80245,0.0750442490153164
"ACTB","Actb",907.491548,1110.026367,1271.568006,8257,14043,3318,1096.36197366667,3982.32224,3982.32224,0.275489128809892
"ACTBL2","Actbl2",0.053245,0.023264,0,3,2,0,0.025503,0.06207,0.06207,0.965570066003182
"ACTC1","Actc1",0.988564,0.518019,0,7,6,0,0.502194333333333,18.06197,18.06197,0.0788058282188742
"ACTG1","Actg1",576.738602,537.265372,794.751001,13658,19486,5374,636.251658333333,1354.27508,1354.27508,0.470200970812017
"ACTG2","Actg2",0.289823,0.066606,0,7,2,0,0.118809666666667,42.08252,42.08252,0.0259689931477236
"ACTL10","Actl10",1.004756,0.51982,0.429127,30,24,4,0.651234333333333,0.62069,0.62069,1.01884649953621
"ACTL6A","Actl6a",9.661133,9.129784,11.273125,195,233,70,10.0213473333333,96.95117,96.95117,0.112518792101547
"ACTL6B","Actl6b",20.704586,15.42755,22.289875,464,520,151,19.4740036666667,9.34133,9.34133,1.97982306595638
"ACTL7A","Actl7a",0,0,0,0,0,0,0,0.40345,0.40345,0.712529837186932
"ACTL7B","Actl7b",0,0,0,0,0,0,0,0.31034,0.31034,0.76316070638155
"ACTL9","Actl9",0.11365,0.15072,0.357541,3,6,3,0.207303666666667,0,0,1.20730366666667
"ACTN1","Actn1",12.095666,7.159796,10.301106,549,556,136,9.85218933333333,34.13774,34.13774,0.308847106653226
"ACTN2","Actn2",3.391132,1.608143,1.393511,64,65,10,2.13092866666667,55.02383,55.02383,0.0558856591323133
"ACTN4","Actn4",38.469791,32.262134,36.204158,1463,2013,530,35.645361,726.69933,726.69933,0.0503578325405357
"ACTR10","Actr10",125.586157,102.534199,134.49901,2166,2556,634,120.873122,66.44445,66.44445,1.80701483961987
"ACTR1A","Actr1a",62.352935,67.448044,69.459203,3183,4813,1166,66.4200606666667,66.07204,66.07204,1.00518875923062
"ACTR1B","Actr1b",123.178924,130.20487,102.624512,3860,4762,1235,118.669435333333,44.81354,44.81354,2.61209754437953
"ACTR2","Actr2",48.256756,42.50762,43.211249,3472,4667,970,44.6585416666667,57.28933,57.28933,0.783308740496188
"ACTR3","Actr3",86.343814,65.597556,71.256507,2301,3077,725,74.3992923333333,51.64109,51.64109,1.43232771839134
"ACTR3B","Actr3b",18.979007,15.299471,19.530796,733,908,245,17.9364246666667,18.93093,18.93093,0.950102412013221
"ACTR5","Actr5",2.728636,2.676546,6.582844,119,122,40,3.99600866666667,4.2517,4.2517,0.951312654315111
"ACTR6","Actr6",11.039334,8.957461,7.94164,229,323,70,9.31281166666667,17.22404,17.22404,0.56589053067633
"ACTR8","Actr8",31.072604,22.185834,25.666657,807,980,234,26.308365,20.32747,20.32747,1.28043152797777
"ACTRT1","Actrt1",0,0,0,0,0,0,0,0,0,1
"ACTRT2","Actrt2",0,0,0,0,0,0,0,0.34138,0.34138,0.745500902056091
"ACTRT3","Actrt3",0.623369,0.419144,0.94944,25,25,12,0.663984333333333,0.74482,0.74482,0.953671056804331
"ACVR1","Acvr1",6.144111,5.309225,6.386865,369,461,119,5.94673366666667,14.33785,14.33785,0.452914434987085
"ACVR1B","Acvr1b",13.4585,8.663865,10.887607,1310,1277,335,11.003324,8.5034,8.5034,1.26305574846897
"ACVR1C","Acvr1c",1.201653,0.810025,0.726638,142,214,43,0.912772,0.49655,0.49655,1.27812101166015
"ACVR2A","Acvr2a",4.606203,3.970851,3.565358,391,502,88,4.04747066666667,2.94826,2.94826,1.27840382007939
"ACVR2B","Acvr2b",3.789204,2.330717,0.9235,109,127,16,2.347807,0.24827,0.24827,2.68195742908185
"ACVRL1","Acvrl1",17.458956,13.633657,17.679918,292,340,108,16.2575103333333,17.75162,17.75162,0.920321035373655
"ACY1","Acy1",12.779082,21.125795,22.631306,211,432,94,18.8453943333333,20.60678,20.60678,0.918479955520135
"ACY3","Acy3",6.158622,10.285627,9.358693,103,275,46,8.60098066666667,10.92408,10.92408,0.805175801124
"ACYP1","Acyp1",23.071435,21.010466,20.41723,195,275,55,21.4997103333333,30.01017,30.01017,0.725559077339251
"ACYP2","Acyp2",29.073172,29.490531,33.99376,341,557,125,30.8524876666667,605.10691,605.10691,0.0525525895533292
"ADA","Ada",1.274145,1.440488,1.214389,43,65,13,1.309674,4.03446,4.03446,0.458772936918756
"ADAD1","Adad1",0,0,0,0,0,0,0,0.40345,0.40345,0.712529837186932
"ADAD2","Adad2",0,0,0,0,0,0,0,1.14827,1.14827,0.465490836812877
"ADAL","Adal",9.517798,7.488731,9.410691,396,421,98,8.80574,8.5965,8.5965,1.02180378262908
"ADAM10","Adam10",17.942483,15.258774,16.195392,1596,2130,457,16.4655496666667,30.755,30.755,0.550009436834094
"ADAM11","Adam11",39.428928,35.361299,38.397555,1761,2537,569,37.7292606666667,4.84135,4.84135,6.63019005309846
"ADAM12","Adam12",0.713418,0.778313,0.354136,68,135,17,0.615289,0.55862,0.55862,1.03635844529135
"ADAM15","Adam15",80.742162,70.489617,80.004418,1840,2395,628,77.0787323333333,204.26781,204.26781,0.380374946920968
"ADAM17","Adam17",12.670071,11.518596,14.986136,520,720,171,13.0582676666667,13.22061,13.22061,0.988584010578074
"ADAM18","Adam18",1.628233,0.537566,0.140858,16,21,2,0.768885666666667,0,0,1.76888566666667
"ADAM19","Adam19",5.595707,6.355486,6.393251,762,1260,237,6.11481466666667,3.28964,3.28964,1.65860414082922
"ADAM1A","Adam1a",4.699845,4.382973,3.640317,399,571,95,4.241045,0.80689,0.80689,2.900588857097
"ADAM1B","Adam1b",0.064066,0.013782,0,5,1,0,0.0259493333333333,0.27931,0.27931,0.8019552206528
"ADAM2","Adam2",0.054981,0.025221,0.229336,2,2,2,0.103179333333333,0,0,1.10317933333333
"ADAM20","Adam25",0.081831,0.048812,0,5,4,0,0.0435476666666667,0.37241,0.37241,0.76037602951499
"ADAM21","Adam21",0.370266,0.359962,0.307278,23,33,6,0.345835333333333,0.15517,0.15517,1.16505391702809
"ADAM22","Adam22",41.63082,37.523169,26.093372,4496,5385,1022,35.0824536666667,11.63787,11.63787,2.85510562038276
"ADAM23","Adam23",91.311682,74.987058,56.776911,6057,8635,1731,74.3585503333333,6.54824,6.54824,9.98359224578621
"ADAM24P","Adam24",0,0,0,0,0,0,0,0,0,1
"ADAM28","Adam28",0.07544,0.143584,0,4,14,0,0.073008,14.02751,14.02751,0.0714029137228989
"ADAM29","Adam29",0,0,0,0,0,0,0,0.52758,0.52758,0.654630199400359
"ADAM32","Adam32",0.563134,0.545484,1.12187,6,15,3,0.743496,1.70689,1.70689,0.644095622651826
"ADAM33","Adam33",2.53041,1.930884,2.055027,76,79,13,2.172107,5.2448,5.2448,0.507959742505765
"ADAM3A","Adam3",0,0.146861,0,0,2,0,0.0489536666666667,0.68275,0.68275,0.623356806814243
"ADAM5","Adam5",0.046023,0.022873,0,2,2,0,0.0229653333333333,0,0,1.02296533333333
"ADAM7","Adam7",0.040358,0.097821,0,3,5,0,0.0460596666666667,0,0,1.04605966666667
"ADAM8","Adam8",2.478647,2.541947,0.991776,78,76,21,2.00412333333333,11.35856,11.35856,0.243080369665506
"ADAM9","Adam9",16.378543,17.480677,13.157699,1229,1796,337,15.6723063333333,17.25507,17.25507,0.91329731046407
"ADAMDEC1","Adamdec1",0,0,0,0,0,0,0,0.40345,0.40345,0.712529837186932
"ADAMTS1","Adamts1",2.691414,2.970973,2.561618,264,405,76,2.741335,29.29639,29.29639,0.123491115608163
"ADAMTS10","Adamts10",11.833806,11.353123,11.734057,533,786,166,11.6403286666667,7.94478,7.94478,1.41315143208292
"ADAMTS12","Adamts12",0.164584,0.08406,0.049046,32,17,3,0.09923,21.87919,21.87919,0.0480449701235052
"ADAMTS13","Adamts13",0,0,0.043853,0,0,1,0.0146176666666667,6.54824,6.54824,0.134417780392074
