"Hs_symbol","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"ABCA5","Abca5",10.426741,9.657139,7.69426,1834,2418,419,9.25938,12.96287,12.96287,0.7347615497387
"ABCA6","Abca6",1.102142,1.064141,0.65707,128,183,24,0.941117666666667,12.28337,12.28337,0.146131415948413
"ABCA7","Abca7",6.531162,5.344626,6.635365,985,1230,314,6.17038433333333,45.76731,45.76731,0.153320435435207
"ABCA8","Abca8b",2.986576,2.668696,2.137732,492,660,110,2.597668,65.06526,65.06526,0.054456275506976
"ABCA9","Abca9",1.374692,1.128702,1.013082,182,236,45,1.17215866666667,5.22697,5.22697,0.348830758244646
"ABCB1","Abcb1a",51.550946,45.585615,82.118006,956,1215,296,59.7515223333333,8.45723,8.45723,6.42381779160847
"ABCB10","Abcb10",7.860339,9.169756,7.734576,712,1245,220,8.25489033333333,3.61706,3.61706,2.00449860589495
"ABCB11","Abcb11",0.107312,0.072965,0,3,3,0,0.0600923333333333,0,0,1.06009233333333
"ABCB4","Abcb4",1.400501,1.459437,1.017312,106,145,28,1.29241666666667,0.57497,0.57497,1.45553036989064
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.01045,0.01045,0.989658073135732
"ABCB6","Abcb6",11.256848,9.906954,10.797514,311,438,107,10.653772,58.67791,58.67791,0.195277817202379
"ABCB7","Abcb7",7.537502,7.121689,6.273685,852,1270,219,6.97762533333333,7.97635,7.97635,0.888738221363175
"ABCB8","Abcb8",32.393634,22.982948,29.272752,764,1061,243,28.2164446666667,33.23304,33.23304,0.853457497980508
"ABCB9","Abcb9",13.338002,13.437693,14.346582,897,1194,345,13.7074256666667,31.39315,31.39315,0.454028881620548
"ABCC1","Abcc1",6.382838,7.348494,2.504568,439,657,118,5.41196666666667,3.54388,3.54388,1.41112147914704
"ABCC10","Abcc10",4.048571,3.606159,3.043047,272,388,93,3.56592566666667,18.64981,18.64981,0.232364876131966
"ABCC12","Abcc12",0.455108,0.934647,0.773761,35,106,17,0.721172,0.15681,0.15681,1.48786058211807
"ABCC2","Abcc2",0.077074,0.105317,0.017706,5,9,1,0.066699,0.06272,0.06272,1.00374416591388
"ABCC3","Abcc3",0.811729,0.712912,0.426075,31,43,6,0.650238666666667,1.82944,1.82944,0.583238614943829
"ABCC5","Abcc5",183.364476,141.300881,150.092514,4295,5403,1092,158.252623666667,25.43441,25.43441,6.02444403588605
"ABCC6","Abcc6",1.008744,1.57666,0.876534,63,89,18,1.15397933333333,0.45997,0.45997,1.47535862609049
"ABCC9","Abcc9",2.029741,1.735282,2.238094,334,424,115,2.001039,0.7945,0.7945,1.67235385901365
"ABCD1","Abcd1",3.751694,3.290507,2.928051,253,362,74,3.32341733333333,6.76369,6.76369,0.5568766054973
"ABCD2","Abcd2",26.320987,26.081769,26.769714,1181,1617,306,26.3908233333333,1.589,1.589,10.5796922878846
"ABCD3","Abcd3",23.379323,22.163501,20.687641,1616,2217,462,22.0768216666667,23.9395,23.9395,0.925312122001911
"ABCD4","Abcd4",9.282074,6.916407,9.782007,391,509,129,8.66016266666667,25.36124,25.36124,0.366453272557234
"ABCE1","Abce1",20.233439,17.96782,16.699634,1557,2065,408,18.3002976666667,15.03275,15.03275,1.20380456669421
"ABCF1","Abcf1",39.898575,34.456644,30.824655,1253,1481,371,35.059958,40.28945,40.28945,0.873345564060553
"ABCF2","Abcf2",28.959469,23.183203,30.132421,1585,1906,522,27.425031,29.98187,29.98187,0.917473057630156
"ABCF3","Abcf3",251.730555,202.838829,291.535145,1377,1754,455,248.701509666667,62.56677,62.56677,3.92817677642999
"ABCG1","Abcg1",18.19387,16.716273,15.025299,1036,1496,310,16.6451473333333,9.4399,9.4399,1.6901644013193
"ABCG2","Abcg2",29.071391,25.795465,21.358509,625,771,199,25.408455,4.96562,4.96562,4.42677458503894
"ABCG5","Abcg5",0.145426,0.040795,0.09925,3,3,1,0.095157,0.09409,0.09409,1.00097523969692
"ABCG8","Abcg8",0.024937,0.008273,0,2,1,0,0.01107,0.21953,0.21953,0.829065295646684
"ABHD1","Abhd1",1.196823,0.71728,1.031029,31,27,8,0.981710666666667,2.06988,2.06988,0.645533593061184
"ABHD10","Abhd10",10.83551,11.441995,11.652591,366,588,127,11.310032,33.57802,33.57802,0.356007428996802
"ABHD11","Abhd11",14.205171,12.188733,16.893946,276,355,101,14.4292833333333,27.69246,27.69246,0.537746966740856
"ABHD12","Abhd12",220.058829,194.911665,204.331185,3618,4930,1247,206.433893,152.8051,152.8051,1.34868019981132
"ABHD13","Abhd13",5.454363,4.367787,4.270211,591,721,144,4.69745366666667,2.89574,2.89574,1.46248303702677
"ABHD14A","Abhd14a",13.142815,14.339487,11.925889,244,407,75,13.1360636666667,66.64381,66.64381,0.208977934073593
"ABHD14B","Abhd14b",12.490752,10.736031,18.244562,299,361,106,13.8237816666667,32.82534,32.82534,0.438244868097901
"ABHD15","Abhd15",0.515703,0.794554,0.51023,29,56,9,0.606829,5.26878,5.26878,0.256322442325301
"ABHD16A","Abhd16a",51.520744,49.225194,58.978636,1022,1419,372,53.2415246666667,86.71535,86.71535,0.618381214538466
"ABHD16B","Abhd16b",0,0.018444,0,0,1,0,0.006148,14.72959,14.72959,0.0639653036093121
"ABHD2","Abhd2",10.865608,9.806749,11.171332,1666,2251,544,10.614563,40.91668,40.91668,0.277086901920667
"ABHD3","Abhd3",46.049488,40.965363,48.916433,1107,1482,417,45.310428,21.57691,21.57691,2.05122968555041
"ABHD4","Abhd4",41.709837,46.489543,44.554436,1708,2683,643,44.251272,20.10291,20.10291,2.14431431494519
"ABHD5","Abhd5",23.061725,28.261032,19.459388,517,895,157,23.5940483333333,9.24127,9.24127,2.40146469464562
"ABHD6","Abhd6",17.219782,14.994396,17.500717,721,938,243,16.5716316666667,13.96645,13.96645,1.17406811011741
"ABHD8","Abhd8",50.936956,38.078002,64.276007,2090,2352,803,51.0969883333333,33.32713,33.32713,1.51766222032932
"ABI1","Abi1",61.0719,45.96582,56.390212,1232,1550,346,54.4759773333333,20.06109,20.06109,2.63405062764241
"ABI2","Abi2",30.069824,20.950699,16.188413,1747,2281,476,22.4029786666667,14.84458,14.84458,1.47703370279721
"ABI3","Abi3",2.297924,3.572839,4.360517,45,62,12,3.41042666666667,28.44514,28.44514,0.149784537165273
"ABL1","Abl1",17.252337,18.901642,11.215876,1307,2217,446,15.7899516666667,12.37745,12.37745,1.2550935841036
"ABL2","Abl2",6.505006,5.893185,4.067408,1208,1501,243,5.488533,3.27208,3.27208,1.51882291530121
"ABLIM1","Ablim1",19.932181,14.238708,13.501742,2058,2420,544,15.890877,43.05974,43.05974,0.383363065692172
"ABLIM2","Ablim2",77.501144,78.624032,83.529767,2000,2948,656,79.884981,16.78901,16.78901,4.54690738832571
"ABLIM3","Ablim3",3.978462,2.558477,2.756626,379,366,82,3.097855,33.63029,33.63029,0.118331524223447
"ABO","Abo",0,0.018597,0.087707,0,1,1,0.0354346666666667,0.56451,0.56451,0.661826812654868
"ABR","Abr",74.646676,57.404363,59.13765,5473,6170,1543,63.729563,47.79537,47.79537,1.32655133058731
"ABRA","Abra",0.018005,0.01128,0,1,1,0,0.00976166666666667,1.81898,1.81898,0.358201075093355
"ABRACL","Abracl",36.891442,26.41917,26.414674,73,83,21,29.9084286666667,15.0223,15.0223,1.92908812509232
"ABT1","Abt1",1.876958,1.547864,2.244052,184,227,69,1.88962466666667,17.48943,17.48943,0.156285221700543
"ABTB1","Abtb1",20.185235,16.277574,21.128845,464,615,144,19.197218,128.13382,128.13382,0.156405332081092
"ABTB2","Abtb2",4.27992,4.990935,4.435689,419,704,139,4.568848,3.15709,3.15709,1.33960246229935
"ACAA1","Acaa1b",0.773102,0.218939,0.620438,15,11,7,0.537493,107.02734,107.02734,0.0142324433796111
"ACAA2","Acaa2",20.963765,13.131852,15.757114,326,408,95,16.617577,67.23968,67.23968,0.258172034218214
"ACACA","Acaca",22.195442,21.317759,10.804532,2827,4307,669,18.105911,24.54583,24.54583,0.747907231826095
"ACACB","Acacb",2.966425,2.245241,1.899891,253,405,100,2.370519,11.31115,11.31115,0.273777754312148
"ACAD10","Acad10",1.395235,2.376533,2.320622,85,127,26,2.03079666666667,39.86084,39.86084,0.0741736260602246
"ACAD11","Acad11",11.338964,9.925988,11.505482,562,777,163,10.923478,7.42229,7.42229,1.41570499234769
"ACAD8","Acad8",14.2754,12.586996,10.959902,352,475,104,12.6074326666667,23.71997,23.71997,0.550463154553451
"ACAD9","Acad9",41.203767,34.89229,35.359212,975,1301,247,37.1517563333333,31.85313,31.85313,1.16128223804957
"ACADL","Acadl",25.651733,24.871783,24.52402,840,1274,288,25.0158453333333,10.45393,10.45393,2.27134663240768
"ACADM","Acadm",58.745312,36.227401,29.691039,514,691,140,41.554584,32.77307,32.77307,1.26001527252335
"ACADS","Acads",6.529714,5.634912,4.78439,176,254,53,5.649672,28.90512,28.90512,0.222358980669531
"ACADSB","Acadsb",140.109473,139.144093,71.864677,1218,1759,269,117.039414333333,5.8542,5.8542,17.2214721387373
"ACADVL","Acadvl",29.417193,26.697487,39.322243,974,1271,339,31.8123076666667,745.69976,745.69976,0.0439431072894234
"ACAN","Acan",4.519357,3.856825,3.878308,545,722,134,4.08483,0.09409,0.09409,4.64754270672431
"ACAP1","Acap1",0.160375,0.198819,0.333643,9,13,3,0.230945666666667,16.41267,16.41267,0.0706925282950097
"ACAP2","Acap2",24.012689,28.211964,19.001302,1829,3174,501,23.741985,5.09106,5.09106,4.06201629929766
"ACAT1","Acat1",41.162205,35.798947,46.975877,1423,1790,443,41.312343,141.03397,141.03397,0.29790298053346
"ACAT2","Acat2",40.665782,41.068989,46.124782,1183,1881,412,42.619851,82.49196,82.49196,0.522443729911239
"ACBD3","Acbd3",10.456161,8.817061,9.958128,748,956,223,9.74378333333333,11.19616,11.19616,0.880915249827268
"ACBD5","Acbd5",39.799716,34.501608,29.768931,1629,2629,472,34.690085,20.22836,20.22836,1.68124551307779
"ACBD6","Acbd6",35.28567,29.491404,43.187113,614,762,206,35.9880623333333,80.75661,80.75661,0.45241678114263
"ACBD7","Acbd7",0.916559,0.914463,0.98258,6,9,2,0.937867333333333,0.48088,0.48088,1.30859173824573
"ACCS","Accs",3.86236,2.573998,5.720381,126,178,54,4.05224633333333,11.22752,11.22752,0.41318651151937
"ACCSL","Accsl",0.100077,0.118829,0.067827,4,3,1,0.0955776666666667,0,0,1.09557766666667
"ACD","Acd",11.708988,8.977386,15.558951,321,353,126,12.081775,16.4963,16.4963,0.747688082623183
"ACE","Ace",6.85104,5.450423,6.464917,583,638,164,6.25546,6.07373,6.07373,1.02569083072156
"ACE2","Ace2",0.703129,0.439627,0.086061,42,48,2,0.409605666666667,0.1359,0.1359,1.24095929806028
"ACE3P","Ace3",0.021593,0.0144,0,1,1,0,0.0119976666666667,0,0,1.01199766666667
"ACER1","Acer1",0.021691,0.013217,0,1,1,0,0.011636,0.10454,0.10454,0.915888967352925
"ACER2","Acer2",3.578901,3.612412,3.507171,293,419,95,3.56616133333333,0.08363,0.08363,4.21376423071836
"ACER3","Acer3",5.33321,5.297838,3.312498,588,759,160,4.64784866666667,11.8234,11.8234,0.440433010486039
"ACHE","Ache",133.05904,101.056948,116.214608,3230,4242,1133,116.776865333333,247.40272,247.40272,0.47413677810506
"ACIN1","Acin1",66.142631,56.196921,48.187616,1860,2205,484,56.8423893333333,36.56785,36.56785,1.53967792496332
"ACLY","Acly",104.42968,115.808562,122.784102,7508,12430,2500,114.340781333333,93.47905,93.47905,1.22080801334617
"ACMSD","Acmsd",0.250152,0.082175,0.159311,10,6,2,0.163879333333333,0.1359,0.1359,1.02463186313349
"ACO1","Aco1",9.548868,11.643803,10.725997,688,969,232,10.639556,12.07429,12.07429,0.890262951181288
"ACO2","Aco2",275.677282,225.355992,267.756615,9127,11839,3130,256.263296333333,112.07659,112.07659,2.27512428817789
"ACOT1","Acot3",0.234426,0.160951,0.355095,14,12,8,0.250157333333333,4.03522,4.03522,0.248282564283851
"ACOT11","Acot11",31.291213,30.108627,23.60258,1932,2643,500,28.33414,1.43219,1.43219,12.0607929479194
"ACOT12","Acot12",0.079966,0.252288,0,4,14,0,0.110751333333333,0.22999,0.22999,0.903057206427153
"ACOT13","Acot13",157.51678,116.485561,68.278891,489,681,163,114.093744,113.34151,113.34151,1.00657883563021
"ACOT2","Acot2",1.850343,1.867143,1.207003,80,121,16,1.64149633333333,11.03935,11.03935,0.219405228133856
"ACOT4","Acot4",3.018317,2.376966,0.237518,67,77,10,1.87760033333333,2.35213,2.35213,0.858439360446443
"ACOT6","Acot6",2.021448,1.857693,1.602341,145,199,36,1.82716066666667,0.09409,0.09409,2.58402934554439
"ACOT7","Acot7",204.185837,177.859959,182.811225,3634,5205,1369,188.285673666667,824.49103,824.49103,0.229300703202876
"ACOT8","Acot8",6.812502,7.054797,4.571108,121,202,29,6.14613566666667,123.19957,123.19957,0.0575375234122523
"ACOT9","Acot9",10.646338,8.355602,7.608419,333,370,83,8.87011966666667,22.4864,22.4864,0.420248299725231
"ACOX1","Acox1",38.281042,36.979115,36.155443,2815,4071,907,37.1385333333333,12.56562,12.56562,2.81141100320762
"ACOX2","Acox2",0.478907,0.537406,1.920292,7,13,7,0.978868333333333,12.28337,12.28337,0.148973365443659
"ACOX3","Acox3",31.578703,26.301488,22.859586,995,1397,328,26.913259,6.50234,6.50234,3.72060703727104
"ACOXL","Acoxl",0.032761,0.021899,0,2,2,0,0.01822,0.63769,0.63769,0.621741599448003
"ACP1","Acp1",43.469525,42.708891,37.818103,1062,1304,300,41.332173,91.26281,91.26281,0.458821631381052
"ACP2","Acp2",14.948313,13.40809,13.834404,1522,1780,427,14.0636023333333,61.68864,61.68864,0.240292377268566
"ACP5","Acp5",0.426923,0.534385,0.367158,5,8,3,0.442822,7.92408,7.92408,0.161677394196377
"ACP6","Acp6",12.775913,9.182779,11.204909,262,304,72,11.0545336666667,6.57552,6.57552,1.59124834554812
"ACR","Acr",0.454999,0.859649,0.600143,13,15,5,0.638263666666667,0.49133,0.49133,1.09852525374442
"ACRBP","Acrbp",5.73949,4.783652,6.789045,91,120,35,5.770729,1.62036,1.62036,2.58389267123601
"ACRV1","Acrv1",0.129637,0.107061,0.275087,9,11,6,0.170595,1.60991,1.60991,0.4485192976003
"ACSBG1","Acsbg1",108.813398,94.405486,84.872829,4262,5796,1577,96.030571,34.69659,34.69659,2.71820280312489
"ACSBG2","Acsbg2",0.019263,0,0,1,0,0,0.006421,0.03136,0.03136,0.975819306546696
"ACSF2","Acsf2",24.630047,17.495217,16.328537,485,643,130,19.4846003333333,12.0952,12.0952,1.5642831215509
"ACSF3","Acsf3",7.137229,5.689405,5.478674,331,399,80,6.10176933333333,29.46963,29.46963,0.233076979711711
"ACSL1","Acsl1",23.107288,34.423455,39.671238,803,1349,245,32.4006603333333,41.32439,41.32439,0.789158693919353
"ACSL3","Acsl3",141.226341,139.771625,112.269409,4160,6087,1311,131.089125,27.2743,27.2743,4.67170274772497
"ACSL4","Acsl4",21.479562,22.663303,21.725103,816,1113,182,21.9559893333333,18.97388,18.97388,1.14930045305836
"ACSL5","Acsl5",45.183423,27.652313,57.118124,754,770,207,43.3179533333333,4.58928,4.58928,7.92909879865266
"ACSL6","Acsl6",131.3267,112.459272,98.930735,6556,8580,1883,114.238902333333,22.19369,22.19369,4.96854542478292
"ACSM1","Acsm1",0,0,0,0,0,0,0,0.15681,0.15681,0.864446192546745
"ACSM2B","Acsm2",0.04072,0.018053,0.021651,6,4,1,0.026808,0.07318,0.07318,0.956790100449132
"ACSM3","Acsm3",3.148108,2.227132,1.721317,12,17,3,2.365519,0.9304,0.9304,1.74343089515126
"ACSM4","Acsm4",0,0.044942,0,0,3,0,0.0149806666666667,0,0,1.01498066666667
"ACSM5","Acsm5",1.284788,0.826242,0.714794,53,61,13,0.941941333333333,7.64182,7.64182,0.224714392724372
"ACSS1","Acss1",9.81163,7.128186,8.411244,436,528,120,8.45035333333333,10.40166,10.40166,0.828857669263365
"ACSS2","Acss2",41.583731,44.676566,29.155586,1610,2683,462,38.471961,70.14587,70.14587,0.554803265460103
"ACSS3","Acss3",2.178701,1.623659,1.218299,157,191,32,1.673553,5.10152,5.10152,0.438178191663717
"ACTA1","Acta1",6.487384,4.455121,0.373325,181,188,1,3.77194333333333,1.11857,1.11857,2.25243599849584
"ACTA2","Acta2",15.069679,2.496488,19.462987,408,100,178,12.3430513333333,82.33516,82.33516,0.160113106320709
"ACTB","Actb",907.491548,1110.026367,1271.568006,8257,14043,3318,1096.36197366667,3647.18813,3647.18813,0.300796432246126
"ACTBL2","Actbl2",0.053245,0.023264,0,3,2,0,0.025503,0,0,1.025503
"ACTC1","Actc1",0.988564,0.518019,0,7,6,0,0.502194333333333,4.652,4.652,0.265781021467327
"ACTG1","Actg1",576.738602,537.265372,794.751001,13658,19486,5374,636.251658333333,3916.71136,3916.71136,0.162659164950154
"ACTG2","Actg2",0.289823,0.066606,0,7,2,0,0.118809666666667,3.1989,3.1989,0.266453039288068
"ACTL10","Actl10",1.004756,0.51982,0.429127,30,24,4,0.651234333333333,1.54718,1.54718,0.648259774862135
"ACTL6A","Actl6a",9.661133,9.129784,11.273125,195,233,70,10.0213473333333,17.77168,17.77168,0.587126316522194
"ACTL6B","Actl6b",20.704586,15.42755,22.289875,464,520,151,19.4740036666667,30.92273,30.92273,0.641361301701536
"ACTL7A","Actl7a",0,0,0,0,0,0,0,0,0,1
"ACTL7B","Actl7b",0,0,0,0,0,0,0,0.02091,0.02091,0.979518272913381
"ACTL9","Actl9",0.11365,0.15072,0.357541,3,6,3,0.207303666666667,0,0,1.20730366666667
"ACTN1","Actn1",12.095666,7.159796,10.301106,549,556,136,9.85218933333333,19.08888,19.08888,0.540208778853442
"ACTN2","Actn2",3.391132,1.608143,1.393511,64,65,10,2.13092866666667,5.38377,5.38377,0.490451358157745
"ACTN4","Actn4",38.469791,32.262134,36.204158,1463,2013,530,35.645361,154.94816,154.94816,0.234984247329369
"ACTR10","Actr10",125.586157,102.534199,134.49901,2166,2556,634,120.873122,226.8921,226.8921,0.534784321176557
"ACTR1A","Actr1a",62.352935,67.448044,69.459203,3183,4813,1166,66.4200606666667,278.2209,278.2209,0.241457787245391
"ACTR1B","Actr1b",123.178924,130.20487,102.624512,3860,4762,1235,118.669435333333,132.78582,132.78582,0.894485195316913
"ACTR2","Actr2",48.256756,42.50762,43.211249,3472,4667,970,44.6585416666667,57.96704,57.96704,0.774306149107479
"ACTR3","Actr3",86.343814,65.597556,71.256507,2301,3077,725,74.3992923333333,75.04877,75.04877,0.991459721614608
"ACTR3B","Actr3b",18.979007,15.299471,19.530796,733,908,245,17.9364246666667,30.56729,30.56729,0.59987489159401
"ACTR5","Actr5",2.728636,2.676546,6.582844,119,122,40,3.99600866666667,6.39781,6.39781,0.675336169307764
"ACTR6","Actr6",11.039334,8.957461,7.94164,229,323,70,9.31281166666667,37.71778,37.71778,0.266358548105461
"ACTR8","Actr8",31.072604,22.185834,25.666657,807,980,234,26.308365,13.86191,13.86191,1.83747344722179
"ACTRT1","Actrt1",0,0,0,0,0,0,0,0,0,1
"ACTRT2","Actrt2",0,0,0,0,0,0,0,0,0,1
"ACTRT3","Actrt3",0.623369,0.419144,0.94944,25,25,12,0.663984333333333,2.62394,2.62394,0.459164426931277
"ACVR1","Acvr1",6.144111,5.309225,6.386865,369,461,119,5.94673366666667,8.99038,8.99038,0.695342285945747
"ACVR1B","Acvr1b",13.4585,8.663865,10.887607,1310,1277,335,11.003324,13.88282,13.88282,0.806522151043955
"ACVR1C","Acvr1c",1.201653,0.810025,0.726638,142,214,43,0.912772,0.08363,0.08363,1.76515231213606
"ACVR2A","Acvr2a",4.606203,3.970851,3.565358,391,502,88,4.04747066666667,5.34196,5.34196,0.795884973520279
"ACVR2B","Acvr2b",3.789204,2.330717,0.9235,109,127,16,2.347807,1.01403,1.01403,1.66224286629295
"ACVRL1","Acvrl1",17.458956,13.633657,17.679918,292,340,108,16.2575103333333,15.74362,15.74362,1.0306917102355
"ACY1","Acy1",12.779082,21.125795,22.631306,211,432,94,18.8453943333333,23.16591,23.16591,0.821214443541887
"ACY3","Acy3",6.158622,10.285627,9.358693,103,275,46,8.60098066666667,3.93068,3.93068,1.94719200326662
"ACYP1","Acyp1",23.071435,21.010466,20.41723,195,275,55,21.4997103333333,33.84983,33.84983,0.645618940848014
"ACYP2","Acyp2",29.073172,29.490531,33.99376,341,557,125,30.8524876666667,88.38798,88.38798,0.356339718904786
"ADA","Ada",1.274145,1.440488,1.214389,43,65,13,1.309674,1.589,1.589,0.892110467361916
"ADAD1","Adad1",0,0,0,0,0,0,0,0.01045,0.01045,0.989658073135732
"ADAD2","Adad2",0,0,0,0,0,0,0,0.99312,0.99312,0.501725937224051
"ADAL","Adal",9.517798,7.488731,9.410691,396,421,98,8.80574,6.65915,6.65915,1.28026478133997
"ADAM10","Adam10",17.942483,15.258774,16.195392,1596,2130,457,16.4655496666667,13.71556,13.71556,1.18687631776614
"ADAM11","Adam11",39.428928,35.361299,38.397555,1761,2537,569,37.7292606666667,52.30101,52.30101,0.726614011004044
"ADAM12","Adam12",0.713418,0.778313,0.354136,68,135,17,0.615289,0.11499,0.11499,1.44870267894779
"ADAM15","Adam15",80.742162,70.489617,80.004418,1840,2395,628,77.0787323333333,99.64686,99.64686,0.775769182797489
"ADAM17","Adam17",12.670071,11.518596,14.986136,520,720,171,13.0582676666667,9.50262,9.50262,1.33854863516596
"ADAM18","Adam18",1.628233,0.537566,0.140858,16,21,2,0.768885666666667,0.01045,0.01045,1.75059198047075
"ADAM19","Adam19",5.595707,6.355486,6.393251,762,1260,237,6.11481466666667,6.81596,6.81596,0.910293126713375
"ADAM1A","Adam1a",4.699845,4.382973,3.640317,399,571,95,4.241045,0.91995,0.91995,2.72978202557358
"ADAM1B","Adam1b",0.064066,0.013782,0,5,1,0,0.0259493333333333,0.28226,0.28226,0.800110222055849
"ADAM2","Adam2",0.054981,0.025221,0.229336,2,2,2,0.103179333333333,0,0,1.10317933333333
"ADAM20","Adam25",0.081831,0.048812,0,5,4,0,0.0435476666666667,0.14636,0.14636,0.910314095630227
"ADAM21","Adam21",0.370266,0.359962,0.307278,23,33,6,0.345835333333333,0.53315,0.53315,0.877823652828056
"ADAM22","Adam22",41.63082,37.523169,26.093372,4496,5385,1022,35.0824536666667,19.30841,19.30841,1.77672470009551
"ADAM23","Adam23",91.311682,74.987058,56.776911,6057,8635,1731,74.3585503333333,51.57969,51.57969,1.43322545898109
"ADAM24P","Adam24",0,0,0,0,0,0,0,0,0,1
"ADAM28","Adam28",0.07544,0.143584,0,4,14,0,0.073008,7.84045,7.84045,0.121374816892805
"ADAM29","Adam29",0,0,0,0,0,0,0,0.09409,0.09409,0.914001590362767
"ADAM32","Adam32",0.563134,0.545484,1.12187,6,15,3,0.743496,0.71087,0.71087,1.01906982996955
"ADAM33","Adam33",2.53041,1.930884,2.055027,76,79,13,2.172107,24.57719,24.57719,0.124020934277769
"ADAM3A","Adam3",0,0.146861,0,0,2,0,0.0489536666666667,0.02091,0.02091,1.02746928393949
"ADAM5","Adam5",0.046023,0.022873,0,2,2,0,0.0229653333333333,0.02091,0.02091,1.00201323655693
"ADAM7","Adam7",0.040358,0.097821,0,3,5,0,0.0460596666666667,0.01045,0.01045,1.03524139409834
"ADAM8","Adam8",2.478647,2.541947,0.991776,78,76,21,2.00412333333333,4.00386,4.00386,0.600361187829662
"ADAM9","Adam9",16.378543,17.480677,13.157699,1229,1796,337,15.6723063333333,19.93565,19.93565,0.796359622621382
"ADAMDEC1","Adamdec1",0,0,0,0,0,0,0,0.22999,0.22999,0.813014739957235
"ADAMTS1","Adamts1",2.691414,2.970973,2.561618,264,405,76,2.741335,18.81707,18.81707,0.188793550206968
"ADAMTS10","Adamts10",11.833806,11.353123,11.734057,533,786,166,11.6403286666667,5.1956,5.1956,2.04021057955108
"ADAMTS12","Adamts12",0.164584,0.08406,0.049046,32,17,3,0.09923,0.86768,0.86768,0.588553713698278
"ADAMTS13","Adamts13",0,0,0.043853,0,0,1,0.0146176666666667,5.32105,5.32105,0.160514102351139
