"Hs_symbol","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"ACER1","Acer1",0.021691,0.013217,0,1,1,0,0.011636,0.6295,0.3316,0.37142,0.444173333333333,0.700494862112581
"ACER2","Acer2",3.578901,3.612412,3.507171,293,419,95,3.56616133333333,1.95477,1.13296,1.42015,1.50262666666667,1.82454754204915
"ACER3","Acer3",5.33321,5.297838,3.312498,588,759,160,4.64784866666667,22.21479,21.27762,19.8602,21.1175366666667,0.255356134445955
"ACHE","Ache",133.05904,101.056948,116.214608,3230,4242,1133,116.776865333333,124.93958,128.46708,62.90155,105.43607,1.10655030135304
"ACIN1","Acin1",66.142631,56.196921,48.187616,1860,2205,484,56.8423893333333,84.9662,86.90664,82.0626,84.6451466666667,0.675372646140213
"ACLY","Acly",104.42968,115.808562,122.784102,7508,12430,2500,114.340781333333,34.88766,21.19472,31.22137,29.10125,3.83176051935828
"ACMSD","Acmsd",0.250152,0.082175,0.159311,10,6,2,0.163879333333333,0.0497,0.2487,0,0.0994666666666667,1.05858537472714
"ACO1","Aco1",9.548868,11.643803,10.725997,688,969,232,10.639556,16.64867,16.08256,13.32753,15.35292,0.711772331791509
"ACO2","Aco2",275.677282,225.355992,267.756615,9127,11839,3130,256.263296333333,194.64864,168.23135,188.20215,183.694046666667,1.39291601963564
"ACOT1","Acot3",0.234426,0.160951,0.355095,14,12,8,0.250157333333333,2.23639,3.31599,4.85035,3.46757666666667,0.279828960219299
"ACOT11","Acot11",31.291213,30.108627,23.60258,1932,2643,500,28.33414,4.55561,7.12938,9.43851,7.04116666666667,3.6479955230377
"ACOT12","Acot12",0.079966,0.252288,0,4,14,0,0.110751333333333,0.0497,0,0,0.0165666666666667,1.09264976882972
"ACOT13","Acot13",157.51678,116.485561,68.278891,489,681,163,114.093744,37.93578,57.75354,36.3339,44.00774,2.55719891734177
"ACOT2","Acot2",1.850343,1.867143,1.207003,80,121,16,1.64149633333333,8.051,10.61118,19.33584,12.6660066666667,0.193289553983339
"ACOT4","Acot4",3.018317,2.376966,0.237518,67,77,10,1.87760033333333,2.96529,3.31599,4.67556,3.65228,0.618535499439701
"ACOT6","Acot6",2.021448,1.857693,1.602341,145,199,36,1.82716066666667,1.62345,0.19343,0.26218,0.69302,1.66989206664225
"ACOT7","Acot7",204.185837,177.859959,182.811225,3634,5205,1369,188.285673666667,154.75809,102.10494,213.74293,156.868653333333,1.19900733723875
"ACOT8","Acot8",6.812502,7.054797,4.571108,121,202,29,6.14613566666667,66.89287,65.57375,49.87991,60.7821766666667,0.115666621867698
"ACOT9","Acot9",10.646338,8.355602,7.608419,333,370,83,8.87011966666667,13.46803,14.06534,14.22331,13.9188933333333,0.661585242694498
"ACOX1","Acox1",38.281042,36.979115,36.155443,2815,4071,907,37.1385333333333,62.50292,72.70314,76.18538,70.4638133333333,0.533676157966008
