"Hs_symbol","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","FoldChange"
"ABCA9","Abca9",1.374692,1.128702,1.013082,182,236,45,1.17215866666667,2.080644,1.631188,5.048676,56,70,42,70.524086,0.0303696109680684
"ABCB1","Abcb1a",51.550946,45.585615,82.118006,956,1215,296,59.7515223333333,0.242278,0.606745,0.127132,1,5,2,1.80413866666667,21.6649494033581
"ABCB10","Abcb10",7.860339,9.169756,7.734576,712,1245,220,8.25489033333333,4.487977,5.694735,6.12157,229,188,232,19.2221996666667,0.457659922554749
"ABCB11","Abcb11",0.107312,0.072965,0,3,3,0,0.0600923333333333,1.580405,3.39585,0.543683,8,15,6,17.6704116666667,0.0567792693733677
"ABCB4","Abcb4",1.400501,1.459437,1.017312,106,145,28,1.29241666666667,0.391427,0.466284,0.700631,11,23,7,0.284030333333333,1.78532905894487
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.218901,0.076822,0,4,2,0,124.477910666667,0.0079695302120268
"ABCB6","Abcb6",11.256848,9.906954,10.797514,311,438,107,10.653772,17.599676,11.88309,16.193697,250,162,216,60.1961696666667,0.190433029770943
"ABCB7","Abcb7",7.537502,7.121689,6.273685,852,1270,219,6.97762533333333,5.349743,5.631146,5.087587,135,114,121,0.477899333333333,5.39794907095612
"ABCB8","Abcb8",32.393634,22.982948,29.272752,764,1061,243,28.2164446666667,25.451568,21.496367,20.678115,717,431,556,0.047523,27.8909815504449
"ABCB9","Abcb9",13.338002,13.437693,14.346582,897,1194,345,13.7074256666667,20.038858,11.346602,23.406662,473,230,418,1.25770333333333,6.51433049219635
"ABCC1","Abcc1",6.382838,7.348494,2.504568,439,657,118,5.41196666666667,8.866004,11.470193,9.218329,759,724,593,0.0985743333333333,5.83662522608848
"ABCC10","Abcc10",4.048571,3.606159,3.043047,272,388,93,3.56592566666667,67.229562,58.653056,74.269479,908,586,738,0.04034,4.38887831542252
"ABCC12","Abcc12",0.455108,0.934647,0.773761,35,106,17,0.721172,0,0,0,0,0,0,18.1321966666667,0.0899620691751897
"ABCC2","Abcc2",0.077074,0.105317,0.017706,5,9,1,0.066699,1.027977,1.07924,0.751123,20,15,18,0.845947666666667,0.577859827373221
"ABCC3","Abcc3",0.811729,0.712912,0.426075,31,43,6,0.650238666666667,0.387771,0.982346,0.063447,3,5,1,0.884872666666667,0.875517320533412
"ABCC5","Abcc5",183.364476,141.300881,150.092514,4295,5403,1092,158.252623666667,47.052923,36.864191,46.334162,2382,1605,1925,20.949055,7.25555718306172
"ABCC6","Abcc6",1.008744,1.57666,0.876534,63,89,18,1.15397933333333,0.700877,0.769524,0.372597,31,27,18,24.1202313333333,0.0857467952723472
"ABCC9","Abcc9",2.029741,1.735282,2.238094,334,424,115,2.001039,0.152849,0.551804,0.203548,19,57,23,0.021795,2.93702650727396
"ABCD1","Abcd1",3.751694,3.290507,2.928051,253,362,74,3.32341733333333,7.294446,8.044954,7.763412,256,196,196,11.7826246666667,0.338226103486206
"ABCD2","Abcd2",26.320987,26.081769,26.769714,1181,1617,306,26.3908233333333,0.010725,0,0.024448,1,0,2,7.79499266666667,3.1143656818664
"ABCD3","Abcd3",23.379323,22.163501,20.687641,1616,2217,462,22.0768216666667,11.69952,13.13055,9.707609,544,496,467,0.182089333333333,19.5220623483617
"ABCD4","Abcd4",9.282074,6.916407,9.782007,391,509,129,8.66016266666667,70.916088,64.134004,67.343217,895,680,780,6.02768366666667,1.37458700830349
"ABCE1","Abce1",20.233439,17.96782,16.699634,1557,2065,408,18.3002976666667,31.583438,49.79339,37.572001,980,1003,995,51.5015293333333,0.36761400880589
"ABCF1","Abcf1",39.898575,34.456644,30.824655,1253,1481,371,35.059958,79.412855,49.138765,60.340286,982,733,819,16.7136716666667,2.03571335624658
"ABCF2","Abcf2",28.959469,23.183203,30.132421,1585,1906,522,27.425031,41.126604,23.175533,34.428163,544,392,458,2.61348133333333,7.86638379387413
"ABCF3","Abcf3",251.730555,202.838829,291.535145,1377,1754,455,248.701509666667,48.291703,49.874702,42.97229,634,530,501,89.6533366666667,2.75446573560576
"ABCG1","Abcg1",18.19387,16.716273,15.025299,1036,1496,310,16.6451473333333,4.150456,4.415328,3.848561,183,146,140,70.685971,0.246145055820383
"ABCG2","Abcg2",29.071391,25.795465,21.358509,625,771,199,25.408455,2.961168,3.343736,4.879457,130,124,137,19.632322,1.2799555474173
"ABCG5","Abcg5",0.145426,0.040795,0.09925,3,3,1,0.095157,0,0.053623,0,0,2,0,13.9772976666667,0.0731211346915653
"ABCG8","Abcg8",0.024937,0.008273,0,2,1,0,0.01107,0.166037,0.120609,0.140823,13,5,8,30.739424,0.0318553354969517
"ABHD1","Abhd1",1.196823,0.71728,1.031029,31,27,8,0.981710666666667,0.539133,1.449996,2.556852,16,11,17,46.7447953333333,0.0415063181825627
"ABHD10","Abhd10",10.83551,11.441995,11.652591,366,588,127,11.310032,17.896254,16.509149,18.709231,474,316,439,11.2268,1.00680734125037
"ABHD11","Abhd11",14.205171,12.188733,16.893946,276,355,101,14.4292833333333,8.315591,5.793527,10.881287,88,44,86,0,15.4292833333333
"ABHD12","Abhd12",220.058829,194.911665,204.331185,3618,4930,1247,206.433893,34.456652,32.027544,41.779576,424,313,435,0.0118706666666667,205.000401566472
"ABHD13","Abhd13",5.454363,4.367787,4.270211,591,721,144,4.69745366666667,3.072772,3.602061,3.056116,238,226,207,17.24049,0.312352007356527
"ABHD14A","Abhd14a",13.142815,14.339487,11.925889,244,407,75,13.1360636666667,19.98651,11.809536,18.625674,220,94,202,5.444609,2.19347111153938
"ABHD14B","Abhd14b",12.490752,10.736031,18.244562,299,361,106,13.8237816666667,6.270991,5.484107,6.977415,142,105,131,19.3044256666667,0.73007638383993
"ABHD15","Abhd15",0.515703,0.794554,0.51023,29,56,9,0.606829,2.267084,2.653537,2.449372,118,109,110,121.178592,0.0131514774699646
"ABHD16A","Abhd16a",51.520744,49.225194,58.978636,1022,1419,372,53.2415246666667,43.283793,44.460669,44.105033,632,478,592,14.1200143333333,3.58739902429105
"ABHD16B","Abhd16b",0,0.018444,0,0,1,0,0.006148,0,0,0,0,0,0,15.0845016666667,0.0625538808009905
"ABHD17A","Abhd17a",54.09094,54.838004,80.823187,1138,1767,543,63.2507103333333,22.251861,16.580488,18.393927,855,595,608,20.7973786666667,2.94763472782109
"ABHD17B","Abhd17b",15.276339,14.658277,14.065653,575,887,163,14.6667563333333,6.982168,5.876005,6.383279,292,190,217,32.975061,0.461125186304547
"ABHD17C","Abhd17c",8.324551,5.812786,7.446699,240,377,81,7.19467866666667,5.189827,4.249834,4.998582,101,79,94,7.683484,0.943708615881214
"ABHD18","Abhd18",5.207263,4.045483,2.511846,323,360,56,3.92153066666667,3.285167,2.22549,2.818459,157,105,137,0.378546333333333,3.5700872344032
"ABHD2","Abhd2",10.865608,9.806749,11.171332,1666,2251,544,10.614563,43.040132,37.278752,34.676228,4800,3122,3837,25.8453793333333,0.432646633738509
"ABHD3","Abhd3",46.049488,40.965363,48.916433,1107,1482,417,45.310428,3.984849,5.25904,2.915345,43,53,50,188.800944,0.243994719014675
"ABHD4","Abhd4",41.709837,46.489543,44.554436,1708,2683,643,44.251272,36.086594,26.455903,21.679738,296,237,316,4.14297433333333,8.79865794909988
"ABHD5","Abhd5",23.061725,28.261032,19.459388,517,895,157,23.5940483333333,2.814933,3.503613,4.082079,117,93,117,67.8293946666667,0.357318968914948
"ABHD6","Abhd6",17.219782,14.994396,17.500717,721,938,243,16.5716316666667,11.831495,8.409419,12.306665,138,99,156,0.832805333333333,9.58728750243707
"ABHD8","Abhd8",50.936956,38.078002,64.276007,2090,2352,803,51.0969883333333,3.366122,1.881682,2.264601,60,36,33,0.113022333333333,46.8067771626026
"ABI1","Abi1",61.0719,45.96582,56.390212,1232,1550,346,54.4759773333333,12.69711,14.372399,14.823763,447,426,457,37.131495,1.45485975132455
"ABI2","Abi2",30.069824,20.950699,16.188413,1747,2281,476,22.4029786666667,23.445738,22.714472,18.676018,1466,1126,1250,19.2788783333333,1.15405686063997
"ABI3","Abi3",2.297924,3.572839,4.360517,45,62,12,3.41042666666667,0,0.122185,0,0,1,0,33.885931,0.126424221462419
"ABITRAM","Abitram",4.721721,3.482861,4.223285,316,411,72,4.14262233333333,13.474933,12.693075,15.766697,185,143,177,22.294948,0.220761271213541
"ABL1","Abl1",17.252337,18.901642,11.215876,1307,2217,446,15.7899516666667,20.002516,27.75208,18.375548,1348,1318,1125,0.541266,10.8936106205332
"ABL2","Abl2",6.505006,5.893185,4.067408,1208,1501,243,5.488533,7.647104,11.288064,8.405532,1295,1485,1218,0,6.488533
"ABLIM1","Ablim1",19.932181,14.238708,13.501742,2058,2420,544,15.890877,13.234586,13.893529,13.950169,1252,905,1223,3.43806866666667,3.80590708901455
"ABLIM2","Ablim2",77.501144,78.624032,83.529767,2000,2948,656,79.884981,2.618199,1.169305,2.227903,73,27,55,19.619759,3.92269284039644
"ABLIM3","Ablim3",3.978462,2.558477,2.756626,379,366,82,3.097855,39.693627,31.45544,35.010631,1694,1071,1302,0,4.097855
"ABO","Abo",0,0.018597,0.087707,0,1,1,0.0354346666666667,0.081458,0.061784,0.056364,8,5,5,418.292288333333,0.00246948178031719
"ABR","Abr",74.646676,57.404363,59.13765,5473,6170,1543,63.729563,198.031654,211.438013,200.361185,1298,1199,1252,521.419259666667,0.12390347752742
"ABRA","Abra",0.018005,0.01128,0,1,1,0,0.00976166666666667,0,0,0,0,0,0,10.242749,0.0898144810194256
"ABRACL","Abracl",36.891442,26.41917,26.414674,73,83,21,29.9084286666667,16.160065,20.958007,19.636272,132,135,145,14.463645,1.99878027894889
"ABRAXAS1","Abraxas1",4.084361,3.180293,2.25232,103,114,24,3.17232466666667,3.82892,6.035163,5.406464,107,132,131,1.09453433333333,1.99200586033204
"ABRAXAS2","Abraxas2",11.466733,11.511173,8.682248,552,673,163,10.5533846666667,5.545332,5.945653,7.320012,243,210,286,24.0521246666667,0.4611738453481
"ABT1","Abt1",1.876958,1.547864,2.244052,184,227,69,1.88962466666667,4.559478,4.690372,4.720066,202,168,186,0.332005333333333,2.16937920168488
"ABTB1","Abtb1",20.185235,16.277574,21.128845,464,615,144,19.197218,6.145615,3.499741,5.352266,109,78,105,35.8245523333333,0.548471514797415
"ABTB2","Abtb2",4.27992,4.990935,4.435689,419,704,139,4.568848,1.812701,1.607969,1.602889,139,98,106,0.0702403333333333,5.2033621108779
"ACAA1","Acaa1b",0.773102,0.218939,0.620438,15,11,7,0.537493,38.003127,38.829187,39.570663,550,465,521,2.87314266666667,0.396962655993049
"ACAA2","Acaa2",20.963765,13.131852,15.757114,326,408,95,16.617577,13.362606,16.013843,12.490575,285,274,234,37.1715246666667,0.461537157707106
"ACACA","Acaca",22.195442,21.317759,10.804532,2827,4307,669,18.105911,42.363631,48.905645,32.241697,1667,1457,1400,0.334099666666667,14.3212021390706
"ACACB","Acacb",2.966425,2.245241,1.899891,253,405,100,2.370519,3.811888,6.196471,2.56891,69,75,51,1.88246233333333,1.16931935624021
"ACAD10","Acad10",1.395235,2.376533,2.320622,85,127,26,2.03079666666667,21.73928,19.257871,23.277153,392,285,343,11.2976903333333,0.246452511367243
"ACAD11","Acad11",11.338964,9.925988,11.505482,562,777,163,10.923478,13.192374,11.007639,9.386726,340,270,275,16.9703503333333,0.663508377901963
"ACAD8","Acad8",14.2754,12.586996,10.959902,352,475,104,12.6074326666667,26.483493,20.192299,24.101738,534,375,468,1.015644,6.75091070976158
"ACAD9","Acad9",41.203767,34.89229,35.359212,975,1301,247,37.1517563333333,19.252462,17.316786,16.985834,406,304,324,0.0922513333333333,34.9294664781061
"ACADL","Acadl",25.651733,24.871783,24.52402,840,1274,288,25.0158453333333,0.207989,0.400506,0.246715,5,7,5,19.901956,1.24466080271786
"ACADM","Acadm",58.745312,36.227401,29.691039,514,691,140,41.554584,27.650351,25.508799,28.982212,462,377,403,0,42.554584
"ACADS","Acads",6.529714,5.634912,4.78439,176,254,53,5.649672,4.599063,3.579749,4.281652,112,71,98,30.3830136666667,0.211887617633832
"ACADSB","Acadsb",140.109473,139.144093,71.864677,1218,1759,269,117.039414333333,2.345294,3.480124,2.567987,193,175,184,1.14748833333333,54.966265707303
"ACADVL","Acadvl",29.417193,26.697487,39.322243,974,1271,339,31.8123076666667,487.069067,525.545782,529.790065,2890,2306,2580,17.40622,1.7826749689326
"ACAN","Acan",4.519357,3.856825,3.878308,545,722,134,4.08483,13.521626,21.358045,13.180758,1180,1435,924,7.561401,0.593924989613265
"ACAP1","Acap1",0.160375,0.198819,0.333643,9,13,3,0.230945666666667,8.203837,7.799579,5.089685,31,27,34,0.385942333333333,0.888165140108042
"ACAP2","Acap2",24.012689,28.211964,19.001302,1829,3174,501,23.741985,4.317336,5.926497,4.813944,442,447,434,44.5875936666667,0.542735051578104
"ACAT1","Acat1",41.162205,35.798947,46.975877,1423,1790,443,41.312343,56.259875,44.471839,63.751794,369,255,375,3.553206,9.29286814609311
"ACAT2","Acat2",40.665782,41.068989,46.124782,1183,1881,412,42.619851,25.297509,32.783013,27.509826,501,530,488,22.0492936666667,1.89245933653412
"ACBD3","Acbd3",10.456161,8.817061,9.958128,748,956,223,9.74378333333333,54.125804,44.820301,37.958539,793,793,708,87.7579663333333,0.121045848357822
"ACBD5","Acbd5",39.799716,34.501608,29.768931,1629,2629,472,34.690085,7.912379,6.095147,7.392269,308,226,288,57.1031753333333,0.614253606541274
"ACBD6","Acbd6",35.28567,29.491404,43.187113,614,762,206,35.9880623333333,24.856558,25.060157,20.197148,434,305,343,0.174427666666667,31.4945427318782
"ACBD7","Acbd7",0.916559,0.914463,0.98258,6,9,2,0.937867333333333,0.811197,0.918754,0.914356,39,38,35,11.1193056666667,0.159899204346608
"ACCS","Accs",3.86236,2.573998,5.720381,126,178,54,4.05224633333333,23.189882,13.116107,20.465664,320,206,258,6.32711866666667,0.689527024629418
"ACCSL","Accsl",0.100077,0.118829,0.067827,4,3,1,0.0955776666666667,0,0,0,0,0,0,0,1.09557766666667
"ACD","Acd",11.708988,8.977386,15.558951,321,353,126,12.081775,8.520872,12.288536,11.733328,141,109,166,13.9484126666667,0.875128034775955
"ACE","Ace",6.85104,5.450423,6.464917,583,638,164,6.25546,1.303784,1.277742,1.252099,41,16,21,4.61045833333333,1.29320272407929
"ACE2","Ace2",0.703129,0.439627,0.086061,42,48,2,0.409605666666667,0,0.275135,0.093605,0,1,2,0.032435,1.36532146495098
"ACER1","Acer1",0.021691,0.013217,0,1,1,0,0.011636,0.050862,0,0,1,0,0,0,1.011636
"ACER2","Acer2",3.578901,3.612412,3.507171,293,419,95,3.56616133333333,0.79589,1.105758,0.950331,33,37,35,42.3160396666667,0.105415023360207
"ACER3","Acer3",5.33321,5.297838,3.312498,588,759,160,4.64784866666667,2.862275,3.818158,3.438456,324,261,332,0.936543333333333,2.91645870735314
"ACHE","Ache",133.05904,101.056948,116.214608,3230,4242,1133,116.776865333333,23.639298,15.646921,24.253111,666,324,578,18.5912026666667,6.0117220640938
"ACIN1","Acin1",66.142631,56.196921,48.187616,1860,2205,484,56.8423893333333,177.532807,182.921232,142.933279,3282,2682,2593,5.776554,8.5356641935316
"ACKR1","Ackr1",114.430787,96.035182,148.031874,588,717,265,119.499281,7.550579,5.560224,10.119254,197,125,214,93.5780606666667,1.27407223356684
"ACKR2","Ackr2",0.032776,0.296782,0.051631,2,4,1,0.127063,0.359601,0.085355,0.268785,6,3,9,0.0201403333333333,1.1048117236158
"ACKR3","Ackr3",1.888017,2.183048,2.652716,122,214,54,2.24126033333333,0.58853,1.270426,0.550161,17,15,14,5.565056,0.493714041941658
"ACKR4","Ackr4",0.090908,0.281831,0.055977,4,16,1,0.142905333333333,0,0,0,0,0,0,83.4959306666667,0.0135261582932562
"ACLY","Acly",104.42968,115.808562,122.784102,7508,12430,2500,114.340781333333,146.457605,153.677986,123.036365,4402,3834,3894,0,115.340781333333
"ACMSD","Acmsd",0.250152,0.082175,0.159311,10,6,2,0.163879333333333,0,0.090128,0.068505,0,2,1,111.293037,0.0103646616426745
"ACO1","Aco1",9.548868,11.643803,10.725997,688,969,232,10.639556,7.828545,10.438737,8.19943,589,574,554,8.036804,1.28801686968092
"ACO2","Aco2",275.677282,225.355992,267.756615,9127,11839,3130,256.263296333333,44.21915,38.397711,34.421423,1102,814,929,1.38018433333333,108.085450664675
"ACOD1","Acod1",0.108795,0.012087,0,6,1,0,0.040294,0,0,0,0,0,0,0,1.040294
"ACOT1","Acot3",0.234426,0.160951,0.355095,14,12,8,0.250157333333333,3.574162,4.075885,3.688916,68,59,57,0.555757666666667,0.803568164964852
"ACOT11","Acot11",31.291213,30.108627,23.60258,1932,2643,500,28.33414,0.37798,0.458171,0.465699,35,34,33,0.009225,29.0660060937848
"ACOT12","Acot12",0.079966,0.252288,0,4,14,0,0.110751333333333,0.838379,0.711122,0.64397,19,13,12,28.4359543333333,0.0377345106856453
"ACOT13","Acot13",157.51678,116.485561,68.278891,489,681,163,114.093744,12.191412,9.46509,13.396844,229,175,231,0.128003666666667,102.033129324934
"ACOT2","Acot2",1.850343,1.867143,1.207003,80,121,16,1.64149633333333,21.539035,15.077116,15.11408,178,108,135,0.579736666666667,1.67211180766415
"ACOT4","Acot4",3.018317,2.376966,0.237518,67,77,10,1.87760033333333,0.146906,0.447474,0.101508,5,12,3,8.40042833333333,0.306113746235322
"ACOT6","Acot6",2.021448,1.857693,1.602341,145,199,36,1.82716066666667,0,0.122286,0,0,1,0,60.099307,0.0462715668226264
"ACOT7","Acot7",204.185837,177.859959,182.811225,3634,5205,1369,188.285673666667,38.203304,38.030315,39.780133,695,547,661,105.878071333333,1.77104312704445
"ACOT8","Acot8",6.812502,7.054797,4.571108,121,202,29,6.14613566666667,9.983366,11.016138,11.40912,177,144,156,4.974236,1.19615891750287
"ACOT9","Acot9",10.646338,8.355602,7.608419,333,370,83,8.87011966666667,23.22135,28.851472,24.154281,541,489,487,3.387781,2.24945585631249
"ACOX1","Acox1",38.281042,36.979115,36.155443,2815,4071,907,37.1385333333333,33.537489,28.271905,20.230548,771,581,655,18.5512403333333,1.95069635905964
"ACOX2","Acox2",0.478907,0.537406,1.920292,7,13,7,0.978868333333333,5.459635,7.803665,5.815802,51,58,35,72.0220853333333,0.0270995867113372
"ACOX3","Acox3",31.578703,26.301488,22.859586,995,1397,328,26.913259,8.870189,7.235071,11.373044,158,135,150,15.2750176666667,1.71509853762985
"ACOXL","Acoxl",0.032761,0.021899,0,2,2,0,0.01822,0.239138,0.162594,0.206492,7,4,5,6.31179633333333,0.139257161110751
"ACP1","Acp1",43.469525,42.708891,37.818103,1062,1304,300,41.332173,58.248272,76.17287,65.299677,903,859,858,32.6087256666667,1.25955900321402
"ACP2","Acp2",14.948313,13.40809,13.834404,1522,1780,427,14.0636023333333,169.629988,98.736759,157.367625,899,467,753,0.231051666666667,12.2363689040942
"ACP4","Acp4",0.091482,0.039542,0,3,2,0,0.0436746666666667,0.556063,0.142491,0.132265,10,2,2,5.758203,0.154430795681436
"ACP5","Acp5",0.426923,0.534385,0.367158,5,8,3,0.442822,7.63295,1.018418,10.927006,32,7,35,0.237713666666667,1.16571549531785
"ACP6","Acp6",12.775913,9.182779,11.204909,262,304,72,11.0545336666667,24.331622,19.56541,23.987726,367,301,340,0.0874,11.0856480289375
"ACP7","Acp7",1.356604,0.882333,1.43745,21,11,3,1.22546233333333,0.259018,0.140654,0.195719,11,5,8,85.97565,0.0255871882915889
"ACR","Acr",0.454999,0.859649,0.600143,13,15,5,0.638263666666667,0.050784,0.062833,0,1,1,0,6.30690966666667,0.224207461348571
"ACRBP","Acrbp",5.73949,4.783652,6.789045,91,120,35,5.770729,0.933344,1.400639,0.994766,9,11,8,1.396431,2.82533859727236
"ACRV1","Acrv1",0.129637,0.107061,0.275087,9,11,6,0.170595,0.230836,0.190941,0.387534,4,4,4,1.409463,0.485832320313697
"ACSBG1","Acsbg1",108.813398,94.405486,84.872829,4262,5796,1577,96.030571,1.680716,3.357604,1.221717,49,54,34,42.5405296666667,2.22851149820264
"ACSBG2","Acsbg2",0.019263,0,0,1,0,0,0.006421,0.206484,0.414199,0.534768,2,2,6,74.0247403333333,0.0134145216035203
"ACSF2","Acsf2",24.630047,17.495217,16.328537,485,643,130,19.4846003333333,52.435691,50.495669,51.622443,334,301,283,4.91425733333333,3.46359638730633
"ACSF3","Acsf3",7.137229,5.689405,5.478674,331,399,80,6.10176933333333,19.896846,16.478566,14.431669,339,249,243,1.56849833333333,2.76494994805655
"ACSL1","Acsl1",23.107288,34.423455,39.671238,803,1349,245,32.4006603333333,22.571965,34.049958,24.018834,390,247,333,0.187325333333333,28.1310095856906
"ACSL3","Acsl3",141.226341,139.771625,112.269409,4160,6087,1311,131.089125,125.144372,117.20619,162.941162,2688,1748,2708,26.998922,4.71765037953961
"ACSL4","Acsl4",21.479562,22.663303,21.725103,816,1113,182,21.9559893333333,25.373504,30.774505,32.691471,1627,1473,1507,3.55108633333333,5.04406808660115
"ACSL5","Acsl5",45.183423,27.652313,57.118124,754,770,207,43.3179533333333,0.550356,0.183705,0.680974,9,2,6,18.5806646666667,2.26335285792307
"ACSL6","Acsl6",131.3267,112.459272,98.930735,6556,8580,1883,114.238902333333,5.279576,2.761154,5.097792,259,134,211,6.56396133333333,15.2352579891559
"ACSM1","Acsm1",0,0,0,0,0,0,0,0,0.132055,0,0,1,0,94.2345353333333,0.010500392494171
"ACSM2B","Acsm2",0.04072,0.018053,0.021651,6,4,1,0.026808,0.259345,0.573845,1.003013,6,3,7,8.893309,0.103788125893975
