"Hs_symbol","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg_TPM","FoldChange"
"CCDC61","Ccdc61",12.704591,9.360741,11.472273,144,161,49,11.1792016666667,6.834495,1.719736,4.041435,54,16,38,1.93241533333333,4.15330036240887
"CCDC62","Ccdc62",5.822934,3.982488,3.545891,116,158,34,4.45043766666667,0.368694,0.468473,0.565916,21,18,21,8.82863033333333,0.554547020471588
"CCDC63","Ccdc63",0.560582,0.471509,1.03384,11,15,5,0.688643666666667,0,0,0,0,0,0,0.150396666666667,1.46787948504719
"CCDC65","Ccdc65",2.36156,3.272904,2.962407,92,128,34,2.86562366666667,6.982013,6.397337,11.013164,119,98,114,7.12508566666667,0.475764050405704
"CCDC66","Ccdc66",3.751814,2.916395,2.340003,236,264,49,3.00273733333333,27.777858,25.767502,25.461246,363,251,250,0,4.00273733333333
"CCDC68","Ccdc68",0.128972,0.089322,0.145234,4,3,1,0.121176,0.818196,0,0.059742,14,0,1,12.3771853333333,0.0838125489078968
"CCDC69","Ccdc69",0.443659,0.319165,0.848687,12,12,6,0.537170333333333,1.187592,3.443003,1.2409,30,23,20,11.932479,0.118861227869253
"CCDC70","Ccdc70",0,0,0,0,0,0,0,0,0,0,0,0,0,7.843693,0.113074933740916
"CCDC71","Ccdc71",6.364315,7.993167,10.110329,348,462,120,8.155937,5.184186,3.977352,5.548312,163,95,115,20.055021,0.434857652243614
"CCDC73","Ccdc73",6.551293,7.121761,14.084858,206,225,52,9.25263733333333,0.075466,0.135931,0.14752,5,7,7,37.3544606666667,0.267312775492728
"CCDC77","Ccdc77",3.132639,2.752216,3.196069,146,212,58,3.02697466666667,13.8434,12.232934,10.151203,183,120,111,0.023612,3.93408309658998
"CCDC78","Ccdc78",0.397713,0.437109,0.768269,13,26,10,0.534363666666667,5.198525,5.616461,6.65496,88,97,101,15.543774,0.0927456858795742
"CCDC8","Ccdc8",0.942694,0.614289,0.926576,101,99,31,0.827853,10.112148,4.871564,6.20743,606,221,246,895.654779666667,0.00203852479398984
"CCDC80","Ccdc80",1.411726,1.596915,1.451917,111,166,37,1.48685266666667,42.708804,12.225482,10.93303,1445,427,336,57.4037476666667,0.0425803611244285
"CCDC81","Ccdc81",0.876051,0.336845,0.4145,52,28,7,0.542465333333333,0.989289,0.219977,0.639818,21,5,8,8.77346533333333,0.157821742925982
