"Hs_symbol","Spinal_cord","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"RNF128",0.74482,0.74482,2.20578,2.20578,0.544273156610872
"RNF13",377.34614,377.34614,109.91262,109.91262,3.41120911218218
"RNF130",344.23253,344.23253,151.04884,151.04884,2.27053708532074
"RNF133",0.40345,0.40345,0.01045,0.01045,1.38893562274234
"RNF135",6.48617,6.48617,18.15848,18.15848,0.390749683690982
"RNF138",12.41372,12.41372,5.04925,5.04925,2.21741868826714
"RNF138P1",0.49655,0.49655,0.08363,0.08363,1.38105257329531
"RNF139",9.34133,9.34133,19.49658,19.49658,0.504539293872441
"RNF14",33.70326,33.70326,52.37419,52.37419,0.650188040324359
"RNF141",85.37538,85.37538,15.5659,15.5659,5.21404692772503
"RNF144A",33.20671,33.20671,3.63797,3.63797,7.37536249695449
"RNF144B",7.47927,7.47927,3.08391,3.08391,2.07626269922697
"RNF145",22.81022,22.81022,29.46963,29.46963,0.781441061148429
"RNF146",37.05496,37.05496,30.92273,30.92273,1.19209603940515
"RNF148",0.52758,0.52758,0.04182,0.04182,1.46626096638575
"RNF149",32.67912,32.67912,25.44487,25.44487,1.27355967338845
"RNF150",3.13446,3.13446,1.43219,1.43219,1.69989186700052
"RNF151",0.58965,0.58965,0.12545,0.12545,1.41245723932649
"RNF152",13.59303,13.59303,0.56451,0.56451,9.32754025221955
"RNF157",96.796,96.796,109.56764,109.56764,0.884490254110516
"RNF165",3.53791,3.53791,0.75268,0.75268,2.58912636647876
"RNF166",65.26515,65.26515,27.95381,27.95381,2.28865044013206
"RNF167",179.4714,179.4714,90.2906,90.2906,1.97688918683851
"RNF168",3.13446,3.13446,6.52325,6.52325,0.54955770444954
"RNF169",1.39654,1.39654,0.55406,0.55406,1.54211549103638
"RNF17",0.12414,0.12414,0.02091,0.02091,1.10111567131285
"RNF170",14.21371,14.21371,16.2245,16.2245,0.883259891433714
"RNF175",4.93445,4.93445,37.54006,37.54006,0.153981337859879
