"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","FoldChange"
"HMGCLL1","Hmgcll1",4.406277,7.488185,3.964924,510,110,198,5.286462,12.804099,15.06881,21.64261,250,343,255,60.992716,0.101406462010795
"HMGCR","Hmgcr",84.579927,96.935305,108.527688,7055,2029,3169,96.6809733333333,340.534326,235.088657,182.074135,7735,5626,3816,52.361561,1.83054939740862
"HMGCS1","Hmgcs1",262.729319,299.504217,284.914464,30767,8476,12769,282.382666666667,298.355086,217.049619,202.325464,11019,8609,5498,16.2973203333333,16.3830385982137
"HMGCS2","Hmgcs2",20.973453,18.605522,18.711737,2860,600,979,19.4302373333333,0.042096,0,0,1,0,0,103.031150666667,0.19638576717079
"HMGN1","Hmgn1",54.073622,58.715872,74.103178,773,189,322,62.2975573333333,89.751075,97.567983,122.679512,1166,1268,1111,15.7813543333333,3.77189802896918
"HMGN2","Hmgn2",17.160506,17.521224,21.905003,724,185,351,18.8622443333333,36.568849,50.840642,66.078417,432,599,610,26.9926053333333,0.709553258684413
"HMGN3","Hmgn3",49.445634,53.391074,82.149287,484,116,237,61.6619983333333,13.350815,12.715802,19.893363,117,123,125,6.08654433333333,8.84239135266352
"HMGN5","Hmgn5",1.053302,1.122019,1.221206,76,20,34,1.13217566666667,2.76805,3.978616,2.314318,20,38,13,237.938476666667,0.0089235341934534
"HMMR","Hmmr",0.436151,0.387619,0.426398,70,15,27,0.416722666666667,0.578389,0.513795,1.631778,19,13,22,12.146815,0.107761664453837
"HMOX1","Hmox1",15.155878,15.482434,15.117217,891,216,341,15.251843,0.64996,1.529078,1.719277,12,27,16,15.5576036666667,0.981533519413669
"HMOX2","Hmox2",114.089807,96.821908,89.407228,3565,766,1224,100.106314333333,65.714769,70.770811,61.274815,629,691,434,37.2946503333333,2.64022032981787
"HMX1","Hmx1",1.55284,1.7148,2.575467,53,13,33,1.94770233333333,0.825806,0.231463,0,11,4,0,5.25682866666667,0.471117636485278
"HMX2","Hmx2",0,0,0,0,0,0,0,0,0,0,0,0,0,32.231754,0.0300917008473281
"HMX3","Hmx3",0,0,0,0,0,0,0,0.151256,0.188295,0.087754,5,7,2,25.1814056666667,0.0381950462374588
"HNF1A","Hnf1a",0.060246,0,0,4,0,0,0.020082,0.381621,0.517872,0,2,5,0,0.0714386666666667,0.952067562741187
"HNF1B","Hnf1b",0.597414,0.262886,0.318817,23,7,9,0.393039,0.564798,0.45236,0.114818,11,18,2,1.536761,0.549140813817305
"HNF4A","Hnf4a",0.05336,0,0,5,0,0,0.0177866666666667,0,0.02836,0,0,2,0,15.789946,0.0606188171579984
"HNF4G","Hnf4g",0.170904,0.134763,0.11991,15,3,4,0.141859,0.641816,0.04411,0.026925,2,2,1,14.8062583333333,0.0722409425380559
"HNMT","Hnmt",7.380423,7.47788,7.517863,351,92,153,7.458722,0.553948,1.629755,1.214693,5,11,4,113.325127333333,0.0739883015860305
"HNRNPA0","Hnrnpa0",26.786672,28.935993,29.663049,2245,582,1146,28.4619046666667,18.933481,17.369099,22.956959,2277,2254,1968,16.9845513333333,1.63817846331594
"HNRNPA1","Hnrnpa1",77.889486,76.714474,79.468047,5100,1321,2111,78.0240023333333,479.825133,414.51313,549.978838,4835,4313,4104,3.60286233333333,17.1684479375044
"HNRNPA2B1","Hnrnpa2b1",212.613044,244.337791,217.515455,8778,2624,3652,224.822096666667,379.696902,310.942463,467.186486,5875,5447,4604,2.158051,71.5067922166763
"HNRNPA3","Hnrnpa3",80.25706,117.658322,89.800078,7948,2281,3485,95.9051533333333,94.469774,90.193397,102.01384,3088,2890,2627,0.0950616666666667,88.4928733085047
"HNRNPAB","Hnrnpab",60.115646,72.421604,59.940137,3945,1096,1614,64.159129,50.491877,47.454852,56.261166,891,904,686,0.431459666666667,45.5193607736998
"HNRNPC","Hnrnpc",91.830342,93.751584,85.088537,6016,1468,2146,90.2234876666667,232.556724,228.323602,249.210767,2055,2235,1491,3.38569533333333,20.8002336535613
"HNRNPD","Hnrnpd",66.519636,78.985858,73.745683,2149,697,1015,73.0837256666667,117.816632,100.267922,115.775549,1418,1365,1033,28.205831,2.53660735305449
"HNRNPDL","Hnrnpdl",30.789888,39.501788,38.265464,2450,823,1267,36.1857133333333,132.151871,117.120375,140.918576,3129,2926,2501,23.8612466666667,1.49573003445523
"HNRNPF","Hnrnpf",109.937769,113.681054,109.606177,4141,1131,1630,111.075,23.678944,22.062364,24.96866,631,569,497,23.931966,4.49523314767877
"HNRNPH1","Hnrnph1",670.648118,634.398834,745.808913,4968,1390,2138,683.618621666667,458.48017,490.181548,625.540443,2117,2150,2091,6.45583066666667,91.823252468359
"HNRNPH2","Hnrnph2",42.634902,56.3194,48.155398,3748,1174,1637,49.0365666666667,55.183303,52.583092,60.876371,1589,1635,1250,4.243323,9.54291136873823
"HNRNPK","Hnrnpk",460.267269,493.177449,467.121614,12100,3278,4900,473.522110666667,254.017415,221.116295,272.584927,4725,4585,3624,0.0374863333333333,457.376733958584
"HNRNPL","Hnrnpl",73.575569,61.197116,69.292498,3339,758,1330,68.0217276666667,99.687525,97.893347,100.817344,1255,1483,1040,37.942938,1.7723811096807
"HNRNPLL","Hnrnpll",13.538194,13.275967,13.6349,1454,349,624,13.4830203333333,22.76588,21.224506,24.116382,399,434,306,3.638115,3.12260914904726
"HNRNPM","Hnrnpm",96.829441,128.903975,106.056395,3044,865,1327,110.596603666667,136.558787,165.688364,205.660581,955,1041,902,0.340121333333333,83.2735073242124
"HNRNPU","Hnrnpu",154.30956,183.500191,163.825718,8717,2408,3964,167.211823,300.831167,247.653683,367.481712,4106,4076,3336,0,168.211823
"HNRNPUL1","Hnrnpul1",15.466587,16.24177,15.937908,2186,570,929,15.8820883333333,61.738358,58.461308,73.80808,881,1002,790,13.8236226666667,1.13886387376113
"HNRNPUL2","Hnrnpul2",29.970513,31.01097,29.828477,6183,1547,2504,30.2699866666667,33.83148,26.948889,33.310776,1745,1727,1277,35.9756923333333,0.845690362867851
"HOGA1","Hoga1",0.2504,0.606709,0.351515,14,6,6,0.402874666666667,0.100608,0.027381,0,3,1,0,0.0165423333333333,1.38004549408829
"HOMER1","Homer1",7.268643,5.646064,10.025449,827,198,381,7.64671866666667,15.691483,17.667122,20.414248,438,480,379,7.57483433333333,1.00838317459428
"HOMER2","Homer2",12.162727,9.797819,11.371848,3166,711,1243,11.110798,38.573908,39.689073,26.777266,413,484,414,19.59188,0.588134643364278
"HOMER3","Homer3",6.617427,4.703403,6.039766,291,61,97,5.78686533333333,9.11357,10.903435,12.907586,83,112,88,3.92475166666667,1.378113211123
"HOMEZ","Homez",10.115554,8.732045,6.645487,571,120,183,8.49769533333333,3.577359,3.514455,3.871879,120,122,102,26.618446,0.343889563277142
"HOOK1","Hook1",7.297692,12.433045,12.386695,509,126,208,10.7058106666667,3.714375,8.251903,2.873764,236,170,140,7.735862,1.33997202184131
"HOOK2","Hook2",2.01079,2.368157,2.539587,190,63,105,2.306178,78.354144,94.433932,89.170562,265,275,209,12.1360156666667,0.251688037217373
"HOOK3","Hook3",11.593994,11.630864,14.787557,3332,860,1340,12.670805,11.974128,10.770475,10.815586,662,747,569,7.732127,1.56557560374465
"HOPX","Hopx",128.195229,121.671351,115.326505,4907,1154,1749,121.731028333333,1.226778,1.660171,1.578895,21,21,11,107.916540666667,1.12683553464065
"HORMAD1","Hormad1",0,0,0,0,0,0,0,0.517967,0.287315,1.186361,5,2,8,0.0308116666666667,0.970109315151329
"HORMAD2","Hormad2",0.108355,0.110679,0.276229,8,2,8,0.165087666666667,0,0.359633,0,0,1,0,21.135634,0.0526340319263802
"HOXA1","Hoxa1",0.31206,0.319648,0.427688,28,7,15,0.353132,0.079095,0.036356,0.222643,2,1,4,0,1.353132
"HOXA10","Hoxa10",4.912812,6.199881,6.636656,328,102,175,5.91644966666667,0,0,0,0,0,0,1.35251666666667,2.94002153721901
"HOXA11","Hoxa11",0.024921,0,0.060482,2,0,2,0.0284676666666667,0,0,0,0,0,0,40.8548413333333,0.024572250996627
"HOXA13","Hoxa13",0,0,0,0,0,0,0,0,0,0,0,0,0,13.945929,0.066907851629698
"HOXA2","Hoxa2",0.403639,0.45511,0.276973,27,7,7,0.378574,0,0,0,0,0,0,4.332751,0.25851085115356
"HOXA3","Hoxa3",1.030237,0.533268,0.930996,62,12,36,0.831500333333333,0,0.026622,0,0,1,0,79.6647576666667,0.0227050869092262
"HOXA4","Hoxa4",1.383775,1.048931,2.425984,66,12,49,1.61956333333333,0,0,0,0,0,0,0.110321666666667,2.35928327076388
"HOXA5","Hoxa5",2.211125,2.576751,2.370321,145,41,66,2.38606566666667,0,0.806283,0,0,1,0,25.866754,0.126031811162103
"HOXA6","Hoxa6",1.119759,0.57807,1.166665,32,4,13,0.954831333333333,0.126382,0,0.133797,1,0,1,62.0257053333333,0.0310164134299573
"HOXA7","Hoxa7",14.668197,12.011127,15.929748,1010,216,410,14.203024,0,0,0,0,0,0,0.161949333333333,13.0840679226403
