"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","FoldChange"
"ABCD4","Abcd4",7.701302,7.200632,7.596608,671,162,279,7.499514,36.841234,32.142947,25.91358,577,476,396,0.035787,8.2058512029983
"ABCE1","Abce1",34.359215,33.442045,35.396792,5248,1252,2130,34.3993506666667,25.279482,10.850918,4.462396,450,444,265,18.7739536666667,1.79020095138283
"ABCF1","Abcf1",48.874882,43.044373,42.180863,2775,693,1070,44.7000393333333,30.647549,12.146954,19.277681,895,681,599,8.455803,4.83301516892149
"ABCF2","Abcf2",34.216991,31.769168,33.397482,3604,812,1372,33.1278803333333,6.164294,6.22041,10.611419,480,500,342,1.52677933333333,13.5064743814854
"ABCF3","Abcf3",239.440985,240.481862,262.081136,2543,620,992,247.334661,42.225453,35.384299,25.704264,787,609,496,90.6919753333333,2.7083576299585
"ABCG1","Abcg1",18.773829,17.063098,18.789429,2286,536,842,18.2087853333333,4.885127,3.443918,3.219942,306,199,192,16.9057156666667,1.07277395055996
"ABCG2","Abcg2",54.978868,56.39503,59.840227,2779,666,1263,57.071375,0.576877,0.198017,0.199392,10,14,4,7.015284,7.24508014937462
"ABCG5","Abcg5",0.010563,0.043488,0,1,1,0,0.018017,0,0.01593,0,0,1,0,10.5729776666667,0.087965001689424
"ABCG8","Abcg8",0.091383,0.209021,0.104162,14,7,6,0.134855333333333,0.035989,0.06211,0.039485,4,5,3,7.553478,0.132677646839488
"ABHD1","Abhd1",0.248361,0.11232,0.155026,13,1,3,0.171902333333333,0.548215,0.837679,0.573511,17,19,15,12.967623,0.0839013433662502
"ABHD10","Abhd10",17.746552,16.650794,17.367814,1666,373,628,17.2550533333333,4.682414,3.63352,2.996599,164,141,99,6.34839,2.48422488917073
"ABHD11","Abhd11",21.328858,20.942596,21.510674,760,193,291,21.2607093333333,16.413349,19.071503,13.597818,302,309,281,0,22.2607093333333
"ABHD12","Abhd12",214.181303,199.363481,208.134202,7251,1684,2832,207.226328666667,31.484105,29.04836,22.06709,638,567,468,0.107916333333333,187.944091446135
"ABHD13","Abhd13",3.425154,2.566317,3.608387,713,132,298,3.19995266666667,1.172633,1.326137,0.716184,82,109,59,8.10472266666667,0.461293860387766
"ABHD14A","Abhd14a",19.7553,20.709479,18.454951,796,192,283,19.63991,8.546513,7.684425,5.406513,139,127,86,2.20865933333333,6.43256508585413
"ABHD14B","Abhd14b",18.377497,14.011024,14.704548,754,156,268,15.6976896666667,8.124944,8.387924,5.480449,292,279,180,11.920216,1.2923692349003
"ABHD15","Abhd15",1.258226,1.963905,0.849918,121,26,37,1.35734966666667,1.644095,1.578787,1.43262,123,111,101,57.0980066666667,0.0405753966774075
"ABHD16A","Abhd16a",70.646955,78.385633,75.72245,2758,659,1094,74.918346,19.452254,20.109003,15.952975,486,433,358,0.04322,72.773092923832
"ABHD16B","Abhd16b",0.100346,0.059159,0.073675,7,1,2,0.0777266666666667,0,0,0,0,0,0,8.18705733333333,0.117309234890301
"ABHD17A","Abhd17a",54.32776,41.861233,48.254641,1996,396,869,48.147878,21.413135,20.573032,17.57639,715,597,525,4.32983033333333,9.22128377945239
"ABHD17B","Abhd17b",22.041201,20.581638,22.935141,1825,435,732,21.85266,2.046774,1.634046,1.489593,103,84,78,3.44931766666667,5.13621676672071
"ABHD17C","Abhd17c",11.283472,13.469857,8.899621,714,148,294,11.21765,1.848624,2.204347,1.707873,50,65,54,1.76255833333333,4.42258534510583
"ABHD18","Abhd18",3.17983,3.46159,2.752458,273,75,108,3.13129266666667,8.712244,6.827573,4.421348,367,326,288,0.113742,3.70938032925639
"ABHD2","Abhd2",36.723837,35.505954,38.19751,10887,2566,4419,36.8091003333333,3.332886,2.82704,2.375777,614,430,406,38.1171863333333,0.966559813662126
"ABHD3","Abhd3",14.353249,12.050526,13.142816,749,205,280,13.182197,2.331696,3.741765,1.156728,72,76,34,32.086452,0.428640610966688
"ABHD4","Abhd4",50.359455,48.462447,50.512159,4010,834,1505,49.7780203333333,15.0237,23.747182,16.357654,409,343,303,4.40507566666667,9.39450684224155
"ABHD5","Abhd5",30.875776,28.899154,33.675929,1450,328,540,31.1502863333333,7.210165,4.691474,4.783658,177,215,128,10.395547,2.82130259594676
"ABHD6","Abhd6",12.397356,10.977638,11.245281,974,215,348,11.5400916666667,2.357982,2.891814,1.502824,64,48,45,0.079272,11.6190280732444
"ABHD8","Abhd8",37.222072,31.595592,35.732559,2814,569,1151,34.8500743333333,4.748047,3.701303,3.322699,184,148,137,0.0717826666666667,33.4490148500256
"ABI1","Abi1",73.499723,76.395454,73.837698,3519,880,1307,74.577625,10.258949,6.855637,7.216852,359,321,284,27.1435236666667,2.68543576473029
"ABI2","Abi2",33.5103,22.271769,32.250394,3171,695,1283,29.3441543333333,21.727203,10.892244,9.493522,933,760,670,22.248018,1.30523618543883
"ABI3","Abi3",0.648225,0.232863,1.080233,18,6,10,0.653773666666667,0.029558,0.160231,0.222847,1,5,7,0.849044666666667,0.89439357332994
"ABITRAM","Abitram",3.739558,3.621243,4.375773,439,119,176,3.91219133333333,13.449005,10.517363,5.073883,184,198,136,15.4211246666667,0.299138544590957
"ABL1","Abl1",8.536541,8.902709,11.083969,1262,319,543,9.50773966666667,7.760499,5.097737,3.86969,787,524,458,6.07615,1.48495151553693
"ABL2","Abl2",5.264426,4.654585,6.798877,2047,472,841,5.57262933333333,1.446018,0.98648,1.194757,315,194,136,0,6.57262933333333
"ABLIM1","Ablim1",44.867705,42.117908,43.063424,9236,2061,3536,43.349679,59.262507,38.678189,34.133185,7498,5439,4652,1.242575,19.7762300034559
"ABLIM2","Ablim2",27.7936,29.426839,21.693994,1532,345,560,26.304811,6.864886,5.835002,6.004859,163,143,105,0.375775,19.8468579527902
"ABLIM3","Ablim3",13.169178,12.081958,12.860354,2375,528,912,12.70383,1.439051,0.939932,0.795889,79,55,65,0,13.70383
"ABO","Abo",0.10168,0,0.037192,7,0,1,0.0462906666666667,0.108377,0.428422,0.100191,15,12,11,32.133593,0.0315779416577812
"ABR","Abr",59.447352,52.550682,58.358209,10128,2156,3916,56.7854143333333,137.5781,52.298863,84.704982,1454,973,842,58.4552836666667,0.971913861471162
"ABRA","Abra",0.017227,0,0.044071,2,0,2,0.0204326666666667,1.22541,0.904378,0.700678,55,43,33,0.143714666666667,0.892209129083478
"ABRACL","Abracl",37.088713,47.865666,52.35161,184,56,84,45.768663,1.304502,3.067132,2.188819,11,29,19,2.930831,11.8979073381684
"ABRAXAS1","Abraxas1",3.576158,3.463709,2.394861,158,35,60,3.14490933333333,1.870927,1.13124,1.242214,62,58,36,0.970076,2.10393372303065
"ABRAXAS2","Abraxas2",19.151046,15.849001,18.553229,1604,384,645,17.851092,2.908321,2.115077,1.946772,158,120,108,19.409946,0.923622825851671
"ABT1","Abt1",1.783222,1.437852,1.858162,334,66,136,1.69307866666667,3.32542,2.791458,2.174212,199,168,128,1.20228266666667,1.22285785899721
"ABTB1","Abtb1",46.710301,42.045226,46.427737,1463,361,559,45.061088,4.435767,2.908722,2.928956,118,103,97,117.910354,0.387359775247158
"ABTB2","Abtb2",16.08518,16.368571,14.737303,2968,692,1128,15.7303513333333,6.950399,6.045716,4.152189,790,633,438,0.0212173333333333,16.3827530019728
"ACAA1","Acaa1b",0.255714,0.200968,0.42739,5,3,3,0.294690666666667,73.219918,69.137641,52.278734,1732,1479,1295,0.441026,0.898450594692023
"ACAA2","Acaa2",48.921519,40.774913,50.141634,1806,371,659,46.6126886666667,33.764452,29.686524,22.134757,1017,904,664,19.4534313333333,2.32785824005341
"ACACA","Acaca",28.483863,24.922881,36.571534,7673,1813,3098,29.9927593333333,7.1497,4.870629,6.747958,693,417,430,0.974021333333333,15.7003163086383
"ACACB","Acacb",2.097291,2.286744,2.776692,428,116,205,2.386909,26.02878,14.841445,7.767875,1315,753,655,1.045542,1.65575138520744
"ACAD10","Acad10",5.900381,5.058764,3.772682,398,85,139,4.910609,20.02537,13.653281,10.050915,659,558,399,14.3326123333333,0.385492626533722
"ACAD11","Acad11",8.306437,8.234552,10.686786,908,217,371,9.075925,6.08628,6.516346,6.250521,364,279,315,9.801573,0.932820154990389
"ACAD8","Acad8",19.029721,18.683449,17.581744,1000,249,370,18.431638,17.886304,13.41606,11.385466,633,534,433,0.348885333333333,14.4057004104129
"ACAD9","Acad9",35.76316,32.365758,33.771603,1593,407,659,33.9668403333333,9.950716,8.300763,6.289277,369,346,279,0.00452933333333333,34.8091779632783
"ACADL","Acadl",73.220247,63.531695,77.515492,4260,1046,1720,71.422478,0.430319,0.363646,0.199827,20,21,12,19.283423,3.57052544829342
"ACADM","Acadm",104.286834,133.069582,89.941463,2042,555,727,109.099293,55.824798,42.128201,34.763102,1043,919,796,0.271208333333333,86.609952210823
"ACADS","Acads",9.784882,10.757871,9.318308,551,138,214,9.953687,15.466497,14.289382,12.849752,587,501,461,11.872711,0.850923088384413
"ACADSB","Acadsb",96.232375,126.89331,108.03208,1698,455,653,110.385921666667,6.230585,3.533107,3.515221,558,395,389,0.199794666666667,92.8374869144276
"ACADVL","Acadvl",42.023617,41.941155,42.073591,3114,819,1237,42.0127876666667,539.418883,513.721339,438.661315,4271,3691,3049,17.5133453333333,2.32333956355376
"ACAN","Acan",0.130892,0.191164,0.119876,36,15,14,0.147310666666667,0,0.022851,0,0,2,0,3.04950066666667,0.283321515689753
"ACAP1","Acap1",0.091783,0.232758,0.226778,10,6,5,0.183773,14.853065,11.82895,6.245988,42,44,28,0.534163333333333,0.771608194694611
"ACAP2","Acap2",20.793923,20.213468,20.579347,2488,592,1000,20.5289126666667,2.720509,0.953916,0.841565,159,108,106,26.4081756666667,0.785492362880969
"ACAT1","Acat1",45.268253,39.492711,43.532401,3117,754,1257,42.764455,106.632562,103.500411,97.170077,946,923,785,5.969076,6.27980739483972
"ACAT2","Acat2",118.574216,110.048324,111.242826,6929,1639,2550,113.288455333333,7.765272,8.394048,3.664681,210,229,100,22.2122423333333,4.92362838936988
"ACBD3","Acbd3",19.496714,17.2792,18.511416,2687,586,1015,18.42911,26.857783,13.437707,11.62415,382,312,276,94.706676,0.203006841445418
"ACBD5","Acbd5",54.568877,48.479724,53.439881,5713,1396,2284,52.1628273333333,7.618894,5.044549,4.657079,439,324,287,24.477655,2.08664523219791
"ACBD6","Acbd6",31.172844,27.736285,33.386355,1047,224,446,30.7651613333333,23.154423,24.794667,23.033485,532,463,433,0.176179,27.0070808383191
"ACBD7","Acbd7",2.097597,1.943282,1.424488,26,6,7,1.821789,0.572654,0.568327,0.510339,37,38,33,6.53185033333333,0.374647513574686
"ACCS","Accs",5.583149,6.109839,6.953522,303,83,147,6.21550333333333,8.564602,4.575821,7.352098,163,107,122,12.768286,0.524066926945978
"ACCSL","Accsl",0.399985,0.65421,0.94449,14,3,7,0.666228333333333,0,0,0,0,0,0,0.00512366666666667,1.65773465354678
"ACD","Acd",9.397863,8.513551,9.52039,513,112,212,9.14393466666667,6.047245,4.588355,4.00999,85,83,68,8.21773166666667,1.10048057737994
"ACE","Ace",1.529936,1.266676,2.28227,228,53,111,1.69296066666667,1.157448,0.481306,0.687591,31,27,17,3.13386766666667,0.651438527745163
"ACE2","Ace2",0.39351,0.513533,0.554108,55,13,29,0.487050333333333,0.292,0.608641,1.089188,17,9,22,0.00736633333333333,1.4761763264539
"ACER1","Acer1",0.010316,0,0,1,0,0,0.00343866666666667,0,0,0,0,0,0,0,1.00343866666667
"ACER2","Acer2",1.42388,1.059207,1.465725,188,45,74,1.31627066666667,0.086941,0.071304,0.036141,5,4,2,18.880558,0.116509338755314
"ACER3","Acer3",11.530842,8.637076,12.811604,2090,500,908,10.993174,5.889447,3.785697,2.608854,373,369,276,0.568908666666667,7.64427799706208
"ACHE","Ache",38.543926,55.551307,51.784107,3098,717,1169,48.6264466666667,0.074404,0.220625,0.154447,5,9,7,25.9771216666667,1.83957529939103
"ACIN1","Acin1",47.715773,48.866846,39.717388,3077,703,1044,45.4333356666667,48.187336,30.018075,26.134553,1665,1167,1053,0,46.4333356666667
"ACKR1","Ackr1",401.909922,315.577281,419.361754,3251,659,1169,378.949652333333,0,0,0,0,0,0,34.58212,10.6781060918611
"ACKR2","Ackr2",0.230189,0,0.108776,12,0,5,0.112988333333333,2.083034,1.740608,0.931254,43,37,20,0.056822,1.05314644597987
"ACKR3","Ackr3",1.643219,1.944276,2.196828,207,60,91,1.92810766666667,4.479841,2.665596,2.943872,125,78,87,0.0230306666666667,2.86218953358192
"ACKR4","Ackr4",0.241529,0.299142,0.237301,17,5,6,0.259324,0,0,0,0,0,0,27.5920056666667,0.044044619138704
"ACLY","Acly",260.392702,266.512395,241.396209,29254,7300,11058,256.100435333333,20.336467,13.559479,13.590368,1109,844,693,0.014085,253.52947271021
"ACMSD","Acmsd",0.189202,0.252901,0.032532,16,5,1,0.158211666666667,0.044606,0.168465,0.027939,1,1,1,2.473935,0.333400500201261
"ACO1","Aco1",7.573506,6.423898,6.797077,1067,248,407,6.93149366666667,8.895559,7.661565,6.460032,708,594,504,23.015551,0.330264904880453
"ACO2","Aco2",152.882375,199.289559,138.928187,10153,2348,3906,163.700040333333,146.738618,107.939366,96.620982,7447,5908,4897,0.216119666666667,135.430784360859
"ACOD1","Acod1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACOT1","Acot3",0.045948,0,0.019346,4,0,1,0.0217646666666667,6.652744,7.561148,4.666439,192,191,127,0.0160763333333333,1.0055983326712
"ACOT11","Acot11",5.597158,7.963591,11.898845,600,147,282,8.48653133333333,20.174206,15.320592,11.474642,1325,899,708,0.0559843333333333,8.98359098130559
"ACOT12","Acot12",0.253707,0.347489,0.164709,20,3,8,0.255301666666667,0.102651,0,0,1,0,0,10.6504483333333,0.107747069533376
"ACOT13","Acot13",205.896612,167.600238,198.430747,1013,228,414,190.642532333333,28.624228,30.396445,27.420034,613,576,520,0.006508,190.403387090151
"ACOT2","Acot2",1.608437,2.231103,1.605401,127,42,54,1.81498033333333,88.207517,93.696934,77.668179,1144,999,964,0.306412,2.15474163842137
"ACOT4","Acot4",0.992779,0.335627,0.515927,108,21,53,0.614777666666667,0.124947,0.174781,0.261237,6,8,12,3.80938333333333,0.335755658209819
"ACOT6","Acot6",2.60611,2.315262,2.593869,342,74,141,2.50508033333333,0.188194,0,0.040322,5,0,1,12.6457773333333,0.256861902969153
"ACOT7","Acot7",344.989077,443.110743,384.06596,14119,3064,5131,390.721926666667,18.509861,18.078012,11.411107,521,479,300,33.1908626666667,11.4569184897626
"ACOT8","Acot8",5.935894,5.306174,7.500256,219,50,102,6.24744133333333,14.918157,12.104523,11.463739,289,242,204,1.29594133333333,3.15663176062571
"ACOT9","Acot9",26.639485,27.561747,26.413979,1699,442,663,26.871737,29.935853,23.797934,22.855973,918,759,709,2.03923233333333,9.17065032979271
"ACOX1","Acox1",47.232225,43.761836,45.586086,6737,1580,2594,45.5267156666667,26.743277,25.166,14.165662,569,533,438,18.3481623333333,2.40470980473994
"ACOX2","Acox2",0.274602,0.923317,0.505337,7,3,3,0.567752,17.904677,19.718667,13.035042,296,273,205,38.0836203333333,0.0401127630099023
"ACOX3","Acox3",31.629305,24.683028,32.841768,2119,531,940,29.7180336666667,11.241262,6.789727,5.371668,239,160,120,2.683347,8.33970670335069
"ACOXL","Acoxl",0.278136,0.365673,0.129186,7,1,3,0.257665,0.725081,0.07677,0.356086,14,3,7,17.4300403333333,0.0682399483263927
"ACP1","Acp1",69.524444,80.252228,59.21009,2779,715,1126,69.662254,30.223411,32.418039,30.824921,582,628,585,19.0402076666667,3.52602404003698
"ACP2","Acp2",20.104189,18.283754,25.826221,3506,850,1395,21.4047213333333,43.214406,45.839884,42.704658,569,466,395,0,22.4047213333333
"ACP4","Acp4",0.036404,0,0,2,0,0,0.0121346666666667,0,0.080253,0,0,2,0,3.587013,0.220652234180864
"ACP5","Acp5",0.179136,0.609455,0.256272,9,1,5,0.348287666666667,0.224677,1.062225,0,1,4,0,0.19397,1.12924752436549
"ACP6","Acp6",4.6856,4.305309,3.799063,212,42,65,4.263324,5.616296,6.558338,5.860511,182,148,113,0.334708,3.94342732642645
"ACP7","Acp7",1.156246,3.81974,1.76337,62,16,28,2.246452,0.015824,0.016768,0.030042,1,1,2,93.1555226666667,0.0344796769010908
"ACR","Acr",0.201876,0.564647,0.515537,11,7,9,0.427353333333333,0,0.037509,0.037908,0,1,1,2.11296733333333,0.458518571026872
"ACRBP","Acrbp",3.415024,1.196725,2.57384,77,13,19,2.39519633333333,0.3985,0.030659,0.225437,4,1,2,0.842184333333333,1.84302747119226
"ACRV1","Acrv1",0.114023,0.122849,0.250645,15,4,13,0.162505666666667,0.027065,0.168649,0.254211,1,3,3,0.138813666666667,1.02080410579313
"ACSBG1","Acsbg1",34.319032,30.107846,30.144743,2415,552,943,31.5238736666667,0.540764,0.319036,0.523883,30,21,25,19.5671083333333,1.581353739162
"ACSBG2","Acsbg2",0,0,0,0,0,0,0,0.522338,0.103219,0.103778,4,1,1,21.4794623333333,0.0444850497388083
"ACSF2","Acsf2",2.962773,6.226708,2.39288,242,54,70,3.860787,61.978687,54.648487,53.059789,577,446,412,0,4.860787
"ACSF3","Acsf3",7.079854,7.732363,7.600715,636,166,267,7.47097733333333,19.299129,13.763293,10.433563,273,225,190,0,8.47097733333333
"ACSL1","Acsl1",31.518812,33.060954,24.203139,2001,474,766,29.5943016666667,43.878419,27.152981,30.101182,716,624,486,0.0304663333333333,29.6897634372011
"ACSL3","Acsl3",45.969302,57.728258,62.958441,2506,745,1153,55.5520003333333,71.523045,48.918818,50.907122,1224,1079,919,3.02931966666667,14.0351237955059
"ACSL4","Acsl4",53.619701,41.553782,41.232363,4215,1119,1724,45.4686153333333,36.054531,15.661033,10.428141,1246,833,675,0.272184333333333,36.5266369941672
"ACSL5","Acsl5",90.390459,93.88375,81.628422,2955,774,1189,88.6342103333333,0.1358,0,0.182111,3,0,1,13.169485,6.32586225493258
"ACSL6","Acsl6",48.881353,50.106389,54.954088,5551,1364,2527,51.3139433333333,0.165731,0.038947,0.026724,5,3,2,1.68527833333333,19.4817582534895
"ACSM1","Acsm1",0,0,0,0,0,0,0,0,0.159858,0,0,2,0,20.803934,0.0458632832038475
"ACSM2B","Acsm2",0.043686,0.05714,0.026859,10,4,3,0.0425616666666667,0,0.111241,0,0,2,0,7.360807,0.124696296262629
"ACSM3","Acsm3",1.668536,0.086036,4.170879,7,1,6,1.97515033333333,1.027824,2.197071,1.355443,11,13,11,0.0667716666666667,2.78892890231118
"ACSM4","Acsm4",0.011681,0,0,1,0,0,0.00389366666666667,0,0,0,0,0,0,3.68238533333333,0.214397917984252
