"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg_TPM","FoldChange"
"ABI1","Abi1",73.499723,76.395454,73.837698,3519,880,1307,74.577625,15.274284,15.178726,16.016221,630,503,508,61.643825,1.20646568117448
"ABI2","Abi2",33.5103,22.271769,32.250394,3171,695,1283,29.3441543333333,55.693149,35.541915,32.008028,3195,2224,2142,23.091872,1.25951832773034
"ABI3","Abi3",0.648225,0.232863,1.080233,18,6,10,0.653773666666667,0.080843,0.106816,0.123214,1,1,1,67.2956426666667,0.0242149220959572
"ABITRAM","Abitram",3.739558,3.621243,4.375773,439,119,176,3.91219133333333,15.771021,15.579426,12.779188,218,171,188,17.302452,0.268389794620597
"ABL1","Abl1",8.536541,8.902709,11.083969,1262,319,543,9.50773966666667,25.90656,19.930765,26.375471,2130,1113,1157,1.902864,3.61978365733519
"ABL2","Abl2",5.264426,4.654585,6.798877,2047,472,841,5.57262933333333,6.897981,5.749299,4.319143,1188,807,647,0,6.57262933333333
"ABLIM1","Ablim1",44.867705,42.117908,43.063424,9236,2061,3536,43.349679,40.278722,80.432426,57.957359,4547,5302,4617,2.11902333333333,14.2190917669741
"ABLIM2","Ablim2",27.7936,29.426839,21.693994,1532,345,560,26.304811,8.029056,12.377298,11.75464,245,279,223,20.475542,1.27143757303075
"ABLIM3","Ablim3",13.169178,12.081958,12.860354,2375,528,912,12.70383,55.789335,56.612711,66.861423,2333,2247,2011,0.0896073333333333,12.5768518444871
"ABO","Abo",0.10168,0,0.037192,7,0,1,0.0462906666666667,0.183863,0.173732,0.075984,22,16,6,176.944523333333,0.0058798700126708
"ABR","Abr",59.447352,52.550682,58.358209,10128,2156,3916,56.7854143333333,197.043613,257.031715,274.908047,1875,1447,1461,967.458404,0.0596674199889883
"ABRA","Abra",0.017227,0,0.044071,2,0,2,0.0204326666666667,0.063103,0.063272,0,3,2,0,84.6679683333333,0.0119114843799747
"ABRACL","Abracl",37.088713,47.865666,52.35161,184,56,84,45.768663,11.912176,11.774747,14.945013,113,90,104,12.372652,3.49733642960274
"ABRAXAS1","Abraxas1",3.576158,3.463709,2.394861,158,35,60,3.14490933333333,7.491499,5.007126,3.562498,275,121,99,1.305515,1.79782362436737
"ABRAXAS2","Abraxas2",19.151046,15.849001,18.553229,1604,384,645,17.851092,7.8423,8.782454,8.707067,412,353,319,40.735399,0.451681125655466
"ABT1","Abt1",1.783222,1.437852,1.858162,334,66,136,1.69307866666667,4.02236,4.495368,5.868998,215,183,215,0.757992333333333,1.53190580846295
"ABTB1","Abtb1",46.710301,42.045226,46.427737,1463,361,559,45.061088,8.227788,5.243431,7.957303,219,121,132,16.019151,2.70642689520764
"ABTB2","Abtb2",16.08518,16.368571,14.737303,2968,692,1128,15.7303513333333,3.451672,3.840048,4.832426,318,267,292,0.286513666666667,13.0044101099069
"ACAA1","Acaa1b",0.255714,0.200968,0.42739,5,3,3,0.294690666666667,37.51069,45.687812,49.761725,672,620,569,5.97435133333333,0.185635997498262
"ACAA2","Acaa2",48.921519,40.774913,50.141634,1806,371,659,46.6126886666667,24.508458,12.44024,15.340642,617,249,284,58.23203,0.803833477709048
"ACACA","Acaca",28.483863,24.922881,36.571534,7673,1813,3098,29.9927593333333,52.07295,52.263549,60.592741,2805,2326,1935,5.477393,4.78475820956569
"ACACB","Acacb",2.097291,2.286744,2.776692,428,116,205,2.386909,5.82404,4.214339,4.586609,290,101,72,2.25061966666667,1.0419271853705
"ACAD10","Acad10",5.900381,5.058764,3.772682,398,85,139,4.910609,24.09517,13.699953,18.003391,465,241,262,17.560885,0.318444352195491
"ACAD11","Acad11",8.306437,8.234552,10.686786,908,217,371,9.075925,21.296656,12.759557,10.656436,568,268,245,21.7210943333333,0.443461254646435
"ACAD8","Acad8",19.029721,18.683449,17.581744,1000,249,370,18.431638,29.394922,40.292933,40.865493,722,686,705,0.689141333333333,11.5038556078986
"ACAD9","Acad9",35.76316,32.365758,33.771603,1593,407,659,33.9668403333333,20.618117,20.88167,21.133159,574,471,475,0.0975493333333333,31.8590146896966
"ACADL","Acadl",73.220247,63.531695,77.515492,4260,1046,1720,71.422478,0.63777,0.16945,0.095375,23,5,4,20.6669163333333,3.34253739137683
"ACADM","Acadm",104.286834,133.069582,89.941463,2042,555,727,109.099293,31.38729,31.831206,37.816546,662,516,582,0.0799946666666667,101.944293243423
"ACADS","Acads",9.784882,10.757871,9.318308,551,138,214,9.953687,3.919399,3.709052,4.464577,114,83,88,42.0700743333333,0.254322454036783
"ACADSB","Acadsb",96.232375,126.89331,108.03208,1698,455,653,110.385921666667,7.753468,4.374615,3.829584,527,304,282,0,111.385921666667
"ACADVL","Acadvl",42.023617,41.941155,42.073591,3114,819,1237,42.0127876666667,417.243124,362.292121,441.590667,2854,1977,2042,21.3632396666667,1.92337015154289
"ACAN","Acan",0.130892,0.191164,0.119876,36,15,14,0.147310666666667,0.61022,0.60714,1.230414,58,65,66,6.38825666666667,0.155288414903471
"ACAP1","Acap1",0.091783,0.232758,0.226778,10,6,5,0.183773,11.702953,8.178989,5.156753,76,54,37,0.286290333333333,0.920300004845977
"ACAP2","Acap2",20.793923,20.213468,20.579347,2488,592,1000,20.5289126666667,18.902318,8.651381,7.061189,805,452,432,43.3981663333333,0.484905446432889
"ACAT1","Acat1",45.268253,39.492711,43.532401,3117,754,1257,42.764455,113.018886,107.505607,145.26679,828,668,739,5.72257333333333,6.51007476303717
"ACAT2","Acat2",118.574216,110.048324,111.242826,6929,1639,2550,113.288455333333,94.414141,82.903806,86.300184,2278,1511,1430,29.2640943333333,3.77637123630871
"ACBD3","Acbd3",19.496714,17.2792,18.511416,2687,586,1015,18.42911,43.967242,69.083492,58.658097,939,748,717,110.271016333333,0.174610699535595
"ACBD5","Acbd5",54.568877,48.479724,53.439881,5713,1396,2284,52.1628273333333,15.374346,21.627524,21.759596,885,847,801,69.6416526666667,0.752570549052557
