"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"ABHD11",8.315591,5.793527,10.881287,8.330135,88,44,86,"Abhd11",8.843995,9.876887,10.511257,261,260,220,9.74404633333333,0.868400480650695
"ABHD12",34.456652,32.027544,41.779576,36.087924,424,313,435,"Abhd12",14.072634,12.994731,16.910777,328,371,288,14.6593806666667,2.36841576237732
"ABHD12B",3.893477,1.544872,5.021108,3.48648566666667,34,27,39,"Abhd12b",0,0,0,0,0,0,0,4.48648566666667
"ABHD13",3.072772,3.602061,3.056116,3.24364966666667,238,226,207,"Abhd13",1.612849,1.579601,1.789031,270,250,213,1.66049366666667,1.59506099181342
"ABHD14A",19.98651,11.809536,18.625674,16.80724,220,94,202,"Abhd14a",2.996884,2.658814,3.062354,93,81,73,2.90601733333333,4.55892498172904
"ABHD14B",6.270991,5.484107,6.977415,6.244171,142,105,131,"Abhd14b",2.264105,1.928432,2.675018,78,66,63,2.289185,2.20242126849052
"ABHD15",2.267084,2.653537,2.449372,2.45666433333333,118,109,110,"Abhd15",0.151803,0.17299,0.243191,13,15,13,0.189328,2.906401205835
"ABHD16A",43.283793,44.460669,44.105033,43.9498316666667,632,478,592,"Abhd16a",14.283377,10.868275,15.117416,382,329,324,13.4230226666667,3.11653338592826
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0.017708,0,0.024841,1,0,1,0.014183,0.986015344370789
"ABHD17A",22.251861,16.580488,18.393927,19.0754253333333,855,595,608,"Abhd17a",5.672737,6.770556,6.724789,179,222,144,6.38936066666667,2.71680139039543
"ABHD17B",6.982168,5.876005,6.383279,6.41381733333333,292,190,217,"Abhd17b",1.521296,1.357875,1.700168,97,77,81,1.52644633333333,2.93448439237247
"ABHD17C",5.189827,4.249834,4.998582,4.81274766666667,101,79,94,"Abhd17c",4.881013,3.750363,3.185882,225,242,149,3.939086,1.17688731612826
"ABHD18",3.285167,2.22549,2.818459,2.776372,157,105,137,"Abhd18",9.310011,9.508344,9.476552,916,811,624,9.43163566666667,0.362011492796576
"ABHD2",43.040132,37.278752,34.676228,38.331704,4800,3122,3837,"Abhd2",1.304402,1.438202,1.694681,300,309,284,1.479095,15.8653476369401
