"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"ABCC1",8.866004,11.470193,9.218329,9.85150866666667,759,724,593,"Abcc1",13.812049,12.232982,11.724043,122,577,317,12.5896913333333,0.798510312007577
"ABCC10",67.229562,58.653056,74.269479,66.7173656666667,908,586,738,"Abcc10",1.510449,2.511756,2.606775,37,240,138,2.20966,21.0979872219072
"ABCC12",0,0,0,0,0,0,0,"Abcc12",1.138639,1.50393,1.752502,20,105,71,1.46502366666667,0.405675618259784
"ABCC2",1.027977,1.07924,0.751123,0.95278,20,15,18,"Abcc2",0.035961,0.118254,0.016838,2,5,2,0.0570176666666667,1.84744310486138
"ABCC3",0.387771,0.982346,0.063447,0.477854666666667,3,5,1,"Abcc3",0.723344,0.342288,0.608015,4,17,10,0.557882333333333,0.948630480650336
"ABCC4",3.039078,1.546278,3.664319,2.74989166666667,130,109,125,"Abcc4",2.205931,3.204272,3.149303,78,354,213,2.85316866666667,0.973196864987137
"ABCC5",47.052923,36.864191,46.334162,43.417092,2382,1605,1925,"Abcc5",84.855585,97.027185,94.560298,703,3269,1802,92.1476893333333,0.476845881179633
"ABCC6",0.700877,0.769524,0.372597,0.614332666666667,31,27,18,"Abcc6",4.55294,0.592951,0.217231,22,47,16,1.78770733333333,0.579089722713599
"ABCC8",29.752164,6.667184,22.439929,19.619759,265,116,210,"Abcc8",12.776234,17.791428,14.067764,207,980,564,14.8784753333333,1.29859816935404
"ABCC9",0.152849,0.551804,0.203548,0.302733666666667,19,57,23,"Abcc9",2.793501,2.280107,2.219166,120,438,241,2.43092466666667,0.379703372482481
"ABCD1",7.294446,8.044954,7.763412,7.70093733333333,256,196,196,"Abcd1",2.605473,3.036115,3.167152,60,263,160,2.93624666666667,2.21046546879684
"ABCD2",0.010725,0,0.024448,0.0117243333333333,1,0,2,"Abcd2",23.27771,33.025179,31.912742,417,1487,943,29.4052103333333,0.0332747026658183
"ABCD3",11.69952,13.13055,9.707609,11.5125596666667,544,496,467,"Abcd3",25.762613,25.372644,25.767711,537,2125,1219,25.6343226666667,0.469790796757387
"ABCD4",70.916088,64.134004,67.343217,67.4644363333333,895,680,780,"Abcd4",4.797787,5.916789,4.686713,66,317,152,5.133763,11.1618978974788
"ABCE1",31.583438,49.79339,37.572001,39.6496096666667,980,1003,995,"Abce1",21.471621,21.878849,23.233798,536,2036,1236,22.194756,1.75253448092606
"ABCF1",79.412855,49.138765,60.340286,62.9639686666667,982,733,819,"Abcf1",62.771934,40.780579,54.400409,408,1580,966,52.650974,1.192223810637
"ABCF2",41.126604,23.175533,34.428163,32.9101,544,392,458,"Abcf2",35.004874,31.624163,32.51526,585,2023,1175,33.048099,0.995946939651462
"ABCF3",48.291703,49.874702,42.97229,47.0462316666667,634,530,501,"Abcf3",165.753745,270.992357,262.995844,349,1659,960,233.247315333333,0.205108996012599
"ABCG1",4.150456,4.415328,3.848561,4.138115,183,146,140,"Abcg1",29.852875,28.362905,37.823919,513,2100,1285,32.013233,0.155638043689935
"ABCG2",2.961168,3.343736,4.879457,3.72812033333333,130,124,137,"Abcg3",0,0.134471,0.142193,0,10,6,0.0922213333333333,4.32890311609613
"ABCG4",3.253555,1.724564,3.36298,2.78036633333333,122,50,91,"Abcg4",20.105773,22.160102,21.120955,279,1363,786,21.1289433333333,0.170833567441012
"ABCG5",0,0.053623,0,0.0178743333333333,0,2,0,"Abcg5",0,0.0174,0.094988,0,1,2,0.0374626666666667,0.981118999302144
"ABCG8",0.166037,0.120609,0.140823,0.142489666666667,13,5,8,"Abcg8",0,0.017747,0,0,1,0,0.00591566666666667,1.13577082505591
"ABHD1",0.539133,1.449996,2.556852,1.515327,16,11,17,"Abhd1",0.959765,1.019278,1.583523,7,31,26,1.187522,1.14985220720066
"ABHD10",17.896254,16.509149,18.709231,17.704878,474,316,439,"Abhd10",15.744209,13.053989,13.082247,155,575,337,13.9601483333333,1.25031367224634
"ABHD11",8.315591,5.793527,10.881287,8.330135,88,44,86,"Abhd11",10.616167,13.349118,17.343117,58,295,193,13.7694673333333,0.631717772173323
"ABHD12",34.456652,32.027544,41.779576,36.087924,424,313,435,"Abhd12",194.435324,224.464164,226.37899,1076,4396,2480,215.092826,0.171629594033816
"ABHD12B",3.893477,1.544872,5.021108,3.48648566666667,34,27,39,"Abhd12b",0.508261,0.346372,0.237091,5,12,5,0.363908,3.28943423358956
