"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"ABCD3",11.69952,13.13055,9.707609,11.5125596666667,544,496,467,"Abcd3",19.626549,21.477619,17.245859,868,925,1507,19.450009,0.611860839115849
"ABCD4",70.916088,64.134004,67.343217,67.4644363333333,895,680,780,"Abcd4",4.217752,3.505705,4.803078,126,112,295,4.17551166666667,13.2285348276354
"ABCE1",31.583438,49.79339,37.572001,39.6496096666667,980,1003,995,"Abce1",21.503427,20.802145,20.297685,1111,1057,1987,20.8677523333333,1.85888375938408
"ABCF1",79.412855,49.138765,60.340286,62.9639686666667,982,733,819,"Abcf1",40.428047,39.029551,41.36944,829,790,1519,40.2756793333333,1.5496769453534
"ABCF2",41.126604,23.175533,34.428163,32.9101,544,392,458,"Abcf2",27.333851,29.129407,25.695858,950,991,1703,27.386372,1.19459084098524
"ABCF3",48.291703,49.874702,42.97229,47.0462316666667,634,530,501,"Abcf3",159.209364,199.439207,142.427393,559,611,1090,167.025321333333,0.285946375733162
"ABCG1",4.150456,4.415328,3.848561,4.138115,183,146,140,"Abcg1",17.234133,21.900282,17.293856,760,872,1413,18.8094236666667,0.25937730882327
"ABCG2",2.961168,3.343736,4.879457,3.72812033333333,130,124,137,"Abcg3",0.122027,0.099732,0.177677,5,4,13,0.133145333333333,4.1725630369273
"ABCG4",3.253555,1.724564,3.36298,2.78036633333333,122,50,91,"Abcg4",18.175001,19.529967,18.642398,523,573,967,18.7824553333333,0.191096922481783
"ABCG5",0,0.053623,0,0.0178743333333333,0,2,0,"Abcg5",0,0.05032,0,0,1,0,0.0167733333333333,1.00108283721052
"ABCG8",0.166037,0.120609,0.140823,0.142489666666667,13,5,8,"Abcg8",0,0.033475,0.016197,0,1,1,0.0165573333333333,1.12388119115761
"ABHD1",0.539133,1.449996,2.556852,1.515327,16,11,17,"Abhd1",0.649996,1.096359,0.605726,11,18,18,0.784027,1.40991532078831
"ABHD10",17.896254,16.509149,18.709231,17.704878,474,316,439,"Abhd10",5.481654,8.077647,7.063356,175,170,331,6.874219,2.37545818829779
"ABHD11",8.315591,5.793527,10.881287,8.330135,88,44,86,"Abhd11",12.200609,15.392922,14.376886,125,184,313,13.990139,0.622418177710026
"ABHD12",34.456652,32.027544,41.779576,36.087924,424,313,435,"Abhd12",214.078965,269.055709,213.160251,2243,2720,4516,232.098308333333,0.159108507758726
"ABHD12B",3.893477,1.544872,5.021108,3.48648566666667,34,27,39,"Abhd12b",0.300642,0.156484,0.280401,3,4,14,0.245842333333333,3.6011664932454
"ABHD13",3.072772,3.602061,3.056116,3.24364966666667,238,226,207,"Abhd13",7.469602,7.002554,6.878687,529,486,936,7.11694766666667,0.522813481241697
"ABHD14A",19.98651,11.809536,18.625674,16.80724,220,94,202,"Abhd14a",16.426992,14.990829,17.540366,191,184,392,16.3193956666667,1.02816751477491
"ABHD14B",6.270991,5.484107,6.977415,6.244171,142,105,131,"Abhd14b",6.531111,6.481165,6.057604,96,91,201,6.35662666666667,0.984713691238919
"ABHD15",2.267084,2.653537,2.449372,2.45666433333333,118,109,110,"Abhd15",0.408193,0.235118,0.41716,13,8,24,0.353490333333333,2.55388919167259
"ABHD16A",43.283793,44.460669,44.105033,43.9498316666667,632,478,592,"Abhd16a",33.736441,46.633195,43.466626,458,581,1041,41.278754,1.06317777639962
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0,0,0,0,0,0,0,1
"ABHD17A",22.251861,16.580488,18.393927,19.0754253333333,855,595,608,"Abhd17a",48.969577,55.61253,52.87584,576,687,1464,52.4859823333333,0.375339938756664
"ABHD17B",6.982168,5.876005,6.383279,6.41381733333333,292,190,217,"Abhd17b",12.382332,13.22256,11.078788,355,356,570,12.2278933333333,0.560468484777621
"ABHD17C",5.189827,4.249834,4.998582,4.81274766666667,101,79,94,"Abhd17c",11.241835,11.476737,10.167859,301,306,539,10.9621436666667,0.485928595128337
"ABHD18",3.285167,2.22549,2.818459,2.776372,157,105,137,"Abhd18",6.383002,4.183919,5.919171,205,165,458,5.495364,0.581394976478608
"ABHD2",43.040132,37.278752,34.676228,38.331704,4800,3122,3837,"Abhd2",20.235638,20.449381,19.240001,1984,1970,3592,19.9750066666667,1.87517003570281
"ABHD3",3.984849,5.25904,2.915345,4.053078,43,53,50,"Abhd3",28.798305,30.230459,28.405586,531,495,845,29.1447833333333,0.167626947061598
"ABHD4",36.086594,26.455903,21.679738,28.0740783333333,296,237,316,"Abhd4",21.836205,28.873125,24.957358,613,589,1078,25.2222293333333,1.10875692389643
"ABHD5",2.814933,3.503613,4.082079,3.466875,117,93,117,"Abhd5",13.155176,16.798542,15.037815,217,236,397,14.9971776666667,0.279228942321972
"ABHD6",11.831495,8.409419,12.306665,10.849193,138,99,156,"Abhd6",16.282993,17.496713,15.971516,434,469,835,16.5837406666667,0.673872142715481
"ABHD8",3.366122,1.881682,2.264601,2.504135,60,36,33,"Abhd8",58.365576,67.703025,68.150222,1280,1640,3330,64.7396076666667,0.0533032539191251
"ABI1",12.69711,14.372399,14.823763,13.964424,447,426,457,"Abi1",76.496327,89.115229,77.664616,1275,1244,2260,81.0920573333333,0.182288329542494
"ABI2",23.445738,22.714472,18.676018,21.612076,1466,1126,1250,"Abi2",68.821904,71.851773,63.329113,2703,2838,4925,68.00093,0.327706829458675
"ABI3",0,0.122185,0,0.0407283333333333,0,1,0,"Abi3",4.448462,2.988214,2.315282,32,27,58,3.25065266666667,0.244839655212164
"ABI3BP",2.697237,9.393819,2.628398,4.90648466666667,50,93,34,"Abi3bp",3.447802,4.118467,6.149729,217,253,738,4.57199933333333,1.06002967935268
"ABITRAM",13.474933,12.693075,15.766697,13.978235,185,143,177,"Abitram",4.436395,6.445182,6.370124,259,305,540,5.750567,2.21881139762038
"ABL1",20.002516,27.75208,18.375548,22.0433813333333,1348,1318,1125,"Abl1",15.867305,14.205666,13.831194,620,593,1131,14.6347216666667,1.47385938967254
"ABL2",7.647104,11.288064,8.405532,9.11356666666667,1295,1485,1218,"Abl2",9.492708,8.919461,10.486961,1187,1052,2148,9.63304333333333,0.951145062576942
"ABLIM1",13.234586,13.893529,13.950169,13.6927613333333,1252,905,1223,"Ablim1",18.968634,18.284863,19.809479,1355,1418,2732,19.020992,0.73386779902481
"ABLIM2",2.618199,1.169305,2.227903,2.00513566666667,73,27,55,"Ablim2",109.201573,115.610371,124.014649,1362,1436,2893,116.275531,0.0256245752293091
"ABLIM3",39.693627,31.45544,35.010631,35.386566,1694,1071,1302,"Ablim3",4.605573,5.509846,4.850015,275,323,550,4.988478,6.07609579596018
"ABO",0.081458,0.061784,0.056364,0.0665353333333333,8,5,5,"Abo",0,0,0.022897,0,0,1,0.00763233333333333,1.05845683792733
"ABR",198.031654,211.438013,200.361185,203.276950666667,1298,1199,1252,"Abr",96.445357,104.64287,101.505422,5290,5229,9515,100.864549666667,2.00537823349856
"ABRA",0,0,0,0,0,0,0,"Abra",0.100114,0.078888,0.108371,4,3,8,0.095791,0.912582782665673
"ABRACL",16.160065,20.958007,19.636272,18.9181146666667,132,135,145,"Abracl",42.881988,44.811658,33.402148,62,65,139,40.3652646666667,0.48151788287039
"ABRAXAS1",3.82892,6.035163,5.406464,5.09018233333333,107,132,131,"Abraxas1",2.345558,2.82686,3.406936,32,54,91,2.85978466666667,1.57785546585759
"ABRAXAS2",5.545332,5.945653,7.320012,6.27033233333333,243,210,286,"Abraxas2",10.187231,12.253166,12.786353,307,322,580,11.74225,0.570568960217649
"ABT1",4.559478,4.690372,4.720066,4.65663866666667,202,168,186,"Abt1",1.892098,1.920518,1.687743,119,118,202,1.833453,1.99637638833842
"ABTB1",6.145615,3.499741,5.352266,4.99920733333333,109,78,105,"Abtb1",24.692361,19.56887,20.702411,227,242,499,21.6545473333333,0.264812500777989
"ABTB2",1.812701,1.607969,1.602889,1.67451966666667,139,98,106,"Abtb2",2.212097,2.390987,1.905456,108,133,227,2.16951333333333,0.843826602191293
"ACAA1",38.003127,38.829187,39.570663,38.8009923333333,550,465,521,"Acaa1a",33.047095,25.191209,29.881533,519,407,971,29.373279,1.31039498018417
"ACAA1",38.003127,38.829187,39.570663,38.8009923333333,550,465,521,"Acaa1b",0.234331,0.74511,0.407108,5,7,11,0.462183,27.2202537803636
"ACAA2",13.362606,16.013843,12.490575,13.9556746666667,285,274,234,"Acaa2",13.854658,15.004313,13.890623,169,170,337,14.2498646666667,0.98070868126174
"ACACA",42.363631,48.905645,32.241697,41.1703243333333,1667,1457,1400,"Acaca",11.431742,15.537958,14.799623,1122,1249,2211,13.9231076666667,2.82584065432484
"ACACB",3.811888,6.196471,2.56891,4.192423,69,75,51,"Acacb",0.795556,0.745748,1.683203,62,49,116,1.07483566666667,2.50257072568157
"ACAD10",21.73928,19.257871,23.277153,21.424768,392,285,343,"Acad12",2.971927,1.955368,1.43504,47,42,86,2.12077833333333,7.18563307123704
"ACAD10",21.73928,19.257871,23.277153,21.424768,392,285,343,"Acad10",0.694572,0.890984,2.146887,24,33,75,1.24414766666667,9.99255456006089
"ACAD11",13.192374,11.007639,9.386726,11.1955796666667,340,270,275,"Acad11",7.734487,8.54042,7.545363,260,304,488,7.94009,1.36414506639941
"ACAD8",26.483493,20.192299,24.101738,23.59251,534,375,468,"Acad8",11.891332,9.201428,11.699023,187,185,352,10.9305943333333,2.06129798004196
"ACAD9",19.252462,17.316786,16.985834,17.851694,406,304,324,"Acad9",23.593852,25.33424,24.45329,422,420,775,24.4604606666667,0.740430200647587
"ACADL",0.207989,0.400506,0.246715,0.28507,5,7,5,"Acadl",15.043563,14.532741,17.541756,319,331,586,15.70602,0.0769225704267084
"ACADM",27.650351,25.508799,28.982212,27.380454,462,377,403,"Acadm",37.483174,40.525589,45.059684,337,313,591,41.0228156666667,0.67535822028489
"ACADS",4.599063,3.579749,4.281652,4.153488,112,71,98,"Acads",3.093127,3.878782,3.943631,55,47,120,3.63851333333333,1.11102149108119
"ACADSB",2.345294,3.480124,2.567987,2.79780166666667,193,175,184,"Acadsb",104.177341,128.461972,119.388577,629,684,1245,117.34263,0.0320915773687526
"ACADVL",487.069067,525.545782,529.790065,514.134971333333,2890,2306,2580,"Acadvl",18.306587,19.747246,15.996872,385,370,673,18.0169016666667,27.088270232594
"ACAN",13.521626,21.358045,13.180758,16.020143,1180,1435,924,"Acan",0.614366,0.464376,0.611317,65,34,81,0.563353,10.8869481172838
"ACAP1",8.203837,7.799579,5.089685,7.03103366666667,31,27,34,"Acap1",0,0.108492,0.177938,0,2,7,0.0954766666666667,7.3310860112645
"ACAP2",4.317336,5.926497,4.813944,5.019259,442,447,434,"Acap2",40.253599,39.743015,50.029419,1571,1340,3149,43.342011,0.135746188868159
"ACAP3",268.243739,185.674788,241.306196,231.741574333333,3432,1616,2456,"Acap3",35.732662,34.21104,38.286445,1186,1304,2426,36.0767156666667,6.27729749381703
"ACAT1",56.259875,44.471839,63.751794,54.827836,369,255,375,"Acat1",36.845443,39.308077,35.252442,744,836,1402,37.1353206666667,1.46394038450549
"ACAT2",25.297509,32.783013,27.509826,28.530116,501,530,488,"Acat2",17.578099,21.025242,19.912122,358,390,757,19.5051543333333,1.44013136989638
"ACAT2",25.297509,32.783013,27.509826,28.530116,501,530,488,"Acat3",1.550678,3.144767,2.78883,43,56,68,2.49475833333333,8.44983062729659
"ACBD3",54.125804,44.820301,37.958539,45.6348813333333,793,793,708,"Acbd3",8.711635,8.351731,8.308599,404,380,741,8.45732166666667,4.93108757183367
"ACBD4",3.937219,4.63266,2.073499,3.54779266666667,64,68,45,"Acbd4",41.732106,45.944524,42.770953,202,247,451,43.4825276666667,0.102237730300443
"ACBD5",7.912379,6.095147,7.392269,7.133265,308,226,288,"Acbd5",26.608624,30.755417,29.504275,1046,980,1737,28.9561053333333,0.271506088975785
"ACBD6",24.856558,25.060157,20.197148,23.3712876666667,434,305,343,"Acbd6",32.968509,32.791544,33.694855,319,349,678,33.151636,0.713619917554365
"ACBD7",0.811197,0.918754,0.914356,0.881435666666667,39,38,35,"Acbd7",0.4743,0.485264,0.373866,2,2,3,0.444476666666667,1.3025033287719
"ACCS",23.189882,13.116107,20.465664,18.9238843333333,320,206,258,"Accs",1.881498,1.749502,1.683049,33,31,62,1.77134966666667,7.18923511275914
"ACCSL",0,0,0,0,0,0,0,"Accsl",0,0.034594,0.15719,0,1,5,0.063928,0.939913227210864
"ACD",8.520872,12.288536,11.733328,10.8475786666667,141,109,166,"Acd",14.365661,13.762332,12.201474,225,224,391,13.4431556666667,0.820290173428628
"ACE",1.303784,1.277742,1.252099,1.277875,41,16,21,"Ace",5.506368,4.122808,3.689021,187,217,398,4.439399,0.418773287269421
"ACE2",0,0.275135,0.093605,0.122913333333333,0,1,2,"Ace2",0.371849,0.51982,0.412893,16,22,36,0.434854,0.782597625495927
"ACER1",0.050862,0,0,0.016954,1,0,0,"Acer1",0,0.031591,0.01834,0,1,1,0.0166436666666667,1.00030525280736
"ACER2",0.79589,1.105758,0.950331,0.950659666666667,33,37,35,"Acer2",3.947421,3.484479,3.815831,144,102,257,3.74924366666667,0.410730592822113
"ACER3",2.862275,3.818158,3.438456,3.372963,324,261,332,"Acer3",3.787413,5.229111,4.580194,317,278,569,4.53223933333333,0.790450798766359
"ACHE",23.639298,15.646921,24.253111,21.1797766666667,666,324,578,"Ache",40.975505,39.58567,41.793823,506,581,1009,40.7849993333333,0.530807156169393
"ACIN1",177.532807,182.921232,142.933279,167.795772666667,3282,2682,2593,"Acin1",60.779462,47.530941,71.424221,1076,979,2196,59.9115413333333,2.77116239339514
"ACKR1",7.550579,5.560224,10.119254,7.74335233333333,197,125,214,"Ackr1",166.944778,148.487797,91.03635,319,329,576,135.489641666667,0.0640587243586311
"ACKR2",0.359601,0.085355,0.268785,0.237913666666667,6,3,9,"Ackr2",1.395192,2.140758,1.461059,26,41,69,1.66566966666667,0.464391249278324
"ACKR3",0.58853,1.270426,0.550161,0.803039,17,15,14,"Ackr3",3.050158,2.948158,3.280716,129,121,228,3.09301066666667,0.440516565149435
"ACKR4",0,0,0,0,0,0,0,"Ackr4",0.123105,0.075444,0.028662,3,2,2,0.075737,0.929595244934403
"ACLY",146.457605,153.677986,123.036365,141.057318666667,4402,3834,3894,"Acly",39.881861,39.46645,46.557589,2100,2194,3861,41.9686333333333,3.30607021090579
"ACMSD",0,0.090128,0.068505,0.0528776666666667,0,2,1,"Acmsd",0.212751,0.114118,0.264859,6,3,14,0.197242666666667,0.879418764449869
"ACO1",7.828545,10.438737,8.19943,8.82223733333333,589,574,554,"Aco1",7.809544,8.457873,6.727965,302,342,592,7.66512733333333,1.13353641042859
"ACO2",44.21915,38.397711,34.421423,39.0127613333333,1102,814,929,"Aco2",234.286973,235.586682,209.599046,4458,4846,8362,226.490900333333,0.175887304831552
"ACOD1",0,0,0,0,0,0,0,"Acod1",0,0,0,0,0,0,0,1
"ACOT1",3.574162,4.075885,3.688916,3.77965433333333,68,59,57,"Acot3",0.609176,0.678222,0.564258,19,18,32,0.617218666666667,2.95547808830634
"ACOT1",3.574162,4.075885,3.688916,3.77965433333333,68,59,57,"Acot2",1.708497,1.578769,1.360424,43,41,72,1.54923,1.8749404068418
"ACOT1",3.574162,4.075885,3.688916,3.77965433333333,68,59,57,"Acot1",8.491199,8.990661,7.005025,68,71,122,8.162295,0.521665623441871
"ACOT1",3.574162,4.075885,3.688916,3.77965433333333,68,59,57,"Acot5",1.231387,1.047701,0.685341,19,18,23,0.988143,2.4040797534852
"ACOT11",0.37798,0.458171,0.465699,0.43395,35,34,33,"Acot11",16.39184,11.025737,12.582761,571,446,944,13.333446,0.100042236877301
"ACOT12",0.838379,0.711122,0.64397,0.731157,19,13,12,"Acot12",0.095005,0.210018,0.265278,4,5,8,0.190100333333333,1.4546311361423
"ACOT13",12.191412,9.46509,13.396844,11.6844486666667,229,175,231,"Acot13",123.393218,148.425882,153.998995,274,274,555,141.939365,0.0887400658780502
"ACOT2",21.539035,15.077116,15.11408,17.2434103333333,178,108,135,"Acot1",8.491199,8.990661,7.005025,68,71,122,8.162295,1.99113981085889
"ACOT2",21.539035,15.077116,15.11408,17.2434103333333,178,108,135,"Acot5",1.231387,1.047701,0.685341,19,18,23,0.988143,9.17610570936463
"ACOT2",21.539035,15.077116,15.11408,17.2434103333333,178,108,135,"Acot3",0.609176,0.678222,0.564258,19,18,32,0.617218666666667,11.2807319809978
"ACOT2",21.539035,15.077116,15.11408,17.2434103333333,178,108,135,"Acot2",1.708497,1.578769,1.360424,43,41,72,1.54923,7.15643952618372
"ACOT4",0.146906,0.447474,0.101508,0.231962666666667,5,12,3,"Acot4",1.124605,1.253735,2.055501,47,57,95,1.477947,0.497170708924229
"ACOT6",0,0.122286,0,0.040762,0,1,0,"Acot6",1.865273,2.034413,1.302298,80,89,113,1.73399466666667,0.380674480711008
"ACOT7",38.203304,38.030315,39.780133,38.6712506666667,695,547,661,"Acot7",111.188515,131.036078,129.630967,1570,1672,2878,123.951853333333,0.317492294898867
