"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"ABCD3",11.69952,13.13055,9.707609,11.5125596666667,544,496,467,"Abcd3",22.337243,19.371378,19.426874,1135,1664,1589,20.3784983333333,0.585287117531407
"ABCD4",70.916088,64.134004,67.343217,67.4644363333333,895,680,780,"Abcd4",4.359746,3.381328,3.474536,149,205,205,3.73853666666667,14.4484344322896
"ABCE1",31.583438,49.79339,37.572001,39.6496096666667,980,1003,995,"Abce1",23.623258,18.664945,16.190277,1327,1826,1551,19.4928266666667,1.98360188801024
"ABCF1",79.412855,49.138765,60.340286,62.9639686666667,982,733,819,"Abcf1",42.586641,27.88631,16.795441,940,1220,942,29.089464,2.12579289104873
"ABCF2",41.126604,23.175533,34.428163,32.9101,544,392,458,"Abcf2",31.257595,33.14353,31.918211,1170,2228,2179,32.1064453333333,1.0242748703032
"ABCF3",48.291703,49.874702,42.97229,47.0462316666667,634,530,501,"Abcf3",187.359797,215.552443,216.367976,715,1524,1442,206.426738666667,0.231629885209142
"ABCG1",4.150456,4.415328,3.848561,4.138115,183,146,140,"Abcg1",17.44561,15.173097,13.007637,975,1194,1038,15.2087813333333,0.316995762626119
"ABCG2",2.961168,3.343736,4.879457,3.72812033333333,130,124,137,"Abcg3",0,0.136891,0.059757,0,10,4,0.0655493333333333,4.43726084323329
"ABCG4",3.253555,1.724564,3.36298,2.78036633333333,122,50,91,"Abcg4",18.541567,8.825353,11.627465,718,762,801,12.9981283333333,0.270062271420334
"ABCG5",0,0.053623,0,0.0178743333333333,0,2,0,"Abcg5",0,0.081567,0.025253,0,3,1,0.0356066666666667,0.982877347255393
"ABCG8",0.166037,0.120609,0.140823,0.142489666666667,13,5,8,"Abcg8",0,0,0.031248,0,0,2,0.010416,1.13071216871731
"ABHD1",0.539133,1.449996,2.556852,1.515327,16,11,17,"Abhd1",0.646129,1.838952,1.144674,11,59,36,1.20991833333333,1.13819907372143
"ABHD10",17.896254,16.509149,18.709231,17.704878,474,316,439,"Abhd10",7.407598,8.355175,8.138571,216,388,372,7.96711466666667,2.08594165406754
"ABHD11",8.315591,5.793527,10.881287,8.330135,88,44,86,"Abhd11",14.510702,19.169353,18.676671,173,436,448,17.452242,0.505636930189838
"ABHD12",34.456652,32.027544,41.779576,36.087924,424,313,435,"Abhd12",251.752332,303.428597,281.089441,2928,6286,6265,278.75679,0.13257202443594
"ABHD12B",3.893477,1.544872,5.021108,3.48648566666667,34,27,39,"Abhd12b",1.853474,0.478275,0.82166,43,30,41,1.05113633333333,2.18731714404162
"ABHD13",3.072772,3.602061,3.056116,3.24364966666667,238,226,207,"Abhd13",8.435331,5.711411,5.393523,646,763,711,6.51342166666667,0.564809198117236
"ABHD14A",19.98651,11.809536,18.625674,16.80724,220,94,202,"Abhd14a",12.401468,16.017875,14.871911,157,419,397,14.430418,1.15403484208918
"ABHD14B",6.270991,5.484107,6.977415,6.244171,142,105,131,"Abhd14b",9.543977,7.060984,8.598408,140,239,266,8.401123,0.770564431504619
"ABHD15",2.267084,2.653537,2.449372,2.45666433333333,118,109,110,"Abhd15",0.356555,0.447731,0.224641,13,31,16,0.342975666666667,2.57388456033083
"ABHD16A",43.283793,44.460669,44.105033,43.9498316666667,632,478,592,"Abhd16a",41.183855,61.475216,60.134246,564,1496,1639,54.264439,0.813359051137146
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0.040812,0,0,1,0,0,0.013604,0.986578584930604
"ABHD17A",22.251861,16.580488,18.393927,19.0754253333333,855,595,608,"Abhd17a",58.483824,79.896002,84.757266,762,2077,2222,74.3790306666667,0.266326392841383
"ABHD17B",6.982168,5.876005,6.383279,6.41381733333333,292,190,217,"Abhd17b",13.462328,12.425725,11.081772,411,633,517,12.323275,0.55645607655275
"ABHD17C",5.189827,4.249834,4.998582,4.81274766666667,101,79,94,"Abhd17c",13.103004,9.007656,13.856976,380,472,433,11.989212,0.447505796861785
"ABHD18",3.285167,2.22549,2.818459,2.776372,157,105,137,"Abhd18",3.492566,4.65432,2.618732,161,244,203,3.58853933333333,0.823000899777983
"ABHD2",43.040132,37.278752,34.676228,38.331704,4800,3122,3837,"Abhd2",19.626201,7.092046,7.529354,2086,1334,1439,11.415867,3.1678580319844
"ABHD3",3.984849,5.25904,2.915345,4.053078,43,53,50,"Abhd3",38.388158,39.33974,44.624386,668,1261,1382,40.7840946666667,0.120933049771953
"ABHD4",36.086594,26.455903,21.679738,28.0740783333333,296,237,316,"Abhd4",30.102026,40.118908,40.409999,828,1966,2027,36.8769776666667,0.767592350931414
"ABHD5",2.814933,3.503613,4.082079,3.466875,117,93,117,"Abhd5",15.396005,16.375689,21.571022,243,450,555,17.7809053333333,0.237841303213001
"ABHD6",11.831495,8.409419,12.306665,10.849193,138,99,156,"Abhd6",20.131196,19.454461,16.882188,613,1035,897,18.822615,0.597761344807433
"ABHD8",3.366122,1.881682,2.264601,2.504135,60,36,33,"Abhd8",73.165664,99.876587,96.017002,1879,5091,5065,89.6864176666667,0.0386401303542504
"ABI1",12.69711,14.372399,14.823763,13.964424,447,426,457,"Abi1",83.535127,72.202167,67.21898,1473,2226,1830,74.318758,0.198681236883911
"ABI2",23.445738,22.714472,18.676018,21.612076,1466,1126,1250,"Abi2",73.550072,33.93638,32.706777,2945,2764,2269,46.7310763333333,0.473739076028518
"ABI3",0,0.122185,0,0.0407283333333333,0,1,0,"Abi3",2.741241,3.098633,2.942035,27,77,59,2.927303,0.264998227367059
"ABI3BP",2.697237,9.393819,2.628398,4.90648466666667,50,93,34,"Abi3bp",1.005749,0.614508,0.331046,67,69,42,0.650434333333333,3.57874563523986
"ABITRAM",13.474933,12.693075,15.766697,13.978235,185,143,177,"Abitram",7.343123,3.117896,3.047484,317,313,275,4.50283433333333,2.72191276216868
"ABL1",20.002516,27.75208,18.375548,22.0433813333333,1348,1318,1125,"Abl1",16.493449,7.635737,7.237194,757,701,772,10.45546,2.01156316143859
"ABL2",7.647104,11.288064,8.405532,9.11356666666667,1295,1485,1218,"Abl2",9.166805,2.613638,2.099504,1313,592,529,4.626649,1.79744047774558
"ABLIM1",13.234586,13.893529,13.950169,13.6927613333333,1252,905,1223,"Ablim1",19.521036,10.009919,8.622963,1779,1479,1369,12.7179726666667,1.07105923669285
"ABLIM2",2.618199,1.169305,2.227903,2.00513566666667,73,27,55,"Ablim2",97.913663,59.151526,46.287557,1212,1466,1295,67.7842486666667,0.0436892998748851
"ABLIM3",39.693627,31.45544,35.010631,35.386566,1694,1071,1302,"Ablim3",4.516867,3.560203,3.140058,289,412,368,3.73904266666667,7.67804144409476
"ABO",0.081458,0.061784,0.056364,0.0665353333333333,8,5,5,"Abo",0,0,0,0,0,0,0,1.06653533333333
"ABR",198.031654,211.438013,200.361185,203.276950666667,1298,1199,1252,"Abr",121.644538,73.850699,64.046723,7113,7103,6497,86.5139866666667,2.33422060229915
"ABRA",0,0,0,0,0,0,0,"Abra",0.023622,0.027351,0.115394,1,2,8,0.0554556666666667,0.947458080506776
"ABRACL",16.160065,20.958007,19.636272,18.9181146666667,132,135,145,"Abracl",33.217061,37.836813,39.468236,67,98,101,36.8407033333333,0.526367453881891
"ABRAXAS1",3.82892,6.035163,5.406464,5.09018233333333,107,132,131,"Abraxas1",2.097837,2.986823,1.808422,42,70,66,2.297694,1.84680031965772
"ABRAXAS2",5.545332,5.945653,7.320012,6.27033233333333,243,210,286,"Abraxas2",15.079319,12.887985,9.021063,380,628,479,12.3294556666667,0.545433550712386
"ABT1",4.559478,4.690372,4.720066,4.65663866666667,202,168,186,"Abt1",2.396752,2.64066,2.619396,162,315,315,2.55226933333333,1.59240140199579
"ABTB1",6.145615,3.499741,5.352266,4.99920733333333,109,78,105,"Abtb1",21.831981,27.654929,23.552319,275,528,482,24.3464096666667,0.236688643962973
"ABTB2",1.812701,1.607969,1.602889,1.67451966666667,139,98,106,"Abtb2",3.117546,2.432269,2.363293,188,299,300,2.63770266666667,0.735222175021085
"ACAA1",38.003127,38.829187,39.570663,38.8009923333333,550,465,521,"Acaa1a",32.745647,29.059165,34.358911,520,1066,1037,32.0545743333333,1.2040993761398
"ACAA1",38.003127,38.829187,39.570663,38.8009923333333,550,465,521,"Acaa1b",0.135692,0.223053,0.257686,3,9,11,0.205477,33.0167994356867
"ACAA2",13.362606,16.013843,12.490575,13.9556746666667,285,274,234,"Acaa2",16.998977,25.66273,27.282412,209,607,599,23.3147063333333,0.61508761247771
"ACACA",42.363631,48.905645,32.241697,41.1703243333333,1667,1457,1400,"Acaca",15.981778,6.514919,6.271574,1592,1200,1232,9.58942366666667,3.98230589886368
"ACACB",3.811888,6.196471,2.56891,4.192423,69,75,51,"Acacb",0.922284,0.975901,1.144648,109,90,100,1.01427766666667,2.57780895152985
"ACAD10",21.73928,19.257871,23.277153,21.424768,392,285,343,"Acad12",1.157293,1.86023,1.664471,45,84,89,1.56066466666667,8.75740126847274
"ACAD10",21.73928,19.257871,23.277153,21.424768,392,285,343,"Acad10",1.268187,1.37903,0.87532,38,74,65,1.174179,10.3141314491585
"ACAD11",13.192374,11.007639,9.386726,11.1955796666667,340,270,275,"Acad11",7.725064,8.513703,8.234594,340,530,552,8.157787,1.33171689477673
"ACAD8",26.483493,20.192299,24.101738,23.59251,534,375,468,"Acad8",13.864191,15.434606,14.236606,258,559,469,14.511801,1.58540649148348
"ACAD9",19.252462,17.316786,16.985834,17.851694,406,304,324,"Acad9",28.724183,35.433702,31.159821,429,851,844,31.7725686666667,0.575227843497488
"ACADL",0.207989,0.400506,0.246715,0.28507,5,7,5,"Acadl",19.503812,22.189297,22.09295,399,856,916,21.2620196666667,0.0577247715724624
"ACADM",27.650351,25.508799,28.982212,27.380454,462,377,403,"Acadm",46.965469,51.19742,51.99983,336,672,732,50.0542396666667,0.555888290282964
"ACADS",4.599063,3.579749,4.281652,4.153488,112,71,98,"Acads",3.826219,4.460667,5.525779,58,193,222,4.60422166666667,0.919572477058218
"ACADSB",2.345294,3.480124,2.567987,2.79780166666667,193,175,184,"Acadsb",145.380778,130.594786,130.001808,908,1382,1212,135.325790666667,0.0278582772056152
"ACADVL",487.069067,525.545782,529.790065,514.134971333333,2890,2306,2580,"Acadvl",18.073398,20.606721,19.713457,479,1011,988,19.4645253333333,25.1720947807308
"ACAN",13.521626,21.358045,13.180758,16.020143,1180,1435,924,"Acan",0.97749,0.350438,0.41702,94,47,60,0.581649333333333,10.7610091828193
"ACAP1",8.203837,7.799579,5.089685,7.03103366666667,31,27,34,"Acap1",0,0.018565,0.036549,0,1,2,0.0183713333333333,7.88615449374393
"ACAP2",4.317336,5.926497,4.813944,5.019259,442,447,434,"Acap2",36.691042,10.677867,10.414354,1409,875,776,19.2610876666667,0.297084692541103
"ACAP3",268.243739,185.674788,241.306196,231.741574333333,3432,1616,2456,"Acap3",30.626323,20.849619,19.366028,1311,1961,1795,23.61399,9.45566217965203
"ACAT1",56.259875,44.471839,63.751794,54.827836,369,255,375,"Acat1",43.890942,47.535747,47.180457,948,1985,2072,46.202382,1.18273344764677
"ACAT2",25.297509,32.783013,27.509826,28.530116,501,530,488,"Acat2",21.860344,25.469903,26.905039,427,936,993,24.7450953333333,1.14701909694489
"ACAT2",25.297509,32.783013,27.509826,28.530116,501,530,488,"Acat3",2.836098,2.697745,2.366028,43,78,76,2.63329033333333,8.12765105201704
"ACBD3",54.125804,44.820301,37.958539,45.6348813333333,793,793,708,"Acbd3",10.281829,7.11692,5.836016,516,626,510,7.74492166666667,5.33279577690138
"ACBD4",3.937219,4.63266,2.073499,3.54779266666667,64,68,45,"Acbd4",48.447059,53.277535,51.466468,249,586,589,51.0636873333333,0.0873505681138143
"ACBD5",7.912379,6.095147,7.392269,7.133265,308,226,288,"Acbd5",31.718534,21.222073,20.502479,1208,1400,1161,24.4810286666667,0.319189036926113
"ACBD6",24.856558,25.060157,20.197148,23.3712876666667,434,305,343,"Acbd6",46.051315,40.289734,37.283973,465,683,684,41.2083406666667,0.577404543313722
"ACBD7",0.811197,0.918754,0.914356,0.881435666666667,39,38,35,"Acbd7",0,0.633204,0.507256,0,5,4,0.380153333333333,1.36320771122049
"ACCS",23.189882,13.116107,20.465664,18.9238843333333,320,206,258,"Accs",1.702548,1.880763,1.530269,43,62,61,1.70452666666667,7.36686555133492
"ACCSL",0,0,0,0,0,0,0,"Accsl",0,0.221119,0.229811,0,2,2,0.15031,0.869330876024724
"ACD",8.520872,12.288536,11.733328,10.8475786666667,141,109,166,"Acd",15.910447,14.66128,14.732569,297,491,503,15.101432,0.735809005476449
"ACE",1.303784,1.277742,1.252099,1.277875,41,16,21,"Ace",8.036527,5.639198,4.870534,431,541,552,6.18208633333333,0.317160626352816
"ACE2",0,0.275135,0.093605,0.122913333333333,0,1,2,"Ace2",0.383734,0.590837,0.631366,19,44,39,0.535312333333333,0.731390811467895
"ACER1",0.050862,0,0,0.016954,1,0,0,"Acer1",0.030558,0,0,1,0,0,0.010186,1.00669975628251
"ACER2",0.79589,1.105758,0.950331,0.950659666666667,33,37,35,"Acer2",3.118334,2.54008,2.402802,132,184,153,2.687072,0.529053858092998
"ACER3",2.862275,3.818158,3.438456,3.372963,324,261,332,"Acer3",3.481609,5.184627,5.45389,351,403,381,4.70670866666667,0.766284605615636
"ACHE",23.639298,15.646921,24.253111,21.1797766666667,666,324,578,"Ache",33.834013,47.679276,42.808478,660,1514,1703,41.440589,0.522607654353399
"ACIN1",177.532807,182.921232,142.933279,167.795772666667,3282,2682,2593,"Acin1",45.807958,21.09828,21.753088,1080,1089,980,29.5531086666667,5.52466770266236
"ACKR1",7.550579,5.560224,10.119254,7.74335233333333,197,125,214,"Ackr1",101.103231,14.233693,28.400341,431,187,207,47.9124216666667,0.178755253479748
"ACKR2",0.359601,0.085355,0.268785,0.237913666666667,6,3,9,"Ackr2",0.649428,0.359553,0.708918,12,16,18,0.572633,0.787159920125463
"ACKR3",0.58853,1.270426,0.550161,0.803039,17,15,14,"Ackr3",3.231514,3.181414,3.449357,127,255,243,3.28742833333333,0.420540907000584
"ACKR4",0,0,0,0,0,0,0,"Ackr4",0.132857,0.125531,0.088747,4,6,5,0.115711666666667,0.896288915744361
"ACLY",146.457605,153.677986,123.036365,141.057318666667,4402,3834,3894,"Acly",44.180974,41.640376,34.502339,2485,3516,3246,40.1078963333333,3.45571851974036
"ACMSD",0,0.090128,0.068505,0.0528776666666667,0,2,1,"Acmsd",0.102752,0.079444,0,3,4,0,0.060732,0.992595364961806
"ACO1",7.828545,10.438737,8.19943,8.82223733333333,589,574,554,"Aco1",7.262014,5.414308,4.996443,412,554,518,5.89092166666667,1.42538804073862
"ACO2",44.21915,38.397711,34.421423,39.0127613333333,1102,814,929,"Aco2",263.104087,251.75769,261.873345,6115,11826,11858,258.911707333333,0.153947514499674
"ACOD1",0,0,0,0,0,0,0,"Acod1",0,0.073883,0.014681,0,5,1,0.0295213333333333,0.971325185425978
"ACOT1",3.574162,4.075885,3.688916,3.77965433333333,68,59,57,"Acot3",0.889756,0.635427,0.487761,33,39,32,0.670981333333333,2.86038762850732
"ACOT1",3.574162,4.075885,3.688916,3.77965433333333,68,59,57,"Acot2",2.118218,1.538339,1.968624,59,81,106,1.87506033333333,1.66245357633654
"ACOT1",3.574162,4.075885,3.688916,3.77965433333333,68,59,57,"Acot1",10.961634,13.839671,14.384726,95,194,228,13.0620103333333,0.339898365883247
"ACOT1",3.574162,4.075885,3.688916,3.77965433333333,68,59,57,"Acot5",0.847002,0.96065,0.720038,13,32,26,0.842563333333333,2.5940244478254
"ACOT11",0.37798,0.458171,0.465699,0.43395,35,34,33,"Acot11",21.802128,6.375834,9.361889,792,624,658,12.5132836666667,0.106114104859438
"ACOT12",0.838379,0.711122,0.64397,0.731157,19,13,12,"Acot12",0.04416,0.076111,0.025569,2,6,2,0.0486133333333333,1.65090119014317
"ACOT13",12.191412,9.46509,13.396844,11.6844486666667,229,175,231,"Acot13",187.035261,203.440437,207.538666,394,833,891,199.338121333333,0.0633152022303414
"ACOT2",21.539035,15.077116,15.11408,17.2434103333333,178,108,135,"Acot1",10.961634,13.839671,14.384726,95,194,228,13.0620103333333,1.29735435409887
"ACOT2",21.539035,15.077116,15.11408,17.2434103333333,178,108,135,"Acot5",0.847002,0.96065,0.720038,13,32,26,0.842563333333333,9.90110353511141
"ACOT2",21.539035,15.077116,15.11408,17.2434103333333,178,108,135,"Acot3",0.889756,0.635427,0.487761,33,39,32,0.670981333333333,10.9177822453233
"ACOT2",21.539035,15.077116,15.11408,17.2434103333333,178,108,135,"Acot2",2.118218,1.538339,1.968624,59,81,106,1.87506033333333,6.34540086752962
"ACOT4",0.146906,0.447474,0.101508,0.231962666666667,5,12,3,"Acot4",0.670655,0.306245,0.31109,62,50,51,0.42933,0.861916189170217
"ACOT6",0,0.122286,0,0.040762,0,1,0,"Acot6",1.922866,1.41504,1.514438,91,121,132,1.617448,0.397624709258789
"ACOT7",38.203304,38.030315,39.780133,38.6712506666667,695,547,661,"Acot7",174.61588,209.453191,230.233611,2449,5334,5637,204.767560666667,0.192796427863244
