"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg_TPM","FoldChange"
"ACACA","Acaca",19.485886,15.979125,16.156752,704,2629,1715,17.2072543333333,52.07295,52.263549,60.592741,2805,2326,1935,5.477393,2.81089233482256
"ACACB","Acacb",2.347324,2.448333,1.442423,63,283,136,2.07936,5.82404,4.214339,4.586609,290,101,72,2.25061966666667,0.947314763267188
"ACAD10","Acad10",0.953402,2.089012,1.322435,20,83,38,1.45494966666667,24.09517,13.699953,18.003391,465,241,262,17.560885,0.132264688169054
"ACAD11","Acad11",11.510665,10.029851,9.42974,198,617,402,10.3234186666667,21.296656,12.759557,10.656436,568,268,245,21.7210943333333,0.498365901771486
"ACAD8","Acad8",22.587965,18.479586,22.129273,169,624,442,21.065608,29.394922,40.292933,40.865493,722,686,705,0.689141333333333,13.0632100254488
"ACAD9","Acad9",33.288168,40.760278,41.790665,258,1076,590,38.613037,20.618117,20.88167,21.133159,574,471,475,0.0975493333333333,36.0922610008722
"ACADL","Acadl",23.989554,27.786441,27.839466,286,1063,571,26.538487,0.63777,0.16945,0.095375,23,5,4,20.6669163333333,1.27099244656396
"ACADM","Acadm",53.479148,49.461303,49.645235,187,658,428,50.8618953333333,31.38729,31.831206,37.816546,662,516,582,0.0799946666666667,48.020510595114
"ACADS","Acads",7.376174,4.693633,4.113654,41,181,88,5.394487,3.919399,3.709052,4.464577,114,83,88,42.0700743333333,0.148467052796589
"ACADSB","Acadsb",192.571336,128.986745,179.660881,434,1410,912,167.072987333333,7.753468,4.374615,3.829584,527,304,282,0,168.072987333333
"ACADVL","Acadvl",27.327889,26.55274,25.529242,288,1140,639,26.469957,417.243124,362.292121,441.590667,2854,1977,2042,21.3632396666667,1.2283531996907
"ACAN","Acan",1.886721,2.604057,2.264707,54,340,200,2.25182833333333,0.61022,0.60714,1.230414,58,65,66,6.38825666666667,0.44013472731727
"ACAP1","Acap1",0,0.039392,0.070892,0,2,3,0.0367613333333333,11.702953,8.178989,5.156753,76,54,37,0.286290333333333,0.806008804129498
"ACAP2","Acap2",22.737422,25.4554,28.768513,509,2068,1130,25.6537783333333,18.902318,8.651381,7.061189,805,452,432,43.3981663333333,0.600335115941988
"ACAT1","Acat1",27.981588,41.326883,51.020392,423,1692,1035,40.109621,113.018886,107.505607,145.26679,828,668,739,5.72257333333333,6.11516140644555
"ACAT2","Acat2",21.793864,27.314291,29.301711,186,906,543,26.136622,94.414141,82.903806,86.300184,2278,1511,1430,29.2640943333333,0.896660633591513
"ACBD3","Acbd3",11.640037,11.430117,12.696939,265,965,610,11.9223643333333,43.967242,69.083492,58.658097,939,748,717,110.271016333333,0.116134144893779
"ACBD5","Acbd5",36.358403,38.338337,37.022115,721,2219,1388,37.2396183333333,15.374346,21.627524,21.759596,885,847,801,69.6416526666667,0.541318285881175
"ACBD6","Acbd6",35.945392,35.894611,35.871149,188,692,414,35.9037173333333,30.045769,28.430908,40.527744,567,434,470,0.168356333333333,31.5860121441261
"ACBD7","Acbd7",0.489517,0.389686,0.926633,1,3,4,0.601945333333333,1.327791,0.639002,1.059258,81,30,45,9.54563233333333,0.151906048181653
"ACCS","Accs",4.011864,4.156498,4.12503,21,102,76,4.09779733333333,14.477036,14.943544,19.448083,190,194,188,5.07421866666667,0.839251533914705
"ACCSL","Accsl",0,0.036953,0.308815,0,2,4,0.115256,0,0,0,0,0,0,0.0243106666666667,1.08878686544317
"ACD","Acd",12.505277,15.687622,17.331572,102,490,312,15.1748236666667,13.137008,9.048602,13.611827,198,130,153,16.123027,0.944624082334664
"ACE","Ace",7.222874,11.540329,13.795783,209,1077,644,10.8529953333333,6.841322,8.479831,10.149919,209,183,161,7.08539466666667,1.4659760991259
"ACE2","Ace2",0.85973,0.864133,0.577398,15,60,28,0.767087,0,0.095415,0.225191,0,0,1,0.0951363333333333,1.61357718323655
"ACER1","Acer1",0,0.018434,0.02977,0,1,1,0.016068,0,0,0,0,0,0,0,1.016068
"ACER2","Acer2",4.509376,2.843414,1.85398,75,244,99,3.06892333333333,2.060095,1.631226,2.154176,103,62,73,68.53546,0.0585158037831825
"ACER3","Acer3",5.509058,6.757561,6.453785,157,709,365,6.24013466666667,7.649808,4.8069,3.760922,518,375,350,2.440747,2.10423337335371
"ACHE","Ache",62.86421,90.196685,78.823217,529,2718,1405,77.294704,52.081818,67.700639,62.028934,1662,1679,1380,28.58467,2.64646196830994
"ACIN1","Acin1",53.375948,57.667286,55.722878,628,2276,1280,55.588704,122.816081,100.430979,109.79734,3076,1982,1940,2.00431066666667,18.8358363293987
"ACKR1","Ackr1",233.645771,184.25091,183.13379,246,1171,640,200.343490333333,2.616941,4.886551,6.520383,86,122,141,174.24852,1.14890265739952
"ACKR2","Ackr2",0.05344,0.027932,0.673087,1,2,1,0.251486333333333,0.123068,0.277159,0.172717,7,9,4,0.156066666666667,1.08253820425581
"ACKR3","Ackr3",2.177535,2.34772,3.084983,44,180,134,2.536746,2.012493,0.697493,1.28327,52,13,22,4.96819266666667,0.592599166537184
"ACKR4","Ackr4",1.74279,0.892203,0.91059,13,41,19,1.181861,0.105038,0.101865,0.037545,4,3,1,82.8883526666667,0.0260091053244269
"ACLY","Acly",62.900693,84.057985,88.066181,1466,6929,3937,78.3416196666667,200.668971,184.300449,184.729433,7551,5465,5135,0.0219273333333333,77.6391990689488
"ACMSD","Acmsd",0,0.12895,0.079902,0,6,3,0.0696173333333333,0.185122,0.039662,0.088863,6,1,2,104.427182666667,0.0101455555036047
"ACO1","Aco1",6.130113,9.373893,10.179954,158,755,490,8.56132,9.64322,6.563351,6.68116,860,462,416,12.6569093333333,0.700108623893625
"ACO2","Aco2",282.147415,284.798699,303.885091,2956,11701,6722,290.277068333333,71.653142,76.994982,73.567485,2492,1993,1982,1.56342266666667,113.628186299879
"ACOD1","Acod1",0,0.015449,0,0,1,0,0.00514966666666667,0,0,0,0,0,0,0,1.00514966666667
"ACOT1","Acot3",0.109079,0.207848,0.217536,1,10,7,0.178154333333333,4.205801,4.758707,5.368048,99,81,76,0.401354666666667,0.840725307702261
"ACOT11","Acot11",18.795607,22.115918,27.499553,496,1856,1128,22.8036926666667,1.265227,0.289037,0.841305,109,23,34,0.0814696666666667,22.0105042243441
"ACOT12","Acot12",0.049362,0.069376,0.069691,1,3,3,0.0628096666666667,0.237945,0.109798,0.174106,8,3,2,23.5366613333333,0.0433151703986242
"ACOT13","Acot13",91.817633,140.443014,291.317742,173,570,376,174.526129666667,11.326065,11.195552,12.209772,355,281,284,0.194048666666667,147.000817107957
"ACOT2","Acot2",1.585568,1.620148,1.475092,22,79,41,1.56026933333333,24.173517,18.076715,19.437196,254,164,153,1.51372533333333,1.01851594499319
"ACOT4","Acot4",0.107848,1.515178,1.377756,5,43,25,1.00026066666667,0.591094,0.748843,1.193545,24,23,33,8.85511633333333,0.202966722970191
"ACOT6","Acot6",1.879721,2.153377,2.397557,42,175,111,2.14355166666667,0.245134,0.088672,0.12044,3,1,1,36.710618,0.0833598554833195
"ACOT7","Acot7",251.136288,215.300178,179.593733,1118,4564,2557,215.343399666667,80.632403,114.029529,128.44021,1778,1946,1942,114.444618,1.87400160713137
"ACOT8","Acot8",10.297145,8.541505,9.081612,50,177,114,9.306754,20.763417,18.37889,19.993785,370,284,270,5.99927766666667,1.47254538123053
"ACOT9","Acot9",5.697424,9.097912,8.198204,61,348,179,7.66451333333333,18.917753,21.089502,23.207269,535,461,410,7.34865366666667,1.03783360518688
"ACOX1","Acox1",43.253675,46.046219,46.908816,1058,3903,2410,45.4029033333333,21.711569,42.59937,35.250653,754,736,847,24.672672,1.80748242073647
"ACOX2","Acox2",0.063548,0.608585,0.661379,1,12,5,0.444504,5.471821,1.789143,2.323278,63,12,15,61.9235546666667,0.0229564907394721
"ACOX3","Acox3",9.973444,19.362258,19.637784,198,866,525,16.3244953333333,11.236717,10.706481,12.961887,231,182,207,20.9269013333333,0.790102307205469
"ACOXL","Acoxl",0.106043,0.028109,0.049084,1,2,1,0.0610786666666667,0.106301,0.156535,0.132989,4,4,4,3.325087,0.245331172914364
"ACP1","Acp1",70.115091,40.378466,30.815997,259,1021,517,47.1031846666667,74.872622,58.654584,76.070071,1230,785,941,32.0318893333333,1.45626501049471
"ACP2","Acp2",27.545288,17.097309,16.681153,483,1845,1102,20.44125,104.027156,109.16421,127.822959,638,547,541,0.25094,17.1401106368011
"ACP4","Acp4",0.146144,0,0,1,0,0,0.0487146666666667,0.279935,0.062067,0,6,1,0,4.81031933333333,0.18049174348306
"ACP5","Acp5",0,0.131785,0.116811,0,4,2,0.0828653333333333,0,2.031601,2.612106,0,11,8,0.187026666666667,0.912250216226538
"ACP6","Acp6",3.569569,7.034978,8.482897,33,199,122,6.36248133333333,17.588665,10.559517,14.810767,472,247,242,0.602221,4.59517215997876
"ACP7","Acp7",0.80189,0.547356,0.878533,3,17,13,0.742593,0.15024,0.124344,0.170202,8,5,6,79.7568523333333,0.0215782679692275
"ACR","Acr",0.262898,0.331001,0.321071,1,11,6,0.30499,0.041913,0,0.163679,1,0,1,8.31229433333333,0.140136249273049
"ACRBP","Acrbp",4.871569,6.490464,4.630272,25,115,59,5.33076833333333,0.967429,0.571787,0.527381,14,5,4,2.267959,1.93722391661992
"ACRV1","Acrv1",0,0.036969,0,0,3,0,0.012323,0.120346,0.767177,1.18959,4,7,14,5.148476,0.16464616597674
"ACSBG1","Acsbg1",94.207837,117.349815,128.950509,1456,5807,3500,113.502720333333,6.630397,3.875408,5.355253,156,78,93,32.7340093333333,3.39428139720678
"ACSBG2","Acsbg2",0,0.015367,0.027109,0,1,1,0.0141586666666667,0.74582,0.53011,0.820644,10,3,4,92.1382493333333,0.0108887452139785
"ACSF2","Acsf2",13.151681,17.421665,16.907815,103,469,261,15.8270536666667,42.632059,13.17411,6.555456,402,55,44,1.35264933333333,7.15238494247903
"ACSF3","Acsf3",6.433811,7.398949,7.850011,91,401,238,7.22759033333333,22.250491,16.962759,21.849371,350,268,226,3.623156,1.77964800091828
"ACSL1","Acsl1",34.24096,29.027217,22.595622,239,1064,585,28.6212663333333,85.585307,101.814344,82.647096,1143,969,970,0.0864153333333333,27.2651401581838
"ACSL3","Acsl3",164.82735,125.218524,133.505579,1233,3872,2280,141.183817666667,127.281776,105.351012,89.76463,3228,2050,1832,38.1292903333333,3.63369272622723
"ACSL4","Acsl4",15.650734,15.820655,27.954734,343,1313,799,19.8087076666667,69.219653,62.683685,53.413498,3943,2820,2527,11.3800783333333,1.68082197110492
"ACSL5","Acsl5",23.386902,25.908157,26.057943,121,580,317,25.1176673333333,0.206791,0.83348,0.182037,6,12,5,11.1325353333333,2.15269658119822
"ACSL6","Acsl6",139.440799,134.120983,127.066489,2061,7719,4466,133.542757,13.388689,15.367533,10.761177,980,1036,796,22.599885,5.70099205991894
"ACSM1","Acsm1",0,0,0,0,0,0,0,0.060423,0,0,2,0,0,136.466925666667,0.00727447707985283
