"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","FoldChange"
"MED12L","Med12l",6.507826,6.150573,6.412588,385,1579,965,6.35699566666667,1.117673,1.145596,1.138447,117,75,75,0.967674333333333,3.73892952814177
"MED13","Med13",14.457988,11.524345,12.889081,637,2658,1658,12.957138,7.818219,13.936328,3.729204,493,526,467,0.126182666666667,12.3933163003752
"MED13L","Med13l",6.491733,7.556202,9.108071,414,1685,1109,7.71866866666667,15.67097,29.47734,24.335033,967,1162,705,9.31437433333333,0.845293023590411
"MED14","Med14",10.156136,11.547348,11.992271,378,1513,929,11.2319183333333,17.515951,27.946587,23.428817,822,901,717,39.1504406666667,0.304652156495219
"MED15","Med15",20.86879,25.660866,24.942973,174,859,599,23.8242096666667,111.764371,98.238142,98.593551,1984,1621,1795,0,24.8242096666667
"MED16","Med16",8.451522,13.11899,15.500201,177,690,417,12.3569043333333,20.222293,16.353721,16.568021,405,257,283,0.639211666666667,8.14837071071765
"MED17","Med17",19.96086,13.502492,23.641728,124,400,341,19.0350266666667,33.946089,26.661432,27.572551,513,395,405,0.101928,18.1817928818096
"MED18","Med18",1.112299,1.31329,2.136716,11,51,47,1.52076833333333,8.316568,14.087842,7.3439,54,66,63,1.29243966666667,1.09960073104069
"MED19","Med19",18.478564,19.099938,17.901793,191,653,388,18.4934316666667,8.788727,7.723749,8.381915,141,96,114,0.106374333333333,17.6192009154225
"MED20","Med20",10.755317,10.655831,9.745346,120,624,289,10.385498,6.52141,7.602148,8.983583,174,158,192,1.079012,5.47639840462681
"MED21","Med21",17.022119,20.12609,21.183431,72,315,166,19.44388,6.09737,6.915889,6.370217,119,104,96,0.473063,13.8784831334437
"MED22","Med22",16.045889,15.998656,16.460034,159,578,367,16.168193,7.729608,7.61379,7.421746,304,264,274,0.748602333333333,9.81823749901588
