"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","FoldChange"
"AATF","Aatf",8.625936,8.836669,9.704815,95,310,213,9.05580666666667,16.465887,17.429714,15.691305,276,428,414,30.1587223333333,0.322728466176838
"AATK","Aatk",65.776318,84.79421,84.991774,1492,7505,3925,78.5207673333333,16.385879,16.887406,16.473264,581,867,1089,41.9430956666667,1.85177072353121
"ABAT","Abat",126.67224,143.045002,140.415185,2874,11720,6882,136.710809,59.088785,64.587057,41.158971,3015,4574,3152,0.356269333333333,101.536476284946
"ABCA1","Abca1",5.593241,5.368889,7.020124,345,1291,857,5.99408466666667,4.587007,4.124422,3.096802,771,969,758,13.6558153333333,0.477222488656721
"ABCA13","Abca13",0.017552,0.016355,0.008251,2,7,2,0.0140526666666667,0.018797,0.084847,0.059631,1,8,6,14.4847353333333,0.0654872456543548
"ABCA17P","Abca17",0.028519,0.051789,0,1,2,0,0.0267693333333333,4.66571,1.657589,2.029971,35,13,40,0.368363333333333,0.750363085827595
"ABCA2","Abca2",103.919269,141.830863,150.084623,2467,11301,6734,131.944918333333,86.10463,86.558699,80.710993,2072,2678,2585,94.3114753333333,1.39484692549753
"ABCA3","Abca3",14.196218,14.904171,16.151148,510,2327,1416,15.0838456666667,55.59978,54.652489,44.714698,4782,6902,6185,33.0884343333333,0.471827057511383
"ABCA4","Abca4",3.31164,3.390653,2.172063,59,262,184,2.95811866666667,0.709647,0.545438,0.159905,39,1,1,28.3998213333333,0.134630704785235
"ABCA5","Abca5",13.295437,11.964834,10.439489,513,2184,1254,11.89992,10.668791,9.107596,7.662206,513,604,633,3.178246,3.08740078970937
"ABCA6","Abca6",0.473301,0.609906,0.589233,17,75,45,0.55748,0.332708,0.201177,0.26943,9,14,15,116.877734,0.0132126733959782
"ABCA7","Abca7",6.006372,6.820605,6.873234,281,1214,685,6.566737,42.45405,52.111696,39.796489,1395,2369,1835,0.296992,5.83406605437813
"ABCA8","Abca8b",3.153485,3.895227,4.491881,163,747,478,3.84686433333333,0.244206,0.413915,0.141469,6,7,6,217.002767,0.0222330404335342
"ABCA9","Abca9",1.270159,1.202612,1.247372,56,199,117,1.24004766666667,4.035468,0.682386,0.739211,21,27,35,71.051303,0.0310896204981424
"ABCB1","Abcb1a",27.54529,43.96477,12.947455,267,1104,708,28.152505,2.608253,0.395444,0.72192,71,28,37,5.47972433333333,4.49903475832022
"ABCB10","Abcb10",6.396777,7.750892,7.766959,180,805,458,7.304876,4.784184,6.526598,5.638334,213,397,298,3.46895066666667,1.85835034204898
"ABCB11","Abcb11",0,0,0,0,0,0,0,1.713152,2.345963,2.257067,8,17,14,37.9252723333333,0.0256902505764528
"ABCB4","Abcb4",0.981707,0.995733,1.250511,17,64,51,1.07598366666667,2.613821,0.236469,0.112046,20,11,9,0.290904,1.60816270355245
"ABCB5","Abcb5",0,0.027506,0,0,1,0,0.00916866666666667,0.031732,0.170177,0.033162,3,5,1,251.873522,0.00399080401413742
"ABCB6","Abcb6",10.008954,6.259513,8.472193,70,339,192,8.24688666666666,39.80428,30.533985,38.474452,602,671,937,98.0426783333333,0.0933626475199488
"ABCB7","Abcb7",11.190542,11.707649,12.115453,431,1655,976,11.6712146666667,6.507055,5.040312,4.209266,171,274,200,0.332785333333333,9.50731850790675
"ABCB8","Abcb8",15.25636,20.988503,21.001584,152,712,401,19.082149,21.51191,19.464312,14.629305,551,761,665,0.0443566666666667,19.2292055396145
"ABCB9","Abcb9",17.894203,17.928554,14.740825,208,975,536,16.8545273333333,13.522164,13.523465,13.352624,392,512,531,2.804119,4.69347234756151
"ABCC1","Abcc1",13.812049,12.232982,11.724043,122,577,317,12.5896913333333,11.500209,10.367327,9.302465,903,1271,1197,0.078357,12.6022192403196
"ABCC10","Abcc10",1.510449,2.511756,2.606775,37,240,138,2.20966,36.128396,35.014973,37.78168,526,739,582,0.110797333333333,2.88950999762333
"ABCC12","Abcc12",1.138639,1.50393,1.752502,20,105,71,1.46502366666667,0,0,0,0,0,0,24.0371986666667,0.0984544516934509
"ABCC2","Abcc2",0.035961,0.118254,0.016838,2,5,2,0.0570176666666667,0.525342,0.194318,0.093136,8,4,5,0.258827333333333,0.839684394100118
"ABCC3","Abcc3",0.723344,0.342288,0.608015,4,17,10,0.557882333333333,0.735677,0.386222,0.301105,6,5,4,0.037753,1.50120725580493
"ABCC5","Abcc5",84.855585,97.027185,94.560298,703,3269,1802,92.1476893333333,40.658816,35.616212,29.02946,2274,2699,2335,13.9901206666667,6.21393859360083
"ABCC6","Abcc6",4.55294,0.592951,0.217231,22,47,16,1.78770733333333,1.563937,2.080382,1.038311,47,91,70,17.2320626666667,0.152901368556068
"ABCC9","Abcc9",2.793501,2.280107,2.219166,120,438,241,2.43092466666667,2.011239,0.868414,0.975146,245,158,167,0,3.43092466666667
"ABCD1","Abcd1",2.605473,3.036115,3.167152,60,263,160,2.93624666666667,10.618352,6.729346,8.415782,351,364,475,10.3287653333333,0.34745592753032
"ABCD2","Abcd2",23.27771,33.025179,31.912742,417,1487,943,29.4052103333333,1.015291,0.95263,0.78988,101,128,108,3.89511266666667,6.21134024971029
"ABCD3","Abcd3",25.762613,25.372644,25.767711,537,2125,1219,25.6343226666667,11.715671,11.503515,12.736033,658,873,979,0.00792966666666667,26.4247829461646
"ABCD4","Abcd4",4.797787,5.916789,4.686713,66,317,152,5.133763,58.610022,52.354869,50.095508,722,999,947,2.48702933333333,1.75902248408579
"ABCE1","Abce1",21.471621,21.878849,23.233798,536,2036,1236,22.194756,47.293811,49.347163,47.386876,1200,1864,1735,92.46756,0.248158355690466
"ABCF1","Abcf1",62.771934,40.780579,54.400409,408,1580,966,52.650974,49.941811,50.936379,55.648464,769,1208,1106,18.3234196666667,2.77647408820444
"ABCF2","Abcf2",35.004874,31.624163,32.51526,585,2023,1175,33.048099,19.522918,29.608502,27.332976,499,751,734,2.73144,9.12465402096778
"ABCF3","Abcf3",165.753745,270.992357,262.995844,349,1659,960,233.247315333333,46.460597,40.982435,31.451225,710,879,744,116.286335333333,1.99722597408804
"ABCG1","Abcg1",29.852875,28.362905,37.823919,513,2100,1285,32.013233,2.981022,2.516257,2.216058,133,150,148,38.8820083333333,0.827772581663285
"ABCG2","Abcg2",17.188758,17.152966,20.431548,142,476,266,18.2577573333333,0,0.032841,0.010415,0,3,1,20.899473,0.879370811038847
"ABCG5","Abcg5",0,0.0174,0.094988,0,1,2,0.0374626666666667,0.106507,0.151389,0.042838,5,10,3,93.4300633333333,0.0109865717552733
"ABCG8","Abcg8",0,0.017747,0,0,1,0,0.00591566666666667,0.375379,0.464493,0.42013,27,45,55,17.679678,0.0538508033525346
"ABHD1","Abhd1",0.959765,1.019278,1.583523,7,31,26,1.187522,0.400221,0.717874,0.22597,14,18,14,28.059534,0.0752772566827809
"ABHD10","Abhd10",15.744209,13.053989,13.082247,155,575,337,13.9601483333333,22.938499,24.352688,21.626771,576,818,829,45.387708,0.322502425283296
"ABHD11","Abhd11",10.616167,13.349118,17.343117,58,295,193,13.7694673333333,6.937606,7.064101,6.864255,76,110,135,0.109443,13.3125066662581
"ABHD12","Abhd12",194.435324,224.464164,226.37899,1076,4396,2480,215.092826,64.546737,62.306897,62.683147,766,1044,1187,0.054446,204.934938346772
"ABHD13","Abhd13",8.065108,8.209743,8.759599,280,1053,639,8.34481666666667,2.367033,2.196661,1.88721,196,246,214,20.067703,0.443561249494863
"ABHD14A","Abhd14a",9.111682,11.625296,10.462999,55,273,135,10.3999923333333,22.540257,19.428712,18.954588,283,320,352,4.60419966666667,2.03418739720135
"ABHD14B","Abhd14b",9.900957,11.07616,10.725091,59,304,184,10.5674026666667,3.320588,2.072545,1.528819,54,55,44,41.663942,0.271128314084682
"ABHD15","Abhd15",0.570942,0.544336,0.246583,10,30,9,0.453953666666667,0.626613,0.218831,0.501833,33,16,41,157.985373333333,0.00914520396551364
"ABHD16A","Abhd16a",84.799733,87.707752,104.500541,575,2204,1387,92.3360086666667,37.200716,47.134845,37.037113,666,1034,935,0.828383666666667,51.0483715033552
"ABHD16B","Abhd16b",0,0.023675,0,0,1,0,0.00789166666666667,0,0,0,0,0,0,14.1934193333333,0.066337382293887
"ABHD17A","Abhd17a",50.597266,51.472563,50.283643,341,1219,660,50.7844906666667,15.282057,19.663938,28.463204,503,831,1086,30.240615,1.65760151221948
"ABHD17B","Abhd17b",18.422878,19.350962,20.248798,254,954,572,19.3408793333333,10.201998,14.689547,11.447473,457,762,669,48.3995476666667,0.411762461279757
"ABHD17C","Abhd17c",8.088749,7.811635,8.308212,110,387,234,8.069532,22.112876,26.685209,23.848278,525,820,771,9.06215266666667,0.901351062784511
"ABHD18","Abhd18",4.632635,4.799454,5.02948,98,410,194,4.820523,4.011071,3.517854,4.147912,213,284,273,0.334188666666667,4.36259364617598
"ABHD2","Abhd2",11.033863,14.096476,15.211377,518,2535,1550,13.4472386666667,13.588883,13.921576,10.695473,1685,2486,2111,13.6114336666667,0.988762567469708
"ABHD3","Abhd3",55.682784,53.328998,62.270616,427,1662,1021,57.0941326666667,1.597983,1.039653,1.180823,33,27,32,119.859511333333,0.480674892904719
"ABHD4","Abhd4",31.723046,34.102686,39.716449,385,1661,1007,35.180727,25.455379,4.883742,6.507743,182,133,112,2.82895033333333,9.44925471741559
"ABHD5","Abhd5",21.566522,17.853184,20.208764,143,531,290,19.8761566666667,10.403327,7.362645,6.909279,314,407,402,29.3573956666667,0.68767943389786
"ABHD6","Abhd6",17.385249,17.188792,18.917148,233,860,531,17.8303963333333,11.668832,13.764524,17.829011,180,342,395,5.16011933333333,3.05682330396413
"ABHD8","Abhd8",65.067793,67.246917,70.625685,840,3106,1873,67.6467983333333,9.661101,10.705984,15.55678,265,375,569,0.081767,63.4580259273331
"ABI1","Abi1",61.894673,67.568242,60.34268,492,1777,1100,63.2685316666667,25.555257,19.141618,16.288946,935,970,821,89.80118,0.707794013983812
"ABI2","Abi2",21.449798,32.690883,39.515265,634,2558,1589,31.2186486666667,43.432644,40.900572,32.384224,3163,4154,3817,21.6859713333333,1.42020141845664
"ABI3","Abi3",0.868416,1.488242,0.946114,10,26,22,1.100924,0.107534,0.068506,0,1,1,0,8.975152,0.210615737985747
"ABITRAM","Abitram",7.381211,4.320135,5.156999,87,384,238,5.61944833333333,8.026917,12.043578,11.681156,142,241,232,8.31248266666667,0.710814566885279
"ABL1","Abl1",17.901029,13.698011,17.087719,305,1363,769,16.2289196666667,18.289946,25.341736,17.462119,1256,2037,1573,6.67407733333333,2.24508027718598
"ABL2","Abl2",4.995949,5.682749,8.350547,342,1365,865,6.34308166666667,4.651018,3.942953,3.604234,834,1003,998,0,7.34308166666667
"ABLIM1","Ablim1",34.801176,35.93125,43.941288,1345,5168,3521,38.2245713333333,78.965193,95.017141,84.824801,7302,12899,12481,1.91552333333333,13.4536983068792
"ABLIM2","Ablim2",45.109793,56.693162,60.767226,382,1889,1015,54.1900603333333,29.024891,22.325349,27.889239,811,842,921,50.140693,1.07918092414847
"ABLIM3","Ablim3",9.713718,10.446052,13.010561,280,1148,806,11.056777,59.162438,43.070208,35.850085,2210,2652,2304,5.862563,1.75689126642626
"ABO","Abo",0,0.04772,0,0,2,0,0.0159066666666667,0.94183,1.656334,1.424069,43,107,83,112.418891,0.00895712043831099
"ABR","Abr",72.847619,78.817078,72.995401,1670,6447,3704,74.8866993333333,475.702567,515.55903,441.250144,3442,4631,4703,1236.327264,0.0613311462062258
"ABRA","Abra",0.104979,0.014323,0.024908,2,1,1,0.04807,0.023562,0,0.016861,1,0,1,2872.900966,0.000364685496264244
"ABRACL","Abracl",23.553344,24.607412,18.383949,18,67,32,22.1815683333333,17.048097,16.217016,13.732567,152,196,170,8.861323,2.3507564181128
"ABRAXAS1","Abraxas1",2.527091,2.89354,2.878353,15,97,65,2.766328,2.109371,2.159075,1.935205,56,86,86,6.40802166666667,0.508412119924955
"ABRAXAS2","Abraxas2",17.910056,12.732544,10.244335,210,637,376,13.6289783333333,10.186842,8.464947,8.190416,471,532,542,50.0583233333333,0.286515055299178
"ABT1","Abt1",2.169662,2.135689,2.150485,66,245,139,2.15194533333333,3.263841,4.270345,3.155402,152,271,212,0.763368333333333,1.78745714877115
"ABTB1","Abtb1",20.252164,25.862883,30.335142,130,636,382,25.4833963333333,3.761994,3.647191,4.428543,98,109,136,13.421852,1.83633810230013
"ABTB2","Abtb2",4.467642,5.02184,4.513611,139,562,291,4.66769766666667,1.172037,1.371578,1.223632,92,149,130,0.025777,5.52527271197021
"ACAA1","Acaa1b",0.263199,0.567147,0.28493,3,22,6,0.371758666666667,39.895704,46.043135,40.381622,585,998,977,10.1953486666667,0.122529338523505
"ACAA2","Acaa2",16.960302,15.003065,16.159893,87,361,209,16.0410866666667,13.144815,9.897038,9.823666,271,275,335,67.633482,0.248291157174084
"ACACA","Acaca",19.485886,15.979125,16.156752,704,2629,1715,17.2072543333333,100.200507,77.444775,45.429501,3946,4127,3502,0.778626333333333,10.2366944602754
"ACACB","Acacb",2.347324,2.448333,1.442423,63,283,136,2.07936,5.011705,4.261474,2.549066,60,56,49,1.25951366666667,1.3628419448964
"ACAD10","Acad10",0.953402,2.089012,1.322435,20,83,38,1.45494966666667,12.856185,11.636386,10.582543,221,279,250,2.986488,0.615817648683921
"ACAD11","Acad11",11.510665,10.029851,9.42974,198,617,402,10.3234186666667,18.399625,10.629317,9.67092,358,253,310,18.472337,0.581513080153998
"ACAD8","Acad8",22.587965,18.479586,22.129273,169,624,442,21.065608,23.137744,24.865645,22.47821,569,801,726,0.327960666666667,16.6161608200243
"ACAD9","Acad9",33.288168,40.760278,41.790665,258,1076,590,38.613037,17.669058,19.626573,12.870046,447,569,481,0.0680793333333333,37.0881036302547
"ACADL","Acadl",23.989554,27.786441,27.839466,286,1063,571,26.538487,0.160831,0.314712,0.317482,8,12,13,15.6034853333333,1.65859676129044
"ACADM","Acadm",53.479148,49.461303,49.645235,187,658,428,50.8618953333333,31.655912,30.807253,30.544017,568,773,686,0.0485666666666667,49.4597978192453
"ACADS","Acads",7.376174,4.693633,4.113654,41,181,88,5.394487,3.004861,4.19166,2.473391,78,146,97,17.87264,0.33882313232277
"ACADSB","Acadsb",192.571336,128.986745,179.660881,434,1410,912,167.072987333333,3.572105,3.466148,3.181139,336,406,350,0.225601,137.135158451513
"ACADVL","Acadvl",27.327889,26.55274,25.529242,288,1140,639,26.469957,223.022625,188.605112,238.198574,1342,1537,1988,13.334388,1.91636761890358
"ACAN","Acan",1.886721,2.604057,2.264707,54,340,200,2.25182833333333,0.292759,0.315011,0.284229,25,26,39,3.637669,0.701177322774293
"ACAP1","Acap1",0,0.039392,0.070892,0,2,3,0.0367613333333333,11.286318,12.913279,6.490646,45,54,54,2.00352533333333,0.34518148451331
"ACAP2","Acap2",22.737422,25.4554,28.768513,509,2068,1130,25.6537783333333,11.321554,4.989484,5.03907,561,490,425,44.8669356666667,0.581110945083338
"ACAT1","Acat1",27.981588,41.326883,51.020392,423,1692,1035,40.109621,109.114332,109.952951,112.925312,760,1074,1157,4.86418666666667,7.01028520010732
"ACAT2","Acat2",21.793864,27.314291,29.301711,186,906,543,26.136622,119.603573,70.690947,60.766009,2428,1983,1817,33.018719,0.797696762185549
"ACBD3","Acbd3",11.640037,11.430117,12.696939,265,965,610,11.9223643333333,65.899098,64.268898,51.033552,1039,1267,1242,98.9542496666667,0.129282790640994
"ACBD5","Acbd5",36.358403,38.338337,37.022115,721,2219,1388,37.2396183333333,28.434973,21.567845,22.642447,1235,1449,1480,45.053605,0.830328447324229
"ACBD6","Acbd6",35.945392,35.894611,35.871149,188,692,414,35.9037173333333,45.008644,45.056697,44.61445,636,975,991,0.246467,29.6066541138541
"ACBD7","Acbd7",0.489517,0.389686,0.926633,1,3,4,0.601945333333333,1.034596,0.949647,0.691054,40,52,53,6.32523966666667,0.218688453378932
"ACCS","Accs",4.011864,4.156498,4.12503,21,102,76,4.09779733333333,5.273883,5.411674,5.203006,72,100,76,4.16365833333333,0.987245283140667
"ACCSL","Accsl",0,0.036953,0.308815,0,2,4,0.115256,0,0,0,0,0,0,0,1.115256
"ACD","Acd",12.505277,15.687622,17.331572,102,490,312,15.1748236666667,12.408905,8.62736,10.509139,165,217,228,8.747789,1.65933255907228
"ACE","Ace",7.222874,11.540329,13.795783,209,1077,644,10.8529953333333,5.405634,2.557996,4.848241,108,104,195,8.71978533333333,1.219470896408
"ACE2","Ace2",0.85973,0.864133,0.577398,15,60,28,0.767087,0.05341,0,0.099057,1,0,1,0.112139,1.58890840083838
"ACER1","Acer1",0,0.018434,0.02977,0,1,1,0.016068,0.145606,0.072291,0.066789,3,2,2,0,1.016068
"ACER2","Acer2",4.509376,2.843414,1.85398,75,244,99,3.06892333333333,0.989215,1.238033,0.764366,43,73,48,97.1317866666667,0.041463866821814
"ACER3","Acer3",5.509058,6.757561,6.453785,157,709,365,6.24013466666667,5.100368,4.487993,5.453281,507,602,712,2.69759466666667,1.95806607250263
"ACHE","Ache",62.86421,90.196685,78.823217,529,2718,1405,77.294704,150.826048,123.139185,143.64468,4252,4881,6215,40.6284346666667,1.8807986566618
"ACIN1","Acin1",53.375948,57.667286,55.722878,628,2276,1280,55.588704,80.771096,83.773455,54.064282,1809,2688,1954,6.59116366666667,7.45454932667108
"ACKR1","Ackr1",233.645771,184.25091,183.13379,246,1171,640,200.343490333333,5.527193,8.511619,6.913666,150,313,243,202.534186,0.989236718854362
"ACKR2","Ackr2",0.05344,0.027932,0.673087,1,2,1,0.251486333333333,0.648149,0.227417,0.267559,15,14,12,0.24665,1.00387946362919
"ACKR3","Ackr3",2.177535,2.34772,3.084983,44,180,134,2.536746,1.953183,0.627658,0.254604,33,11,7,9.87020466666667,0.32536149120038
"ACKR4","Ackr4",1.74279,0.892203,0.91059,13,41,19,1.181861,0.058436,0.043248,0,2,2,0,65.848697,0.0326387962356245
"ACLY","Acly",62.900693,84.057985,88.066181,1466,6929,3937,78.3416196666667,258.665498,200.768091,176.389823,8902,9754,9291,0,79.3416196666667
"ACMSD","Acmsd",0,0.12895,0.079902,0,6,3,0.0696173333333333,0.069346,0.050982,0.281347,2,2,7,1.74516333333333,0.389637046490251
"ACO1","Aco1",6.130113,9.373893,10.179954,158,755,490,8.56132,12.481148,12.32891,11.425298,956,1358,1328,5.02109066666667,1.58797143728999
"ACO2","Aco2",282.147415,284.798699,303.885091,2956,11701,6722,290.277068333333,69.325062,71.569862,65.685688,2171,3126,3037,5.951061,41.9039724055555
"ACOD1","Acod1",0,0.015449,0,0,1,0,0.00514966666666667,0,0,0,0,0,0,0,1.00514966666667
"ACOT1","Acot3",0.109079,0.207848,0.217536,1,10,7,0.178154333333333,2.514575,1.663513,2.042674,51,52,55,0.020844,1.15409830819727
"ACOT11","Acot11",18.795607,22.115918,27.499553,496,1856,1128,22.8036926666667,1.059936,0.383645,0.558014,60,46,67,0.260889666666667,18.8784897647666
"ACOT12","Acot12",0.049362,0.069376,0.069691,1,3,3,0.0628096666666667,0.137311,0.78691,0.64326,4,17,11,25.126856,0.0406788197809437
"ACOT13","Acot13",91.817633,140.443014,291.317742,173,570,376,174.526129666667,14.096614,5.754241,11.441671,306,262,371,0,175.526129666667
"ACOT2","Acot2",1.585568,1.620148,1.475092,22,79,41,1.56026933333333,9.413227,10.383521,11.05022,97,146,165,0.319983333333333,1.93962246998068
"ACOT4","Acot4",0.107848,1.515178,1.377756,5,43,25,1.00026066666667,0.689296,0.540441,0.531756,24,26,28,6.764273,0.257623690803591
"ACOT6","Acot6",1.879721,2.153377,2.397557,42,175,111,2.14355166666667,0.172208,0.138878,0.065032,2,2,1,8.074458,0.346417567491818
"ACOT7","Acot7",251.136288,215.300178,179.593733,1118,4564,2557,215.343399666667,144.140782,166.680788,158.146086,2648,4286,4367,82.8537123333333,2.58000980095745
"ACOT8","Acot8",10.297145,8.541505,9.081612,50,177,114,9.306754,21.302306,21.395702,21.651743,347,511,489,14.0888376666667,0.683071435168863
"ACOT9","Acot9",5.697424,9.097912,8.198204,61,348,179,7.66451333333333,15.355328,9.120068,8.944808,361,377,386,39.1634526666667,0.215731286979826
"ACOX1","Acox1",43.253675,46.046219,46.908816,1058,3903,2410,45.4029033333333,32.7541,26.088828,22.676301,735,866,739,23.4476393333333,1.89805251544532
"ACOX2","Acox2",0.063548,0.608585,0.661379,1,12,5,0.444504,0.363302,0.170177,0,2,1,0,52.27467,0.0271142740067653
"ACOX3","Acox3",9.973444,19.362258,19.637784,198,866,525,16.3244953333333,12.315552,13.017171,11.277513,264,352,310,17.552448,0.933811825443916
"ACOXL","Acoxl",0.106043,0.028109,0.049084,1,2,1,0.0610786666666667,0.066887,0.263478,0.058643,2,6,3,2.92647966666667,0.270236638603927
"ACP1","Acp1",70.115091,40.378466,30.815997,259,1021,517,47.1031846666667,61.38661,54.776346,47.901782,891,1273,1150,28.7068843333333,1.61926050968231
"ACP2","Acp2",27.545288,17.097309,16.681153,483,1845,1102,20.44125,93.073029,93.19527,67.827959,600,764,662,0.362774666666667,15.7335255229282
"ACP4","Acp4",0.146144,0,0,1,0,0,0.0487146666666667,0.222704,0.198325,0.140824,4,5,4,1.58335133333333,0.405951235952679
"ACP5","Acp5",0,0.131785,0.116811,0,4,2,0.0828653333333333,5.678997,0.947109,4.648666,17,15,26,0.0758826666666667,1.00649017488896
"ACP6","Acp6",3.569569,7.034978,8.482897,33,199,122,6.36248133333333,7.807588,6.333138,5.476793,192,222,243,0.0954383333333333,6.72103678436182
"ACP7","Acp7",0.80189,0.547356,0.878533,3,17,13,0.742593,0.210181,0.206031,0.215597,10,13,14,68.932163,0.0249183340718347
"ACR","Acr",0.262898,0.331001,0.321071,1,11,6,0.30499,0.12567,0.035491,0.308103,1,1,3,7.749376,0.149152350979087
"ACRBP","Acrbp",4.871569,6.490464,4.630272,25,115,59,5.33076833333333,0.628518,0.288323,1.583194,6,4,18,2.33570766666667,1.89787864104398
"ACRV1","Acrv1",0,0.036969,0,0,3,0,0.012323,0.438865,0.108582,0.152571,4,3,4,10.4715193333333,0.0882466367866762
"ACSBG1","Acsbg1",94.207837,117.349815,128.950509,1456,5807,3500,113.502720333333,0.55242,0.59011,0.153687,22,36,23,32.135357,3.45560545291042
"ACSBG2","Acsbg2",0,0.015367,0.027109,0,1,1,0.0141586666666667,0.197015,0.231607,0.314471,2,4,3,56.755104,0.017559637095739
"ACSF2","Acsf2",13.151681,17.421665,16.907815,103,469,261,15.8270536666667,3.790468,0.103387,0.401622,28,1,5,0,16.8270536666667
"ACSF3","Acsf3",6.433811,7.398949,7.850011,91,401,238,7.22759033333333,15.936521,17.370704,11.494527,269,384,286,0,8.22759033333333
"ACSL1","Acsl1",34.24096,29.027217,22.595622,239,1064,585,28.6212663333333,66.084552,37.18949,48.558232,814,835,908,0.416907,20.9055826058685
"ACSL3","Acsl3",164.82735,125.218524,133.505579,1233,3872,2280,141.183817666667,73.488712,65.270923,63.439938,2253,3100,3088,13.892697,9.54721751652281
"ACSL4","Acsl4",15.650734,15.820655,27.954734,343,1313,799,19.8087076666667,54.339586,41.762906,53.930897,3694,4075,4130,6.48624233333333,2.77959311763307
"ACSL5","Acsl5",23.386902,25.908157,26.057943,121,580,317,25.1176673333333,0.142479,0.46299,0.406441,6,13,6,2.978719,6.56434076730056
"ACSL6","Acsl6",139.440799,134.120983,127.066489,2061,7719,4466,133.542757,11.708049,13.623248,10.446289,765,1133,1069,28.4765216666667,4.56440412208293
"ACSM1","Acsm1",0,0,0,0,0,0,0,0,0,0,0,0,0,81.4108533333333,0.0121343240550516
"ACSM2B","Acsm2",0.021506,0.029627,0.030493,1,5,3,0.0272086666666667,0.796975,0.262418,0.897249,9,2,14,2.10627133333333,0.330688647718476
