"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","FoldChange"
"ABCA1","Abca1",5.593241,5.368889,7.020124,345,1291,857,5.99408466666667,1.876267,0.885241,0.804978,396,171,159,25.6683846666667,0.262261278817112
"ABCA13","Abca13",0.017552,0.016355,0.008251,2,7,2,0.0140526666666667,0.174113,0.034944,0.058673,5,3,5,0.328574333333333,0.763263779244067
"ABCA17P","Abca17",0.028519,0.051789,0,1,2,0,0.0267693333333333,0.02167,0.266152,1.014407,2,4,5,0.812543,0.566479986038032
"ABCA2","Abca2",103.919269,141.830863,150.084623,2467,11301,6734,131.944918333333,24.315816,17.365586,16.698512,805,444,402,52.444161,2.48754804726625
"ABCA3","Abca3",14.196218,14.904171,16.151148,510,2327,1416,15.0838456666667,2.864033,2.329955,1.427765,295,201,155,1.15103666666667,7.47725313840923
"ABCA4","Abca4",3.31164,3.390653,2.172063,59,262,184,2.95811866666667,0.012157,0.012809,0,1,1,0,31.344221,0.122374833719652
"ABCA5","Abca5",13.295437,11.964834,10.439489,513,2184,1254,11.89992,4.156998,3.19961,2.228167,168,152,100,13.4566326666667,0.892318446310388
"ABCA6","Abca6",0.473301,0.609906,0.589233,17,75,45,0.55748,0.307074,0.113031,0.186072,11,7,9,214.166965,0.00723847176075565
"ABCA7","Abca7",6.006372,6.820605,6.873234,281,1214,685,6.566737,11.353326,7.85688,8.990523,435,267,221,0.009045,7.49890936479543
"ABCA8","Abca8b",3.153485,3.895227,4.491881,163,747,478,3.84686433333333,3.234198,1.719767,1.436738,96,64,65,61.5321443333333,0.0775099652347867
"ABCA9","Abca9",1.270159,1.202612,1.247372,56,199,117,1.24004766666667,0.287344,0.110486,0.190728,11,7,5,23.8153686666667,0.0902685628715087
"ABCB1","Abcb1a",27.54529,43.96477,12.947455,267,1104,708,28.152505,0.03239,0.180298,0.191402,3,5,3,1.137784,13.6367869719298
"ABCB10","Abcb10",6.396777,7.750892,7.766959,180,805,458,7.304876,4.005154,2.663769,2.895076,137,128,111,1.70077,3.07500305468441
"ABCB11","Abcb11",0,0,0,0,0,0,0,0.266721,0.007328,0.0069,3,1,1,5.94528533333333,0.143982565439116
"ABCB4","Abcb4",0.981707,0.995733,1.250511,17,64,51,1.07598366666667,11.373936,10.12465,10.942716,248,158,162,13.3101653333333,0.145070557768538
"ABCB5","Abcb5",0,0.027506,0,0,1,0,0.00916866666666667,0.238192,0,0.073851,1,0,5,20.783434,0.0463273452049235
"ABCB6","Abcb6",10.008954,6.259513,8.472193,70,339,192,8.24688666666666,8.326215,7.061364,8.704006,123,101,86,134.693941333333,0.0681451697533909
"ABCB7","Abcb7",11.190542,11.707649,12.115453,431,1655,976,11.6712146666667,13.831658,11.114692,9.446497,350,248,280,0.630597333333333,7.77090358706993
"ABCB8","Abcb8",15.25636,20.988503,21.001584,152,712,401,19.082149,11.02178,6.985446,5.674411,471,342,268,0.0341556666666667,19.4188840687105
"ABCB9","Abcb9",17.894203,17.928554,14.740825,208,975,536,16.8545273333333,4.324097,2.790693,3.029996,187,127,124,0.289378,13.8473956693331
"ABCC1","Abcc1",13.812049,12.232982,11.724043,122,577,317,12.5896913333333,4.111846,2.414281,2.166516,483,341,276,0.104014333333333,12.309343205991
"ABCC10","Abcc10",1.510449,2.511756,2.606775,37,240,138,2.20966,14.897475,9.350053,15.513101,250,167,160,0,3.20966
"ABCC12","Abcc12",1.138639,1.50393,1.752502,20,105,71,1.46502366666667,0.174113,0,0.046512,1,0,1,13.957216,0.164804978858811
"ABCC2","Abcc2",0.035961,0.118254,0.016838,2,5,2,0.0570176666666667,0.206724,0.320286,0.182112,3,4,1,0.0342316666666667,1.02203181427759
"ABCC3","Abcc3",0.723344,0.342288,0.608015,4,17,10,0.557882333333333,0.348225,0.325404,0.504307,2,3,3,0,1.55788233333333
"ABCC5","Abcc5",84.855585,97.027185,94.560298,703,3269,1802,92.1476893333333,26.815209,20.139758,16.661965,1688,1220,1081,12.58667,6.85581451034973
"ABCC6","Abcc6",4.55294,0.592951,0.217231,22,47,16,1.78770733333333,2.370812,3.482122,1.641663,98,80,51,8.88939033333333,0.281888694790117
"ABCC9","Abcc9",2.793501,2.280107,2.219166,120,438,241,2.43092466666667,5.937915,4.245439,2.802442,581,434,370,0,3.43092466666667
"ABCD1","Abcd1",2.605473,3.036115,3.167152,60,263,160,2.93624666666667,9.855316,6.357848,6.647314,690,437,443,14.570826,0.252796265700141
"ABCD2","Abcd2",23.27771,33.025179,31.912742,417,1487,943,29.4052103333333,0.210704,0.12733,0.165506,19,13,17,1.20856033333333,13.7669819902286
"ABCD3","Abcd3",25.762613,25.372644,25.767711,537,2125,1219,25.6343226666667,10.323186,7.852999,5.423063,539,489,336,0,26.6343226666667
"ABCD4","Abcd4",4.797787,5.916789,4.686713,66,317,152,5.133763,36.841234,32.142947,25.91358,577,476,396,0.035787,5.92183817715418
"ABCE1","Abce1",21.471621,21.878849,23.233798,536,2036,1236,22.194756,25.279482,10.850918,4.462396,450,444,265,18.7739536666667,1.17299536506449
"ABCF1","Abcf1",62.771934,40.780579,54.400409,408,1580,966,52.650974,30.647549,12.146954,19.277681,895,681,599,8.455803,5.67386757105663
"ABCF2","Abcf2",35.004874,31.624163,32.51526,585,2023,1175,33.048099,6.164294,6.22041,10.611419,480,500,342,1.52677933333333,13.474900063823
"ABCF3","Abcf3",165.753745,270.992357,262.995844,349,1659,960,233.247315333333,42.225453,35.384299,25.704264,787,609,496,90.6919753333333,2.55471991394841
"ABCG1","Abcg1",29.852875,28.362905,37.823919,513,2100,1285,32.013233,4.885127,3.443918,3.219942,306,199,192,16.9057156666667,1.84372597077801
"ABCG2","Abcg2",17.188758,17.152966,20.431548,142,476,266,18.2577573333333,0.576877,0.198017,0.199392,10,14,4,7.015284,2.40262944311559
"ABCG5","Abcg5",0,0.0174,0.094988,0,1,2,0.0374626666666667,0,0.01593,0,0,1,0,10.5729776666667,0.0896452664602337
"ABCG8","Abcg8",0,0.017747,0,0,1,0,0.00591566666666667,0.035989,0.06211,0.039485,4,5,3,7.553478,0.11760311614371
"ABHD1","Abhd1",0.959765,1.019278,1.583523,7,31,26,1.187522,0.548215,0.837679,0.573511,17,19,15,12.967623,0.156613763129202
"ABHD10","Abhd10",15.744209,13.053989,13.082247,155,575,337,13.9601483333333,4.682414,3.63352,2.996599,164,141,99,6.34839,2.0358402770312
"ABHD11","Abhd11",10.616167,13.349118,17.343117,58,295,193,13.7694673333333,16.413349,19.071503,13.597818,302,309,281,0,14.7694673333333
"ABHD12","Abhd12",194.435324,224.464164,226.37899,1076,4396,2480,215.092826,31.484105,29.04836,22.06709,638,567,468,0.107916333333333,195.044354432299
"ABHD13","Abhd13",8.065108,8.209743,8.759599,280,1053,639,8.34481666666667,1.172633,1.326137,0.716184,82,109,59,8.10472266666667,1.0263702705497
"ABHD14A","Abhd14a",9.111682,11.625296,10.462999,55,273,135,10.3999923333333,8.546513,7.684425,5.406513,139,127,86,2.20865933333333,3.55288335377455
"ABHD14B","Abhd14b",9.900957,11.07616,10.725091,59,304,184,10.5674026666667,8.124944,8.387924,5.480449,292,279,180,11.920216,0.895294836144122
"ABHD15","Abhd15",0.570942,0.544336,0.246583,10,30,9,0.453953666666667,1.644095,1.578787,1.43262,123,111,101,57.0980066666667,0.025025878684765
"ABHD16A","Abhd16a",84.799733,87.707752,104.500541,575,2204,1387,92.3360086666667,19.452254,20.109003,15.952975,486,433,358,0.04322,89.4691519206559
"ABHD16B","Abhd16b",0,0.023675,0,0,1,0,0.00789166666666667,0,0,0,0,0,0,8.18705733333333,0.109707780206154
"ABHD17A","Abhd17a",50.597266,51.472563,50.283643,341,1219,660,50.7844906666667,21.413135,20.573032,17.57639,715,597,525,4.32983033333333,9.71597357289235
"ABHD17B","Abhd17b",18.422878,19.350962,20.248798,254,954,572,19.3408793333333,2.046774,1.634046,1.489593,103,84,78,3.44931766666667,4.57168511156729
"ABHD17C","Abhd17c",8.088749,7.811635,8.308212,110,387,234,8.069532,1.848624,2.204347,1.707873,50,65,54,1.76255833333333,3.28301918209872
"ABHD18","Abhd18",4.632635,4.799454,5.02948,98,410,194,4.820523,8.712244,6.827573,4.421348,367,326,288,0.113742,5.22609634906468
"ABHD2","Abhd2",11.033863,14.096476,15.211377,518,2535,1550,13.4472386666667,3.332886,2.82704,2.375777,614,430,406,38.1171863333333,0.369332255739355
"ABHD3","Abhd3",55.682784,53.328998,62.270616,427,1662,1021,57.0941326666667,2.331696,3.741765,1.156728,72,76,34,32.086452,1.75582841782693
"ABHD4","Abhd4",31.723046,34.102686,39.716449,385,1661,1007,35.180727,15.0237,23.747182,16.357654,409,343,303,4.40507566666667,6.69384283056907
"ABHD5","Abhd5",21.566522,17.853184,20.208764,143,531,290,19.8761566666667,7.210165,4.691474,4.783658,177,215,128,10.395547,1.83195740113806
"ABHD6","Abhd6",17.385249,17.188792,18.917148,233,860,531,17.8303963333333,2.357982,2.891814,1.502824,64,48,45,0.079272,17.4473129418102
"ABHD8","Abhd8",65.067793,67.246917,70.625685,840,3106,1873,67.6467983333333,4.748047,3.701303,3.322699,184,148,137,0.0717826666666667,64.0491775695819
"ABI1","Abi1",61.894673,67.568242,60.34268,492,1777,1100,63.2685316666667,10.258949,6.855637,7.216852,359,321,284,27.1435236666667,2.28359932565184
"ABI2","Abi2",21.449798,32.690883,39.515265,634,2558,1589,31.2186486666667,21.727203,10.892244,9.493522,933,760,670,22.248018,1.38586647114032
"ABI3","Abi3",0.868416,1.488242,0.946114,10,26,22,1.100924,0.029558,0.160231,0.222847,1,5,7,0.849044666666667,1.1362213351976
"ABITRAM","Abitram",7.381211,4.320135,5.156999,87,384,238,5.61944833333333,13.449005,10.517363,5.073883,184,198,136,15.4211246666667,0.40310566223093
"ABL1","Abl1",17.901029,13.698011,17.087719,305,1363,769,16.2289196666667,7.760499,5.097737,3.86969,787,524,458,6.07615,2.43478723128632
"ABL2","Abl2",4.995949,5.682749,8.350547,342,1365,865,6.34308166666667,1.446018,0.98648,1.194757,315,194,136,0,7.34308166666667
"ABLIM1","Ablim1",34.801176,35.93125,43.941288,1345,5168,3521,38.2245713333333,59.262507,38.678189,34.133185,7498,5439,4652,1.242575,17.4908626615981
"ABLIM2","Ablim2",45.109793,56.693162,60.767226,382,1889,1015,54.1900603333333,6.864886,5.835002,6.004859,163,143,105,0.375775,40.1156150775623
"ABLIM3","Ablim3",9.713718,10.446052,13.010561,280,1148,806,11.056777,1.439051,0.939932,0.795889,79,55,65,0,12.056777
"ABO","Abo",0,0.04772,0,0,2,0,0.0159066666666667,0.108377,0.428422,0.100191,15,12,11,32.133593,0.0306609267116508
"ABR","Abr",72.847619,78.817078,72.995401,1670,6447,3704,74.8866993333333,137.5781,52.298863,84.704982,1454,973,842,58.4552836666667,1.27636594518308
"ABRA","Abra",0.104979,0.014323,0.024908,2,1,1,0.04807,1.22541,0.904378,0.700678,55,43,33,0.143714666666667,0.916373664293892
"ABRACL","Abracl",23.553344,24.607412,18.383949,18,67,32,22.1815683333333,1.304502,3.067132,2.188819,11,29,19,2.930831,5.89737089519578
"ABRAXAS1","Abraxas1",2.527091,2.89354,2.878353,15,97,65,2.766328,1.870927,1.13124,1.242214,62,58,36,0.970076,1.91176787088417
"ABRAXAS2","Abraxas2",17.910056,12.732544,10.244335,210,637,376,13.6289783333333,2.908321,2.115077,1.946772,158,120,108,19.409946,0.716757326713816
"ABT1","Abt1",2.169662,2.135689,2.150485,66,245,139,2.15194533333333,3.32542,2.791458,2.174212,199,168,128,1.20228266666667,1.43121742773559
"ABTB1","Abtb1",20.252164,25.862883,30.335142,130,636,382,25.4833963333333,4.435767,2.908722,2.928956,118,103,97,117.910354,0.222717328159105
"ABTB2","Abtb2",4.467642,5.02184,4.513611,139,562,291,4.66769766666667,6.950399,6.045716,4.152189,790,633,438,0.0212173333333333,5.54994268278512
"ACAA1","Acaa1b",0.263199,0.567147,0.28493,3,22,6,0.371758666666667,73.219918,69.137641,52.278734,1732,1479,1295,0.441026,0.951931933682436
"ACAA2","Acaa2",16.960302,15.003065,16.159893,87,361,209,16.0410866666667,33.764452,29.686524,22.134757,1017,904,664,19.4534313333333,0.833165173556698
"ACACA","Acaca",19.485886,15.979125,16.156752,704,2629,1715,17.2072543333333,7.1497,4.870629,6.747958,693,417,430,0.974021333333333,9.22343341780839
"ACACB","Acacb",2.347324,2.448333,1.442423,63,283,136,2.07936,26.02878,14.841445,7.767875,1315,753,655,1.045542,1.50540052465312
"ACAD10","Acad10",0.953402,2.089012,1.322435,20,83,38,1.45494966666667,20.02537,13.653281,10.050915,659,558,399,14.3326123333333,0.160112941832461
"ACAD11","Acad11",11.510665,10.029851,9.42974,198,617,402,10.3234186666667,6.08628,6.516346,6.250521,364,279,315,9.801573,1.04831200665557
"ACAD8","Acad8",22.587965,18.479586,22.129273,169,624,442,21.065608,17.886304,13.41606,11.385466,633,534,433,0.348885333333333,16.3584016036945
"ACAD9","Acad9",33.288168,40.760278,41.790665,258,1076,590,38.613037,9.950716,8.300763,6.289277,369,346,279,0.00452933333333333,39.4344253428139
"ACADL","Acadl",23.989554,27.786441,27.839466,286,1063,571,26.538487,0.430319,0.363646,0.199827,20,21,12,19.283423,1.35768440070495
"ACADM","Acadm",53.479148,49.461303,49.645235,187,658,428,50.8618953333333,55.824798,42.128201,34.763102,1043,919,796,0.271208333333333,40.7973217083484
"ACADS","Acads",7.376174,4.693633,4.113654,41,181,88,5.394487,15.466497,14.289382,12.849752,587,501,461,11.872711,0.496747499419508
"ACADSB","Acadsb",192.571336,128.986745,179.660881,434,1410,912,167.072987333333,6.230585,3.533107,3.515221,558,395,389,0.199794666666667,140.084792842331
"ACADVL","Acadvl",27.327889,26.55274,25.529242,288,1140,639,26.469957,539.418883,513.721339,438.661315,4271,3691,3049,17.5133453333333,1.4837921783126
"ACAN","Acan",1.886721,2.604057,2.264707,54,340,200,2.25182833333333,0,0.022851,0,0,2,0,3.04950066666667,0.803019582167415
"ACAP1","Acap1",0,0.039392,0.070892,0,2,3,0.0367613333333333,14.853065,11.82895,6.245988,42,44,28,0.534163333333333,0.675782891434854
"ACAP2","Acap2",22.737422,25.4554,28.768513,509,2068,1130,25.6537783333333,2.720509,0.953916,0.841565,159,108,106,26.4081756666667,0.972475463434408
"ACAT1","Acat1",27.981588,41.326883,51.020392,423,1692,1035,40.109621,106.632562,103.500411,97.170077,946,923,785,5.969076,5.8988624890875
"ACAT2","Acat2",21.793864,27.314291,29.301711,186,906,543,26.136622,7.765272,8.394048,3.664681,210,229,100,22.2122423333333,1.16906508256771
"ACBD3","Acbd3",11.640037,11.430117,12.696939,265,965,610,11.9223643333333,26.857783,13.437707,11.62415,382,312,276,94.706676,0.135020511352137
"ACBD5","Acbd5",36.358403,38.338337,37.022115,721,2219,1388,37.2396183333333,7.618894,5.044549,4.657079,439,324,287,24.477655,1.50090808331196
"ACBD6","Acbd6",35.945392,35.894611,35.871149,188,692,414,35.9037173333333,23.154423,24.794667,23.033485,532,463,433,0.176179,31.3759362591352
"ACBD7","Acbd7",0.489517,0.389686,0.926633,1,3,4,0.601945333333333,0.572654,0.568327,0.510339,37,38,33,6.53185033333333,0.21268948033177
"ACCS","Accs",4.011864,4.156498,4.12503,21,102,76,4.09779733333333,8.564602,4.575821,7.352098,163,107,122,12.768286,0.37025649622134
"ACCSL","Accsl",0,0.036953,0.308815,0,2,4,0.115256,0,0,0,0,0,0,0.00512366666666667,1.10957092841975
"ACD","Acd",12.505277,15.687622,17.331572,102,490,312,15.1748236666667,6.047245,4.588355,4.00999,85,83,68,8.21773166666667,1.754750979046
"ACE","Ace",7.222874,11.540329,13.795783,209,1077,644,10.8529953333333,1.157448,0.481306,0.687591,31,27,17,3.13386766666667,2.86728949475322
"ACE2","Ace2",0.85973,0.864133,0.577398,15,60,28,0.767087,0.292,0.608641,1.089188,17,9,22,0.00736633333333333,1.75416523416341
"ACER1","Acer1",0,0.018434,0.02977,0,1,1,0.016068,0,0,0,0,0,0,0,1.016068
"ACER2","Acer2",4.509376,2.843414,1.85398,75,244,99,3.06892333333333,0.086941,0.071304,0.036141,5,4,2,18.880558,0.20466846721975
"ACER3","Acer3",5.509058,6.757561,6.453785,157,709,365,6.24013466666667,5.889447,3.785697,2.608854,373,369,276,0.568908666666667,4.61475853916289
"ACHE","Ache",62.86421,90.196685,78.823217,529,2718,1405,77.294704,0.074404,0.220625,0.154447,5,9,7,25.9771216666667,2.9022630719252
"ACIN1","Acin1",53.375948,57.667286,55.722878,628,2276,1280,55.588704,48.187336,30.018075,26.134553,1665,1167,1053,0,56.588704
"ACKR1","Ackr1",233.645771,184.25091,183.13379,246,1171,640,200.343490333333,0,0,0,0,0,0,34.58212,5.65855801546769
"ACKR2","Ackr2",0.05344,0.027932,0.673087,1,2,1,0.251486333333333,2.083034,1.740608,0.931254,43,37,20,0.056822,1.18419784347159
"ACKR3","Ackr3",2.177535,2.34772,3.084983,44,180,134,2.536746,4.479841,2.665596,2.943872,125,78,87,0.0230306666666667,3.45712608159026
"ACKR4","Ackr4",1.74279,0.892203,0.91059,13,41,19,1.181861,0,0,0,0,0,0,27.5920056666667,0.0763101765380409
"ACLY","Acly",62.900693,84.057985,88.066181,1466,6929,3937,78.3416196666667,20.336467,13.559479,13.590368,1109,844,693,0.014085,78.2396146937058
"ACMSD","Acmsd",0,0.12895,0.079902,0,6,3,0.0696173333333333,0.044606,0.168465,0.027939,1,1,1,2.473935,0.307897912117911
"ACO1","Aco1",6.130113,9.373893,10.179954,158,755,490,8.56132,8.895559,7.661565,6.460032,708,594,504,23.015551,0.39813036144788
"ACO2","Aco2",282.147415,284.798699,303.885091,2956,11701,6722,290.277068333333,146.738618,107.939366,96.620982,7447,5908,4897,0.216119666666667,239.513492230342
"ACOD1","Acod1",0,0.015449,0,0,1,0,0.00514966666666667,0,0,0,0,0,0,0,1.00514966666667
"ACOT1","Acot3",0.109079,0.207848,0.217536,1,10,7,0.178154333333333,6.652744,7.561148,4.666439,192,191,127,0.0160763333333333,1.15951360609718
"ACOT11","Acot11",18.795607,22.115918,27.499553,496,1856,1128,22.8036926666667,20.174206,15.320592,11.474642,1325,899,708,0.0559843333333333,22.5417100569358
"ACOT12","Acot12",0.049362,0.069376,0.069691,1,3,3,0.0628096666666667,0.102651,0,0,1,0,0,10.6504483333333,0.091224786914495
"ACOT13","Acot13",91.817633,140.443014,291.317742,173,570,376,174.526129666667,28.624228,30.396445,27.420034,613,576,520,0.006508,174.391191790494
"ACOT2","Acot2",1.585568,1.620148,1.475092,22,79,41,1.56026933333333,88.207517,93.696934,77.668179,1144,999,964,0.306412,1.95977175143319
"ACOT4","Acot4",0.107848,1.515178,1.377756,5,43,25,1.00026066666667,0.124947,0.174781,0.261237,6,8,12,3.80938333333333,0.415907929984094
"ACOT6","Acot6",1.879721,2.153377,2.397557,42,175,111,2.14355166666667,0.188194,0,0.040322,5,0,1,12.6457773333333,0.230368090426606
"ACOT7","Acot7",251.136288,215.300178,179.593733,1118,4564,2557,215.343399666667,18.509861,18.078012,11.411107,521,479,300,33.1908626666667,6.32752094545962
"ACOT8","Acot8",10.297145,8.541505,9.081612,50,177,114,9.306754,14.918157,12.104523,11.463739,289,242,204,1.29594133333333,4.48911905995275
"ACOT9","Acot9",5.697424,9.097912,8.198204,61,348,179,7.66451333333333,29.935853,23.797934,22.855973,918,759,709,2.03923233333333,2.85088877158344
"ACOX1","Acox1",43.253675,46.046219,46.908816,1058,3903,2410,45.4029033333333,26.743277,25.166,14.165662,569,533,438,18.3481623333333,2.39831062681284
"ACOX2","Acox2",0.063548,0.608585,0.661379,1,12,5,0.444504,17.904677,19.718667,13.035042,296,273,205,38.0836203333333,0.0369593192155749
"ACOX3","Acox3",9.973444,19.362258,19.637784,198,866,525,16.3244953333333,11.241262,6.789727,5.371668,239,160,120,2.683347,4.70346544415537
"ACOXL","Acoxl",0.106043,0.028109,0.049084,1,2,1,0.0610786666666667,0.725081,0.07677,0.356086,14,3,7,17.4300403333333,0.0575733230896709
"ACP1","Acp1",70.115091,40.378466,30.815997,259,1021,517,47.1031846666667,30.223411,32.418039,30.824921,582,628,585,19.0402076666667,2.40033364258384
"ACP2","Acp2",27.545288,17.097309,16.681153,483,1845,1102,20.44125,43.214406,45.839884,42.704658,569,466,395,0,21.44125
"ACP4","Acp4",0.146144,0,0,1,0,0,0.0487146666666667,0,0.080253,0,0,2,0,3.587013,0.228626922720007
"ACP5","Acp5",0,0.131785,0.116811,0,4,2,0.0828653333333333,0.224677,1.062225,0,1,4,0,0.19397,0.906945177293679
"ACP6","Acp6",3.569569,7.034978,8.482897,33,199,122,6.36248133333333,5.616296,6.558338,5.860511,182,148,113,0.334708,5.51617382478664
"ACP7","Acp7",0.80189,0.547356,0.878533,3,17,13,0.742593,0.015824,0.016768,0.030042,1,1,2,93.1555226666667,0.0185076026413151
"ACR","Acr",0.262898,0.331001,0.321071,1,11,6,0.30499,0,0.037509,0.037908,0,1,1,2.11296733333333,0.4192109522083
"ACRBP","Acrbp",4.871569,6.490464,4.630272,25,115,59,5.33076833333333,0.3985,0.030659,0.225437,4,1,2,0.842184333333333,3.43655529947872
"ACRV1","Acrv1",0,0.036969,0,0,3,0,0.012323,0.027065,0.168649,0.254211,1,3,3,0.138813666666667,0.888927688199504
"ACSBG1","Acsbg1",94.207837,117.349815,128.950509,1456,5807,3500,113.502720333333,0.540764,0.319036,0.523883,30,21,25,19.5671083333333,5.56727365255122
"ACSBG2","Acsbg2",0,0.015367,0.027109,0,1,1,0.0141586666666667,0.522338,0.103219,0.103778,4,1,1,21.4794623333333,0.0451148987297101
"ACSF2","Acsf2",13.151681,17.421665,16.907815,103,469,261,15.8270536666667,61.978687,54.648487,53.059789,577,446,412,0,16.8270536666667
"ACSF3","Acsf3",6.433811,7.398949,7.850011,91,401,238,7.22759033333333,19.299129,13.763293,10.433563,273,225,190,0,8.22759033333333
"ACSL1","Acsl1",34.24096,29.027217,22.595622,239,1064,585,28.6212663333333,43.878419,27.152981,30.101182,716,624,486,0.0304663333333333,28.7454964564587
"ACSL3","Acsl3",164.82735,125.218524,133.505579,1233,3872,2280,141.183817666667,71.523045,48.918818,50.907122,1224,1079,919,3.02931966666667,35.2873014377365
"ACSL4","Acsl4",15.650734,15.820655,27.954734,343,1313,799,19.8087076666667,36.054531,15.661033,10.428141,1246,833,675,0.272184333333333,16.3566765612845
"ACSL5","Acsl5",23.386902,25.908157,26.057943,121,580,317,25.1176673333333,0.1358,0,0.182111,3,0,1,13.169485,1.84323335204726
"ACSL6","Acsl6",139.440799,134.120983,127.066489,2061,7719,4466,133.542757,0.165731,0.038947,0.026724,5,3,2,1.68527833333333,50.1038403840198
"ACSM1","Acsm1",0,0,0,0,0,0,0,0,0.159858,0,0,2,0,20.803934,0.0458632832038475
"ACSM2B","Acsm2",0.021506,0.029627,0.030493,1,5,3,0.0272086666666667,0,0.111241,0,0,2,0,7.360807,0.122859990269679
"ACSM3","Acsm3",0.578683,7.953216,0.307985,1,9,5,2.946628,1.027824,2.197071,1.355443,11,13,11,0.0667716666666667,3.69959957066726
"ACSM4","Acsm4",0,0,0,0,0,0,0,0,0,0,0,0,0,3.68238533333333,0.213566361760345
