"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","FoldChange"
"ALDH16A1","Aldh16a1",24.837762,30.215643,33.694059,34,171,116,29.582488,7.020691,5.439662,7.550091,79,84,84,14.7534466666667,1.94132043908275
"ALDH18A1","Aldh18a1",31.19767,15.172856,15.08392,152,527,349,20.4848153333333,21.590621,16.456647,21.834556,491,500,364,3.27386266666667,5.0270252015585
"ALDH1A1","Aldh1a7",0.15518,0.269361,0.256631,2,13,7,0.227057333333333,0,0.184901,0,0,1,0,1.483124,0.494158702236913
"ALDH1A2","Aldh1a2",3.388512,3.667742,3.177226,49,202,99,3.41116,1.450723,2.741328,1.307791,20,21,8,0.0121876666666667,4.35804559299445
"ALDH1A3","Aldh1a3",2.146421,0.59219,0.753528,15,32,21,1.16404633333333,1.021845,1.762817,0.377911,31,55,7,23.48524,0.0883816672139351
"ALDH1B1","Aldh1b1",1.017632,2.417772,2.642337,15,54,53,2.02591366666667,8.160654,8.841261,10.26989,323,382,289,0.0422463333333333,2.90326151303323
"ALDH1L1","Aldh1l1",34.531031,39.379414,35.763261,352,1446,870,36.557902,1.576532,0.989197,1.559955,52,48,38,0,37.557902
"ALDH1L2","Aldh1l2",4.388381,3.95483,4.934136,74,313,167,4.42578233333333,8.872782,8.136391,8.021172,681,738,550,8.45015933333333,0.574147180163946
"ALDH2","Aldh2",65.283929,77.403924,72.506477,426,1756,931,71.7314433333333,43.044343,45.009668,53.096047,965,1078,818,1.88754966666667,25.1879453963793
"ALDH3A1","Aldh3a1",0.283109,0.29521,0.522312,3,12,12,0.366877,0,0,0,0,0,0,8.58995833333333,0.142532110410629
"ALDH3A2","Aldh3a2",31.17744,35.273232,37.676315,325,1374,823,34.7089956666667,78.587487,92.283676,93.51706,1014,1130,911,69.9519963333333,0.503283875183799
"ALDH3B1","Aldh3b1",1.24347,1.964397,2.751831,15,91,44,1.986566,0.169604,0.233143,0.127773,9,6,7,1.88914266666667,1.03372049932229
"ALDH3B2","Aldh3b3",0,0,0.018038,0,0,1,0.00601266666666667,0,0,0,0,0,0,7.326957,0.120813962011172
"ALDH4A1","Aldh4a1",7.010492,7.610575,8.034844,160,597,366,7.55197033333333,9.328149,9.454594,15.588347,262,342,283,8.71339433333333,0.880430675401043
"ALDH5A1","Aldh5a1",19.751522,19.860127,20.621745,757,2851,1678,20.077798,16.888835,21.158789,20.167383,944,1112,762,40.2548443333333,0.510916919954766
"ALDH6A1","Aldh6a1",25.630913,23.357302,24.455446,497,1859,1135,24.4812203333333,4.115676,4.775035,3.866112,169,213,144,0,25.4812203333333
"ALDH7A1","Aldh7a1",58.492779,55.161584,65.096252,427,1561,912,59.5835383333333,127.097311,188.093233,161.066585,791,849,698,0.484592333333333,40.8081983000047
"ALDH8A1","Aldh8a1",0,0,0.064345,0,0,2,0.0214483333333333,2.744989,3.273583,3.556828,36,48,37,20.7788653333333,0.0469008976225208
"ALDH9A1","Aldh9a1",18.803962,17.33731,16.068225,240,915,551,17.4031656666667,9.851389,14.418611,14.330603,179,253,166,12.0161973333333,1.41386652302342
"ALDOA","Aldoa",609.714503,691.520953,703.740219,4736,20633,11610,668.325225,692.573548,848.581006,716.557895,3527,4646,2512,19.788786,32.1964555794648
"ALDOB","Aldob",0.078892,1.066087,0.628054,1,26,11,0.591011,0.398158,0.392327,0.253215,7,5,2,260.920074,0.00607441413597035
"ALDOC","Aldoc",2131.322699,2172.094615,2224.257423,7749,32305,19573,2175.891579,35.29477,55.55213,31.271853,564,971,388,121.462534666667,17.77598009812
"ALG1","Alg1",14.921554,13.124537,15.914326,85,390,253,14.6534723333333,8.370677,8.747334,9.020197,202,202,150,28.4262806666667,0.531955516589128
"ALG10B","Alg10b",6.213567,6.420566,8.085496,282,1090,780,6.906543,1.499899,1.327284,1.285318,195,181,120,29.514859,0.259104687326263
"ALG11","Alg11",13.832788,11.393262,12.567626,268,1010,582,12.597892,8.449736,7.282787,8.505174,281,349,177,0,13.597892
"ALG12","Alg12",4.411932,4.865675,4.184343,53,207,83,4.48731666666667,5.887162,6.521395,5.04394,117,178,109,8.06879233333333,0.605076890612815
"ALG13","Alg13",7.55175,5.933032,8.527008,51,170,116,7.33726333333333,43.848554,76.880712,51.229796,306,343,252,27.108776,0.296607128440361
"ALG14","Alg14",12.911855,21.045973,15.944881,114,345,200,16.6342363333333,14.902676,27.564239,8.734431,127,147,121,3.57248233333333,3.85660021139502
"ALG2","Alg2",64.249687,60.801623,64.114403,919,3470,1878,63.0552376666667,8.164296,9.018977,9.90856,213,242,160,0.927378333333333,33.2343871251709
"ALG3","Alg3",4.884505,4.453808,5.073042,39,137,89,4.803785,13.559191,15.147595,19.77063,119,154,114,0.987849666666667,2.9196297372588
"ALG5","Alg5",7.366064,9.207916,8.616424,64,294,168,8.39680133333333,16.524411,15.194166,14.480284,189,190,110,210.438884666667,0.0444421627939789
"ALG6","Alg6",9.608821,5.680203,4.277244,82,273,147,6.52208933333333,5.689016,6.27511,7.116394,118,126,91,18.4273463333333,0.387190777591017
"ALG8","Alg8",2.737104,2.910936,3.082831,11,86,59,2.91029033333333,32.475717,32.388608,35.411742,214,216,149,0,3.91029033333333
"ALG9","Alg9",20.400565,30.988967,34.846716,82,324,188,28.745416,25.900908,13.218205,25.287722,496,486,410,8.29646066666667,3.19964952970274
"ALK","Alk",0.976198,0.96315,0.952286,34,122,72,0.963878,11.523745,10.864233,16.596601,644,685,629,3.61688866666667,0.425368281929548
"ALKAL1","Alkal1",0,0,0,0,0,0,0,0,0.095135,0,0,1,0,58.2811496666667,0.0168687686663117
"ALKAL2","Alkal2",0.113847,0.068264,0,1,2,0,0.0607036666666667,0.991598,0.79115,1.852849,4,4,7,19.6111426666667,0.0514626328011444
"ALKBH1","Alkbh1",4.046668,7.127799,5.200598,62,285,155,5.458355,8.219845,6.338352,6.794376,125,113,90,11.972702,0.497841929923311
"ALKBH2","Alkbh2",3.321652,3.278863,4.04001,12,60,33,3.54684166666667,8.011788,11.683517,11.871759,72,108,58,93.9460603333333,0.0478886817494457
"ALKBH3","Alkbh3",11.185319,15.969115,16.648004,38,229,113,14.6008126666667,22.300047,26.899426,27.01202,124,168,105,4.04467866666667,3.09252852312496
"ALKBH4","Alkbh4",2.812237,3.492381,5.420656,27,116,86,3.90842466666667,6.752983,5.006221,6.064736,109,129,98,4.421723,0.905325607130181
"ALKBH5","Alkbh5",11.963199,15.063935,17.43488,474,1790,1141,14.8206713333333,14.941466,17.358053,16.481373,449,590,385,7.06482233333333,1.96168876131886
"ALKBH6","Alkbh6",28.445639,38.478251,30.634352,119,509,265,32.519414,14.403159,22.068394,22.457653,154,195,122,11.3889483333333,2.70558994178817
"ALKBH7","Alkbh7",16.249556,18.031453,17.113841,74,248,162,17.1316166666667,22.061485,24.244047,29.271143,99,143,96,0.557508,11.6414276309763
"ALKBH8","Alkbh8",11.001328,8.246907,13.716077,244,954,617,10.988104,4.755949,4.991086,3.957013,199,216,143,8.63464466666667,1.24427048580999
"ALLC","Allc",0,0,0,0,0,0,0,0,0.139412,0.084263,0,1,1,31.023092,0.0312274654802228
"ALMS1","Alms1",3.747423,3.930088,4.86493,254,943,685,4.18081366666667,20.51199,13.673274,16.093029,239,165,147,12.3016253333333,0.389487264664098
"ALOX12","Alox12",0.100907,0.250592,0.375604,2,18,14,0.242367666666667,0.205279,0.788444,0.769817,3,12,3,1.866857,0.433355296991328
"ALOX12B","Alox12b",0.127386,0.249015,0.352952,2,15,12,0.243117666666667,0.358802,1.292794,0.397729,5,7,1,10.2310383333333,0.110685907194986
"ALOX15","Alox15",0,0,0,0,0,0,0,0.308787,0.106074,0.047189,4,4,1,2.89008366666667,0.257063879774308
"ALOX15B","Alox8",1.998384,1.744286,2.162488,18,123,79,1.968386,0.04589,0.191042,0,1,7,0,52.2703113333333,0.0557230833780122
"ALOX5","Alox5",0.550906,0.413347,0.223393,1,9,3,0.395882,4.338596,4.52403,0.997477,72,53,13,2.32198833333333,0.420194732772993
"ALOX5AP","Alox5ap",4.850449,3.277588,7.013991,10,35,27,5.04734266666667,0.107359,0,0,1,0,0,79.5531553333333,0.0750726975453964
"ALOXE3","Aloxe3",3.338823,3.762964,3.23462,21,130,59,3.445469,0.694103,0.555122,0.585766,13,22,8,16.3317806666667,0.256492341179331
"ALPK1","Alpk1",0.931658,0.603361,0.668385,16,67,35,0.734468,0.21189,0.916952,0.691726,11,20,13,55.1550586666667,0.0308871193652509
"ALPK2","Alpk2",2.706196,2.400893,2.92096,44,152,118,2.67601633333333,0.168283,0.439322,0.915121,17,32,42,1.32501466666667,1.58107232011726
"ALPK3","Alpk3",0.157066,0.041264,0.073161,7,7,7,0.090497,2.342258,3.923952,3.299814,195,386,131,18.9920093333333,0.0545466432021807
"ALPL","Alpl",2.342828,4.070376,3.453253,31,195,87,3.288819,0.053271,0.796965,0.643934,1,14,6,48.2029026666667,0.0871659753298566
"ALS2","Als2",20.543521,22.611932,26.470738,891,3506,2450,23.2087303333333,12.531172,20.331349,24.236456,855,950,727,100.33618,0.238895233008915
"ALS2CL","Als2cl",6.495425,5.267553,5.100466,76,338,164,5.621148,0.850765,1.138166,0.410196,30,63,14,0.325018333333333,4.9970236889804
"ALX1","Alx1",0,0,0,0,0,0,0,0.262791,0.30297,0.645806,4,5,7,9.31062333333333,0.0969873467074574
"ALX3","Alx3",0.181283,0.174481,0,2,7,0,0.118588,0,0,0,0,0,0,32.4789493333333,0.0334116817365674
"ALX4","Alx4",0.530357,0.273222,0.352308,19,37,27,0.385295666666667,0,0.023559,0.055397,0,2,3,3.32676633333333,0.320168818915496
"ALYREF","Alyref",18.199342,15.421266,20.927252,106,393,283,18.18262,70.767492,80.597484,118.837115,113,134,87,2.757759,5.10480315528484
"AMACR","Amacr",4.344851,6.04379,5.843051,35,150,95,5.410564,11.86922,13.006614,17.942952,323,382,304,35.2126103333333,0.177025736090037
"AMBN","Ambn",0,0,0,0,0,0,0,0,0.051364,0,0,1,0,294.741276,0.00338133389266908
"AMBP","Ambp",0,0,0,0,0,0,0,0.422141,0.192877,0.297317,2,1,2,0.609658333333333,0.62124985115889
"AMBRA1","Ambra1",30.567023,98.166068,75.298022,328,1409,837,68.010371,17.00629,18.712257,29.02127,717,915,674,31.0531956666667,2.15299503106227
"AMD1","Amd2",2.651615,0.940615,0.881648,57,75,40,1.49129266666667,42.692586,34.187962,42.310715,1440,1375,1037,24.975728,0.0959084829755942
"AMDHD1","Amdhd1",0,0,0.029871,0,0,1,0.009957,2.686314,4.078807,2.630343,20,25,10,6.831661,0.128958212057442
"AMDHD2","Amdhd2",8.811768,9.295408,8.736655,51,187,125,8.94794366666667,16.901084,23.58347,26.75816,158,236,161,54.511435,0.179205305477451
"AMELY","Amelx",0,0,0,0,0,0,0,0,0,0,0,0,0,0.04795,0.954244000190849
"AMER1","Amer1",2.043836,2.309476,2.449098,121,516,310,2.26747,4.584312,5.172044,5.239573,533,656,432,12.1679426666667,0.248138231059532
"AMER2","Amer2",8.477248,10.801716,11.614851,620,2871,1745,10.2979383333333,6.132657,4.798738,5.683666,827,687,544,0.908334666666667,5.92031289410453
"AMER3","Amer3",7.270382,7.337447,8.74516,217,839,564,7.78432966666667,7.327741,7.467661,8.718608,610,637,508,55.6607343333333,0.15503381256919
"AMFR","Amfr",107.139205,89.892119,101.606548,1057,3659,2356,99.5459573333333,85.754237,99.084042,101.824644,1149,1305,874,0.210086333333333,83.0899040536777
"AMH","Amh",0.192918,0.276929,0.341122,2,10,7,0.270323,8.827129,12.588093,17.323189,85,103,103,23.9908316666667,0.0508315616280344
"AMHR2","Amhr2",13.013625,8.400402,12.278492,10,34,19,11.2308396666667,0,0,0.294208,0,0,1,13.681737,0.833064893252526
"AMIGO1","Amigo1",17.067028,20.26633,20.838768,509,2102,1298,19.3907086666667,5.964842,7.254961,7.602544,402,537,358,92.5374693333333,0.217995085947874
"AMIGO2","Amigo2",5.863625,5.988875,6.299593,108,410,250,6.05069766666667,5.371634,6.02147,5.068728,199,239,137,10.9748636666667,0.588791477124959
"AMIGO3","Amigo3",1.325482,1.620307,1.369439,22,103,49,1.43840933333333,1.088332,0.687182,0.169802,39,28,4,0.825047333333333,1.33608005052654
"AMMECR1","Ammecr1",0.737676,0.696015,0.710252,27,93,54,0.714647666666667,0.310071,0.327892,0.588356,22,25,14,0.847837,0.927921492353853
"AMMECR1L","Ammecr1l",9.429791,9.427819,9.083161,197,755,416,9.31359033333333,9.354228,9.50218,10.976184,591,649,492,16.3324173333333,0.595046272829957
"AMN","Amn",0.524274,0.645202,1.071043,5,17,12,0.746839666666667,0.18833,0.12367,0.095092,5,3,2,42.3244316666667,0.0403199672671221
"AMN1","Amn1",16.846097,12.21628,14.656509,54,259,141,14.572962,22.751564,29.544095,22.470264,397,452,292,34.6893423333333,0.436347687624803
"AMOT","Amot",7.510804,7.970576,7.97128,318,1151,707,7.81755333333333,2.121335,1.685524,2.586357,109,144,112,37.6798683333333,0.227962340961088
"AMOTL1","Amotl1",5.297799,4.727654,6.193455,286,1073,637,5.40630266666667,2.892045,4.476054,3.276447,357,566,287,7.30342966666667,0.771524890779067
"AMOTL2","Amotl2",17.965277,20.517527,24.788298,183,794,498,21.0903673333333,11.205285,14.317316,22.457947,508,642,489,29.921023,0.714412564336353
"AMPD1","Ampd1",0,0.124711,0,0,2,0,0.0415703333333333,0,0.118359,0,0,1,0,0.355176666666667,0.768586383571146
"AMPD2","Ampd2",29.806624,45.57523,38.723106,353,1864,1034,38.0349866666667,87.524019,100.128316,111.886307,1324,1663,1094,30.1666986666667,1.25245817929428
"AMPD3","Ampd3",6.929633,7.225598,7.364381,121,597,326,7.173204,2.208678,2.080623,3.230046,53,73,41,14.6158186666667,0.523392604285705
"AMPH","Amph",52.209329,53.343113,53.225106,1021,4021,2364,52.9258493333333,34.668931,41.782036,44.958907,823,1215,798,14.561026,3.46544304555068
"AMT","Amt",10.916891,16.095289,16.090946,135,567,332,14.3677086666667,3.64087,2.929302,7.922542,63,62,74,103.205264,0.147475358506521
"AMTN","Amtn",0,0,0,0,0,0,0,0.18854,0.126396,0,2,1,0,44.965545,0.0217554257215921
"AMY2B","Amy1",5.529933,16.255999,14.023476,52,410,179,11.9364693333333,14.170474,11.452623,16.577186,369,373,290,12.4137196666667,0.964420731520183
"AMZ1","Amz1",1.522566,4.296468,2.112631,17,122,72,2.64388833333333,0.141723,0.378124,0.019357,7,15,1,19.327086,0.179262700680921
"AMZ2","Amz2",15.037463,23.975126,27.249888,197,846,480,22.0874923333333,81.390815,82.073912,86.557283,630,694,477,325.318991333333,0.0707512984120179
"ANAPC1","Anapc1",21.345445,19.949808,19.492296,520,2344,1491,20.2625163333333,8.477956,7.863536,13.173915,498,550,395,21.5962223333333,0.940976594214487
"ANAPC10","Anapc10",9.778766,9.295005,9.133027,52,226,122,9.402266,10.147957,9.702735,6.757798,77,82,44,0.931651333333333,5.38516750952639
"ANAPC11","Anapc11",24.78939,34.183206,38.602766,167,658,399,32.5251206666667,55.870674,67.866174,59.2413,217,284,150,0.493901666666667,22.4413168648985
"ANAPC13","Anapc13",61.356167,67.242271,74.621705,77,322,208,67.7400476666667,69.068878,74.643196,77.911993,843,984,703,36.7746703333333,1.81973918131083
"ANAPC15","Anapc15",15.863914,24.709064,29.404105,100,389,223,23.3256943333333,24.525648,26.31753,23.002841,103,114,92,19.0487416666667,1.21332773586372
"ANAPC16","Anapc16",34.690904,37.109748,40.232404,239,746,438,37.344352,28.318738,31.236023,37.657607,381,409,344,0.0769046666666667,35.6060784086738
"ANAPC2","Anapc2",58.90041,58.254561,58.752653,456,1917,1056,58.6358746666667,28.965052,19.046598,20.991892,361,346,286,34.5311663333333,1.6784102752833
"ANAPC4","Anapc4",41.951503,52.131449,51.734811,243,1073,626,48.605921,17.960808,17.369515,21.815902,381,395,388,72.9635326666667,0.670680796488727
"ANAPC5","Anapc5",111.845333,124.368071,109.756294,728,2879,1636,115.323232666667,136.144539,115.749372,138.859462,1210,1210,865,0.180660666666667,98.5238485119349
"ANAPC7","Anapc7",9.024752,17.807449,17.644197,134,701,458,14.825466,68.269506,67.020769,79.359148,890,921,722,0.172973333333333,13.4917525831789
"ANG","Ang",2.917092,1.166046,1.077217,10,17,9,1.72011833333333,0.423241,0.387296,14.492543,3,4,11,10.7577596666667,0.231346651951467
"ANGEL1","Angel1",7.295709,12.020304,8.567106,70,439,216,9.294373,4.832864,7.994096,7.047666,216,356,174,5.74244466666667,1.52680125813911
"ANGEL2","Angel2",11.53181,14.216294,17.27563,231,873,617,14.3412446666667,5.874691,7.483242,7.796752,236,245,196,46.610514,0.322223882453079
"ANGPT1","Angpt1",2.265231,2.340271,2.355161,65,248,142,2.320221,1.79719,0.920748,0.982436,70,47,26,183.15891,0.0180291086649025
"ANGPT2","Angpt2",0.795261,0.631852,0.478794,19,26,21,0.635302333333333,1.652399,2.666062,1.621235,63,100,52,2.33829666666667,0.489861296529468
"ANGPT4","Angpt4",0.066017,0.052014,0.030744,1,3,1,0.0495916666666667,0.210338,0.453241,0.288175,13,31,13,74.2356646666667,0.0139507196662235
"ANGPTL1","Angptl1",0.128973,0.358922,0.166421,1,16,6,0.218105333333333,0.282628,0,0.101553,2,0,2,0.221928333333333,0.996871338608238
"ANGPTL2","Angptl2",4.318634,2.632432,2.767146,44,219,110,3.239404,0.152303,2.499584,2.254207,6,24,17,5.15867166666667,0.688363372729455
"ANGPTL3","Angptl3",0,0.086192,0.182755,0,3,2,0.089649,0.028812,0,0.608879,1,0,4,12.8581366666667,0.0786288247987163
"ANGPTL4","Angptl4",0.510882,1.377657,0.637874,6,33,16,0.842137666666667,2.82673,3.289558,0.769407,47,44,4,39.509967,0.0454736896395563
"ANGPTL6","Angptl6",1.141213,1.9274,2.008064,11,65,38,1.69222566666667,0.068012,0.057864,0.084981,1,1,1,0,2.69222566666667
"ANGPTL7","Angptl7",0.510551,0.241286,0.033783,7,13,1,0.261873333333333,0.070985,0.178059,0,2,1,0,0,1.26187333333333
"ANGPTL8","Angptl8",0,0.174411,0,0,3,0,0.058137,0,0.102612,0,0,1,0,0.701403333333333,0.621920140433094
"ANK1","Ank1",109.496223,132.98045,144.128852,2505,9410,5705,128.868508333333,11.281542,15.714719,13.020654,847,1096,540,3.21832266666667,30.7867649289986
"ANK2","Ank2",400.45001,395.780077,418.925635,4333,19258,12623,405.051907333333,458.582215,392.104571,385.800584,15401,15260,11134,27.2842963333333,14.3560901267604
"ANK3","Ank3",152.729056,168.869999,191.109227,3034,12709,7805,170.902760666667,188.931539,183.601005,174.951885,6096,5803,3850,39.7243066666667,4.22113412694073
"ANKAR","Ankar",0,0,0.017686,0,0,1,0.00589533333333333,1.173541,1.674644,3.28821,20,21,23,16.0218996666667,0.0590941876659712
"ANKDD1B","Ankdd1b",0,0.141122,0.083302,0,5,1,0.074808,0.55382,0.815958,0.72344,5,12,8,31.843336,0.0327252992814128
"ANKEF1","Ankef1",2.054747,1.009813,0.893553,12,28,13,1.319371,1.822841,2.441841,1.947283,113,159,92,12.2750283333333,0.174716839901283
"ANKFY1","Ankfy1",8.092973,8.410172,8.358685,382,1491,866,8.28727666666667,28.234549,30.313747,30.353644,1817,2046,1557,17.2488833333333,0.508923011727658
"ANKIB1","Ankib1",11.022559,10.870272,10.317469,341,1521,877,10.7367666666667,15.541539,14.858575,19.149181,1038,972,824,9.076708,1.16474216248666
"ANKK1","Ankk1",0,0,0,0,0,0,0,0,0.24885,0.397729,0,3,1,0.402322666666667,0.713102643043636
"ANKLE1","Ankle1",0,0.039651,0.041695,0,2,1,0.0271153333333333,1.552648,1.770619,1.132508,50,76,31,13.76955,0.0695427642232386
"ANKLE2","Ankle2",10.170078,14.587032,15.94452,212,885,527,13.56721,32.76516,37.432186,35.749368,798,899,599,22.0777176666667,0.631224032220517
"ANKMY1","Ankmy1",0.046401,0.121014,0.042897,1,10,2,0.070104,18.258326,7.638707,11.154653,98,97,63,23.390319,0.0438741289115571
"ANKMY2","Ankmy2",14.092466,13.084731,14.699004,224,790,500,13.9587336666667,25.894629,15.225999,18.819957,555,516,426,15.2911216666667,0.918213857384283
"ANKRA2","Ankra2",12.027515,10.368411,9.910276,106,420,230,10.768734,34.139694,29.148541,40.112553,255,262,184,0.256339,9.36748282111755
"ANKRD1","Ankrd1",0,0.049345,0,0,2,0,0.0164483333333333,7.097341,7.400159,0.256361,156,176,4,26.08003,0.0375349781124073
"ANKRD10","Ankrd10",10.945831,11.786779,10.270117,184,786,427,11.000909,107.951404,112.128306,161.040151,738,769,660,55.384254,0.212841496492975
"ANKRD11","Ankrd11",32.769665,34.986533,36.45651,1211,4632,2811,34.7375693333333,61.069593,95.748295,84.766137,1748,2162,1502,1.646993,13.5011952556479
"ANKRD13A","Ankrd13a",25.657748,24.184164,23.901382,376,1539,774,24.581098,20.939922,22.330371,23.779662,555,590,475,4.62213766666667,4.55006609882018
"ANKRD13B","Ankrd13b",17.859895,14.638781,16.440658,189,857,469,16.3131113333333,30.597917,35.389675,47.228313,555,654,554,1.28796566666667,7.5670328386338
"ANKRD13C","Ankrd13c",26.423042,28.812196,33.965311,386,1492,975,29.7335163333333,27.317256,23.368363,34.631614,802,865,684,12.4963236666667,2.27717688849144
"ANKRD13D","Ankrd13d",26.479993,34.372492,25.517634,148,657,372,28.7900396666667,63.440122,70.533896,85.405713,601,738,537,2.59853066666667,8.27838982799646
"ANKRD16","Ankrd16",8.585736,13.371511,10.262558,72,393,188,10.739935,4.219239,4.302529,5.157686,77,79,49,6.93730966666667,1.47908239605452
"ANKRD17","Ankrd17",22.025281,18.984593,21.476747,829,3828,2219,20.8288736666667,42.964911,45.443824,54.31416,2619,2878,2015,19.3499156666667,1.07267636997742
"ANKRD2","Ankrd2",0.325331,0.127344,0.150864,2,3,2,0.201179666666667,0,0.077413,0.120221,0,1,1,0.178368333333333,1.01935840661027
"ANKRD22","Ankrd22",0,0,0,0,0,0,0,2.670448,0.317323,0.136719,55,13,5,31.1720043333333,0.0310829250686101
"ANKRD23","Ankrd23",1.654999,1.996811,1.43656,15,64,30,1.69612333333333,4.792126,6.412065,2.881158,82,103,33,3.907432,0.549395963781736
"ANKRD24","Ankrd24",19.033249,22.22365,17.729646,132,699,343,19.6621816666667,9.160857,11.12895,11.513265,215,295,257,6.30046666666667,2.8302549152109
"ANKRD26","Ankrd26",3.702242,5.825182,5.003788,176,590,346,4.84373733333333,6.112241,7.719244,5.582247,156,194,131,4.98941233333333,0.975677914310681
"ANKRD27","Ankrd27",12.466471,9.612347,10.509503,151,643,347,10.8627736666667,7.315657,8.695684,13.330403,289,318,229,11.8724483333333,0.921563121441932
"ANKRD28","Ankrd28",12.836922,19.595696,17.128835,526,2057,1140,16.5204843333333,18.669446,18.66026,16.19907,894,807,684,82.0853063333333,0.210873439679481
"ANKRD31","Ankrd31",0,0.007561,0,0,1,0,0.00252033333333333,0.080986,0.175953,0.113786,4,7,3,24.6649836666667,0.0390617951039413
"ANKRD33","Ankrd33",0.227609,0.119269,0.106066,2,4,2,0.150981333333333,0.668091,0.465612,0.592169,8,4,6,48.3678936666667,0.0233143698838924
"ANKRD33B","Ankrd33b",1.501572,2.077852,2.032755,78,249,161,1.87072633333333,0.024117,0.036181,0.057203,3,5,5,31.936175,0.0871602829816557
"ANKRD34B","Ankrd34b",11.722832,12.771148,10.702088,313,1198,605,11.7320226666667,0.043672,0.445468,0.121946,2,21,4,28.075827,0.437890302025345
"ANKRD34C","Ankrd34c",1.222704,1.937398,1.542689,46,244,109,1.567597,0.163844,0.372775,0.104645,11,27,5,3.55151866666667,0.564118745420942
"ANKRD37","Ankrd37",12.312765,9.342139,7.567599,19,75,34,9.74083433333333,0.812178,1.938039,2.712121,6,18,10,26.308489,0.393314852877189
"ANKRD39","Ankrd39",6.610237,5.509511,6.941695,65,202,127,6.35381433333333,8.826927,8.326615,9.777322,229,209,187,9.20224833333333,0.720803306591407
"ANKRD40","Ankrd40",80.733254,72.27896,84.238179,1304,4162,2630,79.0834643333333,11.30037,12.360409,15.850782,548,689,550,46.7312036666667,1.67780106474164
"ANKRD42","Ankrd42",4.03561,3.778322,4.782793,47,207,129,4.19890833333333,6.822043,6.358384,5.318146,189,190,124,54.250867,0.094096411796277
"ANKRD44","Ankrd44",4.941973,7.753067,7.210615,63,342,204,6.63521833333333,2.48915,5.460403,2.544042,203,172,154,63.8820436666667,0.117678450027861
"ANKRD45","Ankrd45",11.746974,10.777851,8.896207,152,635,356,10.4736773333333,1.951304,1.552037,1.740075,62,55,41,25.081892,0.439909701847294
"ANKRD46","Ankrd46",54.834182,57.649349,59.27335,885,3458,2058,57.2522936666667,76.176064,87.067695,92.768174,1616,1806,1371,167.578433333333,0.345550095079382
"ANKRD49","Ankrd49",3.606888,3.082139,3.968066,52,165,119,3.55236433333333,3.722713,3.845586,3.916534,69,81,58,90.6884643333333,0.0496503498715304
"ANKRD52","Ankrd52",10.519259,11.664208,14.348324,383,1896,1091,12.1772636666667,28.973437,40.730081,33.473937,2592,3186,1724,0,13.1772636666667
"ANKRD53","Ankrd53",0.416365,0.911018,0.64525,4,35,15,0.657544333333333,1.420467,1.776282,2.107248,13,18,10,0.123595333333333,1.47521468286625
"ANKRD54","Ankrd54",5.9251,9.242042,10.066091,65,259,157,8.41107766666667,10.621578,15.868696,18.146442,241,298,193,2.42256633333333,2.74971373819977
"ANKRD55","Ankrd55",6.61087,5.555163,4.103555,74,333,150,5.423196,1.411995,4.402508,1.919246,10,45,14,22.4647996666667,0.273737517099905
"ANKRD6","Ankrd6",4.887384,5.811361,5.566855,148,657,361,5.42186666666667,57.756865,44.611364,46.904239,1516,1240,944,25.9563846666667,0.238231749030044
"ANKRD61","Ankrd61",0.222991,0.342711,0.556996,2,14,13,0.374232666666667,0.297921,0.437239,0.672865,5,8,8,8.51445866666667,0.144436243281103
"ANKRD63","Ankrd63",0.183134,0.19465,0.267469,6,23,18,0.215084333333333,0,0,0,0,0,0,31.8279093333333,0.037013759267927
"ANKRD7","Ankrd7",0,0.039563,0,0,1,0,0.0131876666666667,0,0.130989,0,0,1,0,34.3395543333333,0.0286700748150352
"ANKRD9","Ankrd9",9.545396,8.839167,9.178894,73,216,116,9.187819,2.953142,5.385682,4.330464,161,238,110,73.2064083333333,0.137290285688489
"ANKS1B","Anks1b",201.133309,197.181939,304.154455,1145,3832,2594,234.156567666667,67.352883,71.355033,86.982959,402,437,322,0.164624,201.916298879867
"ANKS3","Anks3",17.580715,25.376635,23.305475,142,658,285,22.0876083333333,12.854275,17.745243,23.720332,195,291,230,4.11919133333333,4.51001082592863
"ANKS4B","Anks4b",0,0.010124,0,0,1,0,0.00337466666666667,0.051819,0.054402,0.048731,3,3,2,186.023812333333,0.00536495676218143
"ANKS6","Anks6",2.646523,3.08342,2.808382,45,219,110,2.84610833333333,4.975443,5.617281,5.339591,233,240,187,37.3835423333333,0.100202016268657
"ANKUB1","Ankub1",1.915478,1.556227,1.234903,27,82,35,1.56886933333333,0.039576,0.152057,0.101282,1,2,2,13.6545566666667,0.175294919646153
"ANKZF1","Ankzf1",3.65087,7.483163,6.871995,71,424,195,6.00200933333333,33.350001,32.469628,32.216847,359,363,295,31.366666,0.216333969440453
"ANLN","Anln",30.30487,27.888886,26.726715,592,2052,1039,28.3068236666667,1.887086,1.252804,1.128986,45,33,41,62.4488616666667,0.461896760585434
