"Hs_symbol","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"ACOX2","Acox2",0.180945,0.256774,0.112875,6,4,5,0.183531333333333,13.50116,16.5247,11.05529,13.6937166666667,0.0805467643198964
"ACOX3","Acox3",5.436548,3.876888,8.096525,278,282,221,5.80332033333333,8.46514,6.68725,23.55258,12.9016566666667,0.489389178316158
"ACOXL","Acoxl",0.021636,0,0,2,0,0,0.007212,0,0.05527,0,0.0184233333333333,0.988991480294704
"ACP1","Acp1",5.66495,7.242556,7.48916,190,232,154,6.79888866666667,58.74247,61.70509,55.34201,58.5965233333333,0.130861470274804
"ACP2","Acp2",1.730692,1.916966,2.292059,251,242,234,1.97990566666667,38.03517,21.63685,46.29677,35.32293,0.0820392426124948
"ACP5","Acp5",0.07349,0.157873,0.034358,3,6,1,0.0885736666666667,4.42308,6.63199,1.9882,4.34775666666667,0.203557067854621
"ACP6","Acp6",3.884854,3.981793,3.69741,158,166,131,3.85468566666667,9.44253,12.54551,9.70069,10.56291,0.419849818658682
"ACR","Acr",0.021936,0,0.11907,1,0,2,0.047002,2.81619,1.3264,1.81342,1.98533666666667,0.350714883078514
"ACRBP","Acrbp",0.973677,0.635086,0.428227,20,12,5,0.678996666666667,3.9261,2.45936,2.16299,2.84948333333333,0.43616156280713
"ACRV1","Acrv1",0,0.020824,0.013454,0,2,1,0.011426,5.84774,3.01203,4.1075,4.32242333333333,0.190031107384042
"ACSBG1","Acsbg1",0.030745,0,0.04316,3,0,3,0.024635,88.3125,109.42775,56.1067,84.61565,0.0119678469999352
"ACSBG2","Acsbg2",0.011693,0,0,1,0,0,0.00389766666666667,0.59637,0.77373,0.10924,0.493113333333333,0.672351953636027
"ACSF2","Acsf2",7.891,12.373069,10.895599,350,367,340,10.386556,51.30441,52.55848,47.82616,50.5630166666667,0.220827964228884
"ACSF3","Acsf3",2.997409,3.249149,4.273128,216,222,220,3.506562,61.67463,58.77597,55.18907,58.5465566666667,0.0756813198322635
"ACSL1","Acsl1",205.487387,212.938162,241.722004,10340,9955,9069,220.049184333333,34.42382,22.99088,27.48529,28.2999966666667,7.54434162051668
"ACSL3","Acsl3",1.316494,1.101578,1.23888,64,36,54,1.218984,44.29706,41.69861,41.796,42.5972233333333,0.0508973698401435
"ACSL4","Acsl4",3.808227,3.388927,6.217699,163,151,156,4.47161766666667,16.20139,7.04648,11.47041,11.57276,0.435196223157578
