"Hs_symbol","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"ABCA7","Abca7",0.693706,0.552311,0.58948,167,127,101,0.611832333333333,20.53785,20.53785,0.0748371974609041
"ABCA8","Abca8b",1.19705,1.355302,1.389084,299,302,226,1.313812,43.39918,43.39918,0.0521138453457924
"ABCA9","Abca9",1.730124,1.818871,1.712961,360,349,256,1.75398533333333,3.17403,3.17403,0.659790498231525
"ABCB1","Abcb1a",22.341597,11.92902,15.633074,306,260,232,16.6345636666667,22.50866,22.50866,0.750130533457316
"ABCB10","Abcb10",3.70404,4.009373,4.926604,497,533,463,4.213339,4.64695,4.64695,0.923213239005127
"ABCB11","Abcb11",0,0,0,0,0,0,0,0.14522,0.14522,0.873194670019734
"ABCB4","Abcb4",2.855218,3.428858,3.224924,367,397,282,3.16966666666667,2.38571,2.38571,1.23154867565936
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.08298,0.08298,0.923378086391254
"ABCB6","Abcb6",4.179214,5.497167,4.20283,223,255,203,4.62640366666667,42.36192,42.36192,0.1297544865787
"ABCB7","Abcb7",3.502681,3.231758,4.404847,659,544,597,3.71309533333333,9.43911,9.43911,0.451484401767328
"ABCB8","Abcb8",15.227893,15.429945,18.285769,744,727,657,16.3145356666667,23.23474,23.23474,0.714451059374545
"ABCB9","Abcb9",1.277403,0.974135,1.355097,117,101,104,1.20221166666667,23.31773,23.31773,0.0905599193126442
"ABCC1","Abcc1",2.436638,4.138721,7.941157,446,428,346,4.83883866666667,2.15751,2.15751,1.84919087086555
"ABCC10","Abcc10",0.487548,0.662952,0.381423,47,52,34,0.510641,32.79833,32.79833,0.0446957290493347
"ABCC12","Abcc12",0,0,0,0,0,0,0,0.85056,0.85056,0.54037696697216
"ABCC2","Abcc2",0.003846,0.018808,0,1,1,0,0.00755133333333333,0.47714,0.47714,0.682096032423016
"ABCC3","Abcc3",0.252275,0.270166,0.237298,18,12,7,0.253246333333333,3.25701,3.25701,0.294395910118448
"ABCC5","Abcc5",10.385666,13.130438,7.183393,582,426,255,10.2331656666667,24.9566,24.9566,0.432767221695702
"ABCC6","Abcc6",0,0,0,0,0,0,0,0.18671,0.18671,0.842665857707443
"ABCC9","Abcc9",19.684747,22.99213,23.672163,4837,5123,4198,22.1163466666667,2.36497,2.36497,6.86970364272688
"ABCD1","Abcd1",2.313105,2.752033,3.025499,286,317,273,2.696879,4.41875,4.41875,0.682238339100346
"ABCD2","Abcd2",0.907229,0.389841,2.345446,72,65,60,1.214172,0.6846,0.6846,1.31436067909296
"ABCD3","Abcd3",13.628574,15.300532,16.369644,1441,1359,1208,15.0995833333333,18.04842,18.04842,0.845192584651815
"ABCD4","Abcd4",0.85394,1.106506,1.124445,67,57,53,1.028297,110.40653,110.40653,0.0182062667242216
"ABCE1","Abce1",6.423351,6.420801,6.784214,778,717,590,6.54278866666667,12.79985,12.79985,0.546584830028346
"ABCF1","Abcf1",14.572771,13.528038,17.357068,822,833,714,15.1526256666667,50.45259,50.45259,0.31393221734157
"ABCF2","Abcf2",7.208005,7.781313,7.405033,605,609,448,7.46478366666667,18.83674,18.83674,0.426722519258037
"ABCF3","Abcf3",56.843927,45.142544,60.394936,472,407,364,54.1271356666667,38.0054,38.0054,1.41332060859949
"ABCG1","Abcg1",0.251662,0.952119,0.477321,40,67,36,0.560367333333333,17.71649,17.71649,0.0833685874506028
"ABCG2","Abcg2",10.269557,11.087051,8.296503,328,289,209,9.88437033333333,17.34308,17.34308,0.593377466234315
"ABCG5","Abcg5",0,0,0,0,0,0,0,0.10373,0.10373,0.906018682105225
"ABCG8","Abcg8",0,0,0,0,0,0,0,0.18671,0.18671,0.842665857707443
"ABHD1","Abhd1",0.884254,0.707662,0.256382,35,26,7,0.616099333333333,7.0949,7.0949,0.199644138078708
"ABHD10","Abhd10",2.955729,5.14223,4.358272,111,153,102,4.152077,14.95737,14.95737,0.322865046057088
"ABHD11","Abhd11",8.843995,9.876887,10.511257,261,260,220,9.74404633333333,16.18134,16.18134,0.625332269388379
"ABHD12","Abhd12",14.072634,12.994731,16.910777,328,371,288,14.6593806666667,147.18796,147.18796,0.105672422149996
"ABHD13","Abhd13",1.612849,1.579601,1.789031,270,250,213,1.66049366666667,1.72186,1.72186,0.977454265343062
"ABHD14A","Abhd14a",2.996884,2.658814,3.062354,93,81,73,2.90601733333333,73.3969,73.3969,0.0525024205757677
"ABHD14B","Abhd14b",2.264105,1.928432,2.675018,78,66,63,2.289185,11.78333,11.78333,0.257302674655195
"ABHD15","Abhd15",0.151803,0.17299,0.243191,13,15,13,0.189328,2.28198,2.28198,0.362381245467675
"ABHD16A","Abhd16a",14.283377,10.868275,15.117416,382,329,324,13.4230226666667,50.39035,50.39035,0.280656245125139
"ABHD16B","Abhd16b",0.017708,0,0.024841,1,0,1,0.014183,4.23204,4.23204,0.193840834550195
"ABHD2","Abhd2",1.304402,1.438202,1.694681,300,309,284,1.479095,9.37688,9.37688,0.238905624812082
"ABHD3","Abhd3",0.888587,0.607436,0.76617,29,24,18,0.754064333333333,4.41875,4.41875,0.32370276047674
"ABHD4","Abhd4",7.115654,8.510248,7.961919,372,402,389,7.862607,21.57512,21.57512,0.392582940865874
"ABHD5","Abhd5",15.998376,19.309326,20.137932,581,531,496,18.481878,4.89589,4.89589,3.30431503979891
"ABHD6","Abhd6",1.14656,1.497619,1.057626,62,71,46,1.233935,33.79411,33.79411,0.0642044012621676
"ABHD8","Abhd8",1.768592,1.567081,2.48411,113,106,108,1.93992766666667,42.59012,42.59012,0.0674448170059331
"ABI1","Abi1",6.582961,5.608406,7.829215,235,207,167,6.67352733333333,26.90666,26.90666,0.274971183700713
"ABI2","Abi2",3.10948,2.06312,2.241759,181,174,166,2.471453,41.15869,41.15869,0.0823425253488664
"ABI3","Abi3",1.239273,1.75973,1.679233,55,64,50,1.559412,5.29005,5.29005,0.406898514320236
"ABL1","Abl1",4.576983,4.469049,5.447473,515,535,499,4.83116833333333,41.69807,41.69807,0.136567492004518
"ABL2","Abl2",1.102341,1.060429,1.307922,344,316,270,1.15689733333333,4.06608,4.06608,0.425752718735854
"ABLIM1","Ablim1",34.740714,33.153558,32.594338,6250,5160,4006,33.4962033333333,28.96045,28.96045,1.15139136205676
"ABLIM2","Ablim2",3.791717,5.042325,4.622022,160,167,153,4.48535466666667,57.71345,57.71345,0.0934258618198499
"ABLIM3","Ablim3",4.102483,4.042407,4.089614,594,546,424,4.078168,20.45487,20.45487,0.23669069073828
"ABO","Abo",0,0,0,0,0,0,0,1.24472,1.24472,0.445489860650772
"ABR","Abr",2.378324,2.984923,3.713034,327,330,296,3.025427,149.67739,149.67739,0.0267155344275608
"ABRA","Abra",4.116302,4.098666,3.441195,388,344,235,3.88538766666667,0.26969,0.26969,3.84770114489889
"ABRACL","Abracl",31.510388,28.625277,45.292012,127,91,115,35.142559,10.60085,10.60085,3.11550955317929
"ABT1","Abt1",0.499136,0.4238,0.530647,73,58,56,0.484527666666667,5.91241,5.91241,0.214762675632184
"ABTB1","Abtb1",5.82147,7.44892,5.830129,156,143,134,6.36683966666667,51.5106,51.5106,0.14029242984591
"ABTB2","Abtb2",1.685686,1.76883,2.249357,255,274,221,1.901291,17.65426,17.65426,0.155529675259163
"ACAA1","Acaa1b",0.028191,0.028929,0,1,1,0,0.01904,79.76571,79.76571,0.0126172357055983
"ACAA2","Acaa2",248.985981,224.128048,293.242253,7301,6225,5954,255.452094,30.05995,30.05995,8.25668083818551
"ACACA","Acaca",1.200972,0.900763,0.781195,175,153,147,0.960976666666667,42.25819,42.25819,0.0453319167229758
"ACACB","Acacb",15.474208,14.95871,16.499206,4311,3965,3460,15.6440413333333,19.58357,19.58357,0.808608095356313
"ACAD10","Acad10",0.598761,1.056781,1.076999,53,41,50,0.910847,21.69959,21.69959,0.0841798023664745
"ACAD11","Acad11",20.220395,25.148927,24.795126,1888,1884,1652,23.3881493333333,21.80332,21.80332,1.06949993831308
"ACAD8","Acad8",12.259437,10.062579,9.130213,439,390,308,10.4840763333333,25.95238,25.95238,0.426087652865288
"ACAD9","Acad9",14.866479,14.620374,16.037408,450,448,379,15.1747536666667,22.19748,22.19748,0.697263395276843
"ACADL","Acadl",202.319337,208.242625,216.801061,9518,8357,7420,209.121007666667,1.59739,1.59739,80.8969803020211
"ACADM","Acadm",734.222656,649.816797,808.160715,11829,9984,9558,730.733389333333,29.87324,29.87324,23.7012179263768
"ACADS","Acads",43.777134,43.427381,54.486167,1956,1744,1558,47.2302273333333,12.34346,12.34346,3.6145218206772
"ACADSB","Acadsb",128.314701,142.932978,153.196559,1614,1467,1364,141.481412666667,7.24011,7.24011,17.2912027468889
"ACADVL","Acadvl",139.431027,132.111617,154.831617,9440,8497,7659,142.124753666667,537.46943,537.46943,0.265799218474978
"ACAN","Acan",0.015363,0.024935,0.010729,4,3,2,0.017009,1.57664,1.57664,0.394703567436662
"ACAP1","Acap1",0.252565,0.107747,0.114382,16,5,7,0.158231333333333,64.37269,64.37269,0.017717357712117
"ACAP2","Acap2",2.510354,3.088726,3.307991,345,341,264,2.96902366666667,4.87515,4.87515,0.675561248081609
"ACAT1","Acat1",93.491079,94.716414,110.493341,5260,5078,4190,99.5669446666667,101.6935,101.6935,0.979292210964342
"ACAT2","Acat2",0.66719,0.447738,1.304108,34,26,33,0.806345333333333,21.38841,21.38841,0.0806821624819866
"ACBD3","Acbd3",2.402008,2.812018,2.585089,261,286,201,2.599705,9.95775,9.95775,0.328507677214757
"ACBD5","Acbd5",2.76439,3.148991,3.874531,318,223,239,3.26263733333333,28.48331,28.48331,0.144577977619654
"ACBD6","Acbd6",7.456026,9.740249,9.378408,138,215,119,8.85822766666667,200.71085,200.71085,0.0488730659092789
"ACBD7","Acbd7",0.204416,0.219119,0.143098,2,2,1,0.188877666666667,18.40109,18.40109,0.0612789109615319
"ACCS","Accs",0.560678,1.577455,1.883585,37,56,40,1.34057266666667,17.9032,17.9032,0.123818859593437
"ACCSL","Accsl",0,0,0,0,0,0,0,0,0,1
"ACD","Acd",1.489058,1.256628,1.749415,61,49,54,1.498367,14.29352,14.29352,0.16336114903567
"ACE","Ace",5.44445,6.520775,5.744452,634,788,585,5.90322566666667,3.2985,3.2985,1.60596153697026
"ACE2","Ace2",0.168836,0.249512,0.378854,15,17,20,0.265734,0.97503,0.97503,0.640868239976102
"ACE3P","Ace3",0,0,0,0,0,0,0,0,0,1
"ACER1","Acer1",0.013295,0,0,1,0,0,0.00443166666666667,0.53938,0.53938,0.652491046178765
"ACER2","Acer2",2.221571,2.142382,1.847638,289,254,156,2.07053033333333,0.56012,0.56012,1.96813728003829
"ACER3","Acer3",0.926464,1.225774,1.221333,111,103,103,1.12452366666667,38.85596,38.85596,0.0533050431269669
"ACHE","Ache",0.171761,0.250681,0.356746,15,19,19,0.259729333333333,73.60435,73.60435,0.0168854675810906
"ACIN1","Acin1",11.374627,9.188783,8.456991,624,549,377,9.673467,97.73114,97.73114,0.108106388723963
"ACLY","Acly",5.502024,5.385161,3.778894,400,366,307,4.888693,35.35,35.35,0.161999807427785
"ACMSD","Acmsd",0,0.051825,0.043596,0,3,2,0.031807,0.12447,0.12447,0.917594066538013
"ACO1","Aco1",3.025734,3.427605,3.641342,344,340,322,3.36489366666667,8.81676,8.81676,0.444636893095753
"ACO2","Aco2",417.561995,438.868693,454.781168,22690,21156,18663,437.070618666667,127.9778,127.9778,3.3964807793796
"ACOT1","Acot3",0.184964,0.130714,0.304544,11,9,16,0.206740666666667,1.84633,1.84633,0.423963724046989
"ACOT11","Acot11",3.849478,4.688608,4.957258,323,275,216,4.498448,2.94583,2.94583,1.39348324687075
"ACOT12","Acot12",0,0,0,0,0,0,0,0,0,1
"ACOT13","Acot13",395.632453,377.75228,442.9371,1311,1270,1043,405.440611,33.44144,33.44144,11.8009180510455
"ACOT2","Acot2",7.7519,7.104215,8.971836,492,470,388,7.94265033333333,8.81676,8.81676,0.910957417043234
"ACOT4","Acot4",0.165596,0.144667,0.185633,33,17,26,0.165298666666667,0.53938,0.53938,0.75699220898457
"ACOT6","Acot6",0.552336,0.322506,0.388205,56,33,27,0.421015666666667,0,0,1.42101566666667
"ACOT7","Acot7",12.066454,10.657095,11.339034,443,375,355,11.3541943333333,128.33047,128.33047,0.095524235961822
"ACOT8","Acot8",1.641596,1.505389,1.975407,52,44,36,1.707464,41.69807,41.69807,0.0634095171046373
"ACOT9","Acot9",4.072205,4.855018,4.790514,198,221,169,4.572579,7.92471,7.92471,0.624398888031096
"ACOX1","Acox1",32.90367,31.658302,34.80923,3684,3423,2793,33.123734,45.41148,45.41148,0.735243392367578
"ACOX2","Acox2",0.180945,0.256774,0.112875,6,4,5,0.183531333333333,6.45179,6.45179,0.158825105556294
"ACOX3","Acox3",5.436548,3.876888,8.096525,278,282,221,5.80332033333333,11.70035,11.70035,0.535679751607895
"ACOXL","Acoxl",0.021636,0,0,2,0,0,0.007212,0.20745,0.20745,0.834164561679573
"ACP1","Acp1",5.66495,7.242556,7.48916,190,232,154,6.79888866666667,49.4983,49.4983,0.154438637868337
"ACP2","Acp2",1.730692,1.916966,2.292059,251,242,234,1.97990566666667,24.0853,24.0853,0.118790912074668
"ACP5","Acp5",0.07349,0.157873,0.034358,3,6,1,0.0885736666666667,12.15675,12.15675,0.0827387969420006
"ACP6","Acp6",3.884854,3.981793,3.69741,158,166,131,3.85468566666667,6.14061,6.14061,0.679869880397706
"ACR","Acr",0.021936,0,0.11907,1,0,2,0.047002,1.05801,1.05801,0.508744855467175
"ACRBP","Acrbp",0.973677,0.635086,0.428227,20,12,5,0.678996666666667,2.86285,2.86285,0.434652307665756
"ACRV1","Acrv1",0,0.020824,0.013454,0,2,1,0.011426,0.82981,0.82981,0.552749192539116
"ACSBG1","Acsbg1",0.030745,0,0.04316,3,0,3,0.024635,36.98888,36.98888,0.026971971798063
"ACSBG2","Acsbg2",0.011693,0,0,1,0,0,0.00389766666666667,0.47714,0.47714,0.679622558908882
"ACSF2","Acsf2",7.891,12.373069,10.895599,350,367,340,10.386556,20.97351,20.97351,0.51819468077699
"ACSF3","Acsf3",2.997409,3.249149,4.273128,216,222,220,3.506562,41.9885,41.9885,0.104831803854519
"ACSL1","Acsl1",205.487387,212.938162,241.722004,10340,9955,9069,220.049184333333,43.06726,43.06726,5.0161771876294
"ACSL3","Acsl3",1.316494,1.101578,1.23888,64,36,54,1.218984,28.00617,28.00617,0.076500413532707
"ACSL4","Acsl4",3.808227,3.388927,6.217699,163,151,156,4.47161766666667,10.72532,10.72532,0.466649751705426
"ACSL5","Acsl5",6.898301,9.129866,3.381648,183,235,138,6.46993833333333,6.67999,6.67999,0.972649486956797
"ACSL6","Acsl6",2.786717,1.936377,3.098567,152,129,148,2.60722033333333,16.26432,16.26432,0.208940771100937
"ACSM1","Acsm1",0,0,0,0,0,0,0,1.51441,1.51441,0.397707613316842
"ACSM2B","Acsm2",0,0,0.156331,0,0,1,0.0521103333333333,0,0,1.05211033333333
"ACSM3","Acsm3",0.028766,0.030908,0.038958,1,1,1,0.0328773333333333,0.62236,0.62236,0.636651133739326
"ACSM4","Acsm4",0,0,0,0,0,0,0,0,0,1
"ACSM5","Acsm5",0.870292,1.135048,0.688642,49,59,32,0.897994,5.539,5.539,0.290257531732681
"ACSS1","Acss1",65.371472,67.562517,72.050659,4063,3934,3335,68.328216,29.04343,29.04343,2.30759989788117
"ACSS2","Acss2",4.763676,4.718603,4.527287,336,365,266,4.66985533333333,60.70077,60.70077,0.0918927808086242
"ACSS3","Acss3",0.160808,0.170282,0.21361,18,20,20,0.181566666666667,5.26931,5.26931,0.188468374775959
"ACTA1","Acta1",51.289934,61.467194,82.964551,2091,2521,2549,65.2405596666667,82.19291,82.19291,0.796228424593714
"ACTA2","Acta2",17.260344,17.274081,24.335669,702,685,755,19.6233646666667,69.72498,69.72498,0.291599441479753
"ACTB","Actb",136.830217,155.493589,196.557468,1850,2109,1892,162.960424666667,3491.18631,3491.18631,0.0469506521450932
"ACTBL2","Actbl2",0,0,0,0,0,0,0,0,0,1
"ACTC1","Actc1",1652.587288,1979.343797,2200.213129,72329,80862,69991,1944.04807133333,18.52556,18.52556,99.6154820314159
"ACTG1","Actg1",50.783003,73.060644,81.120304,2154,2389,1859,68.321317,1159.14406,1159.14406,0.0597523354125521
"ACTG2","Actg2",0.588708,0.126647,0.270987,11,4,6,0.328780666666667,26.26356,26.26356,0.0487383403585836
"ACTL10","Actl10",0.041749,0,0,2,0,0,0.0139163333333333,0.74683,0.74683,0.580432173327303
"ACTL6A","Actl6a",5.758671,7.408636,7.139931,198,174,137,6.76907933333333,67.56747,67.56747,0.113305614649823
"ACTL6B","Actl6b",0.019678,0,0,2,0,0,0.00655933333333333,40.0177,40.0177,0.0245396337028486
"ACTL7A","Actl7a",0,0,0,0,0,0,0,0,0,1
"ACTL7B","Actl7b",0,0,0,0,0,0,0,0.10373,0.10373,0.906018682105225
"ACTL9","Actl9",0,0,0,0,0,0,0,0,0,1
"ACTN1","Actn1",3.268112,3.770261,3.860983,265,258,210,3.63311866666667,25.99387,25.99387,0.171635955373078
"ACTN2","Actn2",327.332679,319.092711,346.539041,15681,14365,11696,330.988143666667,64.70461,64.70461,5.05273745124835
"ACTN4","Actn4",14.849163,17.783651,17.714649,928,1020,798,16.7824876666667,796.8895,796.8895,0.0222869052251805
"ACTR10","Actr10",29.53719,31.341786,36.781408,412,385,366,32.5534613333333,63.0035,63.0035,0.524244163730629
"ACTR1A","Actr1a",12.536819,14.606975,18.850522,933,877,754,15.3314386666667,75.76186,75.76186,0.212754598008264
"ACTR1B","Actr1b",15.67809,21.241687,19.613595,865,888,683,18.8444573333333,70.53405,70.53405,0.277412747262784
"ACTR2","Actr2",8.312352,7.902644,9.416639,925,794,758,8.54387833333333,55.16177,55.16177,0.169935497640714
"ACTR3","Actr3",19.559059,27.877054,23.424273,871,852,820,23.6201286666667,37.94317,37.94317,0.632206588900356
"ACTR3B","Actr3b",6.941237,8.886885,7.689871,391,466,315,7.839331,43.35769,43.35769,0.199273925220182
"ACTR5","Actr5",0.89832,0.671854,0.734117,34,37,33,0.768097,9.43911,9.43911,0.169372389025501
"ACTR6","Actr6",2.354851,1.648426,2.16182,84,77,63,2.05503233333333,18.31811,18.31811,0.158143438117566
"ACTR8","Actr8",5.710714,4.109577,5.914341,299,257,184,5.24487733333333,13.44296,13.44296,0.43238209711398
"ACTRT1","Actrt1",0,0,0,0,0,0,0,0,0,1
"ACTRT2","Actrt2",0,0,0,0,0,0,0,0,0,1
"ACTRT3","Actrt3",0,0.018259,0,0,1,0,0.00608633333333333,0.26969,0.26969,0.79238738064672
"ACVR1","Acvr1",1.693994,1.35383,1.836462,137,113,117,1.62809533333333,9.12794,9.12794,0.25948962309545
"ACVR1B","Acvr1b",1.643187,1.566738,1.574481,251,224,172,1.594802,11.99079,11.99079,0.199741663132111
"ACVR1C","Acvr1c",0.006982,0.003505,0,1,1,0,0.00349566666666667,0.58087,0.58087,0.634774312034934
"ACVR2A","Acvr2a",2.08354,1.882725,2.207467,282,231,222,2.05791066666667,8.40185,8.40185,0.325245634281196
"ACVR2B","Acvr2b",0.459848,0.362405,0.568235,35,25,22,0.463496,0.85056,0.85056,0.790839529655888
"ACVRL1","Acvrl1",10.263452,13.048464,12.868665,312,312,204,12.0601936666667,11.2647,11.2647,1.06486042599221
"ACY1","Acy1",4.757062,3.849426,5.091179,101,91,77,4.565889,14.97811,14.97811,0.34834464151267
"ACY3","Acy3",5.171134,6.449468,5.868099,142,172,139,5.829567,14.35575,14.35575,0.444756329062403
"ACYP1","Acyp1",4.460568,3.563012,4.914606,62,43,48,4.31272866666667,32.25895,32.25895,0.159738316052271
"ACYP2","Acyp2",19.970122,18.999944,21.835026,397,333,315,20.268364,455.27652,455.27652,0.0466128829070582
"ADA","Ada",0.18598,0.200169,0.265664,9,6,10,0.217271,13.42221,13.42221,0.0844025291546857
"ADAD1","Adad1",0,0,0,0,0,0,0,0,0,1
"ADAD2","Adad2",0,0,0,0,0,0,0,2.09528,2.09528,0.323072549171642
"ADAL","Adal",2.157559,1.683546,2.011885,130,108,87,1.95099666666667,6.32732,6.32732,0.402738882247079
"ADAM10","Adam10",3.834291,4.05923,4.559764,563,536,471,4.151095,25.70344,25.70344,0.192900053326463
"ADAM11","Adam11",1.448247,1.954793,3.153951,139,140,158,2.18566366666667,19.9155,19.9155,0.152311140860446
"ADAM12","Adam12",0.150907,0.080352,0.115723,10,9,10,0.115660666666667,1.95006,1.95006,0.37818236465247
"ADAM15","Adam15",17.491003,13.636563,13.20672,547,513,361,14.7780953333333,157.24943,157.24943,0.0997039631253859
"ADAM17","Adam17",6.123527,7.983441,5.618549,390,395,318,6.57517233333333,11.9493,11.9493,0.584987013455039
"ADAM18","Adam18",0,0,0,0,0,0,0,0,0,1
"ADAM19","Adam19",0.972644,0.997124,1.223232,177,164,176,1.06433333333333,4.56397,4.56397,0.371018056052303
"ADAM1A","Adam1a",0.582717,0.326396,0.400924,75,39,36,0.436679,1.5559,1.5559,0.562102977424782
"ADAM1B","Adam1b",0.040331,0.049523,0.020539,4,5,2,0.0367976666666667,0.37342,0.37342,0.754902117827516
"ADAM2","Adam2",0.050539,0.081262,0,2,3,0,0.0439336666666667,1.34844,1.34844,0.444522179262262
"ADAM20","Adam25",0,0,0,0,0,0,0,0,0,1
"ADAM21","Adam21",0.033798,0.012098,0,3,1,0,0.0152986666666667,0.41491,0.41491,0.717571200052771
"ADAM22","Adam22",0.895829,1.635207,0.492153,144,161,94,1.00772966666667,21.4299,21.4299,0.0895113070796868
"ADAM23","Adam23",0.655264,0.749025,0.282187,39,27,24,0.562158666666667,13.42221,13.42221,0.108316178079966
"ADAM24P","Adam24",0,0,0,0,0,0,0,0,0,1
"ADAM28","Adam28",0.010701,0,0,1,0,0,0.003567,18.21438,18.21438,0.0522299964922105
"ADAM29","Adam29",0,0,0,0,0,0,0,0.08298,0.08298,0.923378086391254
"ADAM32","Adam32",0.030153,0.737287,0.081133,2,4,1,0.282857666666667,8.92048,8.92048,0.129314072168551
"ADAM33","Adam33",0.209084,0.129254,0.201373,14,10,3,0.179903666666667,7.98694,7.98694,0.131290925127648
"ADAM3A","Adam3",0.013241,0,0,1,0,0,0.00441366666666667,0.74683,0.74683,0.574992224009587
"ADAM5","Adam5",0,0.017579,0,0,1,0,0.00585966666666667,0,0,1.00585966666667
"ADAM7","Adam7",0,0,0,0,0,0,0,0,0,1
"ADAM8","Adam8",0.319007,0.245131,0.090992,9,2,6,0.218376666666667,7.5098,7.5098,0.143173360909383
"ADAM9","Adam9",6.528288,6.476178,5.829731,685,639,546,6.27806566666667,17.84096,17.84096,0.386289534432782
"ADAMDEC1","Adamdec1",0,0,0,0,0,0,0,0.12447,0.12447,0.889307851699023
"ADAMTS1","Adamts1",3.856536,3.310445,4.459133,479,383,325,3.87537133333333,17.15637,17.15637,0.268521259113652
"ADAMTS10","Adamts10",3.951995,3.513514,2.316164,242,203,155,3.26055766666667,7.03266,7.03266,0.530404332645309
"ADAMTS12","Adamts12",0.095355,0.087801,0.080389,28,24,17,0.0878483333333333,2.6554,2.6554,0.297600353814448
"ADAMTS13","Adamts13",0,0,0,0,0,0,0,7.07415,7.07415,0.123852046345436
"ADAMTS15","Adamts15",0.346914,0.20895,0.849725,71,41,53,0.468529666666667,0.43565,0.43565,1.02290228584033
"ADAMTS16","Adamts16",0,0,0,0,0,0,0,0.41491,0.41491,0.706758733771053
"ADAMTS18","Adamts18",0.017685,0,0.012506,2,0,1,0.0100636666666667,6.4103,6.4103,0.136305367753892
"ADAMTS19","Adamts19",0.032772,0.021315,0.071086,5,3,7,0.0417243333333333,1.74261,1.74261,0.379829554086557
"ADAMTS2","Adamts2",5.077637,5.422281,10.754545,236,210,191,7.084821,4.02459,4.02459,1.60905088773412
"ADAMTS20","Adamts20",0.13816,0.044996,0.024598,6,5,2,0.0692513333333333,0.06224,0.06224,1.00660051714616
"ADAMTS4","Adamts4",0.032952,0.042039,0.036994,5,6,4,0.0373283333333333,36.36652,36.36652,0.0277609028973887
