"Hs_symbol","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"ABRACL","Abracl",31.510388,28.625277,45.292012,127,91,115,35.142559,12.22065,12.22065,2.73379591774988
"ABT1","Abt1",0.499136,0.4238,0.530647,73,58,56,0.484527666666667,6.18623,6.18623,0.206579481406338
"ABTB1","Abtb1",5.82147,7.44892,5.830129,156,143,134,6.36683966666667,4.75669,4.75669,1.27970060341388
"ABTB2","Abtb2",1.685686,1.76883,2.249357,255,274,221,1.901291,9.24772,9.24772,0.283115756480466
"ACAA1","Acaa1b",0.028191,0.028929,0,1,1,0,0.01904,53.95557,53.95557,0.0185429793558687
"ACAA2","Acaa2",248.985981,224.128048,293.242253,7301,6225,5954,255.452094,464.92872,464.92872,0.550410573531505
"ACACA","Acaca",1.200972,0.900763,0.781195,175,153,147,0.960976666666667,12.71403,12.71403,0.142990548122373
"ACACB","Acacb",15.474208,14.95871,16.499206,4311,3965,3460,15.6440413333333,82.2427,82.2427,0.199945957223076
"ACAD10","Acad10",0.598761,1.056781,1.076999,53,41,50,0.910847,36.26978,36.26978,0.0512706809645777
"ACAD11","Acad11",20.220395,25.148927,24.795126,1888,1884,1652,23.3881493333333,82.07824,82.07824,0.293556403377507
"ACAD8","Acad8",12.259437,10.062579,9.130213,439,390,308,10.4840763333333,42.62047,42.62047,0.26327264088015
"ACAD9","Acad9",14.866479,14.620374,16.037408,450,448,379,15.1747536666667,27.40158,27.40158,0.569501896256006
"ACADL","Acadl",202.319337,208.242625,216.801061,9518,8357,7420,209.121007666667,2.37835,2.37835,62.1963407185954
"ACADM","Acadm",734.222656,649.816797,808.160715,11829,9984,9558,730.733389333333,605.13729,605.13729,1.20720734626529
"ACADS","Acads",43.777134,43.427381,54.486167,1956,1744,1558,47.2302273333333,4.26331,4.26331,9.16347836880847
"ACADSB","Acadsb",128.314701,142.932978,153.196559,1614,1467,1364,141.481412666667,53.39893,53.39893,2.61919513245328
"ACADVL","Acadvl",139.431027,132.111617,154.831617,9440,8497,7659,142.124753666667,1863.68724,1863.68724,0.0767553671181161
"ACAN","Acan",0.015363,0.024935,0.010729,4,3,2,0.017009,0.48073,0.48073,0.686829469248276
"ACAP1","Acap1",0.252565,0.107747,0.114382,16,5,7,0.158231333333333,2.32774,2.32774,0.348053433661684
"ACAP2","Acap2",2.510354,3.088726,3.307991,345,341,264,2.96902366666667,9.82965,9.82965,0.366496024032787
"ACAT1","Acat1",93.491079,94.716414,110.493341,5260,5078,4190,99.5669446666667,1020.66473,1020.66473,0.0984343901806874
"ACAT2","Acat2",0.66719,0.447738,1.304108,34,26,33,0.806345333333333,7.69167,7.69167,0.207824886740216
"ACBD3","Acbd3",2.402008,2.812018,2.585089,261,286,201,2.599705,32.47455,32.47455,0.107535575534249
"ACBD5","Acbd5",2.76439,3.148991,3.874531,318,223,239,3.26263733333333,76.06913,76.06913,0.0553092701751445
"ACBD6","Acbd6",7.456026,9.740249,9.378408,138,215,119,8.85822766666667,51.90614,51.90614,0.18633428306557
"ACBD7","Acbd7",0.204416,0.219119,0.143098,2,2,1,0.188877666666667,0.13916,0.13916,1.04364414714936
"ACCS","Accs",0.560678,1.577455,1.883585,37,56,40,1.34057266666667,14.88997,14.88997,0.147298746735624
"ACCSL","Accsl",0,0,0,0,0,0,0,0,0,1
"ACD","Acd",1.489058,1.256628,1.749415,61,49,54,1.498367,0.54398,0.54398,1.6181343022578
"ACE","Ace",5.44445,6.520775,5.744452,634,788,585,5.90322566666667,3.12474,3.12474,1.67361474096953
"ACE2","Ace2",0.168836,0.249512,0.378854,15,17,20,0.265734,58.85142,58.85142,0.0211479360055284
"ACE3P","Ace3",0,0,0,0,0,0,0,0,0,1
"ACER1","Acer1",0.013295,0,0,1,0,0,0.00443166666666667,0,0,1.00443166666667
"ACER2","Acer2",2.221571,2.142382,1.847638,289,254,156,2.07053033333333,1.63195,1.63195,1.16663703084532
"ACER3","Acer3",0.926464,1.225774,1.221333,111,103,103,1.12452366666667,7.31215,7.31215,0.255592556278059
"ACHE","Ache",0.171761,0.250681,0.356746,15,19,19,0.259729333333333,0.20241,0.20241,1.04767037311178
"ACIN1","Acin1",11.374627,9.188783,8.456991,624,549,377,9.673467,105.63399,105.63399,0.100094416423881
"ACLY","Acly",5.502024,5.385161,3.778894,400,366,307,4.888693,22.50573,22.50573,0.250521596223559
"ACMSD","Acmsd",0,0.051825,0.043596,0,3,2,0.031807,0.18976,0.18976,0.867239611350188
"ACO1","Aco1",3.025734,3.427605,3.641342,344,340,322,3.36489366666667,76.4613,76.4613,0.0563493469211938
"ACO2","Aco2",417.561995,438.868693,454.781168,22690,21156,18663,437.070618666667,389.11261,389.11261,1.12293375665726
"ACOT1","Acot3",0.184964,0.130714,0.304544,11,9,16,0.206740666666667,5.59164,5.59164,0.183071385370965
"ACOT11","Acot11",3.849478,4.688608,4.957258,323,275,216,4.498448,13.32127,13.32127,0.383935782231604
"ACOT12","Acot12",0,0,0,0,0,0,0,0,0,1
"ACOT13","Acot13",395.632453,377.75228,442.9371,1311,1270,1043,405.440611,205.92936,205.92936,1.96415149111755
"ACOT2","Acot2",7.7519,7.104215,8.971836,492,470,388,7.94265033333333,29.46366,29.46366,0.293551409559237
"ACOT4","Acot4",0.165596,0.144667,0.185633,33,17,26,0.165298666666667,1.16387,1.16387,0.538525265689097
"ACOT6","Acot6",0.552336,0.322506,0.388205,56,33,27,0.421015666666667,0,0,1.42101566666667
"ACOT7","Acot7",12.066454,10.657095,11.339034,443,375,355,11.3541943333333,1.83436,1.83436,4.35872448571576
"ACOT8","Acot8",1.641596,1.505389,1.975407,52,44,36,1.707464,13.29597,13.29597,0.18938651941771
"ACOT9","Acot9",4.072205,4.855018,4.790514,198,221,169,4.572579,106.24123,106.24123,0.0519630276527041
"ACOX1","Acox1",32.90367,31.658302,34.80923,3684,3423,2793,33.123734,34.67578,34.67578,0.956495807519835
"ACOX2","Acox2",0.180945,0.256774,0.112875,6,4,5,0.183531333333333,92.35068,92.35068,0.0126783364977452
"ACOX3","Acox3",5.436548,3.876888,8.096525,278,282,221,5.80332033333333,7.42601,7.42601,0.807418972127179
"ACOXL","Acoxl",0.021636,0,0,2,0,0,0.007212,0,0,1.007212
"ACP1","Acp1",5.66495,7.242556,7.48916,190,232,154,6.79888866666667,107.3545,107.3545,0.0719756785981816
"ACP2","Acp2",1.730692,1.916966,2.292059,251,242,234,1.97990566666667,15.85142,15.85142,0.176834098649649
"ACP5","Acp5",0.07349,0.157873,0.034358,3,6,1,0.0885736666666667,3.2639,3.2639,0.255299999218243
"ACP6","Acp6",3.884854,3.981793,3.69741,158,166,131,3.85468566666667,12.65078,12.65078,0.355634305634306
"ACR","Acr",0.021936,0,0.11907,1,0,2,0.047002,0.46808,0.46808,0.713177755980601
"ACRBP","Acrbp",0.973677,0.635086,0.428227,20,12,5,0.678996666666667,1.01206,1.01206,0.834466500336305
"ACRV1","Acrv1",0,0.020824,0.013454,0,2,1,0.011426,0.13916,0.13916,0.88787000948067
"ACSBG1","Acsbg1",0.030745,0,0.04316,3,0,3,0.024635,136.09706,136.09706,0.00747379265463461
"ACSBG2","Acsbg2",0.011693,0,0,1,0,0,0.00389766666666667,0.16446,0.16446,0.862114341983981
"ACSF2","Acsf2",7.891,12.373069,10.895599,350,367,340,10.386556,23.65695,23.65695,0.461799046516297
"ACSF3","Acsf3",2.997409,3.249149,4.273128,216,222,220,3.506562,9.56399,9.56399,0.426596579512097
"ACSL1","Acsl1",205.487387,212.938162,241.722004,10340,9955,9069,220.049184333333,696.3241,696.3241,0.316996335467731
"ACSL3","Acsl3",1.316494,1.101578,1.23888,64,36,54,1.218984,49.31273,49.31273,0.0441038281961643
"ACSL4","Acsl4",3.808227,3.388927,6.217699,163,151,156,4.47161766666667,42.81023,42.81023,0.124893607421524
"ACSL5","Acsl5",6.898301,9.129866,3.381648,183,235,138,6.46993833333333,14.33333,14.33333,0.487169997210869
"ACSL6","Acsl6",2.786717,1.936377,3.098567,152,129,148,2.60722033333333,3.50427,3.50427,0.800844605970187
"ACSM1","Acsm1",0,0,0,0,0,0,0,0.70844,0.70844,0.585329306267706
"ACSM2B","Acsm2",0,0,0.156331,0,0,1,0.0521103333333333,0.51868,0.51868,0.692779475158251
"ACSM3","Acsm3",0.028766,0.030908,0.038958,1,1,1,0.0328773333333333,75.80346,75.80346,0.0134483177363798
"ACSM4","Acsm4",0,0,0,0,0,0,0,0,0,1
"ACSM5","Acsm5",0.870292,1.135048,0.688642,49,59,32,0.897994,1.12592,1.12592,0.892787122751562
"ACSS1","Acss1",65.371472,67.562517,72.050659,4063,3934,3335,68.328216,86.78433,86.78433,0.789756167188381
"ACSS2","Acss2",4.763676,4.718603,4.527287,336,365,266,4.66985533333333,127.14031,127.14031,0.0442472422092106
"ACSS3","Acss3",0.160808,0.170282,0.21361,18,20,20,0.181566666666667,33.436,33.436,0.0343119603515701
"ACTA1","Acta1",51.289934,61.467194,82.964551,2091,2521,2549,65.2405596666667,2743.75123,2743.75123,0.0241335385672335
"ACTA2","Acta2",17.260344,17.274081,24.335669,702,685,755,19.6233646666667,189.23033,189.23033,0.10841259996062
"ACTB","Actb",136.830217,155.493589,196.557468,1850,2109,1892,162.960424666667,881.43027,881.43027,0.185805530749378
"ACTBL2","Actbl2",0,0,0,0,0,0,0,0,0,1
"ACTC1","Actc1",1652.587288,1979.343797,2200.213129,72329,80862,69991,1944.04807133333,12463.16647,12463.16647,0.156051194920645
"ACTG1","Actg1",50.783003,73.060644,81.120304,2154,2389,1859,68.321317,170.15296,170.15296,0.405025522199558
"ACTG2","Actg2",0.588708,0.126647,0.270987,11,4,6,0.328780666666667,4.54163,4.54163,0.239781556449396
"ACTL10","Actl10",0.041749,0,0,2,0,0,0.0139163333333333,0.08856,0.08856,0.931428982631489
"ACTL6A","Actl6a",5.758671,7.408636,7.139931,198,174,137,6.76907933333333,42.96204,42.96204,0.176722448124185
"ACTL6B","Actl6b",0.019678,0,0,2,0,0,0.00655933333333333,0,0,1.00655933333333
"ACTL7A","Actl7a",0,0,0,0,0,0,0,0,0,1
"ACTL7B","Actl7b",0,0,0,0,0,0,0,0,0,1
"ACTL9","Actl9",0,0,0,0,0,0,0,0,0,1
"ACTN1","Actn1",3.268112,3.770261,3.860983,265,258,210,3.63311866666667,35.48543,35.48543,0.126985447798386
"ACTN2","Actn2",327.332679,319.092711,346.539041,15681,14365,11696,330.988143666667,1533.36279,1533.36279,0.216368740059622
"ACTN4","Actn4",14.849163,17.783651,17.714649,928,1020,798,16.7824876666667,49.46454,49.46454,0.352375899327858
"ACTR10","Actr10",29.53719,31.341786,36.781408,412,385,366,32.5534613333333,210.81256,210.81256,0.15841110335163
"ACTR1A","Actr1a",12.536819,14.606975,18.850522,933,877,754,15.3314386666667,83.50778,83.50778,0.193253670451013
"ACTR1B","Actr1b",15.67809,21.241687,19.613595,865,888,683,18.8444573333333,20.64607,20.64607,0.916769525984778
"ACTR2","Actr2",8.312352,7.902644,9.416639,925,794,758,8.54387833333333,93.84347,93.84347,0.100627679832184
"ACTR3","Actr3",19.559059,27.877054,23.424273,871,852,820,23.6201286666667,104.47012,104.47012,0.233432261826067
"ACTR3B","Actr3b",6.941237,8.886885,7.689871,391,466,315,7.839331,13.92851,13.92851,0.592110733087227
"ACTR5","Actr5",0.89832,0.671854,0.734117,34,37,33,0.768097,3.65607,3.65607,0.379740210091343
"ACTR6","Actr6",2.354851,1.648426,2.16182,84,77,63,2.05503233333333,30.9944,30.9944,0.0954864705490127
"ACTR8","Actr8",5.710714,4.109577,5.914341,299,257,184,5.24487733333333,19.38099,19.38099,0.306406967146019
"ACTRT1","Actrt1",0,0,0,0,0,0,0,0,0,1
"ACTRT2","Actrt2",0,0,0,0,0,0,0,0,0,1
"ACTRT3","Actrt3",0,0.018259,0,0,1,0,0.00608633333333333,1.25243,1.25243,0.446667081033965
"ACVR1","Acvr1",1.693994,1.35383,1.836462,137,113,117,1.62809533333333,23.97322,23.97322,0.105236542717893
"ACVR1B","Acvr1b",1.643187,1.566738,1.574481,251,224,172,1.594802,10.04472,10.04472,0.234935969404385
"ACVR1C","Acvr1c",0.006982,0.003505,0,1,1,0,0.00349566666666667,0.0759,0.0759,0.932703473061313
"ACVR2A","Acvr2a",2.08354,1.882725,2.207467,282,231,222,2.05791066666667,7.17299,7.17299,0.374148343099241
"ACVR2B","Acvr2b",0.459848,0.362405,0.568235,35,25,22,0.463496,0.0506,0.0506,1.39300970873786
"ACVRL1","Acvrl1",10.263452,13.048464,12.868665,312,312,204,12.0601936666667,13.16946,13.16946,0.921714283160167
"ACY1","Acy1",4.757062,3.849426,5.091179,101,91,77,4.565889,5.02236,5.02236,0.924203966551319
"ACY3","Acy3",5.171134,6.449468,5.868099,142,172,139,5.829567,0,0,6.829567
"ACYP1","Acyp1",4.460568,3.563012,4.914606,62,43,48,4.31272866666667,40.39393,40.39393,0.128345597208737
"ACYP2","Acyp2",19.970122,18.999944,21.835026,397,333,315,20.268364,157.43893,157.43893,0.134236983296971
"ADA","Ada",0.18598,0.200169,0.265664,9,6,10,0.217271,5.95852,5.95852,0.174932456901755
"ADAD1","Adad1",0,0,0,0,0,0,0,0.0506,0.0506,0.951837045497811
"ADAD2","Adad2",0,0,0,0,0,0,0,0,0,1
"ADAL","Adal",2.157559,1.683546,2.011885,130,108,87,1.95099666666667,43.1518,43.1518,0.0668375166282386
"ADAM10","Adam10",3.834291,4.05923,4.559764,563,536,471,4.151095,30.8426,30.8426,0.161767412208802
"ADAM11","Adam11",1.448247,1.954793,3.153951,139,140,158,2.18566366666667,0.64519,0.64519,1.93635000617963
"ADAM12","Adam12",0.150907,0.080352,0.115723,10,9,10,0.115660666666667,0.08856,0.08856,1.02489588692095
"ADAM15","Adam15",17.491003,13.636563,13.20672,547,513,361,14.7780953333333,10.82907,10.82907,1.33384072740573
"ADAM17","Adam17",6.123527,7.983441,5.618549,390,395,318,6.57517233333333,16.67372,16.67372,0.428612218216274
"ADAM18","Adam18",0,0,0,0,0,0,0,0,0,1
"ADAM19","Adam19",0.972644,0.997124,1.223232,177,164,176,1.06433333333333,8.9188,8.9188,0.208123294484548
"ADAM1A","Adam1a",0.582717,0.326396,0.400924,75,39,36,0.436679,2.55546,2.55546,0.404076828314761
"ADAM1B","Adam1b",0.040331,0.049523,0.020539,4,5,2,0.0367976666666667,5.26272,5.26272,0.165550697886328
"ADAM2","Adam2",0.050539,0.081262,0,2,3,0,0.0439336666666667,0,0,1.04393366666667
"ADAM20","Adam25",0,0,0,0,0,0,0,0.21506,0.21506,0.823004625285994
"ADAM21","Adam21",0.033798,0.012098,0,3,1,0,0.0152986666666667,0.44278,0.44278,0.703709967331587
"ADAM22","Adam22",0.895829,1.635207,0.492153,144,161,94,1.00772966666667,2.3657,2.3657,0.596526626457102
"ADAM23","Adam23",0.655264,0.749025,0.282187,39,27,24,0.562158666666667,83.65959,83.65959,0.0184522352006036
"ADAM24P","Adam24",0,0,0,0,0,0,0,0,0,1
"ADAM28","Adam28",0.010701,0,0,1,0,0,0.003567,3.2892,3.2892,0.233975333395505
"ADAM29","Adam29",0,0,0,0,0,0,0,0,0,1
"ADAM32","Adam32",0.030153,0.737287,0.081133,2,4,1,0.282857666666667,0.54398,0.54398,0.830877127078503
"ADAM33","Adam33",0.209084,0.129254,0.201373,14,10,3,0.179903666666667,8.48867,8.48867,0.124348688137185
"ADAM3A","Adam3",0.013241,0,0,1,0,0,0.00441366666666667,0,0,1.00441366666667
"ADAM5","Adam5",0,0.017579,0,0,1,0,0.00585966666666667,0,0,1.00585966666667
"ADAM7","Adam7",0,0,0,0,0,0,0,0,0,1
"ADAM8","Adam8",0.319007,0.245131,0.090992,9,2,6,0.218376666666667,0.0253,0.0253,1.18831236386098
"ADAM9","Adam9",6.528288,6.476178,5.829731,685,639,546,6.27806566666667,112.00998,112.00998,0.0644019728759059
"ADAMDEC1","Adamdec1",0,0,0,0,0,0,0,0.08856,0.08856,0.918644815168663
"ADAMTS1","Adamts1",3.856536,3.310445,4.459133,479,383,325,3.87537133333333,36.80111,36.80111,0.128974290261141
"ADAMTS10","Adamts10",3.951995,3.513514,2.316164,242,203,155,3.26055766666667,0.27832,0.27832,3.33293515447358
"ADAMTS12","Adamts12",0.095355,0.087801,0.080389,28,24,17,0.0878483333333333,1.32833,1.32833,0.467222572974335
"ADAMTS13","Adamts13",0,0,0,0,0,0,0,2.06208,2.06208,0.326575399728289
"ADAMTS15","Adamts15",0.346914,0.20895,0.849725,71,41,53,0.468529666666667,5.11091,5.11091,0.240312763020019
"ADAMTS16","Adamts16",0,0,0,0,0,0,0,0,0,1
"ADAMTS18","Adamts18",0.017685,0,0.012506,2,0,1,0.0100636666666667,0,0,1.01006366666667
"ADAMTS19","Adamts19",0.032772,0.021315,0.071086,5,3,7,0.0417243333333333,0.17711,0.17711,0.884984694152062
"ADAMTS2","Adamts2",5.077637,5.422281,10.754545,236,210,191,7.084821,2.34039,2.34039,2.42032247731552
"ADAMTS20","Adamts20",0.13816,0.044996,0.024598,6,5,2,0.0692513333333333,0,0,1.06925133333333
"ADAMTS4","Adamts4",0.032952,0.042039,0.036994,5,6,4,0.0373283333333333,2.37835,2.37835,0.3070517659015
"ADAMTS5","Adamts5",0.864561,0.807712,0.929118,327,282,251,0.867130333333333,4.52898,4.52898,0.337698876344883
"ADAMTS7","Adamts7",1.76571,1.758245,2.959173,246,217,232,2.16104266666667,0.97411,0.97411,1.60124950821721
