"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"DAPK1",71.91232,41.14594,29.3861,47.4814533333333,15.73317,15.73317,2.89732628864306
"DAPK2",12.27529,10.11378,31.96421,18.11776,12.47154,12.47154,1.41912208997635
"DAPK3",25.87584,26.58321,46.93037,33.1298066666667,77.09774,77.09774,0.437014011758428
"DAPL1",1.259,2.01723,1.74787,1.6747,95.98799,95.98799,0.0275776413141462
"DAPP1",0.89456,0.44213,0.30588,0.547523333333333,0.87813,0.87813,0.823970296695827
"DARC",23.29157,15.6957,16.01488,18.33405,178.84584,178.84584,0.107503459629647
"DARS",109.21859,168.48005,146.29691,141.33185,35.68972,35.68972,3.87933868124368
"DARS2",7.09018,9.03608,2.92769,6.35131666666667,4.15021,4.15021,1.42738192552666
"DAXX",26.55504,37.16675,32.11715,31.9463133333333,22.77911,22.77911,1.38551498913682
"DAZ1",0,0,0,0,0,0,1
"DAZ2",0,0,0,0,0,0,1
"DAZ3",0,0,0,0,0,0,1
"DAZ4",0,0,0,0,0,0,1
"DAZAP1",89.98565,91.77009,120.01328,100.589673333333,73.04161,73.04161,1.37206191671593
"DAZAP2",221.56813,218.44101,164.32184,201.44366,199.58644,199.58644,1.00925895090416
"DAZAP2P1",0,0,0,0,0.03136,0.03136,0.969593546385355
"DAZL",0.18222,0.05527,0,0.0791633333333333,0.02091,0.02091,1.05706020445811
"DBC1",57.71539,63.55652,64.19061,61.82084,11.67704,11.67704,4.9554817212851
"DBF4",3.28004,1.93433,1.33275,2.18237333333333,1.80853,1.80853,1.13310996618634
"DBF4B",26.22373,15.3641,15.7964,19.1280766666667,4.63109,4.63109,3.57445479767979
"DBH",0.82829,0.88426,2.62181,1.44478666666667,0.21953,0.21953,2.00469579810801
"DBI",167.11621,186.55221,267.79589,207.15477,612.47487,612.47487,0.339304477133676
"DBIL5P",7.43806,7.29518,0.78654,5.17326,0.81541,0.81541,3.40047702722801
"DBIL5P2",0,0,0,0,0.1359,0.1359,0.880359186548112
"DBIP1",0,0,0,0,0,0,1
"DBIP2",0,0,0,0,0,0,1
"DBN1",156.01709,125.12345,108.04036,129.726966666667,85.22044,85.22044,1.51619461309484
"DBNDD1",37.72042,43.41187,93.72965,58.2873133333333,122.46779,122.46779,0.480184454045329
"DBNDD2",412.75451,318.77742,272.42775,334.653226666667,161.24142,161.24142,2.0688504000191
"DBNL",84.98277,77.31789,90.29945,84.2000366666667,146.38639,146.38639,0.578072620319058
"DBP",66.59468,68.22655,49.18076,61.3339966666667,10.69437,10.69437,5.33025692420085
"DBR1",6.89139,5.16742,6.99149,6.3501,5.16424,5.16424,1.19237732469858
"DBT",7.85221,7.54388,5.13437,6.84348666666667,5.25833,5.25833,1.25328748510652
"DBX1",0,0,0,0,0.04182,0.04182,0.959858708798065
"DBX2",1.78911,1.10533,2.0756,1.65668,0.12545,0.12545,2.36054911368786
"DCAF10",11.72862,8.15181,9.98472,9.95505,11.81294,11.81294,0.854998930768426
"DCAF11",58.16267,61.01426,49.57403,56.25032,41.81572,41.81572,1.33713318379324
"DCAF12",10.95002,8.64921,8.91415,9.50446,9.01129,9.01129,1.04926138389758
"DCAF12L1",0,0,0.13109,0.0436966666666667,0.07318,0.07318,0.972527131205079
"DCAF12L2",2.40205,1.3264,1.26721,1.66522,1.97579,1.97579,0.895634436569785
"DCAF13",13.00419,9.47821,5.65874,9.38038,23.04046,23.04046,0.431787910880241
"DCAF13P1",0,0,0.17479,0.0582633333333333,0,0,1.05826333333333
"DCAF13P2",0,0,0,0,0,0,1
"DCAF13P3",0,0,0,0,0.04182,0.04182,0.959858708798065
"DCAF15",27.68152,26.38977,30.12895,28.0667466666667,38.40774,38.40774,0.737589789890683
"DCAF16",21.10488,13.09817,25.58448,19.9291766666667,7.8509,7.8509,2.36463824771116
"DCAF17",5.06915,5.55429,3.75793,4.79379,2.82256,2.82256,1.51568320706542
"DCAF4",9.11121,7.23992,9.26372,8.53828333333333,16.32904,16.32904,0.550421912196713
"DCAF4L1",0.26505,0.35923,0.08739,0.237223333333333,0.06272,0.06272,1.16420443139617
"DCAF4L2",0,0,0,0,0.01045,0.01045,0.989658073135732
"DCAF5",18.37152,15.17067,13.21828,15.5868233333333,10.81982,10.81982,1.40330591610814
"DCAF6",60.94573,59.2181,72.14343,64.10242,65.66114,65.66114,0.976617261570984
"DCAF7",21.08832,22.65928,15.88379,19.87713,14.39506,14.39506,1.35609279859903
"DCAF8",89.19049,78.11926,90.69272,86.0008233333333,54.13045,54.13045,1.57809020846616
"DCAF8L1",0,0,0,0,0,0,1
"DCAF8L2",0,0,0,0,0,0,1
"DCAKD",98.9809,102.6576,100.76484,100.801113333333,37.01737,37.01737,2.67775265183608
"DCBLD1",3.26347,2.90149,6.07386,4.07960666666667,2.23714,2.23714,1.56916496248746
"DCBLD2",11.79488,13.48504,21.43328,15.5710666666667,6.34554,6.34554,2.25593580140693
"DCC",12.17589,9.00845,7.494,9.55944666666667,0.17772,0.17772,8.96600776641873
"DCD",0.66263,0.55267,0.76469,0.659996666666667,0,0,1.65999666666667
"DCDC1",0.38101,0.11053,0,0.163846666666667,0.05227,0.05227,1.1060342561003
"DCDC2",2.12043,5.19505,1.09242,2.80263333333333,0.12545,0.12545,3.37876701171383
"DCDC2B",0.51354,0.3316,0.24033,0.361823333333333,0.02091,0.02091,1.33393083947981
"DCDC2C",0,0,0.39327,0.13109,0.50179,0.50179,0.753161227601729
"DCDC5",1.10991,0.93953,0.34957,0.79967,0.09409,0.09409,1.64490124212816
"DCHS1",6.95765,6.60435,3.40835,5.65678333333333,0.62724,0.62724,4.09084298157207
"DCHS2",1.9879,1.7409,0.6773,1.4687,0.57497,0.57497,1.56745842777958
"DCK",42.22633,21.91318,41.73045,35.2899866666667,9.69079,9.69079,3.39450935493698
"DCLK1",39.12852,31.97169,40.96576,37.3553233333333,18.69163,18.69163,1.94779829467308
"DCLK2",105.37532,102.0773,111.31762,106.256746666667,14.16508,14.16508,7.07261331075515
"DCLK3",9.07808,5.58192,0.65545,5.10515,2.68666,2.68666,1.65601113202736
"DCLRE1A",3.87641,3.15019,2.35963,3.12874333333333,2.27896,2.27896,1.25916245801514
"DCLRE1B",2.48488,2.10013,2.92769,2.50423333333333,1.65172,1.65172,1.32149447654101
"DCLRE1C",20.32629,7.15702,3.4302,10.3045033333333,2.77029,2.77029,2.99831135889635
"DCN",135.42575,117.88353,104.23873,119.18267,839.53424,839.53424,0.142983669529037
"DCP1A",8.33262,5.80299,6.51082,6.88214333333333,2.54031,2.54031,2.22639919479744
"DCP1B",10.98315,8.64921,5.65874,8.43036666666667,7.06686,7.06686,1.16902570103692
"DCP2",5.41703,3.75812,3.99826,4.39113666666667,8.01816,8.01816,0.59780893959152
"DCPS",6.09623,6.60435,9.11078,7.27045333333333,15.28365,15.28365,0.507899232256486
"DCST1",0,0.0829,0,0.0276333333333333,0.06272,0.06272,0.966984091137208
"DCST2",4.48934,3.03966,1.07057,2.86652333333333,1.3381,1.3381,1.65370314928076
"DCSTAMP",0,0.829,0.41512,0.414706666666667,0.07318,0.07318,1.31823800915659
"DCT",2.48488,2.18303,1.42015,2.02935333333333,0.11499,0.11499,2.71693318624681
