"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Brain_2_Hippocampus","dHs_Avg__TPM","FoldChange"
"STMN1P1",0,0,0,0,0,0,1
"STMN1P2",0,0,0,0,0,0,1
"STMN2",137.76154,91.85299,184.18204,137.93219,179.46766,179.46766,0.769845356226151
"STMN3",302.22721,278.68154,397.55356,326.154103333333,212.28673,212.28673,1.53386993805631
"STMN4",117.15363,83.23141,157.22111,119.20205,207.86798,207.86798,0.575492950140084
"STOM",153.84697,161.35067,51.34375,122.180463333333,38.10913,38.10913,3.14966002397224
"STOML1",44.84373,36.64172,48.96227,43.4825733333333,28.58703,28.58703,1.50344841416436
"STOML2",57.93075,63.52889,72.97367,64.8111033333333,54.89208,54.89208,1.17746742174085
"STOML3",0.24849,2.70806,0.37142,1.10932333333333,0,0,2.10932333333333
"STON1",1.01052,1.4922,0.74285,1.08185666666667,2.34422,2.34422,0.622523837147875
"STON1-GTF2A1L",0,0,0,0,2.03304,2.03304,0.329702212961253
"STON2",28.87426,37.05622,23.9677,29.96606,10.76681,10.76681,2.63164443039362
"STOX1",23.39097,28.4899,34.9356,28.9388233333333,7.26086,7.26086,3.6241775472933
"STOX2",7.58716,6.93595,7.73433,7.41914666666667,15.14407,15.14407,0.52150087720548
"STPG1",14.31289,10.72171,16.03673,13.6904433333333,11.07799,11.07799,1.21629868325221
"STPG2",0.0497,0.22107,1.22351,0.498093333333333,0.76758,0.76758,0.847539196717169
"STRA13",48.68701,51.23208,47.97909,49.2993933333333,47.15408,47.15408,1.04455101900677
"STRA6",0.41415,0,1.22351,0.545886666666667,1.01652,1.01652,0.766611125437222
"STRA8",0.53011,0.63557,0.26218,0.475953333333333,0.29043,0.29043,1.14376861459617
"STRADA",52.14927,38.18918,44.39596,44.91147,43.91782,43.91782,1.02212150990409
"STRADB",31.35914,32.13749,19.88205,27.7928933333333,32.21746,32.21746,0.866799970055908
"STRADBP1",0,0,0,0,0,0,1
"STRAP",111.60407,104.42613,102.03205,106.02075,87.75265,87.75265,1.20583160052122
"STRBP",31.50823,34.18236,43.28169,36.3240933333333,8.98272,8.98272,3.73887010086763
"STRC",8.94555,4.33842,11.0116,8.09852333333333,3.44372,3.44372,2.04750149274332
"STRCP1",0.21536,0.2487,0.28403,0.249363333333333,0.08298,0.08298,1.15363472394073
"STRN",9.69102,7.87548,4.1512,7.23923333333333,12.1775,12.1775,0.625250110668437
