"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Heart","dHs_Avg__TPM","FoldChange"
"AL034548.1",6.04653,7.04648,4.7411,5.94470333333333,18.15387,18.15387,0.362574421426758
"AL035460.1",0,0,0,0,0,0,1
"AL049542.1",0,0,0,0,0,0,1
"AL049636.1",0,0,0,0,0,0,1
"AL049757.3",0,0,0,0,0.22771,0.22771,0.814524602715625
"AL049758.2",0,0,0,0,0,0,1
"AL049840.1",1.83881,1.8238,2.05375,1.90545333333333,0.72109,0.72109,1.68814724002425
"AL078585.1",0.24849,0.88426,0,0.377583333333333,0.08856,0.08856,1.26550978662943
"AL078621.11",5.84774,11.30201,5.4621,7.53728333333333,3.15004,3.15004,2.0571568788092
"AL078621.13",0.31475,0,0,0.104916666666667,0,0,1.10491666666667
"AL078621.5",0,2.40409,0,0.801363333333333,0,0,1.80136333333333
"AL078633.1",1.9382,0.71847,0.13109,0.929253333333333,0.0759,0.0759,1.79315301917774
"AL079342.1",0,0.05527,0.08739,0.0475533333333333,0,0,1.04755333333333
"AL080274.1",0,0,0,0,0,0,1
"AL109806.1",0,0,1.70418,0.56806,0,0,1.56806
"AL109922.2",0,0,0,0,0,0,1
"AL117340.1",0,0,0.17479,0.0582633333333333,0.13916,0.13916,0.928985685358802
"AL118508.1",16.86403,0,0,5.62134333333333,0,0,6.62134333333333
"AL121578.5",0,0,0,0,0,0,1
"AL121578.7",0,0,0,0,0,0,1
"AL121657.4",0,0,0,0,0,0,1
"AL121758.1",6.5932,2.59753,9.32927,6.17333333333333,15.95263,15.95263,0.423139851063424
"AL121963.1",0,0,0,0,0,0,1
"AL121985.1",0,0,0,0,0,0,1
"AL132868.1",0,0,0,0,0.46808,0.46808,0.681161789548253
"AL133244.1",0,0,0,0,0,0,1
"AL133458.1",9.16091,4.42132,5.24362,6.27528333333333,0.54398,0.54398,4.71203210749708
"AL135901.1",0,0,6.1831,2.06103333333333,0,0,3.06103333333333
"AL135998.1",0,0,0,0,0,0,1
"AL136115.1",0.06626,0.0829,0.15294,0.1007,0.46808,0.46808,0.749754781755763
"AL136218.1",40.98389,54.90731,86.73816,60.8764533333333,6.27479,6.27479,8.50559993255246
"AL136219.1",19.76305,15.72333,17.58797,17.69145,16.55987,16.55987,1.06444125155824
"AL136419.1",0,0,0,0,0,0,1
"AL136531.1",0.08283,0,0,0.02761,0.13916,0.13916,0.902076968994698
"AL137003.1",0.14909,0.30397,0,0.15102,0.93616,0.93616,0.594485992893149
"AL137059.1",10.6684,2.54226,10.31245,7.84103666666667,1.96087,1.96087,2.98595908184644
"AL137067.1",0.33132,0,0.15294,0.16142,0,0,1.16142
"AL137145.1",0.33132,1.1606,0.6773,0.723073333333333,0.0759,0.0759,1.60151810887009
"AL137145.2",1.54062,1.7409,2.20669,1.82940333333333,0.0253,0.0253,2.75958581228258
"AL137798.1",1.07678,0.829,0,0.63526,0,0,1.63526
"AL138479.3",0,0,0,0,0,0,1
"AL138751.1",0,0,0,0,0,0,1
"AL138764.1",0,0,0,0,0,0,1
"AL138795.1",0,2.21066,0,0.736886666666667,0,0,1.73688666666667
"AL138815.1",0,0,0,0,0,0,1
"AL138831.1",1.57375,0.5803,0.74285,0.965633333333333,1.01206,1.01206,0.976925804068136
"AL138935.1",0,0,0,0,0,0,1
"AL138968.1",0.51354,0.6632,0.61176,0.596166666666667,0.24036,0.24036,1.28685757898245
"AL139099.1",0.48041,0.52503,0.15294,0.386126666666667,0.0506,0.0506,1.31936671108573
"AL139147.1",4.37338,1.68563,2.25039,2.7698,0.32892,0.32892,2.83673960810282
"AL139333.1",0,0,0,0,0,0,1
"AL139385.1",56.07537,55.23891,42.99766,51.4373133333333,22.51838,22.51838,2.22963117924506
"AL139812.1",0,0,0,0,0,0,1
"AL139819.1",15.85351,11.68887,0,9.18079333333333,7.88143,7.88143,1.14630113994406
"AL158821.1",6.49381,5.80299,11.31747,7.87142333333333,4.42777,4.42777,1.63445085796438
"AL158835.1",0,0,0,0,0,0,1
"AL160314.1",0.08283,0.27633,0,0.11972,0.06325,0.06325,1.05311074535622
"AL160471.6",0,0,0,0,0,0,1
"AL161645.1",3.82671,3.26073,4.87219,3.98654333333333,0,0,4.98654333333333
"AL161915.1",7.12331,9.75454,8.01836,8.29873666666667,1.12592,1.12592,4.37398240134467
"AL162151.3",0,0,0,0,0,0,1
"AL162389.1",17.47696,13.92717,21.8921,17.76541,11.92968,11.92968,1.45134373008458
"AL162407.1",6.29502,6.77015,7.71249,6.92588666666667,46.01088,46.01088,0.168596858145746
"AL162415.1",0,0,0,0,0,0,1
"AL162415.2",0,0,0,0,0,0,1
"AL162415.4",0,0,0,0,0,0,1
"AL162431.1",102.02902,87.68037,66.04772,85.25237,0,0,86.25237
"AL162458.1",0,0,0,0,0,0,1
"AL162497.1",22.43015,95.25189,142.12387,86.60197,23.5937,23.5937,3.56196790234898
"AL162574.1",0,0,0,0,0,0,1
"AL163952.1",3.28004,1.46456,0,1.58153333333333,0,0,2.58153333333333
"AL163953.1",0,0,0,0,0,0,1
"AL353354.1",0,0,0,0,0,0,1
"AL353608.1",0,0,0,0,0,0,1
"AL353662.1",0,0,0,0,0,0,1
"AL353662.2",49.53187,47.44633,35.24148,44.0732266666667,0,0,45.0732266666667
"AL353662.3",8.53141,0,0,2.84380333333333,0,0,3.84380333333333
"AL353671.1",0,0,0,0,0,0,1
"AL353671.2",7.55402,40.31694,22.37277,23.4145766666667,0,0,24.4145766666667
"AL353671.3",11.447,7.79258,11.47041,10.2366633333333,12.22065,12.22065,0.849932744103606
"AL353671.4",0,0,5.83352,1.94450666666667,0,0,2.94450666666667
"AL353698.1",0,0,0,0,0,0,1
"AL353791.1",4.68813,2.70806,1.11427,2.83682,2.94763,2.94763,0.971929993439101
"AL353898.1",3.72731,0,2.29408,2.00713,0,0,3.00713
"AL353898.2",3.2469,2.04486,2.53441,2.60872333333333,0.63254,0.63254,2.21049611852287
"AL353898.3",16.21796,20.36572,17.80645,18.1300433333333,1.87232,1.87232,6.66013652146465
"AL353997.11",0,0,0,0,0,0,1
"AL353997.4",0.14909,0.19343,0,0.114173333333333,0,0,1.11417333333333
"AL353997.7",0,0,0,0,0,0,1
