"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Heart","dHs_Avg__TPM","FoldChange"
"ADCY4",22.76147,22.43822,10.77126,18.6569833333333,34.05589,34.05589,0.560732685244429
"ADCY5",207.80191,157.17805,57.5487,140.842886666667,55.96704,55.96704,2.48991147629694
"ADCY6",20.06123,18.87352,16.69218,18.54231,57.8267,57.8267,0.332201364346462
"ADCY7",5.99683,2.92913,4.39153,4.43916333333333,0.27832,0.27832,4.25493095103991
"ADCY8",4.43965,7.40572,7.90912,6.58483,0,0,7.58483
"ADCY9",20.22689,17.07736,12.89056,16.7316033333333,12.91644,12.91644,1.27414793821792
"ADCYAP1",1.14304,0.3316,17.7846,6.41974666666667,0.36687,0.36687,5.42827530538139
"ADCYAP1R1",66.46216,77.81529,45.79425,63.3572333333333,5.16152,5.16152,10.4450254699057
"ADD1",391.05325,307.58594,317.56655,338.735246666667,128.91142,128.91142,2.61512996060444
"ADD2",36.34546,28.71097,40.61618,35.2242033333333,1.17652,1.17652,16.643175037828
"ADD3",712.86129,964.3459,1067.11974,914.775643333333,173.44216,173.44216,5.24973804115549
"ADGB",0.6295,4.08972,0.17479,1.63133666666667,0,0,2.63133666666667
"ADH1A",1.06021,0.85663,0.15294,0.689926666666667,0.25302,0.25302,1.3486829154097
"ADH1B",2.53457,3.97919,3.99826,3.50400666666667,134.288,134.288,0.0332919894348846
"ADH1C",0,0.52503,0,0.17501,12.208,12.208,0.0889619927316778
"ADH4",0,2.84623,0,0.948743333333333,0.16446,0.16446,1.6735167659974
"ADH5",54.15374,57.9746,40.70358,50.9439733333333,226.60073,226.60073,0.228224106896904
"ADH5P2",0,0,0,0,0,0,1
"ADH5P3",0,0,0.34957,0.116523333333333,0,0,1.11652333333333
"ADH5P4",0,0,0,0,0,0,1
"ADH6",0.03313,0,0.89578,0.309636666666667,0.29097,0.29097,1.01445941165687
"ADH7",0,0,0.15294,0.05098,0,0,1.05098
"ADHFE1",47.12982,58.11277,40.41955,48.5540466666667,136.10972,136.10972,0.361418918123869
"ADI1",40.93419,61.76036,32.96924,45.2212633333333,300.50657,300.50657,0.153301015408498
"ADIG",0,0.71847,0,0.23949,0,0,1.23949
"ADIPOQ",0.0497,0.19343,0.39327,0.212133333333333,0.80965,0.80965,0.669816447010932
"ADIPOR1",61.45927,54.35464,35.6566,50.49017,121.2071,121.2071,0.421335339763402
"ADIPOR2",51.86765,70.68591,48.00094,56.8515,53.12061,53.12061,1.06893658441766
"ADK",221.89945,181.68876,200.21877,201.268993333333,79.81376,79.81376,2.502902888485
"ADM",10.86719,10.72171,25.93406,15.8409866666667,6.5531,6.5531,2.22967876324511
"ADM2",0.79516,0.02763,0.15294,0.325243333333333,0,0,1.32524333333333
"ADNP",15.10805,15.83386,11.44856,14.1301566666667,34.11915,34.11915,0.430823544039838
"ADNP2",5.4336,5.00162,4.56632,5.00051333333333,6.79347,6.79347,0.769941160142187
"ADO",11.09911,9.47821,10.00657,10.19463,30.9691,30.9691,0.350170320715941
"ADORA1",49.36621,50.12675,42.29851,47.2638233333333,4.0609,4.0609,9.53660877182583
"ADORA2A",203.99177,184.70078,12.40989,133.700813333333,1.79641,1.79641,48.1691931202268
"ADORA2B",6.60977,8.31761,8.12761,7.68499666666667,0.91086,0.91086,4.54507220134739
"ADORA2BP",0,0,0,0,0,0,1
"ADORA3",26.62131,8.37288,7.40661,14.1336,8.70373,8.70373,1.55956523934611
"ADPGK",20.37598,17.40896,15.40312,17.7293533333333,21.91115,21.91115,0.817477661895336
"ADPRH",2.18669,1.46456,0.78654,1.47926333333333,15.21889,15.21889,0.152862701043865
"ADPRHL1",5.01945,3.15019,9.46036,5.87666666666667,185.67546,185.67546,0.0368375504025364
"ADPRHL2",26.90293,28.60044,33.14403,29.5491333333333,6.54045,6.54045,4.05136740291804
"ADPRM",3.4457,4.36606,5.94277,4.58484333333333,7.91939,7.91939,0.626146332129589
"ADRA1A",2.91559,2.73569,3.80162,3.15096666666667,11.61341,11.61341,0.32909155150484
"ADRA1B",2.36892,4.86346,25.2786,10.8369933333333,1.15122,1.15122,5.50245597072049
"ADRA1D",1.59032,1.2435,1.59493,1.47625,0.03795,0.03795,2.38571222120526
"ADRA2A",0.31475,0.55267,2.99323,1.28688333333333,0.32892,0.32892,1.72085854177327
"ADRA2B",2.48488,2.43173,0.28403,1.73354666666667,3.99765,3.99765,0.546966407544879
"ADRA2C",32.204,49.60172,11.12084,30.97552,0.25302,0.25302,25.5187626693907
"ADRB1",15.02522,12.21391,12.65023,13.2964533333333,20.94969,20.94969,0.651328257179638
"ADRB2",2.26952,2.59753,2.88399,2.58368,4.92115,4.92115,0.605233780600052
"ADRB3",0.03313,0,0.39327,0.142133333333333,0.0253,0.0253,1.11395038850418
"ADRBK1",137.54618,114.09778,349.96773,200.53723,15.33274,15.33274,12.3394623314888
"ADRBK2",4.05863,7.23992,10.22505,7.17453333333333,1.73316,1.73316,2.99087259192046
"ADRM1",68.40036,82.12608,67.53342,72.68662,6.62901,6.62901,9.65873946947245
"ADSL",33.62866,22.96325,25.12566,27.23919,61.87495,61.87495,0.449132603683979
"ADSS",15.53876,17.27079,23.11561,18.64172,12.37246,12.37246,1.46881875137409
"ADSSL1",18.57031,18.95642,15.51237,17.6797,150.5316,150.5316,0.123272637522471
"ADTRP",0.19879,0.4974,7.01334,2.56984333333333,0.32892,0.32892,2.68627406716231
"AE000658.25",0,0,0,0,0,0,1
"AE000658.26",0,0,0,0,0,0,1
"AE000658.27",0,0,0,0,0,0,1
"AE000658.29",0,0,0,0,0,0,1
"AE000658.30",0,0,0,0,0,0,1
"AE000659.23",0,0,0,0,0,0,1
"AE000659.41",0,0,0,0,0,0,1
"AE000660.4",0,0,0,0,0,0,1
"AE000661.36",0,0,0,0,0,0,1
"AE000662.92",0,0,0,0,0,0,1
"AEBP1",39.74145,63.25256,59.73354,54.2425166666667,5.7308,5.7308,8.20742209940374
"AEBP2",13.08701,11.27437,9.87548,11.4122866666667,24.13768,24.13768,0.493772164601772
"AEN",5.20167,4.36606,4.65371,4.74048,2.06208,2.06208,1.87469955063225
"AES",1431.90164,1473.76525,1929.49808,1611.72165666667,289.75341,289.75341,5.54669902810999
"AF003529.2",0,0,0,0,0,0,1
"AF013593.1",0,0,0,0,0,0,1
"AF038458.4",0,1.93433,3.12432,1.68621666666667,0,0,2.68621666666667
"AF121897.4",0.03313,0.05527,0,0.0294666666666667,0,0,1.02946666666667
"AF121898.1",0,0,0,0,0,0,1
"AF121898.2",0,0,0,0,0,0,1
"AF127577.1",0,0,0,0,0.03795,0.03795,0.963437545161135
"AF131215.1",0.31475,0,0,0.104916666666667,0,0,1.10491666666667
"AF131215.5",0,0.05527,0.17479,0.0766866666666667,0,0,1.07668666666667
"AF146191.1",0,0,0,0,0,0,1
"AF165138.7",0,0,0.76469,0.254896666666667,0,0,1.25489666666667
"AF186192.5",6.84169,6.68725,3.97641,5.83511666666667,22.11356,22.11356,0.295718905554431
"AF196972.10",0,0,0,0,0,0,1
"AF196972.2",0,0,0,0,0,0,1
"AF196972.3",0,0,0,0,0,0,1
"AF196972.4",0,0.11053,0,0.0368433333333333,0,0,1.03684333333333
"AF207550.1",0.38101,0.19343,0.65545,0.409963333333333,0.75905,0.75905,0.801548184152431
"AF213884.1",0,0,0,0,0,0,1
"AF224669.3",0,0,0,0,0,0,1
"AF228730.12",7.66998,4.17262,0,3.94753333333333,0,0,4.94753333333333
"AF228730.13",0,0,0,0,0,0,1
"AF228730.5",0,0,0,0,0,0,1
"AF228730.7",0,0,0,0,0,0,1
"AF228730.8",13.13671,0,11.53596,8.22422333333333,0,0,9.22422333333333
"AF238378.7",0,0,0,0,0,0,1
"AF238380.3",6.41098,5.49902,11.57965,7.82988333333333,2.85908,2.85908,2.28807988777982
"AF238380.8",0,0,0,0,0,0,1
"AF241725.1",0,0,0,0,0,0,1
"AF241726.2",0,0.7461,0,0.2487,0,0,1.2487
"AF241726.4",0,0,0,0,0,0,1
"AF254982.2",0,0,0,0,0,0,1
"AF277315.13",0,0,0,0,0,0,1
"AF277315.19",0,0,0,0,0,0,1
"AFAP1",8.08413,6.41092,7.38476,7.29327,2.26449,2.26449,2.54044889094468
"AFAP1L1",1.20931,1.4093,1.42015,1.34625333333333,41.81082,41.81082,0.0548051481689286
"AFAP1L2",29.65286,33.68496,34.03981,32.45921,4.8579,4.8579,5.71180969289336
"AFF1",9.92294,13.15344,9.19818,10.7581866666667,90.81993,90.81993,0.128057020590918
"AFF2",0.69577,0.13817,1.20166,0.678533333333333,0.18976,0.18976,1.41081674735521
"AFF3",30.05044,8.31761,24.95088,21.10631,2.391,2.391,6.5191123562371
"AFF4",10.7181,11.49544,7.66879,9.96077666666667,19.40629,19.40629,0.537127359587003
"AFG3L1P",28.808,28.68334,40.17921,32.55685,12.76463,12.76463,2.43790425169438
"AFG3L2",26.62131,26.74901,23.44334,25.6045533333333,129.68312,129.68312,0.20358064096827
"AFG3L2P1",0,0,0,0,0,0,1
"AFM",0,0.1658,0,0.0552666666666667,0,0,1.05526666666667
"AFMID",56.96993,31.08743,63.6007,50.5526866666667,26.0606,26.0606,1.90508291267254
"AFP",0,0,0,0,0,0,1
"AFTPH",18.0899,19.37092,20.36271,19.27451,16.06649,16.06649,1.18797186767754
"AGA",12.82196,10.69408,5.04698,9.52100666666667,13.28332,13.28332,0.736593919807626
"AGAP1",103.38742,100.22587,173.54187,125.718386666667,5.25007,5.25007,20.274714789861
"AGAP10",3.19721,2.87386,2.29408,2.78838333333333,3.08679,3.08679,0.926982627767351
"AGAP11",147.80044,125.70375,151.80271,141.768966666667,14.94057,14.94057,8.95632757590642
"AGAP2",270.85151,234.8828,158.33538,221.356563333333,12.42306,12.42306,16.5652662904981
"AGAP3",406.72454,312.31123,563.25185,427.429206666667,8.36216,8.36216,45.7617907263566
"AGAP4",3.28004,1.5751,3.4739,2.77634666666667,1.48014,1.48014,1.52263447493555
"AGAP5",1.87194,1.96196,0.74285,1.52558333333333,2.68196,2.68196,0.685934484169663
"AGAP6",7.78595,6.85305,7.34106,7.32668666666667,8.69108,8.69108,0.859211426039891
"AGAP7",2.17013,0.4145,0.61176,1.06546333333333,0.21506,0.21506,1.69988587669196
"AGAP8",9.39283,5.13979,10.02842,8.18701333333333,3.16269,3.16269,2.20698955082731
"AGAP9",0,0,0,0,0.27832,0.27832,0.782276738218912
"AGBL1",0.82829,0.44213,0,0.423473333333333,0,0,1.42347333333333
"AGBL2",4.7047,10.97041,0.74285,5.47265333333333,0.21506,0.21506,5.32702363120614
"AGBL3",7.48776,3.20546,5.37471,5.35597666666667,2.77052,2.77052,1.68570294459827
"AGBL4",15.70442,8.62158,27.57269,17.2995633333333,0.17711,0.17711,15.5461794847834
"AGBL5",16.18483,16.16546,11.6889,14.67973,10.13327,10.13327,1.40836699370446
"AGER",15.77068,17.0221,15.38128,16.05802,2.50485,2.50485,4.86697576215815
"AGFG1",27.66496,23.07378,22.72234,24.4870266666667,53.28507,53.28507,0.469503431913538
"AGFG2",73.41981,69.80164,47.06146,63.4276366666667,5.80671,5.80671,9.46531241475936
"AGGF1",8.15039,10.74934,7.90912,8.93628333333333,22.46778,22.46778,0.423401077278436
"AGGF1P1",0.53011,0.27633,0.10924,0.305226666666667,0,0,1.30522666666667
"AGGF1P2",0,0.4145,0,0.138166666666667,0,0,1.13816666666667
"AGGF1P3",0,0.4145,0,0.138166666666667,0,0,1.13816666666667
"AGGF1P4",0,0,0,0,0,0,1
"AGK",24.13643,23.84751,16.88882,21.6242533333333,47.02294,47.02294,0.471113458137576
"AGKP1",0,0,0,0,0,0,1
"AGL",3.85984,3.59233,4.1075,3.85322333333333,54.47425,54.47425,0.0874860558427258
"AGMAT",0.71233,1.21586,4.1075,2.01189666666667,0.10121,0.10121,2.73507929156715
"AGMO",1.4081,4.08972,0.69915,2.06565666666667,0.60724,0.60724,1.90740441170371
"AGPAT1",93.87862,89.42127,78.17359,87.1578266666667,36.49749,36.49749,2.35103274023586
"AGPAT2",10.43648,13.5403,21.23665,15.0711433333333,6.46455,6.46455,2.15299560366443
"AGPAT3",106.60119,187.57464,149.55232,147.909383333333,23.619,23.619,6.04855531635458
"AGPAT4",59.18975,25.47788,61.96207,48.8765666666667,1.80906,1.80906,17.7556074511284
"AGPAT5",18.50404,21.80265,12.38804,17.56491,5.40188,5.40188,2.89991533736965
"AGPAT5P1",0,0,0,0,0,0,1
"AGPAT6",45.45667,29.9821,23.79291,33.0772266666667,73.69078,73.69078,0.456244086173242
"AGPAT9",1.59032,0.85663,1.46384,1.30359666666667,42.03853,42.03853,0.0535240554606922
"AGPHD1",3.81014,3.50943,2.16299,3.16085333333333,8.9947,8.9947,0.416305975500349
"AGPS",6.51038,4.97399,3.93271,5.13902666666667,13.37187,13.37187,0.427155733155579
"AGR2",0.14909,1.63036,0.721,0.833483333333333,0,0,1.83348333333333
"AGR3",0.18222,0.69083,0,0.291016666666667,0.37952,0.37952,0.935844834918426
"AGRN",72.50869,92.82016,133.79962,99.70949,1.27773,1.27773,44.2148498724607
"AGRP",0,0,0.96133,0.320443333333333,0,0,1.32044333333333
"AGT",180.55111,240.93449,180.22748,200.571026666667,61.35627,61.35627,3.23257030394324
"AGTPBP1",10.86719,8.48341,13.32753,10.89271,30.1468,30.1468,0.381827667689779
"AGTR1",0.38101,0.19343,0,0.19148,8.62783,8.62783,0.123753743055289
"AGTR2",0,0,0,0,0.45543,0.45543,0.68708216815649
"AGTRAP",22.67864,28.37937,17.63166,22.8965566666667,3.188,3.188,5.70595908946195
"AGXT",0.03313,0.63557,0.52436,0.397686666666667,0,0,1.39768666666667
"AGXT2",0,0,0,0,0,0,1
"AGXT2L1",261.44211,262.23974,115.94948,213.210443333333,23.30273,23.30273,8.81425433823004
"AGXT2L2",48.40539,37.49835,37.73219,41.2119766666667,38.90114,38.90114,1.05791405124432
"AHCTF1",18.30525,17.40896,4.8285,13.5142366666667,17.74904,17.74904,0.774132257793821
"AHCY",57.23498,45.48436,28.97098,43.8967733333333,49.11032,49.11032,0.895958623559645
"AHCYL1",271.5804,280.58823,233.64683,261.938486666667,76.15768,76.15768,3.40780706038163
"AHCYL2",52.03331,64.21972,61.72174,59.3249233333333,9.34892,9.34892,5.82910326230499
"AHDC1",23.82168,20.61442,26.17439,23.53683,4.69344,4.69344,4.30966691490558
"AHI1",36.77617,32.63489,97.66236,55.69114,17.36952,17.36952,3.08615249609135
"AHNAK",30.82903,35.56402,48.569,38.3206833333333,146.4201,146.4201,0.266725387741111
"AHNAK2",2.89902,2.90149,10.66202,5.48751,2.16328,2.16328,2.05088073139273
"AHR",3.61135,3.03966,4.63186,3.76095666666667,20.73462,20.73462,0.2190494550476
"AHRR",1.17617,0.96716,5.74613,2.62982,0.60724,0.60724,2.25841815783579
"AHSA1",305.65634,218.77261,250.27347,258.23414,285.64191,285.64191,0.904383242492349
"AHSA2",49.38277,85.49734,48.00094,60.96035,59.28154,59.28154,1.02784948758774
"AHSG",0.14909,0.63557,0.43697,0.40721,0.0759,0.0759,1.30793754066363
"AHSP",29.65286,0,1.83527,10.4960433333333,0,0,11.4960433333333
"AICDA",0.06626,0.05527,0.13109,0.0842066666666667,0.20241,0.20241,0.901694652129196
"AIDA",34.07594,27.85434,25.93406,29.2881133333333,85.73432,85.73432,0.349205635477782
"AIF1",37.42224,25.20154,10.39984,24.3412066666667,32.94262,32.94262,0.746589587564739
"AIF1L",104.06662,147.97617,63.14189,105.06156,40.44454,40.44454,2.55912021221613
"AIFM1",33.87715,23.37775,23.48703,26.9139766666667,293.48539,293.48539,0.0947890035110627
"AIFM2",14.09753,10.25194,9.63515,11.3282066666667,4.99706,4.99706,2.05570840823114
"AIFM3",151.9916,254.80639,296.08957,234.295853333333,0.13916,0.13916,206.55206760537
"AIG1",260.59725,273.54175,561.89725,365.345416666667,138.3236,138.3236,2.62945700991553
"AIG1P1",0,0,0,0,0,0,1
"AIM1",0.66263,0.96716,1.00503,0.878273333333333,1.65725,1.65725,0.706848558973877
"AIM1L",0.82829,0.4974,1.28906,0.871583333333333,0,0,1.87158333333333
"AIM2",1.44123,0.80136,1.44199,1.22819333333333,0.24036,0.24036,1.79640856955508
"AIMP1",25.22978,28.87677,16.53924,23.5485966666667,68.37745,68.37745,0.353841149633875
"AIMP1P1",0,0,0,0,0,0,1
"AIMP1P2",0,0,0,0,0,0,1
"AIMP2",11.87771,10.74934,13.98298,12.2033433333333,22.822,22.822,0.554249993003666
"AIP",95.98249,91.10689,57.63609,81.5751566666667,8.77964,8.77964,8.44357835939428
"AIPL1",0.48041,0.44213,0.32773,0.416756666666667,0,0,1.41675666666667
"AIRE",1.4081,1.10533,1.04872,1.18738333333333,0,0,2.18738333333333
"AJ239321.3",0.26505,0.35923,0.56806,0.397446666666667,0,0,1.39744666666667
"AJAP1",7.85221,13.7061,18.44005,13.3327866666667,0,0,14.3327866666667
"AJUBA",2.38548,2.98439,3.95456,3.10814333333333,9.07061,9.07061,0.407933911980837
"AK1",239.55863,362.99065,260.69515,287.748143333333,105.84906,105.84906,2.70239292075507
"AK2",55.28021,44.683,44.30856,48.09059,173.40421,173.40421,0.281475946022175
"AK2P2",0,0,0,0,0,0,1
"AK3",37.75355,51.78475,38.84646,42.79492,285.74311,285.74311,0.152732248736508
"AK3P2",0,0.55267,0,0.184223333333333,0,0,1.18422333333333
"AK3P3",0.6295,0.80136,0,0.476953333333333,9.03266,9.03266,0.147214530676145
"AK3P4",0,0,0,0,0,0,1
"AK3P5",0,0,0,0,0,0,1
"AK4",18.52061,21.85792,12.03847,17.4723333333333,71.76786,71.76786,0.253852914368147
"AK4P1",0,0,0,0,0.49338,0.49338,0.669621931457499
"AK4P2",0,0,0,0,0,0,1
"AK4P3",0,0.88426,0,0.294753333333333,0.16446,0.16446,1.11189163503541
"AK4P4",0,0,0.76469,0.254896666666667,0,0,1.25489666666667
"AK4P5",0,0,0,0,0,0,1
"AK4P6",0,0,0,0,0,0,1
"AK5",1067.60222,563.08317,1430.78642,1020.49060333333,1.23978,1.23978,456.067383106079
"AK7",7.73625,5.99642,4.1512,5.96129,0.55663,0.55663,4.47202610768134
"AK8",9.87324,9.83744,7.93097,9.21388333333333,0.12651,0.12651,9.06683769636606
"AKAP1",86.2749,66.87252,39.69855,64.28199,180.51394,180.51394,0.359652762757505
"AKAP10",27.97971,9.89271,16.32076,18.0643933333333,13.06825,13.06825,1.35513609250144
"AKAP11",26.70414,20.14465,18.72408,21.8576233333333,12.99235,12.99235,1.6335800157467
"AKAP12",31.34257,31.4743,24.55761,29.1248266666667,10.50015,10.50015,2.61951597732783
"AKAP13",34.63917,20.36572,18.59299,24.5326266666667,97.52484,97.52484,0.259149130987339
"AKAP14",1.06021,3.84102,0,1.63374333333333,0.10121,0.10121,2.39168127181313
"AKAP16BP",0,0.11053,0,0.0368433333333333,0.03795,0.03795,0.998933795783355
"AKAP17A",0,0,0,0,0,0,1
"AKAP2",7.90191,7.40572,7.38476,7.56413,149.11471,149.11471,0.0570505715262681
"AKAP3",1.78911,3.34363,0.93948,2.02407333333333,3.45366,3.45366,0.679008575718248
"AKAP4",0,0.11053,0,0.0368433333333333,0,0,1.03684333333333
"AKAP5",13.21954,7.51625,1.42015,7.38531333333333,0.27832,0.27832,6.55963556334356
"AKAP6",30.92843,34.07182,76.03245,47.0109,66.02441,66.02441,0.716319621463285
"AKAP7",16.96342,21.71975,24.66685,21.1166733333333,17.63518,17.63518,1.18682370298185
"AKAP8",11.91084,12.43497,10.00657,11.4507933333333,13.56163,13.56163,0.855041182431729
"AKAP8L",56.52265,46.36863,48.63455,50.50861,26.81965,26.81965,1.85151898028911
"AKAP9",33.89371,38.13391,30.58777,34.20513,60.43276,60.43276,0.573067692221544
"AKD1",7.30554,5.88589,8.23685,7.14276,13.54898,13.54898,0.559679097778676
"AKIP1",32.204,32.30329,43.25984,35.9223766666667,32.39864,32.39864,1.1055053938324
"AKIRIN1",49.20055,48.05426,39.56746,45.6074233333333,92.35068,92.35068,0.4992724566477
"AKIRIN2",42.72331,40.42748,43.58757,42.24612,50.4513,50.4513,0.840525312285598
"AKNA",15.73755,13.84427,7.23182,12.2712133333333,0.88555,0.88555,7.0383778384733
"AKNAD1",0.49698,0.85663,0.85209,0.735233333333333,0,0,1.73523333333333
"AKR1A1",122.02399,91.24506,131.13412,114.801056666667,51.66578,51.66578,2.19879125813131
"AKR1B1",198.35939,149.63416,98.44891,148.814153333333,278.2159,278.2159,0.536553087891246
"AKR1B10",0,0.6632,0,0.221066666666667,1.72051,1.72051,0.448837411612774
"AKR1B15",0.53011,0.829,0.32773,0.56228,0.0506,0.0506,1.48703597944032
"AKR1B1P1",0,0,0,0,0,0,1
"AKR1B1P2",0,0,0,0,0,0,1
"AKR1B1P4",0,0,0,0,0,0,1
"AKR1B1P6",0,0,0,0,0,0,1
"AKR1B1P7",0,0,0,0,0,0,1
"AKR1B1P8",0,0,0,0,0,0,1
"AKR1C1",8.94555,11.71651,6.68561,9.11589,20.96234,20.96234,0.460601648093964
"AKR1C2",2.55114,2.21066,0.69915,1.82031666666667,4.25066,4.25066,0.537135648978732
"AKR1C3",15.65472,28.43464,13.58971,19.2263566666667,15.5225,15.5225,1.22417047460534
"AKR1C4",0.08283,0.27633,0,0.11972,0,0,1.11972
"AKR1CL1",0,0,0,0,0.53133,0.53133,0.653027107155218
"AKR1D1",0.0994,0.05527,0.10924,0.08797,0.03795,0.03795,1.04819114600896
"AKR1D1P1",0,0,0,0,0,0,1
"AKR1E2",7.09018,4.31079,5.94277,5.78124666666667,1.72051,1.72051,2.49263802252764
"AKR7A2",51.6026,51.53605,27.96596,43.7015366666667,16.53457,16.53457,2.54933748969417
"AKR7A2P1",0.13253,0.1658,0.56806,0.288796666666667,0.32892,0.32892,0.969807563033641
"AKR7A3",3.2966,4.55949,3.56129,3.80579333333333,0.16446,0.16446,4.12705746297282
"AKT1",113.26066,116.39134,119.83849,116.49683,47.36451,47.36451,2.42940184858691
"AKT1S1",43.83322,53.82961,58.68481,52.11588,11.82848,11.82848,4.14046558906433
"AKT2",108.4897,86.68557,90.23391,95.1363933333333,30.34922,30.34922,3.06662792035442
"AKT3",60.63098,58.19567,68.4729,62.4331833333333,9.66519,9.66519,5.94768432004806
"AKTIP",47.26235,89.2831,46.20937,60.9182733333333,110.34008,110.34008,0.556118455576225
"AL008733.1",17.26161,21.11182,2.88399,13.7524733333333,0.25302,0.25302,11.7735338089842
"AL020996.1",1.65658,1.60273,2.46887,1.90939333333333,0.34157,0.34157,2.16864817589342
"AL021068.1",1.4081,0.38687,0.48066,0.758543333333333,2.4163,2.4163,0.514750851310872
"AL021707.1",8.59767,0.19343,4.50077,4.43062333333333,0,0,5.43062333333333
"AL021707.2",9.26031,10.08614,3.36465,7.57036666666667,0,0,8.57036666666667
"AL021977.1",4.83723,7.65442,14.76952,9.08705666666667,0,0,10.0870566666667
"AL022237.3",0,0,0,0,0,0,1
"AL022341.1",0.7289,0.27633,2.73105,1.24542666666667,0,0,2.24542666666667
"AL022344.2",0,0,0,0,0,0,1
"AL022344.3",0,0,0,0,0,0,1
"AL022344.6",0,0,0,0,0,0,1
"AL022393.7",3.94267,19.56436,17.01991,13.50898,0.26567,0.26567,11.4634778417755
"AL023583.1",0,0,0,0,0,0,1
"AL023807.1",2.48488,0,13.76449,5.41645666666667,0,0,6.41645666666667
"AL023807.2",0,0,0,0,0,0,1
"AL031390.1",0,0,0,0,0,0,1
"AL031590.1",0,0,0,0,0,0,1
"AL031601.2",0,0,0,0,0,0,1
"AL031601.3",0,0,0,0,0,0,1
"AL033381.1",0,0,0.06555,0.02185,0,0,1.02185
"AL033532.1",2.07073,2.48699,2.62181,2.39317666666667,3.39041,3.39041,0.772861000832876
