"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","FoldChange"
"GPR108","Gpr108",8.140971,9.086362,8.67129,240,483,477,8.63287433333333,34.667531,40.575454,37.468959,149,197,122,0,9.63287433333333
"GPR119","Gpr119",0,0.017896,0,0,1,0,0.00596533333333333,0,0,0,0,0,0,8.31368466666667,0.108009382895864
"GPR12","Gpr12",31.914659,17.684232,18.606614,221,317,264,22.7351683333333,1.378736,2.106136,1.532406,84,142,65,341.535985666667,0.0692924811597192
"GPR132","Gpr132",0,0.030768,0.060633,0,2,4,0.030467,0.083053,0.218919,0.042485,2,7,1,0.601538666666667,0.64342311643636
"GPR135","Gpr135",4.440601,3.62629,3.675369,192,290,291,3.91408666666667,1.164055,1.213511,1.145798,63,67,40,0.150459666666667,4.27141151406438
"GPR137","Gpr137",45.968602,55.113011,59.695559,797,1752,1783,53.5923906666667,49.991815,57.401835,61.771885,294,420,277,26.7473316666667,1.96748254291599
"GPR137B","Gpr137b",10.18421,10.648919,11.815698,207,357,328,10.8829423333333,2.114107,3.216455,7.457416,37,47,31,6.55513266666667,1.57283039988974
"GPR137C","Gpr137c",10.107158,8.258037,7.749886,536,752,592,8.705027,16.67453,17.161804,18.239722,857,896,653,0.678354666666667,5.78246492993932
"GPR139","Gpr139",0.736944,0.598608,0.651768,53,75,81,0.66244,2.77727,2.209286,2.242531,176,152,101,28.935225,0.0555345750700053
"GPR141","Gpr141",0,0.011656,0.01212,0,1,1,0.00792533333333333,0.43701,0,0,1,0,0,18.6835853333333,0.0512063892966925
"GPR142","Gpr142",0,0,0,0,0,0,0,0.209602,0.141159,1.037861,4,3,7,3.05379233333333,0.246682591946619
"GPR143","Gpr143",0,0.136055,0.077193,0,2,3,0.0710826666666667,0.600034,1.384236,0.58056,8,13,2,0.487523,0.720044440769431
"GPR146","Gpr146",4.48578,3.961937,3.972238,277,446,454,4.139985,0.501404,1.241405,1.048213,2,2,9,61.2955083333333,0.0825097208051784
"GPR149","Gpr149",0.72999,1.331635,1.080136,46,89,74,1.04725366666667,0.153825,0.205376,0.24188,11,16,13,10.464235,0.178577433790102
"GPR15","Gpr15",0.089236,0.076073,0.04995,2,3,2,0.071753,0.029207,0,0,1,0,0,33.2239053333333,0.0313159176184413
"GPR150","Gpr150",0.936999,1.38529,1.351879,27,78,78,1.22472266666667,0,0.180377,0,0,4,0,28.9482026666667,0.0742856822303682
"GPR151","Gpr151",0.406418,1.741635,2.967733,10,76,131,1.705262,0,0.046823,0.035085,0,2,1,19.5633573333333,0.131557408459501
"GPR152","Gpr152",0,0.018491,0,0,2,0,0.00616366666666667,0,0.109572,0,0,2,0,22.1569306666667,0.0434497853428819
"GPR153","Gpr153",16.565011,13.817343,11.260523,368,534,513,13.880959,28.949087,28.900052,29.201756,1336,1540,932,11.1259356666667,1.22720088651853
"GPR156","Gpr156",0.2293,0.256971,0.158179,16,32,20,0.214816666666667,0.154087,0.114788,0.225912,7,7,9,0,1.21481666666667
"GPR157","Gpr157",0.422709,0.2918,0.328676,31,39,44,0.347728333333333,0.3378,0.179887,0.195842,9,14,10,0,1.34772833333333
"GPR158","Gpr158",24.987464,8.629472,8.379304,2773,1695,1654,13.9987466666667,1.0582,1.676901,2.091938,85,143,101,0.0321223333333333,14.5319466329411
"GPR160","Gpr160",0.330325,1.119193,1.155396,8,20,30,0.868304666666667,0.222591,0.346038,0,1,3,0,31.782967,0.05699010302108
"GPR161","Gpr161",4.215827,1.019608,0.912225,449,193,175,2.04922,11.286918,16.304431,12.713784,1076,978,847,1.25314,1.35332025528818
"GPR162","Gpr162",66.043524,60.486842,55.923867,2014,3250,3126,60.8180776666667,41.703033,40.289152,55.922394,568,653,529,97.7819536666667,0.625803351442793
"GPR17","Gpr17",10.739989,6.583532,5.001266,855,944,728,7.44159566666667,0,0,0,0,0,0,0.105808,7.63387103969827
"GPR171","Gpr171",0,0.072724,0,0,4,0,0.0242413333333333,0,0,0,0,0,0,14.2890396666667,0.0669918684014141
"GPR173","Gpr173",3.055071,2.347551,1.724585,173,181,151,2.37573566666667,23.615154,28.523447,27.848134,1185,1266,964,46.4696526666667,0.0711135531235331
"GPR174","Gpr174",0.157736,0.170124,0.017597,3,5,2,0.115152333333333,0.026711,0,0.018719,2,0,1,9.09060166666667,0.110513958450776
"GPR176","Gpr176",3.380739,2.24816,1.921342,195,232,202,2.516747,5.629846,7.422601,6.522372,288,416,228,15.819783,0.209083969751572
"GPR18","Gpr18",0,0,0,0,0,0,0,0,0,0,0,0,0,13.6811636666667,0.0681144916509911
"GPR180","Gpr180",7.433725,10.141299,10.339531,194,479,496,9.30485166666667,1.837068,1.867426,1.910652,220,238,164,3.25697466666667,2.42069837703208
"GPR182","Gpr182",0.872723,0.532839,0.579909,52,57,63,0.661823666666667,0.067101,0.258936,0.031486,3,1,1,185.4353,0.00891367496749096
"GPR183","Gpr183",1.107606,0.440293,0.325982,19,30,22,0.624627,0,0,0,0,0,0,13.608639,0.111210017579324
"GPR19","Gpr19",7.835687,8.241737,8.702949,120,231,245,8.26012433333333,5.392588,6.040807,3.542299,94,110,53,1.22799066666667,4.15626711183111
"GPR20","Gpr20",0.165702,0.08988,0.176735,5,5,10,0.144105666666667,0,0,0,0,0,0,27.3186253333333,0.0404011724862916
"GPR21","Gpr21",13.359662,4.982215,10.162302,71,54,55,9.501393,36.143194,29.182488,34.512884,1269,1372,1045,35.5426883333333,0.28737330171795
"GPR22","Gpr22",16.532796,14.526063,12.583894,844,1227,955,14.5475843333333,10.383929,13.925971,10.354167,187,225,136,5.26638266666667,2.48110994179098
"GPR25","Gpr25",0.666301,0.528941,0.610434,5,9,12,0.601892,0,0,0,0,0,0,13.542685,0.110151048448069
"GPR26","Gpr26",18.502021,2.882213,3.207723,3306,918,1041,8.197319,2.502235,4.936016,3.600628,354,763,361,6.10494666666667,1.29449514985803
"GPR27","Gpr27",16.474784,8.519866,7.024142,437,436,376,10.6729306666667,18.732675,16.470343,18.798343,482,492,329,1.293104,5.09044974264868
"GPR3","Gpr3",2.224133,2.761201,2.251162,81,124,90,2.41216533333333,2.216034,2.554803,2.013356,59,75,38,22.0289796666667,0.148168324551186
"GPR33","Gpr33",0,0,0,0,0,0,0,0,0,0,0,0,0,184.040044,0.00540423563669278
"GPR34","Gpr34",5.540413,5.715436,5.910824,147,262,261,5.72222433333333,0,0,0,0,0,0,47.7379976666667,0.137925738749232
"GPR35","Gpr35",4.020066,0.624948,0.412257,8,16,12,1.685757,0.41874,0.641149,0.399794,16,24,11,72.6311896666667,0.0364758061381135
"GPR37","Gpr37",15.96692,14.124656,17.810574,1044,1725,2062,15.9673833333333,2.38671,2.270676,2.373248,164,169,116,29.027009,0.565070711283076
"GPR37L1","Gpr37l1",67.560228,84.413555,88.790731,2175,5026,5373,80.254838,0.056101,0.061269,0.047398,5,6,3,5.29329366666667,12.9113374178577
"GPR39","Gpr39",0,0.01417,0.013947,0,1,1,0.00937233333333333,0.182398,0.16524,0.451869,6,6,5,0.01855,0.990989478507028
"GPR4","Gpr4",1.937331,0.838908,0.991031,81,64,77,1.25575666666667,0.051428,0.229902,0.318367,2,2,3,0.485548333333333,1.51846736726843
"GPR45","Gpr45",3.878425,3.089321,2.663627,165,205,188,3.21045766666667,2.324958,2.091046,1.982427,48,48,29,2.84281466666667,1.09567023962644
"GPR50","Gpr50",1.234556,0.187223,0.204088,15,15,12,0.541955666666667,8.144345,8.871499,5.983183,207,247,108,0.118490666666667,1.37860396391327
"GPR52","Gpr52",3.109159,2.320314,1.851673,69,89,71,2.42704866666667,0.212248,0.098053,0,4,2,0,804.687895333333,0.00425356851768117
"GPR55","Gpr55",0.213537,0.070088,0.118471,12,7,12,0.134032,0,0.01783,0,0,1,0,7.51622433333333,0.13316135832182
"GPR6","Gpr6",1.68999,2.536806,1.17762,40,114,54,1.801472,0.581312,0.234211,0.128419,13,6,2,0.0981766666666667,2.55102123823429
"GPR61","Gpr61",3.932324,3.939722,3.25101,190,315,267,3.70768533333333,8.708536,8.428848,5.93159,135,183,109,0.037979,4.53543408232087
"GPR62","Gpr62",6.330491,6.346539,7.733277,128,260,336,6.80343566666667,0.146433,0.123213,0.578098,3,3,8,28.7362226666667,0.26242188707492
"GPR63","Gpr63",1.579547,0.521805,0.994723,54,31,42,1.032025,0.353367,0.338685,0.404232,28,29,23,6.15337166666667,0.284065346341341
"GPR65","Gpr65",0.068057,0.098074,0.019598,2,5,1,0.0619096666666667,0,0.015659,0.046817,0,1,2,662.436286666667,0.00160062041828021
"GPR68","Gpr68",5.677931,2.99405,3.274474,188,183,189,3.98215166666667,2.12194,2.314043,3.302145,56,45,38,40.591071,0.11978897265393
"GPR75","Gpr75",2.640166,2.073213,1.682136,114,156,127,2.13183833333333,1.593289,1.823095,2.26273,42,52,42,40.2741316666667,0.0758789635752079
"GPR82","Gpr82",0.085367,0,0,3,0,0,0.0284556666666667,0.278586,0.053856,0.067288,2,2,2,171.184764333333,0.00597297717163683
"GPR83","Gpr83",6.68875,4.949046,3.255782,358,462,314,4.964526,17.737916,19.676091,18.354727,996,1197,708,19.7897256666667,0.286897773238214
"GPR84","Gpr84",0.296206,0.208425,0.456485,7,9,20,0.320372,0,0.050552,0.077899,0,1,1,36.3778443333333,0.0353249906074038
"GPR85","Gpr85",11.002854,9.941194,9.01864,394,646,589,9.98756266666667,12.37249,19.394187,16.915667,494,531,331,8.719738,1.13043815241385
"GPR87","Gpr87",0,0,0,0,0,0,0,0.074117,0.10509,0,1,2,0,50.8927336666667,0.0192705207327004
"GPR88","Gpr88",65.402925,126.018339,39.247068,1146,1661,694,76.889444,0.275626,0.531247,0.613773,11,24,17,4.81847266666667,13.3865789979936
"GPR89B","Gpr89",11.453602,11.049187,8.963948,475,671,570,10.4889123333333,10.125081,8.95478,9.204141,195,200,96,0.169127,9.82691558174034
"GPRASP1","Gprasp1",124.738837,47.596785,47.910669,9697,6504,6593,73.4154303333333,12.991052,23.116517,15.728678,959,1921,836,96.947857,0.759745364651861
"GPRASP2","Gprasp2",118.303088,67.386995,60.856443,2378,3441,3489,82.1821753333333,50.892217,55.88928,58.489632,1977,2111,1428,35.998069,2.2482842370323
"GPRC5A","Gprc5a",0.03383,0.018673,0.073586,1,1,4,0.0420296666666667,0.734215,1.144807,0.359609,14,39,12,3.74760566666667,0.219485302661686
"GPRC5B","Gprc5b",78.208253,91.507348,98.856714,2519,4625,5226,89.524105,11.740005,11.338464,7.594036,602,499,303,23.1131436666667,3.75413949551248
"GPRC5C","Gprc5c",1.586996,2.813901,1.653167,59,106,94,2.01802133333333,3.279694,7.170878,7.918906,48,75,51,5.73147733333333,0.44834457339528
"GPRC5D","Gprc5d",0.057769,0.032266,0.031782,1,1,1,0.0406056666666667,0,0,0,0,0,0,0,1.04060566666667
"GPRC6A","Gprc6a",0,0,0,0,0,0,0,0,0,0,0,0,0,9.12235933333333,0.0987911974935488
"GPRIN1","Gprin1",28.966227,20.185957,16.912863,1578,2091,1811,22.0216823333333,28.296638,27.119374,33.549994,1434,1564,1184,2.823648,6.02086863993059
"GPRIN3","Gprin3",1.924785,0.762275,0.680983,251,173,150,1.122681,3.611156,4.439334,3.915107,693,912,537,0.376694666666667,1.54186767145656
"GPS1","Gps1",59.052345,71.566648,68.647962,1156,2739,2668,66.4223183333333,62.88965,64.763532,70.548738,833,934,712,1.56215533333333,26.3146880503992
"GPS2","Gps2",13.533037,12.799363,13.673631,142,235,250,13.3353436666667,37.338774,32.923329,40.924428,240,288,189,5.068505,2.36225292171081
"GPSM1","Gpsm1",17.642924,23.267714,23.002247,442,982,958,21.304295,28.378375,32.058746,39.742929,934,1211,847,58.5479963333333,0.374559957906
"GPSM2","Gpsm2",18.847983,9.064513,22.553025,166,272,207,16.8218403333333,2.111838,1.520487,3.364754,57,69,55,64.7549853333333,0.271034055334187
"GPSM3","Gpsm3",2.431846,2.74623,2.282643,18,42,45,2.48690633333333,0.571956,0.79486,0.620674,10,12,7,7.210866,0.424669740479669
"GPT","Gpt",6.741896,6.979754,8.086543,109,207,224,7.26939766666667,1.913551,1.298173,2.70648,29,21,26,13.9808343333333,0.551998472359227
"GPT2","Gpt2",23.782483,21.527663,15.941818,908,1477,1162,20.4173213333333,12.74893,10.926444,11.226101,373,403,308,6.166191,2.98866180559984
"GPX1","Gpx1",62.682951,103.203583,109.260911,465,1432,1517,91.715815,60.935016,74.596534,72.657582,536,748,436,5.88729,13.4618717957281
"GPX2","Gpx2",0.404201,0.044918,0.076701,3,1,2,0.175273333333333,0.396797,0.309703,0.43216,3,3,2,94.1233323333333,0.0123552582158803
"GPX3","Gpx3",7.990358,15.722951,17.179876,171,564,615,13.6310616666667,175.774144,155.099113,90.184696,2120,1921,745,81.8062983333333,0.176690203053999
"GPX4","Gpx4",624.846066,922.73937,1088.785488,1279,3115,3866,878.790308,202.323378,339.396777,335.417217,626,994,653,7.32063166666667,105.735999770851
"GPX5","Gpx5",0,0,0,0,0,0,0,0,0,0.151399,0,0,2,5.65053333333333,0.15036388059103
"GPX6","Gpx6",0.621471,0.194684,0.461197,4,6,6,0.425784,0,0,0,0,0,0,24.760223,0.0553482786232091
"GPX7","Gpx7",2.229825,5.331715,6.436913,36,61,88,4.666151,4.198383,3.944222,3.998299,58,58,39,2.356388,1.68816924622541
"GPX8","Gpx8",5.526984,6.923537,6.118677,62,132,124,6.18973266666667,0.942184,2.36687,4.519646,25,60,51,51.993704,0.135671450077667
"GRAMD1A","Gramd1a",32.05277,36.669644,40.532292,782,1365,1336,36.4182353333333,72.722155,75.826818,65.023353,1515,1702,1039,24.690739,1.45648730981749
"GRAMD1B","Gramd1b",51.640509,19.615955,20.574607,3416,2170,2053,30.610357,7.248413,13.370587,10.849193,653,1054,549,19.383727,1.5507643425562
"GRAMD1C","Gramd1c",0.446621,0.25324,0.538007,17,17,22,0.412622666666667,2.480271,2.000475,1.693944,50,57,43,58.6732613333333,0.0236726238034116
"GRAMD4","Gramd4",8.926521,7.840008,6.009016,555,794,680,7.59184833333333,43.353256,52.562757,50.136469,538,614,482,32.092277,0.259633035627416
"GRAP2","Grap2",0.059945,0.026591,0.032198,3,4,4,0.039578,0.282399,0,0,1,0,0,8.09504166666667,0.114301620388398
"GRAPL","Grap",1.45562,2.550075,2.489623,33,106,105,2.165106,0,0,0,0,0,0,7.035164,0.393906832517669
"GRB10","Grb10",23.459078,13.151481,23.413454,827,1030,1036,20.0080043333333,29.453267,25.892755,31.818963,1266,1150,914,8.37197733333333,2.24157651967575
"GRB14","Grb14",22.503358,25.410468,23.959155,257,459,491,23.9576603333333,5.11906,8.317651,2.882725,46,68,41,0.311979,19.0229114439586
"GRB2","Grb2",105.171682,85.650905,84.789282,1826,2459,2291,91.870623,194.502855,201.474087,275.073984,2511,2828,2321,0.0229346666666667,90.7884208310469
"GRB7","Grb7",0.831242,0.655,0.672533,19,22,43,0.719591666666667,0,0,0,0,0,0,2.902188,0.440673710919788
"GREB1","Greb1",0.129435,0.120169,0.334591,16,7,6,0.194731666666667,20.414614,23.922547,29.750103,1241,1218,1015,0.089011,1.09707952138837
"GREB1L","Greb1l",0.970766,0.420827,0.651448,113,72,104,0.681013666666667,14.670154,8.060778,16.908943,830,760,748,5.17847666666667,0.272075748984512
"GREM1","Grem1",0.54279,0.316787,0.273881,34,35,30,0.377819333333333,2.234599,3.752657,3.700142,128,199,145,0.208855666666667,1.13977158011971
"GREM2","Grem2",7.216497,4.924931,4.399076,406,490,439,5.51350133333333,2.337218,4.025942,3.648463,129,241,143,0.853277666666667,3.51458470065558
"GRHL1","Grhl1",4.044263,2.147826,2.037229,185,174,168,2.743106,3.597378,2.067908,1.670134,57,68,38,0.019381,3.67194012837202
"GRHL2","Grhl2",0,0.023309,0.062585,0,2,6,0.0286313333333333,0.180194,0.67548,0.03984,4,4,2,0,1.02863133333333
"GRHL3","Grhl3",0.34228,0.217814,0.297562,14,16,22,0.285885333333333,0,0.237611,0.038702,0,6,1,0.949406,0.659629309304133
"GRHPR","Grhpr",21.665957,30.994128,29.407651,208,633,697,27.355912,38.977591,49.037444,51.393923,575,719,481,48.2568463333333,0.575674532797096
"GRIA1","Gria1",162.182454,66.531431,73.436456,6467,6263,5998,100.716780333333,40.201639,28.000856,27.994968,2748,1872,1303,1.43888,41.7063489525246
"GRIA2","Gria2",93.190777,40.107306,33.750042,7612,5702,4203,55.6827083333333,32.518117,32.512624,34.06394,1077,1217,853,6.39711533333333,7.6628125666645
"GRIA3","Gria3",60.636998,21.028782,20.374801,3047,1459,1264,34.013527,14.485412,12.15522,15.88254,459,375,358,7.83826266666667,3.96158479562424
"GRIA4","Gria4",27.854819,18.88174,18.393246,1624,1818,1775,21.709935,96.095376,79.887969,103.489287,2616,2209,1652,0,22.709935
"GRID1","Grid1",11.829226,13.428315,12.202811,963,849,764,12.486784,10.975984,9.51533,8.933045,542,453,332,0.0476206666666667,12.8737284678742
"GRID2","Grid2",3.244903,1.763881,1.554595,261,230,230,2.187793,0.335341,0.272495,0.319852,11,17,12,5.88547066666667,0.462973869808561
"GRID2IP","Grid2ip",0.804135,0.716414,0.417666,44,35,46,0.646071666666667,0.234524,0.273065,0.585728,10,13,17,3.40340933333333,0.373817545011335
"GRIFIN","Grifin",0.346933,0.278298,0.457235,2,3,5,0.360822,0,0,0.942486,0,0,2,19.6986773333333,0.0657443941023478
"GRIK1","Grik1",4.821246,3.175231,3.160527,235,269,265,3.71900133333333,14.78165,10.683999,11.178106,631,489,338,157.322545666667,0.0298062497255997
"GRIK2","Grik2",15.721612,10.358429,10.930062,964,888,749,12.336701,10.996245,10.864737,9.682827,489,445,213,3.029032,3.31015017999361
"GRIK3","Grik3",8.757109,1.695163,1.717014,1226,430,442,4.05642866666667,21.416961,21.918493,23.219433,2614,2930,1988,0.326921333333333,3.81064690094665
"GRIK4","Grik4",6.149355,3.867412,3.756814,371,383,395,4.59119366666667,0.807728,1.933982,1.312027,45,75,57,0.0504956666666667,5.32243382250982
"GRIK5","Grik5",44.152986,24.000572,21.941633,1975,2092,2020,30.0317303333333,58.454593,54.941083,63.215839,1039,1046,854,0.154433666666667,26.8804793461498
"GRIN1","Grin1",147.214762,81.607779,96.640532,4525,4619,4669,108.487691,23.600421,28.237877,25.085584,336,601,320,0.0416446666666667,105.110403291718
"GRIN2A","Grin2a",18.160773,2.014042,2.53054,4128,797,972,7.56845166666667,2.539308,11.487564,2.140602,486,431,302,0,8.56845166666667
"GRIN2B","Grin2b",57.730892,2.0515,6.215481,9447,754,1096,21.999291,1.169746,0.763786,0.824791,505,357,253,4.568016,4.13060792210367
"GRIN2C","Grin2c",7.981695,5.903511,5.622986,483,686,673,6.50273066666667,0.230846,0.296138,0.282525,13,18,8,11.271072,0.611416074053405
"GRIN2D","Grin2d",3.579309,1.605114,1.838753,196,197,207,2.34105866666667,5.210432,6.258319,3.86455,262,371,132,12.871123,0.240864324155057
"GRIN3B","Grin3b",0.26498,0.17004,0.191578,6,8,10,0.208866,0.282399,0.153368,0.093027,6,6,2,8.912384,0.121955121996888
"GRINA","Grina",158.881841,145.952798,141.120036,3604,6180,6029,148.651558333333,127.161749,148.681679,165.337685,1509,1997,1274,68.7025543333333,2.14700249889934
"GRIP1","Grip1",4.056002,2.095682,1.936959,262,203,187,2.69621433333333,122.302588,137.81751,169.038828,593,607,522,6.074272,0.522486883927185
"GRIPAP1","Gripap1",32.795567,23.711774,16.911102,1045,953,864,24.4728143333333,115.715081,133.669075,137.999593,1319,1530,1244,1.75005766666667,9.2626473408497
"GRK1","Grk1",0.071749,0.046022,0.070027,8,9,14,0.0625993333333333,0.165132,0.340441,0.250073,8,7,10,17.5677656666667,0.0572281744831011
"GRK2","Grk2",488.290838,377.940448,350.826266,2788,4345,4179,405.685850666667,92.406528,105.295253,102.146579,803,978,683,1.01193333333333,202.136842175022
"GRK4","Grk4",2.401441,0.812157,1.8175,44,52,36,1.67703266666667,18.966624,21.694071,21.308369,235,336,191,0.76394,1.51764383520226
"GRK5","Grk5",4.211915,1.810599,2.574626,356,325,316,2.86571333333333,6.150517,5.584443,8.577111,568,564,563,16.1232623333333,0.225757992728294
"GRK6","Grk6",19.339919,18.101864,16.971307,729,1295,1189,18.1376966666667,14.853123,20.831146,19.971696,268,399,273,110.791192666667,0.171191452655224
"GRM1","Grm1",11.155925,3.379265,4.146839,1081,583,582,6.227343,0.787343,1.13068,1.065336,72,114,65,777.468938333333,0.00928404801285124
"GRM2","Grm2",10.830893,3.773774,5.727367,453,381,407,6.77734466666667,2.029221,1.319566,1.800215,65,64,35,0.0523713333333333,7.39030456296478
"GRM3","Grm3",17.119148,12.172907,11.892708,772,965,955,13.7282543333333,6.887833,13.8112,28.521776,204,365,498,51.444842,0.280833229192174
"GRM4","Grm4",6.613012,3.516436,3.803006,401,387,429,4.64415133333333,5.696837,7.581296,6.085197,258,235,161,11.2334196666667,0.461371512391779
"GRM5","Grm5",36.806118,12.539736,11.697541,3455,2122,1745,20.3477983333333,0.286332,0.307401,0.456868,30,35,34,24.1570426666667,0.84858139393385
"GRM6","Grm6",0,0,0.030008,0,0,1,0.0100026666666667,0.398954,0.176463,0.057476,13,14,3,4.60131666666667,0.180315223503998
"GRM7","Grm7",23.579097,7.468904,7.837856,730,606,614,12.9619523333333,74.027507,9.996443,29.396854,464,374,343,0.0429923333333333,13.3864381233867
"GRM8","Grm8",6.56694,3.699657,3.883464,218,266,253,4.716687,24.141778,18.05106,15.679585,342,306,172,31.010352,0.178588695307068
"GRN","Grn",33.820979,23.302797,21.656668,628,885,860,26.260148,39.976023,54.450789,51.36269,447,529,310,0.260090666666667,21.6334814002802
"GRP","Grp",5.559504,6.987403,6.516709,64,148,142,6.35453866666667,12.563547,6.977632,1.260994,41,26,3,0.975249333333333,3.72334699349348
"GRPEL1","Grpel1",7.779441,9.945022,10.622783,410,921,990,9.449082,27.9107,23.829828,32.59332,343,361,265,0.680824,6.21664255151045
"GRPEL2","Grpel2",5.858109,4.446231,6.743502,207,311,340,5.682614,6.153812,8.350129,8.2104,287,454,316,9.00498566666667,0.667928393167447
"GRPR","Grpr",0.408418,0.124714,0.062741,15,8,4,0.198624333333333,0,0.029936,0.045517,0,1,1,0.546032666666667,0.775290431551899
"GRSF1","Grsf1",58.714716,54.789007,50.750994,1248,2200,2022,54.7515723333333,49.495532,54.050143,56.794732,1396,1616,1171,134.903487,0.410229152790858
"GRTP1","Grtp1",1.381826,2.007782,2.980212,40,93,104,2.12327333333333,0.343788,0.736017,0.848692,5,13,9,2.58311533333333,0.871664192407613
"GRWD1","Grwd1",5.372581,7.808973,7.231283,139,368,350,6.804279,9.008151,9.292774,10.168372,238,297,185,4.24441966666667,1.48811107730445
"GRXCR1","Grxcr1",0,0,0,0,0,0,0,0.191239,0.088027,0,2,1,0,9.45468333333333,0.0956509124299955
"GRXCR2","Grxcr2",0.178069,0.141366,0.079646,5,7,4,0.133027,0,0,0,0,0,0,4.160242,0.219568578372875
"GSAP","Gsap",1.673193,1.311495,1.223796,58,88,112,1.402828,4.750947,3.896571,5.743849,79,104,87,1.14027466666667,1.12267272860929
"GSC","Gsc",0,0.03946,0.037204,0,1,1,0.0255546666666667,0,0,0,0,0,0,1.69362866666667,0.380733498777238
"GSC2","Gsc2",0.086569,0,0,1,0,0,0.0288563333333333,0.12933,0.028757,0,4,1,0,9.729146,0.0958935905367802
"GSDMA","Gsdma",0.025064,0.028225,0,1,2,0,0.017763,0.078212,0.049179,0,2,1,0,0.0118483333333333,1.00584540832042
"GSDMC","Gsdmc4",0,0.000487,0,0,0,0,0.000162333333333333,0,0,0,0,0,0,3.377999,0.228451932797
"GSDMD","Gsdmd",0.883887,0.822958,1.361961,22,30,38,1.02293533333333,0.878525,0.602966,1.638567,4,6,6,31.1673943333333,0.0628877587152614
"GSDME","Gsdme",5.720158,5.672383,5.610686,266,448,401,5.66774233333333,24.215412,22.031826,25.404363,579,585,414,18.3815406666667,0.344025402727702
"GSE1","Gse1",18.554511,4.881637,3.917702,944,380,432,9.11795,34.540216,30.367709,55.03012,2075,2045,1907,14.8391086666667,0.638795415381749
"GSG1","Gsg1",0.222772,0.285674,0.160993,3,8,4,0.223146333333333,0.378477,0.449195,0.534451,11,15,12,33.2373053333333,0.0357255432758162
"GSG1L","Gsg1l",14.587897,7.703624,5.55958,805,788,583,9.28370033333333,0.65677,0.622177,0.648098,20,21,23,19.9648343333333,0.490521421244079
"GSK3A","Gsk3a",77.236401,65.64608,62.490438,2179,3445,3318,68.4576396666667,45.54598,54.271742,62.206474,823,1101,783,36.8113813333333,1.83695060104654
"GSK3B","Gsk3b",37.254832,6.852701,9.352671,3393,1289,1449,17.820068,39.206053,44.016,59.896199,3422,3622,2901,38.7384273333333,0.473598711950369
"GSKIP","Gskip",9.71991,10.717956,10.394945,376,745,734,10.2776036666667,21.432069,30.251849,18.029338,254,274,174,56.7942896666667,0.195133528445651
"GSN","Gsn",25.730904,34.143926,35.645759,909,1884,2043,31.8401963333333,6.116383,9.539778,7.414485,139,238,134,15.7272013333333,1.96328098639493
"GSPT1","Gspt1",35.745248,22.822061,25.608276,1137,1270,1249,28.0585283333333,49.254187,50.849224,47.620206,1720,1848,1385,20.8619096666667,1.32918527138732
"GSPT2","Gspt2",10.071713,7.814963,6.890779,347,482,429,8.25915166666667,11.463969,10.86774,13.487658,409,422,342,4.38880566666667,1.71821962776291
"GSR","Gsr",20.357579,13.879027,12.000535,261,460,401,15.4123803333333,21.754856,17.104669,19.08776,510,502,382,0,16.4123803333333
"GSS","Gss",10.146045,11.084147,11.032177,184,362,409,10.754123,31.512869,26.080197,34.776625,419,426,334,138.236839666667,0.0844181972826976
"GSTA3","Gsta3",0.403324,0.688824,0.481633,6,18,9,0.524593666666667,0.134614,0.399593,0,1,2,0,26.5742343333333,0.0552905168004484
"GSTA5","Gsta2",0.100089,0.269127,0.225058,1,4,4,0.198091333333333,0,0,0,0,0,0,190.267470666667,0.00626395763564689
"GSTCD","Gstcd",1.547548,1.418998,1.474852,73,98,112,1.480466,4.438692,3.945382,3.222722,106,137,108,0.655148333333333,1.49863667808223
"GSTK1","Gstk1",6.014845,10.768901,11.634212,67,201,232,9.47265266666667,25.105103,23.294853,32.215982,409,435,367,48.6162933333333,0.211072854562292
"GSTM1","Gstm2",2.048044,3.181423,2.819371,26,71,67,2.682946,2.53179,3.12933,4.286427,26,33,38,2.107343,1.18523960824409
"GSTM2","Gstm7",25.736453,37.441009,40.636267,208,567,650,34.6045763333333,42.710906,39.100037,39.656997,331,395,291,82.5329143333333,0.426234097271589
"GSTM3","Gstm5",181.877446,249.952922,247.551687,1309,3241,3349,226.460685,46.539886,60.255502,55.838383,710,907,656,9.77159766666667,21.1167082209068
"GSTM4","Gstm4",4.951637,6.507965,5.429858,67,198,186,5.62982,22.900309,24.066841,20.148539,212,227,122,60.418691,0.107944664597297
"GSTM5","Gstm1",185.014911,223.652741,227.35375,1871,3836,3974,212.007134,0,0,0.072693,0,0,3,0.056665,201.584356442203
"GSTO1","Gsto1",28.900168,41.83121,49.705428,264,610,646,40.145602,44.495599,47.900346,38.18713,298,356,186,42.207611,0.952276718099503
"GSTO2","Gsto2",0.201063,0.506029,0.996234,3,14,28,0.567775333333333,3.638742,4.242287,4.457562,136,183,146,143.920799,0.0108181527023829
