"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","FoldChange"
"ABCA9","Abca9",2.00727,0.817394,0.714638,198,138,123,1.17976733333333,2.080644,1.631188,5.048676,56,70,42,70.524086,0.0304759900508667
"ABCB1","Abcb1a",99.75214,6.975101,6.917955,673,568,486,37.881732,0.242278,0.606745,0.127132,1,5,2,1.80413866666667,13.8658378282767
"ABCB10","Abcb10",6.080809,6.701589,6.717685,367,738,755,6.50002766666667,4.487977,5.694735,6.12157,229,188,232,19.2221996666667,0.370880902685842
"ABCB11","Abcb11",0.013403,0.0077,0.13836,1,1,1,0.0531543333333333,1.580405,3.39585,0.543683,8,15,6,17.6704116666667,0.0564076653549953
"ABCB4","Abcb4",1.083928,0.701036,1.304195,65,75,81,1.02971966666667,0.391427,0.466284,0.700631,11,23,7,0.284030333333333,1.58074121301911
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.218901,0.076822,0,4,2,0,124.477910666667,0.0079695302120268
"ABCB6","Abcb6",9.396261,8.069201,9.543446,170,375,348,9.00296933333333,17.599676,11.88309,16.193697,250,162,216,60.1961696666667,0.163457441663737
"ABCB7","Abcb7",9.304969,6.351937,6.056985,796,927,836,7.23796366666667,5.349743,5.631146,5.087587,135,114,121,0.477899333333333,5.57410337826347
"ABCB8","Abcb8",21.123623,23.448565,21.308368,425,891,876,21.9601853333333,25.451568,21.496367,20.678115,717,431,556,0.047523,21.9185500779776
"ABCB9","Abcb9",13.886122,10.841195,11.737911,471,761,775,12.155076,20.038858,11.346602,23.406662,473,230,418,1.25770333333333,5.82675137418409
"ABCC1","Abcc1",10.519469,1.171945,2.39971,274,180,219,4.69704133333333,8.866004,11.470193,9.218329,759,724,593,0.0985743333333333,5.18584966030216
"ABCC10","Abcc10",1.597096,1.12677,1.004533,82,102,115,1.24279966666667,67.229562,58.653056,74.269479,908,586,738,0.04034,2.15583334935374
"ABCC12","Abcc12",0.053002,0.104746,0.147696,3,8,12,0.101814666666667,0,0,0,0,0,0,18.1321966666667,0.0575895536651219
"ABCC2","Abcc2",0,0.004608,0.018311,0,1,4,0.00763966666666667,1.027977,1.07924,0.751123,20,15,18,0.845947666666667,0.545865782038241
"ABCC3","Abcc3",1.461523,0.214629,0.317509,29,21,26,0.664553666666667,0.387771,0.982346,0.063447,3,5,1,0.884872666666667,0.883111998016488
"ABCC5","Abcc5",86.190976,31.297927,40.065383,1665,1327,1402,52.5180953333333,47.052923,36.864191,46.334162,2382,1605,1925,20.949055,2.43828699382882
"ABCC6","Abcc6",0.373831,0.133197,0.189503,12,15,27,0.232177,0.700877,0.769524,0.372597,31,27,18,24.1202313333333,0.0490511804469317
"ABCC9","Abcc9",2.051365,0.582775,0.654602,234,116,131,1.09624733333333,0.152849,0.551804,0.203548,19,57,23,0.021795,2.05153414660801
"ABCD1","Abcd1",2.686316,1.6366,1.846768,138,162,188,2.05656133333333,7.294446,8.044954,7.763412,256,196,196,11.7826246666667,0.239118445001671
"ABCD2","Abcd2",17.561996,16.181786,14.615399,695,907,808,16.119727,0.010725,0,0.024448,1,0,2,7.79499266666667,1.94653112843225
"ABCD3","Abcd3",22.337243,19.371378,19.426874,1135,1664,1589,20.3784983333333,11.69952,13.13055,9.707609,544,496,467,0.182089333333333,18.0853491614283
"ABCD4","Abcd4",4.359746,3.381328,3.474536,149,205,205,3.73853666666667,70.916088,64.134004,67.343217,895,680,780,6.02768366666667,0.674267211135618
"ABCE1","Abce1",23.623258,18.664945,16.190277,1327,1826,1551,19.4928266666667,31.583438,49.79339,37.572001,980,1003,995,51.5015293333333,0.390328185233563
"ABCF1","Abcf1",42.586641,27.88631,16.795441,940,1220,942,29.089464,79.412855,49.138765,60.340286,982,733,819,16.7136716666667,1.69865765642602
"ABCF2","Abcf2",31.257595,33.14353,31.918211,1170,2228,2179,32.1064453333333,41.126604,23.175533,34.428163,544,392,458,2.61348133333333,9.16192510196077
"ABCF3","Abcf3",187.359797,215.552443,216.367976,715,1524,1442,206.426738666667,48.291703,49.874702,42.97229,634,530,501,89.6533366666667,2.28813131754187
"ABCG1","Abcg1",17.44561,15.173097,13.007637,975,1194,1038,15.2087813333333,4.150456,4.415328,3.848561,183,146,140,70.685971,0.226108136741753
"ABCG2","Abcg2",17.007204,19.60743,11.336253,310,572,463,15.983629,2.961168,3.343736,4.879457,130,124,137,19.632322,0.823156453258145
"ABCG5","Abcg5",0,0.081567,0.025253,0,3,1,0.0356066666666667,0,0.053623,0,0,2,0,13.9772976666667,0.0691450947771108
"ABCG8","Abcg8",0,0,0.031248,0,0,2,0.010416,0.166037,0.120609,0.140823,13,5,8,30.739424,0.0318347302080844
"ABHD1","Abhd1",0.646129,1.838952,1.144674,11,59,36,1.20991833333333,0.539133,1.449996,2.556852,16,11,17,46.7447953333333,0.0462860573158739
"ABHD10","Abhd10",7.407598,8.355175,8.138571,216,388,372,7.96711466666667,17.896254,16.509149,18.709231,474,316,439,11.2268,0.733398327172005
"ABHD11","Abhd11",14.510702,19.169353,18.676671,173,436,448,17.452242,8.315591,5.793527,10.881287,88,44,86,0,18.452242
"ABHD12","Abhd12",251.752332,303.428597,281.089441,2928,6286,6265,278.75679,34.456652,32.027544,41.779576,424,313,435,0.0118706666666667,276.474849223155
"ABHD13","Abhd13",8.435331,5.711411,5.393523,646,763,711,6.51342166666667,3.072772,3.602061,3.056116,238,226,207,17.24049,0.411908981977275
"ABHD14A","Abhd14a",12.401468,16.017875,14.871911,157,419,397,14.430418,19.98651,11.809536,18.625674,220,94,202,5.444609,2.39431406932523
"ABHD14B","Abhd14b",9.543977,7.060984,8.598408,140,239,266,8.401123,6.270991,5.484107,6.977415,142,105,131,19.3044256666667,0.463008565439682
"ABHD15","Abhd15",0.356555,0.447731,0.224641,13,31,16,0.342975666666667,2.267084,2.653537,2.449372,118,109,110,121.178592,0.01099190655812
"ABHD16A","Abhd16a",41.183855,61.475216,60.134246,564,1496,1639,54.264439,43.283793,44.460669,44.105033,632,478,592,14.1200143333333,3.65505202453181
"ABHD16B","Abhd16b",0.040812,0,0,1,0,0,0.013604,0,0,0,0,0,0,15.0845016666667,0.0630174326196615
"ABHD17A","Abhd17a",58.483824,79.896002,84.757266,762,2077,2222,74.3790306666667,22.251861,16.580488,18.393927,855,595,608,20.7973786666667,3.45816952668437
"ABHD17B","Abhd17b",13.462328,12.425725,11.081772,411,633,517,12.323275,6.982168,5.876005,6.383279,292,190,217,32.975061,0.392148670461548
"ABHD17C","Abhd17c",13.103004,9.007656,13.856976,380,472,433,11.989212,5.189827,4.249834,4.998582,101,79,94,7.683484,1.49585258635819
"ABHD18","Abhd18",3.492566,4.65432,2.618732,161,244,203,3.58853933333333,3.285167,2.22549,2.818459,157,105,137,0.378546333333333,3.32853471978575
"ABHD2","Abhd2",19.626201,7.092046,7.529354,2086,1334,1439,11.415867,43.040132,37.278752,34.676228,4800,3122,3837,25.8453793333333,0.462495494879578
"ABHD3","Abhd3",38.388158,39.33974,44.624386,668,1261,1382,40.7840946666667,3.984849,5.25904,2.915345,43,53,50,188.800944,0.22014692754461
"ABHD4","Abhd4",30.102026,40.118908,40.409999,828,1966,2027,36.8769776666667,36.086594,26.455903,21.679738,296,237,316,4.14297433333333,7.36480005765795
"ABHD5","Abhd5",15.396005,16.375689,21.571022,243,450,555,17.7809053333333,2.814933,3.503613,4.082079,117,93,117,67.8293946666667,0.272861695563171
"ABHD6","Abhd6",20.131196,19.454461,16.882188,613,1035,897,18.822615,11.831495,8.409419,12.306665,138,99,156,0.832805333333333,10.8154503042331
"ABHD8","Abhd8",73.165664,99.876587,96.017002,1879,5091,5065,89.6864176666667,3.366122,1.881682,2.264601,60,36,33,0.113022333333333,81.477626235113
"ABI1","Abi1",83.535127,72.202167,67.21898,1473,2226,1830,74.318758,12.69711,14.372399,14.823763,447,426,457,37.131495,1.97523747757595
"ABI2","Abi2",73.550072,33.93638,32.706777,2945,2764,2269,46.7310763333333,23.445738,22.714472,18.676018,1466,1126,1250,19.2788783333333,2.35373355215981
"ABI3","Abi3",2.741241,3.098633,2.942035,27,77,59,2.927303,0,0.122185,0,0,1,0,33.885931,0.112575553738268
"ABITRAM","Abitram",7.343123,3.117896,3.047484,317,313,275,4.50283433333333,13.474933,12.693075,15.766697,185,143,177,22.294948,0.236224366473509
"ABL1","Abl1",16.493449,7.635737,7.237194,757,701,772,10.45546,20.002516,27.75208,18.375548,1348,1318,1125,0.541266,7.43250029521186
"ABL2","Abl2",9.166805,2.613638,2.099504,1313,592,529,4.626649,7.647104,11.288064,8.405532,1295,1485,1218,0,5.626649
"ABLIM1","Ablim1",19.521036,10.009919,8.622963,1779,1479,1369,12.7179726666667,13.234586,13.893529,13.950169,1252,905,1223,3.43806866666667,3.09097801250784
"ABLIM2","Ablim2",97.913663,59.151526,46.287557,1212,1466,1295,67.7842486666667,2.618199,1.169305,2.227903,73,27,55,19.619759,3.33584154240923
"ABLIM3","Ablim3",4.516867,3.560203,3.140058,289,412,368,3.73904266666667,39.693627,31.45544,35.010631,1694,1071,1302,0,4.73904266666667
"ABO","Abo",0,0,0,0,0,0,0,0.081458,0.061784,0.056364,8,5,5,418.292288333333,0.00238497112354475
"ABR","Abr",121.644538,73.850699,64.046723,7113,7103,6497,86.5139866666667,198.031654,211.438013,200.361185,1298,1199,1252,521.419259666667,0.167516769428649
"ABRA","Abra",0.023622,0.027351,0.115394,1,2,8,0.0554556666666667,0,0,0,0,0,0,10.242749,0.0938787894906011
"ABRACL","Abracl",33.217061,37.836813,39.468236,67,98,101,36.8407033333333,16.160065,20.958007,19.636272,132,135,145,14.463645,2.44707527451214
"ABRAXAS1","Abraxas1",2.097837,2.986823,1.808422,42,70,66,2.297694,3.82892,6.035163,5.406464,107,132,131,1.09453433333333,1.5744282380666
"ABRAXAS2","Abraxas2",15.079319,12.887985,9.021063,380,628,479,12.3294556666667,5.545332,5.945653,7.320012,243,210,286,24.0521246666667,0.532068870166621
"ABT1","Abt1",2.396752,2.64066,2.619396,162,315,315,2.55226933333333,4.559478,4.690372,4.720066,202,168,186,0.332005333333333,2.66685819075799
"ABTB1","Abtb1",21.831981,27.654929,23.552319,275,528,482,24.3464096666667,6.145615,3.499741,5.352266,109,78,105,35.8245523333333,0.688301908933819
"ABTB2","Abtb2",3.117546,2.432269,2.363293,188,299,300,2.63770266666667,1.812701,1.607969,1.602889,139,98,106,0.0702403333333333,3.39895867625994
"ACAA1","Acaa1b",0.135692,0.223053,0.257686,3,9,11,0.205477,38.003127,38.829187,39.570663,550,465,521,2.87314266666667,0.311240019732469
"ACAA2","Acaa2",16.998977,25.66273,27.282412,209,607,599,23.3147063333333,13.362606,16.013843,12.490575,285,274,234,37.1715246666667,0.636985463527114
"ACACA","Acaca",15.981778,6.514919,6.271574,1592,1200,1232,9.58942366666667,42.363631,48.905645,32.241697,1667,1457,1400,0.334099666666667,7.93750566861696
"ACACB","Acacb",0.922284,0.975901,1.144648,109,90,100,1.01427766666667,3.811888,6.196471,2.56891,69,75,51,1.88246233333333,0.698804505916065
"ACAD10","Acad10",1.268187,1.37903,0.87532,38,74,65,1.174179,21.73928,19.257871,23.277153,392,285,343,11.2976903333333,0.176795718632369
"ACAD11","Acad11",7.725064,8.513703,8.234594,340,530,552,8.157787,13.192374,11.007639,9.386726,340,270,275,16.9703503333333,0.509605368294526
"ACAD8","Acad8",13.864191,15.434606,14.236606,258,559,469,14.511801,26.483493,20.192299,24.101738,534,375,468,1.015644,7.69570469785339
"ACAD9","Acad9",28.724183,35.433702,31.159821,429,851,844,31.7725686666667,19.252462,17.316786,16.985834,406,304,324,0.0922513333333333,30.0046039464665
"ACADL","Acadl",19.503812,22.189297,22.09295,399,856,916,21.2620196666667,0.207989,0.400506,0.246715,5,7,5,19.901956,1.06506872690128
"ACADM","Acadm",46.965469,51.19742,51.99983,336,672,732,50.0542396666667,27.650351,25.508799,28.982212,462,377,403,0,51.0542396666667
"ACADS","Acads",3.826219,4.460667,5.525779,58,193,222,4.60422166666667,4.599063,3.579749,4.281652,112,71,98,30.3830136666667,0.178575000036378
"ACADSB","Acadsb",145.380778,130.594786,130.001808,908,1382,1212,135.325790666667,2.345294,3.480124,2.567987,193,175,184,1.14748833333333,63.4815046725128
"ACADVL","Acadvl",18.073398,20.606721,19.713457,479,1011,988,19.4645253333333,487.069067,525.545782,529.790065,2890,2306,2580,17.40622,1.11182661803093
"ACAN","Acan",0.97749,0.350438,0.41702,94,47,60,0.581649333333333,13.521626,21.358045,13.180758,1180,1435,924,7.561401,0.184741882004281
"ACAP1","Acap1",0,0.018565,0.036549,0,1,2,0.0183713333333333,8.203837,7.799579,5.089685,31,27,34,0.385942333333333,0.734786223669239
"ACAP2","Acap2",36.691042,10.677867,10.414354,1409,875,776,19.2610876666667,4.317336,5.926497,4.813944,442,447,434,44.5875936666667,0.444443016993052
"ACAT1","Acat1",43.890942,47.535747,47.180457,948,1985,2072,46.202382,56.259875,44.471839,63.751794,369,255,375,3.553206,10.3668452514558
"ACAT2","Acat2",21.860344,25.469903,26.905039,427,936,993,24.7450953333333,25.297509,32.783013,27.509826,501,530,488,22.0492936666667,1.11695810317022
"ACBD3","Acbd3",10.281829,7.11692,5.836016,516,626,510,7.74492166666667,54.125804,44.820301,37.958539,793,793,708,87.7579663333333,0.0985254848429586
"ACBD5","Acbd5",31.718534,21.222073,20.502479,1208,1400,1161,24.4810286666667,7.912379,6.095147,7.392269,308,226,288,57.1031753333333,0.438547954057313
"ACBD6","Acbd6",46.051315,40.289734,37.283973,465,683,684,41.2083406666667,24.856558,25.060157,20.197148,434,305,343,0.174427666666667,35.9394979057884
"ACBD7","Acbd7",0,0.633204,0.507256,0,5,4,0.380153333333333,0.811197,0.918754,0.914356,39,38,35,11.1193056666667,0.113880561419401
"ACCS","Accs",1.702548,1.880763,1.530269,43,62,61,1.70452666666667,23.189882,13.116107,20.465664,320,206,258,6.32711866666667,0.36911189646353
"ACCSL","Accsl",0,0.221119,0.229811,0,2,2,0.15031,0,0,0,0,0,0,0,1.15031
"ACD","Acd",15.910447,14.66128,14.732569,297,491,503,15.101432,8.520872,12.288536,11.733328,141,109,166,13.9484126666667,1.07713322872765
"ACE","Ace",8.036527,5.639198,4.870534,431,541,552,6.18208633333333,1.303784,1.277742,1.252099,41,16,21,4.61045833333333,1.28012470757737
"ACE2","Ace2",0.383734,0.590837,0.631366,19,44,39,0.535312333333333,0,0.275135,0.093605,0,1,2,0.032435,1.48707892829411
"ACER1","Acer1",0.030558,0,0,1,0,0,0.010186,0.050862,0,0,1,0,0,0,1.010186
"ACER2","Acer2",3.118334,2.54008,2.402802,132,184,153,2.687072,0.79589,1.105758,0.950331,33,37,35,42.3160396666667,0.0851202471041539
"ACER3","Acer3",3.481609,5.184627,5.45389,351,403,381,4.70670866666667,2.862275,3.818158,3.438456,324,261,332,0.936543333333333,2.94685306981684
"ACHE","Ache",33.834013,47.679276,42.808478,660,1514,1703,41.440589,23.639298,15.646921,24.253111,666,324,578,18.5912026666667,2.16630850704282
"ACIN1","Acin1",45.807958,21.09828,21.753088,1080,1089,980,29.5531086666667,177.532807,182.921232,142.933279,3282,2682,2593,5.776554,4.50864977489542
"ACKR1","Ackr1",101.103231,14.233693,28.400341,431,187,207,47.9124216666667,7.550579,5.560224,10.119254,197,125,214,93.5780606666667,0.517164565670836
"ACKR2","Ackr2",0.649428,0.359553,0.708918,12,16,18,0.572633,0.359601,0.085355,0.268785,6,3,9,0.0201403333333333,1.54158496494437
"ACKR3","Ackr3",3.231514,3.181414,3.449357,127,255,243,3.28742833333333,0.58853,1.270426,0.550161,17,15,14,5.565056,0.653068052021694
"ACKR4","Ackr4",0.132857,0.125531,0.088747,4,6,5,0.115711666666667,0,0,0,0,0,0,83.4959306666667,0.0132043242540059
"ACLY","Acly",44.180974,41.640376,34.502339,2485,3516,3246,40.1078963333333,146.457605,153.677986,123.036365,4402,3834,3894,0,41.1078963333333
"ACMSD","Acmsd",0.102752,0.079444,0,3,4,0,0.060732,0,0.090128,0.068505,0,2,1,111.293037,0.00944610661834714
"ACO1","Aco1",7.262014,5.414308,4.996443,412,554,518,5.89092166666667,7.828545,10.438737,8.19943,589,574,554,8.036804,0.76253968401513
"ACO2","Aco2",263.104087,251.75769,261.873345,6115,11826,11858,258.911707333333,44.21915,38.397711,34.421423,1102,814,929,1.38018433333333,109.198142216716
"ACOD1","Acod1",0,0.073883,0.014681,0,5,1,0.0295213333333333,0,0,0,0,0,0,0,1.02952133333333
"ACOT1","Acot3",0.889756,0.635427,0.487761,33,39,32,0.670981333333333,3.574162,4.075885,3.688916,68,59,57,0.555757666666667,1.0740627342776
"ACOT11","Acot11",21.802128,6.375834,9.361889,792,624,658,12.5132836666667,0.37798,0.458171,0.465699,35,34,33,0.009225,13.3897631020503
"ACOT12","Acot12",0.04416,0.076111,0.025569,2,6,2,0.0486133333333333,0.838379,0.711122,0.64397,19,13,12,28.4359543333333,0.0356235548356549
"ACOT13","Acot13",187.035261,203.440437,207.538666,394,833,891,199.338121333333,12.191412,9.46509,13.396844,229,175,231,0.128003666666667,177.604140175667
"ACOT2","Acot2",2.118218,1.538339,1.968624,59,81,106,1.87506033333333,21.539035,15.077116,15.11408,178,108,135,0.579736666666667,1.81996176577953
"ACOT4","Acot4",0.670655,0.306245,0.31109,62,50,51,0.42933,0.146906,0.447474,0.101508,5,12,3,8.40042833333333,0.152049454484078
"ACOT6","Acot6",1.922866,1.41504,1.514438,91,121,132,1.617448,0,0.122286,0,0,1,0,60.099307,0.0428392420228269
"ACOT7","Acot7",174.61588,209.453191,230.233611,2449,5334,5637,204.767560666667,38.203304,38.030315,39.780133,695,547,661,105.878071333333,1.92525518190644
"ACOT8","Acot8",8.915559,7.038879,6.834587,102,183,184,7.59634166666667,9.983366,11.016138,11.40912,177,144,156,4.974236,1.43890225740441
"ACOT9","Acot9",8.656998,10.402593,11.574608,207,422,487,10.2113996666667,23.22135,28.851472,24.154281,541,489,487,3.387781,2.55514112182597
"ACOX1","Acox1",52.075992,36.160964,33.933861,2775,3505,3371,40.7236056666667,33.537489,28.271905,20.230548,771,581,655,18.5512403333333,2.13406438442328
"ACOX2","Acox2",0.425945,0.503412,0.569201,5,11,9,0.499519333333333,5.459635,7.803665,5.815802,51,58,35,72.0220853333333,0.0205351480512818
"ACOX3","Acox3",14.587127,10.948877,12.068161,399,504,521,12.5347216666667,8.870189,7.235071,11.373044,158,135,150,15.2750176666667,0.831625620560002
"ACOXL","Acoxl",0.094962,0.026312,0.051821,2,1,2,0.0576983333333333,0.239138,0.162594,0.206492,7,4,5,6.31179633333333,0.144656427109635
"ACP1","Acp1",42.16122,34.03718,37.936118,564,974,980,38.0448393333333,58.248272,76.17287,65.299677,903,859,858,32.6087256666667,1.16174709272176
"ACP2","Acp2",27.775885,13.88201,13.462821,1230,1605,1534,18.373572,169.629988,98.736759,157.367625,899,467,753,0.231051666666667,15.7374158409273
"ACP4","Acp4",0,0,0,0,0,0,0,0.556063,0.142491,0.132265,10,2,2,5.758203,0.147968328267144
"ACP5","Acp5",0.266159,0.463497,0.182784,5,15,6,0.304146666666667,7.63295,1.018418,10.927006,32,7,35,0.237713666666667,1.05367396498005
"ACP6","Acp6",6.776354,4.322587,4.022952,116,152,143,5.040631,24.331622,19.56541,23.987726,367,301,340,0.0874,5.55511403347434
"ACP7","Acp7",1.312528,1.068579,0.512198,10,21,22,0.964435,0.259018,0.140654,0.195719,11,5,8,85.97565,0.0225860341371407
"ACR","Acr",0.186909,0.423882,0.312842,2,7,5,0.307877666666667,0.050784,0.062833,0,1,1,0,6.30690966666667,0.178991903052129
"ACRBP","Acrbp",3.307852,1.573221,2.810081,32,37,54,2.563718,0.933344,1.400639,0.994766,9,11,8,1.396431,1.48709393260227
"ACRV1","Acrv1",0.041311,0,0.023691,2,0,2,0.0216673333333333,0.230836,0.190941,0.387534,4,4,4,1.409463,0.424022835517015
"ACSBG1","Acsbg1",75.991695,72.124837,77.401997,1978,4020,4197,75.172843,1.680716,3.357604,1.221717,49,54,34,42.5405296666667,1.74946982921789
"ACSBG2","Acsbg2",0,0,0.028707,0,0,2,0.009569,0.206484,0.414199,0.534768,2,2,6,74.0247403333333,0.0134564810956293
"ACSF2","Acsf2",10.926012,9.765954,9.224856,183,286,301,9.972274,52.435691,50.495669,51.622443,334,301,283,4.91425733333333,1.85522431331474
"ACSF3","Acsf3",6.485458,6.055549,5.885676,203,348,340,6.14222766666667,19.896846,16.478566,14.431669,339,249,243,1.56849833333333,2.7807016940508
"ACSL1","Acsl1",42.346285,28.804089,28.573101,682,880,842,33.2411583333333,22.571965,34.049958,24.018834,390,247,333,0.187325333333333,28.8389014973711
"ACSL3","Acsl3",155.549541,107.251119,90.126894,2978,3760,3462,117.642518,125.144372,117.20619,162.941162,2688,1748,2708,26.998922,4.23739592545742
"ACSL4","Acsl4",36.923525,27.741878,18.657545,1487,1298,1009,27.774316,25.373504,30.774505,32.691471,1627,1473,1507,3.55108633333333,6.32251596486963
"ACSL5","Acsl5",90.630157,64.187729,63.662764,978,1441,1317,72.8268833333333,0.550356,0.183705,0.680974,9,2,6,18.5806646666667,3.77039720510679
"ACSL6","Acsl6",88.954339,98.112671,85.343388,3610,5149,4996,90.803466,5.279576,2.761154,5.097792,259,134,211,6.56396133333333,12.1369560147584
"ACSM1","Acsm1",0,0,0,0,0,0,0,0,0.132055,0,0,1,0,94.2345353333333,0.010500392494171
"ACSM2B","Acsm2",0.04055,0,0,4,0,0,0.0135166666666667,0.259345,0.573845,1.003013,6,3,7,8.893309,0.102444658977766
