"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"Itgb3bp","ITGB3BP",666,0.628721,684,0.596396,561,0.557944,0.594353666667,"ITGB3BP",3.209368,4.502003,4.566188,84,133,30,4.09251966666667,0.313077566907187
"Itgb4","ITGB4",1007,4.6373,1163,4.94664,1067,5.17659,4.92017666667,"ITGB4",12.568677,20.410882,13.111471,818,1794,333,15.3636766666667,0.361787683004614
"Itgb5","ITGB5",588,0.762596,624,0.747475,622,0.849868,0.786646333333,"ITGB5",61.957182,57.307709,82.671371,823,1238,272,67.3120873333333,0.0261541756821884
"Itgb6","ITGB6",87,0.108588,100,0.115281,93,0.12229,0.115386333333,"ITGB6",0.034454,0.013267,0,3,1,0,0.015907,1.09792169296304
"Itgb7","ITGB7",33,0.321122,53,0.476351,28,0.287051,0.361508,"ITGB7",0.875491,0.688786,0.389007,8,17,7,0.651094666666667,0.824609289513785
"Itgb8","ITGB8",3607,6.93033,3769,6.6885,3280,6.63935,6.75272666667,"ITGB8",10.831881,16.020108,9.044583,1844,4305,478,11.965524,0.597949351423822
"Itgbl1","ITGBL1",437,0.21488,547,0.248425,433,0.224309,0.229204666667,"ITGBL1",1.888526,1.628534,1.313697,125,167,26,1.61025233333333,0.470914114689167
"Itih2","ITIH2",32,0.13495,55,0.21423,23,0.102187,0.150455666667,"ITIH2",0.59953,0.485013,0.948651,34,48,11,0.677731333333333,0.685721035191769
"Itih3","ITIH3",24,0.245244,21,0.198199,31,0.333729,0.259057333333,"ITIH3",94.786311,80.28461,100.463613,3156,3874,1074,91.8448446666667,0.0135608750044582
"Itih4","ITIH4",3,0.0293253,3,0.0270855,2,0.0205966,0.0256691333333,"ITIH4",0.063248,0.021085,0.245167,4,2,1,0.109833333333333,0.924165009761195
"Itih5","ITIH5",2444,3.68429,2422,3.37226,2279,3.61944,3.55866333333,"ITIH5",8.40322,8.17492,6.281326,1497,2174,352,7.619822,0.528858175183896
"Itk","ITK",94,0.226667,112,0.249444,112,0.284526,0.253545666667,"ITK",0.169194,0.219874,0.461058,16,31,9,0.283375333333333,0.976756864580795
"Itm2a","ITM2A",817,20.1984,939,21.4415,757,19.7168,20.4522333333,"ITM2A",35.181943,27.714034,38.494531,1166,1417,396,33.796836,0.616499538443668
"Itm2b","ITM2B",13966,93.9841,14484,90.0255,11940,84.6507,89.5534333333,"ITM2B",392.400736,401.942034,506.519043,9208,14619,3410,433.620604333333,0.20835053016458
"Itm2c","ITM2C",4166,44.9184,4721,47.0148,4030,45.7777,45.9036333333,"ITM2C",162.080274,134.321349,174.822733,5581,7093,1929,157.074785333333,0.296717994804763
"Itpa","ITPA",849,9.40896,918,9.39661,768,8.96683,9.25746666667,"ITPA",26.81734,24.888561,31.48813,401,570,140,27.7313436666667,0.357013120781067
"Itpk1","ITPK1",1653,1.88165,1801,1.89354,1506,1.80607,1.86042,"ITPK1",43.941057,44.987528,31.138794,1307,2124,387,40.0224596666667,0.0697281446125541
"Itpka","ITPKA",4,0.0695459,9,0.144527,4,0.0732682,0.0957803666667,"ITPKA",1.0692,0.343874,0.551695,37,18,6,0.654923,0.66213374680677
"Itpkb","ITPKB",4567,7.51542,4773,7.25452,4505,7.81018,7.52670666667,"ITPKB",26.197069,24.365702,29.648569,3656,5117,1283,26.7371133333333,0.307411465793124
"Itpr1","ITPR1",679,0.311783,696,0.29518,604,0.292189,0.299717333333,"ITPR1",15.907739,15.54947,9.100306,1827,1967,376,13.5191716666667,0.089517319801164
"Itpr2","ITPR2",468,0.184395,498,0.181229,483,0.200491,0.188705,"ITPR2",5.559567,3.802671,4.641563,659,903,154,4.66793366666667,0.209724578639799
"Itpr3","ITPR3",2116,5.05888,2413,5.32832,2153,5.42284,5.27001333333,"ITPR3",2.973149,6.604505,5.339131,532,642,162,4.97226166666667,1.04985576374277
"Itprid1","ITPRID1",6,0.00656548,7,0.0070747,2,0.00230563,0.00531527,"ITPRID1",0,0,0,0,0,0,0,1.00531527
"Itprid2","ITPRID2",2050,8.45882,2186,8.33107,1851,8.04649,8.27879333333,"ITPRID2",16.108494,14.416222,13.93215,1677,2234,463,14.8189553333333,0.586561700049683
"Itprip","ITPRIP",68,0.427331,76,0.441127,55,0.364135,0.410864333333,"ITPRIP",0.157393,0.19149,0.344346,13,24,9,0.231076333333333,1.14604130965044
"Itpripl1","ITPRIPL1",252,8.37351,269,8.25571,238,8.33159,8.32027,"ITPRIPL1",0.539371,0.552761,0.753854,31,48,10,0.615328666666667,5.76989079209061
"Itpripl2","ITPRIPL2",509,11.5079,547,11.4224,455,10.8376,11.2559666667,"ITPRIPL2",1.393651,1.105852,1.117481,208,249,52,1.20566133333333,5.55659496835718
"Itsn1","ITSN1",2038,1.65336,2004,1.50161,1854,1.58459,1.57985333333,"ITSN1",79.253709,60.029993,42.024437,4042,4765,916,60.4360463333333,0.0419925025665307
"Itsn2","ITSN2",4384,5.60838,4358,5.14931,4024,5.42336,5.39368333333,"ITSN2",29.774796,26.340272,26.98325,1626,2300,443,27.6994393333333,0.222780774880991
"Ivd","IVD",726,5.37706,779,5.32894,668,5.2123,5.3061,"IVD",172.082993,137.231552,153.40052,1623,1897,480,154.238355,0.0406220485910199
"Ivns1abp","IVNS1ABP",6833,53.1707,6714,48.2544,6183,50.6879,50.7043333333,"IVNS1ABP",35.293499,30.069484,31.280099,2506,3188,711,32.2143606666667,1.55668609286794
"Iws1","IWS1",1289,5.46803,1265,4.95637,1157,5.17078,5.19839333333,"IWS1",13.104518,9.193147,6.439355,841,1130,175,9.57900666666667,0.585914493546968
"Iyd","IYD",15,0.159047,15,0.1469,18,0.201072,0.169006333333,"IYD",0.033704,0.119828,0,1,4,0,0.0511773333333333,1.11209240939968
"Izumo1","IZUMO1",11,0.243448,18,0.367943,11,0.256478,0.289289666667,"IZUMO1",0,0.01518,0,0,1,0,0.00506,1.28279870521859
