"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2-H2BE1",31.257595,33.14353,31.918211,1170,2228,2179,32.1064453333333,0.89484085958851
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2",31.257595,33.14353,31.918211,1170,2228,2179,32.1064453333333,0.89484085958851
"Abcf3","ABCF3",1658,20.0997,1764,19.7514,1555,19.86,19.9037,"ABCF3",187.359797,215.552443,216.367976,715,1524,1442,206.426738666667,0.100776303645173
"Abcg1","ABCG1",1593,4.09935,1599,3.80051,1512,4.09916,3.99967333333,"ABCG1",17.44561,15.173097,13.007637,975,1194,1038,15.2087813333333,0.308454610529428
"Abcg3","ABCG2",15,0.0488468,7,0.0210541,8,0.027446,0.0324489666667,"ABCG2",0,0.136891,0.059757,0,10,4,0.0655493333333333,0.968935866570264
"Abcg4","ABCG4",1301,13.0883,1303,12.1073,1252,13.2695,12.8217,"ABCG4",18.541567,8.825353,11.627465,718,762,801,12.9981283333333,0.987396291194644
"Abcg5","ABCG5",4,0.0250559,2,0.0115711,1,0.00659925,0.01440875,"ABCG5",0,0.081567,0.025253,0,3,1,0.0356066666666667,0.97953091907481
"Abcg8","ABCG8",12,0.0775012,28,0.167024,7,0.0476287,0.0973846333333,"ABCG8",0,0,0.031248,0,0,2,0.010416,1.08607210627435
"Abhd1","ABHD1",387,11.951,427,12.1792,372,12.1027,12.0776333333,"ABHD1",0.646129,1.838952,1.144674,11,59,36,1.20991833333333,5.91769982448823
"Abhd10","ABHD10",1071,12.5636,1157,12.5358,989,12.2226,12.4406666667,"ABHD10",7.407598,8.355175,8.138571,216,388,372,7.96711466666667,1.49888421932005
"Abhd11","ABHD11",473,24.2771,487,23.0865,430,23.2513,23.5383,"ABHD11",14.510702,19.169353,18.676671,173,436,448,17.452242,1.32982756241762
"Abhd12","ABHD12",4726,10.1526,5063,10.0459,4747,10.7436,10.3140333333,"ABHD12",251.752332,303.428597,281.089441,2928,6286,6265,278.75679,0.0404423904538653
"Abhd12b","ABHD12B",2,0.0104356,3,0.0144579,3,0.0164913,0.0137949333333,"ABHD12B",1.853474,0.478275,0.82166,43,30,41,1.05113633333333,0.49426014100475
"Abhd13","ABHD13",535,5.74689,566,5.61553,432,4.88885,5.41709,"ABHD13",8.435331,5.711411,5.393523,646,763,711,6.51342166666667,0.854083570002393
"Abhd14a","ABHD14A",570,11.5979,581,10.9189,552,11.8329,11.4499,"ABHD14A",12.401468,16.017875,14.871911,157,419,397,14.430418,0.806841396001068
"Abhd14b","ABHD14B",506,14.3707,541,14.1912,507,15.1698,14.5772333333,"ABHD14B",9.543977,7.060984,8.598408,140,239,266,8.401123,1.65695452908126
"Abhd15","ABHD15",4270,28.2174,4193,25.5923,3798,26.4416,26.7504333333,"ABHD15",0.356555,0.447731,0.224641,13,31,16,0.342975666666667,20.6633925111823
"Abhd16a","ABHD16A",1791,20.2535,1984,20.7225,1609,19.1692,20.0484,"ABHD16A",41.183855,61.475216,60.134246,564,1496,1639,54.264439,0.380866980301745
"Abhd16b","ABHD16B",3,0.262325,1,0.0807632,0,0,0.114362733333,"ABHD16B",0.040812,0,0,1,0,0,0.013604,1.09940640855107
"Abhd17a","ABHD17A",1543,35.8085,1615,34.6169,1432,35.0113,35.1455666667,"ABHD17A",58.483824,79.896002,84.757266,762,2077,2222,74.3790306666667,0.479517530897143
"Abhd17b","ABHD17B",1336,6.38953,1370,6.0517,1170,5.89511,6.11211333333,"ABHD17B",13.462328,12.425725,11.081772,411,633,517,12.323275,0.533811193819087
"Abhd17c","ABHD17C",525,1.91558,552,1.86026,478,1.83743,1.87109,"ABHD17C",13.103004,9.007656,13.856976,380,472,433,11.989212,0.22103650321513
"Abhd18","ABHD18",959,1.63263,905,1.42303,804,1.44202,1.49922666667,"ABHD18",3.492566,4.65432,2.618732,161,244,203,3.58853933333333,0.54466715551819
"Abhd2","ABHD2",7430,12.4927,7511,11.6644,6700,11.8683,12.0084666667,"ABHD2",19.626201,7.092046,7.529354,2086,1334,1439,11.415867,1.04772922154369
"Abhd3","ABHD3",538,1.29101,575,1.27441,531,1.34241,1.30261,"ABHD3",38.388158,39.33974,44.624386,668,1261,1382,40.7840946666667,0.0551073325476862
"Abhd4","ABHD4",2599,24.5221,2698,23.5119,2384,23.6974,23.9104666667,"ABHD4",30.102026,40.118908,40.409999,828,1966,2027,36.8769776666667,0.65766774967957
"Abhd5","ABHD5",1118,5.80017,1136,5.44342,953,5.20878,5.48412333333,"ABHD5",15.396005,16.375689,21.571022,243,450,555,17.7809053333333,0.345250839522717
"Abhd6","ABHD6",696,2.0056,708,1.88435,682,2.07044,1.98679666667,"ABHD6",20.131196,19.454461,16.882188,613,1035,897,18.822615,0.150676218383397
"Abhd8","ABHD8",1833,40.9291,1869,38.5455,1711,40.2498,39.9081333333,"ABHD8",73.165664,99.876587,96.017002,1879,5091,5065,89.6864176666667,0.451094379796375
"Abi1","ABI1",2942,4.55855,2887,4.13167,2706,4.41729,4.36917,"ABI1",83.535127,72.202167,67.21898,1473,2226,1830,74.318758,0.0712859603978069
"Abi2","ABI2",2196,4.76431,2094,4.19604,1939,4.4319,4.46408333333,"ABI2",73.550072,33.93638,32.706777,2945,2764,2269,46.7310763333333,0.114476432401633
"Abi3","ABI3",692,8.65957,690,7.97506,685,9.03077,8.55513333333,"ABI3",2.741241,3.098633,2.942035,27,77,59,2.927303,2.43300130734247
"Abi3bp","ABI3BP",361,0.263973,384,0.259346,283,0.218013,0.247110666667,"ABI3BP",1.005749,0.614508,0.331046,67,69,42,0.650434333333333,0.75562574134546
"Abitram","ABITRAM",313,6.69429,322,6.36078,287,6.46675,6.50727333333,"ABITRAM",7.343123,3.117896,3.047484,317,313,275,4.50283433333333,1.36425574141944
"Abl1","ABL1",1060,1.4201,1099,1.3599,1067,1.50599,1.42866333333,"ABL1",16.493449,7.635737,7.237194,757,701,772,10.45546,0.212009236934178
"Abl2","ABL2",1484,2.53715,1456,2.29916,1276,2.2983,2.37820333333,"ABL2",9.166805,2.613638,2.099504,1313,592,529,4.626649,0.600393472798819
"Ablim1","ABLIM1",6714,3.69285,6858,3.48395,5990,3.47097,3.54925666667,"ABLIM1",19.521036,10.009919,8.622963,1779,1479,1369,12.7179726666667,0.331627477121619
"Ablim2","ABLIM2",1160,1.41661,1357,1.53062,1086,1.39722,1.44815,"ABLIM2",97.913663,59.151526,46.287557,1212,1466,1295,67.7842486666667,0.0355917240859009
"Ablim3","ABLIM3",1499,2.06931,1607,2.04896,1438,2.09135,2.06987333333,"ABLIM3",4.516867,3.560203,3.140058,289,412,368,3.73904266666667,0.647783434178127
"Abo","ABO",2,0.0138105,1,0.00637784,0,0,0.00672944666667,"ABO",0,0,0,0,0,0,0,1.00672944666667
"Abr","ABR",7455,5.5945,7535,5.22266,6702,5.29861,5.37192333333,"ABR",121.644538,73.850699,64.046723,7113,7103,6497,86.5139866666667,0.0728103423924694
"Abra","ABRA",2,0.0549899,3,0.0761849,1,0.0289666,0.0533804666667,"ABRA",0.023622,0.027351,0.115394,1,2,8,0.0554556666666667,0.998033834991364
"Abracl","ABRACL",146,1.88382,163,1.94254,168,2.28371,2.03669,"ABRACL",33.217061,37.836813,39.468236,67,98,101,36.8407033333333,0.0802493012154196
"Abraxas1","ABRAXAS1",143,1.40706,124,1.12692,147,1.52383,1.35260333333,"ABRAXAS1",2.097837,2.986823,1.808422,42,70,66,2.297694,0.713408622306982
"Abraxas2","ABRAXAS2",1114,6.67914,1131,6.26315,981,6.19653,6.37960666667,"ABRAXAS2",15.079319,12.887985,9.021063,380,628,479,12.3294556666667,0.553631509884112
"Abt1","ABT1",202,5.69419,214,5.57172,198,5.88017,5.71536,"ABT1",2.396752,2.64066,2.619396,162,315,315,2.55226933333333,1.89044224124147
"Abtb1","ABTB1",829,21.1939,906,21.3934,773,20.82,21.1357666667,"ABTB1",21.831981,27.654929,23.552319,275,528,482,24.3464096666667,0.873329475764411
"Abtb2","ABTB2",1898,1.93662,2093,1.97248,1792,1.92633,1.94514333333,"ABTB2",3.117546,2.432269,2.363293,188,299,300,2.63770266666667,0.809616288960945
"Acaa1b","ACAA1",234,4.00385,250,3.95091,238,4.29025,4.08167,"ACAA1",0.135692,0.223053,0.257686,3,9,11,0.205477,4.21548482467936
"Acaa2","ACAA2",1153,6.62506,1196,6.34726,1042,6.30771,6.42667666667,"ACAA2",16.998977,25.66273,27.282412,209,607,599,23.3147063333333,0.305439702411239
"Acaca","ACACA",5525,3.15292,5803,3.05863,5229,3.14371,3.11842,"ACACA",15.981778,6.514919,6.271574,1592,1200,1232,9.58942366666667,0.38891823857836
"Acacb","ACACB",288,0.428874,328,0.451134,279,0.437708,0.439238666667,"ACACB",0.922284,0.975901,1.144648,109,90,100,1.01427766666667,0.71451850481405
"Acad11","ACAD11",684,1.6498,782,1.74211,723,1.8372,1.74303666667,"ACAD11",7.725064,8.513703,8.234594,340,530,552,8.157787,0.299530516124693
"Acad12","ACAD10",291,2.0378,312,2.01799,302,2.22802,2.09460333333,"ACAD10",1.157293,1.86023,1.664471,45,84,89,1.56066466666667,1.20851565361676
"Acad8","ACAD8",735,4.48563,751,4.23322,639,4.10848,4.27577666667,"ACAD8",13.864191,15.434606,14.236606,258,559,469,14.511801,0.340113740929889
"Acad9","ACAD9",1057,6.10441,1133,6.04357,966,5.87746,6.00848,"ACAD9",28.724183,35.433702,31.159821,429,851,844,31.7725686666667,0.213852019696228
"Acadl","ACADL",3283,15.708,3290,14.5392,2889,14.5627,14.9366333333,"ACADL",19.503812,22.189297,22.09295,399,856,916,21.2620196666667,0.715866465483463
"Acadm","ACADM",1534,10.6882,1588,10.2194,1361,9.99038,10.2993266667,"ACADM",46.965469,51.19742,51.99983,336,672,732,50.0542396666667,0.221320045905557
"Acads","ACADS",332,5.69511,370,5.8622,310,5.60235,5.71988666667,"ACADS",3.826219,4.460667,5.525779,58,193,222,4.60422166666667,1.19907581576211
"Acadsb","ACADSB",1236,5.00309,1298,4.85276,1148,4.89559,4.91714666667,"ACADSB",145.380778,130.594786,130.001808,908,1382,1212,135.325790666667,0.0434044551491959
"Acadvl","ACADVL",2096,62.2142,2226,61.0265,1855,58.0078,60.4161666667,"ACADVL",18.073398,20.606721,19.713457,479,1011,988,19.4645253333333,3.00110389399862
"Acan","ACAN",25,0.0629733,37,0.0860821,32,0.0849201,0.0779918333333,"ACAN",0.97749,0.350438,0.41702,94,47,60,0.581649333333333,0.681561842195088
