"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"Prex1","PREX1",1380,1.45221,1482,1.44044,1368,1.51664,1.46976333333,"PREX1",26.073762,12.569145,11.093277,2136,1862,1840,16.578728,0.140497272233236
"Prex2","PREX2",1122,0.561364,1210,0.559154,1143,0.602479,0.574332333333,"PREX2",11.638622,5.422318,4.101991,1371,1093,891,7.05431033333333,0.195464573399601
"Prf1","PRF1",1,0.0226649,1,0.0209338,0,0,0.0145329,"PRF1",0,0,0,0,0,0,0,1.0145329
"Prg2","PRG2",19,0.929688,20,0.903876,8,0.412399,0.748654333333,"PRG2",0,0,0,0,0,0,0,1.748654333333
"Prg2","PRG2",19,0.929688,20,0.903876,8,0.412399,0.748654333333,"",0,0,0,0,0,0,0,1.748654333333
"Prg2","AP000781.2",19,0.929688,20,0.903876,8,0.412399,0.748654333333,"PRG2",0,0,0,0,0,0,0,1.748654333333
"Prg2","AP000781.2",19,0.929688,20,0.903876,8,0.412399,0.748654333333,"",0,0,0,0,0,0,0,1.748654333333
"Prg4","PRG4",118,1.09315,155,1.32625,91,0.888145,1.102515,"PRG4",2.437965,0.673447,0.891447,87,30,52,1.33428633333333,0.900709981451861
"Prickle1","PRICKLE1",249,0.399337,263,0.389575,231,0.390298,0.39307,"PRICKLE1",19.069366,10.030138,9.095118,1173,1107,1017,12.7315406666667,0.101450378644086
"Prickle2","PRICKLE2",1578,0.730563,1574,0.673055,1441,0.702844,0.702154,"PRICKLE2",32.231039,13.252716,11.646349,3716,2738,2415,19.043368,0.0849235517703412
"Prickle3","PRICKLE3",139,1.97438,183,2.40083,119,1.78077,2.05199333333,"PRICKLE3",0.564605,0.532663,0.261136,11,15,12,0.452801333333333,2.10076440825357
"Prickle4","PRICKLE4",106,2.64504,105,2.41997,96,2.52372,2.52957666667,"",3.274244,3.582217,4.745988,36,75,99,3.867483,0.725133845700129
"Prickle4","PRICKLE4",106,2.64504,105,2.41997,96,2.52372,2.52957666667,"PRICKLE4",3.274244,3.582217,4.745988,36,75,99,3.867483,0.725133845700129
"Prickle4","AL365205.1",106,2.64504,105,2.41997,96,2.52372,2.52957666667,"",3.274244,3.582217,4.745988,36,75,99,3.867483,0.725133845700129
"Prickle4","AL365205.1",106,2.64504,105,2.41997,96,2.52372,2.52957666667,"PRICKLE4",3.274244,3.582217,4.745988,36,75,99,3.867483,0.725133845700129
"Prim1","PRIM1",147,1.53435,126,1.21471,108,1.18761,1.31222333333,"",2.657478,2.561728,3.479865,57,95,131,2.89969033333333,0.592924857024118
"Prim1","PRIM1",147,1.53435,126,1.21471,108,1.18761,1.31222333333,"PRIM1",2.657478,2.561728,3.479865,57,95,131,2.89969033333333,0.592924857024118
"Prim1","AC117378.1",147,1.53435,126,1.21471,108,1.18761,1.31222333333,"",2.657478,2.561728,3.479865,57,95,131,2.89969033333333,0.592924857024118
"Prim1","AC117378.1",147,1.53435,126,1.21471,108,1.18761,1.31222333333,"PRIM1",2.657478,2.561728,3.479865,57,95,131,2.89969033333333,0.592924857024118
"Prim2","PRIM2",280,0.20121,333,0.221019,297,0.224849,0.215692666667,"PRIM2",3.007623,3.028171,3.10436,84,148,154,3.046718,0.300414475796683
"Prima1","PRIMA1",255,0.874794,293,0.928385,290,1.04811,0.950429666667,"PRIMA1",13.869353,12.9751,2.959633,46,47,55,9.93469533333333,0.178370737108816
"Primpol","PRIMPOL",274,1.02182,271,0.933447,241,0.946861,0.967376,"PRIMPOL",5.128564,3.450637,2.396474,51,97,73,3.65855833333333,0.422314342598837
"Prkaa1","PRKAA1",3199,13.0528,3336,12.5721,2866,12.3199,12.6482666667,"PRKAA1",7.402921,5.695087,5.235138,512,674,594,6.11104866666667,1.91930435389605
"Prkaa2","PRKAA2",2371,4.59903,2562,4.58996,2214,4.52435,4.57111333333,"PRKAA2",6.413835,3.188593,3.022611,779,666,614,4.20834633333333,1.06965109015024
"Prkab1","PRKAB1",185,2.62873,217,2.84793,186,2.7844,2.75368666667,"PRKAB1",6.213856,6.462804,5.587672,121,247,238,6.08811066666667,0.529575064949607
"Prkab2","PRKAB2",3571,35.4834,3577,32.8284,3139,32.8603,33.7240333333,"PRKAB2",9.099159,4.559174,5.120577,605,547,566,6.25963666666667,4.78316407937312
"Prkaca","PRKACA",5221,34.5549,5477,33.4806,4954,34.5426,34.1927,"PRKACA",73.254506,81.566318,76.259494,2118,4271,3991,77.0267726666667,0.451033649057158
"Prkacb","PRKACB",7349,13.6738,7809,13.42,6594,12.9257,13.3398333333,"PRKACB",186.543924,127.185093,118.654654,7656,10588,8635,144.127890333333,0.0988082531921598
"Prkag1","PRKAG1",1156,9.58193,1253,9.59271,1097,9.57956,9.58473333333,"PRKAG1",28.507067,37.546748,32.24377,476,1101,1048,32.7658616666667,0.313474403165584
"Prkag2","PRKAG2",3599,2.34804,3721,2.24222,3162,2.17335,2.25453666667,"PRKAG2",48.786443,38.810791,40.182223,838,1388,1303,42.5931523333333,0.0746570617739298
"Prkag3","PRKAG3",2,0.0301377,7,0.0974255,4,0.0635015,0.0636882333333,"PRKAG3",0,0.038984,0.013117,0,2,1,0.017367,1.04553050505206
"Prkar1a","PRKAR1A",26106,200.073,27453,194.327,24108,194.65,196.35,"PRKAR1A",278.918173,241.255374,227.134147,9819,14378,12561,249.102564666667,0.789076274619676
"Prkar1b","PRKAR1B",13469,15.7541,14616,15.79,12842,15.8247,15.7896,"PRKAR1B",464.479717,450.885594,426.234572,8739,14666,13581,447.199961,0.037460065731688
"Prkar2a","PRKAR2A",6882,17.4754,7168,16.8115,6105,16.3321,16.873,"PRKAR2A",36.014739,19.219013,22.521222,1092,1122,982,25.9183246666667,0.66397148490197
"Prkar2b","PRKAR2B",10087,15.2264,11047,15.4019,9906,15.7535,15.4606,"PRKAR2B",18.309778,16.397594,13.022834,838,1308,958,15.9100686666667,0.973420056681812
"Prkca","PRKCA",12950,4.89586,13270,4.63367,12530,4.99062,4.84005,"PRKCA",24.772702,7.501663,8.116463,3062,1203,1325,13.4636093333333,0.403775424612778
"Prkcb","PRKCB",1579,0.709023,1671,0.693026,1444,0.683108,0.695052333333,"PRKCB",306.931228,98.247692,99.255613,6087,3897,3814,168.144844333333,0.0100213065317709
"Prkcd","PRKCD",9264,46.5974,9719,45.1523,8724,46.2299,45.9932,"PRKCD",36.408542,24.91159,26.684641,1268,1592,1659,29.3349243333333,1.54914512011365
"Prkce","PRKCE",9760,3.09066,9683,2.83208,8913,2.97351,2.96541666667,"PRKCE",72.227903,29.269623,26.284378,6873,5023,4536,42.593968,0.0909625080852929
"Prkcg","PRKCG",3111,11.5182,3050,10.4299,2842,11.0855,11.0112,"PRKCG",97.841992,34.979631,38.355681,3553,2434,2570,57.0591013333333,0.206878848004215
"Prkch","AL355916.3",243,0.195025,271,0.200885,218,0.184325,0.193411666667,"",3.306444,2.576816,2.200273,168,238,208,2.694511,0.323022902534869
"Prkch","AL355916.3",243,0.195025,271,0.200885,218,0.184325,0.193411666667,"PRKCH",3.306444,2.576816,2.200273,168,238,208,2.694511,0.323022902534869
"Prkch","PRKCH",243,0.195025,271,0.200885,218,0.184325,0.193411666667,"",3.306444,2.576816,2.200273,168,238,208,2.694511,0.323022902534869
"Prkch","PRKCH",243,0.195025,271,0.200885,218,0.184325,0.193411666667,"PRKCH",3.306444,2.576816,2.200273,168,238,208,2.694511,0.323022902534869
"Prkci","PRKCI",1628,4.41648,1649,4.13179,1531,4.37564,4.30797,"PRKCI",21.696566,10.992424,8.388525,839,955,735,13.692505,0.361270593407999
"Prkcq","PRKCQ",2814,3.38271,3133,3.47853,2803,3.54983,3.47035666667,"PRKCQ",4.458824,5.27633,5.866997,197,408,437,5.200717,0.72094189537597
"Prkcsh","PRKCSH",1077,14.6413,1207,15.1554,1050,15.0383,14.945,"PRKCSH",23.610714,26.339413,25.211292,655,1296,1236,25.0538063333333,0.612002706859762
"Prkcz","PRKCZ",3047,4.67162,3235,4.58104,2829,4.56953,4.60739666667,"PRKCZ",100.047669,101.893601,91.470016,2725,4985,4417,97.803762,0.0567528660160734
"Prkd1","PRKD1",1136,0.572705,1083,0.504285,1008,0.535374,0.537454666667,"PRKD1",2.405394,1.916908,2.286322,128,181,219,2.20287466666667,0.480023362346263
"Prkd2","PRKD2",127,0.715145,108,0.561706,95,0.563583,0.613478,"PRKD2",1.29633,1.793479,1.411536,58,105,63,1.50044833333333,0.645275480597146
"Prkd3","PRKD3",349,0.758527,363,0.728697,325,0.744172,0.743798666667,"PRKD3",4.304485,3.992606,3.679206,358,574,533,3.992099,0.34931171570656
"Prkdc","PRKDC",1340,1.01766,1433,1.00517,1258,1.00652,1.00978333333,"PRKDC",2.194805,0.705385,0.741982,439,245,259,1.21405733333333,0.907737709892186
"Prkg1","PRKG1",5404,0.698641,5446,0.650296,4926,0.67093,0.673289,"PRKG1",2.713412,0.456885,0.402517,174,50,58,1.190938,0.763731789763106
"Prkg2","PRKG2",383,0.552571,379,0.505037,332,0.504628,0.520745333333,"PRKG2",6.670093,3.790815,1.754554,222,224,184,4.07182066666667,0.299842094837409
"Prkn","PRKN",690,0.0875684,759,0.0889682,795,0.106294,0.0942768666667,"PRKN",2.47875,2.813753,2.675822,50,112,96,2.65610833333333,0.299300996277928
"Prkra","PRKRA",646,5.534,699,5.53068,511,4.61181,5.22549666667,"PRKRA",6.925009,9.587684,11.052381,149,361,432,9.188358,0.611040235008428
"Prkrip1","PRKRIP1",455,3.38917,419,2.88264,405,3.1782,3.15000333333,"PRKRIP1",21.006813,24.201196,28.009039,169,336,374,24.4056826666667,0.163349412325573
"Prkx","PRKY",3023,13.4564,2884,11.8571,2616,12.2679,12.5271333333,"PRKX",3.122802,1.713215,1.670062,189,186,183,2.168693,4.2689946085973
"Prkx","PRKX",3023,13.4564,2884,11.8571,2616,12.2679,12.5271333333,"PRKX",3.122802,1.713215,1.670062,189,186,183,2.168693,4.2689946085973
"Prlhr","PRLHR",0,0,0,0,1,0.103952,0.0346506666667,"PRLHR",0.143575,0.050588,0.123965,3,2,5,0.106042666666667,0.935452761316049
"Prlr","PRLR",242,0.218448,266,0.221773,169,0.160718,0.200313,"PRLR",2.184454,0.792378,0.57524,278,181,135,1.184024,0.549587825042216
"Prmt1","PRMT1",1005,14.7434,1188,16.0969,1013,15.6561,15.4988,"PRMT1",93.985218,141.687853,127.067566,603,1611,1571,120.913545666667,0.135331967500237
"Prmt2","PRMT2",2170,10.9909,2335,10.9233,2031,10.8374,10.9172,"PRMT2",23.917453,32.809877,31.598157,629,1586,1581,29.441829,0.391474507001534
"Prmt3","PRMT3",1071,2.07994,1171,2.10045,992,2.02963,2.07000666667,"PRMT3",13.966438,7.372375,6.632166,251,416,422,9.32365966666667,0.297375811078171
"Prmt5","PRMT5",1118,16.7834,1197,16.5969,978,15.4675,16.2826,"PRMT5",33.970372,27.045858,29.158033,622,1178,1230,30.0580876666667,0.556460532454118
"Prmt6","PRMT6",465,14.7591,442,12.9576,404,13.5093,13.742,"PRMT6",3.588789,3.481464,3.276297,137,253,244,3.44885,3.31366532924239
"Prmt7","PRMT7",913,3.38531,943,3.2295,818,3.1954,3.27007,"PRMT7",11.831679,20.36123,14.083027,405,1027,997,15.425312,0.259968882174049
"Prmt8","PRMT8",946,1.82481,994,1.77095,970,1.97125,1.85567,"PRMT8",25.515054,17.019122,13.942332,911,1111,935,18.8255026666667,0.144040231817241
"Prmt9","PRMT9",901,4.37804,969,4.34884,764,3.91104,4.21264,"PRMT9",5.241356,5.206871,5.176267,210,369,361,5.20816466666667,0.839642677003735
"Prnd","PRND",4,0.117806,2,0.054404,4,0.124111,0.0987736666667,"PRND",0.037139,0.041753,0.011937,1,2,1,0.0302763333333333,1.06648442861126
"Prnp","PRNP",10323,56.2144,10931,54.9789,9880,56.6817,55.9583333333,"PRNP",299.300438,319.872401,300.080091,8902,17610,16719,306.417643333333,0.185279975201488
"Prob1","PROB1",69,2.19096,72,2.11161,69,2.30823,2.2036,"PROB1",3.103809,1.640534,2.016668,92,81,113,2.25367033333333,0.984611122761771
"Proca1","PROCA1",122,1.53051,86,0.996484,82,1.08376,1.20358466667,"PROCA1",2.752661,2.270765,3.163549,35,58,81,2.72899166666667,0.590933116415296
"Procr","PROCR",57,2.03144,69,2.27129,36,1.35168,1.88480333333,"PROCR",0.493229,0.076896,0.397387,8,3,11,0.322504,2.18131917433142
"Prodh","PRODH",1033,5.37176,1131,5.43218,932,5.10595,5.30329666667,"",11.806717,16.349877,17.547567,262,519,494,15.2347203333333,0.388260255628056
"Prodh","PRODH",1033,5.37176,1131,5.43218,932,5.10595,5.30329666667,"PRODH",11.806717,16.349877,17.547567,262,519,494,15.2347203333333,0.388260255628056
"Prodh","AC007325.2",1033,5.37176,1131,5.43218,932,5.10595,5.30329666667,"",11.806717,16.349877,17.547567,262,519,494,15.2347203333333,0.388260255628056
"Prodh","AC007325.2",1033,5.37176,1131,5.43218,932,5.10595,5.30329666667,"PRODH",11.806717,16.349877,17.547567,262,519,494,15.2347203333333,0.388260255628056
"Prodh2","PRODH2",2,0.0156927,1,0.00724709,0,0,0.00764659666667,"PRODH2",0,0.059126,0.157682,0,2,3,0.0722693333333333,0.939732738167777
"Prok1","PROK1",2,0.0449165,1,0.020743,0,0,0.0218865,"PROK1",0,0,0.059501,0,0,1,0.0198336666666667,1.00201290994839
"Prok2","PROK2",1,0.0102828,3,0.0284924,0,0,0.0129250666667,"PROK2",0.353226,0.03011,0.177182,5,1,3,0.186839333333333,0.853464355467407
"Prokr2","PROKR2",409,1.33041,379,1.13867,329,1.12746,1.19884666667,"PROKR2",1.306779,0.889099,0.372347,44,43,43,0.856075,1.18467554741592
"Prom1","PROM1",401,0.57409,377,0.498508,349,0.526387,0.532995,"PROM1",14.533128,9.81594,9.136087,282,385,395,11.1617183333333,0.12605085547807
"Prom2","PROM2",60,0.621043,50,0.478008,42,0.457998,0.519016333333,"PROM2",0.079385,0.086884,0.729622,5,10,12,0.298630333333333,1.16970649332823
"Prorp","PRORP",298,0.557545,271,0.468304,256,0.504601,0.51015,"",2.525478,2.322453,2.992342,76,109,139,2.61342433333333,0.417927666581829
"Prorp","PRORP",298,0.557545,271,0.468304,256,0.504601,0.51015,"PRORP",2.525478,2.322453,2.992342,76,109,139,2.61342433333333,0.417927666581829
"Prorp","AL121594.1",298,0.557545,271,0.468304,256,0.504601,0.51015,"",2.525478,2.322453,2.992342,76,109,139,2.61342433333333,0.417927666581829
"Prorp","AL121594.1",298,0.557545,271,0.468304,256,0.504601,0.51015,"PRORP",2.525478,2.322453,2.992342,76,109,139,2.61342433333333,0.417927666581829
"Pros1","PROS1",392,0.810793,406,0.775613,325,0.708193,0.764866333333,"PROS1",5.048916,4.22985,3.716048,220,255,268,4.33160466666667,0.331019729269687
"Proser1","PROSER1",488,4.18695,447,3.54226,472,4.26643,3.99854666667,"PROSER1",3.76926,1.086679,1.157735,228,128,136,2.004558,1.6636545763703
"Proser2","PROSER2",90,0.428425,81,0.356133,82,0.411236,0.398598,"PROSER2",0.84124,1.246311,0.943078,36,75,63,1.01020966666667,0.695747325859376
"Proser3","PROSER3",98,1.15529,82,0.892836,70,0.869371,0.972499,"PROSER3",0.824537,1.300221,0.67479,26,17,20,0.933182666666667,1.02033761941448
"Prox1","PROX1",12,0.0353551,20,0.0544247,8,0.0248316,0.0382038,"PROX1",5.401177,1.230342,1.689807,645,262,341,2.77377533333333,0.275110124026108
"Prox2","PROX2",189,1.20347,181,1.0645,145,0.972712,1.08022733333,"PROX2",0.657856,0.977884,0.700527,18,36,33,0.778755666666667,1.16948458538338
"Proz","PROZ",60,0.616194,68,0.645015,49,0.530159,0.597122666667,"PROZ",4.443631,0.990963,1.086062,176,75,65,2.173552,0.503260279543868
"Prpf18","AL157392.5",1411,7.2864,1502,7.16392,1259,6.84945,7.09992333333,"",19.02857,16.659135,13.929078,618,956,788,16.5389276666667,0.461825459758534
"Prpf18","AL157392.5",1411,7.2864,1502,7.16392,1259,6.84945,7.09992333333,"PRPF18",19.02857,16.659135,13.929078,618,956,788,16.5389276666667,0.461825459758534
"Prpf18","PRPF18",1411,7.2864,1502,7.16392,1259,6.84945,7.09992333333,"",19.02857,16.659135,13.929078,618,956,788,16.5389276666667,0.461825459758534
"Prpf18","PRPF18",1411,7.2864,1502,7.16392,1259,6.84945,7.09992333333,"PRPF18",19.02857,16.659135,13.929078,618,956,788,16.5389276666667,0.461825459758534
"Prpf19","PRPF19",4181,45.2878,4259,42.6092,3683,42.0288,43.3086,"PRPF19",457.676713,533.166053,539.166681,2118,4134,4177,510.003149,0.0867090547029095
"Prpf3","PRPF3",435,2.62076,377,2.09785,336,2.13266,2.28375666667,"PRPF3",13.958535,11.455366,11.441256,193,269,274,12.2850523333333,0.247176795715797
"Prpf31","PRPF31",871,10.8132,943,10.8129,839,10.9735,10.8665333333,"PRPF31",18.79405,18.466901,18.765201,365,599,634,18.675384,0.603115717248517
"Prpf38a","PRPF38A",433,4.15747,415,3.68031,367,3.71237,3.85005,"PRPF38A",11.040066,11.808405,11.898322,243,437,438,11.5822643333333,0.385467183927387
"Prpf39","PRPF39",1942,11.1413,1962,10.3963,1759,10.6315,10.7230333333,"PRPF39",10.229727,10.028117,9.374066,387,342,303,9.87730333333333,1.0777518079665
"Prpf4","PRPF4",508,4.33364,534,4.20751,455,4.08925,4.21013333333,"PRPF4",3.195444,2.348647,2.217019,231,286,293,2.58703666666667,1.45248956659583
"Prpf40a","PRPF40A",1254,3.41466,1375,3.45818,1184,3.39661,3.42315,"PRPF40A",20.890951,10.939256,12.347262,674,783,654,14.725823,0.281266678379885
"Prpf40b","PRPF40B",1055,7.46606,960,6.27487,922,6.87407,6.87166666667,"PRPF40B",32.078812,23.233906,21.828708,514,629,646,25.7138086666667,0.294666581051478
"Prpf4b","PRPF4B",2065,10.4186,2068,9.63682,1795,9.54106,9.86549333333,"PRPF4B",25.484967,12.478854,11.477608,1081,1004,905,16.4804763333333,0.621578790310806
"Prpf6","PRPF6",2113,5.14095,2156,4.84493,1944,4.98292,4.9896,"PRPF6",28.302395,19.657107,16.570789,761,885,914,21.510097,0.266085037305703
"Prpf8","PRPF8",4421,30.3163,4524,28.6532,4318,31.1948,30.0547666667,"PRPF8",32.44628,11.404168,12.292485,3678,2297,2516,18.714311,1.57523976702508
"Prph","PRPH",29354,1197.37,31267,1177.99,26830,1152.99,1176.11666667,"PRPH",3.211761,3.209267,1.678359,23,75,63,2.69979566666667,318.157209944117
"Prph2","PRPH2",0,0,0,0,1,0.0112965,0.0037655,"PRPH2",0.05483,0,0.028007,1,0,2,0.0276123333333333,0.976793940127227
"Prps1","PRPS1",1258,9.99862,1252,9.19091,1161,9.72155,9.63702666667,"PRPS1",28.675751,32.583217,28.635603,789,1461,1372,29.964857,0.343519321489842
"Prps1l1","PRPS1L1",0,0,2,0.171068,1,0.0975634,0.0895438,"PRPS1L1",0.043603,0,0,1,0,0,0.0145343333333333,1.07393487258358
"Prps2","PRPS2",807,3.43839,771,3.03411,684,3.07031,3.18093666667,"PRPS2",8.504952,5.585866,6.041061,451,539,523,6.71062633333333,0.542230486334897
"Prpsap1","PRPSAP1",1365,9.07014,1437,8.81928,1266,8.86256,8.91732666667,"PRPSAP1",20.057913,20.807778,18.674037,317,655,636,19.846576,0.475729283632478
"Prpsap2","PRPSAP2",719,3.44016,722,3.19067,614,3.09501,3.24194666667,"PRPSAP2",15.479848,17.540285,17.364774,385,755,717,16.794969,0.238378986030827
"Prr11","PRR11",40,0.317466,46,0.337202,38,0.317735,0.324134333333,"PRR11",0.173436,0.110027,0.090685,10,11,9,0.124716,1.17730550052902
"Prr12","PRR12",677,4.15011,673,3.81049,603,3.89432,3.95164,"PRR12",13.191339,2.350625,3.804461,799,330,482,6.44880833333333,0.664755995645836
"Prr14","PRR14",1474,13.3406,1470,12.2883,1239,11.8139,12.4809333333,"PRR14",21.265475,13.981931,11.833351,250,320,311,15.6935856666667,0.807551690959863
"Prr14l","PRR14L",1754,4.22485,1705,3.79316,1608,4.08048,4.03283,"PRR14L",10.390874,2.983894,5.764963,1027,439,444,6.37991033333333,0.681963570379423
"Prr15","PRR15",33,1.17286,50,1.64134,52,1.94707,1.58709,"PRR15",0.847341,0.487909,0.373385,17,18,14,0.569545,1.64830571917339
"Prr15l","PRR15L",26,0.414869,30,0.442134,25,0.420264,0.425755666667,"PRR15L",0.358305,0.021049,0.020727,4,2,2,0.133360333333333,1.25798973612717
"Prr16","PRR16",143,0.0734172,150,0.0711292,149,0.080592,0.0750461333333,"PRR16",3.115282,2.138686,1.878486,124,149,124,2.37748466666667,0.318297857557498
"Prr18","PRR18",21,0.489766,20,0.430818,16,0.393127,0.437903666667,"PRR18",15.585716,15.309549,18.539167,659,1229,1511,16.478144,0.0822686703271812
"Prr19","PRR19",0,0,1,0.0526652,1,0.0600721,0.0375791,"PRR19",0.126105,0.274101,0.101333,2,8,3,0.167179666666667,0.888962624720159
"Prr22","PRR22",19,1.50535,26,1.90261,13,1.0851,1.49768666667,"PRR22",0.409192,0.179007,0.17437,7,6,6,0.254189666666667,1.99147444206605
"Prr27","PRR27",0,0,1,0.00692468,0,0,0.00230822666667,"PRR27",0,0,0,0,0,0,0,1.00230822666667
"Prr29","PRR29",2,0.025682,0,0,2,0.0270566,0.0175795333333,"PRR29",0.170575,0.363867,0.348981,2,7,6,0.294474333333333,0.786094793175995
"Prr3","PRR3",328,6.61494,304,5.66266,271,5.75791,6.01183666667,"PRR3",14.853022,10.063749,9.296106,242,337,331,11.4042923333333,0.565275025631853
"Prr33","PRR33",33,0.326277,46,0.420074,45,0.468737,0.405029333333,"PRR33",0.478121,0.223948,0.220672,3,3,5,0.307580333333333,1.07452620501812
"Prr36","PRR36",180,3.52881,172,3.11444,161,3.32526,3.32283666667,"PRR36",6.674011,1.27593,1.800531,384,164,214,3.25015733333333,1.01710038655902
"Prr5","PRR5",624,2.84403,646,2.71942,585,2.80898,2.79081,"PRR5",3.39674,2.624205,2.315762,79,115,104,2.77890233333333,1.003151091406
"Prr5l","PRR5L",18,0.0165563,22,0.01869,33,0.0319778,0.0224080333333,"PRR5L",19.297289,7.452097,25.082745,207,405,453,17.277377,0.0559384441943338
"Prr7","PRR7",97,1.69389,117,1.88709,126,2.31807,1.96635,"PRR7",7.646008,9.80179,10.107736,86,256,288,9.185178,0.291241841821518
"Prrc1","PRRC1",1124,4.56497,1200,4.5014,1053,4.50551,4.52396,"PRRC1",3.307656,1.741954,2.715248,243,232,252,2.588286,1.53944250820587
"Prrc2a","PRRC2A",5695,55.8662,6019,54.5349,5499,56.8307,55.7439333333,"PRRC2A",87.959673,35.209271,38.329281,5128,2854,3380,53.8327416666667,1.0348549353642
"Prrc2b","PRRC2B",8713,16.2042,8903,15.2929,8254,16.1722,15.8897666667,"PRRC2B",91.856201,15.298034,21.154735,8194,2657,3539,42.7696566666667,0.385878436180712
"Prrc2c","PRRC2C",4765,10.5907,4805,9.86395,4485,10.5019,10.31885,"PRRC2C",27.535848,3.406681,4.046111,3010,678,845,11.66288,0.893860638338198
"Prrg1","PRRG1",330,0.381423,307,0.327737,313,0.381137,0.363432333333,"PRRG1",2.243379,2.582245,3.813085,121,182,154,2.87956966666667,0.351439064246645
"Prrg4","PRRG4",122,0.989522,133,0.996351,93,0.794681,0.926851333333,"PRRG4",0.385549,0.260412,0.218463,16,19,16,0.288141333333333,1.49583844836876
"Prrt1","PRRT1",163,7.03925,188,7.4988,185,8.41695,7.65166666667,"PRRT1",48.799499,18.786137,20.1799,1073,845,928,29.2551786666667,0.285956555140158
"Prrt2","PRRT2",2331,98.2864,2526,98.3738,2136,94.8847,97.1816333333,"PRRT2",342.144617,268.352971,343.18856,2252,2983,2745,317.895382666667,0.307880385448938
"Prrt3","PRRT3",722,13.5127,941,16.2663,757,14.9261,14.9017,"PRRT3",10.800468,6.610743,5.97498,487,576,537,7.795397,1.8079570484425
"Prrt4","PRRT4",78,1.16935,70,0.969268,59,0.931852,1.02349,"PRRT4",0.637662,0.386691,0.415113,28,34,38,0.479822,1.36738742902863
"Prrx1","PRRX1",124,0.280585,155,0.323944,107,0.255077,0.286535333333,"PRRX1",1.594412,1.244214,1.154973,97,136,129,1.33119966666667,0.551876937753938
"Prrx2","PRRX2",21,0.0704276,27,0.0836339,20,0.0706639,0.0749084666667,"PRRX2",0.147078,0.797047,0.396499,1,11,10,0.446874666666667,0.742917469930614
"Prrxl1","DRGX",3790,11.8026,3902,11.2233,3458,11.3451,11.457,"DRGX",0.059528,0.080411,0.209686,2,5,13,0.116541666666667,11.1567712803672
"Prss12","PRSS12",562,1.46146,579,1.39067,505,1.38353,1.41188666667,"PRSS12",4.296992,3.893159,3.183191,146,247,209,3.791114,0.503408323548553
"Prss23","PRSS23",442,3.53529,507,3.74547,484,4.07843,3.78639666667,"PRSS23",9.986582,7.394027,5.534173,200,270,200,7.63826066666667,0.554092641026654
"Prss27","PRSS27",17,0.3378,5,0.0917646,3,0.0628023,0.1641223,"PRSS27",0,0,0,0,0,0,0,1.1641223
"Prss3","PRSS3",0,0,0,0,1,0.0423069,0.0141023,"PRSS3",0,0,0,0,0,0,0,1.0141023
"Prss3","PRSS3",0,0,0,0,1,0.0423069,0.0141023,"PRSS1",0,0,0,0,0,0,0,1.0141023
"Prss3","PRSS3",0,0,0,0,1,0.0423069,0.0141023,"PRSS2",0,0,0,0,0,0,0,1.0141023
"Prss3","PRSS2",0,0,0,0,1,0.0423069,0.0141023,"PRSS3",0,0,0,0,0,0,0,1.0141023
"Prss3","PRSS2",0,0,0,0,1,0.0423069,0.0141023,"PRSS1",0,0,0,0,0,0,0,1.0141023
"Prss3","PRSS2",0,0,0,0,1,0.0423069,0.0141023,"PRSS2",0,0,0,0,0,0,0,1.0141023
"Prss35","PRSS35",1169,12.2636,1223,11.8501,933,10.3116,11.4751,"PRSS35",0.901982,0.8439,0.892335,47,77,81,0.879405666666667,6.6377899254321
"Prss36","PRSS36",255,2.80936,272,2.76778,265,3.0758,2.88431333333,"PRSS36",53.438646,55.613071,49.413969,42,111,114,52.8218953333333,0.0721697611961343
"Prss37","PRSS37",0,0,1,0.0305986,1,0.0349021,0.0218335666667,"PRSS37",0,0,0,0,0,0,0,1.0218335666667
"Prss38","PRSS38",0,0,1,0.0479607,1,0.054706,0.0342222333333,"PRSS38",0,0.035109,0,0,1,0,0.011703,1.02225873930719
"Prss45","PRSS45P",11,0.253836,14,0.298389,9,0.2188,0.257008333333,"PRSS45P",0.324352,0.214828,0.105875,5,6,3,0.215018333333333,1.03455914931297
"Prss48","PRSS48",5,0.0893855,3,0.0495351,4,0.0753358,0.0714188,"PRSS48",0,0,0,0,0,0,0,1.0714188
"Prss50","AC109583.1",3,0.0698825,3,0.0645451,2,0.0490819,0.0611698333333,"PRSS50",0.430633,0.54681,0.378078,5,15,9,0.451840333333333,0.730913592197099
"Prss50","AC109583.1",3,0.0698825,3,0.0645451,2,0.0490819,0.0611698333333,"",0.430633,0.54681,0.378078,5,15,9,0.451840333333333,0.730913592197099
"Prss50","PRSS50",3,0.0698825,3,0.0645451,2,0.0490819,0.0611698333333,"PRSS50",0.430633,0.54681,0.378078,5,15,9,0.451840333333333,0.730913592197099
"Prss50","PRSS50",3,0.0698825,3,0.0645451,2,0.0490819,0.0611698333333,"",0.430633,0.54681,0.378078,5,15,9,0.451840333333333,0.730913592197099
