"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"Ids","AC244197.3",14974,105.564,15225,99.1358,13304,98.8109,101.170233333,"IDS",75.178722,86.241662,86.419877,2112,8576,5009,82.6134203333333,1.22193581994001
"Ids","IDS",14974,105.564,15225,99.1358,13304,98.8109,101.170233333,"",75.178722,86.241662,86.419877,2112,8576,5009,82.6134203333333,1.22193581994001
"Ids","IDS",14974,105.564,15225,99.1358,13304,98.8109,101.170233333,"IDS",75.178722,86.241662,86.419877,2112,8576,5009,82.6134203333333,1.22193581994001
"Idua","IDUA",395,2.53055,457,2.70414,395,2.66599,2.63356,"IDUA",7.070024,9.081058,8.497189,85,327,198,8.21609033333333,0.394262628574496
"Ier2","IER2",64,6.51796,65,6.11421,80,8.58353,7.0719,"IER2",2.7954,4.261679,5.182897,27,148,102,4.079992,1.58895919521133
"Ier3","IER3",317,39.6784,326,37.6884,325,42.8571,40.0746333333,"IER3",6.253564,6.585057,7.442585,40,160,102,6.760402,5.29284866084257
"Ier5","IER5",110,5.21154,89,3.89456,68,3.39411,4.16673666667,"IER5",4.555256,3.753384,4.258889,94,272,176,4.18917633333333,0.995675678523547
"Ier5l","IER5L",70,4.04943,58,3.09898,69,4.20523,3.78454666667,"IER5L",1.374944,1.293103,1.546182,22,70,48,1.404743,1.9896291065906
"Iffo1","IFFO1",1514,14.2054,1559,13.5105,1380,13.6412,13.7857,"IFFO1",31.198025,33.932646,27.886983,239,1016,533,31.0058846666667,0.461968170978225
"Ifi35","IFI35",356,5.36868,402,5.59936,312,4.95696,5.30833333333,"IFI35",0.972908,2.224467,1.363225,8,60,21,1.5202,2.5031082189231
"Ifi44","IFI44",75,0.611412,74,0.557185,89,0.764376,0.644324333333,"IFI44",0.882862,0.553274,0.233532,2,24,5,0.556556,1.05638623559512
"Ifi44l","IFI44L",4,0.149383,3,0.10348,4,0.157379,0.136747333333,"IFI44L",0,0.032787,0,0,1,0,0.010929,1.12445813042558
"Ifih1","IFIH1",260,0.799761,280,0.795499,263,0.852289,0.815849666667,"IFIH1",1.514377,1.433672,2.227331,38,128,85,1.72512666666667,0.666335876742243
"Ifit1bl1","IFIT1B",90,1.54079,111,1.75517,90,1.62326,1.63974,"IFIT1B",0.478125,0.633046,0.711444,7,33,21,0.607538333333333,1.64210081045242
"Ifit2","IFIT2",999,6.02713,1121,6.24662,1032,6.55946,6.27773666667,"IFIT2",2.382353,2.79034,2.616037,61,219,142,2.59624333333333,2.02370529246816
"Ifit3","IFIT3",407,12.1458,614,16.9236,529,16.6314,15.2336,"IFIT3",5.926804,7.594065,6.806331,63,309,157,6.77573333333333,2.08772591652663
"Ifitm10","IFITM10",406,1.31508,440,1.31636,408,1.3923,1.34124666667,"IFITM10",23.936974,30.159367,32.975067,173,778,491,29.0238026666667,0.0779796847409113
"Ifnar1","IFNAR1",1656,11.5757,1724,11.1306,1572,11.5766,11.4276333333,"IFNAR1",12.472021,15.107943,15.334565,201,842,553,14.304843,0.812006587280902
"Ifnar2","AP000295.1",498,2.35602,454,1.98382,441,2.19803,2.17929,"IFNAR2",8.802352,10.312724,17.74281,68,296,155,12.285962,0.239296936119492
"Ifnar2","IFNAR2",498,2.35602,454,1.98382,441,2.19803,2.17929,"IFNAR2",8.802352,10.312724,17.74281,68,296,155,12.285962,0.239296936119492
"Ifng","IFNG",1,0.0320217,0,0,0,0,0.0106739,"IFNG",0,0,0,0,0,0,0,1.0106739
"Ifngr1","IFNGR1",622,5.28089,648,5.08144,630,5.6351,5.33247666667,"IFNGR1",13.390072,16.651813,11.688675,95,311,178,13.9101866666667,0.424708074301104
"Ifngr2","IFNGR2",1421,11.8883,1493,11.5367,1285,11.3259,11.5836333333,"IFNGR2",20.773007,19.717953,30.763613,182,666,451,23.7515243333333,0.5083983177696
"Ifnlr1","IFNLR1",28,0.198486,37,0.242253,34,0.253919,0.231552666667,"IFNLR1",0.070753,0.121386,0.148555,2,13,9,0.113564666666667,1.10595522966216
"Ifrd1","IFRD1",587,1.94102,647,1.97602,595,2.07278,1.99660666667,"IFRD1",32.986623,35.48083,30.160507,152,583,270,32.8759866666667,0.0884581369143885
"Ifrd1","IFRD1",587,1.94102,647,1.97602,595,2.07278,1.99660666667,"",32.986623,35.48083,30.160507,152,583,270,32.8759866666667,0.0884581369143885
"Ifrd2","IFRD2",93,2.51296,104,2.59556,95,2.7044,2.60430666667,"IFRD2",5.877059,7.072087,6.902871,25,117,79,6.617339,0.473171361635605
"Ift122","IFT122",1639,3.47382,1742,3.41013,1484,3.31364,3.39919666667,"IFT122",11.734289,10.460427,13.312648,136,477,278,11.835788,0.34272899074603
"Ift140","IFT140",1420,2.6423,1438,2.47142,1414,2.77196,2.62856,"IFT140",11.109219,7.085477,4.809231,110,533,277,7.66797566666667,0.418616772766667
"Ift172","IFT172",1866,7.65381,2069,7.83829,1927,8.32706,7.93972,"IFT172",22.328555,29.208251,29.71223,219,999,615,27.083012,0.318331951002977
"Ift20","IFT20",622,17.9543,733,19.5423,619,18.824,18.7735333333,"IFT20",32.346321,36.217327,38.096439,145,576,354,35.5533623333333,0.540949780569662
"Ift22","IFT22",641,13.7132,717,14.1675,623,14.0414,13.9740333333,"IFT22",39.731168,41.604632,38.906086,183,757,400,40.0806286666667,0.36450350978806
"Ift27","IFT27",210,2.2256,217,2.12414,192,2.14374,2.16449333333,"IFT27",21.861341,24.114622,19.058798,67,290,166,21.6782536666667,0.139538669063451
"Ift43","IFT43",605,1.17496,574,1.02961,520,1.06393,1.0895,"IFT43",10.768898,12.259292,9.948668,38,132,79,10.992286,0.174237005354942
"Ift46","IFT46",1081,6.56934,1133,6.35947,942,6.03102,6.31994333333,"IFT46",310.742006,178.908436,201.631734,178,704,417,230.427392,0.0316295459671861
"Ift52","IFT52",887,4.78222,968,4.82032,873,4.95865,4.85373,"IFT52",34.846451,18.590728,26.518885,168,574,353,26.6520213333333,0.211692661792633
"Ift57","IFT57",675,1.58992,678,1.47501,595,1.4765,1.51381,"IFT57",35.574928,21.004337,26.474952,153,463,314,27.684739,0.0876357982549536
"Ift74","IFT74",753,1.4843,779,1.41827,657,1.36438,1.42231666667,"IFT74",7.743123,7.8711,13.401636,94,339,235,9.671953,0.226979697780715
"Ift80","IFT80",2014,2.7892,2098,2.68361,1881,2.74443,2.73908,"IFT80",21.63602,38.303121,42.270479,241,863,525,34.0698733333333,0.106618006984532
"Ift81","IFT81",470,1.13423,458,1.02086,412,1.04748,1.06752333333,"IFT81",14.471395,35.425013,42.460776,169,581,373,30.785728,0.0650456498378769
"Ift88","IFT88",783,1.29458,749,1.14378,641,1.11653,1.18496333333,"IFT88",6.488534,7.684779,5.903356,80,346,191,6.692223,0.284048360705351
"Igbp1","IGBP1",681,4.84073,736,4.83211,634,4.74785,4.80689666667,"IGBP1P2",17.570198,17.352484,17.983971,195,713,434,17.635551,0.311603164653946
"Igbp1","IGBP1",681,4.84073,736,4.83211,634,4.74785,4.80689666667,"IGBP1",17.570198,17.352484,17.983971,195,713,434,17.635551,0.311603164653946
"Igbp1","AC011195.3",681,4.84073,736,4.83211,634,4.74785,4.80689666667,"IGBP1P2",17.570198,17.352484,17.983971,195,713,434,17.635551,0.311603164653946
"Igbp1","AC011195.3",681,4.84073,736,4.83211,634,4.74785,4.80689666667,"IGBP1",17.570198,17.352484,17.983971,195,713,434,17.635551,0.311603164653946
"Igdcc3","IGDCC3",51,0.177148,49,0.157201,47,0.171991,0.16878,"IGDCC3",1.271726,0.640694,0.695301,18,50,30,0.869240333333333,0.62527005177326
"Igdcc4","IGDCC4",372,1.58381,346,1.3606,364,1.6327,1.52570333333,"IGDCC4",9.022141,9.913832,9.574368,358,1551,856,9.503447,0.24046423363016
"Igf1","IGF1",130,0.256127,174,0.316633,102,0.211717,0.261492333333,"IGF1",1.388002,1.869799,1.122411,46,221,109,1.46007066666667,0.512787031049921
"Igf1r","IGF1R",1869,1.03291,1948,0.994349,1678,0.976992,1.001417,"IGF1R",5.445703,7.066292,7.839258,327,1820,1064,6.783751,0.257127572554672
"Igf2","IGF2",200,1.93395,429,3.83148,292,2.97469,2.91337333333,"IGF2",41.297552,52.273763,53.711854,507,2344,1425,49.0943896666667,0.0781199922660002
"Igf2bp1","IGF2BP1",6,0.0190917,2,0.00587784,4,0.013409,0.0127928466667,"IGF2BP1",0,0.048729,0.076139,0,2,1,0.0416226666666667,0.972322203689916
"Igf2bp2","IGF2BP2",134,0.199423,109,0.149827,105,0.164628,0.171292666667,"IGF2BP2",1.738659,0.765835,0.091214,4,8,4,0.865236,0.627959500388691
"Igf2bp3","IGF2BP3",572,0.684315,546,0.603319,518,0.65288,0.646838,"IGF2BP3",0.710171,3.460692,2.427082,20,87,33,2.199315,0.514747063043183
"Igf2r","IGF2R",1147,2.04019,1084,1.78086,1066,1.9976,1.93955,"IGF2R",22.954735,11.935942,5.994175,299,1178,801,13.628284,0.200949749129836
"Igfals","IGFALS",20,0.193842,23,0.205892,28,0.285903,0.228545666667,"IGFALS",0,0.073787,0.085791,0,2,1,0.0531926666666667,1.16649660176169
"Igfbp2","IGFBP2",102,0.56597,124,0.635492,103,0.602108,0.60119,"IGFBP2",34.124262,43.118314,39.843987,206,980,507,39.0288543333333,0.0400008950210358
"Igfbp3","IGFBP3",393,7.78223,284,5.19427,263,5.4867,6.1544,"IGFBP3",6.220442,4.537016,4.553122,92,243,140,5.10352666666667,1.17217477545769
"Igfbp4","IGFBP4",1686,19.9013,1785,19.4607,1423,17.6959,19.0193,"IGFBP4",11.350488,11.346067,11.475995,89,357,195,11.39085,1.61565187214759
"Igfbp5","IGFBP5",2747,25.1495,3645,30.8221,2676,25.8107,27.2607666667,"IGFBP5",26.333421,24.998828,28.32184,980,3707,2373,26.551363,1.02574840550357
"Igfbp6","IGFBP6",442,13.3209,714,19.8748,474,15.0498,16.0818333333,"IGFBP6",5.091763,5.351973,4.671888,33,128,63,5.03854133333333,2.82880126016636
"Igfbp7","IGFBP7",609,1.60747,676,1.64804,549,1.52666,1.59405666667,"IGFBP7",22.00066,18.053382,18.626982,123,349,206,19.5603413333333,0.126167976718577
"Igfbpl1","IGFBPL1",15,0.133372,8,0.0656987,11,0.103041,0.1007039,"IGFBPL1",0,0.218695,0.15955,0,6,6,0.126081666666667,0.977463653465039
"Igflr1","IGFLR1",81,4.95739,84,4.74834,55,3.54629,4.41734,"IGFLR1",0.277286,0.505119,0.44752,2,13,7,0.409975,3.84215322966719
"Igfn1","IGFN1",12,0.0352982,2,0.0054337,8,0.0247916,0.0218411666667,"IGFN1",0.202684,0.253378,0.371632,7,27,19,0.275898,0.80087998152415
"Igha","IGHD",2,0.0574104,4,0.106051,0,0,0.0544871333333,"IGHA2",0,0,0,0,0,0,0,1.0544871333333
"Igha","IGHD",2,0.0574104,4,0.106051,0,0,0.0544871333333,"IGHA1",0,0,0,0,0,0,0,1.0544871333333
"Igha","IGHA1",2,0.0574104,4,0.106051,0,0,0.0544871333333,"IGHA2",0,0,0,0,0,0,0,1.0544871333333
"Igha","IGHA1",2,0.0574104,4,0.106051,0,0,0.0544871333333,"IGHA1",0,0,0,0,0,0,0,1.0544871333333
"Igha","IGHA2",2,0.0574104,4,0.106051,0,0,0.0544871333333,"IGHA2",0,0,0,0,0,0,0,1.0544871333333
"Igha","IGHA2",2,0.0574104,4,0.106051,0,0,0.0544871333333,"IGHA1",0,0,0,0,0,0,0,1.0544871333333
"Ighm","IGHM",564,20.9772,694,23.8409,525,20.5718,21.7966333333,"IGHM",12.386272,13.038223,12.243329,113,462,251,12.5559413333333,1.68167099375418
"Ighmbp2","IGHMBP2",310,2.00964,415,2.48485,314,2.14452,2.21300333333,"IGHMBP2",2.174332,2.528466,2.58721,52,252,144,2.43000266666667,0.936734937425705
"Igip","IGIP",2136,116.776,2227,112.452,1917,110.412,113.213333333,"IGIP",37.724298,47.040579,47.674802,695,3197,1844,44.1465596666667,2.52983470227362
"Igkc","IGKC",9,2.62572,40,10.7785,4,1.22945,4.87789,"IGKC",0.494797,0.51712,0.456843,1,4,2,0.489586666666667,3.94598725373482
"Iglc3","IGLL1",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLL1",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLL1",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC7",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLL1",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC2",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLL1",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC1",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLL1",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC3",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLL1",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLL5",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC7",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLL1",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC7",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC7",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC7",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC2",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC7",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC1",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC7",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC3",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC7",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLL5",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLL5",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLL1",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLL5",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC7",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLL5",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC2",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLL5",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC1",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLL5",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC3",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLL5",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLL5",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC3",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLL1",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC3",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC7",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC3",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC2",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC3",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC1",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC3",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC3",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC3",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLL5",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC1",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLL1",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC1",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC7",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC1",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC2",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC1",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC1",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC1",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC3",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC1",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLL5",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC2",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLL1",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC2",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC7",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC2",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC2",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC2",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC1",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC2",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLC3",0,0,0,0,0,0,0,1.649180666667
"Iglc3","IGLC2",0,0,5,1.58578,1,0.361762,0.649180666667,"IGLL5",0,0,0,0,0,0,0,1.649180666667
"Iglon5","IGLON5",559,5.05252,671,5.60162,566,5.3896,5.34791333333,"IGLON5",15.883841,17.026373,17.734133,245,1060,578,16.881449,0.354999940627295
"Igsf1","IGSF1",2,0.0204034,8,0.0753804,3,0.0322433,0.0426757,"IGSF1",3.324009,5.235901,4.937654,66,362,194,4.499188,0.189605392650697
"Igsf10","IGSF10",446,2.50265,535,2.77277,403,2.3824,2.55260666667,"IGSF10",0.900535,1.287665,1.591357,53,231,171,1.25985233333333,1.57205256921802
"Igsf11","IGSF11",760,0.877089,718,0.765331,670,0.814609,0.819009666667,"IGSF11",6.305135,9.117569,7.805065,126,630,318,7.74258966666667,0.208063026634137
"Igsf21","IGSF21",448,0.31615,450,0.293307,381,0.283259,0.297572,"IGSF21",17.461288,16.225388,18.100709,218,734,463,17.2624616666667,0.0710513195692768
"Igsf23","IGSF23",0,0,1,0.0106568,1,0.0121555,0.0076041,"IGSF23",0,0,0.040106,0,0,1,0.0133686666666667,0.994311481244404
"Igsf3","IGSF3",2586,4.66835,2833,4.72363,2662,5.06275,4.81824333333,"IGSF3",2.144013,2.819051,2.848423,106,548,302,2.603829,1.61446154446562
"Igsf6","IGSF6",73,1.07846,73,0.996087,74,1.15174,1.075429,"IGSF6",0.144139,0.287831,0.575564,2,15,17,0.335844666666667,1.55364545877839
"Igsf8","IGSF8",8224,21.9316,8889,21.8945,7393,20.7707,21.5322666667,"IGSF8",55.613364,59.192152,67.862502,505,2498,1387,60.8893393333333,0.364073472255733
"Igsf9","IGSF9",30,0.27244,42,0.352285,47,0.449667,0.358130666667,"IGSF9",0.444976,1.136223,1.085413,3,38,18,0.888870666666667,0.719017289343438
"Igsf9b","IGSF9B",1904,5.06518,1698,4.17216,1628,4.56275,4.60003,"IGSF9B",3.585533,5.127652,5.220675,412,2212,1265,4.64462,0.992100442545291
"Ihh","IHH",6,0.14647,5,0.112736,4,0.102873,0.120693,"IHH",0,0.091701,0.032393,0,5,1,0.0413646666666667,1.07617728531856
"Ik","IK",2290,27.3744,2320,25.6148,2028,25.54,26.1764,"IK",164.105554,141.778413,156.758238,781,2500,1523,154.214068333333,0.175089798829554
"Ikbkb","IKBKB",1099,3.60029,1060,3.20731,1010,3.48583,3.43114333333,"IKBKB",19.171175,20.356682,27.445345,195,859,496,22.3244006666667,0.189978872197245
"Ikbke","IKBKE",56,0.344035,60,0.340456,39,0.25242,0.312303666667,"IKBKE",0.991256,0.939244,0.684885,7,42,17,0.871795,0.70109369170609
"Ikbkg","IKBKG",2529,6.48103,2591,6.13278,2252,6.08006,6.23129,"IKBKG",10.129346,15.520734,13.688607,218,898,587,13.1128956666667,0.512388823016642
"Ikzf1","IKZF1",102,0.180057,94,0.153261,66,0.122743,0.152020333333,"IKZF1",0.438662,0.615427,0.50501,15,54,38,0.519699666666667,0.758057896965826
"Ikzf3","IKZF3",88,0.168352,101,0.178464,64,0.128991,0.158602333333,"IKZF3",0,0.019288,0.104396,0,2,1,0.041228,1.11272683152297
"Ikzf5","IKZF5",554,3.93168,555,3.63794,496,3.70846,3.75936,"IKZF5",11.182399,9.997887,13.160464,182,702,473,11.4469166666667,0.382372609012942
"Il10","IL10",6,0.181531,11,0.307388,7,0.223122,0.237347,"IL10",0,0,0,0,0,0,0,1.237347
"Il10ra","IL10RA",132,1.33792,127,1.18893,97,1.03579,1.18754666667,"IL10RA",0.599441,1.293444,1.131296,13,108,55,1.00806033333333,1.08938293852891
"Il10rb","IL10RB",1481,11.6855,1603,11.682,1384,11.5046,11.6240333333,"IL10RB",4.617117,4.905633,3.709155,38,172,92,4.410635,2.33318886476356
"Il10rb","IL10RB",1481,11.6855,1603,11.682,1384,11.5046,11.6240333333,"",4.617117,4.905633,3.709155,38,172,92,4.410635,2.33318886476356
"Il11","IL11",6,0.0888008,12,0.164037,18,0.280661,0.177832933333,"IL11",0.598999,0.53685,0.586937,4,20,13,0.574262,0.748181010106958
"Il11ra2","AL162231.3",143,2.27337,165,2.42277,127,2.12707,2.27440333333,"",0,0.275516,0.257029,0,8,4,0.177515,2.78077420103353
"Il11ra2","AL162231.3",143,2.27337,165,2.42277,127,2.12707,2.27440333333,"IL11RA",0,0.275516,0.257029,0,8,4,0.177515,2.78077420103353
"Il11ra2","IL11RA",143,2.27337,165,2.42277,127,2.12707,2.27440333333,"",0,0.275516,0.257029,0,8,4,0.177515,2.78077420103353
"Il11ra2","IL11RA",143,2.27337,165,2.42277,127,2.12707,2.27440333333,"IL11RA",0,0.275516,0.257029,0,8,4,0.177515,2.78077420103353
"Il12a","IL12A",3,0.0589103,0,0,1,0.0206878,0.0265327,"IL12A",0.13756,0.03626,0.332278,1,1,3,0.168699333333333,0.878354826362526
"Il12b","IL12B",1,0.0111094,1,0.0102609,0,0,0.00712343333333,"IL12B",0,0,0,0,0,0,0,1.00712343333333
"Il12rb1","IL12RB1",8,0.0956899,11,0.121524,5,0.0630072,0.0934070333333,"IL12RB1",0.423793,0.306471,0.568461,7,21,9,0.432908333333333,0.7630683749251
"Il12rb2","IL12RB2",280,0.512054,291,0.491525,229,0.441202,0.481593666667,"IL12RB2",0,0.094403,0.167384,0,7,6,0.0872623333333333,1.36268278707377
"Il13","IL13",3,0.1378,0,0,0,0,0.0459333333333,"IL13",0,0,0,0,0,0,0,1.0459333333333
"Il13ra1","IL13RA1",303,0.795069,315,0.763427,265,0.732575,0.763690333333,"IL13RA1",1.661489,1.991921,2.087342,42,187,111,1.913584,0.605333614315908
"Il13ra2","IL13RA2",3,0.010185,6,0.0188142,2,0.00715341,0.01205087,"IL13RA2",0.104647,0.170409,0.050151,1,6,1,0.108402333333333,0.913071760645277
"Il15","IL15",33,0.0715439,32,0.0640772,30,0.068521,0.0680473666667,"IL15",13.47324,6.547637,6.962705,6,23,14,8.99452733333333,0.10686321934451
"Il15ra","IL15RA",197,1.05333,168,0.829667,183,1.03085,0.971282333333,"IL15RA",2.811845,5.342332,3.902853,18,80,38,4.01901,0.392763181052239
"Il16","IL16",609,0.918566,660,0.919458,672,1.06784,0.968621333333,"IL16",25.679842,19.675199,22.485626,568,2165,1392,22.6135556666667,0.0833682720689092
"Il17b","IL17B",5,0.101417,8,0.149874,5,0.106845,0.119378666667,"IL17B",0,0.242109,0.14332,0,3,1,0.128476333333333,0.991938097062736
"Il17c","IL17C",1,0.095808,0,0,0,0,0.031936,"IL17C",0.2885,0.07606,0,1,1,0,0.12152,0.920122690634139
"Il17d","IL17D",89,0.751148,89,0.693777,79,0.702435,0.715786666667,"IL17D",4.617902,4.441418,4.519418,31,99,58,4.526246,0.310479603453592
"Il17f","IL17F",2,0.0230417,1,0.0106409,5,0.0606875,0.0314567,"IL17F",0.257722,0,0.11679,1,0,1,0.124837333333333,0.916982988947735
"Il17ra","IL17RA",110,0.702217,117,0.689857,105,0.706174,0.699416,"IL17RA",1.253647,2.431048,3.254352,43,222,127,2.31301566666667,0.512951392623458
"Il17rb","IL17RB",93,1.13105,61,0.685209,71,0.909705,0.908654666667,"IL17RB",0.554634,0.869539,0.683676,7,37,17,0.702616333333333,1.12101277856902
"Il17rc","IL17RC",160,2.11998,191,2.33744,175,2.44283,2.30008333333,"",1.997469,23.06373,34.193753,14,64,33,19.7516506666667,0.159027509972058
"Il17rc","IL17RC",160,2.11998,191,2.33744,175,2.44283,2.30008333333,"IL17RC",1.997469,23.06373,34.193753,14,64,33,19.7516506666667,0.159027509972058
"Il17rd","IL17RD",269,0.61088,290,0.60827,235,0.562232,0.593794,"IL17RD",0.565765,0.705053,0.68085,24,141,81,0.650556,0.965610376139919
"Il17re","IL17RE",12,0.151732,13,0.151822,13,0.173174,0.158909333333,"IL17RE",0.868855,0.692699,1.199225,17,44,42,0.920259666666667,0.60351698962918
"Il18","IL18",97,0.557314,99,0.525361,104,0.629514,0.570729666667,"IL18",12.791747,12.042406,10.813563,46,179,89,11.882572,0.12192671359935
"Il18bp","IL18BP",92,3.75177,101,3.80421,81,3.47998,3.67865333333,"IL18BP",2.293249,3.209591,1.731099,31,130,46,2.411313,1.37151100861457
"Il18r1","IL18R1",2,0.00879297,6,0.0243642,2,0.00926359,0.0141402533333,"IL18R1",0,0.046429,0.067061,0,3,4,0.03783,0.977173769628263
"Il18rap","IL18RAP",10,0.0427055,18,0.0709989,10,0.0449913,0.0528985666667,"IL18RAP",0.127187,0.165533,0.193312,2,10,7,0.162010666666667,0.906100603781061
"Il19","IL19",1,0.0208055,3,0.0576493,2,0.0438381,0.0407643,"IL19",0,0,0.138424,0,0,1,0.0461413333333333,0.994860127248581
"Il1a","IL1A",11,0.16475,9,0.1245,13,0.205125,0.164791666667,"IL1A",0.399427,0.042865,0.037813,5,2,1,0.160035,1.00410045099243
"Il1b","IL1B",11,0.259863,5,0.109098,5,0.124442,0.164467666667,"IL1B",0,0,0,0,0,0,0,1.164467666667
"Il1f9","IL36G",14,0.306348,16,0.323372,14,0.322745,0.317488333333,"IL36G",1.491806,1.13211,0.587923,15,43,13,1.070613,0.636279369120642
"Il1r1","IL1R1",274,0.46136,309,0.480555,244,0.432836,0.458250333333,"IL1R1",1.25059,1.102072,0.911743,41,138,65,1.088135,0.698350601533426
"Il1r2","IL1R2",47,0.142608,58,0.162543,51,0.163027,0.156059333333,"IL1R2",1.451768,0.509457,0.253647,2,10,2,0.738290666666667,0.665055249678036
"Il1rap","IL1RAP",382,0.39949,370,0.357387,386,0.425278,0.394051666667,"IL1RAP",8.462819,11.160948,9.82777,246,1035,540,9.817179,0.128873865049936
"Il1rapl1","IL1RAPL1",925,0.10443,1080,0.112617,1130,0.134403,0.11715,"IL1RAPL1",1.21222,1.476871,1.642402,75,317,185,1.443831,0.457130628099897
"Il1rapl2","IL1RAPL2",50,0.00608024,38,0.00426805,30,0.00384341,0.00473056666667,"IL1RAPL2",0.460087,0.47453,0.506958,9,36,17,0.480525,0.67863127381616
"Il1rl1","IL1RL1",9,0.038969,10,0.0399918,3,0.0136849,0.0308819,"IL1RL1",0.029426,0.116099,0.041308,1,8,3,0.0622776666666667,0.970444858579034
"Il1rl2","IL1RL2",30,0.108404,40,0.133499,27,0.102785,0.114896,"IL1RL2",0.16421,0.146549,0.266494,4,10,9,0.192417666666667,0.934987824456364
"Il1rn","IL1RN",6,0.0636016,4,0.0391626,4,0.0446705,0.0491449,"IL1RN",0,0,0,0,0,0,0,1.0491449
"Il2","IL2",77,2.1981,109,2.87395,78,2.34583,2.47262666667,"IL2",0,0,0,0,0,0,0,3.47262666667
"Il20ra","IL20RA",5,0.0163433,9,0.0271711,13,0.0447669,0.0294271,"IL20RA",0.44958,0.158153,0.353087,6,8,8,0.320273333333333,0.779707560555642
