"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"Abcc10","ABCC10",269,1.66128,280,1.59714,283,1.84128,1.6999,"ABCC10",1.510449,2.511756,2.606775,37,240,138,2.20966,0.841179439566808
"Abcc12","ABCC12",74,0.11669,54,0.0786487,49,0.0814034,0.0922473666667,"ABCC12",1.138639,1.50393,1.752502,20,105,71,1.46502366666667,0.443098125765135
"Abcc2","ABCC2",5,0.0132546,2,0.00489691,1,0.00279281,0.00698144,"ABCC2",0.035961,0.118254,0.016838,2,5,2,0.0570176666666667,0.952662828404319
"Abcc3","ABCC3",49,0.153014,57,0.164401,62,0.203972,0.173795666667,"ABCC3",0.723344,0.342288,0.608015,4,17,10,0.557882333333333,0.753455919970207
"Abcc4","ABCC4",979,0.679779,989,0.634273,939,0.686902,0.666984666667,"ABCC4",2.205931,3.204272,3.149303,78,354,213,2.85316866666667,0.432626965200849
"Abcc5","ABCC5",6994,11.4156,6910,10.4171,6254,10.7541,10.8622666667,"ABCC5",84.855585,97.027185,94.560298,703,3269,1802,92.1476893333333,0.127349016938577
"Abcc6","ABCC6",10,0.0247353,11,0.0251307,6,0.0156355,0.0218338333333,"ABCC6",4.55294,0.592951,0.217231,22,47,16,1.78770733333333,0.366549896079466
"Abcc8","ABCC8",311,0.639245,322,0.611304,324,0.70161,0.650719666667,"ABCC8",12.776234,17.791428,14.067764,207,980,564,14.8784753333333,0.103959582517452
"Abcc9","ABCC9",102,0.13832,135,0.169089,103,0.147152,0.151520333333,"ABCC9",2.793501,2.280107,2.219166,120,438,241,2.43092466666667,0.335629734024958
"Abcd1","ABCD1",366,2.58941,332,2.16947,324,2.41495,2.39127666667,"ABCD1",2.605473,3.036115,3.167152,60,263,160,2.93624666666667,0.861550851319447
"Abcd2","ABCD2",764,2.5818,867,2.7061,689,2.45298,2.58029333333,"ABCD2",23.27771,33.025179,31.912742,417,1487,943,29.4052103333333,0.117752625095473
"Abcd3","ABCD3",2309,6.33971,2291,5.80986,2118,6.12654,6.09203666667,"ABCD3",25.762613,25.372644,25.767711,537,2125,1219,25.6343226666667,0.266274339146075
"Abcd4","ABCD4",536,5.2158,553,4.97023,537,5.50522,5.23041666667,"ABCD4",4.797787,5.916789,4.686713,66,317,152,5.133763,1.01575764610892
"Abce1","ABCE1",3754,20.6038,3987,20.2113,3518,20.342,20.3857,"ABCE1",21.471621,21.878849,23.233798,536,2036,1236,22.194756,0.922005818901479
"Abcf1","ABCF1",1730,20.7457,1826,20.2245,1763,22.273,21.0810666667,"ABCF1",62.771934,40.780579,54.400409,408,1580,966,52.650974,0.411568794011084
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2-H2BE1",35.004874,31.624163,32.51526,585,2023,1175,33.048099,0.870092629841096
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2",35.004874,31.624163,32.51526,585,2023,1175,33.048099,0.870092629841096
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2-H2BE1",35.004874,31.624163,32.51526,585,2023,1175,33.048099,0.870092629841096
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2",35.004874,31.624163,32.51526,585,2023,1175,33.048099,0.870092629841096
"Abcf3","ABCF3",1658,20.0997,1764,19.7514,1555,19.86,19.9037,"ABCF3",165.753745,270.992357,262.995844,349,1659,960,233.247315333333,0.0892377356395914
"Abcg1","ABCG1",1593,4.09935,1599,3.80051,1512,4.09916,3.99967333333,"ABCG1",29.852875,28.362905,37.823919,513,2100,1285,32.013233,0.15144452327132
"Abcg3","ABCG2",15,0.0488468,7,0.0210541,8,0.027446,0.0324489666667,"ABCG2",0,0.134471,0.142193,0,10,6,0.0922213333333333,0.945274492593717
"Abcg4","ABCG4",1301,13.0883,1303,12.1073,1252,13.2695,12.8217,"ABCG4",20.105773,22.160102,21.120955,279,1363,786,21.1289433333333,0.624598282520795
"Abcg5","ABCG5",4,0.0250559,2,0.0115711,1,0.00659925,0.01440875,"ABCG5",0,0.0174,0.094988,0,1,2,0.0374626666666667,0.977778557814771
