"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"Mir106b","MIR106B",3,5.67838,0,0,1,1.9941,2.55749333333,"MIR106B",0,0,0,0,0,0,0,3.55749333333
"Mir10b","MIR10B",1,2.28249,0,0,0,0,0.76083,"MIR10B",0,0,0,0,0,0,0,1.76083
"Mir1224","MIR1224",2,3.65198,0,0,0,0,1.21732666667,"MIR1224",0,0,0,0,0,0,0,2.21732666667
"Mir126a","MIR126",1,2.12615,0,0,1,2.23995,1.45536666667,"MIR126",0,0,0,0,0,0,0,2.45536666667
"Mir1306","MIR1306",18,35.3641,13,23.59,21,43.4664,34.1401666667,"MIR1306",0,0,0,0,0,0,0,35.1401666667
"Mir137","MIR137",0,0,1,1.96376,4,8.9598,3.64118666667,"MIR137",0,0,0,0,0,0,0,4.64118666667
"Mir147","MIR147B",1,1.96467,3,5.44385,1,2.06983,3.15945,"MIR147B",0,0,0,0,0,0,0,4.15945
"Mir186","MIR186",6,13.1163,8,16.1526,10,23.0305,17.4331333333,"MIR186",9.308999,0,0,1,0,0,3.10299966666667,4.49259927634245
"Mir196b","MIR196B",2,3.65198,3,5.05958,2,3.84744,4.18633333333,"MIR196B",0,0,0,0,0,0,0,5.18633333333
"Mir21a","MIR21",0,0,8,12.4656,4,7.1094,6.525,"MIR21",0,0,0,0,0,0,0,7.525
"Mir22","MIR22",23,37.5769,26,39.2339,20,34.4245,37.0784333333,"MIR22",0,5.118948,0,0,1,0,1.706316,14.0702095887176
"Mir23b","MIR23B",2,4.19484,3,5.81168,3,6.62904,5.54518666667,"MIR23B",0,0,0,0,0,0,0,6.54518666667
"Mir25","MIR25",1,1.84773,1,1.7066,0,0,1.18477666667,"MIR25",0,0,0,0,0,0,0,2.18477666667
"Mir27b","MIR27B",2,4.2523,1,1.96376,2,4.4799,3.56532,"MIR27B",0,0,0,0,0,0,0,4.56532
"Mir29c","MIR29C",15,26.4561,12,19.5484,15,27.8721,24.6255333333,"MIR29C",0,0,0,0,0,0,0,25.6255333333
"Mir302d","MIR302D",1,2.35165,1,2.17204,0,0,1.50789666667,"MIR302D",0,0,0,0,0,0,0,2.50789666667
"Mir30b","MIR30B",2,3.23352,0,0,0,0,1.07784,"MIR30B",0,0,0,0,0,0,0,2.07784
"Mir331","MIR331",8,12.9341,9,13.4395,7,11.9231,12.7655666667,"MIR331",0,0,0,0,0,0,0,13.7655666667
"Mir374b","MIR374B",0,0,7,10.563,6,10.3273,6.96343333333,"MIR374B",0,0,0,0,0,0,0,7.96343333333
"Mir423","hsa-mir-423",1,1.42394,0,0,3,4.50045,1.97479666667,"hsa-mir-423",0,0,0,0,0,0,0,2.97479666667
"Mir423","hsa-mir-423",1,1.42394,0,0,3,4.50045,1.97479666667,"MIR423",0,0,0,0,0,0,0,2.97479666667
"Mir431","MIR431",1,1.70559,1,1.57533,2,3.59376,2.29156,"MIR431",0,0,0,0,0,0,0,3.29156
"Mir491","MIR491",0,0,3,5.00074,0,0,1.66691333333,"MIR491",0,7.455637,0,0,1,0,2.48521233333333,0.765208279513721
"Mir671","MIR671",53,83.9396,53,77.5285,52,86.7637,82.7439333333,"MIR671",0,0,0,0,0,0,0,83.7439333333
"Mir675","MIR675",6,11.0864,21,35.8387,3,5.83987,17.5883233333,"MIR675",0,0,0,0,0,0,0,18.5883233333
"Mir744","MIR744",1,1.55209,0,0,1,1.63516,1.06241666667,"MIR744",0,0,0,0,0,0,0,2.06241666667
"Mir761","MIR761",6,12.2533,3,5.65874,1,2.15153,6.68785666667,"MIR761",0,0,0,0,0,0,0,7.68785666667
"Mir770","MIR770",200,330.232,218,332.461,171,297.46,320.051,"MIR770",0,0,0,0,0,0,0,321.051
"Mir877","MIR877",0,0,1,1.68653,0,0,0.562176666667,"MIR877",0,0,0,0,0,0,0,1.562176666667
"Mirlet7d","MIRLET7D",2,3.01377,1,1.39179,2,3.17507,2.52687666667,"MIRLET7D",0,0,0,0,0,0,0,3.52687666667
"Mis12","MIS12",860,17.1988,876,16.1807,680,14.3269,15.9021333333,"MIS12",2.4625,2.775387,3.006409,81,82,72,2.74809866666667,4.50952198340385
"Mis18a","MIS18A",94,1.80275,89,1.57649,65,1.3133,1.56418,"MIS18A",0.477065,0.36818,0.298522,20,15,10,0.381255666666667,1.85641229345183
"Mis18bp1","MIS18BP1",74,0.288066,66,0.237301,68,0.278877,0.268081333333,"MIS18BP1",0.111708,0.061261,0.051121,6,2,3,0.0746966666666667,1.17994348792962
"Misp","MISP",88,1.43742,52,0.784513,57,0.980891,1.067608,"MISP",0.121778,0.026296,0,1,2,0,0.049358,1.9703552076603
"Misp3","MISP3",50,3.97972,40,2.94061,41,3.43803,3.45278666667,"MISP3",0.424672,0.596659,0.507567,7,14,9,0.509632666666667,2.94958287866276
"Mitd1","MITD1",309,3.07217,301,2.76406,285,2.98521,2.94048,"MITD1",1.339815,0.867639,1.266101,23,21,21,1.15785166666667,1.82611254557967
"Mitf","MITF",199,0.144129,186,0.124425,241,0.183891,0.150815,"MITF",5.246652,4.236273,5.1336,627,495,447,4.872175,0.19597764031215
"Mki67","MKI67",109,0.636533,125,0.674217,91,0.559861,0.623537,"MKI67",0.284639,0.295503,0.630679,93,88,71,0.403607,1.1566891587175
"Mkks","MKKS",896,7.89706,894,7.27763,796,7.3912,7.52196333333,"MKKS",7.16472,9.903566,8.699781,362,326,256,8.58935566666667,0.888689879649891
"Mkln1","MKLN1",4173,5.4853,4068,4.93887,3743,5.18341,5.20252666667,"MKLN1",26.446596,32.33029,33.644067,781,716,587,30.8069843333333,0.195005178789296
"Mknk1","MKNK1",766,2.96832,862,3.08521,764,3.11903,3.05752,"MKNK1",6.436781,7.828582,6.716168,162,179,147,6.99384366666667,0.507580604424296
"Mknk2","MKNK2",999,12.1268,977,10.954,789,10.0903,11.0570333333,"MKNK2",37.534966,33.84646,34.681236,2204,2076,1701,35.3542206666667,0.331654292464455
"Mkrn1","MKRN1",2680,18.3574,2745,17.3665,2389,17.24,17.6546333333,"MKRN1",7.52174,4.803906,11.827594,254,190,295,8.05108,2.06103949288925
"Mkrn2","MKRN2",2047,15.3314,2195,15.1843,1866,14.7238,15.0798333333,"MKRN2",5.700491,4.117785,5.801011,411,395,320,5.206429,2.59083497665082
"Mkrn2os","MKRN2OS",30,0.515473,20,0.317402,20,0.362042,0.398305666667,"MKRN2OS",0.153363,0.164905,0.176706,5,7,10,0.164991333333333,1.20027130387837
"Mkrn3","MKRN3",18,1.09688,17,0.956823,14,0.898794,0.984165666667,"MKRN3",0.023985,0.012622,0.033802,2,1,2,0.0234696666666667,1.93866582595381
"Mks1","MKS1",108,1.58302,116,1.57042,92,1.42067,1.52470333333,"MKS1",0.687561,0.61338,0.565208,36,23,20,0.622049666666667,1.55648953617943
"Mkx","MKX",301,0.664901,334,0.681446,283,0.658598,0.668315,"MKX",0.064731,0,0,3,0,0,0.021577,1.63307807438891
"Mlana","MLANA",4,0.0574263,3,0.0397802,2,0.03025,0.0424855,"MLANA",0,0.061114,0,0,1,0,0.0203713333333333,1.02167266557208
"Mlc1","MLC1",568,3.81243,588,3.64524,557,3.9387,3.79879,"MLC1",0,0,0.030343,0,0,2,0.0101143333333333,4.75073943774682
"Mlec","MLEC",8080,82.5113,8214,77.4732,7742,83.2912,81.0919,"MLEC",9.059076,12.636688,13.425372,1288,1363,1122,11.7070453333333,6.46034525309004
"Mlf1","MLF1",78,0.467299,86,0.475875,68,0.429193,0.457455666667,"MLF1",40.084572,53.005061,61.647461,1141,1406,1270,51.5790313333333,0.0277193327778753
"Mlf2","MLF2",4027,106.787,4472,109.531,3816,106.608,107.642,"MLF2",25.219231,28.531218,31.442122,882,902,737,28.3975236666667,3.6956174006992
"Mlh1","MLH1",339,1.20778,373,1.22742,304,1.14106,1.19208666667,"MLH1",3.490145,2.661971,1.608957,97,79,68,2.58702433333333,0.611115638748106
"Mlh3","MLH3",644,2.77036,730,2.90047,613,2.77815,2.81632666667,"MLH3",1.019966,0.922188,1.40043,174,141,144,1.11419466666667,1.8050971023813
"Mlip","MLIP",515,0.318598,632,0.361116,646,0.421029,0.366914333333,"MLIP",28.981068,35.862077,44.20845,925,886,831,36.3505316666667,0.0365969176967003
"Mlkl","MLKL",93,0.547153,79,0.429287,69,0.42768,0.46804,"MLKL",0.324591,0.543541,0.578447,19,29,24,0.482193,0.990451310996611
"Mllt1","MLLT1",552,2.00153,627,2.09983,571,2.18124,2.0942,"MLLT1",2.079165,2.840819,4.45852,265,276,230,3.126168,0.749896756506279
"Mllt10","MLLT10",1115,1.10121,1072,0.977883,1095,1.13934,1.072811,"MLLT10",13.308448,12.895338,2.817402,239,223,217,9.67372933333333,0.194197448264568
"Mllt11","MLLT11",6990,83.2179,6906,75.9383,5906,74.0759,77.7440333333,"MLLT11",1.38018,1.644273,1.527903,75,92,64,1.517452,31.2792590815237
"Mllt3","MLLT3",1202,0.708174,1195,0.650276,1165,0.723111,0.693853666667,"MLLT3",3.734906,3.007737,2.161924,100,107,74,2.968189,0.426858112521102
"Mllt6","MLLT6",1784,12.5575,1888,12.2745,1773,13.148,12.66,"MLLT6",5.500247,6.473403,7.84124,1017,869,816,6.60496333333333,1.79619537942107
"Mlph","MLPH",7,0.030131,14,0.0556594,11,0.0498829,0.0452244333333,"MLPH",0.026124,0.076114,0.06128,4,6,4,0.054506,0.991198185058501
"Mlst8","MLST8",973,27.3188,1041,26.9957,904,26.74,27.0181666667,"MLST8",1.786577,1.340997,2.397937,104,108,108,1.841837,9.85917442369144
"Mlx","MLX",533,16.7768,537,15.6117,532,17.6416,16.6767,"MLX",5.751316,5.99301,7.875286,117,138,133,6.53987066666667,2.34443013434536
"Mlxip","MLXIP",1580,3.88422,1517,3.44451,1349,3.49384,3.60752333333,"MLXIP",4.290766,5.067905,4.636465,727,612,445,4.66504533333333,0.813325059592933
"Mlxipl","MLXIPL",10,0.0320065,17,0.0502553,11,0.0370915,0.0397844333333,"MLXIPL",4.029622,4.599603,3.015087,225,219,166,3.88143733333333,0.213007842225698
"Mlycd","MLYCD",456,4.36212,495,4.37353,423,4.26301,4.33288666667,"MLYCD",13.666638,12.112316,15.573811,839,768,652,13.784255,0.360713926178221
"Mmaa","MMAA",776,3.84308,769,3.51754,678,3.53746,3.63269333333,"MMAA",5.23157,5.366782,5.632554,322,301,257,5.410302,0.722695020192496
"Mmab","MMAB",732,8.72135,716,7.87917,602,7.55637,8.05229666667,"MMAB",3.590687,3.934464,4.52078,337,303,288,4.01531033333333,1.80493250966059
"Mmachc","MMACHC",484,12.2587,450,10.527,403,10.7534,11.1797,"MMACHC",11.128534,11.024858,14.028626,508,497,441,12.0606726666667,0.932547680418094
"Mmadhc","MMADHC",1162,10.6585,1160,9.82752,958,9.25764,9.91455333333,"MMADHC",26.210812,27.805583,31.877497,821,847,675,28.6312973333333,0.368345442676646
"Mmd","MMD",431,2.29612,429,2.11091,391,2.19451,2.20051333333,"MMD",4.750328,4.045052,4.697003,408,323,286,4.497461,0.582180270734072
"Mmd2","MMD2",1876,6.26945,1813,5.59615,1644,5.78819,5.88459666667,"MMD2",0,0,0,0,0,0,0,6.88459666667
"Mme","MME",756,0.812062,940,0.932588,785,0.888343,0.877664333333,"MME",0.956716,1.287943,1.160526,123,110,109,1.13506166666667,0.879442670274005
"Mmel1","MMEL1",13,0.077772,15,0.0828831,17,0.107145,0.0892667,"MMEL1",0.010148,0,0,1,0,0,0.00338266666666667,1.08559449568593
"Mmgt1","MMGT1",2211,27.3266,2211,25.2395,1983,25.8204,26.1288333333,"MMGT1",4.305953,4.651045,5.181323,597,598,517,4.71277366666667,4.74880240601749
"Mmp11","MMP11",342,3.99861,386,4.16835,325,4.00322,4.05672666667,"MMP11",0.655209,1.551002,2.726698,30,37,37,1.644303,1.91230984749857
"Mmp12","MMP12",4,0.0247158,1,0.00570702,1,0.00650966,0.0123108266667,"MMP12",0.494283,0.098549,0.345865,10,8,11,0.312899,0.771050040152898
"Mmp13","MMP13",2,0.0286946,3,0.0397545,4,0.0604608,0.0429699666667,"MMP13",0.131817,0.065081,0.099743,11,5,6,0.0988803333333333,0.949120604882394
"Mmp14","MMP14",764,8.6221,815,8.49517,720,8.56044,8.55923666667,"MMP14",1.351169,1.459845,1.878595,73,75,64,1.563203,3.72941068915338
"Mmp15","MMP15",3248,22.0979,3408,21.4155,3264,23.3953,22.3029,"MMP15",5.514002,6.784444,8.316216,952,1087,998,6.871554,2.960393843452
"Mmp16","MMP16",489,0.285057,416,0.223981,369,0.226617,0.245218333333,"MMP16",0.08606,0.11929,0.094232,9,5,7,0.0998606666666667,1.13216007360902
"Mmp17","MMP17",329,1.8961,316,1.68208,355,2.15544,1.91120666667,"MMP17",0.126974,0.096342,0.188978,28,20,17,0.137431333333333,2.5594570690597
"Mmp1b","MMP1",5,0.0391764,2,0.0144737,4,0.0330186,0.0288895666667,"MMP1",0,0,0,0,0,0,0,1.0288895666667
"Mmp2","MMP2",330,1.96016,387,2.12316,271,1.69586,1.92639333333,"MMP2",8.467415,7.419767,7.945801,531,500,390,7.94432766666667,0.327178681549867
"Mmp23","MMP23B",37,2.10357,30,1.57533,40,2.39584,2.02491333333,"MMP23B",0.848285,1.435117,1.72574,30,44,36,1.33638066666667,1.29470054965215
"Mmp24","MMP24",1593,5.74661,1738,5.79083,1539,5.84896,5.79546666667,"MMP24",0,0,0,0,0,0,0,6.79546666667
"Mmp25","MMP25",1962,17.9478,2113,17.8528,1762,16.9809,17.5938333333,"MMP25",0.019524,0.028784,0.038061,3,4,4,0.0287896666666667,18.0735032006542
"Mmp27","MMP27",1,0.0147959,3,0.0409975,0,0,0.0185978,"MMP27",0,0,0.059345,0,0,2,0.0197816666666667,0.998839097911481
"Mmp28","MMP28",261,1.81625,262,1.68395,213,1.56156,1.68725333333,"MMP28",0.422712,0.331193,0.316842,47,33,23,0.356915666666667,1.98041293157988
"Mmp3","MMP3",2,0.030571,1,0.014118,1,0.0161036,0.0202642,"MMP3",0.29147,0.146242,0.374706,15,7,14,0.270806,0.802848113716807
"Mmp8","MMP8",15,0.232117,40,0.571704,15,0.244541,0.349454,"MMP8",0,0,0.018841,0,0,1,0.00628033333333333,1.34103187282802
"Mmp9","MMP9",22,0.226568,75,0.713397,25,0.271243,0.403736,"MMP9",0.598646,0.195394,0.092073,11,6,7,0.295371,1.08365557048907
"Mmrn1","MMRN1",15,0.0361495,26,0.0578734,17,0.0431622,0.0457283666667,"MMRN1",0.80783,0.501564,0.740305,113,64,75,0.683233,0.621261801941086
"Mmrn2","MMRN2",245,1.3193,283,1.40753,215,1.21972,1.31551666667,"MMRN2",5.56272,5.9674,6.628871,432,450,415,6.052997,0.328302516883248
"Mms19","MMS19",1634,6.3289,1731,6.19253,1540,6.28407,6.2685,"MMS19",15.634164,6.878088,11.271817,202,211,171,11.2613563333333,0.592797387368972
"Mms22l","MMS22L",49,0.0714107,56,0.075379,46,0.0706267,0.0724721333333,"MMS22L",0.132416,0.069653,0.225542,8,2,8,0.142537,0.938676063298869
"Mmut","MMUT",1306,7.42393,1393,7.31369,1173,7.02478,7.25413333333,"MMUT",17.286538,18.053445,21.565749,1363,1250,1096,18.9685773333333,0.413356104220377
"Mn1","MN1",12,0.0469477,18,0.065043,13,0.0535822,0.0551909666667,"MN1",0.503691,0.749385,0.626752,114,182,95,0.626609333333333,0.648705835533568
"Mnat1","MNAT1",653,0.674454,720,0.686857,653,0.710552,0.690621,"MNAT1",2.151141,2.064199,2.538685,88,92,77,2.25134166666667,0.519976419990722
"Mnd1","MND1",63,0.144106,71,0.150001,60,0.14459,0.146232333333,"MND1",0.223419,0.432051,0.310775,5,9,5,0.322081666666667,0.866990566644017
"Mndal","MNDA",154,0.752683,174,0.78548,150,0.772372,0.770178333333,"MNDA",8.485082,12.545318,8.143121,201,257,141,9.724507,0.165059180187304
"Mns1","MNS1",322,2.08109,308,1.83857,262,1.78394,1.9012,"MNS1",0.15988,0.05135,0.009868,3,2,1,0.0736993333333333,2.70205998078916
"Mnt","MNT",1003,10.5143,1178,11.4056,1048,11.574,11.1646333333,"MNT",0.737181,1.107398,1.505847,109,113,120,1.11680866666667,5.74668534046377
"Moap1","MOAP1",629,68.1749,651,65.1703,610,69.6543,67.6665,"MOAP1",1.257744,1.346451,1.066277,45,45,27,1.22349066666667,30.8822973846528
"Mob1a","MOB1A",1179,10.303,1202,9.70172,934,8.59885,9.53452333333,"MOB1A",4.459098,5.181244,3.612642,486,413,362,4.41766133333333,1.94447801092956
"Mob1b","MOB1B",762,2.72724,793,2.62141,693,2.61303,2.65389333333,"MOB1B",2.056282,2.473477,2.658931,429,431,415,2.39623,1.07586745695374
"Mob2","MOB2",1007,2.9753,1156,3.15467,880,2.73923,2.9564,"MOB2",6.693705,6.483972,5.837533,280,216,175,6.33840333333333,0.539136351640525
"Mob3a","MOB3A",875,8.12005,873,7.48273,785,7.67475,7.75917666667,"MOB3A",0.631682,0.886244,0.929833,56,52,36,0.815919666666667,4.82354854537618
"Mob3b","MOB3B",526,0.391726,576,0.396199,558,0.437799,0.408574666667,"MOB3B",0.063815,0.038461,0.061636,13,7,9,0.0546373333333333,1.33560099016692
"Mob3c","MOB3C",98,1.87923,80,1.4169,79,1.59597,1.6307,"MOB3C",0.616757,0.822583,0.457597,42,45,30,0.632312333333333,1.61164009257215
"Mob4","MOB4",2650,17.3773,2713,16.4317,2401,16.5872,16.7987333333,"MOB4",10.049525,12.198689,9.542289,322,295,266,10.5968343333333,1.5347924115929
"Mob4","MOB4",2650,17.3773,2713,16.4317,2401,16.5872,16.7987333333,"HSPE1-MOB4",10.049525,12.198689,9.542289,322,295,266,10.5968343333333,1.5347924115929
"Mobp","MOBP",159,0.776582,245,1.10523,119,0.612324,0.831378666667,"MOBP",0.023831,0.357871,0,2,4,0,0.127234,1.62466592266291
"Mocos","MOCOS",317,1.02749,292,0.874169,289,0.986869,0.962842666667,"MOCOS",0.394048,0.453264,0.388788,37,38,26,0.412033333333333,1.39008238710158
"Mocs1","MOCS1",381,2.18419,380,2.01207,320,1.93267,2.04297666667,"MOCS1",2.198228,2.182668,4.042826,119,121,105,2.80790733333333,0.799120461790824
"Mocs2","MOCS2",1232,13.6195,1273,12.9979,1117,13.0091,13.2088333333,"MOCS2",6.557235,7.438954,7.508671,191,192,135,7.16828666666667,1.73951208045669
"Mocs3","MOCS3",99,7.78799,100,7.26582,90,7.45893,7.50424666667,"MOCS3",0.657384,0.4355,0.713858,29,24,20,0.602247333333333,5.30769906102928
"Mog","MOG",10,0.122637,11,0.124597,6,0.0775204,0.108251466667,"MOG",0.073817,0,0.027215,1,0,1,0.0336773333333333,1.07214449899292
"Mogat1","MOGAT1",13,0.0742272,17,0.0896527,11,0.0661693,0.0766830666667,"MOGAT1",0,0,0,0,0,0,0,1.0766830666667
"Mogat2","MOGAT2",3,0.0238343,3,0.0220139,1,0.00837,0.0180727333333,"MOGAT2",0.175828,0,0.360873,10,0,5,0.178900333333333,0.863578289485003
"Mogs","MOGS",464,21.1628,521,21.9476,491,23.5929,22.2344333333,"MOGS",1.902114,1.726207,1.803274,92,89,60,1.81053166666667,8.26691746934002
"Mok","MOK",91,0.426167,98,0.423896,108,0.532851,0.460971333333,"MOK",0.215994,0.072718,0.29203,11,3,3,0.193580666666667,1.22402395927967
"Mon1a","MON1A",677,7.01024,726,6.94346,617,6.73091,6.89487,"MON1A",1.050076,1.278517,1.239491,74,87,60,1.18936133333333,3.60601508750497
"Mon1b","MON1B",1042,16.8589,1106,16.5277,964,16.4317,16.6061,"MON1B",0.578053,0.537036,0.564475,96,87,66,0.559854666666667,11.2870130636102
"Mon2","MON2",2228,4.09499,2402,4.07761,2144,4.15152,4.10804,"MON2",9.054859,9.986504,11.441014,618,556,478,10.1607923333333,0.457677183432944
"Morc1","MORC1",31,0.0240979,37,0.0265652,25,0.0204739,0.0237123333333,"MORC1",0.051748,0.008377,0,2,1,0,0.0200416666666667,1.003598545811
"Morc2b","MORC2",172,1.01378,164,0.892802,164,1.01837,0.974984,"MORC2",0.070816,0.057803,0.153755,5,3,5,0.0941246666666667,1.80508132223811
"Morc3","MORC3",744,2.62725,832,2.71361,698,2.59674,2.64586666667,"MORC3",10.83009,21.059192,4.691862,203,215,140,12.1937146666667,0.276333599655685
"Morc4","MORC4",301,0.9335,271,0.776268,246,0.803761,0.837843,"MORC4",0.739685,1.435987,0.824217,44,46,35,0.999963,0.918938500362257
"Morf4l2","MORF4L2",5957,86.0155,6124,81.6731,5461,83.074,83.5875333333,"MORF4L2",19.22454,19.627984,21.358265,584,507,451,20.070263,4.01454568143264
"Morn1","MORN1",245,0.645289,221,0.53762,251,0.696475,0.626461333333,"MORN1",0.277219,0.343136,0.373963,6,7,4,0.331439333333333,1.22158125617415
"Morn2","MORN2",159,3.39266,160,3.15325,162,3.64169,3.39586666667,"MORN2",1.931381,2.081907,2.257226,26,26,22,2.09017133333333,1.42253169565463
"Morn3","MORN3",28,0.386367,30,0.382347,22,0.319822,0.362845333333,"MORN3",0,0,0,0,0,0,0,1.362845333333
"Morn4","MORN4",1155,15.699,1350,16.948,1093,15.6514,16.0994666667,"MORN4",0.181902,0.169806,0.465031,11,9,19,0.272246333333333,13.4403740994865
"Morn5","MORN5",9,0.0461611,13,0.0615846,9,0.0486318,0.0521258333333,"MORN5",0,0,0,0,0,0,0,1.0521258333333
"Mos","MOS",1,0.107115,1,0.0989335,0,0,0.0686828333333,"MOS",0,0,0,0,0,0,0,1.0686828333333
"Mosmo","MOSMO",1878,5.09256,1932,4.83885,1663,4.75091,4.89410666667,"MOSMO",7.148434,7.398654,7.931363,303,251,221,7.492817,0.694010793670699
"Mospd1","MOSPD1",697,4.17605,668,3.69662,635,4.00822,3.96029666667,"MOSPD1",7.261257,6.490957,7.518002,375,302,280,7.090072,0.613133809769555
"Mospd2","MOSPD2",1043,3.66193,1087,3.52493,946,3.49914,3.562,"MOSPD2",2.251229,2.631093,4.106114,141,107,108,2.99614533333333,1.14160012198422
"Mospd3","MOSPD3",214,7.52486,258,8.37914,198,7.33489,7.74629666667,"MOSPD3",1.18606,1.68739,2.843647,34,47,43,1.905699,3.01004910235713
"Mov10","MOV10",140,0.915765,122,0.737073,146,1.00613,0.886322666667,"MOV10",0.675115,0.407799,0.615149,51,41,39,0.566021,1.2045321657034
"Mov10l1","MOV10L1",125,0.26855,108,0.214306,82,0.185598,0.222818,"MOV10L1",48.014253,53.39429,45.46295,374,439,359,48.9571643333333,0.0244773300550225
"Moxd1","MOXD1",1233,2.41407,1277,2.30926,1097,2.26275,2.32869333333,"MOXD1",0.083309,0.021881,0.116756,8,2,8,0.073982,3.09939396873504
"Mpc1","MPC1",2590,27.2389,2819,27.3829,2220,24.5972,26.4063333333,"MPC1",155.585048,193.40211,194.551041,2964,2807,2638,181.179399666667,0.150435962482286
"Mpc2","MPC2",1083,8.1685,1049,7.30776,945,7.50913,7.66179666667,"MPC2",148.869536,170.157682,166.730594,1733,1911,1341,161.919270666667,0.053166188574414
"Mpdu1","MPDU1",629,16.4189,704,16.973,576,15.8401,16.4106666667,"MPDU1",2.235506,3.031657,3.026774,49,60,54,2.76464566666667,4.62478230577167
"Mpdz","MPDZ",4012,3.78964,3983,3.4749,3704,3.68597,3.65017,"MPDZ",13.500973,11.634193,8.39867,859,802,655,11.1779453333333,0.381851771601537
"Mpeg1","MPEG1",158,5.44351,199,6.33243,144,5.22671,5.66755,"MPEG1",0.867908,0.894848,1.008552,119,114,100,0.923769333333333,3.46587809903751
"Mpg","MPG",262,6.56307,305,7.05668,262,6.91434,6.84469666667,"MPG",0.957334,0.834427,1.34721,47,41,46,1.04632366666667,3.83355614483437
"Mphosph10","MPHOSPH10",458,4.51567,506,4.60789,370,3.84329,4.32228333333,"MPHOSPH10",1.971149,3.757928,2.448678,131,138,92,2.72591833333333,1.42844873590359
"Mphosph6","MPHOSPH6",209,3.14969,203,2.82561,203,3.22301,3.06610333333,"MPHOSPH6",1.603473,1.483675,1.58111,44,37,31,1.556086,1.59075372789883
"Mphosph8","MPHOSPH8",3287,17.4818,3581,17.5908,3164,17.7283,17.6003,"MPHOSPH8",4.065553,3.839366,3.017458,248,249,189,3.64079233333333,4.00800093259937
"Mphosph9","MPHOSPH9",509,1.02581,494,0.919537,466,0.989412,0.978253,"MPHOSPH9",1.607137,0.896609,0.849098,78,77,66,1.11761466666667,0.934189317414374
"Mpi","MPI",868,15.8347,943,15.889,838,16.1056,15.9431,"MPI",14.494416,16.655816,17.788972,737,751,686,16.313068,0.978630708318133
"Mpig6b","MPIG6B",0,0,3,0.123157,1,0.046826,0.056661,"MPIG6B",0.028118,0.015024,0.038995,2,1,2,0.027379,1.02850165323605
"Mpl","MPL",3,0.0308383,1,0.00949432,3,0.0324888,0.0242738066667,"MPL",0.018075,0,0.014297,1,0,1,0.0107906666666667,1.01333920112707
"Mpnd","MPND",1931,27.0495,2162,27.9723,1867,27.5528,27.5248666667,"MPND",22.485195,23.842477,27.194849,264,281,235,24.507507,1.11829300553363
"Mpo","MPO",9,0.128947,12,0.158798,7,0.10566,0.131135,"MPO",0,0,0,0,0,0,0,1.131135
"Mpp1","MPP1",1647,12.0104,1706,11.4905,1534,11.7851,11.762,"MPP1",19.151488,12.084234,14.946477,121,119,86,15.3940663333333,0.778452382741162
"Mpp2","MPP2",561,2.76411,554,2.52114,417,2.16458,2.48327666667,"MPP2",1.246589,0.533159,0.777347,67,48,52,0.852365,1.88044832777018
"Mpp3","MPP3",211,1.13673,218,1.08474,181,1.0273,1.08292333333,"MPP3",0.55283,0.422502,0.350984,38,29,15,0.442105333333333,1.44436282508952
"Mpp4","MPP4",153,0.559345,141,0.476104,157,0.604689,0.546712666667,"MPP4",0.01192,0.023983,0,1,2,0,0.0119676666666667,1.52842103321516
"Mpp5","MPP5",1352,2.28567,1378,2.15169,1196,2.13016,2.18917333333,"MPP5",3.094397,2.061344,2.105259,400,330,266,2.42033333333333,0.932415943864146
"Mpp6","MPP6",375,0.65619,372,0.601224,310,0.571484,0.609632666667,"MPP6",11.711257,13.181551,13.553349,399,418,293,12.8153856666667,0.116510150748138
"Mpp7","MPP7",401,0.223152,415,0.213304,341,0.199919,0.212125,"MPP7",0.998839,0.788682,1.027981,92,75,55,0.938500666666667,0.625289957771487
"Mppe1","MPPE1",6162,46.0072,6266,43.2105,5417,42.6096,43.9424333333,"MPPE1",3.874706,4.484446,2.494353,144,182,129,3.617835,9.73236015000536
"Mpped1","MPPED1",178,0.349588,185,0.335585,161,0.333124,0.339432333333,"MPPED1",0,0,0,0,0,0,0,1.339432333333
"Mpped2","MPPED2",1150,1.01943,1319,1.07994,1096,1.02356,1.04097666667,"MPPED2",2.265127,7.2466,3.618562,159,168,162,4.376763,0.379592082944701
"Mprip","MPRIP",9656,12.5355,9764,11.7076,9363,12.8057,12.3496,"MPRIP",20.023956,29.098916,26.368794,1941,1863,1451,25.1638886666667,0.510229965051321
"Mpst","MPST",278,5.67888,315,5.94324,261,5.61697,5.74636333333,"MPST",5.299508,5.461315,7.648295,217,218,221,6.13637266666667,0.945349079770124
"Mpv17","MPV17",995,11.357,1186,12.5032,997,11.9889,11.9497,"MPV17",17.781402,18.038119,22.067343,652,560,489,19.2956213333333,0.638053883018183
"Mpv17l","MPV17L",987,3.29734,895,2.76163,761,2.6784,2.91245666667,"",0.546639,0.354423,0.432999,32,20,24,0.444687,2.70816908207106
