"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"Ilkap","ILKAP",1044,6.49322,1169,6.71535,996,6.52624,6.57827,"ILKAP",26.673823,22.895681,24.352012,332,294,604,24.6405053333333,0.295558527473639
"Ilrun","ILRUN",4751,10.6232,4956,10.2352,4466,10.5204,10.4596,"ILRUN",63.457771,58.74546,58.938132,2967,2892,5273,60.3804543333333,0.186697868636934
"Ilvbl","ILVBL",607,9.27556,654,9.23048,583,9.38564,9.29722666667,"ILVBL",53.83716,69.073941,62.931728,169,174,346,61.9476096666667,0.163584077635323
"Immp1l","IMMP1L",556,1.41653,588,1.38364,505,1.35546,1.38521,"IMMP1L",12.813966,13.104153,11.767722,134,132,230,12.561947,0.175875189602201
"Immp2l","IMMP2L",1195,0.199114,1130,0.173903,1058,0.185722,0.186246333333,"IMMP2L",15.928486,16.118648,22.689387,34,28,58,18.245507,0.0616375725166918
"Immt","IMMT",4035,13.5974,4317,13.4366,3707,13.1607,13.3982333333,"IMMT",87.594345,125.254394,107.534846,1130,1206,2165,106.794528333333,0.13357109638048
"Imp3","IMP3",294,49.3847,335,51.9738,290,51.32,50.8928333333,"IMP3",16.399389,16.762116,17.213289,146,158,326,16.791598,2.91670446540552
"Imp4","IMP4",481,7.85352,480,7.23861,467,8.03304,7.70839,"IMP4",12.709751,11.57222,10.456102,266,243,489,11.5793576666667,0.692276206047935
"Impa1","IMPA1",2035,16.2108,2157,15.8703,1800,15.1062,15.7291,"IMPA1",75.599263,78.563817,76.387451,677,729,1306,76.850177,0.214888400317959
"Impa2","IMPA2",326,1.52006,320,1.37812,318,1.56212,1.48676666667,"IMPA2",6.118672,3.278701,5.920136,76,71,125,5.10583633333333,0.407276993831967
"Impact","IMPACT",4350,18.1989,4430,17.118,3743,16.4975,17.2714666667,"IMPACT",155.958191,152.025425,145.666468,3209,3298,5745,151.216694666667,0.120035891639297
"Impdh1","IMPDH1",4381,42.6822,4624,41.6089,4110,42.1852,42.1587666667,"IMPDH1",25.347517,37.503003,33.753179,412,482,882,32.201233,1.29991457445873
"Impdh2","IMPDH2",880,25.7754,867,23.4551,812,25.0567,24.7624,"IMPDH2",54.359889,82.40388,68.066053,303,348,659,68.2766073333333,0.371877333369414
"Impg1","IMPG1",65,0.066306,85,0.0800854,67,0.0720042,0.0727985333333,"IMPG1",0.493287,0.539378,0.359394,22,22,29,0.464019666666667,0.732776039666111
"Impg2","IMPG2",66,0.147512,32,0.0660583,34,0.0800581,0.0978761333333,"IMPG2",1.016049,0.051901,0.188043,15,5,32,0.418664333333333,0.77388012621259
"Ina","INA",1136,16.5868,1040,14.0253,1053,16.1978,15.6033,"INA",46.870333,42.126286,35.864194,1818,1696,2903,41.620271,0.389563454441667
"Inafm1","INAFM1",301,29.1077,337,30.1,284,28.9337,29.3804666667,"INAFM1",9.019785,11.935808,9.67205,135,198,334,10.2092143333333,2.71031187050784
"Inafm2","INAFM2",195,9.91345,196,9.20325,154,8.24812,9.12160666667,"INAFM2",13.828133,11.774411,11.594012,459,410,816,12.398852,0.755408498181038
"Inava","INAVA",2,0.0149715,0,0,1,0.00788638,0.00761929333333,"INAVA",0.510629,1.539928,0.47187,17,17,37,0.840809,0.547378513106645
"Inca1","INCA1",44,0.578991,43,0.522616,28,0.388169,0.496592,"INCA1",0.667379,1.586666,1.151504,10,20,31,1.135183,0.700919780646436
"Incenp","INCENP",224,1.27557,248,1.30437,203,1.21785,1.26593,"INCENP",10.588198,14.54581,14.51822,134,156,281,13.2174093333333,0.159377137344384
"Inf2","INF2",1618,9.37956,1715,9.18254,1528,9.33192,9.29800666667,"INF2",52.014652,53.427142,53.998011,2221,2311,4407,53.1466016666667,0.190187497454888
"Ing1","ING1",481,9.71951,501,9.35043,370,7.87671,8.98221666667,"ING1",20.972889,18.635058,22.806698,283,301,568,20.8048816666667,0.457797332692243
"Ing2","ING2",147,2.72297,170,2.9085,142,2.77113,2.80086666667,"ING2",15.82172,19.06859,16.098923,223,251,463,16.996411,0.211201370466034
"Ing3","ING3",349,2.04655,298,1.61401,283,1.74834,1.80296666667,"ING3",10.412311,7.217643,12.106085,173,150,329,9.912013,0.256869806393193
"Ing4","ING4",470,7.67392,518,7.81167,427,7.34499,7.61019333333,"ING4",15.746071,12.585836,17.100942,277,217,555,15.144283,0.533327700792287
"Ing5","ING5",257,2.1993,304,2.40281,258,2.32603,2.30938,"ING5",2.631868,2.543939,2.432414,168,159,296,2.53607366666667,0.935891135752168
"Inha","INHA",197,9.29367,221,9.6296,179,8.89648,9.27325,"INHA",5.868511,6.759899,8.771887,103,121,308,7.13343233333333,1.26308913371013
"Inhba","INHBA",35,0.274762,29,0.210272,20,0.16541,0.216814666667,"INHBA",3.832383,1.594096,1.639803,281,134,276,2.35542733333333,0.362640744616632
"Inhbb","INHBB",180,4.11816,151,3.19082,177,4.26627,3.85841666667,"INHBB",1.451599,0.892903,0.889557,64,42,86,1.07801966666667,2.338003217488
"Inhbc","INHBC",7,0.0769995,5,0.050799,3,0.034766,0.0541881666667,"INHBC",0.041553,0,0,1,0,0,0.013851,1.03978608954047
"Inhbe","INHBE",0,0,3,0.0774193,0,0,0.0258064333333,"INHBE",0.132623,0.121876,0.111058,10,9,16,0.121852333333333,0.914386325948394
"Inip","INIP",553,2.68615,589,2.6425,469,2.40006,2.57623666667,"INIP",8.918452,9.397042,8.110118,259,273,445,8.80853733333333,0.364604481293711
"Inka1","INKA1",80,7.4935,87,7.52677,78,7.69721,7.57249333333,"INKA1",0.847504,1.087075,0.951579,7,7,21,0.962052666666667,4.36914537462127
"Inka2","INKA2",841,8.03563,785,6.92769,737,7.41883,7.46071666667,"INKA2",25.883046,23.009807,22.817858,1345,1213,2345,23.9035703333333,0.339739103808154
"Inmt","INMT",11,0.386442,44,1.42771,20,0.740228,0.85146,"INMT",0.728147,1.440758,1.927642,9,17,45,1.36551566666667,0.782687693042828
"Inmt","INMT",11,0.386442,44,1.42771,20,0.740228,0.85146,"INMT-MINDY4",0.728147,1.440758,1.927642,9,17,45,1.36551566666667,0.782687693042828
"Inmt","INMT-MINDY4",11,0.386442,44,1.42771,20,0.740228,0.85146,"INMT",0.728147,1.440758,1.927642,9,17,45,1.36551566666667,0.782687693042828
"Inmt","INMT-MINDY4",11,0.386442,44,1.42771,20,0.740228,0.85146,"INMT-MINDY4",0.728147,1.440758,1.927642,9,17,45,1.36551566666667,0.782687693042828
"Ino80","INO80",772,1.14502,819,1.12195,817,1.27662,1.18119666667,"INO80",4.287261,3.995735,4.62246,381,350,789,4.30181866666667,0.411405369327984
"Ino80b","INO80B",199,8.42285,195,7.62317,181,8.07102,8.03901333333,"INO80B",16.984625,13.358618,15.743657,62,58,123,15.3623,0.55242926320444
"Ino80b","INO80B",199,8.42285,195,7.62317,181,8.07102,8.03901333333,"INO80B-WBP1",16.984625,13.358618,15.743657,62,58,123,15.3623,0.55242926320444
"Ino80b","INO80B-WBP1",199,8.42285,195,7.62317,181,8.07102,8.03901333333,"INO80B",16.984625,13.358618,15.743657,62,58,123,15.3623,0.55242926320444
"Ino80b","INO80B-WBP1",199,8.42285,195,7.62317,181,8.07102,8.03901333333,"INO80B-WBP1",16.984625,13.358618,15.743657,62,58,123,15.3623,0.55242926320444
"Ino80c","INO80C",611,5.51449,612,5.10165,544,5.17258,5.26290666667,"INO80C",6.243953,7.902739,6.132305,210,252,391,6.75966566666667,0.80711037507372
"Ino80d","INO80D",1398,1.38869,1474,1.35235,1226,1.28301,1.34135,"INO80D",3.191103,2.909994,3.316704,608,545,1211,3.139267,0.565643627241248
"Ino80e","INO80E",551,7.48994,571,7.16899,493,7.06021,7.23971333333,"INO80E",29.290399,26.050449,26.608434,195,196,420,27.3164273333333,0.290987038595453
"Inpp1","INPP1",1293,6.22048,1316,5.84758,1142,5.7881,5.95205333333,"INPP1",17.741549,15.779716,15.213057,343,349,658,16.244774,0.403139718347715
"Inpp4a","INPP4A",4235,5.92855,4429,5.72658,4024,5.93468,5.86327,"INPP4A",36.388049,35.40563,34.821249,1791,1869,3528,35.5383093333333,0.187837645617028
"Inpp4b","INPP4B",111,0.0219367,139,0.0253722,104,0.0216534,0.0229874333333,"INPP4B",1.951102,2.844071,1.905894,143,172,232,2.233689,0.316353067141986
"Inpp5a","INPP5A",627,0.510728,686,0.516108,560,0.480567,0.502467666667,"INPP5A",25.336101,30.283345,20.569593,501,554,909,25.3963463333333,0.0569195315023459
"Inpp5b","INPP5B",900,2.34133,925,2.22257,849,2.32686,2.29692,"INPP5B",77.636111,51.209905,52.633853,336,303,605,60.4932896666667,0.0536143052009648
"Inpp5d","INPP5D",91,0.140964,92,0.131628,62,0.101182,0.124591333333,"INPP5D",7.195208,8.287639,9.816997,165,154,315,8.43328133333333,0.119215286133697
"Inpp5e","INPP5E",1588,19.0252,1595,17.6496,1361,17.1784,17.9510666667,"INPP5E",8.424808,8.68111,9.200281,233,203,472,8.768733,1.93997181279292
"Inpp5f","INPP5F",2771,5.05399,2942,4.95604,2490,4.78455,4.93152666667,"INPP5F",38.197077,37.834135,39.604864,1419,1379,2648,38.5453586666667,0.149992992013745
"Inpp5j","INPP5J",1077,16.0008,1147,15.7392,1035,16.1998,15.9799333333,"INPP5J",12.309179,12.560819,12.508991,508,495,955,12.459663,1.26154223425208
"Inpp5k","INPP5K",1907,16.5502,2053,16.4564,1715,15.6805,16.2290333333,"INPP5K",14.63988,17.467946,17.148666,316,361,693,16.4188306666667,0.989103899280112
"Inppl1","INPPL1",582,5.79123,681,6.25879,625,6.55197,6.20066333333,"INPPL1",19.829305,29.1139,20.133315,399,357,679,23.0255066666667,0.299709114701847
"Insc","INSC",414,0.602273,479,0.643611,390,0.597726,0.614536666667,"INSC",1.993292,1.756519,1.669076,29,31,59,1.80629566666667,0.575326643533878
"Insig1","INSIG1",2604,55.365,2785,54.6908,2092,46.8597,52.3051666667,"INSIG1",18.737629,22.878389,18.122141,592,773,1142,19.9127196666667,2.54893517038171
"Insig2","INSIG2",1111,6.10678,1118,5.6759,945,5.47235,5.75167666667,"INSIG2",111.357429,216.770387,132.313649,476,488,907,153.480488333333,0.0437056921525354
"Insl5","INSL5",70,1.21108,74,1.1825,64,1.16654,1.18670666667,"INSL5",1.05271,0.720837,0.926831,5,3,6,0.900126,1.15082192795109
"Insl6","INSL6",15,0.580148,20,0.714451,15,0.6112,0.635266333333,"INSL6",0.586023,0.299347,0.307706,4,2,4,0.397692,1.16997617023851
"Insm1","INSM1",203,10.1637,234,10.821,144,7.59559,9.52676333333,"INSM1",1.714026,1.638988,1.292202,43,49,83,1.54840533333333,4.13072567210528
"Insm2","INSM2",390,22.7562,389,20.9643,375,23.0521,22.2575333333,"INSM2",0.0367,0.033214,0.032066,1,1,2,0.0339933333333333,22.4929238743964
"Insr","INSR",1401,1.38012,1361,1.23832,1183,1.22774,1.28206,"INSR",5.645602,8.168117,6.206842,752,813,1482,6.67352033333333,0.297394142566725
"Insrr","INSRR",114,0.923912,117,0.875803,99,0.845288,0.881667666667,"INSRR",0.529964,0.092188,0.13015,11,6,18,0.250767333333333,1.50441062579744
"Insyn1","INSYN1",2759,38.3093,2973,38.1279,2726,39.877,38.7714,"INSYN1",47.072967,54.071453,49.480677,1024,1288,2373,50.2083656666667,0.776658256560775
"Insyn2a","INSYN2A",52,0.142835,49,0.124314,73,0.21125,0.159466333333,"INSYN2A",3.048703,2.503038,2.694941,110,93,196,2.748894,0.309282239864077
"Insyn2b","INSYN2B",320,0.460377,340,0.451791,343,0.519879,0.477349,"INSYN2B",0.948532,0.857376,0.726598,71,64,102,0.844168666666667,0.801092127148168
"Ints1","INTS1",1461,9.29613,1571,9.23257,1431,9.59258,9.37376,"INTS1",20.621696,23.56636,27.409267,777,792,1618,23.8657743333333,0.41719030587733
"Ints11","INTS11",661,5.24559,650,4.76432,590,4.93274,4.98088333333,"INTS11",13.208326,13.212229,11.436907,212,212,417,12.619154,0.439152338928688
"Ints12","INTS12",238,1.92907,262,1.9614,237,2.02378,1.97141666667,"INTS12",2.777314,3.016098,3.031299,118,121,224,2.94157033333333,0.753866204426476
"Ints13","INTS13",581,3.19729,591,3.00392,529,3.06694,3.08938333333,"INTS13",24.405411,20.835631,27.879245,277,217,586,24.373429,0.161167941996724
"Ints14","INTS14",434,2.58344,424,2.33115,433,2.71545,2.54334666667,"INTS14",4.843197,5.273931,5.056048,186,188,348,5.05772533333333,0.584930229037016
"Ints2","INTS2",520,1.72105,482,1.47344,518,1.80619,1.66689333333,"INTS2",11.123378,3.440438,5.225644,310,252,535,6.59648666666667,0.351069310110463
"Ints3","INTS3",1386,5.0934,1414,4.79942,1222,4.73107,4.87463,"INTS3",14.957183,13.814065,12.775849,616,659,1200,13.8490323333333,0.395623759725578
"Ints4","INTS4",952,2.44472,1082,2.56634,932,2.52146,2.51084,"INTS4",11.262329,11.450836,9.183423,286,273,512,10.632196,0.301820911545851
"Ints5","INTS5",411,13.0612,427,12.5333,366,12.2537,12.6160666667,"INTS5",4.597795,4.331813,4.276545,207,192,368,4.402051,2.52053649006646
"Ints6","INTS6",692,1.26597,672,1.13548,534,1.0292,1.14355,"INTS6",16.499927,14.301426,14.068561,362,354,648,14.956638,0.134335942195342
"Ints6l","INTS6L",1259,3.68785,1338,3.61992,1164,3.59207,3.63328,"INTS6L",14.191549,13.850894,16.919869,780,681,1689,14.9874373333333,0.28980754722583
"Ints7","INTS7",597,1.92828,635,1.89437,552,1.87836,1.90033666667,"INTS7",8.69947,7.919092,9.476073,478,427,973,8.69821166666667,0.299058915845138
"Ints8","INTS8",1216,3.42524,1171,3.04656,1045,3.10111,3.19097,"INTS8",17.386174,14.460131,21.247468,284,277,623,17.6979243333333,0.224140922023555
"Ints9","INTS9",627,1.08384,612,0.977113,581,1.05808,1.03967766667,"INTS9",3.323819,4.080871,3.68357,123,146,262,3.69608666666667,0.434335609934087
"Intu","INTU",167,0.149404,149,0.123119,157,0.147975,0.140166,"INTU",1.876621,1.708826,1.783165,147,140,289,1.78953733333333,0.408729428488261
"Invs","INVS",2377,2.42407,2580,2.43014,2194,2.3572,2.40380333333,"INVS",3.52625,3.865114,3.597528,163,139,311,3.662964,0.729965604137197
"Ip6k1","IP6K1",5281,17.7101,5595,17.3301,4860,17.1706,17.4036,"IP6K1",247.252969,379.251741,248.255259,2473,2396,4591,291.586656333333,0.0628996558853096
"Ip6k2","IP6K2",1199,8.25551,1240,7.88572,1144,8.2984,8.14654333333,"IP6K2",63.085172,60.314872,56.858305,623,626,1204,60.0861163333333,0.149731950275237
"Ip6k3","IP6K3",16,0.104206,24,0.144371,5,0.0343075,0.0942948333333,"IP6K3",0.064134,0.326437,0.134224,2,10,8,0.174931666666667,0.931368916490151
"Ipcef1","IPCEF1",585,0.54473,534,0.459263,445,0.436546,0.480179666667,"IPCEF1",15.191393,15.57154,15.009443,1227,1170,2174,15.2574586666667,0.0910461897530069
"Ipmk","IPMK",1048,1.901,1051,1.76083,903,1.72565,1.79582666667,"IPMK",6.923544,6.815451,6.868382,447,393,805,6.86912566666667,0.355290636482401
"Ipo11","IPO11",1986,2.16282,1939,1.95036,1801,2.06633,2.05983666667,"IPO11",20.903504,21.077022,20.02475,646,656,1293,20.6684253333333,0.141211768718742
"Ipo13","IPO13",1974,14.9353,1960,13.6968,1760,14.0289,14.2203333333,"IPO13",39.13907,39.501568,44.389796,814,810,1534,41.0101446666667,0.362301378728094
"Ipo4","IPO4",1805,26.5346,1833,24.8882,1760,27.2579,26.2269,"IPO4",87.738802,84.442007,90.73101,619,552,1061,87.637273,0.307172130622746
"Ipo5","IPO5",3154,13.3111,3239,12.6258,2877,12.7919,12.9096,"IPO5",26.504565,27.038746,26.170332,1627,1630,3060,26.5712143333333,0.504497184339952
"Ipo7","IPO7",4118,16.6723,3801,14.2136,3720,15.8671,15.5843333333,"IPO7",31.644539,30.914898,27.856533,1914,1898,3341,30.1386566666667,0.532596300181864
"Ipo8","IPO8",1974,5.04043,1995,4.70499,1814,4.8798,4.87507333333,"IPO8",13.366409,15.403309,16.880524,678,687,1278,15.2167473333333,0.36228432327202
"Ipo9","IPO9",2403,7.73984,2516,7.48486,2253,7.6451,7.62326666667,"IPO9",73.536342,71.957002,70.502187,1931,1971,3640,71.9985103333333,0.118129351233245
"Ipp","IPP",211,1.06692,244,1.13955,198,1.05477,1.08708,"IPP",4.492025,4.963616,4.279663,125,135,227,4.57843466666667,0.374133627928121
"Ippk","IPPK",437,1.56552,456,1.50882,425,1.60403,1.55945666667,"IPPK",5.372816,4.756396,5.135965,252,217,447,5.08839233333333,0.420383005322642
"Iqank1","IQANK1",144,0.602526,124,0.479214,97,0.427591,0.503110333333,"IQANK1",1.20285,0.799984,1.194863,11,8,29,1.065899,0.72758171301356
"Iqca","IQCA1",32,0.0446364,26,0.0334971,23,0.0337995,0.037311,"IQCA1",1.981688,0.888077,2.170537,19,14,27,1.68010066666667,0.387041805146125
"Iqca1l","IQCA1L",14,0.162425,6,0.0642942,6,0.0733366,0.1000186,"IQCA1L",0.031446,0,0.098946,1,0,6,0.043464,1.05419889905162
"Iqcb1","IQCB1",627,2.19492,641,2.07254,571,2.10587,2.12444333333,"IQCB1",57.68603,114.728162,103.339829,262,310,558,91.918007,0.0336258109079976
"Iqcc","IQCC",371,14.4898,333,12.0124,288,11.8502,12.7841333333,"IQCC",11.241753,9.666914,11.685209,120,90,213,10.8646253333333,1.16178412263671
"Iqcd","IQCD",121,1.03741,126,0.997773,105,0.948418,0.994533666667,"IQCD",0.505088,0.256905,0.660745,10,5,25,0.474246,1.35291780792826
"Iqcg","IQCG",983,3.50447,973,3.20388,816,3.0648,3.25771666667,"IQCG",1.677238,1.497923,2.767908,28,30,54,1.981023,1.42827367204815
"Iqch","IQCH",168,0.14403,175,0.138573,154,0.139094,0.140565666667,"IQCH",0.026876,0.181353,0.097527,1,2,8,0.101918666666667,1.03507246148869
"Iqcj","IQCJ",41,0.038714,49,0.0427341,41,0.0407861,0.0407447333333,"IQCJ",0,0.071683,0.030721,0,1,1,0.0341346666666667,1.00639188190832
"Iqck","IQCK",369,0.48992,398,0.488064,359,0.502154,0.493379333333,"IQCK",1.785951,1.816567,1.899556,40,35,82,1.83402466666667,0.526946483881345
"Iqcm","IQCM",386,0.111813,471,0.126015,350,0.106812,0.11488,"IQCM",0,0.083036,0.085328,0,2,4,0.0561213333333333,1.05563628421482
"Iqcn","IQCN",114,1.24657,100,1.00997,83,0.956168,1.07090266667,"IQCN",0.031176,0.047299,0.024307,2,3,3,0.0342606666666667,2.00230244986918
"Iqgap1","IQGAP1",1661,2.25367,1738,2.17804,1553,2.21992,2.21721,"IQGAP1",5.197579,4.253219,4.963771,326,302,658,4.80485633333333,0.554227325407824
"Iqgap2","IQGAP2",3505,2.05046,3528,1.90628,3220,1.98456,1.98043333333,"IQGAP2",22.835258,26.229058,26.401438,342,250,574,25.1552513333333,0.113951622767685
"Iqgap3","IQGAP3",164,0.651371,187,0.685995,154,0.644391,0.660585666667,"IQGAP3",0.20144,0.251569,0.490664,10,12,25,0.314557666666667,1.26322770675992
"Iqsec1","IQSEC1",9352,4.36417,9649,4.15886,8651,4.25312,4.25871666667,"IQSEC1",242.278915,274.875902,174.457638,3026,3267,5613,230.537485,0.0227121611287693
"Iqsec2","IQSEC2",1775,3.40249,2008,3.55514,1752,3.53815,3.49859333333,"IQSEC2",27.050505,28.918259,33.609141,1865,1990,3898,29.8593016666667,0.145777548109238
"Iqsec3","IQSEC3",1575,2.42644,1512,2.15147,1554,2.52223,2.36671333333,"IQSEC3",20.545669,17.533852,17.561442,1917,1665,3361,18.5469876666667,0.172236939560321
"Iqub","IQUB",13,0.0287412,14,0.028588,18,0.0419255,0.0330849,"IQUB",0.445222,0.272703,0.463518,22,13,43,0.393814333333333,0.741192621781524
"Irak1","IRAK1",1299,20.1516,1300,18.6268,1149,18.7786,19.1856666667,"IRAK1",36.095826,24.553402,31.722212,528,480,1038,30.79048,0.634959480533166
"Irak1bp1","IRAK1BP1",205,1.75324,205,1.61934,203,1.82906,1.73388,"IRAK1BP1",7.579577,7.090562,8.22989,138,136,306,7.633343,0.316665282498332
"Irak2","IRAK2",170,0.466505,211,0.534792,175,0.505929,0.502408666667,"IRAK2",10.054368,7.783744,11.097435,226,177,371,9.64518233333333,0.141135080604725
"Irak3","IRAK3",177,0.45421,177,0.419519,146,0.394712,0.422813666667,"IRAK3",0.523699,0.367009,0.456058,12,14,22,0.448922,0.98198085657268
"Irak4","AC093012.1",1335,5.42803,1339,5.02847,1129,4.83614,5.09754666667,"IRAK4",0.437587,0.625231,0.335963,19,25,27,0.466260333333333,4.15857029481804
"Ireb2","IREB2",3093,9.84903,3161,9.29679,2800,9.39325,9.51302333333,"IREB2",11.950495,11.672454,12.022545,972,880,1703,11.8818313333333,0.816112481315157
"Irf1","IRF1",317,5.88461,380,6.51534,313,6.12135,6.17376666667,"IRF1",3.164012,3.669432,1.972887,62,63,89,2.93544366666667,1.8228609717964
"Irf2","IRF2",774,1.11515,799,1.06325,712,1.08073,1.08637666667,"IRF2",30.524057,24.773823,17.821188,257,197,442,24.3730226666667,0.0822281481429857
"Irf2bp1","IRF2BP1",445,25.2626,453,23.7526,416,24.8803,24.6318333333,"IRF2BP1",7.699289,9.941493,8.566597,225,322,570,8.735793,2.63274222585669
"Irf2bp2","IRF2BP2",452,12.3273,464,11.688,394,11.3206,11.7786333333,"IRF2BP2",5.31777,5.218446,5.133683,306,310,616,5.22329966666667,2.05335336843011
"Irf2bpl","IRF2BPL",1354,51.2819,1431,50.0587,1326,52.9094,51.4166666667,"IRF2BPL",10.244802,12.603783,12.131102,466,645,1282,11.6598956666667,4.14037114102862
"Irf3","IRF3",407,12.1458,401,11.0527,370,11.6326,11.6103666667,"IRF3",18.494368,17.890653,22.625846,148,125,274,19.670289,0.610072102363929
"Irf4","IRF4",9,0.0786931,11,0.0888345,7,0.0644817,0.0773364333333,"IRF4",0.059408,0.136676,0.315905,4,9,12,0.170663,0.920278879005572
"Irf5","IRF5",559,5.69042,607,5.70711,532,5.70543,5.70098666667,"IRF5",2.056483,2.19893,1.375114,29,42,63,1.87684233333333,2.32928533796488
"Irf6","IRF6",286,2.34705,284,2.15263,243,2.10091,2.20019666667,"IRF6",1.447255,0.782389,0.828559,17,17,27,1.019401,1.58472570166599
"Irf7","IRF7",109,4.48035,163,6.18824,129,5.58623,5.41827333333,"IRF7",2.347397,2.99252,3.087262,27,10,45,2.80905966666667,1.68500204643596
"Irf8","IRF8",19,0.145005,43,0.303105,24,0.192968,0.213692666667,"IRF8",1.420713,2.103284,1.327365,39,41,67,1.61712066666667,0.463751130058836
"Irf9","IRF9",468,11.2442,483,10.7183,428,10.8336,10.9320333333,"IRF9",3.884275,3.579042,4.588377,100,98,212,4.01723133333333,2.37821071833509
"Irgc1","IRGC",9,0.0685552,5,0.0351773,10,0.0802494,0.0613273,"IRGC",0.091209,0.046133,0.043711,2,1,2,0.060351,1.00092073285167
"Irgm1","IRGM",236,3.77,225,3.31976,191,3.21445,3.43473666667,"IRGM",4.117481,3.124812,3.024139,115,92,166,3.422144,1.00284763831074
"Irgq","IRGQ",4303,84.4116,4356,78.9248,3754,77.5834,80.3066,"IRGQ",14.617062,15.442779,14.712802,1171,1270,2406,14.9242143333333,5.10584687558526
"Irs1","IRS1",232,0.617472,248,0.609643,258,0.723424,0.650179666667,"IRS1",1.915043,1.619805,1.551779,250,209,391,1.69554233333333,0.612188369761707
"Irs2","IRS2",1503,9.81072,1468,8.85039,1386,9.53123,9.39744666667,"IRS2",9.388238,7.224457,7.911049,779,617,1341,8.17458133333333,1.13328840727519
"Irs4","IRS4",0,0,1,0.0100487,0,0,0.00334956666667,"IRS4",0.631356,1.041326,0.532472,56,92,92,0.735051333333333,0.578282352452975
"Irx3","IRX3",20,0.876145,23,0.930612,17,0.784583,0.86378,"IRX3",0,0.034532,0,0,1,0,0.0115106666666667,1.84257078191958
"Irx4","IRX4",1,0.0169999,0,0,0,0,0.00566663333333,"IRX4",0,0,0,0,0,0,0,1.00566663333333
"Irx5","IRX5",1,0.00831685,2,0.0153633,1,0.00876199,0.0108140466667,"IRX5",0,0.117592,0.018707,0,3,1,0.045433,0.966885536104848
"Irx6","IRX6",19,0.442191,19,0.408418,12,0.294226,0.381611666667,"IRX6",0.077878,0.052906,0.068014,3,2,5,0.066266,1.29574765271236
"Isca2","ISCA2",585,49.4,635,49.5268,538,47.8628,48.9298666667,"ISCA2",28.953342,29.337065,27.697343,186,188,387,28.6625833333333,1.68326089827083
"Isg15","ISG15",62,7.17061,97,10.3617,75,9.13839,8.89023333333,"ISG15",3.799006,2.023402,2.562652,25,13,32,2.79502,2.60610835603765
"Isg20","ISG20",52,1.15745,74,1.52133,49,1.14905,1.27594333333,"ISG20",0.75106,0.459579,0.630543,6,4,8,0.613727333333333,1.41036424575445
"Isg20l2","ISG20L2",286,4.27936,277,3.82813,247,3.89362,4.00037,"ISG20L2",3.191249,3.305229,3.385443,122,125,251,3.29397366666667,1.16450877163429
"Isl1","ISL1",2466,33.5477,2632,33.0712,2223,31.8605,32.8264666667,"ISL1",2.556264,2.994236,2.527408,54,61,116,2.692636,9.16052019931019
"Isl2","ISL2",3195,66.0398,3496,66.7423,3153,68.6598,67.1473,"ISL2",0,0,0.027377,0,0,1,0.00912566666666667,67.5310342914014
"Islr","ISLR",675,2.18086,1049,3.13035,650,2.21249,2.5079,"ISLR",4.669936,5.101516,5.410211,128,132,277,5.06055433333333,0.578808440130037
"Islr2","ISLR2",174,3.36612,272,4.86009,172,3.50552,3.91057666667,"ISLR2",17.40959,14.619049,16.245959,639,666,1261,16.0915326666667,0.287310492419853
"Ism1","ISM1",91,0.175663,122,0.217517,74,0.150493,0.181224333333,"ISM1",1.33317,1.738887,1.69056,47,62,120,1.587539,0.456504938991451
"Ism2","ISM2",18,0.132607,26,0.176914,25,0.194034,0.167851666667,"ISM2",0,0.060176,0.030907,0,2,2,0.030361,1.13343931560589
"Isoc1","ISOC1",1834,13.6178,1939,13.2978,1609,12.5866,13.1674,"ISOC1",8.493903,7.947579,6.404626,345,360,567,7.61536933333333,1.64443327405426
"Isoc2a","ISOC2",403,3.15571,457,3.30524,337,2.78013,3.08036,"ISOC2",4.820523,4.396617,4.110074,143,128,233,4.44240466666667,0.749734767976949
"Ist1","IST1",2072,14.6605,2058,13.4493,1819,13.5593,13.8897,"IST1",20.746872,21.665908,22.482054,745,707,1585,21.6316113333333,0.657916035261239
"Isx","ISX",6,0.0457979,0,0,1,0.00804152,0.0179464733333,"ISX",0,0,0.090073,0,0,3,0.0300243333333333,0.988274199347361
"Isy1","ISY1-RAB43",528,3.34082,592,3.45968,463,3.08634,3.29561333333,"ISY1",25.235885,31.927381,38.559034,254,274,517,31.9074333333333,0.130536261817138
"Isy1","ISY1-RAB43",528,3.34082,592,3.45968,463,3.08634,3.29561333333,"ISY1-RAB43",25.235885,31.927381,38.559034,254,274,517,31.9074333333333,0.130536261817138
"Isy1","ISY1",528,3.34082,592,3.45968,463,3.08634,3.29561333333,"ISY1",25.235885,31.927381,38.559034,254,274,517,31.9074333333333,0.130536261817138
"Isy1","ISY1",528,3.34082,592,3.45968,463,3.08634,3.29561333333,"ISY1-RAB43",25.235885,31.927381,38.559034,254,274,517,31.9074333333333,0.130536261817138
