"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"Abcc2","ABCC2",5,0.0132546,2,0.00489691,1,0.00279281,0.00698144,"ABCC2",0.040083,0.193498,0.02102,1,2,3,0.084867,0.928207273333966
"Abcc3","ABCC3",49,0.153014,57,0.164401,62,0.203972,0.173795666667,"ABCC3",0.865018,0.524918,1.109957,24,29,63,0.833297666666667,0.640264637875864
"Abcc4","ABCC4",979,0.679779,989,0.634273,939,0.686902,0.666984666667,"ABCC4",2.296067,3.830219,3.108326,181,142,318,3.078204,0.408754605377024
"Abcc5","ABCC5",6994,11.4156,6910,10.4171,6254,10.7541,10.8622666667,"ABCC5",110.830973,104.684173,122.928453,2160,1694,4156,112.814533,0.104224534020625
"Abcc6","ABCC6",10,0.0247353,11,0.0251307,6,0.0156355,0.0218338333333,"ABCC6",0.333086,0.501555,0.344182,20,11,39,0.392941,0.733580125312773
"Abcc8","ABCC8",311,0.639245,322,0.611304,324,0.70161,0.650719666667,"ABCC8",10.666096,8.249144,8.684561,287,311,529,9.19993366666667,0.161836313902858
"Abcc9","ABCC9",102,0.13832,135,0.169089,103,0.147152,0.151520333333,"ABCC9",1.505095,1.407,1.404328,159,145,281,1.43880766666667,0.472165291700466
"Abcd1","ABCD1",366,2.58941,332,2.16947,324,2.41495,2.39127666667,"ABCD1",2.529592,3.068988,2.866758,117,140,256,2.82177933333333,0.887355436011568
"Abcd2","ABCD2",764,2.5818,867,2.7061,689,2.45298,2.58029333333,"ABCD2",21.283453,23.156367,20.092816,622,705,1081,21.5108786666667,0.159047249391983
"Abcd3","ABCD3",2309,6.33971,2291,5.80986,2118,6.12654,6.09203666667,"ABCD3",19.626549,21.477619,17.245859,868,925,1507,19.450009,0.34679870638052
"Abcd4","ABCD4",536,5.2158,553,4.97023,537,5.50522,5.23041666667,"ABCD4",4.217752,3.505705,4.803078,126,112,295,4.17551166666667,1.20382622394565
"Abce1","ABCE1",3754,20.6038,3987,20.2113,3518,20.342,20.3857,"ABCE1",21.503427,20.802145,20.297685,1111,1057,1987,20.8677523333333,0.97795601825074
"Abcf1","ABCF1",1730,20.7457,1826,20.2245,1763,22.273,21.0810666667,"ABCF1",40.428047,39.029551,41.36944,829,790,1519,40.2756793333333,0.534965554131239
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2-H2BE1",27.333851,29.129407,25.695858,950,991,1703,27.386372,1.04363460043432
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2",27.333851,29.129407,25.695858,950,991,1703,27.386372,1.04363460043432
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2-H2BE1",27.333851,29.129407,25.695858,950,991,1703,27.386372,1.04363460043432
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2",27.333851,29.129407,25.695858,950,991,1703,27.386372,1.04363460043432
"Abcf3","ABCF3",1658,20.0997,1764,19.7514,1555,19.86,19.9037,"ABCF3",159.209364,199.439207,142.427393,559,611,1090,167.025321333333,0.12440803465884
"Abcg1","ABCG1",1593,4.09935,1599,3.80051,1512,4.09916,3.99967333333,"ABCG1",17.234133,21.900282,17.293856,760,872,1413,18.8094236666667,0.2523886316664
"Abcg3","ABCG2",15,0.0488468,7,0.0210541,8,0.027446,0.0324489666667,"ABCG2",0.122027,0.099732,0.177677,5,4,13,0.133145333333333,0.911135523657483
"Abcg4","ABCG4",1301,13.0883,1303,12.1073,1252,13.2695,12.8217,"ABCG4",18.175001,19.529967,18.642398,523,573,967,18.7824553333333,0.698684757129744
"Abcg5","ABCG5",4,0.0250559,2,0.0115711,1,0.00659925,0.01440875,"ABCG5",0,0.05032,0,0,1,0,0.0167733333333333,0.997674424322694
"Abcg8","ABCG8",12,0.0775012,28,0.167024,7,0.0476287,0.0973846333333,"ABCG8",0,0.033475,0.016197,0,1,1,0.0165573333333333,1.07951081296608
"Abhd1","ABHD1",387,11.951,427,12.1792,372,12.1027,12.0776333333,"ABHD1",0.649996,1.096359,0.605726,11,18,18,0.784027,7.33040101595996
"Abhd10","ABHD10",1071,12.5636,1157,12.5358,989,12.2226,12.4406666667,"ABHD10",5.481654,8.077647,7.063356,175,170,331,6.874219,1.7069206059293
"Abhd11","ABHD11",473,24.2771,487,23.0865,430,23.2513,23.5383,"ABHD11",12.200609,15.392922,14.376886,125,184,313,13.990139,1.63696280601534
"Abhd12","ABHD12",4726,10.1526,5063,10.0459,4747,10.7436,10.3140333333,"ABHD12",214.078965,269.055709,213.160251,2243,2720,4516,232.098308333333,0.0485376037869859
"Abhd12b","ABHD12B",2,0.0104356,3,0.0144579,3,0.0164913,0.0137949333333,"ABHD12B",0.300642,0.156484,0.280401,3,4,14,0.245842333333333,0.813742562929954
"Abhd13","ABHD13",535,5.74689,566,5.61553,432,4.88885,5.41709,"ABHD13",7.469602,7.002554,6.878687,529,486,936,7.11694766666667,0.790579200892552
"Abhd14a","ABHD14A",570,11.5979,581,10.9189,552,11.8329,11.4499,"ABHD14A",16.426992,14.990829,17.540366,191,184,392,16.3193956666667,0.718841479207117
"Abhd14b","ABHD14B",506,14.3707,541,14.1912,507,15.1698,14.5772333333,"ABHD14B",6.531111,6.481165,6.057604,96,91,201,6.35662666666667,2.11744241472541
"Abhd15","ABHD15",4270,28.2174,4193,25.5923,3798,26.4416,26.7504333333,"ABHD15",0.408193,0.235118,0.41716,13,8,24,0.353490333333333,20.502867770734
"Abhd16a","ABHD16A",1791,20.2535,1984,20.7225,1609,19.1692,20.0484,"ABHD16A",33.736441,46.633195,43.466626,458,581,1041,41.278754,0.497848162696564
"Abhd16b","ABHD16B",3,0.262325,1,0.0807632,0,0,0.114362733333,"ABHD16B",0,0,0,0,0,0,0,1.114362733333
"Abhd17a","ABHD17A",1543,35.8085,1615,34.6169,1432,35.0113,35.1455666667,"ABHD17A",48.969577,55.61253,52.87584,576,687,1464,52.4859823333333,0.675795135283016
"Abhd17b","ABHD17B",1336,6.38953,1370,6.0517,1170,5.89511,6.11211333333,"ABHD17B",12.382332,13.22256,11.078788,355,356,570,12.2278933333333,0.537660317792856
"Abhd17c","ABHD17C",525,1.91558,552,1.86026,478,1.83743,1.87109,"ABHD17C",11.241835,11.476737,10.167859,301,306,539,10.9621436666667,0.240014672955357
"Abhd18","ABHD18",959,1.63263,905,1.42303,804,1.44202,1.49922666667,"ABHD18",6.383002,4.183919,5.919171,205,165,458,5.495364,0.384770840659584
"Abhd2","ABHD2",7430,12.4927,7511,11.6644,6700,11.8683,12.0084666667,"ABHD2",20.235638,20.449381,19.240001,1984,1970,3592,19.9750066666667,0.620188916906184
"Abhd3","ABHD3",538,1.29101,575,1.27441,531,1.34241,1.30261,"ABHD3",28.798305,30.230459,28.405586,531,495,845,29.1447833333333,0.0763850240533603
"Abhd4","ABHD4",2599,24.5221,2698,23.5119,2384,23.6974,23.9104666667,"ABHD4",21.836205,28.873125,24.957358,613,589,1078,25.2222293333333,0.949975166109701
"Abhd5","ABHD5",1118,5.80017,1136,5.44342,953,5.20878,5.48412333333,"ABHD5",13.155176,16.798542,15.037815,217,236,397,14.9971776666667,0.405329206716318
"Abhd6","ABHD6",696,2.0056,708,1.88435,682,2.07044,1.98679666667,"ABHD6",16.282993,17.496713,15.971516,434,469,835,16.5837406666667,0.16986127828489
"Abhd8","ABHD8",1833,40.9291,1869,38.5455,1711,40.2498,39.9081333333,"ABHD8",58.365576,67.703025,68.150222,1280,1640,3330,64.7396076666667,0.622275288601129
"Abi1","ABI1",2942,4.55855,2887,4.13167,2706,4.41729,4.36917,"ABI1",76.496327,89.115229,77.664616,1275,1244,2260,81.0920573333333,0.0654042568113329
"Abi2","ABI2",2196,4.76431,2094,4.19604,1939,4.4319,4.46408333333,"ABI2",68.821904,71.851773,63.329113,2703,2838,4925,68.00093,0.0791885462026381
