"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"Abcc5","ABCC5",6994,11.4156,6910,10.4171,6254,10.7541,10.8622666667,"ABCC5",198.841532,203.71343,188.884774,9456,2400,3630,197.146578666667,0.0598661190444039
"Abcc6","ABCC6",10,0.0247353,11,0.0251307,6,0.0156355,0.0218338333333,"ABCC6",0.085526,0.0381,0.217017,4,2,4,0.113547666666667,0.917638161276108
"Abcc8","ABCC8",311,0.639245,322,0.611304,324,0.70161,0.650719666667,"ABCC8",7.000264,4.430874,5.406411,502,87,201,5.61251633333333,0.249635627869199
"Abcc9","ABCC9",102,0.13832,135,0.169089,103,0.147152,0.151520333333,"ABCC9",0.457331,0.586749,0.748134,144,44,89,0.597404666666667,0.720869518765022
"Abcd1","ABCD1",366,2.58941,332,2.16947,324,2.41495,2.39127666667,"ABCD1",3.015163,2.892315,3.204815,439,97,175,3.037431,0.839959039961302
"Abcd2","ABCD2",764,2.5818,867,2.7061,689,2.45298,2.58029333333,"ABCD2",12.532056,12.875819,24.69632,1069,277,522,16.7013983333333,0.202260480551301
"Abcd3","ABCD3",2309,6.33971,2291,5.80986,2118,6.12654,6.09203666667,"ABCD3",23.050902,26.579739,25.839073,2983,814,1204,25.1565713333333,0.271137855810332
"Abcd4","ABCD4",536,5.2158,553,4.97023,537,5.50522,5.23041666667,"ABCD4",7.701302,7.200632,7.596608,671,162,279,7.499514,0.733032108267602
"Abce1","ABCE1",3754,20.6038,3987,20.2113,3518,20.342,20.3857,"ABCE1",34.359215,33.442045,35.396792,5248,1252,2130,34.3993506666667,0.60412690055746
"Abcf1","ABCF1",1730,20.7457,1826,20.2245,1763,22.273,21.0810666667,"ABCF1",48.874882,43.044373,42.180863,2775,693,1070,44.7000393333333,0.483173909449881
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2-H2BE1",34.216991,31.769168,33.397482,3604,812,1372,33.1278803333333,0.868058599322523
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2",34.216991,31.769168,33.397482,3604,812,1372,33.1278803333333,0.868058599322523
