"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"Kir3dl1","KIR2DS4",2,0.0190312,0,0,2,0.0200498,0.013027,"KIR2DL3",0,0,0,0,0,0,0,1.013027
"Kir3dl1","KIR2DS4",2,0.0190312,0,0,2,0.0200498,0.013027,"KIR2DL4",0,0,0,0,0,0,0,1.013027
"Kir3dl1","KIR2DS4",2,0.0190312,0,0,2,0.0200498,0.013027,"KIR3DL2",0,0,0,0,0,0,0,1.013027
"Kir3dl1","KIR2DS4",2,0.0190312,0,0,2,0.0200498,0.013027,"KIR2DL1",0,0,0,0,0,0,0,1.013027
"Kirrel","KIRREL1",827,1.33491,816,1.21655,777,1.32133,1.29093,"KIRREL1",3.451947,3.145175,3.450762,1092,241,412,3.34929466666667,0.52673598263136
"Kirrel2","KIRREL2",3,0.045843,2,0.0282278,1,0.0160989,0.0300565666667,"KIRREL2",0.007061,0.132314,0.017948,1,2,1,0.052441,0.978730937569612
"Kirrel3","KIRREL3",1544,0.435063,1659,0.431764,1578,0.468442,0.445089666667,"KIRREL3",9.604897,9.929571,9.687606,1354,338,529,9.74069133333333,0.134543449934384
"Kiss1","KISS1",1,0.0193359,0,0,0,0,0.0064453,"KISS1",0,0,0,0,0,0,0,1.0064453
"Kiss1r","KISS1R",106,3.10242,109,2.94657,78,2.4051,2.81803,"KISS1R",1.348083,0.912744,1.528895,160,28,65,1.26324066666667,1.68697481281266
"Kit","KIT",2640,5.00876,2728,4.78042,2170,4.33741,4.70886333333,"KIT",42.783876,46.478265,33.224886,3865,805,1425,40.829009,0.136480960697156
"Kitl","KITLG",2858,5.23179,2673,4.51941,2467,4.75774,4.83631333333,"KITLG",17.21384,17.223738,17.378003,3715,849,1421,17.2718603333333,0.319415386657856
"Kiz","KIZ",641,0.870923,693,0.86966,577,0.825927,0.855503333333,"KIZ",16.054038,16.346741,15.19087,847,219,326,15.863883,0.110028238059586
"Kl","KL",36,0.135583,45,0.156535,40,0.158711,0.150276333333,"KL",0.320779,0.349817,0.197365,68,18,17,0.289320333333333,0.89215713395223
"Klb","KLB",9,0.0391349,12,0.0481945,7,0.0320674,0.0397989333333,"KLB",0.040612,0,0.052009,6,0,3,0.0308736666666667,1.0086579635849
"Klc1","KLC1",33137,104.971,34563,101.126,29932,99.8932,101.996733333,"",5101.285292,6575.303049,5290.696753,49023,11430,19609,5655.761698,0.0182077200404987
"Klc1","KLC1",33137,104.971,34563,101.126,29932,99.8932,101.996733333,"KLC1",5101.285292,6575.303049,5290.696753,49023,11430,19609,5655.761698,0.0182077200404987
"Klc2","KLC2",6647,95.3929,7414,98.2738,6292,95.1312,96.2659666667,"KLC2",137.619667,127.631531,130.817095,11576,2540,4471,132.022764333333,0.73119790551764
"Klc3","KLC3",168,2.69705,177,2.62451,155,2.62154,2.6477,"KLC3",0.252809,0.322815,0.154162,17,5,4,0.243262,2.9339753004596
"Klc4","KLC4",809,8.15404,879,8.18292,748,7.94273,8.09323,"KLC4",12.19228,12.093744,12.082191,1161,279,452,12.1227383333333,0.692936928941279
"Klf1","KLF1",5,0.230691,4,0.170457,5,0.243038,0.214728666667,"KLF1",0.056827,0.158708,0,3,2,0,0.071845,1.1333062771828
"Klf10","KLF10",539,9.04994,573,8.886,426,7.53548,8.49047333333,"KLF10",9.126278,8.967874,11.206728,782,190,349,9.76696,0.881444096878785
"Klf11","KLF11",311,4.19156,343,4.26977,279,3.96154,4.14095666667,"KLF11",3.530487,2.176068,4.327824,421,89,166,3.344793,1.18324547721146
"Klf12","KLF12",372,0.139447,333,0.115294,330,0.130324,0.128355,"KLF12",4.830089,5.276483,4.242006,453,88,177,4.78285933333333,0.195120602968151
"Klf13","KLF13",2899,8.5599,3078,8.39429,2725,8.47678,8.47699,"KLF13",19.941091,18.365069,20.279975,4988,1095,1972,19.5287116666667,0.461645628516873
"Klf15","KLF15",230,2.81909,253,2.86415,226,2.91832,2.86718666667,"KLF15",3.964689,3.945205,3.830806,345,83,137,3.91356666666667,0.787042677756823
"Klf16","KLF16",392,5.96607,431,6.05863,363,5.8204,5.94836666667,"KLF16",6.435493,5.506897,5.820462,639,131,244,5.92095066666667,1.00396130550899
"Klf17","KLF17",3,0.0595965,4,0.0733929,1,0.0209287,0.0513060333333,"KLF17",0.020637,0,0,2,0,0,0.006879,1.04412350772367
"Klf2","KLF2",91,5.38263,114,6.22806,89,5.54609,5.71892666667,"KLF2",2.597263,2.119493,3.004615,140,27,74,2.57379033333333,1.88005619803755
"Klf3","KLF3",630,3.31306,664,3.22516,577,3.19675,3.24499,"KLF3",6.938084,6.475368,4.817109,865,240,388,6.07685366666667,0.599841426705587
"Klf4","KLF4",121,3.52748,179,4.81978,116,3.56271,3.96999,"KLF4",1.840019,1.610601,2.44462,174,47,100,1.96508,1.67617399867794
"Klf5","KLF5",599,5.68764,662,5.80575,586,5.86202,5.78513666667,"KLF5",8.64983,8.771463,7.013946,1095,274,361,8.14507966666667,0.74194396484062
"Klf6","KLF6",1806,31.4493,1884,30.3018,1474,27.0417,29.5976,"KLF6",15.184043,19.30792,16.888911,2142,625,913,17.126958,1.68796110191241
"Klf7","KLF7",11094,18.5476,11331,17.497,10050,17.7015,17.9153666667,"KLF7",52.263523,46.153848,50.811268,16175,3651,6180,49.7428796666667,0.37276888483579
"Klf8","KLF8",570,0.557578,603,0.544807,570,0.587421,0.563268666667,"KLF8",6.073096,6.247181,3.884297,800,155,290,5.40152466666667,0.244202552996021
"Klf9","KLF9",2820,16.2655,2799,14.9114,2904,17.6466,16.2745,"KLF9",25.152821,25.09359,27.469747,4433,1091,1987,25.905386,0.642046168748517
"Klhdc1","KLHDC1",285,1.01789,300,0.989631,294,1.10624,1.03792033333,"KLHDC1",6.705417,3.469724,7.208258,359,89,125,5.79446633333333,0.299938248767539
"Klhdc10","KLHDC10",2809,8.17794,2830,7.6098,2495,7.65256,7.81343333333,"KLHDC10",20.968037,27.415922,20.777021,3860,920,1515,23.05366,0.366407163538937
"Klhdc2","KLHDC2",3646,40.4007,4007,41.0096,3340,38.9908,40.1337,"KLHDC2",74.192899,73.883743,72.756578,5149,1252,2067,73.6110733333333,0.551308246380944
"Klhdc3","KLHDC3",1676,40.8689,1833,41.2834,1623,41.6947,41.2823333333,"KLHDC3",48.439037,43.838361,41.374274,2904,630,1012,44.5505573333333,0.928250625428864
"Klhdc4","KLHDC4",371,1.73144,386,1.66386,370,1.8192,1.73816666667,"KLHDC4",12.060978,12.177015,10.26259,612,149,213,11.5001943333333,0.219049927837389
"Klhdc7a","KLHDC7A",9,0.178927,8,0.146899,6,0.125669,0.150498333333,"KLHDC7A",0.026224,0.062389,0.059704,9,5,8,0.049439,1.0962984350048
"Klhdc7b","KLHDC7B",2,0.078567,0,0,2,0.0827721,0.0537797,"KLHDC7B",0.013894,0.072865,0,1,3,0,0.0289196666666667,1.02416129668691
"Klhdc8a","KLHDC8A",836,14.8597,1005,16.4992,791,14.8123,15.3904,"KLHDC8A",9.063868,8.339795,8.252352,1528,338,571,8.552005,1.7159119996273
"Klhdc8b","KLHDC8B",652,7.2563,775,7.96643,679,7.96125,7.72799333333,"KLHDC8B",32.62332,26.60047,53.690133,1223,269,478,37.6379743333333,0.225891586811275
"Klhdc9","KLHDC9",342,22.5591,397,24.1869,360,25.0174,23.9211333333,"KLHDC9",0.527938,0.560689,0.734387,31,8,17,0.607671333333333,15.5013856480408
"Klhl1","KLHL1",48,0.0178929,60,0.0206579,42,0.0164943,0.0183483666667,"KLHL1",0.20203,0.115638,0.110488,56,8,12,0.142718666666667,0.891162800059303
"Klhl10","KLHL10",13,0.133571,18,0.170818,20,0.216492,0.173627,"KLHL10",0.097964,0.207336,0.096677,4,4,3,0.133992333333333,1.03495144147065
"Klhl11","KLHL11",539,8.26004,610,8.63412,510,8.23394,8.37603333333,"KLHL11",8.973276,6.73302,9.131737,844,154,346,8.27934433333333,1.01041980947397
"Klhl12","KLHL12",1297,5.67251,1283,5.18271,1148,5.28958,5.3816,"KLHL12",13.811606,14.018149,14.550018,1826,465,772,14.126591,0.421879589393274
"Klhl13","KLHL13",632,0.67273,660,0.648877,555,0.622387,0.647998,"KLHL13",7.990033,6.897309,11.106701,722,181,342,8.664681,0.170517578386705
"Klhl14","KLHL14",7,0.0104125,11,0.0151128,5,0.00783559,0.0111202966667,"KLHL14",0.010822,0,0,2,0,0,0.00360733333333333,1.00748595898399
"Klhl15","KLHL15",347,1.24884,318,1.05706,260,0.985814,1.097238,"KLHL15",2.518723,1.754722,2.852592,543,103,201,2.37534566666667,0.621340214340516
"Klhl18","KLHL18",541,1.65392,599,1.69138,470,1.51377,1.61969,"KLHL18",5.355219,3.874345,4.782136,707,173,257,4.67056666666667,0.461980284157374
"Klhl2","KLHL2",1612,2.26745,1689,2.1943,1481,2.19468,2.21881,"KLHL2",42.839544,43.364914,38.414074,2373,626,880,41.5395106666667,0.0756663616848374
"Klhl20","KLHL20",1439,5.17759,1448,4.81205,1265,4.79514,4.92826,"KLHL20",15.147404,16.474954,14.249673,2171,532,755,15.290677,0.363905072821713
"Klhl21","KLHL21",858,14.9999,817,13.1922,728,13.4084,13.8668333333,"KLHL21",8.317472,8.682456,7.768006,1259,313,502,8.255978,1.60618719418953
"Klhl22","KLHL22",1171,5.38279,1250,5.30707,1073,5.1963,5.29538666667,"KLHL22",81.075822,102.8456,49.607686,1729,349,621,77.843036,0.0798470858817512
"Klhl22","AC007731.5",1171,5.38279,1250,5.30707,1073,5.1963,5.29538666667,"KLHL22",81.075822,102.8456,49.607686,1729,349,621,77.843036,0.0798470858817512
"Klhl23","KLHL23",174,1.83617,165,1.60821,134,1.48975,1.64471,"KLHL23",1.376826,1.515991,3.124494,222,54,101,2.00577033333333,0.879877604310198
"Klhl24","KLHL24",2203,10.7931,2124,9.61128,1740,8.98101,9.79513,"KLHL24",10.139514,9.256828,12.589921,2780,678,1078,10.6620876666667,0.925660165534113
"Klhl25","KLHL25",249,1.49667,289,1.60443,223,1.41213,1.50441,"KLHL25",4.248057,4.517949,4.955603,400,80,151,4.57386966666667,0.449312622965888
"Klhl26","KLHL26",1083,6.28379,1121,6.0075,1000,6.11276,6.13468333333,"KLHL26",11.539741,8.998992,11.205572,1416,270,550,10.581435,0.616044845334797
"Klhl28","KLHL28",1420,8.25394,1450,7.7846,1237,7.57507,7.87120333333,"KLHL28",8.149025,7.135915,8.932293,1978,453,804,8.072411,0.977822029153001
"Klhl29","KLHL29",2016,1.04926,1979,0.951336,1964,1.07691,1.02583533333,"KLHL29",9.408373,7.421437,8.248511,2340,482,817,8.35944033333333,0.216448341052515
"Klhl3","KLHL3",523,0.716044,486,0.614567,446,0.643305,0.657972,"KLHL3",1.978518,1.827686,1.958188,611,137,237,1.921464,0.56751409567258
"Klhl31","KLHL31",5,0.0328443,1,0.00606715,7,0.0484431,0.0291181833333,"KLHL31",0.022555,0,0.055926,6,0,6,0.0261603333333333,1.00288244429636
"Klhl32","KLHL32",1374,0.893894,1286,0.772743,1133,0.776557,0.814398,"KLHL32",2.559771,1.715014,2.17733,428,69,136,2.150705,0.575870479781509
"Klhl33","KLHL33",290,5.04264,280,4.4969,279,5.11103,4.88352333333,"KLHL33",1.944889,2.484118,2.105791,438,135,189,2.178266,1.85117398396799
"Klhl34","KLHL34",111,8.90346,139,10.2978,124,10.4786,9.89328666667,"KLHL34",2.765777,2.405583,3.282154,214,45,99,2.817838,2.85326058011629
"Klhl35","KLHL35",12,0.232262,17,0.303907,16,0.326258,0.287475666667,"KLHL35",0.401521,0.888503,0.55346,13,4,4,0.614494666666667,0.797448076632647
"Klhl36","KLHL36",65,0.684901,69,0.671519,68,0.754861,0.703760333333,"KLHL36",1.0843,1.109826,1.036234,96,24,32,1.07678666666667,0.82038293132323
"Klhl38","KLHL38",45,0.72777,40,0.597498,31,0.528186,0.617818,"KLHL38",0.54791,0.600347,0.489306,49,13,17,0.545854333333333,1.04655268295008
"Klhl4","KLHL4",36,0.0645979,41,0.0679508,37,0.0699458,0.0674981666667,"KLHL4",0.215377,0.51261,0.503102,30,18,26,0.410363,0.756896037875852
"Klhl40","KLHL40",17,0.424751,17,0.39231,16,0.421162,0.412741,"KLHL40",0.185915,0.170229,0.20626,18,4,8,0.187468,1.18970869109736
"Klhl41","KLHL41",9,0.0989924,13,0.132068,12,0.139054,0.123371466667,"KLHL41",0.12041,0.13004,0.599084,12,3,24,0.283178,0.87546035442238
"Klhl42","KLHL42",733,5.31627,778,5.21168,630,4.8138,5.11391666667,"KLHL42",4.431042,3.948873,4.409554,1144,239,427,4.26315633333333,1.1616445112885
"Klhl5","KLHL5",3792,9.70408,4068,9.61528,3531,9.5198,9.61305333333,"KLHL5",51.514469,51.852216,50.580518,5191,1316,1911,51.3157343333333,0.20286541837888
"Klhl6","KLHL6",24,0.101938,29,0.113767,46,0.205838,0.140514333333,"KLHL6",0.445527,0.435963,0.542011,27,7,12,0.474500333333333,0.773492082402378
"Klhl7","KLHL7",5824,15.0186,6081,14.4836,5166,14.0348,14.5123333333,"KLHL7",21.698627,21.405336,22.525781,2503,607,1014,21.8765813333333,0.678087914766227
"Klhl8","KLHL8",396,1.24704,384,1.11689,355,1.17776,1.18056333333,"KLHL8",3.72975,4.472459,3.920807,478,124,200,4.04100533333333,0.432565170862082
"Klhl9","KLHL9",3026,112.521,3220,110.59,2601,101.894,108.335,"KLHL9",26.381654,26.82327,26.03487,4382,1109,1728,26.4132646666667,3.98839763630731
"Klk1b4","KLK3",1,0.035928,0,0,1,0.037851,0.024593,"KLK1",0,0,0,0,0,0,0,1.024593
"Klk1b4","KLK2",1,0.035928,0,0,1,0.037851,0.024593,"KLK1",0,0,0,0,0,0,0,1.024593
"Klk4","KLK4",1,0.0334142,2,0.0617243,0,0,0.0317128333333,"KLK4",0.043819,0.090231,0,2,1,0,0.0446833333333333,0.987584275936855
"Klk5","KLK5",43,0.724567,46,0.715917,35,0.62133,0.687271333333,"KLK5",2.294723,1.464445,4.180692,92,16,28,2.64662,0.462694586585112
"Klk6","KLK6",1,0.0206066,0,0,1,0.0217095,0.0141053666667,"KLK6",0.038449,0.107218,0.066833,2,1,1,0.0708333333333333,0.947024466926101
"Klk7","KLK7",1,0.0306374,0,0,0,0,0.0102124666667,"KLK7",0,0,0.034582,0,0,1,0.0115273333333333,0.998700117512099
"Klk8","KLK8",24,0.596003,28,0.642229,31,0.811041,0.683091,"KLK8",1.912993,1.823098,1.429099,40,11,13,1.72173,0.618390141564373
"Klk9","KLK9",4,0.12756,2,0.0589088,3,0.100791,0.0957532666667,"",0.089581,0.147783,0,5,2,0,0.0791213333333333,1.01541247755893
"Klk9","KLK9",4,0.12756,2,0.0589088,3,0.100791,0.0957532666667,"KLK9",0.089581,0.147783,0,5,2,0,0.0791213333333333,1.01541247755893
"Klk9","AC011473.4",4,0.12756,2,0.0589088,3,0.100791,0.0957532666667,"",0.089581,0.147783,0,5,2,0,0.0791213333333333,1.01541247755893
"Klk9","AC011473.4",4,0.12756,2,0.0589088,3,0.100791,0.0957532666667,"KLK9",0.089581,0.147783,0,5,2,0,0.0791213333333333,1.01541247755893
"Klkb1","KLKB1",12,0.0661144,8,0.0407099,5,0.0290221,0.0452821333333,"KLKB1",0.047666,0.092084,0.119161,10,5,10,0.0863036666666667,0.962237508173712
"Klrd1","KLRD1",6,0.13315,6,0.122981,3,0.0701385,0.1087565,"KLRD1",0.078935,0,0,1,0,0,0.0263116666666667,1.08033118594579
"Klrg1","KLRG1",1,0.012632,7,0.0816703,1,0.0133081,0.0358701333333,"KLRG1",0.019239,0,0,1,0,0,0.006413,1.0292694284884
"Klrg2","KLRG2",89,1.19598,70,0.868816,59,0.835278,0.966691333333,"KLRG2",2.046494,2.167846,1.640117,125,34,51,1.95148566666667,0.666339449160914
"Klri1","AC068775.1",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC4",0,0,0,0,0,0,0,1.01753037
"Klri1","AC068775.1",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC1",0,0,0,0,0,0,0,1.01753037
"Klri1","AC068775.1",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC2",0,0,0,0,0,0,0,1.01753037
"Klri1","AC068775.1",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC4-KLRK1",0,0,0,0,0,0,0,1.01753037
"Klri1","AC068775.1",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"",0,0,0,0,0,0,0,1.01753037
"Klri1","AC068775.1",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC3",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC4-KLRK1",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC4",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC4-KLRK1",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC1",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC4-KLRK1",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC2",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC4-KLRK1",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC4-KLRK1",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC4-KLRK1",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC4-KLRK1",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC3",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC1",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC4",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC1",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC1",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC1",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC2",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC1",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC4-KLRK1",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC1",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC1",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC3",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC2",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC4",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC2",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC1",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC2",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC2",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC2",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC4-KLRK1",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC2",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC2",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC3",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC3",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC4",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC3",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC1",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC3",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC2",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC3",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC4-KLRK1",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC3",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC3",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC3",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC4",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC4",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC4",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC1",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC4",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC2",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC4",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC4-KLRK1",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC4",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"",0,0,0,0,0,0,0,1.01753037
"Klri1","KLRC4",2,0.0155871,4,0.0287933,1,0.00821071,0.01753037,"KLRC3",0,0,0,0,0,0,0,1.01753037
"Klrk1","KLRK1",1,0.0114613,7,0.0741015,3,0.0362243,0.0405957,"KLRK1",0.030099,0.202226,0.151236,2,3,3,0.127853666666667,0.922633609974816
"Kmo","KMO",20,0.0743766,33,0.113348,34,0.133208,0.106977533333,"KMO",0.357516,0.081117,0.148629,23,3,5,0.195754,0.925756914326024
"Kmt2a","KMT2A",3391,6.75263,3363,6.18539,3057,6.41335,6.45045666667,"",6.629968,5.635219,8.467386,4284,927,1837,6.91085766666667,0.94180137990137
"Kmt2a","KMT2A",3391,6.75263,3363,6.18539,3057,6.41335,6.45045666667,"KMT2A",6.629968,5.635219,8.467386,4284,927,1837,6.91085766666667,0.94180137990137
"Kmt2a","AP001267.5",3391,6.75263,3363,6.18539,3057,6.41335,6.45045666667,"",6.629968,5.635219,8.467386,4284,927,1837,6.91085766666667,0.94180137990137
"Kmt2a","AP001267.5",3391,6.75263,3363,6.18539,3057,6.41335,6.45045666667,"KMT2A",6.629968,5.635219,8.467386,4284,927,1837,6.91085766666667,0.94180137990137
"Kmt2b","KMT2B",1088,8.49904,1086,7.83548,1003,8.25441,8.19631,"KMT2B",12.207174,11.711502,13.951869,1612,360,647,12.623515,0.675032104416518
"Kmt2c","KMT2C",2613,1.78672,2513,1.5871,2345,1.68929,1.68770333333,"KMT2C",8.658965,9.600832,9.911109,3139,745,1339,9.390302,0.258674226536438
"Kmt2d","KMT2D",1991,7.8162,1868,6.77323,1754,7.25434,7.28125666667,"",9.8168,11.802619,9.968601,2956,696,1176,10.52934,0.718276732811245
"Kmt2d","KMT2D",1991,7.8162,1868,6.77323,1754,7.25434,7.28125666667,"KMT2D",9.8168,11.802619,9.968601,2956,696,1176,10.52934,0.718276732811245
"Kmt2e","KMT2E",1999,4.44535,2059,4.22906,1806,4.23111,4.30184,"KMT2E",23.083019,22.761475,24.548845,2015,471,921,23.4644463333333,0.216716124606349
"Kmt5a","KMT5A",2357,16.3469,2444,15.6557,2238,16.3524,16.1183333333,"KMT5A",54.756825,44.705984,42.49506,3356,668,1166,47.3192896666667,0.354275351549904
"Kmt5b","KMT5B",1082,3.30044,1169,3.29347,946,3.04004,3.21131666667,"KMT5B",12.311189,15.263214,14.066014,1381,333,615,13.880139,0.283015949425607
"Kmt5c","KMT5C",388,8.13799,353,6.83841,306,6.76162,7.24600666667,"KMT5C",11.261557,11.107986,14.550858,495,105,213,12.3068003333333,0.619683654981572
"Kncn","KNCN",10,0.302729,4,0.111843,4,0.127573,0.180715,"KNCN",0.068634,0.180155,0.064066,4,2,2,0.104285,1.06921220518254
"Kndc1","KNDC1",478,1.58383,520,1.5914,475,1.65813,1.61112,"KNDC1",2.998997,3.206461,3.615991,753,200,326,3.27381633333333,0.610957466663869
"Kng1","KNG1",10,0.0640989,6,0.0355219,2,0.0135059,0.0377089,"KNG1",0,0,0.036475,0,0,1,0.0121583333333333,1.025243646004
"Knl1","KNL1",18,0.0478523,20,0.0491084,12,0.033609,0.0435232333333,"KNL1",0.060458,0.068489,0.027756,20,4,4,0.0522343333333333,0.991721330768178
"Knop1","KNOP1",749,8.28416,753,7.6923,651,7.58563,7.85403,"KNOP1",15.439029,15.29441,17.148006,947,278,408,15.9604816666667,0.522038829675533
"Knstrn","KNSTRN",192,0.745842,203,0.728344,149,0.609784,0.694656666667,"KNSTRN",0.435974,0.82561,1.261009,41,17,19,0.840864333333333,0.920576620439167
"Kntc1","KNTC1",454,0.98034,495,0.987236,375,0.853093,0.940223,"KNTC1",2.65005,2.46703,3.398878,234,55,76,2.83865266666667,0.505443750315866
"Kpna1","KPNA1",16569,44.0488,18572,45.6028,16921,47.3923,45.6813,"KPNA1",44.867152,33.356889,46.286599,5477,1242,2122,41.5035466666667,1.09829187587797
"Kpna2","KPNA2",1103,15.6873,1093,14.3578,976,14.624,14.8897,"KPNA2",26.320203,17.74139,25.113935,1563,257,591,23.0585093333333,0.660460703522668
"Kpna3","KPNA3",2358,4.90173,2477,4.75583,2116,4.6341,4.76388666667,"KPNA3",20.316464,21.372412,21.76656,3368,886,1343,21.151812,0.260199331172998
"Kpna4","KPNA4",4046,10.4724,4262,10.1889,3630,9.89851,10.1866033333,"KPNA4",28.438737,26.945207,30.381741,5535,1220,2274,28.5885616666667,0.378071886674451
"Kpna6","KPNA6",2626,14.1579,2541,12.6533,2254,12.8028,13.2046666667,"KPNA6",19.324589,24.072526,21.991795,3716,926,1445,21.7963033333333,0.623112723979663
"Kpna7","KPNA7",197,0.304204,176,0.251019,151,0.245652,0.266958333333,"KPNA7",0,0,0,0,0,0,0,1.266958333333
"Kpnb1","KPNB1",6404,35.2868,6463,32.892,5734,33.2861,33.8216333333,"KPNB1",55.994792,62.722525,55.691263,9198,2122,3516,58.1361933333333,0.58883792429825
"Kptn","KPTN",223,4.54101,228,4.28823,194,4.16192,4.33038666667,"KPTN",5.268089,8.349082,8.046998,261,76,122,7.22138966666667,0.648355920688429
"Kras","KRAS",3028,14.0119,3192,13.6426,2796,13.6308,13.7617666667,"KRAS",30.590684,32.794839,32.562855,3732,989,1558,31.9827926666667,0.447559635592005
"Krba1","KRBA1",500,3.20733,523,3.09863,483,3.26411,3.19002333333,"KRBA1",6.185581,5.054416,4.125752,792,172,328,5.12191633333333,0.684430022428707
"Krcc1","KRCC1",486,5.52896,518,5.44292,406,4.86606,5.27931333333,"KRCC1",11.901787,12.594436,16.125595,532,160,261,13.540606,0.431846742379926
"Kremen1","KREMEN1",700,1.55194,753,1.54193,654,1.52756,1.54047666667,"KREMEN1",5.164922,4.666333,4.734914,1066,234,380,4.85538966666667,0.433869786861893
"Kremen2","KREMEN2",1,0.0334719,8,0.247323,10,0.352634,0.211142966667,"KREMEN2",0.199584,0.247436,0.227592,17,5,8,0.224870666666667,0.988792531021234
"Kri1","KRI1",651,6.96211,700,6.91437,619,6.9742,6.95022666667,"KRI1",17.780462,16.831089,19.064439,944,274,362,17.8919966666667,0.420825114832754
"Krit1","AC000120.4",1515,5.54828,1692,5.72323,1338,5.16233,5.47794666667,"",21.069335,24.418433,20.527926,2738,700,1044,22.0052313333333,0.281585808584494
"Krit1","AC000120.4",1515,5.54828,1692,5.72323,1338,5.16233,5.47794666667,"KRIT1",21.069335,24.418433,20.527926,2738,700,1044,22.0052313333333,0.281585808584494
"Krit1","KRIT1",1515,5.54828,1692,5.72323,1338,5.16233,5.47794666667,"",21.069335,24.418433,20.527926,2738,700,1044,22.0052313333333,0.281585808584494
"Krit1","KRIT1",1515,5.54828,1692,5.72323,1338,5.16233,5.47794666667,"KRIT1",21.069335,24.418433,20.527926,2738,700,1044,22.0052313333333,0.281585808584494
