"Hs_symbol","Heart","dHs_Avg_TPM","Spinal_cord","dHs_Avg__TPM","FoldChange"
"SSPN",24.92203,24.92203,18.68265,18.68265,1.31699898133635
"SSPO",0.06325,0.06325,14.86543,14.86543,0.0670167779883684
"SSR1",55.95439,55.95439,25.01365,25.01365,2.18940402442564
"SSR1P1",0,0,0,0,1
"SSR1P2",0,0,0,0,1
"SSR2",84.51984,84.51984,81.89954,81.89954,1.03160813678821
"SSR3",219.80726,219.80726,50.61695,50.61695,4.27780525583166
"SSR4",34.9794,34.9794,247.15722,247.15722,0.144986311500427
"SSR4P1",0.34157,0.34157,1.39654,1.39654,0.559794537124354
"SSRP1",37.64871,37.64871,26.93778,26.93778,1.38338515086023
"SSSCA1",4.36452,4.36452,39.22736,39.22736,0.133355010122464
"SST",0,0,222.42288,222.42288,0.00447581733795572
"SSTR1",0.35422,0.35422,1.05517,1.05517,0.658933324250549
"SSTR2",1.79641,1.79641,1.14827,1.14827,1.3017032309719
"SSTR3",0,0,0.40345,0.40345,0.712529837186932
"SSTR4",0,0,0,0,1
"SSTR5",0,0,0.06207,0.06207,0.941557524456957
"SSU72",95.37421,95.37421,81.18575,81.18575,1.17263893071487
"SSU72P1",0,0,0,0,1
"SSU72P2",0,0,0,0,1
"SSU72P3",0,0,0,0,1
"SSU72P4",0,0,0,0,1
"SSU72P5",0,0,0,0,1
"SSU72P6",0,0,0,0,1
"SSU72P7",0,0,0,0,1
"SSU72P8",0,0,0,0,1
"SSX1",0,0,0.15517,0.15517,0.865673450660942
"SSX10",0,0,0,0,1
"SSX2",0,0,0,0,1
"SSX2B",0,0,0,0,1
"SSX2IP",9.95616,9.95616,3.63101,3.63101,2.36582516556863
"SSX3",0,0,0,0,1
"SSX4",0,0,0,0,1
"SSX4B",0,0,0,0,1
"SSX5",0,0,0,0,1
"SSX6",0,0,0,0,1
"SSX7",0,0,0,0,1
"SSX8",0,0,0,0,1
"SSX9",0,0,0,0,1
"SSXP10",1.30303,1.30303,0,0,2.30303
"ST13",310.60189,310.60189,282.38116,282.38116,1.09958576639322
"ST13P10",0,0,0.52758,0.52758,0.654630199400359
"ST13P11",0.30362,0.30362,0,0,1.30362
"ST13P12",0,0,0,0,1
"ST13P13",0,0,0,0,1
"ST13P14",0,0,0,0,1
"ST13P15",0,0,0.24827,0.24827,0.801108734488532
"ST13P16",0,0,0,0,1
"ST13P18",0,0,0,0,1
"ST13P19",0,0,0,0,1
"ST13P2",0,0,0,0,1
"ST13P20",0.27832,0.27832,0,0,1.27832
"ST13P21",0,0,0,0,1
"ST13P3",0,0,0,0,1
"ST13P4",0,0,0,0,1
"ST13P5",0,0,1.05517,1.05517,0.486577752691991
"ST13P6",0.8476,0.8476,0,0,1.8476
"ST14",0.0253,0.0253,2.94826,2.94826,0.259684012704331
"ST18",0,0,108.3718,108.3718,0.00914312464456103
"ST20",9.12121,9.12121,9.89994,9.89994,0.928556487466903
"ST3GAL1",78.9029,78.9029,7.16892,7.16892,9.78132972290095
"ST3GAL2",2.13798,2.13798,6.82755,6.82755,0.400889167108482
"ST3GAL3",47.65548,47.65548,117.58899,117.58899,0.410286654772926
"ST3GAL4",53.32303,53.32303,150.73363,150.73363,0.358015754318934
"ST3GAL5",7.2995,7.2995,29.82397,29.82397,0.269254739087794
"ST3GAL6",88.88436,88.88436,15.17578,15.17578,5.55672493072977
"ST5",52.80435,52.80435,82.89263,82.89263,0.641347756054376
"ST6GAL1",48.50308,48.50308,58.03415,58.03415,0.838549890190678
"ST6GAL2",0.27832,0.27832,2.20344,2.20344,0.399046025522563
"ST6GALNAC1",2.63136,2.63136,9.40339,9.40339,0.34905545211705
"ST6GALNAC2",16.80023,16.80023,15.14474,15.14474,1.10254051784049
"ST6GALNAC3",5.16152,5.16152,44.87561,44.87561,0.134309276759481
"ST6GALNAC4",1.55605,1.55605,16.78956,16.78956,0.143682586865555
"ST6GALNAC4P1",0.25302,0.25302,0.58965,0.58965,0.788236404239927
"ST6GALNAC5",0.60724,0.60724,1.39654,1.39654,0.670650187353435
"ST6GALNAC6",23.75816,23.75816,61.41689,61.41689,0.396658019968633
"ST7",47.63018,47.63018,32.9274,32.9274,1.43336005706302
"ST7-AS1",1.20182,1.20182,0.55862,0.55862,1.41267274897024
"ST7-AS2",0.25302,0.25302,0,0,1.25302
"ST7-OT4",2.25184,2.25184,3.28964,3.28964,0.758068276125735
"ST7L",26.76905,26.76905,8.19306,8.19306,3.02065362349424
"ST8SIA1",1.6952,1.6952,15.51715,15.51715,0.163175850555332
"ST8SIA2",5.47779,5.47779,0.0931,0.0931,5.92607263745311
"ST8SIA3",0,0,15.48612,15.48612,0.0606570860821103
"ST8SIA4",1.83436,1.83436,5.05859,5.05859,0.467825021993566
