"Hs_symbol","Heart","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"PSMD4",151.88523,151.88523,427.62848,427.62848,0.356684721463212
"PSMD4P1",0.08856,0.08856,0.01045,0.01045,1.07730219209263
"PSMD5",20.05148,20.05148,11.40524,11.40524,1.69698288787641
"PSMD6",167.53425,167.53425,150.23343,150.23343,1.1143981195163
"PSMD7",180.12177,180.12177,142.41389,142.41389,1.26293045952522
"PSMD7P1",0,0,0,0,1
"PSMD8",198.50335,198.50335,358.30846,358.30846,0.555242562337664
"PSMD9",26.66784,26.66784,87.5203,87.5203,0.312559266066654
"PSME1",161.8161,161.8161,183.49784,183.49784,0.882482418222349
"PSME2",245.00761,245.00761,167.04335,167.04335,1.46395325967972
"PSME2P2",0,0,0.04182,0.04182,0.959858708798065
"PSME3",90.66812,90.66812,50.3984,50.3984,1.78348197609264
"PSME4",91.22476,91.22476,22.45504,22.45504,3.93198050397697
"PSMF1",82.92585,82.92585,127.72612,127.72612,0.651972187152072
"PSMG1",57.7761,57.7761,48.5376,48.5376,1.18649470301347
"PSMG2",10.42424,10.42424,11.39478,11.39478,0.921697682411467
"PSMG3",9.39953,9.39953,108.79405,108.79405,0.0947185207212959
"PSMG4",9.6905,9.6905,43.90651,43.90651,0.23806125214362
"PSORS1C1",2.89703,2.89703,0.97222,0.97222,1.97596109967448
"PSORS1C2",0,0,0.04182,0.04182,0.959858708798065
"PSPC1",36.49749,36.49749,30.2014,30.2014,1.20178870178902
"PSPC1P1",0.16446,0.16446,0.08363,0.08363,1.07459188099259
"PSPC1P2",0,0,0,0,1
"PSPH",10.47484,10.47484,18.7439,18.7439,0.581184061912793
"PSPHP1",0,0,10.73619,10.73619,0.0852065278425111
"PSPN",0,0,0.87813,0.87813,0.532444505971365
"PSRC1",1.78376,1.78376,8.41541,8.41541,0.295659987191211
"PSTK",4.8832,4.8832,14.24871,14.24871,0.385816242816605
"PSTPIP1",0.37952,0.37952,14.30098,14.30098,0.0901589309965767
"PSTPIP2",5.7055,5.7055,3.12573,3.12573,1.62528813082776
"PTAFR",0.60724,0.60724,5.42559,5.42559,0.250131116364412
"PTAR1",12.63813,12.63813,5.53013,5.53013,2.08849287839599
"PTBP1",28.66666,28.66666,42.70431,42.70431,0.678803989812446
"PTBP1P",0,0,0.01045,0.01045,0.989658073135732
"PTBP2",26.35157,26.35157,13.20331,13.20331,1.92571801925044
"PTBP3",11.23389,11.23389,9.66989,9.66989,1.14658070514316
"PTCD1",2.69462,2.69462,7.02504,7.02504,0.460386490285407
