"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg__TPM","FoldChange"
"SNED1",0.348225,0.103195,0.182111,25,18,6,0.788573333333333,1.353733,3.115455,0.274469,23,38,26,1.72273366666667,0.656903521350662
"SNF8",88.495684,71.63441,62.584072,695,668,546,0.224163333333333,86.100726,84.86527,93.91809,762,626,743,4.31076533333333,0.230506011186335
"SNHG1",65.846323,58.273673,48.79758,433,442,366,0,138.309499,115.721729,146.352544,738,598,697,0,1
"SNHG11",6.172675,4.101099,4.483659,125,86,79,1.385733,8.08753,6.996651,7.228901,148,110,99,0.218148333333333,1.9584913714668
"SNHG12",4.127806,5.689669,5.265656,70,67,55,0,20.184159,16.23875,24.566094,201,152,199,0,1
"SNHG15",8.70249,8.430525,7.54748,81,97,77,0.711814666666667,22.965343,31.64526,29.248666,217,233,215,1.17922666666667,0.785514739173529
"SNHG16",24.431201,27.469836,22.3644,1040,1190,989,0,39.612894,30.805124,39.100253,1068,692,967,0,1
"SNHG17",9.483473,11.359203,15.565533,221,193,177,0,14.552181,16.765619,16.433874,269,189,235,0,1
"SNHG18",22.137898,19.702673,15.897686,153,149,122,3.363591,17.937562,16.177801,13.47328,137,111,120,1.64006833333333,1.65283259713606
"SNHG19",20.549965,12.024479,10.770046,45,25,22,0,35.56379,17.644878,30.018783,55,22,41,0,1
"SNHG20",5.011164,4.238998,2.764716,113,97,59,0.00719766666666667,8.674725,6.621917,8.07112,138,93,120,0.020906,0.986572384398433
"SNHG21",1.468372,1.42396,2.2712,15,12,21,0.626239,3.837248,4.572313,2.713755,26,26,15,2.99935733333333,0.406625081096363
"SNHG25",65.292198,33.834227,11.38198,6,3,2,0,61.582397,18.808519,51.463019,6,2,6,0,1
"SNHG26",0.105693,0.184042,0.139997,3,2,4,0.0150513333333333,0.762911,1.276372,1.415073,10,23,18,0.137762,0.892147332511838
"SNHG27",0.323965,0.065301,0.032183,5,1,0,0,0.765149,0.590947,0.431661,11,6,5,0.042161,0.959544638496355
"SNHG28",0.107532,0.291462,0.013284,19,8,2,0,0.102634,0.469716,0.426443,13,19,20,0,1
"SNHG29",125.463191,124.996057,116.301811,1821,1724,1654,0,374.090111,312.050218,393.053467,3866,2586,3586,0.178593333333333,0.848469078958532
"SNHG3",2.7333,20.435672,2.559417,135,168,119,128.025719,32.860879,10.070134,9.581194,351,277,288,75.1761046666667,1.69378205363209
"SNHG31",0.214425,0,0.08369,7,0,3,0,0.43417,0.576534,0.212063,13,14,6,0.014419,0.985785952353022
"SNHG32",33.428917,34.21718,32.337487,430,380,346,24.0886386666667,127.571896,119.611754,131.736092,1040,753,933,114.998345,0.216284453598598
"SNHG5",214.906236,246.087805,285.927199,497,480,402,0,515.056501,467.156258,585.078263,821,626,746,0.0567623333333333,0.946286566484359
"SNHG6",40.24407,117.27567,44.933617,172,254,167,0.193886666666667,173.348528,196.111868,200.095262,271,243,284,0.859122,0.642177687460353
"SNHG7",11.144503,12.296506,10.962735,223,224,203,0.128039666666667,23.606668,19.291612,21.337476,319,209,261,0.364771,0.826541351381782
"SNHG8",42.806609,33.437136,37.117121,109,98,92,5.830958,217.451713,195.898302,221.167105,418,336,397,88.3857423333333,0.0764211139459613
"SNHG9",94.823172,109.750554,117.207053,83,83,92,1.80851233333333,68.112853,59.472718,70.696672,38,27,34,2.12712866666667,0.898112176601624
"SNIP1",2.420954,1.841489,2.047234,127,136,106,9.67919866666667,3.135467,3.050257,2.961282,185,133,151,51.060538,0.205130393901551
"SNN",4.887836,3.852193,3.571851,348,261,240,0,14.798293,13.784077,15.348751,742,558,679,0,1
"SNORA1",0,9.02246,0,0,1,0,0,0,40.331354,24.480917,0,3,2,0,1
"SNORA10",23.539555,42.554772,26.387584,3,5,3,8.80106666666667,54.604188,54.430635,14.719442,5,4,1,14.289371,0.641037925410186
"SNORA10B",0,0,0,0,0,0,0,0,0,14.719442,0,0,1,0.016644,0.983628487454802
"SNORA11",26.116879,27.067381,27.316752,3,3,3,0.00903633333333333,84.797094,75.234075,82.34083,7,5,6,0.014724,0.994394863365145
"SNORA11B",0,0,0,0,0,0,0.105161333333333,0,15.046815,0,0,1,0,0.412437,0.78245000189979
"SNORA11C",0,0,0,0,0,0,2.11484566666667,0,0,0,0,0,0,15.304568,0.191041287734006
"SNORA11E",0,0,9.105584,0,0,1,1.99266466666667,138.274868,69.464244,116.463919,11,5,8,4.94477833333333,0.503410640206097
"SNORA11F",17.411253,36.089842,9.105584,2,4,1,5.69624033333333,24.227741,45.140445,41.170415,2,3,3,11.41498,0.539367790631425
"SNORA11G",8.705626,0,0,1,0,0,0.496521666666667,19.648065,56.190498,75.964664,2,4,6,0.151827,1.29925906118425
"SNORA12",0,0,0,0,0,0,5.86884833333333,0,0,0,0,0,0,15.3613696666667,0.419821107479001
"SNORA13",8.705626,9.02246,0,1,1,0,0.0553203333333333,0,0,41.170415,0,0,3,0.300720666666667,0.811335100900475
"SNORA14A",0,0,0,0,0,0,4.49239466666667,0,0,0,0,0,0,6.527006,0.729691814602867
"SNORA14B",17.411253,0,0,2,0,0,0,12.113871,30.09363,27.446943,1,2,2,0,1
