"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg__TPM","FoldChange"
"CEPT1",3.421827,3.406737,2.777437,107,125,95,38.189809,10.664596,11.055132,12.425177,299,272,307,45.9527786666667,0.834664318340379
"CER1",0.133774,0,0,3,0,0,0.741832,0.12332,0.30495,0.20845,2,4,3,1.414577,0.721381840380323
"CERCAM",5.918447,7.356136,4.181481,258,222,182,0.541816333333333,51.960809,42.353233,46.754825,1003,763,920,2.12840533333333,0.492844171087804
"CERK",13.497628,8.800753,8.881748,1044,798,682,13.4042536666667,14.47509,11.748715,11.788127,578,536,542,17.801937,0.766104772432046
"CERKL",0.085802,0.022576,0,0,1,0,0.0219133333333333,0.402215,0.293462,0.241321,8,2,4,0.105523,0.924370938762317
"CERNA2",0.029101,0.033079,0.088061,1,1,3,0,0.185816,0.271024,0.263499,5,6,6,0.0950516666666667,0.913198920598876
"CERNA3",0,0,0,0,0,0,30.184412,0,0,0,0,0,0,63.6784466666667,0.482145345275763
"CERS2",141.665041,113.776864,82.45019,897,867,715,0,226.447257,258.255754,246.832315,1098,952,1042,0.048465,0.953775281006042
"CERS3",0,0,0,0,0,0,0,0.016909,0,0.01913,1,0,1,0.0104473333333333,0.989660684937562
"CERS4",17.677136,11.339226,14.30931,356,319,266,0.15911,8.956571,7.69339,13.720352,148,101,172,2.43041033333333,0.337892522284263
"CERS5",21.773452,24.335563,23.248834,309,326,294,0.010912,137.642816,121.547331,133.893196,1112,787,1027,0,1.010912
"CERS6",6.439153,5.296273,3.89675,831,726,522,0.018467,10.369779,10.093235,9.9706,1101,863,949,0.0307466666666667,0.988086629757069
"CERS6.AS1",0.929041,0.903568,0.108832,6,4,1,5.257777,0.529699,0.895644,0.965221,4,2,3,9.53992966666667,0.593720944817184
"CERT1",8.76752,2.730829,7.698847,312,249,208,2.26386766666667,19.711181,19.674559,25.78475,676,545,637,7.76571033333333,0.372344914736136
"CES1",0.429355,0.355798,0.173517,4,4,5,0,0.20491,0.737744,0,1,4,0,0.200283333333333,0.833136620520155
"CES1P1",0,0,0,0,0,0,1.26180633333333,0,0,0,0,0,0,0.083354,2.08778140232402
"CES2",22.302351,17.185619,12.550961,653,427,355,2.707864,31.568655,23.201725,30.316508,461,292,374,3.86018433333333,0.762906043412757
"CES3",0.498009,0.145919,0.268766,24,12,18,80.135337,3.028771,2.353073,4.267821,98,63,81,65.2966496666667,1.22382258240712
"CES4A",3.925323,3.363496,3.239829,125,114,77,0,9.484968,6.857849,10.21246,225,125,194,0,1
"CES5A",0,0,0,0,0,0,0.206686333333333,0.183635,0,0.20756,3,0,4,1.892673,0.417152693489148
"CETN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CETN2",17.565255,15.746498,13.150314,447,411,333,20.982194,14.806354,18.701753,14.98649,282,287,255,4.34954033333333,4.10917436457625
"CETN3",12.075444,14.029139,9.94395,97,119,82,32.3164466666667,8.513285,13.829186,9.063817,63,78,63,30.8707436666667,1.04536144544101
"CETP",0.912311,0.810339,0.969935,31,25,29,141.341867333333,0.05223,0.0561,0.044265,1,1,1,66.834306,2.09837581788385
"CFAP100",0.382783,0.404008,0.108523,3,2,1,19.284979,0,0,1.087196,0,0,4,22.740056,0.854462137747274
"CFAP126",1.880275,0.690957,0.864869,23,8,10,7.52806466666667,4.531559,6.063803,4.208845,39,42,32,26.9572933333333,0.305038995191237
"CFAP157",0.400492,1.110703,0.03589,15,14,2,16.36089,1.428347,1.070791,2.141961,27,28,19,8.330135,1.86073299046584
"CFAP161",0,0.068247,0,0,2,0,6.60383733333333,0,0,0,0,0,0,1.48981366666667,3.0539784704103
"CFAP20",113.994239,113.118731,108.60094,659,574,522,2.19255866666667,200.005053,225.250632,249.956501,899,770,869,45.279282,0.0689846196547878
"CFAP206",0.215777,0.309729,0.085843,9,13,4,0.854497333333333,0.41755,0.310863,0.829424,14,8,14,6.014021,0.26439860008023
"CFAP221",4.673319,3.409457,2.676305,88,51,47,1.158361,0.763151,0.270491,0.615588,9,7,6,18.6273593333333,0.109966958027534
"CFAP298",11.266853,9.177689,7.494925,226,180,143,3.74457933333333,11.449145,13.231364,15.076219,215,175,199,2.17972933333333,1.49213308302552
"CFAP299",5.035627,1.464148,13.174119,21,16,21,17.5955146666667,0,0.324337,4.90124,0,1,1,59.8704866666667,0.305493116368491
"CFAP300",0.057795,0.337723,0.173624,2,5,2,0.256884666666667,0.349515,1.504682,0.116259,3,7,1,0.256387666666667,1.00039557854091
"CFAP36",8.861498,6.046626,7.627569,116,122,106,0.255459,22.403924,22.840663,30.071768,274,214,272,4.07818666666667,0.247225847021509
"CFAP410",7.292538,6.161401,5.113102,207,145,127,0.690127333333333,15.711964,11.514026,13.513427,331,246,285,0.901743666666667,0.888725101577833
"CFAP43",0.113351,0.180449,0,4,2,0,0,0.383403,0.489593,1.50932,10,13,22,0.917490333333333,0.521515015025717
"CFAP44",3.600073,1.396916,6.335899,57,44,34,9.26133533333333,7.259898,10.728033,8.904187,373,363,308,13.235091,0.720847891547257
"CFAP44.AS1",0,0.106055,0,0,1,0,2.17487,0,0.306846,0,0,3,0,9.8192,0.293447759538598
"CFAP45",0.230659,0,0,3,0,0,93.764736,0.213043,0.999572,0.584655,2,7,4,93.1935956666667,1.00606347309805
"CFAP46",0.332457,0.336631,0.291604,9,8,10,0.073683,1.125695,1.362895,0.576253,24,14,17,0.311660666666667,0.818567657996911
"CFAP47",0,0,0,0,0,0,842.599736666667,0.02537,0.184588,0.04277,4,4,2,36.4612673333333,22.5192524630907
"CFAP52",0,0.180449,0,0,1,0,0.0191696666666667,0.177645,0,0,1,0,0,3.92924733333333,0.206759693264868
"CFAP53",0.169071,0.199144,0,6,7,0,145.841844333333,0.387314,0.432453,0.348221,10,9,8,203.446858,0.718239672498823
"CFAP54",0.702308,0.534023,0.476929,35,25,24,109.315518,1.077796,1.280583,1.584559,44,44,40,113.089149333333,0.966923836706785
"CFAP57",0.045414,0.023674,0.011938,4,2,1,1.42877633333333,0.047993,0.313398,0.548939,3,3,3,3.08004066666667,0.5952823836233
"CFAP58",0.963931,0.802914,1.258319,63,52,62,0.437487666666667,0.020516,0.127308,0.023091,1,5,1,1.66787133333333,0.538814465565181
"CFAP61",0.580396,0.033487,0.182112,4,1,2,4.50297066666667,0.309358,0.995216,0.412258,4,5,3,28.1657196666667,0.188679406150776
"CFAP65",0,0,0,0,0,0,34.8344626666667,0.130036,0,0.037077,4,0,1,97.5654906666667,0.363559927762682
"CFAP69",0.721785,0.541347,0.471157,17,14,14,8.30499166666667,0.581125,0.725992,1.397009,31,25,21,20.552969,0.431726676109759
"CFAP70",1.238646,1.260631,0.78943,60,51,38,16.7675443333333,2.312614,1.501462,1.887365,103,65,63,24.512336,0.696429536414593
"CFAP73",0.031667,0.035465,0,1,1,0,0.136905666666667,0.049124,0.252958,0.116891,1,4,2,148.16507,0.00762179554949873
"CFAP74",0.080115,0.288885,0.079959,4,5,7,16.4034873333333,1.415414,0.318545,0.716476,9,10,13,31.4897013333333,0.535661659514178
"CFAP77",0.063914,0.056864,0,1,2,0,5.363471,0.04328,0.142812,0,1,3,0,8.450927,0.673317125399445
"CFAP97",2.852492,1.480936,1.324443,141,108,98,0.0974966666666667,4.605526,5.468295,4.50864,302,239,274,0.220067333333333,0.899537785073064
"CFAP97D1",0.078105,0.026524,0.091961,6,2,7,0,0.128724,0.118858,0.040675,7,6,2,0,1
"CFAP97D2",0,0,0,0,0,0,26.9626463333333,0,0,0,0,0,0,12.4346306666667,2.08138556445119
"CFAP99",0.187324,0,0,1,0,0,0.207440666666667,0.548139,0,0,2,0,0,2.559412,0.339224755849187
"CFB",0.166218,0.253655,0.140529,2,2,2,0.00791033333333333,1.628761,0.54178,0.482244,14,3,3,0.122070666666667,0.898259230256442
"CFC1",0.094086,0.137559,0.150368,3,4,4,5.34043666666667,0.098985,0,0,2,0,0,7.83136133333333,0.717945560978821
"CFC1B",0.131063,0.000912,0.037913,4,0,1,0,0.003014,0,0,0,0,0,0.0610083333333333,0.942499666198035
"CFD",0.426965,0.198408,0.160524,10,4,3,9.652064,1.099874,1.013998,1.430475,16,11,17,22.9117546666667,0.445473958247369
"CFDP1",27.977934,27.697913,30.661256,306,316,291,0.489504333333333,42.670921,56.7503,45.341132,356,358,326,0.475466,1.00951450818476
"CFH",0.092917,0.062735,0.012205,4,8,1,0,2.307461,7.17558,1.705276,133,286,71,7.58693566666667,0.116455979038234
"CFHR1",0.335106,0.325628,0.457032,2,1,2,14.90302,0,1.009709,0.475944,0,2,1,24.535539,0.622779883361773
"CFHR2",0,0,0.050202,0,0,1,0.925897666666667,0.05889,0,0,1,0,0,4.285327,0.36438571665796
"CFHR3",0.046096,0.041189,0,2,2,0,5.727587,0.086163,0.029745,0.05851,3,1,1,21.7058163333333,0.296293553212775
"CFHR4",0,0,0,0,0,0,3.90048233333333,0.03404,0,0,1,0,0,2.584555,1.3671103758579
"CFHR5",0,0,0,0,0,0,15.776291,0,0,0,0,0,0,33.3751566666667,0.488035332105638
"CFI",0.023929,0.026572,0.04066,1,1,1,15.7418993333333,0.030481,0.13673,0.251159,1,3,2,16.1664183333333,0.975270380124916
"CFL1",287.735968,274.535414,231.833786,4356,4329,3723,28.0534183333333,478.952807,532.71392,491.093811,4898,4428,4524,189.281553333333,0.152686468154051
"CFL1P1",1.953113,0.386433,0.485858,18,6,3,0.0690976666666667,2.895677,5.385739,3.775642,20,25,21,0.280219666666667,0.835089238591606
"CFL2",99.028832,98.443307,74.506674,1427,1818,1211,3.80464333333333,15.688227,19.832571,15.104398,260,248,232,19.5566743333333,0.233726684356839
"CFLAR",38.212503,20.910488,17.882163,1806,1299,1023,21.397964,13.919479,19.559975,13.321346,1059,943,880,180.73549,0.123244854375994
"CFLAR.AS1",0.592146,0.496551,0.622525,5,4,5,20.4352233333333,1.337819,1.91047,1.272356,6,10,6,14.3846216666667,1.39328894774035
"CFP",0.037779,0.027003,0.188449,3,2,6,39.8559976666667,1.305618,1.002236,1.568681,45,25,38,47.2563196666667,0.846645536768694
"CFTR",0.705386,0.440068,0.139646,5,4,3,0.331582,7.783435,2.571762,6.546843,20,13,13,6.484807,0.17790465405454
"CFTR.AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CGA",0.117684,0,0,1,0,0,4.26194466666667,0.182567,0,0.188555,1,0,1,7.66962666666667,0.606940168127194
"CGAS",0.168051,0,0.034675,6,0,2,0.097045,0.338859,0.602274,0.433127,16,22,17,0.0706156666666667,1.02468610740175
"CGB1",0,0,0,0,0,0,10.207851,0,0,0,0,0,0,23.320723,0.460835436512311
"CGB2",0,0,0,0,0,0,3.88416,0,0,0,0,0,0,11.086122,0.404113081102441
"CGB3",0,0,0,0,0,0,11.397175,0,0.186908,0,0,2,0,9.287453,1.20507719452035
"CGB5",0,0.16009,0,0,2,0,5.69993366666667,0.128914,0.011009,0,1,0,0,9.21441433333333,0.655929302260861
"CGB7",0.761707,0.952137,0.960826,28,32,19,2.12793333333333,0.044865,0.112726,0.042648,2,5,1,5.543918,0.477990912070312
"CGB8",0,0,0,0,0,0,2.27195933333333,1e-06,0,0,0,0,0,7.11338,0.40327943881999
"CGGBP1",13.755888,6.888058,5.780795,423,376,295,0.246190666666667,14.845533,19.058735,14.131266,804,871,704,0.2027,1.03616086028658
"CGN",0.930368,0.049888,0.050427,5,4,3,11.8877183333333,3.020154,3.071455,3.390194,67,41,71,12.9033316666667,0.926951801360801
"CGNL1",10.793507,8.618206,6.347346,1623,1216,892,0,0.508491,1.564705,0.476631,39,146,39,2.41857033333333,0.292519943278433
"CGREF1",0.137992,0.131635,0.14545,3,3,2,6.05402433333333,10.988755,8.644293,13.990702,211,104,190,11.1851076666667,0.57890537583268
"CGRRF1",7.885524,7.584691,5.63195,62,71,52,0.757298666666667,10.201545,10.890892,10.709037,115,105,111,0.0680506666666667,1.6453326808466
"CH17.340M24.3",4.520899,2.698993,4.806682,37,21,37,0.0862333333333333,2.927604,2.548637,2.530572,17,12,13,0.361755333333333,0.797671436817089
"CH25H",0,0,0,0,0,0,15.0874843333333,0,0,0.048109,0,0,1,43.8201556666667,0.358934146792752
"CH507.42P11.6",0.011186,0,0,1,0,0,0.440808,0.286055,0.330908,0.209737,13,13,8,0.900537666666667,0.758105469452241
"CHAC1",0.550652,0.510312,1.031815,17,13,18,0,2.177254,2.694204,2.366768,37,34,29,0.198724333333333,0.834220155704411
"CHAC2",0.946336,1.093897,0.706788,14,18,12,0.926230333333333,1.002765,1.15236,0.72964,16,15,10,34.9081546666667,0.0536432560017194
"CHAD",0.606994,0.253795,0.128224,22,7,2,37.1355196666667,19.871523,15.042243,18.425388,384,216,338,20.074634,1.80954600049836
"CHADL",1.607896,1.164686,0.369645,30,16,18,0.254219,8.349515,2.978255,10.166565,139,48,151,0.295856666666667,0.967868617156733
"CHAF1A",7.83446,6.017787,3.743175,286,207,162,5.49485533333333,5.392415,8.217931,7.192183,124,167,131,1.27326833333333,2.85705617682617
"CHAF1B",1.934505,1.761736,0.946462,110,88,78,0.483961333333333,0.838765,1.184608,0.651137,44,57,34,4.685472,0.26100934686396
"CHAMP1",4.924656,3.390062,2.039598,179,174,118,78.3844803333333,12.203136,10.467835,13.148352,706,489,647,55.091252,1.41527381726714
"CHAT",0.051817,0.113973,0,2,3,0,27.1023563333333,0.099212,0.126575,0.133291,5,5,4,25.1422583333333,1.07497814362506
"CHCHD1",18.668195,18.898008,16.809639,262,264,230,52.133796,14.798407,15.377393,16.327318,161,134,157,17.5075223333333,2.87092972484503
"CHCHD10",377.869147,393.590614,348.383939,1453,1362,1208,51.4496503333333,22.096798,18.950732,19.822793,56,39,46,10.3492303333333,4.62142795527603
"CHCHD2",94.382337,102.319096,84.592775,1226,1270,1047,7.40718333333333,88.473078,95.037906,96.069803,801,687,758,16.5907866666667,0.477931060881113
"CHCHD3",43.84767,32.275313,35.283576,909,832,795,9.419328,17.362122,24.391678,18.470102,307,349,304,27.5475793333333,0.364981138272342
"CHCHD4",6.345101,6.836024,5.322988,172,179,142,19.3339723333333,3.041388,3.381319,4.272808,59,50,75,7.55256166666667,2.37753004606612
"CHCHD5",13.443444,13.081841,12.99621,107,99,105,43.8237076666667,7.666016,8.101192,6.090852,45,38,33,53.7275276666667,0.81903403237358
"CHCHD6",10.481537,9.561233,11.101062,168,123,151,55.5756286666667,11.421181,10.21786,11.319196,120,82,104,9.740228,5.26763758336105
"CHCHD7",21.551523,20.652028,14.350772,328,304,220,2.47766166666667,23.766647,31.151392,29.557531,314,315,266,147.732384666667,0.0233820070488392
"CHD1",9.174782,5.342816,4.43777,206,120,96,191.398327666667,25.319673,40.312041,25.741394,647,824,551,130.588898666667,1.46211671057479
"CHD1L",5.672135,5.926027,4.626532,211,192,198,15152.6259676667,23.669116,22.296973,16.543323,531,409,453,0,15153.6259676667
"CHD2",37.608191,16.188825,21.920145,1004,788,615,4.40065266666667,91.30806,113.306301,49.911755,1800,1805,1339,0.191173666666667,4.53389192339992
"CHD3",32.986181,28.491841,24.765509,1126,720,641,16.9315243333333,214.173196,364.023046,192.421015,2672,2311,1941,9.10010166666667,1.77538057785227
"CHD4",304.116381,292.037623,233.828013,3854,2591,2201,23.1768856666667,444.366403,399.141566,411.118616,6016,4599,4568,76.368359,0.31249060958714
"CHD5",0.014309,0.01563,0,2,1,0,6.02587633333333,1.556241,1.177587,1.193725,100,126,76,28.950543,0.234582602837395
"CHD6",2.48492,1.506736,1.059104,403,262,189,0,6.329948,9.975714,5.35731,952,966,701,0.0500186666666667,0.952364021465015
"CHD7",12.929552,8.60554,6.251788,528,316,273,0.779719333333333,40.279255,55.764092,33.13327,1552,1539,1174,16.788815,0.100047098883952
"CHD8",15.511073,12.105754,11.776669,808,484,414,50.3992946666667,24.40724,28.712167,34.10315,1950,1581,1517,68.096052,0.743881787437966
"CHD9",7.986974,6.020113,1.926621,242,191,132,4.38803933333333,8.943123,14.861639,9.964357,811,1008,712,14.5479206666667,0.34654404591122
"CHDH",0.378486,0.148689,0.096875,41,24,16,0.395202333333333,0.044464,0.443108,0.056567,5,16,6,1.11302333333333,0.660287234562799
"CHEK1",6.0954,2.807021,2.835314,129,115,115,0.308259666666667,5.184054,6.100457,2.459252,113,100,78,8.40223366666667,0.139143496433702
"CHEK2",8.241973,7.17052,9.549184,127,115,113,0.282496666666667,11.471044,15.802404,11.985042,132,151,111,0.067663,1.20121861174047
"CHEK2P2",0.334406,0.341971,0.921682,3,4,8,1.53725333333333,0.159962,0.195782,0.715641,1,1,4,3.99974033333333,0.50747702163999
"CHERP",10.089892,8.331683,9.912211,479,371,392,1.02632,23.672768,23.114346,22.110573,710,532,562,3.25377266666667,0.476358319728417
"CHFR",14.697646,12.354533,9.942464,406,342,268,1.36204566666667,38.278287,33.173899,36.533714,627,518,548,5.14901866666667,0.384133760964351
"CHGA",0,0.137473,0,0,2,0,8.55336533333333,29.521481,16.802612,29.771871,669,325,592,23.401469,0.391507795425486
"CHGB",0.00071,0.101613,0.117288,0,5,5,3.961017,28.760489,19.326565,30.79047,1053,572,990,7.08148666666667,0.613874303655351
"CHI3L1",0.072292,0.09596,0.054194,2,2,2,9.50069533333333,0.189701,0,0.040553,5,0,1,10.1814763333333,0.939115284985176
"CHI3L2",0,0,0.129178,0,0,2,3.50441,0.063628,0.039539,0.207636,2,1,2,13.7902213333333,0.304553251670969
"CHIA",0,0,0,0,0,0,1.15291666666667,0,0,0,0,0,0,17.749996,0.114822246717635
"CHIAP2",0,0.017578,0,0,1,0,0.207280333333333,0.023582,0,0.053027,1,0,2,0.953408333333333,0.618037873972416
"CHIC1",1.21702,1.39287,0.844473,107,126,75,0.0750566666666667,1.3693,1.047406,1.156705,127,87,105,3.64250966666667,0.231567997453102
"CHIC2",5.373249,5.057297,7.020811,66,53,69,1.226362,13.500054,16.721155,15.156416,109,95,84,15.756282,0.132867303140398
"CHID1",55.201582,50.812537,43.157152,519,451,404,28.8079106666667,183.036726,133.960333,158.146871,1243,745,1070,135.348553333333,0.218615525709281
"CHIT1",0.079524,0,0,5,0,0,0.320446,0.24695,0.013988,0.012757,2,1,1,1.52947266666667,0.522024221649361
"CHKA",36.25715,33.784106,24.590241,710,773,528,0.007985,52.597871,43.3777,61.109268,726,454,723,0.615948666666667,0.623772908627873
"CHKB",31.26197,30.760837,19.53461,495,398,293,0.0377833333333333,49.920824,43.764847,46.396038,612,384,469,0.202349666666667,0.863129389148858
"CHKB.CPT1B",2.961933,1.217644,4.643614,83,26,31,0,14.558845,9.464675,13.960232,132,114,91,0.403684666666667,0.712410717126876
"CHKB.DT",0.740223,1.259191,0.796085,16,18,14,1.38595,7.014509,5.168685,5.008189,97,44,58,12.7102166666667,0.174027154931906
"CHL1",0,0,0,0,0,0,0,7.474503,5.269363,5.600756,622,166,482,0.083092,0.92328260203196
"CHL1.AS1",0,0,0,0,0,0,6.97907233333333,0,0,0,0,0,0,15.8254453333333,0.474226516758269
"CHL1.AS2",0,0.018117,0.182112,0,1,1,4.14797733333333,0,0,0.640248,0,0,4,14.4415613333333,0.333384508354121
"CHM",5.465727,1.917517,1.605102,116,98,57,0.108640666666667,9.597589,7.102589,9.118984,332,371,304,0.037667,1.06839734391348
"CHML",1.070364,0.574187,0.420161,93,78,57,1.548133,3.525035,3.736402,3.320371,409,350,341,7.382135,0.303995700379438
"CHMP1A",28.633271,22.606013,19.90125,670,568,449,0,37.196977,46.149252,38.907419,691,596,572,0,1
"CHMP1B",7.011874,6.884834,7.08985,364,376,383,47.48885,11.345794,13.360003,13.683652,502,455,468,498.120933666667,0.097148499951282
"CHMP1B2P",0.099416,0,0,1,0,0,3.94513366666667,0.10345,0.011893,0.063268,11,1,6,21.134219,0.223415773859772
"CHMP2A",62.441955,58.14078,52.76927,927,831,736,158.457063666667,33.178505,33.597089,33.402627,340,289,318,30.0724943333333,5.13177545246528
"CHMP2B",8.833066,6.939115,5.194565,192,194,151,6.573618,10.923252,14.262301,12.24758,288,349,309,4.96012366666667,1.27071490854412
"CHMP3",38.442228,30.266493,27.697139,839,701,635,0.0328546666666667,47.249517,46.302427,41.310683,871,621,776,0,1.03285466666667
"CHMP4A",85.922252,86.722448,58.930652,322,318,227,0,72.387519,76.297462,72.504131,252,187,219,0.0678113333333333,0.936495023777609
"CHMP4B",48.120415,45.092677,39.794108,1521,1359,1189,17.953888,32.839248,35.399131,36.130316,731,634,709,7.08284,2.34495400131637
"CHMP4C",4.190561,3.52433,3.29029,147,124,114,4.84243433333333,0.115902,0.189397,0.096053,3,4,2,7.80892366666667,0.663240431454906
"CHMP5",17.37963,14.502034,12.739229,476,443,385,2.751973,22.327819,28.184753,23.290433,510,494,447,9.51946466666667,0.356669575771188
"CHMP6",8.96165,7.214857,7.330547,224,203,152,5.94105566666667,8.853621,9.784489,10.672355,138,119,124,7.97624433333333,0.773269466483997
"CHMP7",13.44028,8.763189,7.729086,400,367,316,0.117289333333333,19.49841,20.618697,19.679816,465,366,433,0.675182333333333,0.66696580491636
"CHN1",18.003423,19.16072,15.016764,319,332,272,6.19763566666667,11.213348,13.764271,12.291449,159,139,144,5.49276966666667,1.10856168263888
"CHN2",27.523604,19.243021,11.088312,381,300,254,0.589975333333333,27.007252,20.071812,21.141104,490,304,474,37.0568486666667,0.041778954092065
"CHN2.1",0.298571,0.060032,0.061308,5,1,1,14.8891233333333,0.0815,0.244134,0.222417,1,2,1,26.7195706666667,0.573209575444122
"CHODL",0.165793,0.060957,0.030789,6,2,1,7.31070233333333,8.96262,8.058294,8.615514,271,191,228,13.4245266666667,0.576150782995075
"CHORDC1",7.10266,7.319978,5.907344,203,210,178,0.0857186666666667,14.008282,22.184998,12.650956,373,404,329,2.04728633333333,0.356290334383849
"CHP1",23.362811,18.509323,15.384915,1169,1160,904,1.342377,21.117305,20.0284,22.231042,816,623,807,0.306903333333333,1.79231083145655
"CHP2",0.101491,0.026221,0,4,1,0,38.0923626666667,0.158685,0.157511,0.184915,4,4,5,106.138928,0.364875432267408
"CHPF",37.17595,33.663157,28.737,2288,1852,1646,0.160883333333333,129.866023,87.019515,128.451209,5334,2787,4434,0.100312,1.05504923452015
"CHPF2",12.630102,12.185508,9.771376,796,694,478,12.6161983333333,52.883466,49.079998,57.46686,2536,1937,2324,22.6543003333333,0.575633104401975
"CHPT1",7.969352,9.573852,7.594069,154,216,151,2.99787733333333,10.756535,11.128166,13.821393,197,142,189,6.84286833333333,0.509746837944706
"CHRAC1",4.219066,4.262628,3.558695,96,106,92,21.8711453333333,5.252193,6.693175,5.564376,94,100,95,23.9531693333333,0.916562743105391
"CHRD",0.480956,0.174183,0.262851,9,11,6,0,0.27443,0.563596,0.070928,10,18,4,0.0121696666666667,0.987976653453028
"CHRDL1",0,0.012914,0.013253,0,1,1,0.736156666666667,0.307129,0.381197,0.30722,18,18,16,2.04178,0.57076996583141
"CHRDL2",0.456114,0.474866,0.568821,1,2,3,140.473829333333,0.699012,0,0,2,0,0,116.620125,1.20280291602592
"CHRFAM7A",0.058523,0.115242,0,3,3,0,2.82521233333333,2.016855,2.865581,2.477853,50,51,48,0.291617,2.9615685867663
"CHRM1",0,0,0,0,0,0,0.418627666666667,0.160715,0.24649,0.056738,6,4,2,3.315626,0.328718861798188
"CHRM2",11.55196,8.413904,5.66795,998,918,537,51.6658613333333,2.144222,2.539934,2.557019,194,131,166,26.599987,1.90818428042496
"CHRM3",0.148639,0.085788,0.17427,10,7,5,13.2109706666667,0.853459,0.70194,0.64825,63,47,47,15.2314803333333,0.87551907619188
"CHRM3.AS1",0,0,0,0,0,0,37.3368483333333,0,0,0,0,0,0,107.376655333333,0.353737142149487
"CHRM3.AS2",0,0,0,0,0,0,0.054732,0.011731,0.029076,0.013206,1,2,1,11.8264286666667,0.0822311515863366
"CHRM4",0,0.034797,0,0,1,0,5.41848633333333,0.284331,0.17664,0.379791,6,3,7,12.002695,0.493627385194633
"CHRM5",0.008002,0.008125,0.008245,1,1,1,0.0948906666666667,0.087983,0.072895,0.103389,8,5,6,1.740913,0.399462028406836
"CHRNA1",0.178408,0.111523,0.301319,5,3,8,3.93475766666667,0.037652,0.046674,0.084488,1,1,2,3.81901866666667,1.02401713045865
"CHRNA10",0.280757,0.263472,0.10714,9,10,4,19.4599713333333,0.766604,0.81394,0.61603,16,15,12,40.2863683333333,0.49556238921636
"CHRNA2",0,0,0,0,0,0,3.66834766666667,0,0,0,0,0,0,0.848292333333333,2.52576260934192
"CHRNA3",10.730865,9.570878,4.744225,299,338,223,8.04097866666667,1.090009,0.895644,1.225553,43,25,41,14.803475,0.572088016506918
"CHRNA4",0,0.180449,0,0,2,0,1.723471,97.716594,48.97543,17.391981,792,313,613,6.41381733333333,0.367350701743753
"CHRNA5",1.388473,1.276513,0.293242,32,40,20,32.254767,0.503902,1.621616,0.736835,12,28,11,57.2413546666667,0.570982031416119
"CHRNA6",0,0,0,0,0,0,79.6775273333333,1.391936,0.536979,0.755394,21,10,15,79.4550163333333,1.00276565725968
"CHRNA7",0.31321,0.241844,0.267331,15,14,4,9.91866,14.467526,12.399713,26.637063,828,543,788,20.978044,0.496798532207871
"CHRNA9",0,0.02352,0,0,1,0,260.666143666667,0,0,0,0,0,0,73.742193,3.5009160577703
"CHRNB1",6.81328,6.49787,4.363515,229,185,150,1.682443,2.360474,2.025612,3.076932,44,33,51,8.754547,0.274994113001865
"CHRNB2",0.011298,0,0.045692,1,0,3,0,44.501616,6.522333,8.551941,576,330,487,0.0120953333333333,0.988049215390118
"CHRNB3",0,0,0,0,0,0,0.0271896666666667,1.129402,0.036131,0.884174,26,1,27,0.326149666666667,0.774565414813662
"CHRNB4",0.373087,0.288327,0.258183,16,14,11,0.251191,0.504444,0.062953,0.448739,11,2,10,9.94058033333333,0.114362397777741
"CHRND",0,0.137201,0,0,2,0,23.085715,0.245353,0.554255,0.224267,3,18,7,21.3028983333333,1.07993654636367
"CHRNE",0.369613,0.129834,0.067194,4,5,3,18.9959343333333,0.390254,0.140233,0.306138,12,4,9,6.605284,2.62921599421315
"CHRNG",0.011319,0.179656,0,1,1,0,86.6606403333333,0.032343,0.019834,0,2,1,0,612.986934333333,0.142772810676363
"CHROMR",2.753282,3.490409,3.06442,139,114,108,2.51545866666667,9.372871,7.563481,9.599347,263,227,199,2.389661,1.0371121674606
"CHST1",0.805602,0.169262,0.344526,14,12,12,4.73030866666667,0.739125,0.707143,1.951924,30,25,29,5.65572,0.860959996313948
"CHST10",4.213071,3.124068,3.191037,219,179,136,14.4783623333333,13.005847,7.328824,9.865745,318,189,257,163.982346333333,0.093818294365026
"CHST11",2.951227,2.696363,1.635138,227,180,133,1.54215633333333,6.621281,4.090313,4.803778,373,254,350,8.53892166666667,0.266503533855067
"CHST12",3.88494,1.858148,1.920802,252,199,136,17.788393,5.151112,5.652517,4.947373,420,358,348,41.9567943333333,0.43737884289519
"CHST13",0.17372,0.397796,0.293386,7,14,11,0,0,0,0.098382,0,0,2,0.408411,0.710020015464236
"CHST14",3.876037,3.824679,3.372153,170,149,130,0.159634333333333,9.148212,9.918244,10.373789,264,223,261,15.857571,0.0687901200791818
"CHST15",0.151213,0.044731,0,4,4,0,0.941620666666667,4.514124,5.879534,4.32804,268,155,217,3.69616266666667,0.413448341653128
