"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg__TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"DCAF8L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DCAF8L2",0.150597,0,0,0.050199,1,0,0,0.039953,0,0,0.0133176666666667,1,0,0,1.03639661534241
"DCAKD",17.647025,13.975055,13.22408,14.94872,654,563,491,11.16503,14.831849,19.880932,15.2926036666667,246,328,252,0.978893265085051
"DCANP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DCBLD1",4.035681,1.989716,1.019881,2.348426,58,45,25,8.40813,3.999006,5.36011,5.92241533333333,193,113,84,0.483707757879885
"DCBLD2",45.349921,21.595913,17.919437,28.2884236666667,1917,1681,1361,27.045209,37.104043,26.244016,30.1310893333333,1140,1606,684,0.940809470335699
"DCC",0,0.005132,0,0.00171066666666667,0,1,0,4.835809,5.094664,5.142037,5.02417,373,672,488,0.166281938701376
"DCD",0.158756,0.166276,0,0.108344,1,1,0,0,0.477651,0,0.159217,0,2,0,0.956114342698563
"DCDC1",0.248616,0.047106,0.077649,0.124457,8,2,3,0.518592,0.328714,0.555855,0.467720333333333,21,22,25,0.766124836225612
"DCDC2",0.124333,0.023663,0,0.049332,7,2,0,0.301837,0.168406,1.21953,0.563257666666667,18,11,14,0.671246987860606
"DCDC2B",0.1902,0.120027,0,0.103409,7,4,0,0.215813,0.610318,0.267298,0.364476333333333,5,14,3,0.808668478187847
"DCDC2C",0,0.050636,0.025352,0.0253293333333333,0,2,1,0.080592,0.109524,0,0.063372,2,3,0,0.964224498419493
"DCHS1",0.930318,0.57818,0.39514,0.634546,235,136,93,13.584147,13.459193,16.34578,14.46304,1954,2161,1660,0.105706639832788
"DCHS2",0.008689,0,0.009551,0.00608,2,0,1,2.22612,2.508161,3.406902,2.71372766666667,265,360,364,0.270908394557382
"DCK",81.615248,84.599493,22.76396,62.9929003333333,138,144,121,220.650659,291.30269,261.583665,257.845671333333,422,500,361,0.247224147128678
"DCLK1",0.474074,0.023851,0.023208,0.173711,8,2,2,98.010315,86.517399,85.305408,89.944374,7666,7383,5031,0.0129058120736528
"DCLK2",12.412311,10.166505,8.03434,10.2043853333333,729,541,458,26.045665,35.779229,40.09941,33.974768,1097,1062,922,0.320356244631368
"DCLK3",0,0,0.018193,0.00606433333333333,0,0,2,0.302209,0.303602,0.193366,0.266392333333333,22,24,10,0.794433373333225
"DCLRE1A",1.60015,1.299324,0.86378,1.254418,136,113,73,1.994564,2.485522,3.076593,2.518893,117,156,128,0.640661139739117
"DCLRE1B",0.828734,0.764537,0.587361,0.726877333333333,43,45,43,2.345888,2.522861,3.887844,2.91886433333333,93,102,105,0.440657595274413
"DCLRE1C",2.0503,2.968497,1.186992,2.06859633333333,57,67,40,25.939573,15.037071,39.690736,26.8891266666667,133,158,120,0.110028412506762
"DCN",0.509115,1.047419,0.244373,0.600302333333333,6,7,2,1.403149,6.307057,3.423727,3.711311,8,12,20,0.339672403993991
"DCP1A",2.92067,1.742377,1.418959,2.02733533333333,237,165,169,4.917087,7.732561,8.499445,7.04969766666667,276,338,256,0.37608062547111
"DCP1B",0.780807,0.506677,0.316328,0.534604,26,19,9,5.198978,6.766449,6.125847,6.03042466666667,103,121,76,0.218280413027681
"DCP2",0.914318,1.387474,0.883661,1.06181766666667,111,116,74,3.628468,3.999615,5.703048,4.44371033333333,492,565,498,0.37875227380149
"DCPS",5.536993,6.814014,6.030585,6.12719733333333,158,150,124,5.365319,5.748069,5.074496,5.39596133333333,132,128,88,1.1143277705869
"DCST1",0.113536,0.074654,0.256422,0.148204,3,3,4,0,0,0.110578,0.0368593333333333,0,0,2,1.10738647286774
"DCST2",0.365698,0.543859,0.256453,0.38867,10,12,8,0.0379,0.376478,0.759173,0.391183666666667,1,6,8,0.998193145357514
"DCSTAMP",0,0,0,0,0,0,0,0.041638,0.200633,0.307318,0.183196333333333,1,2,1,0.845168271594261
"DCT",0,0,0,0,0,0,0,0.029935,0.030268,0.083828,0.0480103333333333,2,2,4,0.954189064929703
"DCTD",16.054599,13.796465,10.399576,13.41688,345,369,296,21.327655,27.925766,32.600261,27.2845606666667,315,422,309,0.509708464978573
"DCTN1",100.801197,112.014224,119.794743,110.870054666667,2704,2102,1875,256.620026,315.842368,294.519166,288.993853333333,6078,7405,5286,0.385766985681857
"DCTN1.AS1",0,0,0.062081,0.0206936666666667,0,0,2,5.742285,6.901886,7.906485,6.85021866666667,76,78,66,0.130021049095193
"DCTN2",230.48754,133.785863,235.895739,200.056380666667,1546,1323,1197,404.626756,480.2059,491.176188,458.669614666667,1895,2226,1550,0.437393236906608
"DCTN3",38.074457,43.729437,32.207374,38.003756,506,516,421,85.207157,95.560361,112.578343,97.7819536666667,679,801,617,0.394846979151836
"DCTN4",12.270952,6.255693,4.312314,7.61298633333333,556,435,275,38.240915,41.53609,47.109697,42.2955673333333,1465,1689,1199,0.198934599170899
"DCTN5",16.770765,8.614821,7.586741,10.9907756666667,868,608,510,42.922273,43.5832,41.469888,42.6584536666667,2793,3163,2385,0.274649573212476
"DCTN6",26.340187,26.179388,15.600712,22.7067623333333,375,368,228,32.630009,41.278496,41.513021,38.473842,321,420,301,0.600568911770314
"DCTPP1",14.470313,17.465391,13.885207,15.273637,236,229,213,30.405516,28.645023,32.622301,30.5576133333333,267,275,189,0.515680220430696
"DCUN1D1",8.959457,8.032419,3.27801,6.75662866666667,182,231,184,15.81988,11.457384,16.983076,14.7534466666667,407,452,334,0.492376610070939
"DCUN1D2",27.244478,14.275153,13.930682,18.4834376666667,513,457,402,30.912555,31.958732,22.42885,28.433379,352,374,267,0.661950422568427
"DCUN1D3",1.613117,1.091346,0.95197,1.218811,151,112,103,4.303774,3.577363,4.290321,4.05715266666667,222,212,155,0.438747086799436
"DCUN1D4",12.060616,4.773724,5.924442,7.58626066666667,291,265,207,26.806474,26.654412,26.734872,26.7319193333333,868,916,727,0.309616531169774
"DCUN1D5",23.819183,23.532611,20.877076,22.7429566666667,252,256,220,56.212096,37.843417,50.715026,48.2568463333333,365,434,331,0.482023483720256
"DCX",0.016281,0.180449,0.021571,0.072767,3,4,4,135.048942,125.256849,168.817363,143.041051333333,16363,16214,14476,0.00744764766759061
"DCXR",125.152775,128.843884,144.641135,132.879264666667,483,469,455,102.384954,121.389681,101.925102,108.566579,248,291,193,1.22189873854386
"DCXR.DT",0.129203,3.280895,0.824871,1.41165633333333,1,7,2,0.486301,1.17698,0.700684,0.787988333333333,3,2,3,1.34880988224196
"DDA1",33.615019,32.053654,30.651955,32.106876,520,485,454,37.534008,45.097565,42.25863,41.6300676666667,430,556,369,0.776608572589411
"DDAH1",3.757428,3.531847,2.968249,3.41917466666667,271,259,224,66.813744,64.802302,82.027788,71.2146113333333,3429,3606,2986,0.0611950211331655
"DDAH2",17.955491,18.433817,15.673379,17.354229,313,300,277,74.253145,79.087479,107.617822,86.9861486666667,840,977,743,0.208603618616545
"DDB1",249.825534,146.267508,90.684203,162.259081666667,3701,2526,2258,286.704428,338.152462,357.955094,327.603994666667,2960,3313,2556,0.496826223406917
"DDB2",13.083369,16.481398,17.775715,15.7801606666667,219,193,188,12.770772,12.891775,12.914987,12.859178,93,133,81,1.21076160986363
"DDC",0.069486,0,0.459878,0.176454666666667,1,0,2,6.126627,6.188722,2.086783,4.80071066666667,88,62,27,0.202812161176573
"DDC.AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DDHD1",2.970854,2.679251,2.092533,2.58087933333333,237,202,141,14.969194,15.971433,19.549865,16.830164,933,998,580,0.200832663868562
"DDHD2",50.767198,32.106105,33.00824,38.627181,329,318,281,202.710446,179.522918,181.055807,187.763057,1334,1565,1084,0.209930807594412
"DDI1",0,0,0,0,0,0,0,0.030683,0,0,0.0102276666666667,1,0,0,0.989875879463474
"DDI2",2.273233,1.569806,1.314471,1.71917,459,359,295,4.343042,4.555829,4.39164,4.43017033333333,643,668,461,0.500752247734893
"DDIAS",0.880675,0.711895,0.494294,0.695621333333333,32,42,19,1.373733,0.837076,4.068526,2.09311166666667,25,24,24,0.548192731483452
"DDIT3",11.848933,13.936576,17.41421,14.3999063333333,181,207,262,11.421801,16.547989,15.367688,14.445826,110,173,98,0.997027050112654
"DDIT4",5.45706,2.425345,4.353454,4.07861966666667,187,71,133,4.557879,4.458491,7.110127,5.375499,95,99,105,0.79658387001028
"DDIT4L",0.578037,0.603355,0.459772,0.547054666666667,22,21,13,0,0,0,0,0,0,0,1.54705466666667
"DDN",0.2339,0.245634,0.342424,0.273986,20,19,27,1.216681,1.64015,0.541091,1.13264066666667,56,86,17,0.597374897662085
"DDN.AS1",0.093018,0.209397,0.072857,0.125090666666667,4,4,1,0.492806,0.761034,0.356614,0.536818,9,12,3,0.732091026176598
"DDO",0.106405,0.128232,0.135425,0.123354,4,5,5,0.123451,0,0,0.0411503333333333,3,0,0,1.07895465624401
"DDOST",114.800727,100.180554,64.609167,93.196816,1998,1663,1398,103.957145,140.198184,98.130189,114.095172666667,1180,1427,975,0.818425428430508
"DDR1",92.352796,60.693784,68.52239,73.8563233333333,1318,984,990,132.167357,147.201537,157.88237,145.750421333333,1018,1119,824,0.510092731954087
"DDR2",0.256983,0.167229,0.182111,0.202107666666667,52,35,32,0.114386,0.258936,0.602386,0.325236,16,31,60,0.9070895045612
"DDRGK1",21.657873,17.650332,13.874485,17.7275633333333,317,260,208,22.601052,30.066725,28.775539,27.147772,242,342,183,0.665330219860149
"DDT",215.548175,198.930241,174.913529,196.463981666667,927,837,748,75.621452,93.921496,77.891276,82.4780746666667,168,242,130,2.36545922333682
"DDTL",2.335503,2.22029,2.036281,2.197358,72,66,60,2.352227,2.284306,3.037329,2.557954,44,47,40,0.898650741409248
"DDTP1",0.311028,0.326044,0,0.212357333333333,1,1,0,0,0,0,0,0,0,0,1.21235733333333
"DDX1",46.711258,31.225759,27.317591,35.0848693333333,1416,1076,831,84.428757,79.376475,96.757034,86.8540886666667,2047,2209,1601,0.410736368460271
"DDX10",4.904057,5.660231,3.601632,4.72197333333333,110,118,83,13.299402,9.084675,15.019587,12.467888,199,237,164,0.424860478000213
"DDX10P1",0,0.027227,0,0.00907566666666667,0,1,0,0,0,0,0,0,0,0,1.00907566666667
"DDX10P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
