"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg__TPM","FoldChange"
"NES",96.504428,76.068154,71.520035,12238,8952,8488,0,24.367953,23.654289,15.939946,2143,2873,2129,0.0386846666666667,0.962756101145872
"NET1",3.080357,1.401752,2.056198,121,83,74,1.020996,5.274658,4.178948,4.221266,226,296,248,1.39888,0.842474821583406
"NETO1",0,0,0,0,0,0,5.73612833333333,1.556844,2.914001,1.872045,47,38,48,8.651218,0.697956292494205
"NETO2",4.946056,6.773489,5.600436,154,176,127,9.536475,12.36307,11.239236,9.301061,391,541,377,10.6238673333333,0.906451759801572
"NEU1",9.660908,8.712431,7.294471,425,367,302,0.035047,8.425475,9.365695,8.577647,273,456,420,0.437897,0.719833896308289
"NEU2",0,0,0,0,0,0,3.283955,0,0,0,0,0,0,2.33485333333333,1.28460072207074
"NEU3",5.559378,4.043394,3.168158,515,388,360,1.719948,4.712177,5.447905,5.213816,363,584,531,55.3801263333333,0.0482430277633468
"NEU4",0.094393,0,0.103709,4,0,4,0,0.287234,0.333558,0.319811,1,5,6,0.0153483333333333,0.984883677030379
"NEURL1",0.217434,0.460747,0.115867,18,21,8,0,17.586197,11.342403,12.048833,498,613,643,0,1
"NEURL1.AS1",0,0,0,0,0,0,1.98879433333333,0.61075,0.212556,0.100954,2,2,1,1.883976,1.03634507822996
"NEURL1B",2.779895,2.366699,1.859275,400,310,248,0,1.112964,1.988163,1.21736,109,269,186,0,1
"NEURL2",7.814728,9.349784,5.581068,126,98,75,7.44882466666667,1.383277,0.807437,1.867726,14,12,26,8.61592033333333,0.878628812821903
"NEURL3",0,0,0,0,0,0,31.978043,0.104172,0.369673,0.393695,2,11,13,54.221566,0.597194998055651
"NEURL4",16.185662,10.598964,11.356411,528,327,331,44.0527323333333,27.312404,28.274494,22.166374,831,1234,1059,82.4389853333333,0.539948228676926
"NEUROD1",0,0.026038,0,0,1,0,0.235422666666667,0.340365,0.244203,0.179363,12,12,9,2.27139933333333,0.377643491602676
"NEUROD2",0.047091,0.050295,0.064503,3,3,4,3.52248333333333,0.111409,0.111683,0.043557,7,7,4,9.659376,0.424272802960824
"NEUROD4",0,0,0,0,0,0,0,0.158947,0,0.011134,10,0,1,0,1
"NEUROD6",0,0,0,0,0,0,0,0,0,0,0,0,0,0.063773,0.940050179878602
"NEUROG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NEUROG2",0.020789,0.044747,0.022011,1,2,1,0.214155333333333,0.060518,0.02186,0.038827,2,1,2,5.826486,0.17785949217992
"NEUROG2.AS1",0,0.195659,0.113497,0,1,1,0,0.133667,0,0,1,0,0,0.045864,0.956147261976701
"NEUROG3",0,0,0,0,0,0,0.041931,0,0,0,0,0,0,0,1.041931
