"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","FoldChange"
"ABHD12",147.18796,147.18796,31.484105,29.04836,22.06709,27.533185,5.19353027010479
"ABHD12B",6.05763,6.05763,0.21345,0.366161,0.189974,0.256528333333333,5.61676948523511
"ABHD13",1.72186,1.72186,1.172633,1.326137,0.716184,1.07165133333333,1.31386008649461
"ABHD14A",73.3969,73.3969,8.546513,7.684425,5.406513,7.21248366666667,9.0590012741172
"ABHD14B",11.78333,11.78333,8.124944,8.387924,5.480449,7.33110566666667,1.53440977842197
"ABHD15",2.28198,2.28198,1.644095,1.578787,1.43262,1.551834,1.28612597841396
"ABHD16A",50.39035,50.39035,19.452254,20.109003,15.952975,18.504744,2.63476157390223
"ABHD16B",4.23204,4.23204,0,0,0,0,5.23204
"ABHD2",9.37688,9.37688,3.332886,2.82704,2.375777,2.84523433333333,2.69863397141899
"ABHD3",4.41875,4.41875,2.331696,3.741765,1.156728,2.410063,1.58904688857655
"ABHD4",21.57512,21.57512,15.0237,23.747182,16.357654,18.3761786666667,1.16509660590798
"ABHD5",4.89589,4.89589,7.210165,4.691474,4.783658,5.56176566666667,0.898521876505089
"ABHD6",33.79411,33.79411,2.357982,2.891814,1.502824,2.25087333333333,10.703003910744
"ABHD8",42.59012,42.59012,4.748047,3.701303,3.322699,3.92401633333333,8.85255390095172
"ABI1",26.90666,26.90666,10.258949,6.855637,7.216852,8.11047933333333,3.06313850006721
"ABI2",41.15869,41.15869,21.727203,10.892244,9.493522,14.0376563333333,2.80354126105067
"ABI3",5.29005,5.29005,0.029558,0.160231,0.222847,0.137545333333333,5.5294939161399
"ABI3BP",6.14061,6.14061,0.659504,0.308934,0,0.322812666666667,5.39805081999517
"ABL1",41.69807,41.69807,7.760499,5.097737,3.86969,5.57597533333333,6.49303986643097
"ABL2",4.06608,4.06608,1.446018,0.98648,1.194757,1.209085,2.2932933771222
"ABLIM1",28.96045,28.96045,59.262507,38.678189,34.133185,44.024627,0.665423613614834
"ABLIM2",57.71345,57.71345,6.864886,5.835002,6.004859,6.23491566666667,8.1152915535021
"ABLIM3",20.45487,20.45487,1.439051,0.939932,0.795889,1.05829066666667,10.4236346923467
"ABO",1.24472,1.24472,0.108377,0.428422,0.100191,0.21233,1.85157506619485
"ABR",149.67739,149.67739,137.5781,52.298863,84.704982,91.527315,1.62846387577549
"ABRA",0.26969,0.26969,1.22541,0.904378,0.700678,0.943488666666667,0.653304555759351
"ABRACL",10.60085,10.60085,1.304502,3.067132,2.188819,2.18681766666667,3.64026160685064
"ABT1",5.91241,5.91241,3.32542,2.791458,2.174212,2.76369666666667,1.83660124930365
"ABTB1",51.5106,51.5106,4.435767,2.908722,2.928956,3.42448166666667,11.8681924700031
"ABTB2",17.65426,17.65426,6.950399,6.045716,4.152189,5.71610133333333,2.77754296341767
"ACAA1",79.76571,79.76571,73.219918,69.137641,52.278734,64.8787643333333,1.22597487699286
"ACAA2",30.05995,30.05995,33.764452,29.686524,22.134757,28.5285776666667,1.05186068731858
"ACACA",42.25819,42.25819,7.1497,4.870629,6.747958,6.25609566666667,5.9616344639337
"ACACB",19.58357,19.58357,26.02878,14.841445,7.767875,16.2127,1.1958362139583
"ACAD10",21.69959,21.69959,20.02537,13.653281,10.050915,14.576522,1.45729515228111
"ACAD11",21.80332,21.80332,6.08628,6.516346,6.250521,6.28438233333333,3.13043974856344
"ACAD8",25.95238,25.95238,17.886304,13.41606,11.385466,14.2292766666667,1.76977413897749
"ACAD9",22.19748,22.19748,9.950716,8.300763,6.289277,8.180252,2.52688924007751
"ACADL",1.59739,1.59739,0.430319,0.363646,0.199827,0.331264,1.95107056151147
"ACADM",29.87324,29.87324,55.824798,42.128201,34.763102,44.2387003333333,0.682451966403014
"ACADS",12.34346,12.34346,15.466497,14.289382,12.849752,14.201877,0.877750819849417
"ACADSB",7.24011,7.24011,6.230585,3.533107,3.515221,4.42630433333333,1.51854918077147
"ACADVL",537.46943,537.46943,539.418883,513.721339,438.661315,497.267179,1.08068412428987
"ACAN",1.57664,1.57664,0,0.022851,0,0.007617,2.55716209631239
"ACAP1",64.37269,64.37269,14.853065,11.82895,6.245988,10.976001,5.45864099376745
"ACAP2",4.87515,4.87515,2.720509,0.953916,0.841565,1.50533,2.34506033137351
"ACAP3",304.41664,304.41664,32.135196,15.329502,11.519368,19.6613553333333,14.7820234961675
"ACAT1",101.6935,101.6935,106.632562,103.500411,97.170077,102.43435,0.992837485806214
