"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","FoldChange"
"ACAP2",4.87515,4.87515,18.902318,8.651381,7.061189,11.538296,0.468576431757553
"ACAP3",304.41664,304.41664,213.831943,213.096372,204.054479,210.327598,1.4452283700305
"ACAT1",101.6935,101.6935,113.018886,107.505607,145.26679,121.930427666667,0.835379018435205
"ACAT2",21.38841,21.38841,94.414141,82.903806,86.300184,87.8727103333333,0.251915463318584
"ACBD3",9.95775,9.95775,43.967242,69.083492,58.658097,57.236277,0.188160208112205
"ACBD4",21.11872,21.11872,5.340975,3.641431,4.100437,4.36094766666667,4.12589739264383
"ACBD5",28.48331,28.48331,15.374346,21.627524,21.759596,19.5871553333333,1.43212160799421
"ACBD6",200.71085,200.71085,30.045769,28.430908,40.527744,33.0014736666667,5.93241492934899
"ACBD7",18.40109,18.40109,1.327791,0.639002,1.059258,1.00868366666667,9.65860892979499
"ACCS",17.9032,17.9032,14.477036,14.943544,19.448083,16.2895543333333,1.0933306686544
"ACCSL",0,0,0,0,0,0,1
"ACD",14.29352,14.29352,13.137008,9.048602,13.611827,11.932479,1.1825667762538
"ACE",3.2985,3.2985,6.841322,8.479831,10.149919,8.49035733333333,0.452933419577598
"ACE2",0.97503,0.97503,0,0.095415,0.225191,0.106868666666667,1.78433996686147
"ACER1",0.53938,0.53938,0,0,0,0,1.53938
"ACER2",0.56012,0.56012,2.060095,1.631226,2.154176,1.948499,0.529123462480401
"ACER3",38.85596,38.85596,7.649808,4.8069,3.760922,5.40587666666667,6.2217807294656
"ACHE",73.60435,73.60435,52.081818,67.700639,62.028934,60.603797,1.21103493020081
"ACIN1",97.73114,97.73114,122.816081,100.430979,109.79734,111.0148,0.88141156347197
"ACLY",35.35,35.35,200.668971,184.300449,184.729433,189.899617666667,0.190414210590361
"ACMSD",0.12447,0.12447,0.185122,0.039662,0.088863,0.104549,1.01803541535957
"ACO1",8.81676,8.81676,9.64322,6.563351,6.68116,7.62924366666667,1.13761534373175
"ACO2",127.9778,127.9778,71.653142,76.994982,73.567485,74.0718696666667,1.71805765025816
"ACOT1",1.84633,1.84633,4.205801,4.758707,5.368048,4.77751866666667,0.492656132194236
"ACOT11",2.94583,2.94583,1.265227,0.289037,0.841305,0.798523,2.19392801760111
"ACOT12",0,0,0.237945,0.109798,0.174106,0.173949666666667,0.851825277006482
