"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","FoldChange"
"ABHD2",9.37688,9.37688,13.588883,13.921576,10.695473,12.7353106666667,0.755489282465447
"ABHD3",4.41875,4.41875,1.597983,1.039653,1.180823,1.27281966666667,2.38415307623027
"ABHD4",21.57512,21.57512,25.455379,4.883742,6.507743,12.282288,1.69964090524163
"ABHD5",4.89589,4.89589,10.403327,7.362645,6.909279,8.22508366666667,0.639115070717877
"ABHD6",33.79411,33.79411,11.668832,13.764524,17.829011,14.420789,2.25631191763275
"ABHD8",42.59012,42.59012,9.661101,10.705984,15.55678,11.9746216666667,3.35964478347667
"ABI1",26.90666,26.90666,25.555257,19.141618,16.288946,20.328607,1.30841456265756
"ABI2",41.15869,41.15869,43.432644,40.900572,32.384224,38.9058133333333,1.05645484901782
"ABI3",5.29005,5.29005,0.107534,0.068506,0,0.05868,5.94140816866286
"ABI3BP",6.14061,6.14061,1.876574,1.343379,0.53984,1.25326433333333,3.16900680242723
"ABL1",41.69807,41.69807,18.289946,25.341736,17.462119,20.3646003333333,1.99854288560605
"ABL2",4.06608,4.06608,4.651018,3.942953,3.604234,4.06606833333333,1.00000230290353
"ABLIM1",28.96045,28.96045,78.965193,95.017141,84.824801,86.269045,0.343311308150559
"ABLIM2",57.71345,57.71345,29.024891,22.325349,27.889239,26.4131596666667,2.14179798001882
"ABLIM3",20.45487,20.45487,59.162438,43.070208,35.850085,46.027577,0.456218911724923
"ABO",1.24472,1.24472,0.94183,1.656334,1.424069,1.34074433333333,0.958977009165033
"ABR",149.67739,149.67739,475.702567,515.55903,441.250144,477.503913666667,0.314892701389616
"ABRA",0.26969,0.26969,0.023562,0,0.016861,0.0134743333333333,1.25280923082084
"ABRACL",10.60085,10.60085,17.048097,16.217016,13.732567,15.6658933333333,0.696083298265039
"ABT1",5.91241,5.91241,3.263841,4.270345,3.155402,3.563196,1.51481768479811
"ABTB1",51.5106,51.5106,3.761994,3.647191,4.428543,3.94590933333333,10.6169758604552
"ABTB2",17.65426,17.65426,1.172037,1.371578,1.223632,1.255749,8.26965234163908
"ACAA1",79.76571,79.76571,39.895704,46.043135,40.381622,42.1068203333333,1.87361789562442
"ACAA2",30.05995,30.05995,13.144815,9.897038,9.823666,10.955173,2.59803434044827
"ACACA",42.25819,42.25819,100.200507,77.444775,45.429501,74.358261,0.574033814288788
"ACACB",19.58357,19.58357,5.011705,4.261474,2.549066,3.94074833333333,4.1660834779077
"ACAD10",21.69959,21.69959,12.856185,11.636386,10.582543,11.6917046666667,1.78853752085943
"ACAD11",21.80332,21.80332,18.399625,10.629317,9.67092,12.899954,1.6405320478039
"ACAD8",25.95238,25.95238,23.137744,24.865645,22.47821,23.4938663333333,1.10037262526092
"ACAD9",22.19748,22.19748,17.669058,19.626573,12.870046,16.7218923333333,1.30897308050831
"ACADL",1.59739,1.59739,0.160831,0.314712,0.317482,0.264341666666667,2.05434185116101
"ACADM",29.87324,29.87324,31.655912,30.807253,30.544017,31.002394,0.964716577141073
"ACADS",12.34346,12.34346,3.004861,4.19166,2.473391,3.223304,3.15948366492206
"ACADSB",7.24011,7.24011,3.572105,3.466148,3.181139,3.406464,1.87000506528591
"ACADVL",537.46943,537.46943,223.022625,188.605112,238.198574,216.608770333333,2.47448404388836
"ACAN",1.57664,1.57664,0.292759,0.315011,0.284229,0.297333,1.98610534072594
"ACAP1",64.37269,64.37269,11.286318,12.913279,6.490646,10.230081,5.82121268760216
"ACAP2",4.87515,4.87515,11.321554,4.989484,5.03907,7.11670266666667,0.723834571904157
"ACAP3",304.41664,304.41664,201.068487,222.065102,155.227804,192.787131,1.57604190961473
"ACAT1",101.6935,101.6935,109.114332,109.952951,112.925312,110.664198333333,0.919663612265817
"ACAT2",21.38841,21.38841,119.603573,70.690947,60.766009,83.686843,0.264367039871825
"ACBD3",9.95775,9.95775,65.899098,64.268898,51.033552,60.400516,0.178463483922513
"ACBD4",21.11872,21.11872,3.64765,3.399864,4.113433,3.72031566666667,4.68585610835208
"ACBD5",28.48331,28.48331,28.434973,21.567845,22.642447,24.2150883333333,1.16927252485664
"ACBD6",200.71085,200.71085,45.008644,45.056697,44.61445,44.8932636666667,4.39521694218725
"ACBD7",18.40109,18.40109,1.034596,0.949647,0.691054,0.891765666666667,10.2555460974113
"ACCS",17.9032,17.9032,5.273883,5.411674,5.203006,5.29618766666667,3.0023247401086
"ACCSL",0,0,0,0,0,0,1
"ACD",14.29352,14.29352,12.408905,8.62736,10.509139,10.5151346666667,1.32812341693847
"ACE",3.2985,3.2985,5.405634,2.557996,4.848241,4.27062366666667,0.815558133506149
"ACE2",0.97503,0.97503,0.05341,0,0.099057,0.0508223333333333,1.87950896869024
"ACER1",0.53938,0.53938,0.145606,0.072291,0.066789,0.0948953333333333,1.40596087419011
"ACER2",0.56012,0.56012,0.989215,1.238033,0.764366,0.997204666666667,0.781151789818236
"ACER3",38.85596,38.85596,5.100368,4.487993,5.453281,5.01388066666667,6.62732804475336
"ACHE",73.60435,73.60435,150.826048,123.139185,143.64468,139.203304333333,0.532115490107338
"ACIN1",97.73114,97.73114,80.771096,83.773455,54.064282,72.869611,1.33655963072555
"ACLY",35.35,35.35,258.665498,200.768091,176.389823,211.941137333333,0.170704451263912
"ACMSD",0.12447,0.12447,0.069346,0.050982,0.281347,0.133891666666667,0.991690858180161
"ACO1",8.81676,8.81676,12.481148,12.32891,11.425298,12.078452,0.750605652717921
"ACO2",127.9778,127.9778,69.325062,71.569862,65.685688,68.860204,1.84622707371424
"ACOT1",1.84633,1.84633,2.514575,1.663513,2.042674,2.07358733333333,0.92606120839037
"ACOT11",2.94583,2.94583,1.059936,0.383645,0.558014,0.667198333333333,2.36674300898014
"ACOT12",0,0,0.137311,0.78691,0.64326,0.522493666666667,0.656817182162334
"ACOT13",33.44144,33.44144,14.096614,5.754241,11.441671,10.430842,3.01302738678393
"ACOT2",8.81676,8.81676,9.413227,10.383521,11.05022,10.2823226666667,0.870100979207355
"ACOT4",0.53938,0.53938,0.689296,0.540441,0.531756,0.587164333333333,0.969893266670769
"ACOT6",0,0,0.172208,0.138878,0.065032,0.125372666666667,0.888594533721866
"ACOT7",128.33047,128.33047,144.140782,166.680788,158.146086,156.322552,0.82207203198687
"ACOT8",41.69807,41.69807,21.302306,21.395702,21.651743,21.449917,1.90192551714111
"ACOT9",7.92471,7.92471,15.355328,9.120068,8.944808,11.140068,0.735144976123692
"ACOX1",45.41148,45.41148,32.7541,26.088828,22.676301,27.1730763333333,1.64736997305075
"ACOX2",6.45179,6.45179,0.363302,0.170177,0,0.177826333333333,6.32673068100872
"ACOX3",11.70035,11.70035,12.315552,13.017171,11.277513,12.203412,0.96189909093195
"ACOXL",0.20745,0.20745,0.066887,0.263478,0.058643,0.129669333333333,1.06885259639399
"ACP1",49.4983,49.4983,61.38661,54.776346,47.901782,54.688246,0.906803564974914
"ACP2",24.0853,24.0853,93.073029,93.19527,67.827959,84.6987526666667,0.29271487879843
"ACP5",12.15675,12.15675,5.678997,0.947109,4.648666,3.75825733333333,2.76503540651998
"ACP6",6.14061,6.14061,7.807588,6.333138,5.476793,6.539173,0.947134387286245
"ACPP",1.84633,1.84633,0.058078,0.051093,0.026328,0.0451663333333333,2.7233272917644
"ACR",1.05801,1.05801,0.12567,0.035491,0.308103,0.156421333333333,1.77963683363388
"ACRBP",2.86285,2.86285,0.628518,0.288323,1.583194,0.833345,2.10699568275475
"ACRV1",0.82981,0.82981,0.438865,0.108582,0.152571,0.233339333333333,1.4836225121067
"ACSBG1",36.98888,36.98888,0.55242,0.59011,0.153687,0.432072333333333,26.5272075409599
"ACSBG2",0.47714,0.47714,0.197015,0.231607,0.314471,0.247697666666667,1.18389257226577
"ACSF2",20.97351,20.97351,3.790468,0.103387,0.401622,1.43182566666667,9.03580807670287
"ACSF3",41.9885,41.9885,15.936521,17.370704,11.494527,14.9339173333333,2.69792412629562
"ACSL1",43.06726,43.06726,66.084552,37.18949,48.558232,50.610758,0.85383865123624
"ACSL3",28.00617,28.00617,73.488712,65.270923,63.439938,67.3998576666667,0.424067695306559
"ACSL4",10.72532,10.72532,54.339586,41.762906,53.930897,50.0111296666667,0.229858073652149
"ACSL5",6.67999,6.67999,0.142479,0.46299,0.406441,0.337303333333333,5.74289303598535
"ACSL6",16.26432,16.26432,11.708049,13.623248,10.446289,11.925862,1.33564167712761
"ACSM1",1.51441,1.51441,0,0,0,0,2.51441
"ACSM2A",0,0,2.512588,2.655216,3.553189,2.90699766666667,0.255951010294094
"ACSM2B",0,0,0.796975,0.262418,0.897249,0.652214,0.605248472655479
"ACSM3",0.62236,0.62236,3.872745,2.186119,2.135456,2.73144,0.434781210471025
"ACSM4",0,0,0.061611,0.022679,0,0.0280966666666667,0.972671182022443
"ACSM5",5.539,5.539,0.022484,0.016566,0,0.0130166666666667,6.45497770684918
"ACSS1",29.04343,29.04343,0.353285,0.35178,0.113193,0.272752666666667,23.6050811652853
"ACSS2",60.70077,60.70077,146.808707,110.205765,81.323006,112.779159333333,0.542285339086029
"ACSS3",5.26931,5.26931,0.364544,0.348917,0.164893,0.292784666666667,4.84946191090344
"ACTA1",82.19291,82.19291,4.15909,2.452237,3.446297,3.35254133333333,19.1136404295299
"ACTA2",69.72498,69.72498,8.348186,2.056176,1.61452,4.006294,14.1272126646977
"ACTB",3491.18631,3491.18631,1765.679464,2247.587352,2160.56381,2057.943542,1.69610591002791
"ACTBL2",0,0,0.117374,0,0,0.0391246666666667,0.962348438140563
"ACTC1",18.52556,18.52556,1.111111,1.335114,1.670489,1.372238,8.23086047858604
"ACTG1",1159.14406,1159.14406,1443.150928,1808.077082,1625.665986,1625.631332,0.713218808206259
"ACTG2",26.26356,26.26356,2.589937,0.036068,0,0.875335,14.5379678830716
"ACTL10",0.74683,0.74683,0.26036,0.131968,0.19882,0.197049333333333,1.45927987373397
"ACTL6A",67.56747,67.56747,59.834895,86.693273,51.995615,66.1745943333333,1.02073515561188
"ACTL6B",40.0177,40.0177,142.900347,135.126617,106.324192,128.117052,0.31767841167873
"ACTL7A",0,0,0,0.033462,0,0.011154,0.988969039335254
"ACTL7B",0.10373,0.10373,0,0,0,0,1.10373
"ACTL8",0,0,0.040507,0,0,0.0135023333333333,0.986677550816361
"ACTL9",0,0,0,0,0,0,1
"ACTN1",25.99387,25.99387,60.429453,20.280129,28.820641,36.5100743333333,0.719643201986723
"ACTN2",64.70461,64.70461,14.750099,6.175347,6.173399,9.03294833333333,6.54888352028126
"ACTN4",796.8895,796.8895,127.535578,103.462361,102.995419,111.331119333333,7.10301388195313
"ACTR10",63.0035,63.0035,157.59723,204.668492,146.120837,169.462186333333,0.375470368981677
