"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"ABCA11P",6.26508,6.26508,4.636006,3.841444,3.107302,3.861584,111,76,68,1.49438536904844
"ABCA12",0.20745,0.20745,0.045246,0.050407,0.030483,0.0420453333333333,6,6,4,1.15873077818751
"ABCA13",0.37342,0.37342,0.064986,0.353211,0.084842,0.167679666666667,4,8,5,1.17619586878707
"ABCA17P",10.01998,10.01998,1.321805,0.403783,0.722064,0.815884,13,4,7,6.06865857070165
"ABCA2",1729.4948,1729.4948,50.768809,33.180849,36.909447,40.2863683333333,1020,646,751,41.914434954136
"ABCA3",41.46987,41.46987,21.599438,17.726576,24.450837,21.2589503333333,1930,1121,1708,1.90799068976763
"ABCA4",0.04149,0.04149,1.22204,0.556301,1.285668,1.02133633333333,23,10,13,0.515248245838685
"ABCA5",15.64196,15.64196,6.679427,7.075997,6.759744,6.83838933333333,323,230,276,2.12313516110112
"ABCA6",9.25241,9.25241,1.179883,0.523131,0.304506,0.669173333333333,17,18,12,6.14220811898904
"ABCA7",20.53785,20.53785,24.152072,12.964013,24.639795,20.5852933333333,710,377,537,0.997802052879213
"ABCA8",43.39918,43.39918,8.680828,3.745783,8.184944,6.87051833333333,258,141,202,5.64120152188198
"ABCA9",3.17403,3.17403,2.080644,1.631188,5.048676,2.92016933333333,56,70,42,1.06475757679855
"ABCB1",22.50866,22.50866,0.242278,0.606745,0.127132,0.325385,1,5,2,17.7372310687083
"ABCB10",4.64695,4.64695,4.487977,5.694735,6.12157,5.43476066666667,229,188,232,0.877569546487147
"ABCB10P3",0,0,0,0,0,0,0,0,0,1
"ABCB10P4",0,0,0.036736,0,0,0.0122453333333333,1,0,0,0.987902800902021
"ABCB11",0.14522,0.14522,1.580405,3.39585,0.543683,1.83997933333333,8,15,6,0.403249413317327
"ABCB4",2.38571,2.38571,0.391427,0.466284,0.700631,0.519447333333333,11,23,7,2.2282509737093
"ABCB5",0.08298,0.08298,0.218901,0.076822,0,0.0985743333333333,4,2,0,0.985804935669654
"ABCB6",42.36192,42.36192,17.599676,11.88309,16.193697,15.2254876666667,250,162,216,2.67245711751899
"ABCB7",9.43911,9.43911,5.349743,5.631146,5.087587,5.35615866666667,135,114,121,1.6423614556297
"ABCB8",23.23474,23.23474,25.451568,21.496367,20.678115,22.5420166666667,717,431,556,1.0294249784605
"ABCB9",23.31773,23.31773,20.038858,11.346602,23.406662,18.2640406666667,473,230,418,1.26233797056284
"ABCC1",2.15751,2.15751,8.866004,11.470193,9.218329,9.85150866666667,759,724,593,0.290974287261931
"ABCC10",32.79833,32.79833,67.229562,58.653056,74.269479,66.7173656666667,908,586,738,0.499108753969692
"ABCC11",0.70534,0.70534,0.446327,0.700426,0.435039,0.527264,5,6,8,1.11659804722694
"ABCC12",0.85056,0.85056,0,0,0,0,0,0,0,1.85056
"ABCC13",0,0,0,0.032583,0.030135,0.020906,0,1,1,0.979522110752606
"ABCC2",0.47714,0.47714,1.027977,1.07924,0.751123,0.95278,20,15,18,0.756429295670787
"ABCC3",3.25701,3.25701,0.387771,0.982346,0.063447,0.477854666666667,3,5,1,2.88053358426765
"ABCC4",2.67614,2.67614,3.039078,1.546278,3.664319,2.74989166666667,130,109,125,0.980332320711487
"ABCC5",24.9566,24.9566,47.052923,36.864191,46.334162,43.417092,2382,1605,1925,0.584383146920109
"ABCC6",0.18671,0.18671,0.700877,0.769524,0.372597,0.614332666666667,31,27,18,0.735108707457653
"ABCC6P1",0.4564,0.4564,0.068151,0,0.668788,0.245646333333333,3,0,10,1.16919221855107
"ABCC6P2",0.58087,0.58087,0.199733,0,0.688996,0.296243,2,0,5,1.21957842781022
"ABCC8",42.46564,42.46564,29.752164,6.667184,22.439929,19.619759,265,116,210,2.10796062165421
"ABCC9",2.36497,2.36497,0.152849,0.551804,0.203548,0.302733666666667,19,57,23,2.58300686172487
"ABCD1",4.41875,4.41875,7.294446,8.044954,7.763412,7.70093733333333,256,196,196,0.62277772984765
"ABCD1P2",0,0,0,0,0,0,0,0,0,1
"ABCD2",0.6846,0.6846,0.010725,0,0.024448,0.0117243333333333,1,0,2,1.66507806968499
"ABCD3",18.04842,18.04842,11.69952,13.13055,9.707609,11.5125596666667,544,496,467,1.52234398935534
"ABCD4",110.40653,110.40653,70.916088,64.134004,67.343217,67.4644363333333,895,680,780,1.62721751563971
"ABCE1",12.79985,12.79985,31.583438,49.79339,37.572001,39.6496096666667,980,1003,995,0.339482964612969
"ABCF1",50.45259,50.45259,79.412855,49.138765,60.340286,62.9639686666667,982,733,819,0.804399587338509
"ABCF2",18.83674,18.83674,41.126604,23.175533,34.428163,32.9101,544,392,458,0.584980286109448
"ABCF3",38.0054,38.0054,48.291703,49.874702,42.97229,47.0462316666667,634,530,501,0.811830577486497
"ABCG1",17.71649,17.71649,4.150456,4.415328,3.848561,4.138115,183,146,140,3.64267635115212
"ABCG2",17.34308,17.34308,2.961168,3.343736,4.879457,3.72812033333333,130,124,137,3.87957131096706
"ABCG4",5.18633,5.18633,3.253555,1.724564,3.36298,2.78036633333333,122,50,91,1.63643664516111
"ABCG5",0.10373,0.10373,0,0.053623,0,0.0178743333333333,0,2,0,1.08434800235655
"ABCG8",0.18671,0.18671,0.166037,0.120609,0.140823,0.142489666666667,13,5,8,1.03870523701308
"ABHD1",7.0949,7.0949,0.539133,1.449996,2.556852,1.515327,16,11,17,3.21822967749322
"ABHD10",14.95737,14.95737,17.896254,16.509149,18.709231,17.704878,474,316,439,0.853112754865335
"ABHD11",16.18134,16.18134,8.315591,5.793527,10.881287,8.330135,88,44,86,1.84148889592701
"ABHD12",147.18796,147.18796,34.456652,32.027544,41.779576,36.087924,424,313,435,3.99558519371427
"ABHD12B",6.05763,6.05763,3.893477,1.544872,5.021108,3.48648566666667,34,27,39,1.57308649227082
"ABHD13",1.72186,1.72186,3.072772,3.602061,3.056116,3.24364966666667,238,226,207,0.641396018474349
"ABHD14A",73.3969,73.3969,19.98651,11.809536,18.625674,16.80724,220,94,202,4.17790179724651
"ABHD14B",11.78333,11.78333,6.270991,5.484107,6.977415,6.244171,142,105,131,1.76463669894043
"ABHD15",2.28198,2.28198,2.267084,2.653537,2.449372,2.45666433333333,118,109,110,0.949464478905627
"ABHD16A",50.39035,50.39035,43.283793,44.460669,44.105033,43.9498316666667,632,478,592,1.1432823682432
"ABHD16B",4.23204,4.23204,0,0,0,0,0,0,0,5.23204
"ABHD2",9.37688,9.37688,43.040132,37.278752,34.676228,38.331704,4800,3122,3837,0.26382991186957
"ABHD3",4.41875,4.41875,3.984849,5.25904,2.915345,4.053078,43,53,50,1.07236618947897
"ABHD4",21.57512,21.57512,36.086594,26.455903,21.679738,28.0740783333333,296,237,316,0.776468981791168
"ABHD5",4.89589,4.89589,2.814933,3.503613,4.082079,3.466875,117,93,117,1.31991380999021
"ABHD6",33.79411,33.79411,11.831495,8.409419,12.306665,10.849193,138,99,156,2.93641178770571
"ABHD8",42.59012,42.59012,3.366122,1.881682,2.264601,2.504135,60,36,33,12.4396234734107
"ABI1",26.90666,26.90666,12.69711,14.372399,14.823763,13.964424,447,426,457,1.86486696714822
"ABI2",41.15869,41.15869,23.445738,22.714472,18.676018,21.612076,1466,1126,1250,1.86443252711516
"ABI3",5.29005,5.29005,0,0.122185,0,0.0407283333333333,0,1,0,6.04389233821827
"ABI3BP",6.14061,6.14061,2.697237,9.393819,2.628398,4.90648466666667,50,93,34,1.20894413563759
"ABL1",41.69807,41.69807,20.002516,27.75208,18.375548,22.0433813333333,1348,1318,1125,1.85294290722149
"ABL2",4.06608,4.06608,7.647104,11.288064,8.405532,9.11356666666667,1295,1485,1218,0.500919227308533
"ABLIM1",28.96045,28.96045,13.234586,13.893529,13.950169,13.6927613333333,1252,905,1223,2.03912997157512
"ABLIM2",57.71345,57.71345,2.618199,1.169305,2.227903,2.00513566666667,73,27,55,19.5377036222547
"ABLIM3",20.45487,20.45487,39.693627,31.45544,35.010631,35.386566,1694,1071,1302,0.589637120469131
"ABO",1.24472,1.24472,0.081458,0.061784,0.056364,0.0665353333333333,8,5,5,2.10468413923464
"ABR",149.67739,149.67739,198.031654,211.438013,200.361185,203.276950666667,1298,1199,1252,0.737613272120314
"ABRA",0.26969,0.26969,0,0,0,0,0,0,0,1.26969
"ABRACL",10.60085,10.60085,16.160065,20.958007,19.636272,18.9181146666667,132,135,145,0.582427111910056
"ABT1",5.91241,5.91241,4.559478,4.690372,4.720066,4.65663866666667,202,168,186,1.22199956676273
"ABTB1",51.5106,51.5106,6.145615,3.499741,5.352266,4.99920733333333,109,78,105,8.75292302505298
"ABTB2",17.65426,17.65426,1.812701,1.607969,1.602889,1.67451966666667,139,98,106,6.97480756357621
"ACAA1",79.76571,79.76571,38.003127,38.829187,39.570663,38.8009923333333,550,465,521,2.02923860097726
"ACAA2",30.05995,30.05995,13.362606,16.013843,12.490575,13.9556746666667,285,274,234,2.07680032444318
"ACACA",42.25819,42.25819,42.363631,48.905645,32.241697,41.1703243333333,1667,1457,1400,1.02579694806394
"ACACB",19.58357,19.58357,3.811888,6.196471,2.56891,4.192423,69,75,51,3.96415507750428
"ACAD10",21.69959,21.69959,21.73928,19.257871,23.277153,21.424768,392,285,343,1.01225528843821
"ACAD11",21.80332,21.80332,13.192374,11.007639,9.386726,11.1955796666667,340,270,275,1.8698020613425
"ACAD8",25.95238,25.95238,26.483493,20.192299,24.101738,23.59251,534,375,468,1.09595889154869
"ACAD9",22.19748,22.19748,19.252462,17.316786,16.985834,17.851694,406,304,324,1.2305249597198
"ACADL",1.59739,1.59739,0.207989,0.400506,0.246715,0.28507,5,7,5,2.0212050705409
"ACADM",29.87324,29.87324,27.650351,25.508799,28.982212,27.380454,462,377,403,1.08783460616944
"ACADS",12.34346,12.34346,4.599063,3.579749,4.281652,4.153488,112,71,98,2.58920948297541
"ACADSB",7.24011,7.24011,2.345294,3.480124,2.567987,2.79780166666667,193,175,184,2.16970519348693
"ACADVL",537.46943,537.46943,487.069067,525.545782,529.790065,514.134971333333,2890,2306,2580,1.04529775683113
"ACAN",1.57664,1.57664,13.521626,21.358045,13.180758,16.020143,1180,1435,924,0.151387682230402
"ACAP1",64.37269,64.37269,8.203837,7.799579,5.089685,7.03103366666667,31,27,34,8.14000945747914
"ACAP2",4.87515,4.87515,4.317336,5.926497,4.813944,5.019259,442,447,434,0.976058680977177
"ACAP3",304.41664,304.41664,268.243739,185.674788,241.306196,231.741574333333,3432,1616,2456,1.31225648393433
"ACAT1",101.6935,101.6935,56.259875,44.471839,63.751794,54.827836,369,255,375,1.83946768060292
"ACAT2",21.38841,21.38841,25.297509,32.783013,27.509826,28.530116,501,530,488,0.75815516606843
"ACBD3",9.95775,9.95775,54.125804,44.820301,37.958539,45.6348813333333,793,793,708,0.234968969293114
"ACBD4",21.11872,21.11872,3.937219,4.63266,2.073499,3.54779266666667,64,68,45,4.86361662045866
"ACBD5",28.48331,28.48331,7.912379,6.095147,7.392269,7.133265,308,226,288,3.62502758732194
"ACBD6",200.71085,200.71085,24.856558,25.060157,20.197148,23.3712876666667,434,305,343,8.276577452897
"ACBD7",18.40109,18.40109,0.811197,0.918754,0.914356,0.881435666666667,39,38,35,10.3118540504618
"ACCS",17.9032,17.9032,23.189882,13.116107,20.465664,18.9238843333333,320,206,258,0.948770816159292
"ACCSL",0,0,0,0,0,0,0,0,0,1
"ACD",14.29352,14.29352,8.520872,12.288536,11.733328,10.8475786666667,141,109,166,1.29085616819144
"ACE",3.2985,3.2985,1.303784,1.277742,1.252099,1.277875,41,16,21,1.88706579597212
"ACE2",0.97503,0.97503,0,0.275135,0.093605,0.122913333333333,0,1,2,1.75884455315637
"ACE3P",0,0,0,0,0,0,0,0,0,1
"ACER1",0.53938,0.53938,0.050862,0,0,0.016954,1,0,0,1.51371645128492
"ACER2",0.56012,0.56012,0.79589,1.105758,0.950331,0.950659666666667,33,37,35,0.799790976693525
"ACER3",38.85596,38.85596,2.862275,3.818158,3.438456,3.372963,324,261,332,9.11417727522506
"ACHE",73.60435,73.60435,23.639298,15.646921,24.253111,21.1797766666667,666,324,578,3.36362043320845
"ACIN1",97.73114,97.73114,177.532807,182.921232,142.933279,167.795772666667,3282,2682,2593,0.58491476676357
"ACLY",35.35,35.35,146.457605,153.677986,123.036365,141.057318666667,4402,3834,3894,0.255882627809513
"ACMSD",0.12447,0.12447,0,0.090128,0.068505,0.0528776666666667,0,2,1,1.0679968201434
"ACO1",8.81676,8.81676,7.828545,10.438737,8.19943,8.82223733333333,589,574,554,0.999442353799094
"ACO2",127.9778,127.9778,44.21915,38.397711,34.421423,39.0127613333333,1102,814,929,3.22341662265015
"ACOT1",1.84633,1.84633,3.574162,4.075885,3.688916,3.77965433333333,68,59,57,0.5955095915932
"ACOT11",2.94583,2.94583,0.37798,0.458171,0.465699,0.43395,35,34,33,2.75172077129607
"ACOT12",0,0,0.838379,0.711122,0.64397,0.731157,19,13,12,0.57764835887213
"ACOT13",33.44144,33.44144,12.191412,9.46509,13.396844,11.6844486666667,229,175,231,2.71524927137813
"ACOT2",8.81676,8.81676,21.539035,15.077116,15.11408,17.2434103333333,178,108,135,0.538098953026528
"ACOT4",0.53938,0.53938,0.146906,0.447474,0.101508,0.231962666666667,5,12,3,1.24953461793215
"ACOT6",0,0,0,0.122286,0,0.040762,0,1,0,0.960834465516612
"ACOT7",128.33047,128.33047,38.203304,38.030315,39.780133,38.6712506666667,695,547,661,3.2600552749568
"ACOT8",41.69807,41.69807,9.983366,11.016138,11.40912,10.8028746666667,177,144,156,3.6175992040809
"ACOT9",7.92471,7.92471,23.22135,28.851472,24.154281,25.4090343333333,541,489,487,0.33794155012837
"ACOX1",45.41148,45.41148,33.537489,28.271905,20.230548,27.3466473333333,771,581,655,1.6372828664441
"ACOX2",6.45179,6.45179,5.459635,7.803665,5.815802,6.35970066666667,51,58,35,1.01251264657412
"ACOX3",11.70035,11.70035,8.870189,7.235071,11.373044,9.15943466666667,158,135,150,1.25010400841202
"ACOXL",0.20745,0.20745,0.239138,0.162594,0.206492,0.202741333333333,7,4,5,1.00391494541359
"ACP1",49.4983,49.4983,58.248272,76.17287,65.299677,66.5736063333333,903,859,858,0.747308050289596
"ACP2",24.0853,24.0853,169.629988,98.736759,157.367625,141.911457333333,899,467,753,0.175530363121901
"ACP5",12.15675,12.15675,7.63295,1.018418,10.927006,6.52612466666667,32,7,35,1.74814404261352
"ACP6",6.14061,6.14061,24.331622,19.56541,23.987726,22.6282526666667,367,301,340,0.302206434844568
"ACR",1.05801,1.05801,0.050784,0.062833,0,0.0378723333333333,1,1,0,1.98291247767468
"ACRBP",2.86285,2.86285,0.933344,1.400639,0.994766,1.109583,9,11,8,1.83109647736069
"ACRV1",0.82981,0.82981,0.230836,0.190941,0.387534,0.269770333333333,4,4,4,1.44105587598387
"ACSBG1",36.98888,36.98888,1.680716,3.357604,1.221717,2.086679,49,54,34,12.307363350708
"ACSBG2",0.47714,0.47714,0.206484,0.414199,0.534768,0.385150333333333,2,2,6,1.06641132334372
"ACSF2",20.97351,20.97351,52.435691,50.495669,51.622443,51.5179343333333,334,301,283,0.418400119481724
"ACSF3",41.9885,41.9885,19.896846,16.478566,14.431669,16.9356936666667,339,249,243,2.39681279123839
"ACSL1",43.06726,43.06726,22.571965,34.049958,24.018834,26.8802523333333,390,247,333,1.58059042913732
"ACSL3",28.00617,28.00617,125.144372,117.20619,162.941162,135.097241333333,2688,1748,2708,0.213128272960047
"ACSL4",10.72532,10.72532,25.373504,30.774505,32.691471,29.61316,1627,1473,1507,0.383015670384893
"ACSL5",6.67999,6.67999,0.550356,0.183705,0.680974,0.471678333333333,9,2,6,5.21852488145621
"ACSL6",16.26432,16.26432,5.279576,2.761154,5.097792,4.37950733333333,259,134,211,3.2092752979486
"ACSM1",1.51441,1.51441,0,0.132055,0,0.0440183333333333,0,1,0,2.4083964042777
"ACSM2A",0,0,0.231348,3.931815,1.327585,1.83024933333333,4,10,8,0.353325761169687
"ACSM2B",0,0,0.259345,0.573845,1.003013,0.612067666666667,6,3,7,0.620321355410433
"ACSM3",0.62236,0.62236,0.848148,3.771251,3.221045,2.61348133333333,19,43,27,0.448974230206807
"ACSM4",0,0,0.291138,0.408874,0.146039,0.282017,9,5,4,0.780020857757736
"ACSM5",5.539,5.539,0,0.083985,0,0.027995,0,1,0,6.36092587998969
"ACSS1",29.04343,29.04343,2.170075,1.974672,2.210112,2.11828633333333,125,92,110,9.63459630978938
"ACSS2",60.70077,60.70077,53.386125,66.083436,55.009702,58.1597543333333,306,259,305,1.04295176163764
"ACSS3",5.26931,5.26931,7.547094,17.434579,3.069008,9.350227,223,394,163,0.605717149971687
"ACTA1",82.19291,82.19291,0.240853,0.05949,0.233685,0.178009333333333,5,1,4,70.6216051485727
"ACTA2",69.72498,69.72498,6.327661,72.105899,6.461854,28.2984713333333,99,1023,93,2.41394778571724
"ACTB",3491.18631,3491.18631,1508.849694,1933.919489,1684.423797,1709.06432666667,16993,17349,16522,2.04213739538508
"ACTBL2",0,0,0.024972,0,0,0.008324,1,0,0,0.991744716975893
"ACTBP1",0,0,0,0,0,0,0,0,0,1
"ACTBP12",0,0,0,0,0,0,0,0,0,1
"ACTC1",18.52556,18.52556,0.053354,2.151921,0.356773,0.854016,1,24,3,10.5314948738306
"ACTG1",1159.14406,1159.14406,1419.3332,1648.589858,1463.03336,1510.318806,26010,23050,24917,0.767636884682556
"ACTG1P10",0,0,0.214912,0,0,0.0716373333333333,3,0,0,0.933151513945016
"ACTG2",26.26356,26.26356,7.933159,66.52499,5.367457,26.6085353333333,155,991,99,0.98750475788852
"ACTL10",0.74683,0.74683,0.108181,0.047738,0.13155,0.095823,3,1,3,1.5940804308725
"ACTL6A",67.56747,67.56747,127.358034,224.770196,142.955043,165.027757666667,297,293,270,0.412987990463996
"ACTL6B",40.0177,40.0177,28.097481,15.805406,34.483202,26.1286963333333,158,77,164,1.51196723558003
"ACTL7A",0,0,0,0,0,0,0,0,0,1
"ACTL7B",0.10373,0.10373,0,0,0.060404,0.0201346666666667,0,0,1,1.08194539021646
"ACTL8",0,0,0,0,0,0,0,0,0,1
"ACTL9",0,0,0,0,0,0,0,0,0,1
"ACTN1",25.99387,25.99387,90.571305,205.524402,69.241953,121.77922,1789,3484,1635,0.219856992087097
"ACTN2",64.70461,64.70461,1.088077,0.737005,1.599137,1.14140633333333,35,16,39,30.6829250372691
"ACTN4",796.8895,796.8895,278.496919,323.301901,259.392949,287.063923,4353,4197,3672,2.76983487446292
"ACTN4P1",0,0,0,0,0,0,0,0,0,1
"ACTR10",63.0035,63.0035,106.898089,119.583704,114.844543,113.775445333333,926,725,903,0.557641051307792
"ACTR1A",75.76186,75.76186,74.839265,81.902002,83.592002,80.1110896666667,2113,1784,2155,0.946379346097553
"ACTR1B",70.53405,70.53405,21.363274,19.600556,20.09068,20.3515033333333,569,419,496,3.35030507609847
"ACTR2",55.16177,55.16177,75.976968,94.052154,82.283986,84.1043693333333,4054,4017,3903,0.659916411342264
"ACTR3",37.94317,37.94317,45.55178,67.520844,47.924974,53.665866,1318,1529,1194,0.712385494816821
"ACTR3B",43.35769,43.35769,10.065129,3.446338,9.264419,7.591962,128,93,123,5.16269625028602
"ACTR3BP2",0,0,0,0,0,0,0,0,0,1
"ACTR3C",1.34844,1.34844,0.124921,0.064517,0.014714,0.0680506666666667,4,4,1,2.19880954461586
"ACTR3P2",0,0,0,0,0,0,0,0,0,1
"ACTR5",9.43911,9.43911,2.283258,2.083983,2.205831,2.191024,85,62,72,3.27139814680178
"ACTR6",18.31811,18.31811,13.415528,14.382194,12.825706,13.5411426666667,179,170,172,1.32851388937156
"ACTR6P1",0,0,0,0,0,0,0,0,0,1
"ACTR8",13.44296,13.44296,27.345583,31.670753,28.516672,29.1776693333333,451,420,408,0.478597596138637
"ACTRT1",0,0,0.102041,0,0,0.0340136666666667,2,0,0,0.967105205895087
"ACTRT2",0,0,0,0,0,0,0,0,0,1
"ACTRT3",0.26969,0.26969,1.292807,1.228868,1.115009,1.212228,30,23,23,0.573941745606692
"ACVR1",9.12794,9.12794,7.037928,8.229634,8.26402,7.84386066666667,266,286,274,1.14519443280842
"ACVR1B",11.99079,11.99079,23.506718,19.491365,37.165374,26.7211523333333,1068,588,961,0.468623736985825
"ACVR1C",0.58087,0.58087,0.0076,0,0,0.00253333333333333,1,0,0,1.57687524936827
"ACVR2A",8.40185,8.40185,16.277364,13.847823,12.988231,14.3711393333333,858,613,699,0.611656026018284
"ACVR2B",0.85056,0.85056,4.35859,4.450622,4.619946,4.476386,801,656,751,0.337916282745592
"ACVRL1",11.2647,11.2647,0.590729,2.94744,0.548938,1.362369,17,29,14,5.19169528553753
"ACY1",14.97811,14.97811,20.950655,16.690042,15.695317,17.7786713333333,158,95,107,0.850864777192082
"ACY3",14.35575,14.35575,0,0,0,0,0,0,0,15.35575
"ACYP1",32.25895,32.25895,10.41891,8.717873,14.17402,11.103601,56,39,67,2.74785578275424
"ACYP2",455.27652,455.27652,10.213957,4.257689,7.281641,7.25109566666667,107,43,69,55.2989007076111
"ADA",13.42221,13.42221,1.881756,4.803617,1.30235,2.66257433333333,34,81,20,3.93772485891754
"ADAD1",0,0,0,0,0,0,0,0,0,1
"ADAD2",2.09528,2.09528,0.3516,0,0,0.1172,2,0,0,2.77056928034372
"ADAL",6.32732,6.32732,7.68946,6.63051,7.245079,7.18834966666667,179,129,165,0.89484698361481
"ADAM10",25.70344,25.70344,123.897107,145.822332,94.147613,121.289017333333,2639,2371,2045,0.218363354144978
"ADAM11",19.9155,19.9155,76.352617,40.073029,61.625283,59.3503096666667,3716,1536,3032,0.3465682299813
"ADAM12",1.95006,1.95006,263.2453,223.75449,242.910757,243.303515666667,19064,13110,16722,0.0120753890583594
"ADAM15",157.24943,157.24943,60.668103,38.00024,71.175865,56.614736,825,388,844,2.74668324436998
"ADAM17",11.9493,11.9493,20.368008,22.287947,19.327487,20.6611473333333,954,877,913,0.597812285781969
"ADAM18",0,0,0.173553,0,0.041788,0.0717803333333333,3,0,1,0.933027010198918
"ADAM19",4.56397,4.56397,29.941341,40.231067,28.930422,33.0342766666667,3088,3156,2634,0.163481364816235
"ADAM1B",0.37342,0.37342,0.246283,0.130195,0.235106,0.203861333333333,7,3,6,1.14084567879357
"ADAM2",1.34844,1.34844,0,0,0,0,0,0,0,2.34844
"ADAM20",0,0,0.04832,0.029938,0.054296,0.0441846666666667,2,1,2,0.95768500718583
"ADAM20P3",0,0,0,0,0,0,0,0,0,1
"ADAM21",0.41491,0.41491,0.668215,0.347816,0.872414,0.629481666666667,26,11,31,0.868319066697078
"ADAM21P1",0.26969,0.26969,0.092513,0.167063,0.171162,0.143579333333333,3,4,4,1.11027714736596
"ADAM22",21.4299,21.4299,4.293794,2.708427,3.651038,3.55108633333333,478,274,429,4.92847165647411
"ADAM23",13.42221,13.42221,37.576591,23.373305,38.05317,33.001022,1238,742,1078,0.424169897010743
"ADAM24P",0,0,0,0,0,0,0,0,0,1
"ADAM28",18.21438,18.21438,0.348438,0.553339,0.041631,0.314469333333333,9,6,4,14.6175947302435
"ADAM29",0.08298,0.08298,0.239099,0.065655,0.330303,0.211685666666667,6,2,12,0.893779657375386
"ADAM30",0,0,0,0,0,0,0,0,0,1
"ADAM32",8.92048,8.92048,2.254211,1.354362,2.923583,2.17738533333333,55,59,42,3.12221495325926
"ADAM33",7.98694,7.98694,2.494698,2.736092,1.700388,2.31039266666667,101,92,56,2.71476555953382
"ADAM3A",0.74683,0.74683,0.436679,0.176368,0.214035,0.275694,6,2,3,1.36931740683894
"ADAM3B",0,0,0,0,0,0,0,0,0,1
"ADAM5",0,0,0,0.04341,0,0.01447,0,1,0,0.985736394373417
"ADAM6",0,0,0,0,0,0,0,0,0,1
"ADAM7",0,0,0,0,0,0,0,0,0,1
"ADAM8",7.5098,7.5098,5.202434,6.064427,4.039568,5.102143,86,51,59,1.39455925565822
