"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"S1PR3",3.07031,3.07031,0.794508,1.157438,1.41975,1.12389866666667,46,86,61,1.91643323849725
"S1PR4",2.26124,2.26124,0.118384,0.151073,0,0.089819,2,3,0,2.99246021587071
"S1PR5",77.33851,77.33851,0.051884,0.091232,0.147843,0.0969863333333333,1,2,2,71.4124758163198
"SAA1",8.13216,8.13216,0,0,0,0,0,0,0,9.13216
"SAA2",2.32347,2.32347,0.496814,0.084833,0.285003,0.288883333333333,5,1,2,2.57856542485097
"SAA3P",0,0,0,0,0,0,0,0,0,1
"SAA4",0,0,0.186145,0,0,0.0620483333333333,1,0,0,0.94157673301121
"SAAL1",16.24358,16.24358,14.483424,15.368542,18.11775,15.9899053333333,92,107,82,1.01493090524577
"SAC3D1",14.45948,14.45948,7.636977,8.187753,8.208798,8.011176,79,103,54,1.71558961893542
"SACM1L",16.13985,16.13985,26.14357,25.54751,28.580538,26.757206,703,712,457,0.617491904624694
"SACS",7.77949,7.77949,6.541821,6.893054,7.492352,6.97574233333333,1382,1580,1137,1.10077402617529
"SAE1",32.32119,32.32119,59.830052,61.331728,64.915336,62.0257053333333,955,1044,795,0.528692060227955
"SAFB",183.4715,183.4715,41.189698,46.921406,54.772515,47.627873,992,1155,831,3.79353421442061
"SAFB2",243.01053,243.01053,34.898906,39.054429,40.544282,38.1658723333333,492,552,392,6.23018243850852
"SAG",0.85056,0.85056,0.111814,0.279025,0.382017,0.257618666666667,7,12,7,1.47147943096689
"SAGE1",0.14522,0.14522,0,0,0,0,0,0,0,1.14522
"SALL1",26.20132,26.20132,7.711902,2.85099,3.623056,4.72864933333333,307,148,106,4.7482955260891
"SALL2",25.26778,25.26778,22.923233,22.180514,28.558324,24.5540236666667,1250,1343,1165,1.02793126994965
"SALL3",3.44372,3.44372,2.947358,11.675653,4.642026,6.421679,153,213,158,0.598748612005451
"SALL4",0.99577,0.99577,0.661311,0.996605,1.656179,1.10469833333333,39,62,55,0.948245156273385
"SALL4P1",0,0,0,0,0,0,0,0,0,1
"SALL4P5",0,0,0,0,0,0,0,0,0,1
"SAMD1",56.69693,56.69693,21.552218,31.093934,31.971341,28.205831,353,488,361,1.97552776361679
"SAMD10",6.36881,6.36881,14.832778,16.621357,19.091713,16.848616,299,360,287,0.412850497764084
"SAMD11",5.60123,5.60123,54.133818,41.559592,43.368286,46.3538986666667,543,522,293,0.139402038393234
"SAMD12",21.61661,21.61661,14.885467,13.910303,19.085487,15.960419,442,496,403,1.33349358880815
"SAMD13",2.28198,2.28198,0.397459,1.251355,0.963778,0.870864,6,12,11,1.75425899477461
"SAMD14",33.64889,33.64889,55.436027,57.952996,75.982532,63.1238516666667,1068,1227,1082,0.540343243573615
"SAMD15",0.60161,0.60161,3.011978,1.586565,3.043702,2.547415,33,41,22,0.451486504962064
"SAMD3",2.84211,2.84211,9.106222,4.651024,4.543603,6.100283,36,37,21,0.541120684907911
"SAMD4A",46.46949,46.46949,4.86403,9.795103,4.877537,6.51222333333333,397,404,210,6.31896682162893
"SAMD4B",42.4449,42.4449,119.399724,101.318378,203.81823,141.512110666667,507,607,480,0.304850582850582
"SAMD5",1.41068,1.41068,1.444426,1.353573,1.044961,1.28098666666667,120,121,62,1.05685843553082
"SAMD7",0,0,0,0,0,0,0,0,0,1
"SAMD8",15.9324,15.9324,10.707768,10.329667,10.773686,10.603707,979,1012,704,1.45922333268153
"SAMD9",0.51863,0.51863,0.214276,0.300558,0.150039,0.221624333333333,20,30,10,1.24312356799267
"SAMD9L",2.67614,2.67614,0.012642,0.105757,0.028374,0.0489243333333333,1,11,2,3.50467606020517
"SAMHD1",14.62544,14.62544,26.595458,30.491694,33.434848,30.174,902,862,760,0.501233078847758
"SAMM50",31.5951,31.5951,268.703837,195.870426,272.504093,245.692785333333,483,564,383,0.132128306695136
"SAMSN1",2.24049,2.24049,0.431716,0.453011,0.193576,0.359434333333333,9,9,3,2.38370469285877
"SAP130",8.31887,8.31887,8.195947,8.677692,9.000304,8.62464766666667,447,518,349,0.968229728790418
"SAP18",255.49921,255.49921,157.005468,182.130428,161.822694,166.986196666667,1024,1152,775,1.52690646666029
"SAP25",4.95813,4.95813,0.244103,0.839138,1.978631,1.020624,2,8,13,2.94865843422626
"SAP30",15.0196,15.0196,3.15059,3.184831,3.124951,3.15345733333333,32,33,22,3.85693139819582
"SAP30BP",113.45609,113.45609,203.505851,176.301601,165.011165,181.606205666667,564,670,469,0.626791896705475
"SAP30L",18.85748,18.85748,13.381653,19.039392,20.451124,17.6240563333333,416,474,385,1.06622744500934
"SAPCD1",5.24856,5.24856,0.534429,0.8731,0.482751,0.630093333333333,5,8,2,3.83325290167434
"SAPCD2",9.0657,9.0657,0.335399,0.345837,0.278833,0.320023,14,17,8,7.62539743625679
"SAR1A",26.98965,26.98965,47.897689,47.250396,50.755385,48.63449,1134,1261,929,0.563915333873683
"SAR1B",25.51673,25.51673,17.844713,19.260432,29.072501,22.0592153333333,564,702,495,1.14994069037851
"SARDH",1.38994,1.38994,1.877914,2.430566,2.717944,2.34214133333333,47,84,42,0.715092439737238
"SARM1",11.90781,11.90781,27.639166,26.785606,30.324106,28.249626,1822,1996,1459,0.441298292155941
