"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"XXbac-B562F10.11",0.16596,0.16596,0.05227,0.05227,1.10804261263744
"XXbac-BPG116M5.15",0,0,0.07318,0.07318,0.931810134367021
"XXbac-BPG116M5.17",0,0,0.08363,0.08363,0.922824211216005
"XXbac-BPG16N22.5",0,0,0,0,1
"XXbac-BPG181B23.6",0.56012,0.56012,0.16726,0.16726,1.33656597501842
"XXbac-BPG181M17.5",3.21552,3.21552,0.37634,0.37634,3.06284784282953
"XXbac-BPG246D15.9",0,0,0.94085,0.94085,0.515238168843548
"XXbac-BPG248L24.10",0,0,0,0,1
"XXbac-BPG248L24.11",1.36919,1.36919,0.18817,0.18817,1.99398234259407
"XXbac-BPG299F13.15",0,0,0,0,1
"XXbac-BPG299F13.16",0,0,0,0,1
"XXbac-BPG300A18.12",10.06147,10.06147,30.3164,30.3164,0.353216525526561
"XXbac-BPG32J3.19",0.26969,0.26969,0.02091,0.02091,1.24368455593539
"XXbac-BPG32J3.22",41.05496,41.05496,7.38047,7.38047,5.01821019584821
"XXbac-BPG34I8.3",0,0,0,0,1
"XXbac-BPG55C20.3",0,0,0.02091,0.02091,0.979518272913381
"XXyac-YM21GA2.1",0,0,0,0,1
"XXyac-YM21GA2.6",0,0,0,0,1
"XXyac-YR12DB5.1",0,0,0.02091,0.02091,0.979518272913381
"XXyac-YRM2039.2",9.81253,9.81253,4.55791,4.55791,1.9454309263734
"XXyac-YRM2136_A.1",0,0,0,0,1
"XXyac-YX155B6.2",0.18671,0.18671,0.02091,0.02091,1.16240412964904
"XXyac-YX155B6.5",0.62236,0.62236,0.09409,0.09409,1.48283962014094
"XXyac-YX155B6.6",0,0,0,0,1
"XXyac-YX65C7_A.4",0,0,0.03136,0.03136,0.969593546385355
"XYLB",5.22782,5.22782,2.21623,2.21623,1.93637270966318
"XYLT1",11.92855,11.92855,0.71087,0.71087,7.55671091316114
"XYLT2",14.04457,14.04457,25.22533,25.22533,0.573665612596677
"YAE1D1",14.31426,14.31426,22.08915,22.08915,0.66326651262606
"YAF2",129.3055,129.3055,22.8732,22.8732,5.45823350032673
"YAP1",6.49328,6.49328,9.34581,9.34581,0.724281617389069
"YAP1P1",0,0,0.04182,0.04182,0.959858708798065
"YAP1P2",0,0,0.02091,0.02091,0.979518272913381
"YARS",31.84405,31.84405,45.54777,45.54777,0.705598785935395
"YARS2",12.40569,12.40569,23.81405,23.81405,0.540245949371425
"YBEY",14.35575,14.35575,26.17664,26.17664,0.565034897617954
"YBX1",205.98016,205.98016,319.96345,319.96345,0.64487143318032
"YBX1P1",0.29043,0.29043,5.35241,5.35241,0.203140225520708
"YBX1P10",0,0,0.36589,0.36589,0.732123377431565
"YBX1P2",0,0,0.18817,0.18817,0.841630406423323
"YBX1P3",0,0,0.01045,0.01045,0.989658073135732
"YBX1P4",0,0,0.02091,0.02091,0.979518272913381
"YBX1P5",0,0,0,0,1
"YBX1P6",0,0,0.01045,0.01045,0.989658073135732
"YBX1P7",0,0,0,0,1
"YBX1P8",0,0,0.01045,0.01045,0.989658073135732
"YBX1P9",0,0,0,0,1
"YBX2",3.23627,3.23627,0.29271,0.29271,3.27704589583124
"YDJC",16.03612,16.03612,41.43938,41.43938,0.401422452448646
"YEATS2",15.18557,15.18557,9.65943,9.65943,1.51842734555225
"YEATS4",7.94545,7.94545,16.84128,16.84128,0.501390595293611
"YES1",25.06033,25.06033,4.30702,4.30702,4.91053924801489
"YIF1A",79.1226,79.1226,170.26316,170.26316,0.467833245632044
"YIF1B",95.07574,95.07574,225.16721,225.16721,0.424799598491753
"YIPF1",13.35998,13.35998,65.14889,65.14889,0.217085728876176
"YIPF2",28.9397,28.9397,52.69826,52.69826,0.557554378856969
"YIPF3",126.62936,126.62936,197.27612,197.27612,0.643695065245376
"YIPF4",14.6047,14.6047,15.03275,15.03275,0.9733015234442
"YIPF5",17.09413,17.09413,18.18984,18.18984,0.942901556240177
"YIPF6",10.01998,10.01998,10.30758,10.30758,0.974565733782118
"YIPF7",1.16174,1.16174,0.41816,0.41816,1.52432729734304
"YJEFN3",98.18754,98.18754,26.82479,26.82479,3.56471836804519
"YKT6",60.51406,60.51406,94.53489,94.53489,0.64389104336646
"YLPM1",32.57013,32.57013,11.45751,11.45751,2.69477046376041
"YME1L1",21.6581,21.6581,31.66496,31.66496,0.693651545876683
"YME1L1P1",0,0,0,0,1
"YOD1",2.21975,2.21975,2.95846,2.95846,0.813384498011853
"YPEL1",11.28545,11.28545,5.78102,5.78102,1.81174071157437
"YPEL2",22.57089,22.57089,8.36314,8.36314,2.51741296189099
"YPEL3",222.45193,222.45193,207.96004,207.96004,1.06935244652518
"YPEL4",32.94355,32.94355,19.10978,19.10978,1.6879125480239
"YPEL5",51.19942,51.19942,149.31349,149.31349,0.347270361429304
"YRDC",6.55552,6.55552,10.76755,10.76755,0.642063981032585
"YRDCP2",0,0,0,0,1
"YRDCP3",0,0,0,0,1
"YSK4",0.70534,0.70534,0,0,1.70534
"YTHDC1",79.03962,79.03962,19.03661,19.03661,3.99466875883695
"YTHDC2",7.19862,7.19862,4.39065,4.39065,1.52089636685743
"YTHDF1",20.43413,20.43413,20.84514,20.84514,0.981185288810234
"YTHDF1P1",0,0,0,0,1
"YTHDF2",12.40569,12.40569,32.94033,32.94033,0.39497818671769
"YTHDF3",7.57204,7.57204,11.56205,11.56205,0.682375886101393
"YWHAB",258.52802,258.52802,201.78176,201.78176,1.2798390742836
"YWHAE",1232.18829,1232.18829,700.28789,700.28789,1.75846226290889
"YWHAG",220.48113,220.48113,599.87789,599.87789,0.368595905567436
"YWHAH",370.34523,370.34523,1372.51742,1372.51742,0.270360771980599
"YWHAQ",190.93981,190.93981,383.79515,383.79515,0.498810367022557
"YWHAQP5",0,0,0,0,1
"YWHAQP6",0,0,0.11499,0.11499,0.896869030215518
"YWHAQP9",0,0,0,0,1
"YWHAZ",347.75359,347.75359,502.00819,502.00819,0.693335808309602
"YWHAZP2",0,0,0.05227,0.05227,0.950326437131155
"YWHAZP3",0.43565,0.43565,1.2022,1.2022,0.651916265552629
"YWHAZP4",0,0,0,0,1
"YWHAZP5",0.4564,0.4564,0.03136,0.03136,1.41211604095563
"YWHAZP6",0,0,0.05227,0.05227,0.950326437131155
"YWHAZP7",0,0,0,0,1
"YWHAZP8",0,0,0,0,1
"YY1",47.2993,47.2993,18.86934,18.86934,2.43084571505646
"YY1AP1",44.20825,44.20825,32.62672,32.62672,1.34441450132514
"YY2",0.18671,0.18671,0.58542,0.58542,0.748514589194031
"Z69890.1",1.68037,1.68037,0.74223,0.74223,1.53847081039817
"Z73979.1",5.18633,5.18633,0.08363,0.08363,5.70889510257191
"Z82188.1",3.79639,3.79639,4.09794,4.09794,0.940848656516161
"Z83840.1",13.94085,13.94085,0,0,14.94085
"Z83848.1",0,0,0,0,1
"Z84721.4",0,0,0,0,1
"Z95114.3",0,0,0.02091,0.02091,0.979518272913381
