"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg__TPM","FoldChange"
"CAP2",48.19135,48.19135,71.66383,56.23371,83.85417,70.5839033333333,0.687184516481848
"CAP2P1",0.20745,0.20745,0.08283,0,0.28403,0.122286666666667,1.07588376113055
"CAPG",71.26013,71.26013,51.25471,32.82833,85.16508,56.41604,1.25853559388631
"CAPN1",48.83445,48.83445,59.95178,53.69145,62.70492,58.7827166666667,0.833592930844282
"CAPN10",46.61471,46.61471,38.01861,50.18202,73.01737,53.7393333333333,0.869844535921763
"CAPN11",0,0,0.11596,0.0829,0,0.0662866666666667,0.937834103399336
"CAPN12",17.01115,17.01115,10.25426,23.35011,23.57443,19.0596,0.897881812199645
"CAPN13",6.32732,6.32732,0.74546,1.2435,1.28906,1.09267333333333,3.50141605155766
"CAPN14",0,0,0.14909,0.13817,0.28403,0.19043,0.840032593264619
"CAPN2",50.47333,50.47333,94.3259,94.50579,51.67147,80.16772,0.634160106998201
"CAPN3",410.4874,410.4874,115.72897,82.78928,92.57169,97.02998,4.19756690759296
"CAPN5",6.70073,6.70073,5.84774,7.62678,19.53247,11.00233,0.641602922099292
"CAPN6",0,0,0,0,0,0,1
"CAPN7",11.84557,11.84557,16.18483,12.18627,11.90738,13.42616,0.890435847099991
"CAPN8",4.02459,4.02459,2.98185,2.12776,1.81342,2.30767666666667,1.51906927621906
"CAPN9",9.7088,9.7088,4.40651,7.79258,5.4621,5.88706333333333,1.55491527835522
"CAPNS1",623.99811,623.99811,821.15219,614.75738,872.58155,769.49704,0.81116224664536
"CAPNS1P1",0,0,0,0,0,0,1
"CAPNS2",0,0,0.11596,0.30397,0,0.139976666666667,0.877210937065963
"CAPRIN1",60.97046,60.97046,102.60882,106.19466,52.52356,87.1090133333333,0.703338485536705
"CAPRIN2",20.45487,20.45487,44.03201,31.86116,26.98278,34.2919833333333,0.607924745893661
"CAPS",62.83754,62.83754,34.02624,115.14784,29.84492,59.673,1.05215730225965
"CAPS2",6.26508,6.26508,5.69865,4.50422,11.99477,7.39921333333333,0.8649714814562
"CAPSL",2.03304,2.03304,0.29819,5.69245,0,1.99688,1.01206588185046
"CAPZA1",37.27932,37.27932,29.03992,30.34133,47.30179,35.5610133333333,1.04699833265015
"CAPZA2",78.35503,78.35503,90.3004,99.83901,37.12044,75.7532833333333,1.03389752924793
"CAPZA3",0,0,0,0,0,0,1
"CAPZB",148.93056,148.93056,153.33343,162.9534,176.51325,164.266693333333,0.907203726147039
"CARD10",2.26124,2.26124,5.26794,6.90832,4.43523,5.53716333333333,0.498876933879068
"CARD11",2.26124,2.26124,2.36892,3.01203,1.94451,2.44182,0.947533572354161
"CARD14",4.02459,4.02459,2.99842,3.20546,2.35963,2.85450333333333,1.30356353736884
"CARD16",2.30273,2.30273,3.23034,4.44896,1.66048,3.11326,0.802947054161419
"CARD17",0,0,0,0,0,0,1
"CARD18",0,0,0,0,0,0,1
"CARD6",0.80907,0.80907,0.56324,1.02243,0.30588,0.630516666666667,1.1095072114156
"CARD8",20.97351,20.97351,16.76463,16.99446,16.95436,16.9044833333333,1.22726300395897
"CARD9",3.2985,3.2985,7.48776,5.16742,3.05878,5.23798666666667,0.689084512310596
"CARHSP1",66.302,66.302,155.75204,102.02204,50.25133,102.675136666667,0.649162394802405
"CARKD",41.73956,41.73956,74.82791,64.99345,55.64788,65.1564133333333,0.646038045996448
"CARM1",29.12641,29.12641,52.49715,41.20121,51.67147,48.45661,0.609148301915558
"CARM1P1",0,0,4.83723,0.44213,0.41512,1.89816,0.345046512269854
"CARNS1",407.74902,407.74902,94.40873,46.28573,54.48992,65.06146,6.18740518299172
"CARS",30.88976,30.88976,26.05807,22.96325,28.90544,25.9755866666667,1.18217113844666
"CARS2",41.24167,41.24167,72.12767,77.48369,72.44931,74.0202233333333,0.563070437851269
"CARTPT",7.92471,7.92471,9.88981,1.68563,49.55218,20.3758733333333,0.417513233767291
"CASC1",4.29428,4.29428,2.83276,2.54226,6.75116,4.04206,1.05002320480121
"CASC2",20.82829,20.82829,17.21191,24.06858,23.09376,21.4580833333333,0.971956942006776
"CASC3",212.4112,212.4112,73.5192,164.16926,104.52276,114.070406666667,1.85461411132581
"CASC4",43.91782,43.91782,53.88868,92.73726,57.70163,68.10919,0.649954369310362
"CASC4P1",0,0,0.08283,0.11053,0,0.0644533333333333,0.93944935741664
"CASC5",1.16174,1.16174,0.44728,0.38687,1.87896,0.90437,1.13514705650688
"CASD1",47.2993,47.2993,45.17505,23.84751,28.97098,32.6645133333333,1.43472443881064
"CASK",43.7726,43.7726,21.15458,44.95933,36.53053,34.2148133333333,1.27141381032452
"CASKIN1",171.19028,171.19028,238.51498,171.16048,240.83496,216.836806666667,0.790455399318652
"CASKIN2",24.56244,24.56244,27.88031,39.62611,25.91221,31.1395433333333,0.795357909565817
"CASKP1",0,0,0,0,0,0,1
"CASP1",2.28198,2.28198,10.95002,4.08972,13.21828,9.41934,0.314989241161148
