"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Spinal_cord","dHs_Avg__TPM","FoldChange"
"SYNPO2",8.92048,8.92048,13.43785,13.43785,0.687116156491444
"SYNPO2L",0.93354,0.93354,1.05517,1.05517,0.940817547940073
"SYNPR",139.94784,139.94784,50.83419,50.83419,2.71920599125789
"SYNRG",50.09992,50.09992,72.40304,72.40304,0.69615536359257
"SYP",339.16503,339.16503,91.70638,91.70638,3.6692731395617
"SYPL1",39.29161,39.29161,156.84739,156.84739,0.25525673880322
"SYPL2",1.5559,1.5559,0.83793,0.83793,1.3906405575838
"SYS1",32.48715,32.48715,38.69978,38.69978,0.843509712144501
"SYS1-DBNDD2",745.8353,745.8353,296.78108,296.78108,2.50800117992721
"SYT1",532.78099,532.78099,39.22736,39.22736,13.2691031675954
"SYT10",0,0,0.34138,0.34138,0.745500902056091
"SYT11",126.44265,126.44265,94.00292,94.00292,1.3414603466925
"SYT12",7.5098,7.5098,2.14137,2.14137,2.7089454601018
"SYT13",11.76259,11.76259,2.91722,2.91722,3.25807332751288
"SYT14",2.53093,2.53093,1.9862,1.9862,1.18241577925122
"SYT14L",0.89205,0.89205,0.46551,0.46551,1.29105226167
"SYT15",48.25359,48.25359,28.02398,28.02398,1.69699641468882
"SYT16",0.72609,0.72609,0.40345,0.40345,1.22989062666999
"SYT17",24.43797,24.43797,8.84478,8.84478,2.58390436353072
"SYT2",0.85056,0.85056,2.45171,2.45171,0.536128469657069
"SYT3",15.10258,15.10258,5.12066,5.12066,2.63085680302451
"SYT4",16.63774,16.63774,5.30687,5.30687,2.79659165322894
"SYT5",78.95664,78.95664,33.79636,33.79636,2.2978449470002
"SYT6",2.75913,2.75913,3.1655,3.1655,0.902443884287601
"SYT7",33.35845,33.35845,10.52063,10.52063,2.98234124349102
"SYT8",4.97887,4.97887,0.93103,0.93103,3.09620772333936
"SYT9",18.71227,18.71227,20.14127,20.14127,0.932407088126683
"SYTL1",7.65502,7.65502,12.63096,12.63096,0.63495307740614
"SYTL2",39.00118,39.00118,29.20328,29.20328,1.32439854214509
"SYTL3",2.09528,2.09528,4.46894,4.46894,0.565974393575355
"SYTL4",11.28545,11.28545,6.14479,6.14479,1.71949770392132
"SYTL5",5.85018,5.85018,2.85516,2.85516,1.77688604364021
"SYVN1",36.13833,36.13833,34.66532,34.66532,1.04130090519306
"SZRD1",25.45449,25.45449,39.4446,39.4446,0.654092017228505
"SZT2",12.30197,12.30197,9.99305,9.99305,1.21003452181151
"T",0,0,0,0,1
"TAAR1",0,0,0,0,1
"TAAR2",0,0,0,0,1
"TAAR3",0.51863,0.51863,0,0,1.51863
"TAAR4P",0,0,0,0,1
"TAAR5",0,0,0,0,1
"TAAR6",0,0,0,0,1
"TAAR7P",0,0,0,0,1
"TAAR8",0,0,0,0,1
"TAAR9",0,0,0,0,1
"TAB1",34.72764,34.72764,31.8412,31.8412,1.08789082006748
"TAB2",14.91588,14.91588,28.27225,28.27225,0.543719051319936
"TAB3",3.38149,3.38149,3.32067,3.32067,1.01407652053964
"TAB3-AS1",0,0,0,0,1
"TAB3P1",0,0,0,0,1
