"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"ABHD13",2.0793,2.0793,2.86622,3.359063,3.388676,3.204653,195,241,166,0.732355321592531
"ABHD14A",68.67892,68.67892,25.012009,25.594496,21.460029,24.022178,268,287,164,2.7846864489574
"ABHD14B",19.67575,19.67575,1.988993,2.13046,2.242736,2.12072966666667,33,40,33,6.62529350774696
"ABHD15",2.48274,2.48274,0.139043,0.156659,0.265244,0.186982,6,8,8,2.93411357543754
"ABHD16A",94.22016,94.22016,34.317671,41.166479,61.739668,45.7412726666667,552,678,517,2.03717516805882
"ABHD16B",4.31377,4.31377,0,0,0,0,0,0,0,5.31377
"ABHD2",5.2448,5.2448,24.811763,18.501694,16.975591,20.0963493333333,1534,1881,1288,0.296013300753078
"ABHD3",7.97582,7.97582,2.112366,4.383957,4.812756,3.769693,34,41,40,1.88184438704965
"ABHD4",24.02055,24.02055,5.832204,5.914283,14.836758,8.86108166666667,103,107,75,2.53730278743931
"ABHD5",29.73087,29.73087,6.272151,9.717485,9.994526,8.66138733333333,224,264,185,3.18079266876855
"ABHD6",34.57222,34.57222,12.738211,13.156293,8.173231,11.3559116666667,201,211,124,2.87896360541047
"ABHD8",21.91022,21.91022,7.19407,9.390167,9.704944,8.76306033333333,145,236,124,2.34662280246074
"ABI1",28.64467,28.64467,19.731057,19.365981,20.50402,19.8670193333333,618,612,424,1.42064707596475
"ABI2",34.38601,34.38601,50.424881,51.894418,63.248999,55.1894326666667,3251,3183,2502,0.629762720864631
"ABI3",12.78613,12.78613,0,0.209091,0.075429,0.09484,0,3,1,12.5919129735852
"ABI3BP",4.40687,4.40687,0.99652,1.116168,1.795284,1.30265733333333,15,18,16,2.34810013705904
"ABL1",29.04811,29.04811,23.387004,25.535463,27.529949,25.4841386666667,995,1264,955,1.13457002994094
"ABL2",3.69308,3.69308,4.876134,5.408775,4.808567,5.03115866666667,785,862,542,0.778139037518275
"ABLIM1",41.71011,41.71011,100.860799,75.151885,120.837451,98.950045,7750,6453,5627,0.427314564990941
"ABLIM2",26.78261,26.78261,19.980956,30.901303,25.59889,25.4937163333333,462,672,364,1.04864903248945
"ABLIM3",56.73071,56.73071,48.422608,52.934019,47.138285,49.498304,1626,2148,1222,1.14322077034508
"ABO",1.36551,1.36551,0.839964,0.413628,1.770949,1.00818033333333,23,39,31,1.17793704117874
"ABR",123.85792,123.85792,591.586845,672.731938,685.513728,649.944170333333,3340,3625,3006,0.191810489578643
"ABRA",0.06207,0.06207,0.028665,0.053548,0.080009,0.054074,1,2,2,1.00758580517117
"ABRACL",5.05859,5.05859,19.223716,14.20645,19.051796,17.4939873333333,138,111,99,0.327597823595352
