"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"ABCG5",0.06207,0.06207,0,0.053623,0,0.0178743333333333,0,2,0,1.04341957078526
"ABCG8",0,0,0.166037,0.120609,0.140823,0.142489666666667,13,5,8,0.875281439452844
"ABHD1",8.37926,8.37926,0.539133,1.449996,2.556852,1.515327,16,11,17,3.72884320806003
"ABHD10",12.59993,12.59993,17.896254,16.509149,18.709231,17.704878,474,316,439,0.727079321233745
"ABHD11",12.19648,12.19648,8.315591,5.793527,10.881287,8.330135,88,44,86,1.41439325368818
"ABHD12",242.09863,242.09863,34.456652,32.027544,41.779576,36.087924,424,313,435,6.55465725177823
"ABHD12B",3.19653,3.19653,3.893477,1.544872,5.021108,3.48648566666667,34,27,39,0.935371315499578
"ABHD13",2.0793,2.0793,3.072772,3.602061,3.056116,3.24364966666667,238,226,207,0.725625403102314
"ABHD14A",68.67892,68.67892,19.98651,11.809536,18.625674,16.80724,220,94,202,3.91295450614469
"ABHD14B",19.67575,19.67575,6.270991,5.484107,6.977415,6.244171,142,105,131,2.85412230053653
"ABHD15",2.48274,2.48274,2.267084,2.653537,2.449372,2.45666433333333,118,109,110,1.00754359236308
"ABHD16A",94.22016,94.22016,43.283793,44.460669,44.105033,43.9498316666667,632,478,592,2.11836521894279
"ABHD16B",4.31377,4.31377,0,0,0,0,0,0,0,5.31377
"ABHD2",5.2448,5.2448,43.040132,37.278752,34.676228,38.331704,4800,3122,3837,0.158772678651299
"ABHD3",7.97582,7.97582,3.984849,5.25904,2.915345,4.053078,43,53,50,1.7763074308372
"ABHD4",24.02055,24.02055,36.086594,26.455903,21.679738,28.0740783333333,296,237,316,0.860579300679466
"ABHD5",29.73087,29.73087,2.814933,3.503613,4.082079,3.466875,117,93,117,6.87972463970897
"ABHD6",34.57222,34.57222,11.831495,8.409419,12.306665,10.849193,138,99,156,3.00207955090275
"ABHD8",21.91022,21.91022,3.366122,1.881682,2.264601,2.504135,60,36,33,6.53805290035915
"ABI1",28.64467,28.64467,12.69711,14.372399,14.823763,13.964424,447,426,457,1.98100976021529
"ABI2",34.38601,34.38601,23.445738,22.714472,18.676018,21.612076,1466,1126,1250,1.5649164632208
"ABI3",12.78613,12.78613,0,0.122185,0,0.0407283333333333,0,1,0,13.2466173529115
"ABI3BP",4.40687,4.40687,2.697237,9.393819,2.628398,4.90648466666667,50,93,34,0.915412517789769
"ABL1",29.04811,29.04811,20.002516,27.75208,18.375548,22.0433813333333,1348,1318,1125,1.30398006982309
"ABL2",3.69308,3.69308,7.647104,11.288064,8.405532,9.11356666666667,1295,1485,1218,0.464038074269875
"ABLIM1",41.71011,41.71011,13.234586,13.893529,13.950169,13.6927613333333,1252,905,1223,2.90688108457217
"ABLIM2",26.78261,26.78261,2.618199,1.169305,2.227903,2.00513566666667,73,27,55,9.24504351273326
"ABLIM3",56.73071,56.73071,39.693627,31.45544,35.010631,35.386566,1694,1071,1302,1.58659407430753
"ABO",1.36551,1.36551,0.081458,0.061784,0.056364,0.0665353333333333,8,5,5,2.21793870870351
"ABR",123.85792,123.85792,198.031654,211.438013,200.361185,203.276950666667,1298,1199,1252,0.611218835960302
"ABRA",0.06207,0.06207,0,0,0,0,0,0,0,1.06207
"ABRACL",5.05859,5.05859,16.160065,20.958007,19.636272,18.9181146666667,132,135,145,0.30417487304354
"ABT1",4.43791,4.43791,4.559478,4.690372,4.720066,4.65663866666667,202,168,186,0.961332395516866
"ABTB1",48.9411,48.9411,6.145615,3.499741,5.352266,4.99920733333333,109,78,105,8.32461644099426
"ABTB2",42.02045,42.02045,1.812701,1.607969,1.602889,1.67451966666667,139,98,106,16.0852995534775
"ACAA1",75.50647,75.50647,38.003127,38.829187,39.570663,38.8009923333333,550,465,521,1.92222518874048
"ACAA2",75.22716,75.22716,13.362606,16.013843,12.490575,13.9556746666667,285,274,234,5.09687203679923
"ACACA",32.49292,32.49292,42.363631,48.905645,32.241697,41.1703243333333,1667,1457,1400,0.794229604099243
"ACACB",5.52411,5.52411,3.811888,6.196471,2.56891,4.192423,69,75,51,1.25646735637678
"ACAD10",18.43438,18.43438,21.73928,19.257871,23.277153,21.424768,392,285,343,0.866647984942364
"ACAD11",18.15507,18.15507,13.192374,11.007639,9.386726,11.1955796666667,340,270,275,1.57065678906229
"ACAD8",12.44476,12.44476,26.483493,20.192299,24.101738,23.59251,534,375,468,0.546701414373726
"ACAD9",16.85163,16.85163,19.252462,17.316786,16.985834,17.851694,406,304,324,0.946950974273187
"ACADL",1.24137,1.24137,0.207989,0.400506,0.246715,0.28507,5,7,5,1.74416179663365
"ACADM",40.59287,40.59287,27.650351,25.508799,28.982212,27.380454,462,377,403,1.4655463228319
"ACADS",15.76543,15.76543,4.599063,3.579749,4.281652,4.153488,112,71,98,3.25321995510613
"ACADSB",5.80342,5.80342,2.345294,3.480124,2.567987,2.79780166666667,193,175,184,1.79141003062737
"ACADVL",558.18304,558.18304,487.069067,525.545782,529.790065,514.134971333333,2890,2306,2580,1.08550782050898
"ACAN",2.23447,2.23447,13.521626,21.358045,13.180758,16.020143,1180,1435,924,0.190037768777853
"ACAP1",87.42364,87.42364,8.203837,7.799579,5.089685,7.03103366666667,31,27,34,11.0102439698402
"ACAP2",12.22752,12.22752,4.317336,5.926497,4.813944,5.019259,442,447,434,2.19753295214577
"ACAP3",106.66491,106.66491,268.243739,185.674788,241.306196,231.741574333333,3432,1616,2456,0.462594232716678
"ACAT1",92.14086,92.14086,56.259875,44.471839,63.751794,54.827836,369,255,375,1.66835877356951
"ACAT2",32.58602,32.58602,25.297509,32.783013,27.509826,28.530116,501,530,488,1.1373480551177
"ACBD3",12.25855,12.25855,54.125804,44.820301,37.958539,45.6348813333333,793,793,708,0.284305430204304
"ACBD4",16.63439,16.63439,3.937219,4.63266,2.073499,3.54779266666667,64,68,45,3.87757122906072
"ACBD5",44.13078,44.13078,7.912379,6.095147,7.392269,7.133265,308,226,288,5.54891301340851
"ACBD6",167.8025,167.8025,24.856558,25.060157,20.197148,23.3712876666667,434,305,343,6.92628564845493
"ACBD7",9.15512,9.15512,0.811197,0.918754,0.914356,0.881435666666667,39,38,35,5.39753773138137
"ACCS",16.07577,16.07577,23.189882,13.116107,20.465664,18.9238843333333,320,206,258,0.857050247547947
"ACCSL",0,0,0,0,0,0,0,0,0,1
"ACD",14.86543,14.86543,8.520872,12.288536,11.733328,10.8475786666667,141,109,166,1.33912847902311
"ACE",5.30687,5.30687,1.303784,1.277742,1.252099,1.277875,41,16,21,2.76875157767656
"ACE2",0.0931,0.0931,0,0.275135,0.093605,0.122913333333333,0,1,2,0.973450013951804
"ACE3P",0,0,0,0,0,0,0,0,0,1
"ACER1",0,0,0.050862,0,0,0.016954,1,0,0,0.983328646133453
"ACER2",2.94826,2.94826,0.79589,1.105758,0.950331,0.950659666666667,33,37,35,2.02406399612849
"ACER3",43.29286,43.29286,2.862275,3.818158,3.438456,3.372963,324,261,332,10.1287982541814
"ACHE",34.35498,34.35498,23.639298,15.646921,24.253111,21.1797766666667,666,324,578,1.59401875552399
"ACIN1",77.08922,77.08922,177.532807,182.921232,142.933279,167.795772666667,3282,2682,2593,0.462625448293711
"ACLY",28.27225,28.27225,146.457605,153.677986,123.036365,141.057318666667,4402,3834,3894,0.206059429213123
"ACMSD",0.34138,0.34138,0,0.090128,0.068505,0.0528776666666667,0,2,1,1.27401315695746
"ACO1",7.69651,7.69651,7.828545,10.438737,8.19943,8.82223733333333,589,574,554,0.88538992745441
"ACO2",73.39614,73.39614,44.21915,38.397711,34.421423,39.0127613333333,1102,814,929,1.85931031803154
"ACOT1",1.36551,1.36551,3.574162,4.075885,3.688916,3.77965433333333,68,59,57,0.494912358724965
"ACOT11",1.61378,1.61378,0.37798,0.458171,0.465699,0.43395,35,34,33,1.82278322117229
"ACOT12",0,0,0.838379,0.711122,0.64397,0.731157,19,13,12,0.57764835887213
"ACOT13",37.45841,37.45841,12.191412,9.46509,13.396844,11.6844486666667,229,175,231,3.03193390667932
"ACOT2",7.4172,7.4172,21.539035,15.077116,15.11408,17.2434103333333,178,108,135,0.46138303344636
"ACOT4",0.65172,0.65172,0.146906,0.447474,0.101508,0.231962666666667,5,12,3,1.34072244613473
"ACOT6",0.37241,0.37241,0,0.122286,0,0.040762,0,1,0,1.31865882881965
"ACOT7",54.80659,54.80659,38.203304,38.030315,39.780133,38.6712506666667,695,547,661,1.4067262579874
"ACOT8",44.47216,44.47216,9.983366,11.016138,11.40912,10.8028746666667,177,144,156,3.85263431869027
"ACOT9",12.19648,12.19648,23.22135,28.851472,24.154281,25.4090343333333,541,489,487,0.499695666014697
"ACOX1",43.5101,43.5101,33.537489,28.271905,20.230548,27.3466473333333,771,581,655,1.570206856444
"ACOX2",11.35856,11.35856,5.459635,7.803665,5.815802,6.35970066666667,51,58,35,1.67922046829622
"ACOX3",11.85511,11.85511,8.870189,7.235071,11.373044,9.15943466666667,158,135,150,1.26533713949438
"ACOXL",0,0,0.239138,0.162594,0.206492,0.202741333333333,7,4,5,0.831433968622791
"ACP1",54.83762,54.83762,58.248272,76.17287,65.299677,66.5736063333333,903,859,858,0.826322924435304
"ACP2",24.85848,24.85848,169.629988,98.736759,157.367625,141.911457333333,899,467,753,0.180940566155494
"ACP5",37.21013,37.21013,7.63295,1.018418,10.927006,6.52612466666667,32,7,35,5.07699934459408
"ACP6",6.70341,6.70341,24.331622,19.56541,23.987726,22.6282526666667,367,301,340,0.326025377698263
"ACR",1.05517,1.05517,0.050784,0.062833,0,0.0378723333333333,1,1,0,1.98017611029231
"ACRBP",2.88619,2.88619,0.933344,1.400639,0.994766,1.109583,9,11,8,1.84216027527715
"ACRV1",1.86206,1.86206,0.230836,0.190941,0.387534,0.269770333333333,4,4,4,2.25399816397244
"ACSBG1",144.6509,144.6509,1.680716,3.357604,1.221717,2.086679,49,54,34,47.1869280867884
"ACSBG2",1.45861,1.45861,0.206484,0.414199,0.534768,0.385150333333333,2,2,6,1.77497701212215
"ACSF2",25.57227,25.57227,52.435691,50.495669,51.622443,51.5179343333333,334,301,283,0.50596563511704
"ACSF3",30.53776,30.53776,19.896846,16.478566,14.431669,16.9356936666667,339,249,243,1.75837971957631
"ACSL1",69.45478,69.45478,22.571965,34.049958,24.018834,26.8802523333333,390,247,333,2.5270495818205
"ACSL3",27.62053,27.62053,125.144372,117.20619,162.941162,135.097241333333,2688,1748,2708,0.210294710749513
"ACSL4",11.26545,11.26545,25.373504,30.774505,32.691471,29.61316,1627,1473,1507,0.40065938962198
"ACSL5",6.39307,6.39307,0.550356,0.183705,0.680974,0.471678333333333,9,2,6,5.02356379960748
"ACSL6",6.70341,6.70341,5.279576,2.761154,5.097792,4.37950733333333,259,134,211,1.43199172761917
"ACSM1",0,0,0,0.132055,0,0.0440183333333333,0,1,0,0.957837585866149
"ACSM2A",0.89999,0.89999,0.231348,3.931815,1.327585,1.83024933333333,4,10,8,0.671315412964794
"ACSM2B",0.31034,0.31034,0.259345,0.573845,1.003013,0.612067666666667,6,3,7,0.812831884848506
"ACSM3",2.94826,2.94826,0.848148,3.771251,3.221045,2.61348133333333,19,43,27,1.09264712773757
"ACSM4",0,0,0.291138,0.408874,0.146039,0.282017,9,5,4,0.780020857757736
"ACSM5",13.62406,13.62406,0,0.083985,0,0.027995,0,1,0,14.2258084912864
"ACSS1",11.762,11.762,2.170075,1.974672,2.210112,2.11828633333333,125,92,110,4.09263250253157
"ACSS2",32.46188,32.46188,53.386125,66.083436,55.009702,58.1597543333333,306,259,305,0.565618981638435
"ACSS3",10.33442,10.33442,7.547094,17.434579,3.069008,9.350227,223,394,163,1.09508902558369
"ACTA1",95.18222,95.18222,0.240853,0.05949,0.233685,0.178009333333333,5,1,4,81.6480967326801
"ACTA2",176.80245,176.80245,6.327661,72.105899,6.461854,28.2984713333333,99,1023,93,6.06865962312892
"ACTB",3982.32224,3982.32224,1508.849694,1933.919489,1684.423797,1709.06432666667,16993,17349,16522,2.32934058554655
"ACTBL2",0.06207,0.06207,0.024972,0,0,0.008324,1,0,0,1.05330231155859
"ACTBP1",0,0,0,0,0,0,0,0,0,1
"ACTBP12",0,0,0,0,0,0,0,0,0,1
"ACTC1",18.06197,18.06197,0.053354,2.151921,0.356773,0.854016,1,24,3,10.2814484880389
"ACTG1",1354.27508,1354.27508,1419.3332,1648.589858,1463.03336,1510.318806,26010,23050,24917,0.896749960775648
"ACTG1P10",0,0,0.214912,0,0,0.0716373333333333,3,0,0,0.933151513945016
"ACTG2",42.08252,42.08252,7.933159,66.52499,5.367457,26.6085353333333,155,991,99,1.56047828976947
"ACTL10",0.62069,0.62069,0.108181,0.047738,0.13155,0.095823,3,1,3,1.47897060017904
"ACTL6A",96.95117,96.95117,127.358034,224.770196,142.955043,165.027757666667,297,293,270,0.589968637633812
"ACTL6B",9.34133,9.34133,28.097481,15.805406,34.483202,26.1286963333333,158,77,164,0.381195243329606
"ACTL7A",0.40345,0.40345,0,0,0,0,0,0,0,1.40345
"ACTL7B",0.31034,0.31034,0,0,0.060404,0.0201346666666667,0,0,1,1.28447747421582
"ACTL8",0,0,0,0,0,0,0,0,0,1
"ACTL9",0,0,0,0,0,0,0,0,0,1
"ACTN1",34.13774,34.13774,90.571305,205.524402,69.241953,121.77922,1789,3484,1635,0.286186375837866
"ACTN2",55.02383,55.02383,1.088077,0.737005,1.599137,1.14140633333333,35,16,39,26.162166949788
"ACTN4",726.69933,726.69933,278.496919,323.301901,259.392949,287.063923,4353,4197,3672,2.52617308832526
"ACTN4P1",0,0,0,0,0,0,0,0,0,1
"ACTR10",66.44445,66.44445,106.898089,119.583704,114.844543,113.775445333333,926,725,903,0.587620895777197
"ACTR1A",66.07204,66.07204,74.839265,81.902002,83.592002,80.1110896666667,2113,1784,2155,0.826915780266775
"ACTR1B",44.81354,44.81354,21.363274,19.600556,20.09068,20.3515033333333,569,419,496,2.14568216976447
"ACTR2",57.28933,57.28933,75.976968,94.052154,82.283986,84.1043693333333,4054,4017,3903,0.68491583283691
"ACTR3",51.64109,51.64109,45.55178,67.520844,47.924974,53.665866,1318,1529,1194,0.962960872146432
"ACTR3B",18.93093,18.93093,10.065129,3.446338,9.264419,7.591962,128,93,123,2.31971812724498
"ACTR3BP2",0,0,0,0,0,0,0,0,0,1
"ACTR3C",1.48965,1.48965,0.124921,0.064517,0.014714,0.0680506666666667,4,4,1,2.33102237347042
"ACTR3P2",0,0,0,0,0,0,0,0,0,1
"ACTR5",4.2517,4.2517,2.283258,2.083983,2.205831,2.191024,85,62,72,1.64577264226154
"ACTR6",17.22404,17.22404,13.415528,14.382194,12.825706,13.5411426666667,179,170,172,1.25327427271419
"ACTR6P1",0,0,0,0,0,0,0,0,0,1
"ACTR8",20.32747,20.32747,27.345583,31.670753,28.516672,29.1776693333333,451,420,408,0.706730190606282
"ACTRT1",0,0,0.102041,0,0,0.0340136666666667,2,0,0,0.967105205895087
"ACTRT2",0.34138,0.34138,0,0,0,0,0,0,0,1.34138
"ACTRT3",0.74482,0.74482,1.292807,1.228868,1.115009,1.212228,30,23,23,0.788716172112459
"ACVR1",14.33785,14.33785,7.037928,8.229634,8.26402,7.84386066666667,266,286,274,1.73429349218603
"ACVR1B",8.5034,8.5034,23.506718,19.491365,37.165374,26.7211523333333,1068,588,961,0.342821246596327
"ACVR1C",0.49655,0.49655,0.0076,0,0,0.00253333333333333,1,0,0,1.49276832025535
"ACVR2A",2.94826,2.94826,16.277364,13.847823,12.988231,14.3711393333333,858,613,699,0.256861896465797
"ACVR2B",0.24827,0.24827,4.35859,4.450622,4.619946,4.476386,801,656,751,0.2279368181863
"ACVRL1",17.75162,17.75162,0.590729,2.94744,0.548938,1.362369,17,29,14,7.93763379048743
"ACY1",20.60678,20.60678,20.950655,16.690042,15.695317,17.7786713333333,158,95,107,1.15060217075351
"ACY3",10.92408,10.92408,0,0,0,0,0,0,0,11.92408
"ACYP1",30.01017,30.01017,10.41891,8.717873,14.17402,11.103601,56,39,67,2.56206148897341
"ACYP2",605.10691,605.10691,10.213957,4.257689,7.281641,7.25109566666667,107,43,69,73.4577484598308
"ADA",4.03446,4.03446,1.881756,4.803617,1.30235,2.66257433333333,34,81,20,1.37456868907234
"ADAD1",0.40345,0.40345,0,0,0,0,0,0,0,1.40345
"ADAD2",1.14827,1.14827,0.3516,0,0,0.1172,2,0,0,1.92290547798067
"ADAL",8.5965,8.5965,7.68946,6.63051,7.245079,7.18834966666667,179,129,165,1.1719699806013
"ADAM10",30.755,30.755,123.897107,145.822332,94.147613,121.289017333333,2639,2371,2045,0.259671724349888
"ADAM11",4.84135,4.84135,76.352617,40.073029,61.625283,59.3503096666667,3716,1536,3032,0.0967907212450702
"ADAM12",0.55862,0.55862,263.2453,223.75449,242.910757,243.303515666667,19064,13110,16722,0.00637985088240243
"ADAM15",204.26781,204.26781,60.668103,38.00024,71.175865,56.614736,825,388,844,3.56276578269837
"ADAM17",13.22061,13.22061,20.368008,22.287947,19.327487,20.6611473333333,954,877,913,0.656503082739138
"ADAM18",0,0,0.173553,0,0.041788,0.0717803333333333,3,0,1,0.933027010198918
"ADAM19",3.28964,3.28964,29.941341,40.231067,28.930422,33.0342766666667,3088,3156,2634,0.126038817925027
"ADAM1B",0.27931,0.27931,0.246283,0.130195,0.235106,0.203861333333333,7,3,6,1.0626722236005
"ADAM2",0,0,0,0,0,0,0,0,0,1
"ADAM20",0.37241,0.37241,0.04832,0.029938,0.054296,0.0441846666666667,2,1,2,1.3143364807119
"ADAM20P3",0,0,0,0,0,0,0,0,0,1
"ADAM21",0.15517,0.15517,0.668215,0.347816,0.872414,0.629481666666667,26,11,31,0.708918684776038
"ADAM21P1",0.18621,0.18621,0.092513,0.167063,0.171162,0.143579333333333,3,4,4,1.03727827656906
"ADAM22",11.63787,11.63787,4.293794,2.708427,3.651038,3.55108633333333,478,274,429,2.77689085074853
"ADAM23",6.54824,6.54824,37.576591,23.373305,38.05317,33.001022,1238,742,1078,0.222000385753111
"ADAM24P",0,0,0,0,0,0,0,0,0,1
"ADAM28",14.02751,14.02751,0.348438,0.553339,0.041631,0.314469333333333,9,6,4,11.4323777808434
"ADAM29",0.52758,0.52758,0.239099,0.065655,0.330303,0.211685666666667,6,2,12,1.26070650336432
"ADAM30",0.06207,0.06207,0,0,0,0,0,0,0,1.06207
"ADAM32",1.70689,1.70689,2.254211,1.354362,2.923583,2.17738533333333,55,59,42,0.851923741071799
"ADAM33",5.2448,5.2448,2.494698,2.736092,1.700388,2.31039266666667,101,92,56,1.8864227385714
"ADAM3A",0.68275,0.68275,0.436679,0.176368,0.214035,0.275694,6,2,3,1.31908592499455
"ADAM3B",0,0,0,0,0,0,0,0,0,1
"ADAM5",0,0,0,0.04341,0,0.01447,0,1,0,0.985736394373417
"ADAM6",0,0,0,0,0,0,0,0,0,1
"ADAM7",0,0,0,0,0,0,0,0,0,1
"ADAM8",11.35856,11.35856,5.202434,6.064427,4.039568,5.102143,86,51,59,2.02528193783725
