"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","FoldChange"
"ABI2",34.38601,34.38601,55.693149,35.541915,32.008028,41.0810306666667,0.840901694644805
"ABI3",12.78613,12.78613,0.080843,0.106816,0.123214,0.103624333333333,12.4916872377769
"ABI3BP",4.40687,4.40687,15.784185,1.403237,1.486131,6.22451766666667,0.748405672111075
"ABL1",29.04811,29.04811,25.90656,19.930765,26.375471,24.070932,1.1985238522445
"ABL2",3.69308,3.69308,6.897981,5.749299,4.319143,5.65547433333333,0.705145834083551
"ABLIM1",41.71011,41.71011,40.278722,80.432426,57.957359,59.556169,0.705297423950316
"ABLIM2",26.78261,26.78261,8.029056,12.377298,11.75464,10.7203313333333,2.37046284868966
"ABLIM3",56.73071,56.73071,55.789335,56.612711,66.861423,59.7544896666667,0.950229527344286
"ABO",1.36551,1.36551,0.183863,0.173732,0.075984,0.144526333333333,2.06680259868784
"ABR",123.85792,123.85792,197.043613,257.031715,274.908047,242.994458333333,0.511724409041394
"ABRA",0.06207,0.06207,0.063103,0.063272,0,0.042125,1.01913877893727
"ABRACL",5.05859,5.05859,11.912176,11.774747,14.945013,12.877312,0.436582387136644
"ABT1",4.43791,4.43791,4.02236,4.495368,5.868998,4.79557533333333,0.938286483608242
"ABTB1",48.9411,48.9411,8.227788,5.243431,7.957303,7.14284066666667,6.13312995358458
"ABTB2",42.02045,42.02045,3.451672,3.840048,4.832426,4.041382,8.53346364151735
"ACAA1",75.50647,75.50647,37.51069,45.687812,49.761725,44.3200756666667,1.68813641359984
"ACAA2",75.22716,75.22716,24.508458,12.44024,15.340642,17.42978,4.13608626907104
"ACACA",32.49292,32.49292,52.07295,52.263549,60.592741,54.9764133333333,0.598339872198552
"ACACB",5.52411,5.52411,5.82404,4.214339,4.586609,4.874996,1.11048756458728
"ACAD10",18.43438,18.43438,24.09517,13.699953,18.003391,18.5995046666667,0.991575059192822
"ACAD11",18.15507,18.15507,21.296656,12.759557,10.656436,14.9042163333333,1.20440200249624
"ACAD8",12.44476,12.44476,29.394922,40.292933,40.865493,36.851116,0.355201151796951
"ACAD9",16.85163,16.85163,20.618117,20.88167,21.133159,20.8776486666667,0.815975714391976
"ACADL",1.24137,1.24137,0.63777,0.16945,0.095375,0.300865,1.72298432197038
"ACADM",40.59287,40.59287,31.38729,31.831206,37.816546,33.6783473333333,1.19939020162072
"ACADS",15.76543,15.76543,3.919399,3.709052,4.464577,4.03100933333333,3.33241878303015
"ACADSB",5.80342,5.80342,7.753468,4.374615,3.829584,5.31922233333333,1.07662298319725
"ACADVL",558.18304,558.18304,417.243124,362.292121,441.590667,407.041970666667,1.37040569401818
"ACAN",2.23447,2.23447,0.61022,0.60714,1.230414,0.815924666666667,1.78116970344218
"ACAP1",87.42364,87.42364,11.702953,8.178989,5.156753,8.34623166666667,9.4608868208738
"ACAP2",12.22752,12.22752,18.902318,8.651381,7.061189,11.538296,1.05496951100851
"ACAP3",106.66491,106.66491,213.831943,213.096372,204.054479,210.327598,0.509469236478995
"ACAT1",92.14086,92.14086,113.018886,107.505607,145.26679,121.930427666667,0.757671324894087
"ACAT2",32.58602,32.58602,94.414141,82.903806,86.300184,87.8727103333333,0.377911508201218
"ACBD3",12.25855,12.25855,43.967242,69.083492,58.658097,57.236277,0.227668228173309
"ACBD4",16.63439,16.63439,5.340975,3.641431,4.100437,4.36094766666667,3.28941655402593
"ACBD5",44.13078,44.13078,15.374346,21.627524,21.759596,19.5871553333333,2.19218144854269
"ACBD6",167.8025,167.8025,30.045769,28.430908,40.527744,33.0014736666667,4.96456423197579
"ACBD7",9.15512,9.15512,1.327791,0.639002,1.059258,1.00868366666667,5.05560938664475
"ACCS",16.07577,16.07577,14.477036,14.943544,19.448083,16.2895543333333,0.987635058185325
"ACCSL",0,0,0,0,0,0,1
"ACD",14.86543,14.86543,13.137008,9.048602,13.611827,11.932479,1.2267895428247
"ACE",5.30687,5.30687,6.841322,8.479831,10.149919,8.49035733333333,0.664555588212485
"ACE2",0.0931,0.0931,0,0.095415,0.225191,0.106868666666667,0.987560704281086
"ACER1",0,0,0,0,0,0,1
"ACER2",2.94826,2.94826,2.060095,1.631226,2.154176,1.948499,1.33907455963187
"ACER3",43.29286,43.29286,7.649808,4.8069,3.760922,5.40587666666667,6.91441036173555
"ACHE",34.35498,34.35498,52.081818,67.700639,62.028934,60.603797,0.57390910498585
"ACIN1",77.08922,77.08922,122.816081,100.430979,109.79734,111.0148,0.697133057417413
"ACLY",28.27225,28.27225,200.668971,184.300449,184.729433,189.899617666667,0.153338442254572
"ACMSD",0.34138,0.34138,0.185122,0.039662,0.088863,0.104549,1.2144142088762
"ACO1",7.69651,7.69651,9.64322,6.563351,6.68116,7.62924366666667,1.00779515979983
"ACO2",73.39614,73.39614,71.653142,76.994982,73.567485,74.0718696666667,0.990998896528526
"ACOT1",1.36551,1.36551,4.205801,4.758707,5.368048,4.77751866666667,0.409433553827837
"ACOT11",1.61378,1.61378,1.265227,0.289037,0.841305,0.798523,1.45329250724066
"ACOT12",0,0,0.237945,0.109798,0.174106,0.173949666666667,0.851825277006482
"ACOT13",37.45841,37.45841,11.326065,11.195552,12.209772,11.5771296666667,3.05780500155984
"ACOT2",7.4172,7.4172,24.173517,18.076715,19.437196,20.562476,0.390363333042087
"ACOT4",0.65172,0.65172,0.591094,0.748843,1.193545,0.844494,0.8954867839093
"ACOT6",0.37241,0.37241,0.245134,0.088672,0.12044,0.151415333333333,1.19193305861829
"ACOT7",54.80659,54.80659,80.632403,114.029529,128.44021,107.700714,0.513396719730838
"ACOT8",44.47216,44.47216,20.763417,18.37889,19.993785,19.7120306666667,2.19544673005827
"ACOT9",12.19648,12.19648,18.917753,21.089502,23.207269,21.071508,0.597896618572687
"ACOX1",43.5101,43.5101,21.711569,42.59937,35.250653,33.1871973333333,1.30195229418826
"ACOX2",11.35856,11.35856,5.471821,1.789143,2.323278,3.19474733333333,2.94619890494795
"ACOX3",11.85511,11.85511,11.236717,10.706481,12.961887,11.6350283333333,1.01741837539739
"ACOXL",0,0,0.106301,0.156535,0.132989,0.131941666666667,0.883437750767487
"ACP1",54.83762,54.83762,74.872622,58.654584,76.070071,69.865759,0.787935115462462
"ACP2",24.85848,24.85848,104.027156,109.16421,127.822959,113.671441666667,0.225500609603975
"ACP5",37.21013,37.21013,0,2.031601,2.612106,1.54790233333333,14.9967012079348
"ACP6",6.70341,6.70341,17.588665,10.559517,14.810767,14.3196496666667,0.502845049829142
"ACPP",1.36551,1.36551,0.265858,0.022854,0.050647,0.113119666666667,2.12511742523041
"ACR",1.05517,1.05517,0.041913,0,0.163679,0.0685306666666667,1.92336080199851
"ACRBP",2.88619,2.88619,0.967429,0.571787,0.527381,0.688865666666667,2.30106519227797
"ACRV1",1.86206,1.86206,0.120346,0.767177,1.18959,0.692371,1.69115400819324
