"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","FoldChange"
"ACSL6",6.70341,6.70341,11.708049,13.623248,10.446289,11.925862,0.59596876401744
"ACSM1",0,0,0,0,0,0,1
"ACSM2A",0.89999,0.89999,2.512588,2.655216,3.553189,2.90699766666667,0.486304360048675
"ACSM2B",0.31034,0.31034,0.796975,0.262418,0.897249,0.652214,0.793081283659381
"ACSM3",2.94826,2.94826,3.872745,2.186119,2.135456,2.73144,1.0581062538859
"ACSM4",0,0,0.061611,0.022679,0,0.0280966666666667,0.972671182022443
"ACSM5",13.62406,13.62406,0.022484,0.016566,0,0.0130166666666667,14.4361494545993
"ACSS1",11.762,11.762,0.353285,0.35178,0.113193,0.272752666666667,10.027085650053
"ACSS2",32.46188,32.46188,146.808707,110.205765,81.323006,112.779159333333,0.294094983616185
"ACSS3",10.33442,10.33442,0.364544,0.348917,0.164893,0.292784666666667,8.76744618980114
"ACTA1",95.18222,95.18222,4.15909,2.452237,3.446297,3.35254133333333,22.0979452310773
"ACTA2",176.80245,176.80245,8.348186,2.056176,1.61452,4.006294,35.5157827326961
"ACTB",3982.32224,3982.32224,1765.679464,2247.587352,2160.56381,2057.943542,1.93464374265004
"ACTBL2",0.06207,0.06207,0.117374,0,0,0.0391246666666667,1.02208140569595
"ACTC1",18.06197,18.06197,1.111111,1.335114,1.670489,1.372238,8.03543742238342
"ACTG1",1354.27508,1354.27508,1443.150928,1808.077082,1625.665986,1625.631332,0.833179008259752
"ACTG2",42.08252,42.08252,2.589937,0.036068,0,0.875335,22.9732394478853
"ACTL10",0.62069,0.62069,0.26036,0.131968,0.19882,0.197049333333333,1.35390409974749
"ACTL6A",96.95117,96.95117,59.834895,86.693273,51.995615,66.1745943333333,1.45815796838232
"ACTL6B",9.34133,9.34133,142.900347,135.126617,106.324192,128.117052,0.0800926743587671
"ACTL7A",0.40345,0.40345,0,0.033462,0,0.011154,1.38796859825506
"ACTL7B",0.31034,0.31034,0,0,0,0,1.31034
"ACTL8",0,0,0.040507,0,0,0.0135023333333333,0.986677550816361
"ACTL9",0,0,0,0,0,0,1
"ACTN1",34.13774,34.13774,60.429453,20.280129,28.820641,36.5100743333333,0.936754741879433
"ACTN2",55.02383,55.02383,14.750099,6.175347,6.173399,9.03294833333333,5.58398470107408
"ACTN4",726.69933,726.69933,127.535578,103.462361,102.995419,111.331119333333,6.47816325804261
"ACTR10",66.44445,66.44445,157.59723,204.668492,146.120837,169.462186333333,0.395656370780758
"ACTR1A",66.07204,66.07204,121.577592,133.893846,110.388319,121.953252333333,0.545508465430128
"ACTR1B",44.81354,44.81354,35.74644,38.012808,33.295135,35.6847943333333,1.24884276530813
"ACTR2",57.28933,57.28933,90.042114,90.869445,84.111564,88.341041,0.652436207901361
"ACTR3",51.64109,51.64109,90.295305,79.77323,77.820988,82.629841,0.629453426797738
"ACTR3B",18.93093,18.93093,17.121055,10.72034,9.94134,12.594245,1.46612996896849
"ACTR3C",1.48965,1.48965,2.335739,0.036714,0.337758,0.903403666666667,1.30799895135224
"ACTR5",4.2517,4.2517,2.258189,2.089738,1.574489,1.97413866666667,1.76578854875182
"ACTR6",17.22404,17.22404,29.796825,19.749229,23.008826,24.18496,0.723608058142637
"ACTR8",20.32747,20.32747,16.878315,19.754835,16.982766,17.871972,1.13011348257617
"ACTRT1",0,0,0,0,0,0,1
"ACTRT2",0.34138,0.34138,0,0,0,0,1.34138
