"Hs_symbol","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","FoldChange"
"ABCD1","Abcd1",2.313105,2.752033,3.025499,286,317,273,2.696879,7.294446,8.044954,7.763412,256,196,196,11.7826246666667,0.289211261098855
"ABCD2","Abcd2",0.907229,0.389841,2.345446,72,65,60,1.214172,0.010725,0,0.024448,1,0,2,7.79499266666667,0.251753706218743
"ABCD3","Abcd3",13.628574,15.300532,16.369644,1441,1359,1208,15.0995833333333,11.69952,13.13055,9.707609,544,496,467,0.182089333333333,13.6195995339326
"ABCD4","Abcd4",0.85394,1.106506,1.124445,67,57,53,1.028297,70.916088,64.134004,67.343217,895,680,780,6.02768366666667,0.288615295765305
"ABCE1","Abce1",6.423351,6.420801,6.784214,778,717,590,6.54278866666667,31.583438,49.79339,37.572001,980,1003,995,51.5015293333333,0.143667980008303
"ABCF1","Abcf1",14.572771,13.528038,17.357068,822,833,714,15.1526256666667,79.412855,49.138765,60.340286,982,733,819,16.7136716666667,0.911873380664633
"ABCF2","Abcf2",7.208005,7.781313,7.405033,605,609,448,7.46478366666667,41.126604,23.175533,34.428163,544,392,458,2.61348133333333,2.34255635654776
"ABCF3","Abcf3",56.843927,45.142544,60.394936,472,407,364,54.1271356666667,48.291703,49.874702,42.97229,634,530,501,89.6533366666667,0.608109284155417
"ABCG1","Abcg1",0.251662,0.952119,0.477321,40,67,36,0.560367333333333,4.150456,4.415328,3.848561,183,146,140,70.685971,0.0217667043016455
"ABCG2","Abcg2",10.269557,11.087051,8.296503,328,289,209,9.88437033333333,2.961168,3.343736,4.879457,130,124,137,19.632322,0.527539766650275
"ABCG5","Abcg5",0,0,0,0,0,0,0,0,0.053623,0,0,2,0,13.9772976666667,0.0667677188673088
"ABCG8","Abcg8",0,0,0,0,0,0,0,0.166037,0.120609,0.140823,13,5,8,30.739424,0.0315065579009877
"ABHD1","Abhd1",0.884254,0.707662,0.256382,35,26,7,0.616099333333333,0.539133,1.449996,2.556852,16,11,17,46.7447953333333,0.0338487016658137
"ABHD10","Abhd10",2.955729,5.14223,4.358272,111,153,102,4.152077,17.896254,16.509149,18.709231,474,316,439,11.2268,0.42137574835607
"ABHD11","Abhd11",8.843995,9.876887,10.511257,261,260,220,9.74404633333333,8.315591,5.793527,10.881287,88,44,86,0,10.7440463333333
"ABHD12","Abhd12",14.072634,12.994731,16.910777,328,371,288,14.6593806666667,34.456652,32.027544,41.779576,424,313,435,0.0118706666666667,15.4756740980073
"ABHD13","Abhd13",1.612849,1.579601,1.789031,270,250,213,1.66049366666667,3.072772,3.602061,3.056116,238,226,207,17.24049,0.145856480098214
"ABHD14A","Abhd14a",2.996884,2.658814,3.062354,93,81,73,2.90601733333333,19.98651,11.809536,18.625674,220,94,202,5.444609,0.606090661719483
"ABHD14B","Abhd14b",2.264105,1.928432,2.675018,78,66,63,2.289185,6.270991,5.484107,6.977415,142,105,131,19.3044256666667,0.161993501022774
"ABHD15","Abhd15",0.151803,0.17299,0.243191,13,15,13,0.189328,2.267084,2.653537,2.449372,118,109,110,121.178592,0.009734340366273
"ABHD16A","Abhd16a",14.283377,10.868275,15.117416,382,329,324,13.4230226666667,43.283793,44.460669,44.105033,632,478,592,14.1200143333333,0.95390271124743
"ABHD16B","Abhd16b",0.017708,0,0.024841,1,0,1,0.014183,0,0,0,0,0,0,15.0845016666667,0.0630534300047219
"ABHD17A","Abhd17a",5.672737,6.770556,6.724789,179,222,144,6.38936066666667,22.251861,16.580488,18.393927,855,595,608,20.7973786666667,0.339002261678683
"ABHD17B","Abhd17b",1.521296,1.357875,1.700168,97,77,81,1.52644633333333,6.982168,5.876005,6.383279,292,190,217,32.975061,0.0743617894706159
"ABHD17C","Abhd17c",4.881013,3.750363,3.185882,225,242,149,3.939086,5.189827,4.249834,4.998582,101,79,94,7.683484,0.568790821748505
"ABHD18","Abhd18",9.310011,9.508344,9.476552,916,811,624,9.43163566666667,3.285167,2.22549,2.818459,157,105,137,0.378546333333333,7.56712735323368
"ABHD2","Abhd2",1.304402,1.438202,1.694681,300,309,284,1.479095,43.040132,37.278752,34.676228,4800,3122,3837,25.8453793333333,0.0923471771144527
"ABHD3","Abhd3",0.888587,0.607436,0.76617,29,24,18,0.754064333333333,3.984849,5.25904,2.915345,43,53,50,188.800944,0.00924159962730919
"ABHD4","Abhd4",7.115654,8.510248,7.961919,372,402,389,7.862607,36.086594,26.455903,21.679738,296,237,316,4.14297433333333,1.72324542678708
"ABHD5","Abhd5",15.998376,19.309326,20.137932,581,531,496,18.481878,2.814933,3.503613,4.082079,117,93,117,67.8293946666667,0.283045900582863
"ABHD6","Abhd6",1.14656,1.497619,1.057626,62,71,46,1.233935,11.831495,8.409419,12.306665,138,99,156,0.832805333333333,1.21886103197721
"ABHD8","Abhd8",1.768592,1.567081,2.48411,113,106,108,1.93992766666667,3.366122,1.881682,2.264601,60,36,33,0.113022333333333,2.64139144257962
"ABI1","Abi1",6.582961,5.608406,7.829215,235,207,167,6.67352733333333,12.69711,14.372399,14.823763,447,426,457,37.131495,0.201238564953547
"ABI2","Abi2",3.10948,2.06312,2.241759,181,174,166,2.471453,23.445738,22.714472,18.676018,1466,1126,1250,19.2788783333333,0.171185651540392
"ABI3","Abi3",1.239273,1.75973,1.679233,55,64,50,1.559412,0,0.122185,0,0,1,0,33.885931,0.0733651625923356
"ABITRAM","Abitram",0.446832,0.177343,0.347871,40,22,34,0.324015333333333,13.474933,12.693075,15.766697,185,143,177,22.294948,0.0568370160488589
"ABL1","Abl1",4.576983,4.469049,5.447473,515,535,499,4.83116833333333,20.002516,27.75208,18.375548,1348,1318,1125,0.541266,3.78336272475571
"ABL2","Abl2",1.102341,1.060429,1.307922,344,316,270,1.15689733333333,7.647104,11.288064,8.405532,1295,1485,1218,0,2.15689733333333
"ABLIM1","Ablim1",34.740714,33.153558,32.594338,6250,5160,4006,33.4962033333333,13.234586,13.893529,13.950169,1252,905,1223,3.43806866666667,7.77279621480996
"ABLIM2","Ablim2",3.791717,5.042325,4.622022,160,167,153,4.48535466666667,2.618199,1.169305,2.227903,73,27,55,19.619759,0.266024189063833
"ABLIM3","Ablim3",4.102483,4.042407,4.089614,594,546,424,4.078168,39.693627,31.45544,35.010631,1694,1071,1302,0,5.078168
"ABO","Abo",0,0,0,0,0,0,0,0.081458,0.061784,0.056364,8,5,5,418.292288333333,0.00238497112354475
"ABR","Abr",2.378324,2.984923,3.713034,327,330,296,3.025427,198.031654,211.438013,200.361185,1298,1199,1252,521.419259666667,0.00770535719255154
"ABRA","Abra",4.116302,4.098666,3.441195,388,344,235,3.88538766666667,0,0,0,0,0,0,10.242749,0.434536754904576
"ABRACL","Abracl",31.510388,28.625277,45.292012,127,91,115,35.142559,16.160065,20.958007,19.636272,132,135,145,14.463645,2.3372600056455
"ABRAXAS1","Abraxas1",2.62357,2.493772,2.986119,96,98,87,2.70115366666667,3.82892,6.035163,5.406464,107,132,131,1.09453433333333,1.76705323363045
"ABRAXAS2","Abraxas2",4.709873,4.263116,4.741499,222,212,183,4.571496,5.545332,5.945653,7.320012,243,210,286,24.0521246666667,0.222396146998789
"ABT1","Abt1",0.499136,0.4238,0.530647,73,58,56,0.484527666666667,4.559478,4.690372,4.720066,202,168,186,0.332005333333333,1.11450579777458
"ABTB1","Abtb1",5.82147,7.44892,5.830129,156,143,134,6.36683966666667,6.145615,3.499741,5.352266,109,78,105,35.8245523333333,0.200052388960022
"ABTB2","Abtb2",1.685686,1.76883,2.249357,255,274,221,1.901291,1.812701,1.607969,1.602889,139,98,106,0.0702403333333333,2.71087802397032
"ACAA1","Acaa1b",0.028191,0.028929,0,1,1,0,0.01904,38.003127,38.829187,39.570663,550,465,521,2.87314266666667,0.263104173458452
"ACAA2","Acaa2",248.985981,224.128048,293.242253,7301,6225,5954,255.452094,13.362606,16.013843,12.490575,285,274,234,37.1715246666667,6.71841369291563
"ACACA","Acaca",1.200972,0.900763,0.781195,175,153,147,0.960976666666667,42.363631,48.905645,32.241697,1667,1457,1400,0.334099666666667,1.46988768205474
"ACACB","Acacb",15.474208,14.95871,16.499206,4311,3965,3460,15.6440413333333,3.811888,6.196471,2.56891,69,75,51,1.88246233333333,5.77424417341331
"ACAD10","Acad10",0.598761,1.056781,1.076999,53,41,50,0.910847,21.73928,19.257871,23.277153,392,285,343,11.2976903333333,0.155382592031983
"ACAD11","Acad11",20.220395,25.148927,24.795126,1888,1884,1652,23.3881493333333,13.192374,11.007639,9.386726,340,270,275,16.9703503333333,1.35713265912772
"ACAD8","Acad8",12.259437,10.062579,9.130213,439,390,308,10.4840763333333,26.483493,20.192299,24.101738,534,375,468,1.015644,5.69747253648627
"ACAD9","Acad9",14.866479,14.620374,16.037408,450,448,379,15.1747536666667,19.252462,17.316786,16.985834,406,304,324,0.0922513333333333,14.8086371451748
"ACADL","Acadl",202.319337,208.242625,216.801061,9518,8357,7420,209.121007666667,0.207989,0.400506,0.246715,5,7,5,19.901956,10.0526959135627
"ACADM","Acadm",734.222656,649.816797,808.160715,11829,9984,9558,730.733389333333,27.650351,25.508799,28.982212,462,377,403,0,731.733389333333
"ACADS","Acads",43.777134,43.427381,54.486167,1956,1744,1558,47.2302273333333,4.599063,3.579749,4.281652,112,71,98,30.3830136666667,1.53682587165174
"ACADSB","Acadsb",128.314701,142.932978,153.196559,1614,1467,1364,141.481412666667,2.345294,3.480124,2.567987,193,175,184,1.14748833333333,66.3479332833007
"ACADVL","Acadvl",139.431027,132.111617,154.831617,9440,8497,7659,142.124753666667,487.069067,525.545782,529.790065,2890,2306,2580,17.40622,7.77589063189871
"ACAN","Acan",0.015363,0.024935,0.010729,4,3,2,0.017009,13.521626,21.358045,13.180758,1180,1435,924,7.561401,0.118790020465108
"ACAP1","Acap1",0.252565,0.107747,0.114382,16,5,7,0.158231333333333,8.203837,7.799579,5.089685,31,27,34,0.385942333333333,0.835699513231311
"ACAP2","Acap2",2.510354,3.088726,3.307991,345,341,264,2.96902366666667,4.317336,5.926497,4.813944,442,447,434,44.5875936666667,0.0870636799934625
"ACAT1","Acat1",93.491079,94.716414,110.493341,5260,5078,4190,99.5669446666667,56.259875,44.471839,63.751794,369,255,375,3.553206,22.0870623175553
"ACAT2","Acat2",0.66719,0.447738,1.304108,34,26,33,0.806345333333333,25.297509,32.783013,27.509826,501,530,488,22.0492936666667,0.0783687933980218
"ACBD3","Acbd3",2.402008,2.812018,2.585089,261,286,201,2.599705,54.125804,44.820301,37.958539,793,793,708,87.7579663333333,0.0405564159332042
"ACBD5","Acbd5",2.76439,3.148991,3.874531,318,223,239,3.26263733333333,7.912379,6.095147,7.392269,308,226,288,57.1031753333333,0.0733632423508512
"ACBD6","Acbd6",7.456026,9.740249,9.378408,138,215,119,8.85822766666667,24.856558,25.060157,20.197148,434,305,343,0.174427666666667,8.39406967876268
"ACBD7","Acbd7",0.204416,0.219119,0.143098,2,2,1,0.188877666666667,0.811197,0.918754,0.914356,39,38,35,11.1193056666667,0.0980978365729808
"ACCS","Accs",0.560678,1.577455,1.883585,37,56,40,1.34057266666667,23.189882,13.116107,20.465664,320,206,258,6.32711866666667,0.319439710634776
"ACCSL","Accsl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACD","Acd",1.489058,1.256628,1.749415,61,49,54,1.498367,8.520872,12.288536,11.733328,141,109,166,13.9484126666667,0.167132594992583
"ACE","Ace",5.44445,6.520775,5.744452,634,788,585,5.90322566666667,1.303784,1.277742,1.252099,41,16,21,4.61045833333333,1.2304209846195
"ACE2","Ace2",0.168836,0.249512,0.378854,15,17,20,0.265734,0,0.275135,0.093605,0,1,2,0.032435,1.22596967363563
"ACER1","Acer1",0.013295,0,0,1,0,0,0.00443166666666667,0.050862,0,0,1,0,0,0,1.00443166666667
"ACER2","Acer2",2.221571,2.142382,1.847638,289,254,156,2.07053033333333,0.79589,1.105758,0.950331,33,37,35,42.3160396666667,0.0708866820919509
"ACER3","Acer3",0.926464,1.225774,1.221333,111,103,103,1.12452366666667,2.862275,3.818158,3.438456,324,261,332,0.936543333333333,1.09707003716244
"ACHE","Ache",0.171761,0.250681,0.356746,15,19,19,0.259729333333333,23.639298,15.646921,24.253111,666,324,578,18.5912026666667,0.0643007657450603
"ACIN1","Acin1",11.374627,9.188783,8.456991,624,549,377,9.673467,177.532807,182.921232,142.933279,3282,2682,2593,5.776554,1.57505820805088
"ACKR1","Ackr1",0.082963,0.172283,0.044259,3,5,1,0.099835,7.550579,5.560224,10.119254,197,125,214,93.5780606666667,0.0116288597191296
"ACKR2","Ackr2",1.140292,0.306534,0.79591,18,14,17,0.747578666666667,0.359601,0.085355,0.268785,6,3,9,0.0201403333333333,1.71307673029299
"ACKR3","Ackr3",7.941244,7.112321,8.687354,750,644,565,7.91363966666667,0.58853,1.270426,0.550161,17,15,14,5.565056,1.35774008122195
"ACKR4","Ackr4",0.754575,1.177246,1.223792,37,56,45,1.051871,0,0,0,0,0,0,83.4959306666667,0.0242836664891538
"ACLY","Acly",5.502024,5.385161,3.778894,400,366,307,4.888693,146.457605,153.677986,123.036365,4402,3834,3894,0,5.888693
"ACMSD","Acmsd",0,0.051825,0.043596,0,3,2,0.031807,0,0.090128,0.068505,0,2,1,111.293037,0.00918852163558458
"ACO1","Aco1",3.025734,3.427605,3.641342,344,340,322,3.36489366666667,7.828545,10.438737,8.19943,589,574,554,8.036804,0.483012984088918
"ACO2","Aco2",417.561995,438.868693,454.781168,22690,21156,18663,437.070618666667,44.21915,38.397711,34.421423,1102,814,929,1.38018433333333,184.049030376219
"ACOD1","Acod1",0,0.025515,0,0,2,0,0.008505,0,0,0,0,0,0,0,1.008505
"ACOT1","Acot3",0.184964,0.130714,0.304544,11,9,16,0.206740666666667,3.574162,4.075885,3.688916,68,59,57,0.555757666666667,0.775661076607261
"ACOT11","Acot11",3.849478,4.688608,4.957258,323,275,216,4.498448,0.37798,0.458171,0.465699,35,34,33,0.009225,5.44818846144319
"ACOT12","Acot12",0,0,0,0,0,0,0,0.838379,0.711122,0.64397,19,13,12,28.4359543333333,0.0339720597700343
"ACOT13","Acot13",395.632453,377.75228,442.9371,1311,1270,1043,405.440611,12.191412,9.46509,13.396844,229,175,231,0.128003666666667,360.318519354695
"ACOT2","Acot2",7.7519,7.104215,8.971836,492,470,388,7.94265033333333,21.539035,15.077116,15.11408,178,108,135,0.579736666666667,5.66084874905311
"ACOT4","Acot4",0.165596,0.144667,0.185633,33,17,26,0.165298666666667,0.146906,0.447474,0.101508,5,12,3,8.40042833333333,0.123962294625936
"ACOT6","Acot6",0.552336,0.322506,0.388205,56,33,27,0.421015666666667,0,0.122286,0,0,1,0,60.099307,0.023257476008143
"ACOT7","Acot7",12.066454,10.657095,11.339034,443,375,355,11.3541943333333,38.203304,38.030315,39.780133,695,547,661,105.878071333333,0.115591478955518
"ACOT8","Acot8",1.641596,1.505389,1.975407,52,44,36,1.707464,9.983366,11.016138,11.40912,177,144,156,4.974236,0.453189997850771
"ACOT9","Acot9",4.072205,4.855018,4.790514,198,221,169,4.572579,23.22135,28.851472,24.154281,541,489,487,3.387781,1.27002213647399
"ACOX1","Acox1",32.90367,31.658302,34.80923,3684,3423,2793,33.123734,33.537489,28.271905,20.230548,771,581,655,18.5512403333333,1.74534880745247
"ACOX2","Acox2",0.180945,0.256774,0.112875,6,4,5,0.183531333333333,5.459635,7.803665,5.815802,51,58,35,72.0220853333333,0.0162078544858136
"ACOX3","Acox3",5.436548,3.876888,8.096525,278,282,221,5.80332033333333,8.870189,7.235071,11.373044,158,135,150,15.2750176666667,0.418022300969136
"ACOXL","Acoxl",0.021636,0,0,2,0,0,0.007212,0.239138,0.162594,0.206492,7,4,5,6.31179633333333,0.137751648717057
"ACP1","Acp1",5.66495,7.242556,7.48916,190,232,154,6.79888866666667,58.248272,76.17287,65.299677,903,859,858,32.6087256666667,0.232049520235206
"ACP2","Acp2",1.730692,1.916966,2.292059,251,242,234,1.97990566666667,169.629988,98.736759,157.367625,899,467,753,0.231051666666667,2.4206178727944
"ACP4","Acp4",0,0,0,0,0,0,0,0.556063,0.142491,0.132265,10,2,2,5.758203,0.147968328267144
"ACP5","Acp5",0.07349,0.157873,0.034358,3,6,1,0.0885736666666667,7.63295,1.018418,10.927006,32,7,35,0.237713666666667,0.87950363317741
"ACP6","Acp6",3.884854,3.981793,3.69741,158,166,131,3.85468566666667,24.331622,19.56541,23.987726,367,301,340,0.0874,4.46448930169824
"ACP7","Acp7",0,0,0,0,0,0,0,0.259018,0.140654,0.195719,11,5,8,85.97565,0.0114974708438511
"ACR","Acr",0.021936,0,0.11907,1,0,2,0.047002,0.050784,0.062833,0,1,1,0,6.30690966666667,0.143289303927803
"ACRBP","Acrbp",0.973677,0.635086,0.428227,20,12,5,0.678996666666667,0.933344,1.400639,0.994766,9,11,8,1.396431,0.700623830465666
"ACRV1","Acrv1",0,0.020824,0.013454,0,2,1,0.011426,0.230836,0.190941,0.387534,4,4,4,1.409463,0.4197723725162
"ACSBG1","Acsbg1",0.030745,0,0.04316,3,0,3,0.024635,1.680716,3.357604,1.221717,49,54,34,42.5405296666667,0.0235329015940849
"ACSBG2","Acsbg2",0.011693,0,0,1,0,0,0.00389766666666667,0.206484,0.414199,0.534768,2,2,6,74.0247403333333,0.0133808882537463
"ACSF2","Acsf2",7.891,12.373069,10.895599,350,367,340,10.386556,52.435691,50.495669,51.622443,334,301,283,4.91425733333333,1.9252723306144
"ACSF3","Acsf3",2.997409,3.249149,4.273128,216,222,220,3.506562,19.896846,16.478566,14.431669,339,249,243,1.56849833333333,1.75455126503878
"ACSL1","Acsl1",205.487387,212.938162,241.722004,10340,9955,9069,220.049184333333,22.571965,34.049958,24.018834,390,247,333,0.187325333333333,186.174065462541
"ACSL3","Acsl3",1.316494,1.101578,1.23888,64,36,54,1.218984,125.144372,117.20619,162.941162,2688,1748,2708,26.998922,0.0792524797919006
"ACSL4","Acsl4",3.808227,3.388927,6.217699,163,151,156,4.47161766666667,25.373504,30.774505,32.691471,1627,1473,1507,3.55108633333333,1.20226628675249
"ACSL5","Acsl5",6.898301,9.129866,3.381648,183,235,138,6.46993833333333,0.550356,0.183705,0.680974,9,2,6,18.5806646666667,0.38149564687913
"ACSL6","Acsl6",2.786717,1.936377,3.098567,152,129,148,2.60722033333333,5.279576,2.761154,5.097792,259,134,211,6.56396133333333,0.476895660139987
"ACSM1","Acsm1",0,0,0,0,0,0,0,0,0.132055,0,0,1,0,94.2345353333333,0.010500392494171
"ACSM2B","Acsm2",0,0,0.156331,0,0,1,0.0521103333333333,0.259345,0.573845,1.003013,6,3,7,8.893309,0.10634564566146
"ACSM3","Acsm3",0.028766,0.030908,0.038958,1,1,1,0.0328773333333333,0.848148,3.771251,3.221045,19,43,27,0.85487,0.556846212043611
"ACSM4","Acsm4",0,0,0,0,0,0,0,0.291138,0.408874,0.146039,9,5,4,8.28690366666667,0.107678515454972
"ACSM5","Acsm5",0.870292,1.135048,0.688642,49,59,32,0.897994,0,0.083985,0,0,1,0,12.967463,0.135886810654161
"ACSS1","Acss1",65.371472,67.562517,72.050659,4063,3934,3335,68.328216,2.170075,1.974672,2.210112,125,92,110,10.940165,5.80630301172555
