"Hs_symbol","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","FoldChange"
"ABCG2","Abcg2",10.269557,11.087051,8.296503,328,289,209,9.88437033333333,0,0.032841,0.010415,0,3,1,20.899473,0.497015171704512
"ABCG5","Abcg5",0,0,0,0,0,0,0,0.106507,0.151389,0.042838,5,10,3,93.4300633333333,0.010589847816474
"ABCG8","Abcg8",0,0,0,0,0,0,0,0.375379,0.464493,0.42013,27,45,55,17.679678,0.0535341133824684
"ABHD1","Abhd1",0.884254,0.707662,0.256382,35,26,7,0.616099333333333,0.400221,0.717874,0.22597,14,18,14,28.059534,0.0556133946722385
"ABHD10","Abhd10",2.955729,5.14223,4.358272,111,153,102,4.152077,22.938499,24.352688,21.626771,576,818,829,45.387708,0.111065565041498
"ABHD11","Abhd11",8.843995,9.876887,10.511257,261,260,220,9.74404633333333,6.937606,7.064101,6.864255,76,110,135,0.109443,9.68418056027514
"ABHD12","Abhd12",14.072634,12.994731,16.910777,328,371,288,14.6593806666667,64.546737,62.306897,62.683147,766,1044,1187,0.054446,14.8508132864714
"ABHD13","Abhd13",1.612849,1.579601,1.789031,270,250,213,1.66049366666667,2.367033,2.196661,1.88721,196,246,214,20.067703,0.126283044082531
"ABHD14A","Abhd14a",2.996884,2.658814,3.062354,93,81,73,2.90601733333333,22.540257,19.428712,18.954588,283,320,352,4.60419966666667,0.696980401423956
"ABHD14B","Abhd14b",2.264105,1.928432,2.675018,78,66,63,2.289185,3.320588,2.072545,1.528819,54,55,44,41.663942,0.077095196688576
"ABHD15","Abhd15",0.151803,0.17299,0.243191,13,15,13,0.189328,0.626613,0.218831,0.501833,33,16,41,157.985373333333,0.00748073847967398
"ABHD16A","Abhd16a",14.283377,10.868275,15.117416,382,329,324,13.4230226666667,37.200716,47.134845,37.037113,666,1034,935,0.828383666666667,7.8884005198763
"ABHD16B","Abhd16b",0.017708,0,0.024841,1,0,1,0.014183,0,0,0,0,0,0,14.1934193333333,0.066751465075077
"ABHD17A","Abhd17a",5.672737,6.770556,6.724789,179,222,144,6.38936066666667,15.282057,19.663938,28.463204,503,831,1086,30.240615,0.236530576195976
"ABHD17B","Abhd17b",1.521296,1.357875,1.700168,97,77,81,1.52644633333333,10.201998,14.689547,11.447473,457,762,669,48.3995476666667,0.0511431066207536
"ABHD17C","Abhd17c",4.881013,3.750363,3.185882,225,242,149,3.939086,22.112876,26.685209,23.848278,525,820,771,9.06215266666667,0.490857787952465
"ABHD18","Abhd18",9.310011,9.508344,9.476552,916,811,624,9.43163566666667,4.011071,3.517854,4.147912,213,284,273,0.334188666666667,7.81871104686344
"ABHD2","Abhd2",1.304402,1.438202,1.694681,300,309,284,1.479095,13.588883,13.921576,10.695473,1685,2486,2111,13.6114336666667,0.169668155538741
"ABHD3","Abhd3",0.888587,0.607436,0.76617,29,24,18,0.754064333333333,1.597983,1.039653,1.180823,33,27,32,119.859511333333,0.0145132502521509
"ABHD4","Abhd4",7.115654,8.510248,7.961919,372,402,389,7.862607,25.455379,4.883742,6.507743,182,133,112,2.82895033333333,2.31463096369928
"ABHD5","Abhd5",15.998376,19.309326,20.137932,581,531,496,18.481878,10.403327,7.362645,6.909279,314,407,402,29.3573956666667,0.641750636777834
"ABHD6","Abhd6",1.14656,1.497619,1.057626,62,71,46,1.233935,11.668832,13.764524,17.829011,180,342,395,5.16011933333333,0.362644760453234
"ABHD8","Abhd8",1.768592,1.567081,2.48411,113,106,108,1.93992766666667,9.661101,10.705984,15.55678,265,375,569,0.081767,2.71770877339267
"ABI1","Abi1",6.582961,5.608406,7.829215,235,207,167,6.67352733333333,25.555257,19.141618,16.288946,935,970,821,89.80118,0.0845091146759693
"ABI2","Abi2",3.10948,2.06312,2.241759,181,174,166,2.471453,43.432644,40.900572,32.384224,3163,4154,3817,21.6859713333333,0.153022012987351
"ABI3","Abi3",1.239273,1.75973,1.679233,55,64,50,1.559412,0.107534,0.068506,0,1,1,0,8.975152,0.256578746870223
"ABITRAM","Abitram",0.446832,0.177343,0.347871,40,22,34,0.324015333333333,8.026917,12.043578,11.681156,142,241,232,8.31248266666667,0.142176407809332
"ABL1","Abl1",4.576983,4.469049,5.447473,515,535,499,4.83116833333333,18.289946,25.341736,17.462119,1256,2037,1573,6.67407733333333,0.759852693691906
"ABL2","Abl2",1.102341,1.060429,1.307922,344,316,270,1.15689733333333,4.651018,3.942953,3.604234,834,1003,998,0,2.15689733333333
"ABLIM1","Ablim1",34.740714,33.153558,32.594338,6250,5160,4006,33.4962033333333,78.965193,95.017141,84.824801,7302,12899,12481,1.91552333333333,11.831907822152
"ABLIM2","Ablim2",3.791717,5.042325,4.622022,160,167,153,4.48535466666667,29.024891,22.325349,27.889239,811,842,921,50.140693,0.107260076954113
"ABLIM3","Ablim3",4.102483,4.042407,4.089614,594,546,424,4.078168,59.162438,43.070208,35.850085,2210,2652,2304,5.862563,0.739981257731259
"ABO","Abo",0,0,0,0,0,0,0,0.94183,1.656334,1.424069,43,107,83,112.418891,0.00881687337253192
"ABR","Abr",2.378324,2.984923,3.713034,327,330,296,3.025427,475.702567,515.55903,441.250144,3442,4631,4703,1236.327264,0.00325332441716891
"ABRA","Abra",4.116302,4.098666,3.441195,388,344,235,3.88538766666667,0.023562,0,0.016861,1,0,1,2872.900966,0.00169991510649246
"ABRACL","Abracl",31.510388,28.625277,45.292012,127,91,115,35.142559,17.048097,16.217016,13.732567,152,196,170,8.861323,3.66508215986841
"ABRAXAS1","Abraxas1",2.62357,2.493772,2.986119,96,98,87,2.70115366666667,2.109371,2.159075,1.935205,56,86,86,6.40802166666667,0.499614314482972
"ABRAXAS2","Abraxas2",4.709873,4.263116,4.741499,222,212,183,4.571496,10.186842,8.464947,8.190416,471,532,542,50.0583233333333,0.109120230283055
"ABT1","Abt1",0.499136,0.4238,0.530647,73,58,56,0.484527666666667,3.263841,4.270345,3.155402,152,271,212,0.763368333333333,0.841870435463946
"ABTB1","Abtb1",5.82147,7.44892,5.830129,156,143,134,6.36683966666667,3.761994,3.647191,4.428543,98,109,136,13.421852,0.510810932373087
"ABTB2","Abtb2",1.685686,1.76883,2.249357,255,274,221,1.901291,1.172037,1.371578,1.223632,92,149,130,0.025777,2.82838375202408
"ACAA1","Acaa1b",0.028191,0.028929,0,1,1,0,0.01904,39.895704,46.043135,40.381622,585,998,977,10.1953486666667,0.0910235161352426
"ACAA2","Acaa2",248.985981,224.128048,293.242253,7301,6225,5954,255.452094,13.144815,9.897038,9.823666,271,275,335,67.633482,3.73654500000452
"ACACA","Acaca",1.200972,0.900763,0.781195,175,153,147,0.960976666666667,100.200507,77.444775,45.429501,3946,4127,3502,0.778626333333333,1.10252312692998
"ACACB","Acacb",15.474208,14.95871,16.499206,4311,3965,3460,15.6440413333333,5.011705,4.261474,2.549066,60,56,49,1.25951366666667,7.36620520551546
"ACAD10","Acad10",0.598761,1.056781,1.076999,53,41,50,0.910847,12.856185,11.636386,10.582543,221,279,250,2.986488,0.479330929881138
"ACAD11","Acad11",20.220395,25.148927,24.795126,1888,1884,1652,23.3881493333333,18.399625,10.629317,9.67092,358,253,310,18.472337,1.25245107114433
"ACAD8","Acad8",12.259437,10.062579,9.130213,439,390,308,10.4840763333333,23.137744,24.865645,22.47821,569,801,726,0.327960666666667,8.64790397908372
"ACAD9","Acad9",14.866479,14.620374,16.037408,450,448,379,15.1747536666667,17.669058,19.626573,12.870046,447,569,481,0.0680793333333333,15.1437755247894
"ACADL","Acadl",202.319337,208.242625,216.801061,9518,8357,7420,209.121007666667,0.160831,0.314712,0.317482,8,12,13,15.6034853333333,12.655234937018
"ACADM","Acadm",734.222656,649.816797,808.160715,11829,9984,9558,730.733389333333,31.655912,30.807253,30.544017,568,773,686,0.0485666666666667,697.84155132403
"ACADS","Acads",43.777134,43.427381,54.486167,1956,1744,1558,47.2302273333333,3.004861,4.19166,2.473391,78,146,97,17.87264,2.55556336227117
"ACADSB","Acadsb",128.314701,142.932978,153.196559,1614,1467,1364,141.481412666667,3.572105,3.466148,3.181139,336,406,350,0.225601,116.254321485269
"ACADVL","Acadvl",139.431027,132.111617,154.831617,9440,8497,7659,142.124753666667,223.022625,188.605112,238.198574,1342,1537,1988,13.334388,9.98471324110012
"ACAN","Acan",0.015363,0.024935,0.010729,4,3,2,0.017009,0.292759,0.315011,0.284229,25,26,39,3.637669,0.219293140584203
"ACAP1","Acap1",0.252565,0.107747,0.114382,16,5,7,0.158231333333333,11.286318,12.913279,6.490646,45,54,54,2.00352533333333,0.385623960110874
"ACAP2","Acap2",2.510354,3.088726,3.307991,345,341,264,2.96902366666667,11.321554,4.989484,5.03907,561,490,425,44.8669356666667,0.0865334387174052
"ACAT1","Acat1",93.491079,94.716414,110.493341,5260,5078,4190,99.5669446666667,109.114332,109.952951,112.925312,760,1074,1157,4.86418666666667,17.1493423356237
"ACAT2","Acat2",0.66719,0.447738,1.304108,34,26,33,0.806345333333333,119.603573,70.690947,60.766009,2428,1983,1817,33.018719,0.0530985700353189
"ACBD3","Acbd3",2.402008,2.812018,2.585089,261,286,201,2.599705,65.899098,64.268898,51.033552,1039,1267,1242,98.9542496666667,0.0360135263083311
"ACBD5","Acbd5",2.76439,3.148991,3.874531,318,223,239,3.26263733333333,28.434973,21.567845,22.642447,1235,1449,1480,45.053605,0.09255816853715
"ACBD6","Acbd6",7.456026,9.740249,9.378408,138,215,119,8.85822766666667,45.008644,45.056697,44.61445,636,975,991,0.246467,7.90893594990214
"ACBD7","Acbd7",0.204416,0.219119,0.143098,2,2,1,0.188877666666667,1.034596,0.949647,0.691054,40,52,53,6.32523966666667,0.162298808061752
"ACCS","Accs",0.560678,1.577455,1.883585,37,56,40,1.34057266666667,5.273883,5.411674,5.203006,72,100,76,4.16365833333333,0.453277989280855
"ACCSL","Accsl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACD","Acd",1.489058,1.256628,1.749415,61,49,54,1.498367,12.408905,8.62736,10.509139,165,217,228,8.747789,0.256300890386528
"ACE","Ace",5.44445,6.520775,5.744452,634,788,585,5.90322566666667,5.405634,2.557996,4.848241,108,104,195,8.71978533333333,0.710224087253504
"ACE2","Ace2",0.168836,0.249512,0.378854,15,17,20,0.265734,0.05341,0,0.099057,1,0,1,0.112139,1.13810773653293
"ACER1","Acer1",0.013295,0,0,1,0,0,0.00443166666666667,0.145606,0.072291,0.066789,3,2,2,0,1.00443166666667
"ACER2","Acer2",2.221571,2.142382,1.847638,289,254,156,2.07053033333333,0.989215,1.238033,0.764366,43,73,48,97.1317866666667,0.031289864758738
"ACER3","Acer3",0.926464,1.225774,1.221333,111,103,103,1.12452366666667,5.100368,4.487993,5.453281,507,602,712,2.69759466666667,0.574569107268293
"ACHE","Ache",0.171761,0.250681,0.356746,15,19,19,0.259729333333333,150.826048,123.139185,143.64468,4252,4881,6215,40.6284346666667,0.0302612707737013
"ACIN1","Acin1",11.374627,9.188783,8.456991,624,549,377,9.673467,80.771096,83.773455,54.064282,1809,2688,1954,6.59116366666667,1.40603831885063
"ACKR1","Ackr1",0.082963,0.172283,0.044259,3,5,1,0.099835,5.527193,8.511619,6.913666,150,313,243,202.534186,0.00540368682831492
"ACKR2","Ackr2",1.140292,0.306534,0.79591,18,14,17,0.747578666666667,0.648149,0.227417,0.267559,15,14,12,0.24665,1.40181981042527
"ACKR3","Ackr3",7.941244,7.112321,8.687354,750,644,565,7.91363966666667,1.953183,0.627658,0.254604,33,11,7,9.87020466666667,0.820006608891203
"ACKR4","Ackr4",0.754575,1.177246,1.223792,37,56,45,1.051871,0.058436,0.043248,0,2,2,0,65.848697,0.0306942557160089
"ACLY","Acly",5.502024,5.385161,3.778894,400,366,307,4.888693,258.665498,200.768091,176.389823,8902,9754,9291,0,5.888693
"ACMSD","Acmsd",0,0.051825,0.043596,0,3,2,0.031807,0.069346,0.050982,0.281347,2,2,7,1.74516333333333,0.375863609815567
"ACO1","Aco1",3.025734,3.427605,3.641342,344,340,322,3.36489366666667,12.481148,12.32891,11.425298,956,1358,1328,5.02109066666667,0.724934054029635
"ACO2","Aco2",417.561995,438.868693,454.781168,22690,21156,18663,437.070618666667,69.325062,71.569862,65.685688,2171,3126,3037,5.951061,63.0221226179236
"ACOD1","Acod1",0,0.025515,0,0,2,0,0.008505,0,0,0,0,0,0,0,1.008505
"ACOT1","Acot3",0.184964,0.130714,0.304544,11,9,16,0.206740666666667,2.514575,1.663513,2.042674,51,52,55,0.020844,1.1821009543737
"ACOT11","Acot11",3.849478,4.688608,4.957258,323,275,216,4.498448,1.059936,0.383645,0.558014,60,46,67,0.260889666666667,4.36076854728764
"ACOT12","Acot12",0,0,0,0,0,0,0,0.137311,0.78691,0.64326,4,17,11,25.126856,0.0382747928032366
"ACOT13","Acot13",395.632453,377.75228,442.9371,1311,1270,1043,405.440611,14.096614,5.754241,11.441671,306,262,371,0,406.440611
"ACOT2","Acot2",7.7519,7.104215,8.971836,492,470,388,7.94265033333333,9.413227,10.383521,11.05022,97,146,165,0.319983333333333,6.77482064167477
"ACOT4","Acot4",0.165596,0.144667,0.185633,33,17,26,0.165298666666667,0.689296,0.540441,0.531756,24,26,28,6.764273,0.150084710656963
"ACOT6","Acot6",0.552336,0.322506,0.388205,56,33,27,0.421015666666667,0.172208,0.138878,0.065032,2,2,1,8.074458,0.156595100959932
"ACOT7","Acot7",12.066454,10.657095,11.339034,443,375,355,11.3541943333333,144.140782,166.680788,158.146086,2648,4286,4367,82.8537123333333,0.147330320740282
"ACOT8","Acot8",1.641596,1.505389,1.975407,52,44,36,1.707464,21.302306,21.395702,21.651743,347,511,489,14.0888376666667,0.17943489484158
"ACOT9","Acot9",4.072205,4.855018,4.790514,198,221,169,4.572579,15.355328,9.120068,8.944808,361,377,386,39.1634526666667,0.138747508742567
"ACOX1","Acox1",32.90367,31.658302,34.80923,3684,3423,2793,33.123734,32.7541,26.088828,22.676301,735,866,739,23.4476393333333,1.3957885068058
"ACOX2","Acox2",0.180945,0.256774,0.112875,6,4,5,0.183531333333333,0.363302,0.170177,0,2,1,0,52.27467,0.0222156483246791
"ACOX3","Acox3",5.436548,3.876888,8.096525,278,282,221,5.80332033333333,12.315552,13.017171,11.277513,264,352,310,17.552448,0.366707419599469
"ACOXL","Acoxl",0.021636,0,0,2,0,0,0.007212,0.066887,0.263478,0.058643,2,6,3,2.92647966666667,0.25651781888764
"ACP1","Acp1",5.66495,7.242556,7.48916,190,232,154,6.79888866666667,61.38661,54.776346,47.901782,891,1273,1150,28.7068843333333,0.262527991126816
"ACP2","Acp2",1.730692,1.916966,2.292059,251,242,234,1.97990566666667,93.073029,93.19527,67.827959,600,764,662,0.362774666666667,2.18664592140936
"ACP4","Acp4",0,0,0,0,0,0,0,0.222704,0.198325,0.140824,4,5,4,1.58335133333333,0.387094077021915
"ACP5","Acp5",0.07349,0.157873,0.034358,3,6,1,0.0885736666666667,5.678997,0.947109,4.648666,17,15,26,0.0758826666666667,1.01179589595892
"ACP6","Acp6",3.884854,3.981793,3.69741,158,166,131,3.85468566666667,7.807588,6.333138,5.476793,192,222,243,0.0954383333333333,4.43172885131218
"ACP7","Acp7",0,0,0,0,0,0,0,0.210181,0.206031,0.215597,10,13,14,68.932163,0.0142995720009404
"ACR","Acr",0.021936,0,0.11907,1,0,2,0.047002,0.12567,0.035491,0.308103,1,1,3,7.749376,0.119665905317133
"ACRBP","Acrbp",0.973677,0.635086,0.428227,20,12,5,0.678996666666667,0.628518,0.288323,1.583194,6,4,18,2.33570766666667,0.503340470582804
"ACRV1","Acrv1",0,0.020824,0.013454,0,2,1,0.011426,0.438865,0.108582,0.152571,4,3,4,10.4715193333333,0.0881684431338621
"ACSBG1","Acsbg1",0.030745,0,0.04316,3,0,3,0.024635,0.55242,0.59011,0.153687,22,36,23,32.135357,0.0309227089359562
"ACSBG2","Acsbg2",0.011693,0,0,1,0,0,0.00389766666666667,0.197015,0.231607,0.314471,2,4,3,56.755104,0.0173819731441686
"ACSF2","Acsf2",7.891,12.373069,10.895599,350,367,340,10.386556,3.790468,0.103387,0.401622,28,1,5,0,11.386556
"ACSF3","Acsf3",2.997409,3.249149,4.273128,216,222,220,3.506562,15.936521,17.370704,11.494527,269,384,286,0,4.506562
"ACSL1","Acsl1",205.487387,212.938162,241.722004,10340,9955,9069,220.049184333333,66.084552,37.18949,48.558232,814,835,908,0.416907,156.008252011835
"ACSL3","Acsl3",1.316494,1.101578,1.23888,64,36,54,1.218984,73.488712,65.270923,63.439938,2253,3100,3088,13.892697,0.14899812975447
"ACSL4","Acsl4",3.808227,3.388927,6.217699,163,151,156,4.47161766666667,54.339586,41.762906,53.930897,3694,4075,4130,6.48624233333333,0.730889733866038
"ACSL5","Acsl5",6.898301,9.129866,3.381648,183,235,138,6.46993833333333,0.142479,0.46299,0.406441,6,13,6,2.978719,1.87747321017979
"ACSL6","Acsl6",2.786717,1.936377,3.098567,152,129,148,2.60722033333333,11.708049,13.623248,10.446289,765,1133,1069,28.4765216666667,0.122376051493638
"ACSM1","Acsm1",0,0,0,0,0,0,0,0,0,0,0,0,0,81.4108533333333,0.0121343240550516
"ACSM2B","Acsm2",0,0,0.156331,0,0,1,0.0521103333333333,0.796975,0.262418,0.897249,9,2,14,2.10627133333333,0.338705225793754
"ACSM3","Acsm3",0.028766,0.030908,0.038958,1,1,1,0.0328773333333333,3.872745,2.186119,2.135456,48,24,27,3.83221,0.213748436705634
"ACSM4","Acsm4",0,0,0,0,0,0,0,0.061611,0.022679,0,2,1,0,9.40961733333333,0.0960650106510479
"ACSM5","Acsm5",0.870292,1.135048,0.688642,49,59,32,0.897994,0.022484,0.016566,0,1,1,0,43.466916,0.0426832839048249
"ACSS1","Acss1",65.371472,67.562517,72.050659,4063,3934,3335,68.328216,0.353285,0.35178,0.113193,16,26,8,10.8092796666667,5.87065578569441
