"Hs_symbol","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","FoldChange"
"CFAP57","Cfap57",0,0,0,0,0,0,0,1.459495,1.405305,0.626046,28,18,18,3.15151,0.240876211306248
"CFAP58","Cfap58",0.009078,0.019575,0.012562,1,2,1,0.0137383333333333,0.047346,0.109242,0.457434,2,5,4,1.79056866666667,0.363273029415988
"CFAP61","Cfap61",0.23973,0.599964,0.73054,13,12,14,0.523411333333333,1.155522,1.82743,1.848743,9,14,8,23.8113633333333,0.0613997430478427
"CFAP65","Cfap65",0,0.009965,0,0,1,0,0.00332166666666667,0.94049,0.4068,0.483805,13,15,10,55.438598,0.0177772252008575
"CFAP69","Cfap69",0.65754,0.713785,2.340286,10,8,8,1.23720366666667,3.437665,1.440348,2.640586,57,62,24,9.344238,0.216275347364075
"CFAP70","Cfap70",0,0,0.244267,0,0,1,0.0814223333333333,2.046309,1.85212,1.984745,54,59,37,10.6852996666667,0.0925455370578287
"CFAP73","Cfap73",0,0,0,0,0,0,0,0,0.160089,0.178675,0,3,2,4.77457766666667,0.173172837517179
"CFAP74","Cfap74",0.250174,0.381786,0.159271,23,26,6,0.263743666666667,1.176452,1.345188,0.321749,9,18,8,39.5306,0.0311799891111078
"CFAP97","Cfap97",1.46803,1.598761,1.791046,202,166,172,1.619279,8.369417,8.465083,9.55595,478,533,385,0.471133666666667,1.78044936320085
"CFAP97D1","Cfap97d1",0,0,0,0,0,0,0,0.091807,0.203199,0.369085,5,11,7,0,1
"CFAP97D2","Cfap97d2",0.091644,0.025193,0,2,3,0,0.0389456666666667,0,0.059775,0.48668,0,1,1,14.037712,0.0690893446201568
"CFB","Cfb",0.601006,0.841271,0.449345,16,24,8,0.630540666666667,1.481413,1.432566,1.597512,10,14,7,0.349863666666667,1.20792988724046
"CFC1B","Cfc1",0,0,0,0,0,0,0,0,0,5.2e-05,0,0,0,0,1
"CFD","Cfd",0.07833,0.041047,0,2,1,0,0.0397923333333333,1.082446,1.59436,2.014031,12,21,15,26.9075686666667,0.0372584350056722
"CFDP1","Cfdp1",7.025883,7.330569,7.768128,220,213,176,7.37486,90.034941,85.12874,103.752927,659,674,527,0.653962,5.06351415570612
"CFH","Cfh",12.632698,13.25123,12.996713,1723,1654,1284,12.9602136666667,0.343474,0.461469,0.615703,13,22,24,1.51651566666667,5.54743761446879
"CFI","Cfi",0.016053,0,0,1,0,0,0.005351,0.102,0.097947,0.721498,3,3,13,8.10540166666667,0.110412592085907
"CFL1","Cfl1",25.714684,29.073728,31.684098,772,798,650,28.82417,646.757843,637.937029,690.870086,5795,6226,4477,162.544648,0.182361027185677
"CFL2","Cfl2",100.994213,97.29765,101.758787,2830,2542,2390,100.016883333333,60.535896,73.971601,76.840845,857,1145,798,7.27186933333333,12.2120985308923
"CFLAR","Cflar",5.914954,6.995858,5.315488,606,499,428,6.07543333333333,17.337082,12.185427,11.977782,696,678,544,25.840133,0.263613944585645
"CFP","Cfp",1.814288,1.177206,0.788307,49,36,29,1.25993366666667,1.293772,1.705258,3.894611,37,29,37,38.39822,0.0573613139544545
"CFTR","Cftr",0,0,0.010015,0,0,1,0.00333833333333333,2.578672,8.153786,18.297928,11,17,12,3.76222266666667,0.210686984536912
"CGA","Cga",0,0,0,0,0,0,0,1.378645,1.418455,0.740457,9,9,3,15.0194846666667,0.0624239805966293
"CGAS","Cgas",0.095747,0.123445,0.043288,12,14,3,0.0874933333333333,0.175401,0.118605,0.188961,7,5,5,0.147272666666667,0.947894397670069
"CGGBP1","Cggbp1",3.301546,5.521413,4.398608,408,404,329,4.407189,27.450996,32.13069,37.968439,1359,1532,1268,0.4987,3.60791953025956
"CGN","Cgn",0.014301,0.015666,0.020088,1,2,1,0.016685,4.511525,11.631162,6.452226,111,132,70,24.0880406666667,0.0405246871809652
"CGNL1","Cgnl1",3.678739,3.701319,3.280049,460,430,330,3.553369,0.385988,0.73647,0.785354,38,60,36,0.873567666666667,2.43032001512978
"CGREF1","Cgref1",0.217203,0.311835,0.132648,6,11,4,0.220562,40.290409,34.1805,25.241007,433,441,298,19.980195,0.058176866325599
"CGRRF1","Cgrrf1",4.593084,5.448238,4.409023,132,150,97,4.81678166666667,16.994549,20.84314,19.450357,150,168,103,0.0644493333333333,5.46459233381392
"CH25H","Ch25h",0.023523,0.2248,0.132304,1,9,4,0.126875666666667,0.098229,0.226638,0.2062,2,5,3,83.554487,0.0133272130983027
"CHAC1","Chac1",0.856417,1.074426,0.413786,44,53,15,0.781543,12.610641,11.408171,16.425884,190,205,168,0.029825,1.7299473211468
"CHAC2","Chac2",3.2618,3.595848,4.319349,110,104,103,3.72566566666667,1.593746,1.381265,1.6139,22,20,16,4.11731266666667,0.923466275072242
"CHAD","Chad",0.056159,0.020032,0.052691,3,1,2,0.0429606666666667,0,0.043695,0.284971,0,1,1,19.7410366666667,0.0502848861138571
"CHADL","Chadl",0.220995,0.241455,0.415678,8,8,8,0.292709333333333,1.150836,1.836626,3.075295,21,23,16,0.200543333333333,1.07677024014127
"CHAF1A","Chaf1a",0.113787,0.672724,0.152502,19,31,21,0.313004333333333,3.573447,3.466099,3.788907,68,91,52,10.968681,0.109703344364624
"CHAF1B","Chaf1b",0.016942,0.167866,0.213484,1,7,3,0.132764,1.429515,1.223602,2.063905,47,51,33,0.349622666666667,0.83931903929691
"CHAMP1","Champ1",0.710886,0.627586,0.739032,96,78,71,0.692501333333333,11.432726,13.719492,16.454997,560,649,515,75.5727163333333,0.0221031904623261
"CHAT","Chat",0,0,0,0,0,0,0,13.566629,25.982409,9.558201,507,504,269,44.536108,0.0219605944363976
"CHCHD1","Chchd1",16.521242,13.976142,14.369962,199,163,117,14.955782,19.289934,18.650509,21.114091,179,185,143,41.297523,0.377227337875081
"CHCHD2","Chchd2",107.402417,143.165392,124.989903,2501,3447,1963,125.185904,82.938103,94.066211,102.481436,634,797,555,18.18828,6.57619672008122
"CHCHD3","Chchd3",82.524813,91.935295,91.02827,2782,2812,2229,88.496126,17.150467,19.622149,22.450494,267,322,207,23.0559373333333,3.72033418444223
"CHCHD4","Chchd4",1.811668,2.022414,2.021067,200,216,165,1.95171633333333,6.09976,7.813143,8.76066,106,145,103,13.9507243333333,0.197429654077184
"CHCHD5","Chchd5",1.682641,1.36485,1.280362,60,33,32,1.44261766666667,8.685758,11.220188,8.953074,47,60,30,88.3213213333333,0.0273464121466721
"CHCHD6","Chchd6",1.649392,1.536439,1.58622,54,47,37,1.59068366666667,28.575752,31.75946,34.829636,264,306,206,25.270213,0.0986167743164727
"CHCHD7","Chchd7",70.579664,81.066138,65.596416,235,299,173,72.4140726666667,17.251177,19.441913,13.915784,210,237,162,10.9781996666667,6.1289738616535
"CHD1","Chd1",1.409115,1.324734,1.4159,283,240,195,1.38324966666667,15.908797,15.137395,13.894627,310,328,229,132.663728333333,0.0178301899579164
"CHD1L","Chd1l",1.451596,1.431482,1.41963,143,128,101,1.434236,11.00491,10.653698,11.710114,249,250,222,2.926829,0.619898651048976
"CHD2","Chd2",8.923189,7.613686,11.994883,512,427,432,9.510586,132.721681,132.842009,184.763223,1576,1931,1225,2.20863566666667,3.27571812193905
"CHD4","Chd4",11.940487,10.290608,12.015188,1588,1501,1394,11.4154276666667,342.628645,335.157886,456.656724,4456,4782,3994,68.173406,0.17948267093667
"CHD5","Chd5",0.022402,0.003232,0.012612,6,1,2,0.0127486666666667,46.220398,46.807546,58.443002,3502,4019,2699,13.9479243333333,0.067751792428349
"CHD6","Chd6",6.699195,7.100858,5.128002,1359,1158,699,6.30935166666667,5.661032,5.897413,7.398897,766,824,686,0,7.30935166666667
"CHD7","Chd7",1.873659,1.674156,1.258526,219,203,159,1.60211366666667,6.818836,13.585309,14.381508,276,375,286,50.28293,0.0507403470641531
"CHD8","Chd8",5.587877,6.846739,6.53464,421,433,357,6.32308533333333,35.050059,34.089881,33.132399,2115,2145,1576,77.4720356666667,0.0933209553074463
"CHD9","Chd9",13.891735,11.829183,18.807238,600,485,474,14.8427186666667,10.770172,13.054553,15.036173,798,866,721,36.115945,0.426844006441616
"CHDH","Chdh",0.017247,0.027568,0.024215,3,4,2,0.02301,0.186731,0.062922,0.384484,19,7,11,1.43604,0.419947948309552
"CHEK1","Chek1",0.59804,1.565931,0.168784,9,10,8,0.777585,5.454665,5.258726,6.476881,117,110,119,23.0539216666667,0.0739000078504177
"CHEK2","Chek2",1.276131,2.589679,1.336604,42,44,22,1.734138,3.803108,3.896138,4.004932,23,30,20,1.64678266666667,1.03300434691275
"CHERP","Cherp",11.573321,11.065087,21.665817,240,214,178,14.768075,11.731202,18.159815,20.903843,398,536,388,10.8883606666667,1.32634561165456
"CHFR","Chfr",2.602467,3.345526,3.09448,160,132,113,3.01415766666667,38.507998,42.115992,47.347031,575,611,394,1.94966533333333,1.36088579992578
"CHGA","Chga",0,0,0,0,0,0,0,154.335283,160.052513,171.230027,2865,3390,2215,87.756545,0.0112667747488368
"CHGB","Chgb",0.011618,0.011839,0,1,1,0,0.007819,116.731034,118.735157,112.780686,3673,4080,2501,6.74837766666667,0.130068388939741
"CHIC1","Chic1",0.095802,0.058517,0.102931,24,13,19,0.08575,3.112664,3.206784,3.823057,237,295,222,6.91181666666667,0.137231440735271
"CHIC2","Chic2",3.634845,2.84163,2.58402,117,80,90,3.020165,8.393509,14.586582,9.551239,51,92,39,16.1469733333333,0.234453330150394
"CHID1","Chid1",4.271679,4.112692,4.056773,243,210,165,4.147048,75.3355,69.489767,44.703524,392,490,271,63.017005,0.0804012621333972
"CHIT1","Chit1",0,0,0,0,0,0,0,0.21703,0.107093,0.577011,7,6,4,0.712194333333333,0.584045853050559
"CHKA","Chka",2.961442,5.042554,2.802122,105,90,55,3.60203933333333,55.633527,52.873412,50.416962,657,776,482,0.0968933333333333,4.19552129043237
"CHKB","Chkb",11.910954,13.220978,17.129523,273,284,210,14.0871516666667,40.822951,34.425822,47.173982,353,369,284,0.18398,12.7427419945157
"CHL1","Chl1",0.146032,0.232898,0.182893,22,22,26,0.187274333333333,0.808499,0.028232,0,38,3,0,0.234625666666667,0.961647214526832
"CHM","Chm",3.323496,4.590612,3.05326,228,220,205,3.65578933333333,13.573465,17.075465,16.697244,450,485,363,0.304111666666667,3.57008487258888
"CHML","Chml",0.945081,1.072857,1.000462,175,140,145,1.00613333333333,8.488738,9.637761,10.283767,867,1048,753,5.40640966666667,0.313144715638697
"CHMP1A","Chmp1a",50.729453,96.153868,55.1072,509,523,468,67.3301736666667,52.60003,67.857929,80.602382,899,1177,835,0,68.3301736666667
"CHMP2A","Chmp2a",20.274855,25.120378,25.128459,406,469,361,23.5078973333333,40.077897,37.690694,47.506503,347,360,291,86.9909823333333,0.278527375004076
"CHMP2B","Chmp2b",7.926935,7.629406,8.617687,415,397,331,8.05800933333333,19.754761,24.503152,19.968736,505,669,434,11.325123,0.734922429036476
"CHMP3","Chmp3",39.839018,45.785392,42.371255,559,553,449,42.6652216666667,46.409519,49.857479,49.510753,839,963,687,0.506751333333333,28.979713308146
"CHMP4B","Chmp4b",17.400229,19.016193,24.10044,633,734,588,20.1722873333333,41.404859,47.649089,55.956321,786,993,753,7.646261,2.44872174612047
"CHMP4C","Chmp4c",2.063247,2.037558,2.319827,426,393,346,2.14021066666667,0.08793,0.260168,0.143528,2,6,2,14.8694703333333,0.197877471692975
"CHMP5","Chmp5",5.937933,6.485425,7.590952,269,271,247,6.67143666666667,27.791233,35.01649,34.907678,632,784,569,4.57736233333333,1.37545961839668
"CHMP6","Chmp6",5.15028,6.18727,4.625899,165,189,153,5.32114966666667,12.864306,13.268737,13.910951,159,177,141,7.658478,0.730053211045483
"CHMP7","Chmp7",4.387401,5.108848,5.194689,380,421,321,4.89697933333333,29.426172,30.754071,41.272265,573,667,483,0.3766,4.28372754128529
"CHN1","Chn1",7.990251,9.63761,8.84238,252,248,203,8.82341366666667,56.575917,58.425277,55.584056,628,691,441,3.38132133333333,2.24211212081835
"CHN2","Chn2",0.523084,0.594073,0.75621,17,19,16,0.624455666666667,51.930825,46.771255,78.425448,978,968,974,177.492582333333,0.00910097016599272
"CHODL","Chodl",0,0.021529,0,0,1,0,0.00717633333333333,2.233061,3.027965,8.094268,56,84,134,26.0797793333333,0.037192929858685
"CHORDC1","Chordc1",10.424323,9.548873,7.211708,503,388,282,9.06163466666667,14.190526,13.513357,14.316176,355,375,246,97.5128476666667,0.102135253471829
"CHP1","Chp1",14.493073,15.533989,14.547696,859,794,676,14.8582526666667,41.321367,43.129995,45.238788,1223,1517,1065,1.388984,6.63807403761041
"CHP2","Chp2",0.33647,0.302585,0.457628,12,12,14,0.365561,0.171433,0.168855,0.177214,4,4,3,64.6302066666667,0.0208068977587658
"CHPF","Chpf",1.861667,1.836146,2.219423,168,180,144,1.972412,20.023631,23.176471,19.596201,615,853,445,1.00566066666667,1.48201141369544
"CHPT1","Chpt1",62.840316,57.932807,79.440956,4903,4016,4213,66.7380263333333,17.51008,22.03437,20.84857,238,347,186,8.962487,6.79930888073765
"CHRAC1","Chrac1",6.836941,7.614594,8.371937,158,167,138,7.607824,1.37241,3.428456,3.528329,28,44,42,13.235831,0.604659046598685
"CHRD","Chrd",0.28531,0.267522,0.306049,32,27,23,0.286293666666667,5.433752,4.390921,4.591108,142,107,92,0,1.28629366666667
"CHRDL1","Chrdl1",0.152553,0.052434,0.117078,8,5,2,0.107355,0.833704,0.786435,1.07228,34,37,34,0.929738666666667,0.573836768225611
