"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","FoldChange"
"ULBP2",0.24849,0.6632,1.70418,0.871956666666667,6.385647,8.622509,10.248298,8.418818,0.198746452757306
"ULBP3",0.56324,0.69083,0.37142,0.54183,7.159377,13.297796,7.511573,9.32291533333333,0.149359938565159
"ULK1",157.39206,108.35006,40.79097,102.177696666667,39.741497,32.062087,22.882675,31.5620863333333,3.16864514179011
"ULK2",31.78985,31.77826,15.0317,26.1999366666667,67.231981,51.924832,52.8529,57.336571,0.466258749878642
"ULK3",74.21497,71.9294,80.0307,75.39169,30.295873,27.53968,28.456514,28.7640223333333,2.56657817093651
"ULK4",3.42913,2.23829,5.44025,3.70255666666667,0.999387,1.175649,0.483292,0.886109333333333,2.49325772560375
"ULK4P1",0,0,0,0,1.059611,0.878222,0.655407,0.864413333333333,0.536361750970815
"ULK4P2",0.26505,0.3316,0,0.198883333333333,0.700639,0.73167,0.574705,0.669004666666667,0.71832233742506
"ULK4P3",0,0.7461,0,0.2487,0.40649,0.59414,0.581629,0.527419666666667,0.817522536373435
"UMOD",0,0.13817,0,0.0460566666666667,0,0,0,0,1.04605666666667
"UMODL1",0.6792,0.80136,0.89578,0.792113333333333,0,0.009003,0.06915,0.026051,1.74661233538424
"UMPS",7.66998,7.62678,8.58642,7.96106,14.966534,12.296522,9.416167,12.2264076666667,0.677512762787719
"UNC119",75.27518,42.72104,48.85303,55.6164166666667,37.609499,38.665018,47.951338,41.4086183333333,1.3350214860022
"UNC119B",11.11568,19.28802,11.81999,14.0745633333333,9.5365,8.042052,7.316562,8.29837133333333,1.62120470273038
"UNC13A",46.2684,34.45869,45.16065,41.96258,60.855386,45.396767,32.793419,46.348524,0.907368939314771
"UNC13B",28.26133,18.73536,15.44682,20.8145033333333,16.858495,22.197531,18.546246,19.2007573333333,1.07988542079742
"UNC13C",34.0428,10.00324,172.20912,72.0850533333333,1.343482,0.149368,0.058906,0.517252,48.1693570569248
"UNC13D",32.13773,28.79387,31.11213,30.6812433333333,2.005414,0.85742,11.914029,4.925621,5.3464849225648
"UNC45A",39.84085,38.57605,49.42109,42.6126633333333,17.699714,18.014146,14.639037,16.784299,2.45231275819943
"UNC45B",0.21536,0.05527,0,0.09021,0,0,0,0,1.09021
"UNC50",38.54871,59.9642,43.69681,47.40324,17.390344,22.463454,16.556349,18.8033823333333,2.44419055216275
"UNC5A",25.62736,18.56956,75.13666,39.77786,7.974576,8.034357,9.454652,8.48786166666667,4.29789782277953
"UNC5B",10.22112,10.80461,11.44856,10.8247633333333,1.435852,0.727555,2.277557,1.48032133333333,4.76743201552917
"UNC5C",3.67762,2.79096,5.4621,3.97689333333333,4.642136,4.191783,4.625441,4.48645333333333,0.907123970798378
"UNC5CL",2.25295,1.76853,1.52939,1.85029,0.145151,0.043852,0.199743,0.129582,2.52331393382685
"UNC5D",1.65658,1.05006,4.47892,2.39518666666667,1.810714,8.677838,5.653545,5.380699,0.532102621776496
"UNC79",7.76938,6.02405,7.23182,7.00841666666667,5.117166,5.402915,5.619598,5.379893,1.25525877419365
"UNC80",11.14881,7.62678,8.80491,9.1935,5.46846,4.361523,3.554628,4.461537,1.86641599242118
"UNC93A",0,0,0,0,0,0,0,0,1
"UNC93B1",21.40307,20.55915,8.52088,16.8277,1.407483,0.37253,0.435809,0.738607333333333,10.2540117358299
"UNCX",0,0,0,0,1.093806,1.195897,1.262406,1.18403633333333,0.457867840721209
"UNG",41.39804,36.44828,15.27203,31.03945,10.226198,12.742077,12.006854,11.6583763333333,2.53108685950744
"UNK",14.52824,18.04453,18.83332,17.1353633333333,14.852923,18.481729,14.098071,15.8109076666667,1.07878549409279
"UNKL",75.05983,45.8436,43.47832,54.7939166666667,48.063431,55.069231,42.235573,48.4560783333333,1.1281508471136
"UPB1",3.26347,1.9067,1.92266,2.36427666666667,0.404036,0.077058,0.23196,0.237684666666667,2.71820178214483
"UPF1",31.70702,26.66611,22.54755,26.97356,19.788054,17.377875,14.530259,17.2320626666667,1.53430582767486
"UPF2",10.86719,20.78022,16.10227,15.91656,4.198536,5.133151,3.010911,4.11419933333333,3.3077631311203
"UPF3A",68.71511,55.40471,67.16199,63.7606033333333,56.379336,54.664805,43.785091,51.609744,1.23096214521274
"UPF3B",11.48013,12.7942,10.15951,11.4779466666667,10.202288,10.594771,6.921091,9.23938333333333,1.21862286628589
"UPK1A",0.23192,0.4974,0,0.243106666666667,0.255592,0.384163,0.405052,0.348269,0.922001964494227
"UPK1B",3.49539,2.26593,1.26721,2.34284333333333,0.405629,0.208253,0.494889,0.369590333333333,2.4407614831783
"UPK2",1.92164,1.71326,2.0756,1.9035,1.464845,1.530047,2.222922,1.73927133333333,1.05995341340167
"UPK3A",0.92769,0,0,0.30923,0.150948,0.10977,0.417676,0.226131333333333,1.0677730553062
"UPK3B",7.22271,6.90832,7.99652,7.37585,0.227625,0.108135,0.073285,0.136348333333333,7.37084726074311
"UPP1",45.4898,35.37059,78.06435,52.9749133333333,41.521507,52.667816,51.744575,48.6446326666667,1.08722555559514
