"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"AADAT",8.6805,8.26235,7.23182,8.05822333333333,11.191628,12.930531,10.028336,11.3834983333333,298,198,233,0.731475314124348
"AAGAB",21.83378,19.06696,20.31902,20.4065866666667,19.083715,24.987378,20.768264,21.613119,460,421,405,0.946644585679077
"AAK1",20.98892,46.94893,36.53053,34.8227933333333,8.82358,11.990978,8.52265,9.77906933333333,1360,1207,1223,3.3233660741521
"AAMP",162.21272,137.94529,160.34544,153.50115,50.785242,57.93435,59.245556,55.9883826666667,665,551,649,2.71109904809371
"AANAT",1.50749,0.9948,0.34957,0.95062,0.527125,0,0.383865,0.303663333333333,5,0,3,1.49626053761324
"AAR2",11.49669,10.25194,7.60324,9.78395666666667,9.802296,9.159607,9.720694,9.56086566666667,356,271,317,1.02112430998002
"AARD",0.76203,1.21586,1.52939,1.16909333333333,0.430968,0.085659,1.087127,0.534584666666667,14,2,11,1.41347257042839
"AARS2",11.72862,11.93757,21.2148,14.96033,5.386935,4.813326,4.864937,5.02173266666667,386,295,304,2.65045475837021
"AARSD1",36.04727,17.10499,12.82501,21.9924233333333,74.878567,67.118873,80.955658,74.3176993333333,446,311,417,0.305272512793783
"AASDH",4.655,3.06729,8.08391,5.26873333333333,5.458335,2.72435,3.019545,3.73407666666667,133,107,128,1.32417233068328
"AASDHPPT",42.17663,30.00973,45.9035,39.3632866666667,49.305585,36.802533,43.42734,43.178486,1280,906,1184,0.913641238558213
"AASS",11.31447,10.69408,7.86543,9.95799333333333,9.710755,9.041474,7.927698,8.893309,771,591,561,1.10761660566079
"AATF",65.91548,48.41349,45.72871,53.35256,15.593698,15.462792,19.291505,16.782665,279,197,205,3.05649125145191
"AATK",110.09658,87.6251,129.53919,109.086956666667,5.175648,2.801113,2.12947,3.36874366666667,197,66,153,25.1987676701258
"ABAT",184.41095,210.86949,239.78623,211.68889,19.311736,14.714566,12.931931,15.6527443333333,1137,753,789,12.7720023644551
"ABCA1",8.0013,11.27437,2.40332,7.22633,13.944394,12.167811,12.461129,12.857778,2286,1610,1812,0.593625471558283
"ABCA10",4.6053,2.12776,11.16453,5.96586333333333,5.207727,2.056644,5.225361,4.163244,145,54,111,1.34912534316281
"ABCA11P",3.11438,5.25032,6.59822,4.98764,4.636006,3.841444,3.107302,3.861584,111,76,68,1.23162327340225
"ABCA12",0.0497,0.02763,0.10924,0.06219,0.045246,0.050407,0.030483,0.0420453333333333,6,6,4,1.01933185248498
"ABCA13",0.61294,0.35923,0.24033,0.404166666666667,0.064986,0.353211,0.084842,0.167679666666667,4,8,5,1.20252729130335
"ABCA17P",11.9771,6.54909,7.55955,8.69524666666667,1.321805,0.403783,0.722064,0.815884,13,4,7,5.33913326328481
"ABCA2",653.80406,399.10733,391.13012,481.34717,50.768809,33.180849,36.909447,40.2863683333333,1020,646,751,11.682964365034
"ABCA3",59.28915,43.854,59.47136,54.2048366666667,21.599438,17.726576,24.450837,21.2589503333333,1930,1121,1708,2.48011859678738
"ABCA4",0.14909,1.2435,4.87219,2.08826,1.22204,0.556301,1.285668,1.02133633333333,23,10,13,1.52783084589749
"ABCA5",13.94844,10.58354,13.54601,12.6926633333333,6.679427,7.075997,6.759744,6.83838933333333,323,230,276,1.74687206147113
"ABCA6",3.2966,1.10533,0.74285,1.71492666666667,1.179883,0.523131,0.304506,0.669173333333333,17,18,12,1.62650972936703
"ABCA7",25.04755,30.28607,84.07266,46.46876,24.152072,12.964013,24.639795,20.5852933333333,710,377,537,2.1991250833129
