"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","FoldChange"
"ABCG5",0.28162,0.1658,0.28403,0.243816666666667,0,0.01593,0,0.00531,1.23724688570358
"ABCG8",0.29819,0,0.15294,0.150376666666667,0.035989,0.06211,0.039485,0.0458613333333333,1.09993230460125
"ABHD1",10.0886,9.45058,8.8923,9.47716,0.548215,0.837679,0.573511,0.653135,6.33775221019457
"ABHD10",22.52954,22.41058,17.95939,20.9665033333333,4.682414,3.63352,2.996599,3.77084433333333,4.60432196034063
"ABHD11",16.91372,21.94082,33.27512,24.04322,16.413349,19.071503,13.597818,16.36089,1.4425078437799
"ABHD12",139.31873,160.19007,140.39784,146.635546666667,31.484105,29.04836,22.06709,27.533185,5.17416988908412
"ABHD12B",20.59134,26.11344,20.07868,22.2611533333333,0.21345,0.366161,0.189974,0.256528333333333,18.5122394109696
"ABHD13",2.55114,2.18303,2.97138,2.56851666666667,1.172633,1.326137,0.716184,1.07165133333333,1.72254694081404
"ABHD14A",100.62092,85.88421,147.54227,111.349133333333,8.546513,7.684425,5.406513,7.21248366666667,13.6802869744926
"ABHD14B",17.4604,16.66286,17.12915,17.0841366666667,8.124944,8.387924,5.480449,7.33110566666667,2.17067666528616
"ABHD15",2.79963,4.11736,1.83527,2.91742,1.644095,1.578787,1.43262,1.551834,1.53513904117588
"ABHD16A",76.41823,54.02305,65.08639,65.17589,19.452254,20.109003,15.952975,18.504744,3.39280997484509
"ABHD16B",8.61424,10.05851,6.77301,8.48192,0,0,0,0,9.48192
"ABHD2",19.76305,20.08939,15.7964,18.5496133333333,3.332886,2.82704,2.375777,2.84523433333333,5.08411494297313
"ABHD3",9.04495,19.39856,10.05027,12.83126,2.331696,3.741765,1.156728,2.410063,4.05601304140129
"ABHD4",36.0804,28.37937,21.43328,28.6310166666667,15.0237,23.747182,16.357654,18.3761786666667,1.52924976469388
"ABHD5",7.91847,8.78738,8.08391,8.26325333333333,7.210165,4.691474,4.783658,5.56176566666667,1.41170133221764
"ABHD6",19.4483,16.1931,16.18967,17.2770233333333,2.357982,2.891814,1.502824,2.25087333333333,5.6221887041636
"ABHD8",83.24335,93.48336,137.25167,104.65946,4.748047,3.701303,3.322699,3.92401633333333,21.4579832493109
"ABI1",43.51847,43.99217,49.00597,45.5055366666667,10.258949,6.855637,7.216852,8.11047933333333,5.10462018134575
"ABI2",73.75113,74.22297,58.16045,68.7115166666667,21.727203,10.892244,9.493522,14.0376563333333,4.63579663754784
"ABI3",6.44411,3.67523,2.97138,4.36357333333333,0.029558,0.160231,0.222847,0.137545333333333,4.71504139322213
"ABI3BP",23.63946,15.9444,9.15448,16.2461133333333,0.659504,0.308934,0,0.322812666666667,13.0374570548916
"ABL1",25.67705,28.43464,26.69875,26.9368133333333,7.760499,5.097737,3.86969,5.57597533333333,4.24831480004538
"ABL2",8.54797,5.94115,4.17305,6.22072333333333,1.446018,0.98648,1.194757,1.209085,3.26864893534352
"ABLIM1",67.88682,57.25614,45.24804,56.797,59.262507,38.678189,34.133185,44.024627,1.28367526509437
"ABLIM2",193.90317,178.5662,144.28686,172.252076666667,6.864886,5.835002,6.004859,6.23491566666667,23.9466615298487
"ABLIM3",18.85193,25.06338,17.26024,20.39185,1.439051,0.939932,0.795889,1.05829066666667,10.3930170536329
"ABO",0.89456,2.68043,0.69915,1.42471333333333,0.108377,0.428422,0.100191,0.21233,2.00004399242231
"ABR",299.60981,317.03652,304.52305,307.05646,137.5781,52.298863,84.704982,91.527315,3.32935695799667
"ABRA",0.14909,0.05527,0,0.06812,1.22541,0.904378,0.700678,0.943488666666667,0.549589003691986
"ABRACL",18.95132,11.68887,21.1711,17.27043,1.304502,3.067132,2.188819,2.18681766666667,5.73312687170786
"ABT1",8.41545,8.04128,6.16125,7.53932666666667,3.32542,2.791458,2.174212,2.76369666666667,2.26886686759206
"ABTB1",115.24856,79.80489,91.19524,95.41623,4.435767,2.908722,2.928956,3.42448166666667,21.7915311360389
"ABTB2",6.80856,6.24512,9.94102,7.6649,6.950399,6.045716,4.152189,5.71610133333333,1.29016814516994
"ACAA1",99.64354,88.26067,80.7517,89.55197,73.219918,69.137641,52.278734,64.8787643333333,1.37452441490592
"ACAA2",63.01646,61.15243,33.38436,52.51775,33.764452,29.686524,22.134757,28.5285776666667,1.81240527749542
"ACACA",36.95839,37.99575,40.70358,38.5525733333333,7.1497,4.870629,6.747958,6.25609566666667,5.45094430259946
"ACACB",20.49195,31.50193,31.19952,27.7311333333333,26.02878,14.841445,7.767875,16.2127,1.6691822510898
"ACAD10",24.91503,22.63165,26.08699,24.5445566666667,20.02537,13.653281,10.050915,14.576522,1.63993969043068
"ACAD11",18.22243,17.18789,9.94102,15.1171133333333,6.08628,6.516346,6.250521,6.28438233333333,2.21255730353161
"ACAD8",43.56816,32.08223,31.52725,35.72588,17.886304,13.41606,11.385466,14.2292766666667,2.41153147347992
"ACAD9",27.96314,25.78184,27.98781,27.2442633333333,9.950716,8.300763,6.289277,8.180252,3.0766326821239
"ACADL",1.32527,1.63036,0.52436,1.15999666666667,0.430319,0.363646,0.199827,0.331264,1.62251564427992
"ACADM",52.48059,49.82279,36.42129,46.2415566666667,55.824798,42.128201,34.763102,44.2387003333333,1.04427307412847
"ACADS",17.75858,19.89596,16.93251,18.1956833333333,15.466497,14.289382,12.849752,14.201877,1.26271797445364
"ACADSB",15.12461,11.57834,8.215,11.6393166666667,6.230585,3.533107,3.515221,4.42630433333333,2.32926793085017
"ACADVL",850.20868,1070.84452,774.50407,898.51909,539.418883,513.721339,438.661315,497.267179,1.805294685083
"ACAN",0.71233,1.18823,1.63863,1.17973,0,0.022851,0,0.007617,2.16325250566435
"ACAP1",120.28457,95.39005,24.71054,80.1283866666667,14.853065,11.82895,6.245988,10.976001,6.77424681800433
"ACAP2",6.75886,7.87548,5.09068,6.57500666666667,2.720509,0.953916,0.841565,1.50533,3.02355644432736
"ACAP3",343.22767,247.20724,247.32393,279.252946666667,32.135196,15.329502,11.519368,19.6613553333333,13.564112428507
"ACAT1",91.26122,90.63713,80.1181,87.3388166666667,106.632562,103.500411,97.170077,102.43435,0.854056864732718
"ACAT2",14.59451,10.77698,17.1073,14.1595966666667,7.765272,8.394048,3.664681,6.60800033333333,1.99258622535111
"ACBD3",8.61424,9.22951,9.74439,9.19604666666667,26.857783,13.437707,11.62415,17.3065466666667,0.556961771781461
"ACBD4",37.10748,34.87319,34.97929,35.65332,4.538466,2.387986,1.850638,2.92569666666667,9.33676825090069
"ACBD5",27.4496,28.9044,23.68367,26.6792233333333,7.618894,5.044549,4.657079,5.77350733333333,4.0863945325814
"ACBD6",159.59532,134.10426,263.79763,185.832403333333,23.154423,24.794667,23.033485,23.6608583333333,7.5760705814849
"ACBD7",60.8629,83.23141,60.76041,68.2849066666667,0.572654,0.568327,0.510339,0.55044,44.6872543708023
"ACCS",16.40018,12.6284,11.6015,13.54336,8.564602,4.575821,7.352098,6.83084033333333,1.85719020959905
"ACCSL",0,0.0829,0,0.0276333333333333,0,0,0,0,1.02763333333333
"ACD",21.63499,14.56273,22.17613,19.45795,6.047245,4.588355,4.00999,4.88186333333333,3.47814099726901
"ACE",35.79878,27.88197,7.51585,23.7322,1.157448,0.481306,0.687591,0.775448333333333,13.9301153042095
"ACE2",0.66263,0.829,0,0.49721,0.292,0.608641,1.089188,0.663276333333333,0.900157099571949
"ACER1",0.6295,0.3316,0.37142,0.444173333333333,0,0,0,0,1.44417333333333
"ACER2",1.95477,1.13296,1.42015,1.50262666666667,0.086941,0.071304,0.036141,0.0647953333333333,2.3503358704928
"ACER3",22.21479,21.27762,19.8602,21.1175366666667,5.889447,3.785697,2.608854,4.094666,4.34131239744993
"ACHE",124.93958,128.46708,62.90155,105.43607,0.074404,0.220625,0.154447,0.149825333333333,92.5671638243026
"ACIN1",84.9662,86.90664,82.0626,84.6451466666667,48.187336,30.018075,26.134553,34.779988,2.39366057547774
"ACLY",34.88766,21.19472,31.22137,29.10125,20.336467,13.559479,13.590368,15.8287713333333,1.78867781870548
"ACMSD",0.0497,0.2487,0,0.0994666666666667,0.044606,0.168465,0.027939,0.0803366666666667,1.01770744305016
"ACO1",16.64867,16.08256,13.32753,15.35292,8.895559,7.661565,6.460032,7.67238533333333,1.88563115814811
"ACO2",194.64864,168.23135,188.20215,183.694046666667,146.738618,107.939366,96.620982,117.099655333333,1.5638830286623
"ACOT1",2.23639,3.31599,4.85035,3.46757666666667,6.652744,7.561148,4.666439,6.29344366666667,0.612546949129791
"ACOT11",4.55561,7.12938,9.43851,7.04116666666667,20.174206,15.320592,11.474642,15.65648,0.482765066008344
"ACOT12",0.0497,0,0,0.0165666666666667,0.102651,0,0,0.034217,0.982933626759826
"ACOT13",37.93578,57.75354,36.3339,44.00774,28.624228,30.396445,27.420034,28.813569,1.509639453096
"ACOT2",8.051,10.61118,19.33584,12.6660066666667,88.207517,93.696934,77.668179,86.52421,0.15613973170014
"ACOT4",2.96529,3.31599,4.67556,3.65228,0.124947,0.174781,0.261237,0.186988333333333,3.91939825300164
"ACOT6",1.62345,0.19343,0.26218,0.69302,0.188194,0,0.040322,0.076172,1.57318718569151
"ACOT7",154.75809,102.10494,213.74293,156.868653333333,18.509861,18.078012,11.411107,15.99966,9.2865771040911
"ACOT8",66.89287,65.57375,49.87991,60.7821766666667,14.918157,12.104523,11.463739,12.8288063333333,4.46764349557382
"ACOT9",13.46803,14.06534,14.22331,13.9188933333333,29.935853,23.797934,22.855973,25.52992,0.562342190754188
"ACOX1",62.50292,72.70314,76.18538,70.4638133333333,26.743277,25.166,14.165662,22.0249796666667,3.10375141988906
"ACOX2",13.50116,16.5247,11.05529,13.6937166666667,17.904677,19.718667,13.035042,16.8861286666667,0.821514646377921
"ACOX3",8.46514,6.68725,23.55258,12.9016566666667,11.241262,6.789727,5.371668,7.80088566666667,1.57957473749706
"ACOXL",0,0.05527,0,0.0184233333333333,0.725081,0.07677,0.356086,0.385979,0.734804303191703
"ACP1",58.74247,61.70509,55.34201,58.5965233333333,30.223411,32.418039,30.824921,31.155457,1.85338753958102
"ACP2",38.03517,21.63685,46.29677,35.32293,43.214406,45.839884,42.704658,43.9196493333333,0.808620070260566
"ACP5",4.42308,6.63199,1.9882,4.34775666666667,0.224677,1.062225,0,0.428967333333333,3.74239252495159
"ACP6",9.44253,12.54551,9.70069,10.56291,5.616296,6.558338,5.860511,6.011715,1.64908442513707
"ACPP",0.03313,2.34883,0.54621,0.976056666666667,0.862381,0.252187,0.58269,0.565752666666667,1.26204905074407
"ACR",2.81619,1.3264,1.81342,1.98533666666667,0,0.037509,0.037908,0.025139,2.9121286641779
"ACRBP",3.9261,2.45936,2.16299,2.84948333333333,0.3985,0.030659,0.225437,0.218198666666667,3.15997992664579
"ACRV1",5.84774,3.01203,4.1075,4.32242333333333,0.027065,0.168649,0.254211,0.149975,4.62829481800329
"ACSBG1",88.3125,109.42775,56.1067,84.61565,0.540764,0.319036,0.523883,0.461227666666667,58.591588397245
