"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"HCN1",2480,0.981209,2560,1.08715,1930,0.802796,0.957051666667,"Hcn1",0.031076,0.032333,0.03745,15,14,13,0.0336196666666667,1.89339631373145
"HCN2",1430,9.15795,1342,9.22476,858,5.7768,8.05317,"Hcn2",1.958576,2.500428,2.842601,155,232,148,2.43386833333333,2.6364348079741
"HCN3",266,3.75181,189,2.86129,177,2.62465,3.07925,"Hcn3",0.191828,0.007593,0,4,1,0,0.0664736666666667,3.82498895893976
"HCN4",110,0.391383,80,0.30552,57,0.213217,0.303373333333,"Hcn4",0.527579,0.671811,0.903825,105,137,124,0.701071666666667,0.76620718507823
"HCRTR1",1281,15.0873,1211,15.309,919,11.3793,13.9252,"Hcrtr1",0,0,0.037519,0,0,1,0.0125063333333333,14.7408460654896
"HCRTR2",12,0.0119004,12,0.0127733,8,0.00834082,0.01100484,"Hcrtr2",0,0,0,0,0,0,0,1.01100484
"HCST",60,5.66898,57,5.78055,118,11.7212,7.72357666667,"Hcst",0.456442,0,0.518807,2,0,2,0.325083,6.58341905123679
"HDAC1",915,3.84689,938,4.23284,1075,4.75154,4.27709,"Hdac1",2.644727,3.509603,4.286508,152,180,154,3.48027933333333,1.17784843474789
"HDAC10",283,7.94469,246,7.41253,292,8.6181,7.99177333333,"Hdac10",0.939818,0.765665,1.283311,73,60,54,0.996264666666667,4.50429919613031
"HDAC11",1568,10.2591,1624,11.4048,968,6.6585,9.4408,"Hdac11",18.918522,10.241578,43.425206,190,196,218,24.195102,0.414398004818556
"HDAC2",1322,2.9503,1448,3.46851,1595,3.74225,3.38702,"Hdac2",9.567326,10.091958,10.846206,444,444,376,10.1684966666667,0.392803089881688
"HDAC3",746,8.1586,749,8.79223,844,9.70415,8.88499333333,"Hdac3",8.88796,9.746407,9.83311,382,394,346,9.489159,0.942400943043193
"HDAC4",1681,0.830778,1945,1.03176,1640,0.852117,0.904885,"Hdac4",5.050059,3.919292,2.887257,440,314,281,3.95220266666667,0.384654087931781
"HDAC5",1255,4.66911,1204,4.80792,1066,4.16952,4.54885,"Hdac5",13.346412,11.04195,19.156825,714,680,589,14.5150623333333,0.357642778403705
"HDAC6",1347,9.96864,1385,11.0017,1304,10.1457,10.3720133333,"Hdac6",1.599474,0.955529,1.545701,155,116,109,1.36690133333333,4.80459965658335
"HDAC7",1203,4.16899,1298,4.82815,1955,7.12279,5.37331,"Hdac7",4.268025,4.388901,4.858016,385,356,296,4.50498066666667,1.15773521941524
"HDAC8",777,0.557262,802,0.617381,933,0.70349,0.626044333333,"Hdac8",0.587946,0.894449,0.765482,29,31,25,0.749292333333333,0.929544080396511
"HDAC9",636,0.121368,961,0.196839,823,0.165115,0.161107333333,"Hdac9",2.123884,2.095371,2.243148,251,224,189,2.15413433333333,0.368122346934389
"HDC",4,0.0290935,12,0.0936823,34,0.259988,0.127587933333,"Hdc",0.36226,0.21324,0.312662,13,14,7,0.296054,0.87001616702159
"HDDC2",2088,4.4421,2273,5.19036,1728,3.86491,4.49912333333,"Hddc2",1.004014,0.921921,0.745413,17,17,10,0.890449333333333,2.90889749667804
